director_name,num_voted_users,cast_total_facebook_likes,language,movie_facebook_likes
Kimberly Peirce,108248,20051,English,39000
Remo,5018,1182,Hindi,1000
Wes Craven,149293,42918,English,10000
James Marsh,40481,68,English,0
John Laing,333,90,English,213
Jamal Hill,744,4249,English,1000
Daniel Stamm,41509,1958,English,0
Sam Taylor-Johnson,29019,2032,English,10000
Elia Kazan,78454,10570,English,5000
Stanley Kubrick,342585,1991,English,18000
Carlos Carrera,11088,546,Spanish,544
Benh Zeitlin,70336,2658,English,31000
J. Lee Thompson,22764,1432,English,511
Maggie Greenwald,2794,2187,English,0
Vera Farmiga,2603,1439,English,952
Vijay Chandar,563,349,Tamil,82
Morgan Spurlock,13223,32405,English,0
Jonathan Wacks,1435,14620,English,266
Khyentse Norbu,1747,0,Dzongkha,353
Ted Post,25472,18263,English,0
Richard Brooks,1756,2831,English,169
Tony Krantz,6267,2439,English,368
Mitchell Altieri,13,1270,English,8
W.D. Hogan,761,984,English,566
Corey Grant,686,4306,English,569
Tom Tykwer,161471,623,German,0
Lucky McKee,26773,2489,English,0
Richard Boddington,840,1724,English,326
David Hunt,28,139,English,73
Patricia Riggen,5526,2198,Spanish,0
J. Lee Thompson,23268,941,English,794
Todd Field,32415,3970,English,951
Steven R. Monroe,56402,2423,English,17000
Mark Illsley,8697,2095,English,374
Pawel Pawlikowski,16349,763,English,869
Ritesh Batra,30479,822,Hindi,16000
Sally Potter,2725,2721,English,305
Frank Capra,17799,1363,English,0
Fred Zinnemann,33987,2247,English,0
John Ford,11920,955,English,721
Brad J. Silverman,2561,3894,English,0
Dave Meyers,536,2196,English,43
David M. Matthews,548,3137,English,588
Nadine Labaki,9750,231,Arabic,0
Lluís Quílez,2621,380,English,844
Eytan Fox,4702,137,Hebrew,0
Francis Ford Coppola,74651,12157,English,6000
Romesh Sharma,257,622,English,9
François Truffaut,4391,1694,French,278
Adam Goldberg,1618,2564,English,63
Travis Zariwny,3313,992,English,2000
Zack Snyder,194426,10438,English,7000
Adrienne Shelly,37714,1981,English,0
Newt Arnold,57578,1168,English,0
Frank Capra,77392,1573,English,0
Larry Clark,59041,3310,English,0
Noah Baumbach,60295,479,English,0
Charles Herman-Wurmfeld,14018,1173,English,682
Yimou Zhang,2410,18,Mandarin,784
John Stockwell,246,261818,,0
Alfred Hitchcock,32927,896,English,0
Atom Egoyan,14112,2990,English,619
Vincent Gallo,36657,4762,English,0
James Wan,202800,3030,English,60000
Alex Cox,25332,1652,English,0
Fabián Bielinsky,38215,856,Spanish,0
Dror Moreh,4547,0,Hebrew,0
Rebecca Miller,9408,859,English,608
Maggie Carey,29517,2667,English,0
Roger Avary,17322,1582,English,853
Henry Bean,30314,33441,English,0
David Gordon Green,10896,2747,English,415
Simeon Rice,95,792,English,307
Brad Anderson,43839,469,English,0
Jeff Garlin,2963,2179,English,0
Qasim Basir,919,3288,English,0
Adam Green,23349,3668,English,0
Charles Chaplin,143086,352,English,0
Pete Jones,2419,3901,English,304
Bruce Campbell,21379,1238,English,0
Mark Brown,444,3138,English,68
Adam Carolla,1351,2628,English,212
Ira Sachs,1134,1240,English,216
John Sayles,463,60,English,594
Bruce McDonald,22212,721,English,0
James Mottern,2792,89263,English,371
Jaime Zevallos,7,771,English,132
Rob Zombie,20376,5158,English,15000
Gerard Johnstone,23323,165,English,10000
Robert Greenwald,4120,0,English,0
David Ray,1232,596,English,193
Dave Rodriguez,291,4036,English,283
Nae Caranfil,2841,588,English,0
David Winning,459,967,English,236
Frank Lotito,108,4320,English,232
Timothy Woodward Jr.,735,2882,English,402
Christopher McQuarrie,226583,16385,English,38000
Tara Subkoff,1547,1044,English,750
Russell Friedenberg,133,2870,English,135
William Cottrell,133348,229,English,0
Lucrecia Martel,2720,358,Spanish,57
Edward Dmytryk,1978,2140,English,209
Zak Penn,3291,256,English,400
Alex Ranarivelo,162,2419,English,724
Jon Knautz,4948,2072,English,969
Mathieu Amalric,2082,421,French,389
David Worth,330,1159,English,223
Leslie H. Martinson,22975,2658,English,0
Guy Ritchie,414976,28294,English,21000
Robert M. Young,39,3164,English,32
,3405,416,English,533
Thomas Vinterberg,65951,821,Danish,5000
Steve Buscemi,11369,14420,English,872
Ham Tran,775,83,Vietnamese,100
Rich Cowan,449,3475,English,117
Boris Rodriguez,1231,843,English,932
Harold Becker,54316,16537,English,0
,6381,611,English,963
Sadyk Sher-Niyaz,3144,0,English,0
Paul Donovan,1339,289,English,220
Jonathan Kesselman,4182,6227,English,3000
Arjun Sablok,1167,602,English,66
Craig Moss,5579,1499,English,0
Tyler Oliver,4866,38121,English,969
Alfred Hitchcock,87424,2888,English,0
Steve Miner,39690,707,English,0
Billy Wilder,24959,581,English,0
Douglas Cheek,7528,1866,English,0
Youssef Delara,910,2459,English,0
Deryck Broom,458,1730,English,381
Henry Hathaway,11047,683,English,1000
John Ford,15840,1129,English,0
,3282,1961,English,632
Spike Lee,794,4040,English,447
Steven Soderbergh,37785,1431,English,2000
James Wan,299127,5161,English,0
Jay Chandrasekhar,76151,2893,English,0
Giovanni Zelko,101,20218,English,221
Claudia Sainte-Luce,1229,58,Spanish,407
Scott Derrickson,139426,22194,English,0
Mira Nair,19397,809,Hindi,0
Kenneth Lonergan,22145,4288,English,756
Alfred Hitchcock,24891,1041,English,0
Paul McGuigan,262160,26451,English,10000
Jamie Babbit,19986,4289,English,0
David Boyd,2417,2681,English,0
Quentin Tarantino,664719,28994,English,19000
Walter Lang,1047,293,English,548
Sergio Leone,503509,16089,Italian,20000
Anna Muylaert,7025,76,Portuguese,0
Steve Taylor,2582,1805,English,0
Kurt Voss,91,318,English,27
Léa Pool,591,0,English,5000
James David Pasternak,132,54484,English,87
Laurent Bouhnik,4068,114,French,754
Tom Sanchez,27,5,Spanish,75
David Caffrey,2953,1438,English,480
Adam Jay Epstein,9560,1190,English,636
Michael Curtiz,3418,1621,English,204
Justin Thomas Ostensen,652,862,English,161
Brenton Spencer,1321,630,English,238
Rob Bowman,5061,1218,English,0
Ossie Davis,1172,1581,English,477
Jay Alaimo,742,11257,English,479
Dylan Bank,71,1810,English,242
Rob McKittrick,76467,19957,English,0
Shane Meadows,39929,1311,English,0
,726,1617,English,954
Jeff Burr,1324,1329,English,241
Harry Gantz,285,0,English,51
Guy Maddin,1555,21,English,131
Regardt van den Bergh,2050,521,Zulu,0
Panos Cosmatos,6555,645,English,0
Gareth Evans,148221,1445,Indonesian,51000
Matthew R. Anderson,737,2510,English,444
Joe Marino,332,12,English,200
Michael Curtiz,387508,3442,English,23000
Joel Anderson,9465,29,English,0
Shimit Amin,11010,1052,Hindi,773
Douglas Trumbull,20678,1080,English,0
John G. Avildsen,375240,16094,English,0
Mona Fastvold,512,622,English,234
John Carpenter,46493,4878,English,7000
Tony Richardson,8508,1371,English,328
Levan Gabriadze,44329,1565,English,13000
Martin Scorsese,507063,23525,English,35000
Joe Dante,22773,4438,English,0
Terence Young,116642,1421,English,5000
Bradley Parker,52642,2665,English,24000
Clive Barker,76407,673,English,0
Harold Cronk,4501,1810,English,0
Jeff Wadlow,23021,3155,English,816
Takao Okawara,5442,53,Japanese,339
Derek Cianfrance,141425,35941,English,25000
Duncan Tucker,36321,3192,English,0
William Brent Bell,30570,988,English,12000
Russ Meyer,7584,731,English,0
Robert D. Webb,2636,831,English,365
Davis Guggenheim,67654,929,English,0
Allan Dwan,7346,510,English,624
Martin Scorsese,9638,1218,English,0
Eli Roth,21468,2082,English,12000
Andrew Steggall,162,283,English,75
Ben Lewin,36381,1899,English,11000
Robert Kenner,42389,42,English,37000
Andrew Erwin,6110,1147,English,0
Brad Anderson,4195,23461,English,392
Jason Reitman,414345,28817,English,10000
Craig Johnson,31254,3986,English,0
Sean Durkin,40425,1263,English,0
Gillian Robespierre,16594,1587,English,0
Courtney Hunt,21746,994,English,0
Morgan Neville,9540,198,English,14000
James Toback,5933,21124,English,387
Nicole Holofcener,2629,2400,English,227
Peter Cattaneo,82232,2323,English,0
Chris Paine,11283,1447,English,0
Greg Berlanti,6084,3085,English,671
Don Coscarelli,38893,1587,English,0
Rob Letterman,47988,5497,English,35000
Marc Levin,1976,295,English,603
Richard Dutcher,983,1107,English,100
Khalid Mohamed,2715,773,Hindi,92
Mel Brooks,36559,3931,English,0
Trey Parker,30396,904,English,0
David Gordon Green,9233,12385,English,571
Finn Taylor,1524,1692,English,166
Karen Moncrieff,3142,1641,English,115
José Luis Valenzuela,505,2289,English,24
Gia Coppola,19752,12234,English,0
Scandar Copti,4999,42,Arabic,0
Goran Dukic,46076,4720,English,11000
Mike Cahill,75633,7098,English,32000
Efram Potelle,3806,2489,English,150
Peter Jackson,125114,2369,English,16000
Joshua Oppenheimer,23836,6,Indonesian,20000
Alex Gibney,10564,313,English,0
Paul Crowder,1290,118,English,587
Rohit Jagessar,56,15,English,32
Griffin Dunne,455,3258,English,25
Anthony Powell,2482,86,English,0
Kief Davidson,1220,28,English,0
Johnny Remo,606,263584,English,706
Vivek Agnihotri,1524,2024,Hindi,31
Ti West,30160,3833,English,0
Nick Tomnay,20176,1452,English,0
John Hamburg,2735,1141,English,157
Nickolas Perry,1434,1042,English,27
Dan Zukovic,334,196,English,43
Craig Mazin,1938,3905,English,210
Becky Smith,397,1647,English,143
Eric Nicholas,3228,509,English,244
Benjamin Dickinson,1048,928,English,793
Hal Haberman,4862,2694,English,0
Darren Stein,377,2633,English,17
A. Raven Cruz,534,1188,English,128
Brian Trenchard-Smith,783,1284,English,42
Frank Whaley,480,920,English,47
Amat Escalante,3499,351,Spanish,0
Wajahat Rauf,876,19,Urdu,259
Katherine Brooks,9190,1635,English,501
David Cross,1359,2607,English,903
Randall Rubin,1420,997,English,138
Robert Bennett,1612,1752,English,297
Guy Hamilton,340,964,English,32
Mary Pat Kelly,275,1593,English,141
Lori Petty,3943,52113,English,599
Charlie Levi,33,1996,English,3
Kevin Hamedani,3650,292,English,0
David DeCoteau,634,1549,English,150
Mikel Rueda,955,90,Spanish,68
Stefan C. Schaefer,982,2116,English,370
Michael Taliferro,293,1350,English,41
David DeCoteau,93,11466,English,54
Katie Aselton,6531,344,English,0
Robert Heath,6513,1226,English,968
D. Stevens,425,109,English,91
Jeffrey St. Jules,137,231,English,48
Robert Hall,6256,1825,English,936
K. King,2057,656,English,0
Jonathan Meyers,207,2677,,212
Danny Boyle,92640,5056,English,23000
Ralph Nelson,4998,1567,English,785
Blair Erickson,6265,1618,English,2000
,954,1713,English,57
Allison Burnett,7870,2468,English,884
Richard Schenkman,443,2504,English,42
Sanjay Rawal,265,104,English,489
Elia Kazan,100890,11094,English,0
Kat Coiro,6025,2924,English,995
Cristian Mungiu,44763,264,Romanian,14000
Brian Dorton,139,1343,English,52
David Slade,131969,117,English,12000
Jamie Babbit,13485,3299,English,698
Maryam Keshavarz,6277,509,Persian,0
Ryan Coogler,53919,687,English,17000
Ramaa Mosley,11965,4184,English,0
James Algar,94225,63,English,0
Charles Herman-Wurmfeld,5489,897,English,337
Ric Roman Waugh,64748,15800,English,12000
C. Jay Cox,14580,26017,English,0
Mariette Monpierre,19,0,French,24
Tommy Oliver,122,5435,English,181
Jamie Travis,13421,3770,English,0
Lee Toland Krieger,24391,1751,English,0
Rich Christiano,1742,1185,English,409
Paul Andrew Williams,7308,926,English,933
Nick Love,2706,1278,English,549
Natalie Bible',169,3336,English,312
Asghar Farhadi,151812,2501,Persian,48000
Justin Molotnikov,190,81,English,33
Todd Solondz,26513,1502,English,0
Victor Nunez,2039,423,English,81
Peter Sollett,4743,663,English,219
Georg Wilhelm Pabst,7431,455,German,926
Daniel Davila,59,1484,English,18
Jorge Gaggero,772,29,Spanish,83
Rod Lurie,2256,1983,English,130
Michael Burke,3480,991,English,396
Catherine Jelski,122,2359,English,4
Shane Dawson,4167,954,English,0
Tommy Wirkola,54601,116,Norwegian,23000
Ryan Little,17725,587,English,1000
Clark Baker,292,315,English,14
George Lucas,63839,14954,English,0
Robert Greenwald,1477,25,English,274
Matt Maiellaro,12160,3071,English,307
Colin Trevorrow,101287,2714,English,31000
Leslie Small,3543,548,English,614
Ben Wheatley,25750,1269,English,0
Ti West,27260,1252,English,0
David S. Goyer,42183,12183,English,0
Bernardo Bertolucci,17813,500,Italian,0
Neil Burger,1661,243,English,163
Oliver Blackburn,9376,1558,English,0
Jonathan Levine,25951,2170,English,2000
Christopher Hutson,851,1117,English,128
Fred Zinnemann,80193,2496,English,3000
Steve James,18980,15,English,0
David LaChapelle,2877,321,English,903
Joseph Kosinski,3089,26578,English,1000
Michael Cuesta,8509,209,English,420
Caryn Waechter,1354,1581,English,523
Emily Dell,551,2476,English,303
Peter Jackson,316027,7122,English,0
Jaume Collet-Serra,94463,2160,English,0
Ryan Fleck,70885,33734,English,0
Jennifer Wynne Farmer,103,1763,English,102
Christopher Scott Cherot,819,714,English,161
H.M. Coakley,514,1210,English,158
Randy Moore,7384,2483,English,0
Chris Atkins,474,1683,English,203
Bill Benenson,5,1359,English,5
Ryan Smith,3699,1553,English,1000
Travis Romero,344,283939,English,0
Anna Mastro,1432,4767,English,0
Mark Sandrich,13269,824,English,1000
Daniel Myrick,186786,399,English,0
Michael Wadleigh,12631,778,English,0
John Landis,13915,190,English,0
Jon Gunn,448,1281,English,12
Gene Teigland,94,85,English,11
Scott Ziehl,531,2288,English,51
Richard Montoya,85,2241,English,358
Johanna Schwartz,74,0,French,34
