director_name,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
Terry Gilliam,0,1000,22000,9929000,Drama|Sci-Fi,Robert De Niro,Brazil ,152306,29475,Jim Broadbent,0,black comedy|bureaucracy|dream|terrorist|wrongful arrest,513,R,15000000,5000,16000
Sean McNamara,80,782,1000,10411980,Family|Music|Romance,Oliver James,Raise Your Voice ,22649,4676,Jason Ritter,0,music school|scholarship|small town|stage fright|three word title,212,PG,15000000,872,1000
,,186,443,,Drama|Fantasy|Mystery|Sci-Fi,David Ogden Stiers,The Dead Zone             ,7122,981,Chris Bruno,1,psychic|psychic power|psychometry|spin off|supernatural power,77,TV-14,,319,576
Joel Coen,0,12000,22000,17439163,Comedy|Crime,Philip Seymour Hoffman,The Big Lebowski ,537419,47728,Steve Buscemi,1,death|drug|nihilism|rug|white russian,1028,R,15000000,12000,35000
Craig Brewer,153,539,3000,9396487,Drama|Music,Justin Timberlake,Black Snake Moan ,52421,5012,S. Epatha Merkerson,0,breasts|nipples visible through clothing|nudity|rear entry sex|white panties,200,R,15000000,788,0
Ron Shelton,41,274,556,9059588,Crime|Drama|Romance|Thriller,Khandi Alexander,Dark Blue ,17261,1873,Michael Michele,1,corrupt|criminal|investigation|lapd|police,125,R,15000000,463,455
Michael Winterbottom,187,254,11000,9172810,Biography|Drama|History|Thriller|War,Angelina Jolie Pitt,A Mighty Heart ,24150,12178,Dan Futterman,0,fbi|journalist|missing|pakistan|reporter,118,R,16000000,883,923
David Raynr,9,612,11000,8735529,Comedy|Drama|Romance,James Franco,Whatever It Takes ,8055,13524,Marla Sokoloff,4,male objectification|manipulative behavior|modern day adaptation|narcissistic woman|promiscuous woman,89,PG-13,15000000,897,816
Mort Nathan,2,461,890,8586376,Comedy,Vivica A. Fox,Boat Trip ,26598,3161,Bob Gunton,4,gay|hot air balloon|rejecting a marriage proposal|talking to a dog|vomiting on someone,132,R,20000000,852,1000
Oliver Parker,32,692,14000,8378141,Comedy|Drama|Romance,Colin Firth,The Importance of Being Earnest ,18966,16502,Rupert Everett,5,comedy of manners|false identity|farce|love|period drama,141,PG,15000000,1000,0
Dan Curtis,45,224,1000,,Fantasy|Romance,Jennifer Jason Leigh,The Love Letter ,1465,2166,Estelle Parsons,1,antique|desk|letter|love|time travel,56,Unrated,,393,515
Wil Shriner,6,596,8000,8080116,Adventure|Comedy|Family,Logan Lerman,Hoot ,6562,10732,Tim Blake Nelson,0,fight|florida|montana|owl|school,66,PG,15000000,625,647
Martin McDonagh,454,39,65,7757130,Comedy|Crime|Drama,Elizabeth Berrington,In Bruges ,307639,173,Eric Godon,1,bruges|bullet|hope|irish|tourist,513,R,15000000,49,32000
Tina Gordon Chism,24,426,931,9123834,Comedy|Romance,Tyler James Williams,Peeples ,4065,3322,Diahann Carroll,6,african american,33,PG-13,15000000,539,0
Peter Cattaneo,11,1000,15000,6409206,Comedy|Music,Emma Stone,The Rocker ,32311,33153,Josh Gad,4,20 years later|drummer|hdtv|rock band|rock star,104,PG-13,15000000,14000,0
Vicky Jenson,96,360,24000,6373693,Comedy|Romance,J.K. Simmons,Post Grad ,11498,25637,Bobby Coleman,1,graduation|graduation speech|title directed by female|tv studio|unemployment,53,PG-13,15000000,971,0
Gus Van Sant,835,363,13000,7556708,Drama,Matt Damon,Promised Land ,30284,14544,Terry Kinney,1,corporate greed|corporation|natural gas|salesman|small town,102,R,15000000,826,10000
Woody Allen,11000,386,860,5306447,Comedy|Romance,Larry David,Whatever Works ,58967,2717,Conleth Hill,1,atheist|limp|quantum mechanics|religion|runaway,169,PG-13,15000000,658,10000
Mary Lambert,52,275,477,5217498,Drama|Mystery|Thriller,Matthew Settle,The In Crowd ,3668,2312,A.J. Buckley,4,clique|country club|female protagonist|lip gloss|title directed by female,85,PG-13,15000000,397,157
Tommy Lee Jones,0,289,572,5023275,Adventure|Crime|Drama|Mystery|Western,Levon Helm,Three Burials ,34194,1627,Guillermo Arriaga,2,cemetery|friend|journey|mexico|promise,199,R,15000000,324,0
Peter Kassovitz,0,693,49000,4956401,Drama|War,Robin Williams,Jakob the Liar ,12601,51657,Michael Jeter,2,german|ghetto|hope|nazi|radio,89,PG-13,15000000,1000,0
Shane Black,1000,611,21000,4235837,Comedy|Crime|Mystery,Robert Downey Jr.,Kiss Kiss Bang Bang ,175962,23932,Larry Miller,2,actor|detective sergeant|hotel|nightclub|thief,336,R,15000000,1000,0
Rodman Flender,6,577,890,4002955,Comedy|Fantasy|Horror|Thriller,Vivica A. Fox,Idle Hands ,33745,3654,Elden Henson,0,breasts|female frontal nudity|nude woman murdered|slow motion scene|trailer home,198,R,20000000,729,0
David Lynch,0,669,6000,7219578,Drama|Mystery|Thriller,Naomi Watts,Mulholland Drive ,235992,8484,Laura Harring,1,amnesia|car accident|female protagonist|lesbian sex|loss of memory,1768,R,15000000,889,16000
Katja von Garnier,18,220,837,3525161,Drama|Fantasy|Horror|Romance,Olivier Martinez,Blood and Chocolate ,15388,1675,Chris Geere,0,colorado|love|murder|rocky mountains|werewolf,190,PG-13,,400,0
Woody Allen,11000,557,12000,3247816,Comedy|Drama|Romance,Anthony Hopkins,You Will Meet a Tall Dark Stranger ,36145,19310,Ewen Bremner,0,call girl|charlatan|fortune teller|manuscript|writer,108,R,22000000,6000,0
Mark Romanek,132,844,10000,2412045,Drama|Romance|Sci-Fi,Andrew Garfield,Never Let Me Go ,109873,12867,Charlotte Rampling,0,boarding school|childhood|love|love triangle|organ donation,320,R,15000000,882,33000
,,527,857,,Drama|History|Thriller,Anna Silk,The Company             ,3828,3809,Alessandro Nivola,3,cia|mole|revolution|spy|ussr,39,,,555,733
Brad Anderson,122,25,918,2203641,Crime|Drama|Mystery|Thriller,Thomas Kretschmann,Transsiberian ,42792,1252,Mac McDonald,0,35 mm digital camera|drugs|murder|train|travel,162,R,15000000,278,0
Michael Chapman,70,90,876,1953732,Adventure|Drama|Fantasy,Curtis Armstrong,The Clan of the Cave Bear ,4996,1351,Mike Muscat,0,cave bear|cro magnon|neanderthal|survival|tradition,62,R,15000000,324,843
Antonio Banderas,0,617,783,1954202,Comedy|Crime|Drama,Meat Loaf,Crazy in Alabama ,5917,4834,Noah Emmerich,0,abusive husband|alabama|boy|dream|sheriff,71,PG-13,15000000,664,391
Michael Haneke,0,287,6000,1294640,Crime|Drama|Horror|Thriller,Naomi Watts,Funny Games ,69569,6748,Brady Corbet,0,breaking the fourth wall|looking at the camera|remake|serial killer|violence,436,R,15000000,294,0
Khalil Sullins,5,46,192,,Drama|Sci-Fi|Thriller,Thomas Stroppel,Listening ,1933,527,Amber Marie Bollinger,0,divorce papers|fainting|mind control|playground|technology,13,,,134,708
Atom Egoyan,460,71,5000,819852,Drama|Thriller,Bob Hoskins,Felicia's Journey ,6690,5426,Gerard McSorley,0,caterer|catering|chef|friend|lawn mower,83,PG-13,,203,284
Fritz Lang,756,18,136,26435,Drama|Sci-Fi,Brigitte Helm,Metropolis ,111841,203,Rudolf Klein-Rogge,1,art deco|bible quote|dance|silent film|worker,413,Not Rated,6000000,23,12000
Pierre Morel,180,58,510,1197786,Action|Crime|Thriller,David Belle,District B13 ,55928,962,Dany Verissimo-Petit,2,bomb|gang|police|sister|undercover cop,157,R,12000000,297,0
Gary Fleder,39,642,12000,529766,Crime|Drama,Steve Buscemi,Things to Do in Denver When You're Dead ,22345,14889,Treat Williams,2,death|finger gun|video message|what happened to epilogue|wheelchair,144,R,7000000,970,0
Hsiao-Hsien Hou,141,56,1000,613556,Action|Drama,Qi Shu,The Assassin ,9427,1172,Satoshi Tsumabuki,1,black magic|china|love|refusal to kill|wuxia,87,Not Rated,15000000,103,0
Gregor Jordan,34,730,936,353743,Comedy|Crime|Drama|Thriller|War,Dean Stockwell,Buffalo Soldiers ,20730,3578,Leon,1,berlin wall|germany|murder|soldier|specialist,111,R,15000000,826,664
Andrey Zvyagintsev,445,9,20,502028,Drama|Mystery|Thriller,Konstantin Lavronenko,The Return ,31589,48,Nataliya Vdovina,0,boy|photograph|return|russian|wilderness,172,Unrated,,13,0
Tony Jaa,0,7,64,102055,Action,Nirut Sirichanya,Ong-bak 2 ,24570,134,Sarunyu Wongkrachang,0,cult film|elephant|jungle|martial arts|stylized violence,72,R,300000000,45,0
Neil Marshall,197,570,13000,122288,Action|Adventure|Drama|History|Thriller|War,Michael Fassbender,Centurion ,64777,15293,Dave Legeno,0,mushroom|mute|roman soldier|screaming|wood carving,201,R,,794,0
Russell Mulcahy,85,40,825,,Action|Drama|Thriller,Christopher Heyerdahl,Silent Trigger ,2699,1432,Conrad Dunn,0,assassin|die hard scenario|rangefinder|soldier|veteran,29,R,9000000,476,154
Ryûhei Kitamura,129,1000,14000,73548,Fantasy|Horror|Mystery,Bradley Cooper,The Midnight Meat Train ,47574,18639,Leslie Bibb,0,butcher|girlfriend|mute character|photographer|subway,209,R,15000000,1000,0
Darrell Roodt,36,2,549,,Biography|Drama|History,Jennifer Hudson,Winnie Mandela ,609,801,Aubrey Poo,2,character name in title|nelson mandela|one word title|reference to winnie mandela|south africa,15,R,15000000,248,705
Dito Montiel,68,642,17000,28870,Crime|Drama|Thriller,Channing Tatum,The Son of No One ,14280,32814,Tracy Morgan,5,housing project|letter|man with glasses|murder|subjective camera,41,R,15000000,14000,0
Stefan Ruzowitzky,24,125,776,22723,Action|Comedy|Drama|War,Eddie Izzard,All the Queen's Men ,2236,1732,Edward Fox,1,apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title,40,PG-13,25000000,595,193
Jake Paltrow,17,66,1000,20380,Comedy|Drama|Fantasy|Music|Romance,Stephen Graham,The Good Night ,7519,1245,Keith Allen,1,commercial|dream|dreaming|girl|new york city,39,R,15000000,165,445
Juraj Jakubisko,15,576,735,,Biography|Drama|Fantasy|History,Anna Friel,Bathory: Countess of Blood ,3425,2528,Franco Nero,1,bathory|countess|female protagonist|legend|virgin blood,32,R,,627,0
Anthony Silverston,0,912,14000,,Adventure|Animation|Family,Liam Neeson,Khumba ,4006,29488,Loretta Devine,0,herd|ostrich|waterhole|wildebeest|zebra,12,Not Rated,20000000,12000,0
Gabe Ibáñez,19,537,1000,,Action|Sci-Fi|Thriller,Birgitte Hjort Sørensen,Automata ,41638,2829,Melanie Griffith,0,child hitman|dystopia|future|robot|self repair,134,R,7000000,889,13000
Gerry Lively,93,51,179,,Action|Adventure|Fantasy,Bruce Payne,Dungeons & Dragons: Wrath of the Dragon God ,5018,363,Steven Elder,0,combat|helmet|martial arts|medieval times|violence,108,Not Rated,15000000,55,473
Daniele Luchetti,6,50,61,,Biography,Maximilian Dirr,Chiamatemi Francesco - Il Papa della gente ,80,192,Ferdinando Vetere,0,,4,,15000000,57,18
Tung-Shing Yee,3,19,556,,Action|Crime|Drama|Thriller,Bingbing Fan,Shinjuku Incident ,9177,996,Yasuaki Kurata,4,chinese|gang|gratitude|immigrant|japan,53,R,15000000,353,821
Julien Temple,67,303,631,,Biography|Drama,Samantha Morton,Pandaemonium ,695,1585,Linus Roache,1,betrayal|french revolution|friendship|poet|revolution,32,PG-13,15000000,452,277
Harold Ramis,11000,512,13000,70906973,Comedy|Fantasy|Romance,Bill Murray,Groundhog Day ,437418,15500,Willie Garson,1,cult film|existentialism|groundhog day|time loop|trapped in a time loop,609,PG,14600000,571,38000
Gregory Jacobs,13,642,20000,66009973,Comedy|Drama|Music,Matt Bomer,Magic Mike XXL ,38202,38963,Kevin Nash,3,male bonding|male friendship|male objectification|muscular|stripper,135,R,14800000,17000,41000
Baz Luhrmann,1000,954,29000,46338728,Drama|Romance,Leonardo DiCaprio,Romeo + Juliet ,167750,33791,Brian Dennehy,2,hawaiian shirt|love|shakespeare adaptation|shakespeare play|star crossed lovers,506,PG-13,14500000,1000,10000
Gilles Paquet-Brenner,15,121,1000,7691700,Drama|War,Kristin Scott Thomas,Sarah's Key ,12937,2140,Arben Bajraktaraj,2,apartment|escape|jewish family|journalist|key,73,PG-13,10000000,767,0
Peter Cousens,5,124,467,,Drama|Family|Music,Sharon Leal,Freedom ,993,994,Bart Shatto,2,19th century|christian film|hymn|religion|slave,13,R,14500000,220,998
Clint Eastwood,16000,638,16000,101157447,Drama|Western,Clint Eastwood,Unforgiven ,277505,28544,Frances Fisher,1,englishman|leaving flowers on a grave|one last job|reputation|visiting wife's grave,495,R,14400000,11000,10000
Lars von Trier,3000,236,3000,74205,Drama,Bryce Dallas Howard,Manderlay ,18646,4211,Jean-Marc Barr,1,cotton|female frontal nudity|flogging|gangster|slavery,81,Not Rated,14200000,769,1000
Danny Boyle,0,40,668,141319195,Drama|Romance,Anil Kapoor,Slumdog Millionaire ,641997,820,Ayush Mahesh Khedekar,0,cheating|falling from height|murder|non professional cast|slum,1017,R,15000000,56,13000
Adrian Lyne,213,249,886,156645693,Drama|Romance|Thriller,Fred Gwynne,Fatal Attraction ,55101,1639,Anne Archer,0,borderline personality disorder|killing a pet|madame butterfly|new york|new york city,201,R,14000000,276,3000
Garry Marshall,0,700,8000,178406268,Comedy|Romance,Julia Roberts,Pretty Woman ,213476,11135,Jason Alexander,2,businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman,271,R,14000000,995,11000
John Blanchard,0,176,770,,Comedy,Martin Short,Towering Inferno             ,10,1125,Joe Flaherty,2,,,,,179,0
John Cornell,5,57,442,109306210,Action|Adventure|Comedy,Paul Hogan,Crocodile Dundee II ,44096,717,John Meillon,1,australia|australian|crime boss|crocodile|gangster,62,PG,15800000,162,489
Vidhu Vinod Chopra,34,277,892,,Action|Crime|Drama|Mystery|Thriller,María Valverde,Broken Horses ,1554,2055,Chad Bishop,0,,20,R,15000000,355,0
Oliver Stone,0,560,10000,70001698,Biography|Drama|War,Tom Cruise,Born on the Fourth of July ,76842,12098,Stephen Baldwin,0,desert|drunkenness|religious mother|strict mother|vietnam war,173,R,14000000,854,4000
Jon Turteltaub,226,496,953,68856263,Adventure|Comedy|Family|Sport,Doug E. Doug,Cool Runnings ,69733,2496,Malik Yoba,1,bobsled|coach|jamaica|olympic games|olympics,97,PG,15000000,730,0
Patrick Lussier,71,725,10000,51527787,Horror|Thriller,Jensen Ackles,My Bloody Valentine ,45603,14159,Edi Gathegi,0,coma|death|miner|valentine|valentine's day,268,R,15000000,960,0
Ole Bornedal,30,309,941,49122319,Horror|Thriller,Kyra Sedgwick,The Possession ,47169,2348,Natasha Calis,0,basketball coach|box|jewish|rabbi|yard sale,162,PG-13,14000000,459,17000
Ted Kotcheff,270,535,13000,,Action|Adventure|Drama,Sylvester Stallone,First Blood ,172493,15192,Chris Mulkey,1,1980s|colonel|deputy|rambo|sheriff,376,R,14000000,954,0
Sylvain White,41,748,997,61356221,Drama|Music|Romance,Chris Brown,Stomp the Yard ,19505,3544,Harry Lennix,0,atlanta georgia|competition|dancer|death|fraternity,162,PG-13,14000000,826,0
Lewis Gilbert,43,238,456,46800000,Action|Adventure|Sci-Fi|Thriller,Caroline Munro,The Spy Who Loved Me ,76477,1326,Barbara Bach,2,1970s|cult film|official james bond series|submarine|world war three,275,PG,14000000,244,0
,,84,155,,Documentary,Amy Bruni,Ghost Hunters             ,5563,552,Jason Hawes,0,ghost|paranormal|paranormal research|shaky cam,57,,,130,373
Jamie Blanks,9,648,975,38048637,Horror|Mystery|Thriller,Alicia Witt,Urban Legend ,47814,3500,Julian Richings,4,campus|death|friend|professor|urban legend,426,R,14000000,912,0
Stephen Frears,350,418,18000,34700000,Drama|Romance,Keanu Reeves,Dangerous Liaisons ,52846,35501,Swoosie Kurtz,2,catholic|corruption|emotional abuse|france|seduction,143,R,14000000,17000,0
Tyler Perry,0,490,849,35010192,Comedy|Drama|Romance,Eddie Cibrian,Good Deeds ,6352,2226,Jamie Kennedy,1,businessman|fight|mean brother|narrated by character|wordplay in title,43,PG-13,,597,0
Randal Kleiser,116,25,327,34793160,Adventure|Drama,Seymour Cassel,White Fang ,15730,552,Susan Hogan,1,alaska|dog|friendship|gold|yukon,31,PG,14000000,172,0
Bruce McCulloch,54,636,8000,30628981,Comedy|Romance,Will Ferrell,Superstar ,15047,10792,Molly Shannon,1,dancing|orphan|school|special education|student,160,PG-13,14000000,670,2000
Phyllida Lloyd,58,583,11000,29959436,Biography|Drama|History,Meryl Streep,The Iron Lady ,82327,12894,Olivia Colman,1,british prime minister|female prime minister|politics|prime minister|told in flashback,350,PG-13,13000000,1000,18000
Mike Nawrocki,12,8,23,25571351,Adventure|Animation|Comedy|Drama|Family|Musical,Phil Vischer,Jonah: A VeggieTales Movie ,3135,49,Shelby Vischer,0,anthropomorphism|pirate|pirate ship|tomato|whale,78,G,14000000,12,184
John Singleton,309,279,592,27515786,Drama|Romance,Janet Jackson,Poetic Justice ,8904,1620,Maya Angelou,0,african american|mail carrier|poetry|postal worker|south central los angeles,31,R,14000000,556,0
Kevin Bray,10,111,706,25482931,Action|Comedy|Crime|Thriller,Mike Epps,All About the Benjamins ,9693,1421,Gino Salvano,2,black comedy|bounty hunter|diamond|machismo|money,33,R,14000000,266,530
Wes Craven,0,364,723,19900000,Comedy|Fantasy|Horror|Romance,John Witherspoon,Vampire in Brooklyn ,17262,2348,Allen Payne,1,blood|destiny|nightmare|partner|vampire,53,R,20000000,422,1000
John Boorman,128,467,931,,Horror,Linda Blair,Exorcist II: The Heretic ,16294,2704,Ned Beatty,7,demon|exorcism|locust|priest|repressed memory,252,R,14000000,726,889
Courtney Solomon,31,50,874,16298046,Horror|Mystery|Thriller,Sissy Spacek,An American Haunting ,22207,1608,Vernon Dobtcheff,0,flashback|lifting someone into the air|paranormal phenomena|voice over letter|year 1818,747,PG-13,14000000,613,0
David Zucker,119,636,869,15549702,Comedy|Romance,Carmen Electra,My Boss's Daughter ,24038,3007,Molly Shannon,2,boss' daughter|crush|house sitter|housesitting|love interest,123,PG-13,14000000,779,411
David Twohy,123,690,26000,15483540,Adventure|Mystery|Thriller,Chris Hemsworth,A Perfect Getaway ,56338,41359,Marley Shelton,4,cliff|hawaii|island|newlywed|waterfall,215,R,14000000,14000,4000
Rick Famuyiwa,44,625,953,20246959,Comedy|Romance,America Ferrera,Our Family Wedding ,5721,3299,Lupe Ontiveros,2,california|love|marriage|wedding|wedding dress,20,PG-13,14000000,849,1000
Alan Cohn,0,654,3000,15062898,Comedy,Alyson Hannigan,Dead Man on Campus ,11729,6861,Poppy Montgomery,0,college|college roommate|party|roommate|student,106,R,14000000,2000,645
Franco Zeffirelli,160,55,718,14348123,Comedy|Drama|War,Lily Tomlin,Tea with Mussolini ,9323,1148,Paolo Seganti,6,ambassador|american|art|english|italy,157,PG,12000000,330,970
Tom Holland,85,514,1000,15171475,Fantasy|Horror,Joe Mantegna,Thinner ,19805,2777,Kari Wuhrer,0,death|doctor|gypsy|judge|lawyer,122,R,8500000,855,0
Martin Scorsese,17000,213,22000,,Drama|Music|Musical|Romance,Robert De Niro,New York, New York ,13548,23378,Mary Kay Place,0,love|musician|saxophonist|singer|songwriter,75,PG,14000000,740,932
Spike Lee,0,534,1000,13640000,Comedy|Drama,Alfre Woodard,Crooklyn ,6011,3267,Isaiah Washington,0,argument|birthday|bully|coming of age|semi autobiographical,39,PG-13,14000000,848,905
Chris Rock,0,458,12000,12550242,Comedy|Drama|Romance,Steve Buscemi,I Think I Love My Wife ,13866,13446,Wendell Pierce,3,banker|investment|investment banker|marriage|sex,55,R,,490,488
James Isaac,52,489,1000,12610731,Action|Horror|Sci-Fi|Thriller,Peter Mensah,Jason X ,38985,3050,Lexa Doig,1,jason voorhees|lake|machete|scientist|slasher,673,R,11000000,935,0
Shawn Levy,189,799,934,47811275,Adventure|Comedy|Family,Frankie Muniz,Big Fat Liar ,29008,3707,Lee Majors,1,brunette|film producer|liar|prank|stunt,99,PG,15000000,927,896
Emilio Estevez,0,383,12000,11204499,Drama|History,Anthony Hopkins,Bobby ,38142,13528,Brian Geraghty,0,campaign|chess|friend|hotel|senator,270,R,14000000,593,0
