director_name,num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,num_voted_users,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,imdb_score,movie_facebook_likes
Richard Brooks,42,125,Jean Simmons,556,Drama,Shirley Jones,7998,1,1920s|evangelist|preacher|revival|traveling salesman,http://www.imdb.com/title/tt0053793/?ref_=fn_tt_tt_1,81,English,Approved,3000000,7.9,808
Stanley Kramer,73,760,Montgomery Clift,877,Drama|War,Maximilian Schell,44457,0,judge|law|nazi|nuremberg|war crime,http://www.imdb.com/title/tt0055031/?ref_=fn_tt_tt_1,176,English,Not Rated,3000000,8.3,0
David Raynr,16,200,Deon Richmond,927,Comedy,Donald Faison,1004,3,apostrophe in title|bare breasts|female nudity|nude black woman|prom,http://www.imdb.com/title/tt0160298/?ref_=fn_tt_tt_1,8,English,R,,5.2,143
,38,0,Seth Green,11,Animation|Comedy,Matthew Senreich,32923,0,celebrity|robot|satire|sketch comedy|stop motion animation,http://www.imdb.com/title/tt0437745/?ref_=fn_tt_tt_1,75,English,TV-MA,,7.8,1000
Howard Hawks,91,281,Walter Brennan,862,Action|Adventure|Romance|Western,Montgomery Clift,21316,0,cattle|cattle drive|cowboy|kansas|texas,http://www.imdb.com/title/tt0040724/?ref_=fn_tt_tt_1,162,English,Approved,3000000,7.8,0
Nnegest Likké,37,233,Jimmy Jean-Louis,939,Comedy,Mo'Nique,8279,0,female protagonist|size positive|thin|title directed by female|wet dream,http://www.imdb.com/title/tt0490196/?ref_=fn_tt_tt_1,101,English,PG-13,3000000,3.0,837
Richard Linklater,405,48,Ariane Labed,140,Drama|Romance,Seamus Davey-Fitzpatrick,95362,1,friend|greece|greek|hotel room|twin,http://www.imdb.com/title/tt2209418/?ref_=fn_tt_tt_1,270,English,R,3000000,7.9,62000
Christopher Leitch,29,152,Robert Neary,641,Comedy|Fantasy,John Astin,8465,1,falling in love|glowing eyes|insult|teenager|three word title,http://www.imdb.com/title/tt0094118/?ref_=fn_tt_tt_1,65,English,PG,3000000,3.2,491
Don Coscarelli,81,135,A. Michael Baldwin,674,Action|Fantasy|Horror|Sci-Fi|Thriller,Angus Scrimm,9502,1,cemetery|female nudity|mortuary|sphere|tall man,http://www.imdb.com/title/tt0095863/?ref_=fn_tt_tt_1,100,English,R,3000000,6.5,812
Michael Schultz,17,469,Kimberly Elise,912,Drama,Loretta Devine,806,0,abuse|bishop|death|flashback|poverty,http://www.imdb.com/title/tt0399901/?ref_=fn_tt_tt_1,23,English,R,,6.9,187
Patricia Cardoso,75,453,Lupe Ontiveros,953,Comedy|Drama,America Ferrera,6000,1,education|factory|high school|mexican american|religious icon,http://www.imdb.com/title/tt0296166/?ref_=fn_tt_tt_1,109,English,PG-13,3000000,7.0,595
,,110,Jessica De Gouw,578,Drama|War,Rachel Griffiths,299,0,gallipoli|tv mini series|world war one,http://www.imdb.com/title/tt3458030/?ref_=fn_tt_tt_1,1,English,,15000000,7.4,367
Deepa Mehta,91,31,Lisa Ray,1000,Drama|Romance,John Abraham,12560,0,ashram|india|love|tradition|widow,http://www.imdb.com/title/tt0240200/?ref_=fn_tt_tt_1,147,Hindi,PG-13,,7.8,0
Damien O'Donnell,82,163,Jimi Mistry,883,Comedy|Drama,Archie Panjabi,14548,0,england|marriage|muslim|pakistani|salford,http://www.imdb.com/title/tt0166175/?ref_=fn_tt_tt_1,161,English,R,1900000,6.9,1000
Peter M. Cohen,48,51,Brian Van Holt,472,Comedy|Romance,Callie Thorne,3665,1,dating|diner|masturbation|urination|washington square manhattan new york city,http://www.imdb.com/title/tt0174336/?ref_=fn_tt_tt_1,81,English,R,3000000,4.4,131
Mira Nair,33,200,Sarita Choudhury,729,Crime|Drama|History|Romance,Indira Varma,8239,0,courtesan|friend|kama sutra|seduction|wedding,http://www.imdb.com/title/tt0116743/?ref_=fn_tt_tt_1,92,English,R,3000000,6.0,0
Nicole Holofcener,133,547,Thomas Ian Nicholas,1000,Comedy|Drama,Oliver Platt,9808,0,apartment|first date|neighbor|new york|new york city,http://www.imdb.com/title/tt0878835/?ref_=fn_tt_tt_1,53,English,R,,6.6,0
Mel Stuart,104,124,Jack Albertson,240,Family|Fantasy|Musical,Peter Ostrum,128334,1,candy|chocolate|factory|miniaturization|sudden change in size,http://www.imdb.com/title/tt0067992/?ref_=fn_tt_tt_1,349,English,G,3000000,7.8,0
Anthony Hickox,22,222,Zach Galligan,687,Fantasy|Horror,Julian Sands,3943,0,druid|eclipse|rune|scalping|warlock,http://www.imdb.com/title/tt0108517/?ref_=fn_tt_tt_1,49,English,R,3000000,5.3,217
Tom Schulman,30,267,George Hamilton,578,Comedy|Crime,Kristy Swanson,8005,0,camera shot of feet|female stockinged feet|female stockinged soles|nude pantyhose|pantyhose,http://www.imdb.com/title/tt0118541/?ref_=fn_tt_tt_1,49,English,R,3000000,5.3,417
Terrence Malick,112,180,Stuart Margolin,820,Drama|Romance,Sam Shepard,37594,0,farm|farm worker|grasshopper|harvest|wealth,http://www.imdb.com/title/tt0077405/?ref_=fn_tt_tt_1,181,English,PG,3000000,8.0,0
Jill Sprecher,79,194,Rob McElhenney,11000,Drama,Matthew McConaughey,8603,2,attorney|happiness|house cleaner|physics|professor,http://www.imdb.com/title/tt0268690/?ref_=fn_tt_tt_1,115,English,R,4500000,7.1,430
Darren Stein,49,844,Judy Greer,3000,Comedy|Crime|Thriller,Julie Benz,18711,3,best friend|bitch|friend|popular girl|prom,http://www.imdb.com/title/tt0155776/?ref_=fn_tt_tt_1,183,English,R,3500000,5.4,0
Julian Schnabel,42,353,Michael Wincott,10000,Biography|Drama,Gary Oldman,15885,4,andy warhol|art|artist|friendship|street artist,http://www.imdb.com/title/tt0115632/?ref_=fn_tt_tt_1,78,English,R,3300000,6.9,0
Noah Baumbach,345,270,Grace Gummer,962,Comedy|Drama|Romance,Greta Gerwig,43982,0,best friend|black and white|father daughter relationship|female protagonist|mother daughter relationship,http://www.imdb.com/title/tt2347569/?ref_=fn_tt_tt_1,139,English,R,,7.4,11000
Gavin Hood,152,29,Nambitha Mpumlwana,113,Crime|Drama,Terry Pheto,25063,1,baby|bathing a baby|criminal|slum|vomiting,http://www.imdb.com/title/tt0468565/?ref_=fn_tt_tt_1,177,Zulu,R,3000000,7.3,0
Todd Solondz,148,812,Jon Lovitz,22000,Comedy|Drama,Philip Seymour Hoffman,55329,9,ensemble cast|episodic structure|satire|social satire|suburb,http://www.imdb.com/title/tt0147612/?ref_=fn_tt_tt_1,499,English,,3000000,7.8,0
George Gallo,23,24,Joe Howard,489,Comedy|Documentary,Eddie Griffin,761,1,african american|family relationships|stand up comedian|stand up comedy,http://www.imdb.com/title/tt0337996/?ref_=fn_tt_tt_1,14,English,R,3000000,6.6,26
Kevin Smith,254,387,Haley Joel Osment,40000,Comedy|Drama|Horror,Johnny Depp,31089,0,canada|human becoming an animal|mad scientist|part of trilogy|walrus,http://www.imdb.com/title/tt3099498/?ref_=fn_tt_tt_1,261,English,R,3000000,5.4,20000
Chan-wook Park,305,38,Ji-tae Yu,717,Drama|Mystery|Thriller,Min-sik Choi,356181,0,brother sister relationship|hypnosis|imprisonment|love|revenge,http://www.imdb.com/title/tt0364569/?ref_=fn_tt_tt_1,809,Korean,R,3000000,8.4,43000
David Nixon,19,221,Michael Bolten,439,Drama|Family,Robyn Lively,3942,0,cancer|faith|hope|letter|prayer,http://www.imdb.com/title/tt1462054/?ref_=fn_tt_tt_1,65,English,PG,3500000,6.3,0
Jason Eisener,272,104,Robb Wells,694,Action|Comedy|Thriller,Gregory Smith,37495,4,hobo|pedophile|rampage|shotgun|vigilante,http://www.imdb.com/title/tt1640459/?ref_=fn_tt_tt_1,230,English,Not Rated,3000000,6.1,37000
Enrique Begne,5,165,Héctor Jiménez,574,Action|Comedy,Kevin Pollak,368,2,,http://www.imdb.com/title/tt3367294/?ref_=fn_tt_tt_1,8,English,R,3000000,5.0,174
Matthew Bright,65,221,Dan Hedaya,904,Comedy|Crime|Drama|Thriller,Bokeem Woodbine,22246,1,freeway|nightmare|police|school|trailer park,http://www.imdb.com/title/tt0116361/?ref_=fn_tt_tt_1,196,English,R,3000000,6.9,0
Michael Landon Jr.,5,331,Kevin Gage,702,Drama|Family|Western,William Morgan Sheppard,1289,0,19th century|faith|mayor|ranch|sheriff,http://www.imdb.com/title/tt0785025/?ref_=fn_tt_tt_1,18,,PG,3000000,7.2,76
Andrea Arnold,248,168,Harry Treadaway,13000,Drama,Michael Fassbender,47385,0,15 year old|dancing|essex|little sister|suburb,http://www.imdb.com/title/tt1232776/?ref_=fn_tt_tt_1,112,English,Not Rated,,7.3,0
Whit Stillman,152,322,Megalyn Echikunwoke,962,Comedy|Drama|Romance,Greta Gerwig,7625,5,college|college campus|dance craze|depression|fraternity,http://www.imdb.com/title/tt1667307/?ref_=fn_tt_tt_1,54,English,PG-13,,5.7,0
,10,476,Colm Feore,723,Horror|Sci-Fi|Thriller,Craig T. Nelson,2011,3,author cameo|family relationships|island|monster|two part tv movie,http://www.imdb.com/title/tt0156205/?ref_=fn_tt_tt_1,33,English,,,5.0,518
Leslye Headland,156,416,Adam Scott,4000,Comedy|Romance,Kirsten Dunst,37156,3,bachelorette party|drug use|high school|overdose|wedding dress,http://www.imdb.com/title/tt1920849/?ref_=fn_tt_tt_1,129,English,R,3000000,5.3,0
,7,246,Megan Hilty,786,Comedy|Drama|Horror|Sci-Fi|Thriller,Danny Pino,2948,0,brains|exploding head|politician|swarm behavior|washington d.c.,http://www.imdb.com/title/tt4877736/?ref_=fn_tt_tt_1,28,English,,,7.9,3000
Bobby Roth,1,249,Aaron Ashmore,912,Drama|Family|Music,Virginia Madsen,758,2,based on a book|based on a novel|made for tv movie|music school|support,http://www.imdb.com/title/tt0403118/?ref_=fn_tt_tt_1,27,English,PG-13,,5.0,47
Tim Heidecker,82,197,William Atherton,536,Comedy,Michael Gross,7988,3,film in film|man with glasses|reference to steven spielberg|self referential|shopping mall,http://www.imdb.com/title/tt1855401/?ref_=fn_tt_tt_1,71,English,R,3000000,5.3,0
Rupert Wyatt,175,81,Cjon Saulsberry,3000,Crime|Drama|Thriller,George Kennedy,48562,1,dog|gambler|gambling|gangster|professor,http://www.imdb.com/title/tt2039393/?ref_=fn_tt_tt_1,145,English,R,25000000,6.0,0
,4,23,Amanda Mealing,40,Drama,Susan Hampshire,437,0,concierge|front desk|hotel|maid|prostitute,http://www.imdb.com/title/tt0118327/?ref_=fn_tt_tt_1,20,English,,,7.6,450
Marco Kreuzpaintner,40,17,Kostja Ullmann,289,Comedy|Drama|Romance|Sport,Alicja Bachleda,11074,0,friend|friendship|rowing|storm|summer camp,http://www.imdb.com/title/tt0420206/?ref_=fn_tt_tt_1,56,German,R,2700000,7.4,442
Kate Connor,8,847,Eric Stoltz,1000,Drama|History|War,Johnny Pacar,266,1,,http://www.imdb.com/title/tt1282046/?ref_=fn_tt_tt_1,8,English,R,3000000,5.9,348
Deon Taylor,63,236,Betsy Russell,487,Horror|Thriller,Matt Cohen,4122,0,blood splatter|chain|murder|mysterious killer|warning,http://www.imdb.com/title/tt1148200/?ref_=fn_tt_tt_1,48,English,R,5000000,4.1,0
Jason Alexander,20,56,Patti LuPone,599,Comedy|Drama,Gretchen Mol,1238,1,1955 chevrolet|nurse|peeping tom|reference to brooklyn dodgers|spying,http://www.imdb.com/title/tt0162236/?ref_=fn_tt_tt_1,25,English,R,3000000,6.7,117
Xavier Gens,174,605,Lauren German,2000,Drama|Sci-Fi|Thriller,Michael Biehn,30511,4,doggystyle sex|rough sex|sodomy|torture|violent sex,http://www.imdb.com/title/tt1535616/?ref_=fn_tt_tt_1,226,English,R,3000000,5.8,0
Conor McPherson,90,77,Iben Hjejle,767,Drama|Horror|Romance,Aidan Quinn,2437,0,ghost|irish|kissing|novelist|widower,http://www.imdb.com/title/tt1346961/?ref_=fn_tt_tt_1,31,English,R,,6.2,580
Will Canon,58,617,Scott Mechlowicz,798,Horror|Thriller,Frank Grillo,7358,1,death|detective|house|missing|supernatural,http://www.imdb.com/title/tt1841642/?ref_=fn_tt_tt_1,39,English,R,3000000,5.3,0
