director_name,num_critic_for_reviews,actor_2_name,gross,actor_1_name,movie_title,actor_3_name,num_user_for_reviews,country,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Philip Zlotorynski,14,Darren Keefe Reiher,,Neil Hopkins,My Big Fat Independent Movie ,David Douglas,24,USA,27,3.3,1.78,48
Tim Burton,451,Alan Rickman,334185206,Johnny Depp,Alice in Wonderland ,Anne Hathaway,736,USA,25000,6.5,1.85,24000
Lance Kawas,,Michael Rapaport,,Taylor Negron,The Deported ,Talia Shire,1,USA,975,6.2,1.85,54
Francesca Gregorini,21,Amy Sedaris,5005,Tom Everett Scott,Tanner Hall ,Chris Kattan,14,USA,396,5.9,,448
Marcio Garcia,9,Kristi Clainos,,John Savage,Open Road ,Emily Nelson,9,Brazil,124,5.5,2.35,433
David Wain,98,Amy Poehler,,Christopher Meloni,They Came Together ,Jack McBrayer,85,USA,1000,5.5,1.85,0
Craig Moss,29,Ashley Martin,,French Stewart,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,Olivia Alexander,13,USA,302,2.6,1.85,2000
Michael Jai White,23,Alex Meraz,,Michael Jai White,Never Back Down 2: The Beatdown ,Jillian Murray,30,USA,606,5.8,1.85,6000
John Boorman,87,Angie Dickinson,,Lee Marvin,Point Blank ,Carroll O'Connor,128,USA,754,7.4,2.35,3000
Paolo Monico,2,Sarah Rafferty,,Stephanie Szostak,Four Single Fathers ,Salvatore Santone,1,Italy,810,5.1,,32
Youssef Delara,17,David Bianchi,,Noel Gugliemi,Enter the Dangerous Mind ,Jason Priestley,9,USA,715,5.2,2.35,406
Darin Scott,7,Shantel VanSanten,,Julian Morris,Something Wicked ,John Robinson,15,USA,747,4.8,,395
Christian Sesma,6,Brooke Newton,,Bokeem Woodbine,AWOL-72 ,Brett Wagner,8,USA,779,3.9,,398
Monte Hellman,9,Jack Taylor,,Everett McGill,Iguana ,Fabio Testi,9,Italy,39,6.2,1.85,37
Kenneth Branagh,343,Derek Jacobi,201148159,Hayley Atwell,Cinderella ,Lily James,323,USA,520,7.0,2.35,56000
Brian Caunter,11,Stacy Keach,,Mike Starr,Chicago Overcoat ,Frank Vincent,14,USA,602,6.2,1.78,229
Chris D'Arienzo,34,Cybill Shepherd,,Judy Greer,Barry Munday ,Shea Whigham,20,USA,536,5.9,1.85,480
Walter Salles,71,Matheus Nachtergaele,5595428,Fernanda Montenegro,Central Station ,Othon Bastos,257,Brazil,14,8.0,2.35,0
Frank Capra,21,Glenn Ford,,Ann-Margret,Pocketful of Miracles ,Thomas Mitchell,40,USA,416,7.3,2.35,612
Isaac Florentine,28,Nick Chinlund,,Anthony L. Fernandez,Close Range ,Scott Evans,31,USA,277,4.9,,968
Susan Seidelman,35,Michael Nouri,3123749,Dyan Cannon,Boynton Beach Club ,Brenda Vaccaro,27,USA,225,6.5,1.85,88
Michael Polish,30,Patrick Bauchau,,Olivia Rose Keegan,Amnesiac ,Mia Barron,15,USA,158,4.3,,421
Heidi Ewing,73,James Ransone,100675,Greg Crowe,Freakonomics ,Tempestt Bledsoe,23,USA,412,6.4,,0
Richard Donner,154,Patrick Troughton,,Lee Remick,The Omen ,Billie Whitelaw,310,UK,139,7.6,2.35,7000
Alexandre Aja,251,Maïwenn,3645438,Cécile De France,High Tension ,Oana Pellea,539,France,236,6.8,2.35,0
Leon Ford,57,Patrick Brammall,,Maeve Dermody,Griff the Invisible ,Kelly Paterniti,32,Australia,96,6.1,1.85,0
Hank Braxtan,14,Gregory Cruz,,Q'orianka Kilcher,Unnatural ,Allegra Carpenter,17,USA,234,4.0,2.35,369
Craig Brewer,159,Paula Jai Parker,22201636,Isaac Hayes,Hustle & Flow ,Elise Neal,206,USA,247,7.4,1.85,0
Billy Wilder,181,Joe E. Brown,25000000,Nehemiah Persoff,Some Like It Hot ,George Raft,350,USA,103,8.3,1.66,10000
John Carl Buechler,110,Terry Kiser,19170001,Kane Hodder,Friday the 13th Part VII: The New Blood ,William Butler,270,USA,448,5.3,1.85,0
Victor Fleming,213,Terry,22202612,Margaret Hamilton,The Wizard of Oz ,Billie Burke,533,USA,421,8.1,1.37,14000
Mel Brooks,129,Peter Boyle,86300000,Madeline Kahn,Young Frankenstein ,Teri Garr,315,USA,595,8.0,1.85,14000
George A. Romero,280,Shawn Roberts,952620,Megan Park,Diary of the Dead ,Joe Dinicol,332,USA,529,5.7,1.85,0
Rajkumar Hirani,15,Sanjay Dutt,,Vidya Balan,Lage Raho Munna Bhai ,Jimmy Shergill,106,India,426,8.2,2.35,349
Victor Nunez,61,Patricia Richardson,9054736,Peter Fonda,Ulee's Gold ,Vanessa Zima,57,USA,222,7.1,1.66,381
Carroll Ballard,33,Kelly Reno,,Teri Garr,The Black Stallion ,Hoyt Axton,90,USA,81,7.4,1.85,0
Rohit Jugraj,1,Neeru Bajwa,,Bhavkhandan Singh Rakhra,Sardaar Ji ,Diljit Dosanjh,8,Canada,85,6.6,,50
Thorbjørn Christoffersen,2,Frank Hvam,,Iben Hjejle,Journey to Saturn ,Casper Christensen,6,Denmark,33,5.7,1.85,77
John Ford,27,Cesar Romero,,Lee Marvin,Donovan's Reef ,Jack Warden,65,USA,370,6.9,1.85,573
Alex van Warmerdam,19,Ariane Schluter,,Rijk de Gooyer,The Dress ,Henri Garcin,5,Netherlands,3,7.0,1.85,121
Victor Fleming,9,Esther Williams,,Spencer Tracy,A Guy Named Joe ,Irene Dunne,27,USA,675,7.0,1.37,116
Mel Brooks,121,David Huddleston,119500000,Madeline Kahn,Blazing Saddles ,Harvey Korman,363,USA,1000,7.8,2.35,12000
Joseph Zito,166,Tom Everett,32600000,Judie Aronson,Friday the 13th: The Final Chapter ,Kimberly Beck,326,USA,84,5.9,1.85,0
Pawel Pawlikowski,269,Agata Trzebuchowska,3826455,Joanna Kulig,Ida ,Agata Kulesza,123,Poland,64,7.4,1.33,17000
James Ivory,29,Denholm Elliott,3130592,Rupert Graves,Maurice ,Simon Callow,69,UK,249,7.8,1.66,963
Frank Sebastiano,20,Laurie Metcalf,475000,Joe Lo Truglio,Beer League ,Seymour Cassel,53,USA,549,6.0,,323
Rand Ravich,107,Charlize Theron,10654581,Johnny Depp,The Astronaut's Wife ,Clea DuVall,260,USA,9000,5.3,1.85,1000
Stacy Peralta,74,Gabrielle Reece,2276368,Gerry Lopez,Riding Giants ,Laird John Hamilton,37,USA,52,7.9,,0
Nacho Vigalondo,173,Nacho Vigalondo,38108,Karra Elejalde,Timecrimes ,Bárbara Goenaga,124,Spain,76,7.2,1.85,0
Hao Ning,5,Bo Huang,,Jack Kao,Silver Medallist ,Zheng Xu,4,China,4,7.4,2.35,30
Tony Giglio,66,Nick Searcy,,Brianna Brown,Timber Falls ,Beth Broderick,47,USA,272,5.3,1.85,254
Stanley Donen,169,Debbie Reynolds,,Rita Moreno,Singin' in the Rain ,Cyd Charisse,568,USA,786,8.3,1.37,0
Joe Cross,13,Joel Fuhrman,,Joe Cross,Fat, Sick & Nearly Dead ,Amy Badberg,25,Australia,2,7.6,,10000
Michael Tiddes,129,Alanna Ubach,40041683,Essence Atkins,A Haunted House ,J.B. Smoove,107,USA,584,5.1,1.85,0
Dinesh D'Souza,30,Zackary Steven Graham,33349949,Barack Obama,2016: Obama's America ,Dinesh D'Souza,199,USA,118,5.1,1.85,0
Rob Zombie,220,Tyler Mane,33386128,Scout Taylor-Compton,Halloween II ,Margot Kidder,491,USA,764,4.9,1.85,3000
Tom Hanks,75,Charlize Theron,25809813,Tom Hanks,That Thing You Do! ,Ethan Embry,212,USA,9000,6.9,1.37,0
Tommy Lee Wallace,162,Dan O'Herlihy,14400000,Tom Atkins,Halloween III: Season of the Witch ,Nancy Kyes,532,USA,128,4.6,2.35,0
Don Taylor,74,M. Emmet Walsh,,Roddy McDowall,Escape from the Planet of the Apes ,Sal Mineo,92,USA,521,6.3,2.35,819
Martin Ritt,65,Melvyn Douglas,,Patricia Neal,Hud ,Whit Bissell,120,USA,189,7.9,2.35,1000
Leslie Small,26,La'Princess Jackson,32230907,David Jason Perez,Kevin Hart: Let Me Explain ,Dana Hanna,30,USA,309,6.7,1.85,0
Gus Van Sant,63,Udo Kier,6401336,Keanu Reeves,My Own Private Idaho ,Flea,153,USA,595,7.1,1.78,0
Zach Braff,205,Michael Weston,26781723,Armando Riesco,Garden State ,Jill Flint,978,USA,379,7.6,2.35,0
Richard Linklater,121,Hans Weingartner,5400000,Hanno Pöschl,Before Sunrise ,Dominik Castell,395,USA,12,8.1,1.85,22000
Éric Tessier,9,Michel Côté,,Patrick Huard,Sur le seuil ,Jean Pierre Bergeron,5,Canada,16,6.6,1.85,39
Alison Maclean,74,Samantha Morton,1282084,Billy Crudup,Jesus' Son ,Mark Webber,87,USA,631,7.0,2.35,500
Alice Wu,54,Ato Essandoh,1186323,Joan Chen,Saving Face ,Jessica Hecht,84,USA,265,7.6,1.85,774
Sarah Gavron,80,Christopher Simpson,1094998,Satish Kaushik,Brick Lane ,Tannishtha Chatterjee,29,UK,41,6.7,2.35,430
Jake Schreier,252,Joshua Ormond,3325638,Frank Langella,Robot & Frank ,Ana Gasteyer,84,USA,291,7.1,2.35,13000
Isabel Coixet,72,Julian Richings,395592,Sarah Polley,My Life Without Me ,Amanda Plummer,134,Spain,648,7.6,1.85,0
James Ponsoldt,220,Jennifer Jason Leigh,6851969,Shailene Woodley,The Spectacular Now ,Dayo Okeniyi,178,USA,1000,7.1,2.35,10000
Randall Miller,1,Elden Henson,333658,William Hurt,Marilyn Hotchkiss' Ballroom Dancing and Charm School ,Michael Bower,2,USA,577,7.1,,16
Larry Charles,197,Tal Bachman,12995673,Bill Maher,Religulous ,Steve Burg,345,USA,4,7.7,1.78,24000
Joshua Tickell,14,Sheryl Crow,173783,Larry David,Fuel ,George W. Bush,34,USA,130,7.6,1.85,588
Tim Boxell,3,Diana Scarwid,118666,Bruce McGill,Valley of the Heart's Delight ,Tom Bower,3,USA,157,6.6,1.85,144
Rawson Marshall Thurber,191,Stephen Root,114324072,Gary Cole,Dodgeball: A True Underdog Story ,Joel David Moore,392,USA,939,6.7,2.35,0
Michael D. Sellers,18,Carly Schroeder,71904,Katharine Ross,Eye of the Dolphin ,George Harris,18,USA,261,5.7,1.85,140
Reed Cowan,28,Emily Pearson,99851,Dustin Lance Black,8: The Mormon Proposition ,Gavin Newsom,30,USA,12,7.1,1.78,0
James Dodson,22,Anupam Kher,115504,Larry Miller,The Other End of the Line ,Shriya Saran,26,UK,397,6.2,2.35,0
Stefan Ruzowitzky,62,Rüdiger Vogler,5725,Benno Fürmann,Anatomy ,Sebastian Blomberg,110,Germany,10,6.1,2.35,560
Alex Rivera,47,Jacob Vargas,75727,Leonor Varela,Sleep Dealer ,Tenoch Huerta,40,USA,399,5.9,1.85,0
James Gunn,238,Rainn Wilson,322157,Linda Cardellini,Super ,Paul T. Taylor,203,USA,973,6.8,1.85,19000
John Murlowski,2,Piper Mackenzie Harris,,Ashley Scott,Christmas Mail ,Lochlyn Munro,7,USA,607,5.8,,190
Benni Diez,95,Cecilia Pillado,,Clifton Collins Jr.,Stung ,David Masterson,23,Germany,625,5.0,2.35,0
Danny Perez,10,Emmanuel Kabongo,,Natasha Lyonne,Antibirth ,Mark Webber,2,USA,677,6.3,,89
Spike Lee,28,Harry Lennix,5731103,Bernie Mac,Get on the Bus ,Andre Braugher,35,USA,748,6.8,1.85,352
Robby Henson,25,Max Ryan,978908,Marc Blucas,Thr3e ,Justine Waddell,90,Poland,872,5.1,2.35,250
Mike Judge,121,Patrick Fischler,438653,Anthony 'Citric' Campos,Idiocracy ,David Herman,434,USA,497,6.6,1.85,79000
Zackary Adler,10,Kevin Leslie,,Simon Merrells,The Rise of the Krays ,Kris Sommerville,26,UK,159,5.0,,0
Shane Meadows,172,Joseph Gilgun,327919,Stephen Graham,This Is England ,Jack O'Connell,192,UK,788,7.7,1.85,11000
Dominic Burns,20,Sean Pertwee,,Julian Glover,Alien Uprising ,Bianca Brigitte VanDamme,82,UK,722,3.1,2.35,0
George Sidney,8,Basil Rathbone,,Esther Williams,Bathing Beauty ,Red Skelton,28,USA,659,6.5,1.37,144
Carmen Marron,8,Aimee Garcia,178739,Jossara Jinaro,Go for It! ,Rene Rosado,10,USA,618,3.9,1.85,566
Tim McCanlies,15,Michael O'Neill,565592,Ethan Embry,Dancer, Texas Pop. 81 ,Alexandra Holden,63,USA,599,6.8,1.85,500
George Sidney,14,Ava Gardner,,Agnes Moorehead,Show Boat ,Howard Keel,46,USA,715,7.0,1.33,438
Mario Van Peebles,12,Cinda McCain,27012,Tom Skerritt,Redemption Road ,Luke Perry,9,USA,646,5.9,2.35,279
Jason Stone,48,Ellen Burstyn,,Topher Grace,The Calling ,Christopher Heyerdahl,28,USA,1000,5.8,,0
Jerry Rees,17,Phil Hartman,,Jon Lovitz,The Brave Little Toaster ,Mindy Sterling,62,USA,516,7.3,,0
James Algar,99,Deems Taylor,76400000,Leopold Stokowski,Fantasia ,,230,USA,0,7.8,1.37,3000
William Friedkin,138,Fernando Rey,,Roy Scheider,The French Connection ,Tony Lo Bianco,280,USA,165,7.8,1.85,0
Jaco Booyens,,Sebastian Aguilar,,Nicole Smolen,8 Days ,Ivette Alvarez,3,USA,0,6.9,,224
