director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,num_user_for_reviews,budget
Andrew Niccol,175,106,487,Xander Berkeley,Drama|Sci-Fi|Thriller,Blair Underwood,220591,1942,Mason Gamble,accident|future|genetics|mission|police,641,36000000
Andrew Bergman,63,95,31,Nathan Lane,Biography|Comedy|Romance,Stockard Channing,1977,2928,John Larroquette,autistic son|cancer|female protagonist|new york city|son,64,36000000
Kirk De Micco,85,81,16,Kenan Thompson,Adventure|Animation|Comedy|Family|Sci-Fi,Cheryl Hines,8860,2268,Omid Abtahi,astronaut|attacked by a plant|planet|senator|space travel,45,37000000
Chris Rock,44,95,0,Dylan Baker,Comedy,Bernie Mac,15046,4537,Tracy Morgan,alderman|party|president|presidential candidate|washington d.c.,80,35200000
Todd Phillips,334,108,480,Rob Riggle,Comedy,Bradley Cooper,583341,17623,Mike Epps,drunkenness|female nudity|hangover|hedonism|morning after,626,35000000
Wilson Yip,78,105,25,Lynn Hung,Action|Biography|Drama|History,Mike Tyson,21912,615,Kwok-Kwan Chan,1950s|cancer|hong kong|martial arts school|wing chun,45,36000000
Jay Roach,199,95,116,Verne Troyer,Action|Adventure|Comedy|Crime,Muse Watson,181225,47203,Robert Wagner,penis joke|phallic image|sexy agent|spy|volcano hideout,784,33000000
Tim Burton,186,126,13000,Jack Palance,Action|Adventure,Michael Gough,269033,2725,William Hootkins,city|dc comics|gotham|pantyhose|police,817,35000000
Roland Joffé,77,102,596,Dougray Scott,Biography|Drama|War,Jordi Mollà,3865,3497,Lily Cole,dying|forgiveness|saint|spanish civil war|starts with narration,53,36000000
Richard Donner,68,121,503,Nick Chinlund,Action|Crime|Thriller,Rene Russo,128010,1446,Stuart Wilson,gangster|gun|internal affairs|police|police officer,136,35000000
John Lee Hancock,261,129,102,Quinton Aaron,Biography|Drama|Sport,Catherine Dyer,223127,3389,Kim Dickens,american football|based on true story|football star|high school football|left tackle,420,29000000
,5,43,,Aimee Garcia,Action|Comedy|Crime,Jon Foo,2185,2255,Wendie Malick,,30,
Robert Rodriguez,122,88,0,Cheech Marin,Action|Adventure|Comedy|Family|Sci-Fi,Alexa PenaVega,84325,4499,Daryl Sabara,brother sister relationship|espionage|rescue|secret agent|spy,205,35000000
Seth Gordon,340,106,91,Lindsay Sloane,Comedy|Crime,Kevin Spacey,353442,18669,Reginald Ballard,black comedy|boss|chemical company|dental assistant|murder,387,35000000
Ethan Coen,493,110,1000,Jeff Bridges,Adventure|Drama|Western,Matt Damon,240962,25964,Bruce Green,arkansas|murder|sheriff|texas ranger|u.s. marshal,724,38000000
David Frankel,208,109,64,Anne Hathaway,Comedy|Drama|Romance,Meryl Streep,286178,23923,Rebecca Mader,fashion|fashion industry|magazine|new york city|publishing,631,35000000
Robert Wise,134,143,338,Nichelle Nichols,Adventure|Mystery|Sci-Fi,Leonard Nimoy,63330,16007,Walter Koenig,alien|space|space station|spacecraft|warp speed,405,35000000
Seth Gordon,275,120,91,Eric Stonestreet,Comedy|Crime,Jon Favreau,97664,5826,T.I.,bounty hunter|credit card|cross country|identity|police,232,35000000
Martin Scorsese,120,128,17000,Robert Mitchum,Crime|Thriller,Robert De Niro,127503,24006,Joe Don Baker,lawyer|neo noir|prison|rapist|southern gothic,261,35000000
Robert Luketic,144,123,126,Jim Sturgess,Crime|Drama|Thriller,Kevin Spacey,191470,25661,Josh Gad,based on true story|blackjack|card counting|gambling|massachusetts institute of technology,278,35000000
Judd Apatow,332,129,0,Randall Park,Comedy|Romance,Amy Schumer,94241,1450,Josh Segarra,actress playing herself|actress shares first name with character|fired from a job|male nudity|written by star,309,35000000
Kevin Rodney Sullivan,104,105,8,Nicole Sullivan,Comedy|Romance,Bernie Mac,33887,2689,Sherri Shepherd,argument|engagement|family relationships|love|undressing,160,35000000
Anthony Minghella,116,162,333,Kristin Scott Thomas,Drama|Romance|War,Colin Firth,142067,15912,Jürgen Prochnow,church|english|flashback|nurse|patient,457,27000000
Curtis Hanson,177,138,161,Matt McCoy,Crime|Drama|Mystery|Thriller,Kevin Spacey,414219,19129,Paul Guilfoyle,1950s|call girl|corruption|murder|police detective,625,35000000
Mike Mitchell,127,100,31,Kelly Preston,Adventure|Comedy|Family|Sci-Fi,Michael Angarano,61321,2968,Nicholas Braun,coming of age|friend|high school|sidekick|superpower,217,35000000
Frank Oz,83,90,0,Wilford Brimley,Comedy,Tom Selleck,32416,23504,Lauren Ambrose,academy award|gay|high school|reporter|teacher,138,35000000
Roger Donaldson,97,108,79,Marg Helgenberger,Action|Horror|Sci-Fi|Thriller,Natasha Henstridge,61018,1715,Jordan Lund,alien|interspecies sex|scientist|sexual attraction|train,140,35000000
Wes Craven,256,101,0,Lin Shaye,Horror,Johnny Depp,149285,42918,Amanda Wyss,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,668,1800000
Tarsem Singh,225,109,763,Jake Weber,Horror|Sci-Fi|Thriller,Dylan Baker,79877,2474,James Gammon,coma|fbi|race against time|serial killer|strong female lead,677,33000000
Randall Wallace,83,132,130,Anne Parillaud,Action|Adventure,Leonardo DiCaprio,125219,29265,Judith Godrèche,france|musketeer|three musketeers|twin|twin brother,244,35000000
Randall Wallace,160,123,130,Kevin Connolly,Biography|Drama|Family|History|Sport,Scott Glenn,20827,2259,Dylan Walsh,eccentric|horse racing|newspaper clipping|stallion|triple crown,136,35000000
Kevin Munroe,191,87,14,Sarah Michelle Gellar,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Chris Evans,53786,16571,Mako,martial arts master|monster|new york city|turtle|warrior,211,34000000
Michael Tollin,74,109,19,Riley Smith,Biography|Drama|Sport,Alfre Woodard,32370,4231,Debra Winger,coach|football|football coach|high school|radio,196,35000000
Will Gluck,238,109,87,Justin Timberlake,Comedy|Romance,Mila Kunis,270228,20956,Masi Oka,blow job|female rear nudity|girl in panties|male objectification|no panties,194,35000000
Nicholas Stoller,177,92,89,Ike Barinholtz,Comedy,Chloë Grace Moretz,28041,17860,Kiersey Clemons,bare chested male|gay|gay best friend|gay man|gay marriage proposal,111,35000000
John Lee Hancock,405,125,102,Ruth Wilson,Biography|Comedy|Drama|History|Music,Tom Hanks,117719,19809,B.J. Novak,author|disney|loss of father|reference to walt disney|suppression of emotion,306,35000000
Spike Lee,61,202,0,Delroy Lindo,Biography|Drama|History|Romance,Denzel Washington,63923,20143,Al Freeman Jr.,african american|black history|civil rights|ku klux klan|nation of islam,156,33000000
Judd Apatow,285,134,0,Maude Apatow,Comedy,Charlyne Yi,104005,1050,Mackenzie Aladjem,40th birthday|aging|birthday|sex|viagra,248,35000000
Walt Becker,124,88,12,Bernie Mac,Comedy|Family,Robin Williams,31191,53370,Ann-Margret,best friend|business deal|impulse|public relations|twin,120,35000000
Patrick Tatopoulos,164,92,148,Kevin Grevioux,Action|Adventure|Fantasy|Sci-Fi|Thriller,Craig Parker,119974,2184,Steven Mackintosh,battle|slave|vampire|warrior|werewolf,169,35000000
Ken Kwapis,120,91,42,Christine Taylor,Comedy|Romance,Robin Williams,32157,52566,Mindy Kaling,box office flop|church|kissing|usa|wedding,119,35000000
Dennis Dugan,90,75,221,Jon Heder,Comedy|Romance|Sport,Jon Lovitz,40651,13125,Tim Meadows,baseball|baseball team|bully|millionaire|team,209,33000000
Gary David Goldberg,120,98,30,Victor Webster,Comedy|Romance,Stockard Channing,25883,4879,Elizabeth Perkins,date|dating|dog|love|teacher,262,30000000
Mike Newell,117,147,179,Al Pacino,Biography|Crime|Drama,Johnny Depp,225122,56014,Anne Heche,fbi|mafia|money|racial slur|singer,234,35000000
Paul W.S. Anderson,226,100,545,Jaymes Butler,Action|Horror|Sci-Fi,Milla Jovovich,198701,17902,Colin Salmon,amnesia|quarantine|special forces|virus|zombie,1138,33000000
Tobe Hooper,223,120,365,Zelda Rubinstein,Fantasy|Horror,Heather O'Rourke,105446,3876,Craig T. Nelson,ghost|haunted|haunting|house|paranormal investigator,321,10700000
Ethan Coen,193,104,1000,Tom Hanks,Comedy|Crime|Thriller,J.K. Simmons,84131,41701,Stephen Root,casino|irony of fate|landlady|professor|remake,400,35000000
John Moore,228,103,212,Beau Bridges,Action|Crime|Drama|Mystery|Thriller,Mila Kunis,107772,16249,Jamie Hector,corporation|death|ex partner|hallucination|police detective,398,35000000
Andrew Niccol,360,109,487,Olivia Wilde,Action|Sci-Fi|Thriller,Matt Bomer,304318,34011,Justin Timberlake,currency|future|murder|on the run|time,463,40000000
Alan Poul,148,104,16,Noureen DeWulf,Comedy|Romance,Danneel Ackles,40654,3356,Tom Bosley,artificial insemination|baby|cheese|chick flick|pet shop,97,35000000
Luke Greenfield,128,112,42,Steve Howey,Comedy|Drama|Romance,Ashley Williams,48019,2371,Kirsten Day,best friend|crush|law school|lawyer|loud sex,153,35000000
,3,60,,Kimberly Elise,Drama|Romance,Jodi Lyn O'Keefe,1641,3438,Logan Browning,affair|hip hop|sex scene,11,
Gil Junger,46,95,19,Marsha Thomason,Adventure|Comedy|Fantasy,Tom Wilkinson,30771,2643,Vincent Regan,14th century|king|knight|sword duel|time travel,164,50000000
Michael Ritchie,40,102,23,Vic Morrow,Comedy|Drama|Family|Sport,Tatum O'Neal,16323,677,Joyce Van Patten,baseball|california|coach|little league|swimming pool,91,
Steven E. de Souza,63,102,133,Raul Julia,Action|Adventure|Comedy|Thriller,Ming-Na Wen,53115,5443,Kylie Minogue,guile|hostage|ransom|soldier|united nations,282,35000000
Roman Polanski,193,150,2000,Frank Finlay,Biography|Drama|War,Emilia Fox,497946,1075,Ed Stoppard,ghetto|holocaust|jewish|piano|warsaw ghetto,761,35000000
Albert Hughes,208,122,117,Jason Flemyng,Horror|Mystery|Thriller,Johnny Depp,124765,41636,Ian Richardson,freemason|jack the ripper|opium|prostitute|victorian era,541,35000000
Catherine Hardwicke,122,101,308,Hiam Abbass,Drama|Family|Fantasy,Keisha Castle-Hughes,8143,966,Shaun Toub,angel|bethlehem|journey|nazareth|virgin,203,30000000
Jaume Collet-Serra,228,108,174,Paris Hilton,Horror,Robert Ri'chard,94456,2178,Brian Van Holt,brother sister relationship|group of friends|male nudity|twin|wax,576,30000000
Mike Nichols,212,98,0,Julia Roberts,Drama|Romance,Natalie Portman,168314,28027,Colin Stinton,cheating wife|film camera|hasselblad camera|leica camera|medium format camera,903,27000000
Clint Eastwood,392,137,16000,Naomi Watts,Biography|Crime|Drama,Leonardo DiCaprio,102728,36258,Kaitlyn Dever,agent|fbi|federal bureau of investigation|gay relationship|secret,279,35000000
Alexandre Aja,208,112,192,Cameron Boyce,Horror|Mystery,Jason Flemyng,86205,3185,Julian Glover,estranged wife|evil|fire|medication|mirror,232,35000000
Michael Rymer,137,101,48,Lena Olin,Drama|Fantasy|Horror,Aaliyah,43991,3001,Bruce Spence,fatal attraction|interspecies romance|queen|supernatural power|vampire,695,35000000
Stephen Hopkins,119,103,81,Robert Davi,Action|Horror|Sci-Fi,Adam Baldwin,105478,4722,Kevin Peter Hall,alien|drug lord|gang|hunter|predator,291,35000000
Gregory Hoblit,195,101,40,Jesse Tyler Ferguson,Crime|Drama|Thriller,Billy Burke,40964,3612,Joseph Cross,cat|fbi agent|murder|serial killer|website,245,35000000
Hugh Wilson,95,112,37,Sissy Spacek,Comedy|Drama|Romance|Sci-Fi,Brendan Fraser,48621,5709,Douglas Smith,1960s|bomb shelter|cuban missile crisis|food|naive man,239,35000000
Mike Hodges,100,111,24,William Hootkins,Action|Adventure|Sci-Fi,Brian Blessed,38017,2603,Sam J. Jones,american football|cult film|emperor|flash gordon|mind reading,247,20000000
Kevin Smith,164,102,0,Mike Starr,Comedy|Drama|Romance,Stephen Root,54346,3592,George Carlin,baby|childbirth|death|karma|publicist,358,35000000
Rob Cohen,211,101,357,Chad Lindberg,Action|Crime|Mystery|Thriller,Cicely Tyson,28257,2471,Carmen Ejogo,assassin|detective|partner|police|serial killer,151,35000000
Clint Eastwood,91,155,16000,Bob Gunton,Crime|Drama|Mystery|Thriller,Kevin Spacey,31751,19689,Leon Rippy,graveyard|murder|murder trial|reporter|trial,216,30000000
Scott Mann,44,93,8,Joshua Mikel,Action|Crime|Thriller,Robert De Niro,16193,24154,D.B. Sweeney,bus|die hard scenario,57,19000000
Susanna White,97,109,24,Bill Bailey,Comedy|Family|Fantasy,Daniel Mays,19230,855,Eros Vlahos,farm|magic|mother daughter relationship|overalls|title directed by female,59,35000000
Danny DeVito,32,140,0,J.T. Walsh,Biography|Crime|Drama,Frank Whaley,17124,1394,Paul Guilfoyle,labor|labor union|leader|mafia|union,68,35000000
Chris Carter,270,108,251,Callum Rennie,Drama|Mystery|Sci-Fi|Thriller,Mitch Pileggi,78256,2351,Nicki Aycox,fbi|priest|psychic|psychic vision|staff physician,492,30000000
Tommy O'Haver,89,96,13,Steve Coogan,Comedy|Family|Fantasy|Romance,Anne Hathaway,47800,17292,Joanna Lumley,curse|fairy|obedience|prince|strong female character,244,35000000
Peter Landesman,219,123,15,Eddie Marsan,Biography|Drama|Sport,Will Smith,44788,13371,Albert Brooks,chronic traumatic encephalopathy|concussion|football|football player|pathologist,138,35000000
John Singleton,180,106,309,Benjamin J. Cain Jr.,Action|Mystery|Thriller,Ken Arnold,65044,561,Richard Cetrone,assassin|high school|on the run|teenager|website,173,35000000
Gary Chapman,93,76,2,Olivia Williams,Adventure|Animation|Comedy|Family|War,Jim Broadbent,15788,1908,Pip Torrens,dove|falcon|nursing|pigeon|psychological torture,80,35000000
Curtis Hanson,173,107,161,Rip Torn,Comedy|Drama,Robert Downey Jr.,54643,22974,Richard Thomas,based on novel|college girl|midlife crisis|pittsburgh pennsylvania|professor,335,55000000
Craig Mazin,121,82,82,Tracy Morgan,Action|Comedy|Sci-Fi|Thriller,Drake Bell,52052,3266,Marion Ross,dragonfly|hero|high school|soaking wet|supervillian origin,173,35000000
Allen Hughes,298,109,90,James Ransone,Crime|Drama|Thriller,Alona Tal,63548,2073,Michael Beach,election|father son relationship|fellatio|gay slur|title spoken by character,134,35000000
Wes Craven,158,99,0,Portia de Rossi,Comedy|Horror,Shannon Elizabeth,26126,2535,Derek Mears,creature|death|party|rescue|werewolf,325,35000000
David Koepp,248,91,192,Dania Ramirez,Action|Crime|Thriller,Joseph Gordon-Levitt,95274,24669,Aasif Mandvi,chase|courier|delivery|envelope|police,178,35000000
Anne Fletcher,155,87,98,Richard T. Jones,Action|Comedy|Crime,Jim Gaffigan,34948,1679,Michael Mosley,danger|drug cartel|female cop|female police officer|fugitive,118,35000000
Shekhar Kapur,105,125,159,Lucy Gordon,Adventure|Drama|Romance|War,Djimon Hounsou,28130,3142,Alex Jennings,male nudity|naked dead man|nudity|sex|whipping,215,35000000
Taylor Hackford,224,118,138,Clifton Collins Jr.,Action|Crime|Romance|Thriller,Jason Statham,90046,28479,Wendell Pierce,action hero|disguise|hospital|real estate agent|thief,141,35000000
Richard Loncraine,129,98,12,Jon Favreau,Comedy|Romance|Sport,Kirsten Dunst,51842,9330,Austin Nichols,career|player|tennis|tennis player|wimbledon,173,31000000
Roger Kumble,101,92,16,Brooke Shields,Comedy|Family,Brendan Fraser,12399,6327,Matt Prokop,animal|bear|land developer|real estate|real estate developer,84,35000000
Kimble Rendall,145,93,0,Cariba Heine,Action|Horror|Sci-Fi,Alex Russell,11482,1361,Richard Brancatisano,great white shark|shark|supermarket|swimming|tsunami,82,30000000
Peter Yates,57,116,170,Alun Armstrong,Action|Adventure|Fantasy,Liam Neeson,23351,14744,Lysette Anthony,cyclops|fortress|monster|planet|rescue,178,27000000
Robert Redford,227,92,0,Tom Cruise,Drama|Thriller|War,Meryl Streep,41170,32875,Andrew Garfield,afghanistan|professor|reporter|student|university,298,35000000
John Milius,13,115,468,Dann Florek,Action|Drama|Thriller|War,Rosanna Arquette,4795,1290,Christopher Rich,bombardier|pilot|u.s. navy|vietnam|vietnam war,39,35000000
Jake Kasdan,171,120,52,Nat Faxon,Comedy|Music,Tim Meadows,55630,1082,Matt Price,drugs|elvis|musician|singer|the beatles,200,35000000
Lasse Hallström,119,111,529,Scott Glenn,Drama,Kevin Spacey,28542,19805,Jason Behr,employee employer relationship|husband wife relationship|newspaper|ship|wake,208,35000000
Les Mayfield,44,94,10,Ronny Cox,Action|Western,Gregory Smith,12077,1668,Harris Yulin,legend|old west|outlaw|railroad|stealing from the rich,162,35000000
Jean-Marc Vallée,188,100,212,Jim Broadbent,Biography|Drama|History|Romance,Michiel Huisman,44931,5890,Thomas Kretschmann,19th century|courtship|female protagonist|princess|queen of england,100,35000000
Dominic Sena,166,101,57,Bashar Rahal,Action|Crime|Mystery|Thriller,Tom Skerritt,31918,1947,Shawn Doyle,antarctica|geologist|investigation|u.s. marshal|winter,142,35000000
Terrence Malick,584,139,0,Tye Sheridan,Drama|Fantasy,Brad Pitt,136367,13021,Fiona Shaw,1950s|children|ice cube|texas|waco texas,975,32000000
Hark Tsui,67,91,85,Lela Rochon,Action|Comedy|Thriller,Paul Sorvino,11512,1352,Ray Nicholas,cia|hong kong|market|undercover|van,141,35000000
David Ayer,233,109,453,Martin Donovan,Action|Crime|Drama|Thriller,Mireille Enos,47498,1458,Maurice Compte,dea|drug cartel|kicked in the crotch|strip club|tough girl,212,35000000
Brian Helgeland,112,102,241,Mark Addy,Action|Mystery|Thriller,Heath Ledger,14962,14165,Benno Fürmann,death|exorcism|heaven|priest|sin eater,204,38000000
Lexi Alexander,151,103,189,Wayne Knight,Action|Crime|Drama|Thriller,Julie Benz,48999,6563,Colin Salmon,gun fu|plastic surgery|psychopath|undercover|vigilante,280,35000000
Peter Hewitt,63,83,12,Rip Torn,Action|Adventure|Family|Sci-Fi,Kevin Zegers,15015,5022,Thomas F. Wilson,bruise|female hero|super strength|superhero|teenage superhero,113,35000000
Robert Zemeckis,335,123,0,Soleyman Pierini,Adventure|Biography|Drama|Thriller,Joseph Gordon-Levitt,77394,23031,Jade Kindar-Martin,1970s|based on true story|new york city|skyscraper|tightrope walker,195,35000000
Ronny Yu,24,101,31,Lee Arenberg,Action|Adventure|Fantasy,Marley Shelton,2189,1993,Angus Macfadyen,anthropomorphic animal|football|kangaroo|sword and sorcery|water boy,31,35000000
Ridley Scott,147,117,0,Albert Finney,Comedy|Drama|Romance,Archie Panjabi,70698,3611,Richard Coyle,based on novel|inheritance|provence|uncle|wine,196,35000000
,51,60,,Indira Varma,Crime|Drama|Mystery|Thriller,Ruth Wilson,70568,3823,Warren Brown,murder|police|psychopath,105,
Richard Donner,10,114,503,Thomas Ian Nicholas,Drama,Adam Baldwin,10410,4334,John Heard,father son relationship|physical abuse|radio flyer|stepfather|stepfather stepson relationship,71,35000000
Taylor Hackford,12,330,138,Jesse Borrego,Crime|Drama,Delroy Lindo,23181,3227,Raymond Cruz,1970s|1980s|barrio|gang war|mexican,129,35000000
Bille August,50,121,55,Tom Wilkinson,Action|Drama|Sci-Fi|Thriller,Jim Broadbent,11747,3125,Julia Ormond,boy|greenland|neighbor|roof|snow,99,35000000
Brian De Palma,149,114,0,Gregg Henry,Crime|Drama|Mystery|Thriller,Peter Coyote,28584,1005,Rie Rasmussen,ambassador|cannes|identity|suicide|thief,232,35000000
Moustapha Akkad,24,156,278,Rod Steiger,Biography|Drama|History|War,Oliver Reed,9852,1573,John Gielgud,arab|general|libya|muslim|mussolini,55,35000000
Jean-Paul Rappeneau,28,135,22,François Cluzet,Adventure|Drama|Romance|War,Olivier Martinez,4885,1508,Isabelle Carré,austrian|breasts|cholera|police|provence,25,
Ang Lee,95,148,0,Jeffrey Dover,Drama|Romance|War|Western,Jeremy W. Auman,11101,5,Tobey Maguire,bushwhacker|friend|honor|kansas|raid,159,35000000
Alejandro G. Iñárritu,288,148,0,Hanaa Bouchaib,Drama,Maricel Álvarez,68885,50,Eduard Fernández,children|chinese|illegal immigrant|immigrant|male ponytail,127,
Roland Joffé,10,109,596,Alice Englert,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,2138,1980,Bipasha Basu,1770s|british india|great barrier reef|india|ring,15,
Joachim Rønning,58,93,18,Sam Shepard,Action|Comedy|Crime|Western,Salma Hayek,28848,5377,Dwight Yoakam,bank|cleavage|farmer|female gunfighter|mexico,76,32000000
Tony Kaye,,,194,Aisha Tyler,Crime|Drama,Bill Cobbs,219,3874,Beverly D'Angelo,based on novel,,23000000
Wes Ball,297,113,47,Aml Ameen,Action|Mystery|Sci-Fi|Thriller,Ki Hong Lee,310903,1783,Jacob Latimore,based on novel|concrete wall|maze|open ended|teenage boy,524,34000000
Ken Scott,90,91,31,June Diane Raphael,Comedy,Tom Wilkinson,23072,1564,Melissa McMeekin,business trip|company|glory hole|male frontal nudity|male nudity,89,35000000
Martin Scorsese,56,139,17000,Geraldine Chaplin,Drama|Romance,Richard E. Grant,36267,1068,Stuart Wilson,19th century|countess|lawyer|love|new york,150,30000000
Darren Aronofsky,274,96,0,Ellen Burstyn,Drama|Sci-Fi,Hugh Jackman,190990,24640,Mark Margolis,eternity|love|mayan|tree|tree of life,915,35000000
Hugh Johnson,68,102,3,Kevin J. O'Connor,Action|Adventure|Comedy|Drama|Thriller,David Paymer,8367,1274,Hudson Leick,colonel|ice|ice cream truck|military|u.s. army,94,34000000
Simon West,98,96,165,Mark Valley,Action|Crime|Drama|Thriller,Nicolas Cage,36914,14978,Sami Gayle,bank|money|presumed dead|rescue|thief,86,35000000
Hayao Miyazaki,256,101,6000,Yûki Amami,Adventure|Animation|Family|Fantasy,Rumi Hiiragi,85589,13,Yuria Nara,children adventure|magical realism|sea goddess|small town|tsunami,144,34000000
George Tillman Jr.,117,128,88,Melissa Benoist,Drama|Romance,Tiago Riani,50041,3386,Hayley Lovitt,1940s|art collector|bull riding|north carolina|student,116,34000000
Rand Ravich,107,109,7,Charlize Theron,Drama|Sci-Fi|Thriller,Johnny Depp,45497,52621,Clea DuVall,astronaut|electrocuted in bathtub|mission|pilot|sister,260,34000000
Hugh Hudson,52,114,46,Eva Marie Saint,Adventure|Drama|Romance,Liam Aiken,3740,1778,Vincent Perez,dream|italian|kenya|ranch|snake,61,34000000
Gabriele Muccino,135,105,125,Dennis Quaid,Comedy|Romance|Sport,Gerard Butler,23916,23122,Judy Greer,coach|soccer|soccer coach|soccer mom|soccer team,50,35000000
