num_critic_for_reviews,duration,actor_1_facebook_likes,genres,movie_title,cast_total_facebook_likes,movie_imdb_link,language,budget,imdb_score,aspect_ratio
148,104,1000,Comedy|Romance,The Back-up Plan ,3356,http://www.imdb.com/title/tt1212436/?ref_=fn_tt_tt_1,English,35000000,5.3,2.35
128,112,969,Comedy|Drama|Romance,Something Borrowed ,2371,http://www.imdb.com/title/tt0491152/?ref_=fn_tt_tt_1,English,35000000,5.9,1.85
3,60,897,Drama|Romance,Hit the Floor             ,3438,http://www.imdb.com/title/tt2368645/?ref_=fn_tt_tt_1,English,,7.0,
46,95,1000,Adventure|Comedy|Fantasy,Black Knight ,2643,http://www.imdb.com/title/tt0265087/?ref_=fn_tt_tt_1,English,50000000,4.8,2.35
40,102,288,Comedy|Drama|Family|Sport,The Bad News Bears ,677,http://www.imdb.com/title/tt0074174/?ref_=fn_tt_tt_1,English,,7.3,1.85
63,102,2000,Action|Adventure|Comedy|Thriller,Street Fighter ,5443,http://www.imdb.com/title/tt0111301/?ref_=fn_tt_tt_1,English,35000000,3.8,2.35
193,150,396,Biography|Drama|War,The Pianist ,1075,http://www.imdb.com/title/tt0253474/?ref_=fn_tt_tt_1,English,35000000,8.5,1.85
208,122,40000,Horror|Mystery|Thriller,From Hell ,41636,http://www.imdb.com/title/tt0120681/?ref_=fn_tt_tt_1,English,35000000,6.8,2.35
122,101,446,Drama|Family|Fantasy,The Nativity Story ,966,http://www.imdb.com/title/tt0762121/?ref_=fn_tt_tt_1,English,30000000,6.8,2.35
228,108,730,Horror,House of Wax ,2178,http://www.imdb.com/title/tt0397065/?ref_=fn_tt_tt_1,English,30000000,5.3,1.85
212,98,20000,Drama|Romance,Closer ,28027,http://www.imdb.com/title/tt0376541/?ref_=fn_tt_tt_1,English,27000000,7.3,1.85
392,137,29000,Biography|Crime|Drama,J. Edgar ,36258,http://www.imdb.com/title/tt1616195/?ref_=fn_tt_tt_1,English,35000000,6.6,2.35
208,112,1000,Horror|Mystery,Mirrors ,3185,http://www.imdb.com/title/tt0790686/?ref_=fn_tt_tt_1,English,35000000,6.2,2.35
137,101,775,Drama|Fantasy|Horror,Queen of the Damned ,3001,http://www.imdb.com/title/tt0238546/?ref_=fn_tt_tt_1,English,35000000,5.2,2.35
119,103,2000,Action|Horror|Sci-Fi,Predator 2 ,4722,http://www.imdb.com/title/tt0100403/?ref_=fn_tt_tt_1,English,35000000,6.2,1.37
195,101,2000,Crime|Drama|Thriller,Untraceable ,3612,http://www.imdb.com/title/tt0880578/?ref_=fn_tt_tt_1,English,35000000,6.2,2.35
95,112,3000,Comedy|Drama|Romance|Sci-Fi,Blast from the Past ,5709,http://www.imdb.com/title/tt0124298/?ref_=fn_tt_tt_1,English,35000000,6.6,2.35
100,111,591,Action|Adventure|Sci-Fi,Flash Gordon ,2603,http://www.imdb.com/title/tt0080745/?ref_=fn_tt_tt_1,English,20000000,6.4,2.35
164,102,939,Comedy|Drama|Romance,Jersey Girl ,3592,http://www.imdb.com/title/tt0300051/?ref_=fn_tt_tt_1,English,35000000,6.2,2.35
211,101,907,Action|Crime|Mystery|Thriller,Alex Cross ,2471,http://www.imdb.com/title/tt1712170/?ref_=fn_tt_tt_1,English,35000000,5.1,2.35
91,155,18000,Crime|Drama|Mystery|Thriller,Midnight in the Garden of Good and Evil ,19689,http://www.imdb.com/title/tt0119668/?ref_=fn_tt_tt_1,English,30000000,6.6,1.85
44,93,22000,Action|Crime|Thriller,Heist ,24154,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,English,19000000,6.1,2.35
97,109,287,Comedy|Family|Fantasy,Nanny McPhee Returns ,855,http://www.imdb.com/title/tt1415283/?ref_=fn_tt_tt_1,English,35000000,6.1,2.35
32,140,436,Biography|Crime|Drama,Hoffa ,1394,http://www.imdb.com/title/tt0104427/?ref_=fn_tt_tt_1,English,35000000,6.6,2.35
270,108,826,Drama|Mystery|Sci-Fi|Thriller,The X Files: I Want to Believe ,2351,http://www.imdb.com/title/tt0443701/?ref_=fn_tt_tt_1,English,30000000,5.9,2.35
89,96,11000,Comedy|Family|Fantasy|Romance,Ella Enchanted ,17292,http://www.imdb.com/title/tt0327679/?ref_=fn_tt_tt_1,English,35000000,6.3,1.85
219,123,10000,Biography|Drama|Sport,Concussion ,13371,http://www.imdb.com/title/tt3322364/?ref_=fn_tt_tt_1,English,35000000,7.1,2.35
180,106,327,Action|Mystery|Thriller,Abduction ,561,http://www.imdb.com/title/tt1600195/?ref_=fn_tt_tt_1,English,35000000,5.0,2.35
93,76,1000,Adventure|Animation|Comedy|Family|War,Valiant ,1908,http://www.imdb.com/title/tt0361089/?ref_=fn_tt_tt_1,English,35000000,5.6,1.85
173,107,21000,Comedy|Drama,Wonder Boys ,22974,http://www.imdb.com/title/tt0185014/?ref_=fn_tt_tt_1,English,55000000,7.4,2.35
121,82,1000,Action|Comedy|Sci-Fi|Thriller,Superhero Movie ,3266,http://www.imdb.com/title/tt0426592/?ref_=fn_tt_tt_1,English,35000000,4.5,1.85
298,109,1000,Crime|Drama|Thriller,Broken City ,2073,http://www.imdb.com/title/tt1235522/?ref_=fn_tt_tt_1,English,35000000,6.2,2.35
158,99,1000,Comedy|Horror,Cursed ,2535,http://www.imdb.com/title/tt0257516/?ref_=fn_tt_tt_1,English,35000000,5.0,2.35
248,91,23000,Action|Crime|Thriller,Premium Rush ,24669,http://www.imdb.com/title/tt1547234/?ref_=fn_tt_tt_1,English,35000000,6.5,2.35
155,87,472,Action|Comedy|Crime,Hot Pursuit ,1679,http://www.imdb.com/title/tt2967224/?ref_=fn_tt_tt_1,English,35000000,5.1,2.35
105,125,3000,Adventure|Drama|Romance|War,The Four Feathers ,3142,http://www.imdb.com/title/tt0240510/?ref_=fn_tt_tt_1,English,35000000,6.5,2.35
224,118,26000,Action|Crime|Romance|Thriller,Parker ,28479,http://www.imdb.com/title/tt1904996/?ref_=fn_tt_tt_1,English,35000000,6.2,2.35
129,98,4000,Comedy|Romance|Sport,Wimbledon ,9330,http://www.imdb.com/title/tt0360201/?ref_=fn_tt_tt_1,English,31000000,6.3,2.35
101,92,3000,Comedy|Family,Furry Vengeance ,6327,http://www.imdb.com/title/tt0492389/?ref_=fn_tt_tt_1,English,35000000,3.8,1.85
145,93,465,Action|Horror|Sci-Fi,Bait ,1361,http://www.imdb.com/title/tt1438173/?ref_=fn_tt_tt_1,English,30000000,5.2,1.85
57,116,14000,Action|Adventure|Fantasy,Krull ,14744,http://www.imdb.com/title/tt0085811/?ref_=fn_tt_tt_1,English,27000000,6.0,2.35
227,92,11000,Drama|Thriller|War,Lions for Lambs ,32875,http://www.imdb.com/title/tt0891527/?ref_=fn_tt_tt_1,English,35000000,6.2,2.35
13,115,605,Action|Drama|Thriller|War,Flight of the Intruder ,1290,http://www.imdb.com/title/tt0099587/?ref_=fn_tt_tt_1,English,35000000,5.7,2.35
171,120,553,Comedy|Music,Walk Hard: The Dewey Cox Story ,1082,http://www.imdb.com/title/tt0841046/?ref_=fn_tt_tt_1,English,35000000,6.7,2.35
119,111,18000,Drama,The Shipping News ,19805,http://www.imdb.com/title/tt0120824/?ref_=fn_tt_tt_1,English,35000000,6.8,2.35
44,94,694,Action|Western,American Outlaws ,1668,http://www.imdb.com/title/tt0244000/?ref_=fn_tt_tt_1,English,35000000,6.0,1.85
188,100,2000,Biography|Drama|History|Romance,The Young Victoria ,5890,http://www.imdb.com/title/tt0962736/?ref_=fn_tt_tt_1,English,35000000,7.3,2.35
166,101,1000,Action|Crime|Mystery|Thriller,Whiteout ,1947,http://www.imdb.com/title/tt0365929/?ref_=fn_tt_tt_1,English,35000000,5.5,2.35
584,139,11000,Drama|Fantasy,The Tree of Life ,13021,http://www.imdb.com/title/tt0478304/?ref_=fn_tt_tt_1,English,32000000,6.7,1.85
67,91,635,Action|Comedy|Thriller,Knock Off ,1352,http://www.imdb.com/title/tt0120724/?ref_=fn_tt_tt_1,English,35000000,4.8,2.35
233,109,1000,Action|Crime|Drama|Thriller,Sabotage ,1458,http://www.imdb.com/title/tt1742334/?ref_=fn_tt_tt_1,English,35000000,5.7,1.85
112,102,13000,Action|Mystery|Thriller,The Order ,14165,http://www.imdb.com/title/tt0304711/?ref_=fn_tt_tt_1,English,38000000,5.1,1.85
151,103,3000,Action|Crime|Drama|Thriller,Punisher: War Zone ,6563,http://www.imdb.com/title/tt0450314/?ref_=fn_tt_tt_1,English,35000000,6.0,2.35
63,83,2000,Action|Adventure|Family|Sci-Fi,Zoom ,5022,http://www.imdb.com/title/tt0383060/?ref_=fn_tt_tt_1,English,35000000,4.2,1.85
335,123,23000,Adventure|Biography|Drama|Thriller,The Walk ,23031,http://www.imdb.com/title/tt3488710/?ref_=fn_tt_tt_1,English,35000000,7.4,2.35
24,101,690,Action|Adventure|Fantasy,Warriors of Virtue ,1993,http://www.imdb.com/title/tt0120479/?ref_=fn_tt_tt_1,English,35000000,4.6,2.35
147,117,883,Comedy|Drama|Romance,A Good Year ,3611,http://www.imdb.com/title/tt0401445/?ref_=fn_tt_tt_1,English,35000000,6.9,2.35
51,60,2000,Crime|Drama|Mystery|Thriller,Luther             ,3823,http://www.imdb.com/title/tt1474684/?ref_=fn_tt_tt_1,English,,8.6,16.0
10,114,2000,Drama,Radio Flyer ,4334,http://www.imdb.com/title/tt0105211/?ref_=fn_tt_tt_1,English,35000000,6.9,2.35
12,330,848,Crime|Drama,"Blood In, Blood Out ",3227,http://www.imdb.com/title/tt0106469/?ref_=fn_tt_tt_1,English,35000000,8.0,1.66
50,121,1000,Action|Drama|Sci-Fi|Thriller,Smilla's Sense of Snow ,3125,http://www.imdb.com/title/tt0120152/?ref_=fn_tt_tt_1,English,35000000,6.4,2.35
149,114,548,Crime|Drama|Mystery|Thriller,Femme Fatale ,1005,http://www.imdb.com/title/tt0280665/?ref_=fn_tt_tt_1,English,35000000,6.3,1.85
24,156,695,Biography|Drama|History|War,Lion of the Desert ,1573,http://www.imdb.com/title/tt0081059/?ref_=fn_tt_tt_1,English,35000000,8.4,2.35
28,135,837,Adventure|Drama|Romance|War,The Horseman on the Roof ,1508,http://www.imdb.com/title/tt0113362/?ref_=fn_tt_tt_1,French,,7.1,2.35
95,148,3,Drama|Romance|War|Western,Ride with the Devil ,5,http://www.imdb.com/title/tt0134154/?ref_=fn_tt_tt_1,English,35000000,6.8,2.35
288,148,30,Drama,Biutiful ,50,http://www.imdb.com/title/tt1164999/?ref_=fn_tt_tt_1,Spanish,,7.5,2.35
10,109,621,Action|Adventure|Romance|Sci-Fi,The Lovers ,1980,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,English,,4.5,
58,93,4000,Action|Comedy|Crime|Western,Bandidas ,5377,http://www.imdb.com/title/tt0416496/?ref_=fn_tt_tt_1,English,32000000,5.7,2.35
,,970,Crime|Drama,Black Water Transit ,3874,http://www.imdb.com/title/tt0490087/?ref_=fn_tt_tt_1,English,23000000,7.2,
297,113,988,Action|Mystery|Sci-Fi|Thriller,The Maze Runner ,1783,http://www.imdb.com/title/tt1790864/?ref_=fn_tt_tt_1,English,34000000,6.8,2.35
90,91,1000,Comedy,Unfinished Business ,1564,http://www.imdb.com/title/tt2358925/?ref_=fn_tt_tt_1,English,35000000,5.4,2.35
56,139,554,Drama|Romance,The Age of Innocence ,1068,http://www.imdb.com/title/tt0106226/?ref_=fn_tt_tt_1,English,30000000,7.2,2.35
274,96,20000,Drama|Sci-Fi,The Fountain ,24640,http://www.imdb.com/title/tt0414993/?ref_=fn_tt_tt_1,English,35000000,7.3,1.85
68,102,372,Action|Adventure|Comedy|Drama|Thriller,Chill Factor ,1274,http://www.imdb.com/title/tt0163579/?ref_=fn_tt_tt_1,English,34000000,5.2,2.35
98,96,12000,Action|Crime|Drama|Thriller,Stolen ,14978,http://www.imdb.com/title/tt1656186/?ref_=fn_tt_tt_1,English,35000000,5.5,2.35
256,101,6,Adventure|Animation|Family|Fantasy,Ponyo ,13,http://www.imdb.com/title/tt0876563/?ref_=fn_tt_tt_1,Japanese,34000000,7.7,1.85
117,128,989,Drama|Romance,The Longest Ride ,3386,http://www.imdb.com/title/tt2726560/?ref_=fn_tt_tt_1,English,34000000,7.1,2.35
107,109,40000,Drama|Sci-Fi|Thriller,The Astronaut's Wife ,52621,http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,English,34000000,5.3,1.85
52,114,818,Adventure|Drama|Romance,I Dreamed of Africa ,1778,http://www.imdb.com/title/tt0167203/?ref_=fn_tt_tt_1,English,34000000,5.6,2.35
135,105,18000,Comedy|Romance|Sport,Playing for Keeps ,23122,http://www.imdb.com/title/tt1540128/?ref_=fn_tt_tt_1,English,35000000,5.7,2.35
211,141,113,Biography|Drama|History,Mandela: Long Walk to Freedom ,301,http://www.imdb.com/title/tt2304771/?ref_=fn_tt_tt_1,English,35000000,7.1,2.35
57,195,635,Biography|Drama|History|Romance,Reds ,2291,http://www.imdb.com/title/tt0082979/?ref_=fn_tt_tt_1,English,35000000,7.5,1.85
81,138,10000,Drama|Thriller,A Few Good Men ,14619,http://www.imdb.com/title/tt0104257/?ref_=fn_tt_tt_1,English,40000000,7.6,2.35
107,101,2000,Action|Comedy|Crime|Drama|Thriller,Exit Wounds ,5942,http://www.imdb.com/title/tt0242445/?ref_=fn_tt_tt_1,English,33000000,5.5,2.35
100,99,826,Action|Comedy|Crime,Big Momma's House ,1790,http://www.imdb.com/title/tt0208003/?ref_=fn_tt_tt_1,English,30000000,5.1,1.85
60,85,324,Adventure|Animation|Comedy|Family|Fantasy,Thunder and the House of Magic ,369,http://www.imdb.com/title/tt3148834/?ref_=fn_tt_tt_1,English,34000000,6.3,2.35
195,89,614,Action|Adventure|Horror|Sci-Fi|Thriller,The Darkest Hour ,843,http://www.imdb.com/title/tt1093357/?ref_=fn_tt_tt_1,English,30000000,4.9,2.35
121,99,3000,Drama|Music|Romance,Step Up Revolution ,4863,http://www.imdb.com/title/tt1800741/?ref_=fn_tt_tt_1,English,33000000,6.5,2.35
285,105,852,Action|Adventure|Crime|Drama|Thriller,Snakes on a Plane ,2604,http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1,English,33000000,5.6,2.35
103,97,18000,Crime|Horror|Mystery|Thriller,The Watcher ,18688,http://www.imdb.com/title/tt0204626/?ref_=fn_tt_tt_1,English,33000000,5.3,1.85
192,140,669,Action|Crime|Drama|Thriller,The Punisher ,2114,http://www.imdb.com/title/tt0330793/?ref_=fn_tt_tt_1,English,33000000,6.5,2.35
90,118,722,Drama|Romance|Sport,Goal! The Dream Begins ,2859,http://www.imdb.com/title/tt0380389/?ref_=fn_tt_tt_1,English,10000000,6.8,2.35
258,94,26000,Action|Crime|Thriller,Safe ,27759,http://www.imdb.com/title/tt1656190/?ref_=fn_tt_tt_1,English,30000000,6.5,2.35
56,124,11000,Comedy|Drama|Romance,Pushing Tin ,13093,http://www.imdb.com/title/tt0120797/?ref_=fn_tt_tt_1,English,38000000,6.0,2.35
197,134,11000,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode VI - Return of the Jedi ,13649,http://www.imdb.com/title/tt0086190/?ref_=fn_tt_tt_1,English,32500000,8.4,2.35
254,113,165,Action|Sci-Fi|Thriller,Doomsday ,391,http://www.imdb.com/title/tt0483607/?ref_=fn_tt_tt_1,English,30000000,6.0,2.35
299,124,14000,Drama|Romance,The Reader ,14504,http://www.imdb.com/title/tt0976051/?ref_=fn_tt_tt_1,English,32000000,7.6,1.85
163,98,1000,Comedy,Wanderlust ,4151,http://www.imdb.com/title/tt1655460/?ref_=fn_tt_tt_1,English,,5.6,1.85
152,97,22000,Comedy|Family|Fantasy|Romance,Elf ,43354,http://www.imdb.com/title/tt0319343/?ref_=fn_tt_tt_1,English,33000000,6.9,1.85
53,123,3000,Drama|Fantasy|Romance|Sci-Fi,Phenomenon ,5975,http://www.imdb.com/title/tt0117333/?ref_=fn_tt_tt_1,English,32000000,6.4,2.35
67,99,773,Adventure|Comedy|Family|Sport,Snow Dogs ,2916,http://www.imdb.com/title/tt0281373/?ref_=fn_tt_tt_1,English,35000000,5.1,1.85
88,101,13000,Comedy|Drama|Fantasy,Scrooged ,18734,http://www.imdb.com/title/tt0096061/?ref_=fn_tt_tt_1,English,32000000,7.0,1.85
163,92,678,Comedy|Family|Sport,Nacho Libre ,1729,http://www.imdb.com/title/tt0457510/?ref_=fn_tt_tt_1,English,32000000,5.7,1.85
371,131,722,Comedy|Romance,Bridesmaids ,3229,http://www.imdb.com/title/tt1478338/?ref_=fn_tt_tt_1,English,32500000,6.8,2.35
418,107,17000,Comedy|Fantasy,This Is the End ,38751,http://www.imdb.com/title/tt1245492/?ref_=fn_tt_tt_1,English,32000000,6.7,2.35
131,103,826,Horror,Stigmata ,3004,http://www.imdb.com/title/tt0145531/?ref_=fn_tt_tt_1,English,29000000,6.2,2.35
98,129,22000,Biography|Drama,Men of Honor ,36069,http://www.imdb.com/title/tt0203019/?ref_=fn_tt_tt_1,English,32000000,7.2,2.35
119,107,23000,Action|Crime|Thriller,Takers ,31529,http://www.imdb.com/title/tt1135084/?ref_=fn_tt_tt_1,English,20000000,6.2,2.35
133,89,49000,Comedy,The Big Wedding ,74181,http://www.imdb.com/title/tt1931435/?ref_=fn_tt_tt_1,English,35000000,5.6,2.35
88,113,918,Action|Comedy|Crime,"Big Mommas: Like Father, Like Son ",3500,http://www.imdb.com/title/tt1464174/?ref_=fn_tt_tt_1,English,32000000,4.4,2.35
522,93,15000,Mystery|Sci-Fi|Thriller,Source Code ,16034,http://www.imdb.com/title/tt0945513/?ref_=fn_tt_tt_1,English,32000000,7.5,1.85
43,120,344,Adventure|Biography|Drama|Thriller,Alive ,2054,http://www.imdb.com/title/tt0106246/?ref_=fn_tt_tt_1,English,32000000,7.1,1.85
224,98,8000,Mystery|Thriller,The Number 23 ,10938,http://www.imdb.com/title/tt0481369/?ref_=fn_tt_tt_1,English,32000000,6.4,2.35
122,105,716,Action|Adventure|Drama|Family,The Young and Prodigious T.S. Spivet ,1843,http://www.imdb.com/title/tt1981107/?ref_=fn_tt_tt_1,English,33000000,7.1,2.35
56,142,16000,Action|Comedy|War,1941 ,20201,http://www.imdb.com/title/tt0078723/?ref_=fn_tt_tt_1,English,35000000,5.9,2.35
75,98,649,Drama|Family|Sport,Dreamer: Inspired by a True Story ,1400,http://www.imdb.com/title/tt0418647/?ref_=fn_tt_tt_1,English,32000000,6.9,2.35
441,96,10000,Crime|Drama|Thriller,A History of Violence ,12754,http://www.imdb.com/title/tt0399146/?ref_=fn_tt_tt_1,English,32000000,7.5,1.85
163,87,26000,Action|Crime|Thriller,Transporter 2 ,29050,http://www.imdb.com/title/tt0388482/?ref_=fn_tt_tt_1,English,32000000,6.3,2.35
63,107,29000,Action|Thriller|Western,The Quick and the Dead ,29743,http://www.imdb.com/title/tt0114214/?ref_=fn_tt_tt_1,English,32000000,6.4,1.85
90,90,638,Comedy|Romance,Laws of Attraction ,961,http://www.imdb.com/title/tt0323033/?ref_=fn_tt_tt_1,English,28000000,5.9,2.35
163,121,12000,Drama|Thriller,Bringing Out the Dead ,13040,http://www.imdb.com/title/tt0163988/?ref_=fn_tt_tt_1,English,55000000,6.8,2.35
197,119,1000,Action|Crime|Sci-Fi|Thriller,Repo Men ,2925,http://www.imdb.com/title/tt1053424/?ref_=fn_tt_tt_1,English,32000000,6.3,2.35
93,107,889,Action|Drama|Fantasy|Horror|Thriller,Dragon Wars: D-War ,3274,http://www.imdb.com/title/tt0372873/?ref_=fn_tt_tt_1,English,35000000,3.6,2.35
15,110,3000,Comedy|Family|Fantasy,Bogus ,3864,http://www.imdb.com/title/tt0115725/?ref_=fn_tt_tt_1,English,30000000,5.3,1.85
260,100,12000,Comedy,The Incredible Burt Wonderstone ,32094,http://www.imdb.com/title/tt0790628/?ref_=fn_tt_tt_1,English,30000000,5.9,2.35
18,75,3000,Animation|Comedy|Family|Fantasy|Musical,Cats Don't Dance ,7394,http://www.imdb.com/title/tt0118829/?ref_=fn_tt_tt_1,English,32000000,6.9,1.33
70,132,13000,Drama,Cradle Will Rock ,16878,http://www.imdb.com/title/tt0150216/?ref_=fn_tt_tt_1,English,32000000,6.9,2.35
183,105,845,Drama|Mystery|Thriller,The Good German ,2355,http://www.imdb.com/title/tt0452624/?ref_=fn_tt_tt_1,English,32000000,6.1,1.66
12,93,330,Action|Adventure|Comedy|Fantasy|Romance,George and the Dragon ,1073,http://www.imdb.com/title/tt0306892/?ref_=fn_tt_tt_1,English,32000000,5.7,2.35
261,289,11000,Drama|War,Apocalypse Now ,25313,http://www.imdb.com/title/tt0078788/?ref_=fn_tt_tt_1,English,31500000,8.5,2.35
167,102,839,Comedy|Romance,Going the Distance ,2961,http://www.imdb.com/title/tt1322312/?ref_=fn_tt_tt_1,English,32000000,6.3,2.35
42,143,975,Drama|Music,Mr. Holland's Opus ,2223,http://www.imdb.com/title/tt0113862/?ref_=fn_tt_tt_1,English,6500000,7.3,2.35
130,113,10000,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Criminal ,10910,http://www.imdb.com/title/tt3014866/?ref_=fn_tt_tt_1,English,31500000,6.3,2.35
66,161,11000,Biography|Drama|Romance,Out of Africa ,12518,http://www.imdb.com/title/tt0089755/?ref_=fn_tt_tt_1,English,31000000,7.2,1.85
449,138,18000,Drama|Thriller,Flight ,20952,http://www.imdb.com/title/tt1907668/?ref_=fn_tt_tt_1,English,31000000,7.3,2.35
121,126,244,Action|Adventure|Sci-Fi|Thriller,Moonraker ,1008,http://www.imdb.com/title/tt0079574/?ref_=fn_tt_tt_1,English,34000000,6.3,2.35
536,99,13000,Adventure|Comedy|Crime|Drama,The Grand Budapest Hotel ,15082,http://www.imdb.com/title/tt2278388/?ref_=fn_tt_tt_1,English,25000000,8.1,1.37
135,101,12000,Drama|Mystery,Hearts in Atlantis ,13811,http://www.imdb.com/title/tt0252501/?ref_=fn_tt_tt_1,English,31000000,6.9,2.35
74,103,687,Comedy|Fantasy|Horror|Thriller,Arachnophobia ,1440,http://www.imdb.com/title/tt0099052/?ref_=fn_tt_tt_1,English,31000000,6.3,1.85
168,118,2000,Crime|Drama|Mystery|Sci-Fi|Thriller,Frequency ,4045,http://www.imdb.com/title/tt0186151/?ref_=fn_tt_tt_1,English,31000000,7.3,2.35
464,116,783,Action|Comedy|Fantasy|Sci-Fi,Ghostbusters ,2097,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,English,144000000,5.5,2.35
204,99,26000,Adventure|Comedy,Vacation ,40312,http://www.imdb.com/title/tt1524930/?ref_=fn_tt_tt_1,English,31000000,6.1,2.35
96,105,848,Comedy|Crime|Thriller,Get Shorty ,3439,http://www.imdb.com/title/tt0113161/?ref_=fn_tt_tt_1,English,30250000,6.9,1.85
223,113,539,Comedy|Crime|Musical,Chicago ,813,http://www.imdb.com/title/tt0299658/?ref_=fn_tt_tt_1,English,45000000,7.2,1.85
112,93,12000,Comedy|Drama,Big Daddy ,26760,http://www.imdb.com/title/tt0142342/?ref_=fn_tt_tt_1,English,34200000,6.4,1.85
