director_name,gross,movie_title,cast_total_facebook_likes,country,budget
Harmony Korine,14123773,Spring Breakers ,12306,USA,5000000
Joe Chappelle,15126948,Halloween: The Curse of Michael Myers ,1227,USA,5000000
Alfonso Cuarón,13622333,Y Tu Mamá También ,361,Mexico,2000000
Edgar Wright,13464388,Shaun of the Dead ,1686,UK,4000000
Mickey Liddell,13350177,The Haunting of Molly Hartley ,4856,USA,5000000
John Sayles,13269963,Lone Star ,11400,USA,5000000
Dwight H. Little,17768000,Halloween 4: The Return of Michael Myers ,1136,USA,5000000
Fred Walton,12947763,April Fool's Day ,1160,USA,5000000
Barry Levinson,14100000,Diner ,2943,USA,5000000
Steve Carver,12200000,Lone Wolf McQuade ,2383,USA,5000000
Gonzalo López-Gallego,17683670,Apollo 18 ,1520,USA,5000000
Christine Jeffs,12055108,Sunshine Cleaning ,2528,USA,8000000
John Erick Dowdle,27285953,No Escape ,259,USA,5000000
Don Coscarelli,,The Beastmaster ,23714,USA,8000000
King Vidor,,Solomon and Sheba ,1332,USA,5000000
Michael Tiddes,11675178,Fifty Shades of Black ,2848,USA,5000000
Bill Duke,10572742,Not Easily Broken ,2269,USA,8000000
Frank Borzage,,A Farewell to Arms ,1284,USA,800000
Bille Woodruff,9658370,The Perfect Match ,3552,USA,5000000
Mamoru Hosoda,9628751,Digimon: The Movie ,315,USA,5000000
Brian Dannelly,8786715,Saved! ,5668,USA,5000000
Denys Arcand,3432342,The Barbarian Invasions ,253,Canada,6000000
Richard Lester,,Robin and Marian ,1199,USA,5000000
J.S. Cardone,6755271,The Forsaken ,3004,USA,5000000
Guy Hamilton,,Force 10 from Navarone ,13591,UK,5000000
Jay Levey,6157157,UHF ,3942,USA,5000000
Nicholaus Goossen,6088249,Grandma's Boy ,5202,USA,
Tamara Jenkins,5480318,Slums of Beverly Hills ,2691,USA,5000000
Sergio Leone,,Once Upon a Time in the West ,2589,Italy,5000000
Jon Favreau,5308707,Made ,5245,USA,5000000
Duncan Jones,5009677,Moon ,19404,UK,5000000
Scott Marshall,4328294,Keeping Up with the Steins ,5900,USA,
Ronan Chapalain,4074023,Sea Rex 3D: Journey to a Prehistoric World ,55,UK,5000000
Atom Egoyan,4306697,The Sweet Hereafter ,2820,Canada,5000000
Xavier Beauvois,3950029,Of Gods and Men ,416,France,4000000
Randall Miller,4040588,Bottle Shock ,25676,USA,5000000
Jerry Belson,,Jekyll and Hyde... Together Again ,1324,USA,5000000
Peter Jackson,3049135,Heavenly Creatures ,14574,New Zealand,5000000
Michael Polish,4700361,90 Minutes in Heaven ,6617,USA,5000000
Dan Rush,2711210,Everything Must Go ,10517,USA,5000000
Jake Kasdan,1980338,Zero Effect ,1209,USA,5000000
Brad Anderson,1082044,The Machinist ,24994,Spain,5000000
Paul Schrader,1100000,Light Sleeper ,1201,USA,5000000
Michael Cuesta,2445646,Kill the Messenger ,12897,USA,5000000
John Cameron Mitchell,2221809,Rabbit Hole ,1582,USA,5000000
Fenton Bailey,296665,Party Monster ,5185,USA,5000000
Jeremy Saulnier,3219029,Green Room ,1836,USA,5000000
Billy Kent,,The Oh in Ohio ,1665,USA,5000000
James Manera,830210,Atlas Shrugged: Who Is John Galt? ,3382,USA,5000000
Wes Anderson,1040879,Bottle Rocket ,648,USA,7000000
Kevin Spacey,326308,Albino Alligator ,13718,USA,5000000
Feroz Abbas Khan,240425,"Gandhi, My Father ",172,India,
Errol Morris,228830,Standard Operating Procedure ,6,USA,
Dennis Hopper,,Out of the Blue ,498,Canada,2200000
Eli Craig,223615,Tucker and Dale vs Evil ,2958,Canada,
Nicholas Fackler,124720,"Lovely, Still ",4987,USA,5000000
Richard Wallace,,Tycoon ,538,USA,3209000
Morgan J. Freeman,99147,Desert Blue ,3207,USA,2000000
Matthew Hastings,,Decoys ,2984,Canada,5000000
M. Night Shyamalan,65069140,The Visit ,1010,USA,5000000
Brian De Palma,65087,Redacted ,408,USA,5000000
Klaus Menzel,16066,Fascination ,1789,Germany,5000000
,,Saving Grace             ,5203,USA,
Oren Peli,,Area 51 ,117,USA,5000000
Jaume Balagueró,,Sleep Tight ,526,Spain,5000000
Paul Andrew Williams,,The Cottage ,1258,UK,2500000
Stephen Herek,,Dead Like Me: Life After Death ,3724,USA,5000000
Bob Saget,,Farce of the Penguins ,10727,USA,
Jim Amatulli,,Flying By ,3217,USA,
,,Psych             ,4092,USA,
William H. Macy,37440,Rudderless ,1986,USA,5000000
Barrett Esposito,,Henry & Me ,2509,USA,10000000
Mitch Davis,,Christmas Eve ,3514,USA,
Eric Bross,,We Have Your Husband ,3059,USA,5000000
Paul Schrader,,Dying of the Light ,12676,Bahamas,5000000
Vicky Jewson,,Born of War ,1681,UK,5000000
Peter Hyams,,Capricorn One ,5191,USA,5000000
Marc Bennett,,Should've Been Romeo ,4991,USA,5000000
Mike Mayhall,,Running Forever ,3021,USA,5000000
Kevin Smith,,Yoga Hosers ,46115,USA,5000000
Stanton Barrett,,Navy Seals vs. Zombies ,2849,USA,
Jirí Menzel,617228,I Served the King of England ,92,Czech Republic,84450000
Fatih Akin,274385,Soul Kitchen ,1519,Germany,4000000
Billy Bob Thornton,24475416,Sling Blade ,3967,USA,890000
Nick Murphy,,The Awakening ,2363,UK,3000000
Eli Roth,47277326,Hostel ,2990,USA,4800000
Michael Winterbottom,1247453,Tristram Shandy: A Cock and Bull Story ,3690,UK,2800000
Jeff Nichols,1729969,Take Shelter ,1520,USA,5000000
Frank LaLoggia,1705139,Lady in White ,2545,USA,4700000
Jeremy Brock,238774,Driving Lessons ,11703,UK,
Scott Foley,,Let's Kill Ward's Wife ,2469,USA,5000000
Tobe Hooper,8025872,The Texas Chainsaw Massacre 2 ,302,USA,4700000
Sam Peckinpah,,Pat Garrett & Billy the Kid ,2409,USA,4638783
Nicolas Winding Refn,778565,Only God Forgives ,34779,Denmark,4800000
Christophe Ali,,Camping sauvage ,286,France,
Gabriela Tagliavini,,Without Men ,2006,USA,4700000
Shekar,,Barfi ,5,India,
Shona Auerbach,1340891,Dear Frankie ,18105,UK,
Leonard Farlinger,,All Hat ,2668,Canada,5000000
Michel Leclerc,513836,The Names of Love ,143,France,4600000
Analeine Cal y Mayor,,Treading Water ,1795,Mexico,4700000
Tom Kalin,434417,Savage Grace ,15093,Spain,4600000
Robert Sarkies,728,Out of the Blue ,122,New Zealand,
Hugh Wilson,81200000,Police Academy ,3113,USA,4500000
Randal Kleiser,,The Blue Lagoon ,1662,USA,4500000
Mike Newell,52700832,Four Weddings and a Funeral ,1862,UK,4500000
Amy Heckerling,,Fast Times at Ridgemont High ,5002,USA,4500000
John Huston,,Moby Dick ,588,USA,4500000
Spike Lee,13060843,25th Hour ,26050,USA,15000000
,,Secrets and Lies             ,1587,USA,
Lana Wachowski,3798532,Bound ,3668,USA,4500000
Darren Aronofsky,3609278,Requiem for a Dream ,2235,USA,4500000
Walter Lang,,State Fair ,496,USA,
Carlos Saura,1687311,Tango ,371,Spain,700000000
Oliver Stone,,Salvador ,2762,UK,4500000
Andrew Erwin,10429707,Moms' Night Out ,2705,USA,5000000
Richard Kelly,727883,Donnie Darko ,17040,USA,4500000
Beto Gómez,1391770,Saving Private Perez ,793,Mexico,
Mike van Diem,713413,Character ,48,Netherlands,4500000
Jonas Åkerlund,410241,Spun ,2110,USA,2000000
Todd Solondz,278821,Life During Wartime ,5041,USA,
Chan-wook Park,211667,Lady Vengeance ,907,South Korea,4200000000
René Féret,706622,Mozart's Sister ,53,France,
Barry Skolnick,92191,Mean Machine ,29325,UK,2500000
Johnnie To,49413,Exiled ,398,Hong Kong,35000000
Mateo Gil,199652,Blackthorn ,1950,Spain,
Lukas Moodysson,181655,Lilya 4-Ever ,131,Sweden,
Agnieszka Wojtowicz-Vosloo,108229,After.Life ,15860,USA,4500000
Kabir Sadanand,,Fugly ,496,India,
Milos Forman,112000000,One Flew Over the Cuckoo's Nest ,2176,USA,4400000
Peter DeLuise,,R.L. Stine's Monsterville: The Cabinet of Souls ,20397,USA,4400000
Mel Brooks,,Silent Movie ,2951,USA,4400000
Raja Menon,,Airlift ,151,India,4400000
,,Anne of Green Gables             ,2667,Canada,
Ernie Barbarash,8691,Falcon Rising ,3089,USA,4500000
Nick Love,26345,The Sweeney ,4810,UK,3000000
Jonathan Glazer,6940281,Sexy Beast ,1291,UK,
Daniel Espinosa,188870,Easy Money ,857,Sweden,
Niki Caro,20772796,Whale Rider ,497,New Zealand,6000000
R. Balki,199228,Paa ,1045,India,150000000
Ivan Engler,,Cargo ,61,Switzerland,4500000
Joe Wright,34964818,Pan ,21404,USA,150000000
Kenny Ortega,,High School Musical ,2553,USA,4200000
,,Animal Kingdom             ,3026,USA,
Richard Kwietniowski,2542264,Love and Death on Long Island ,938,UK,
Timur Bekmambetov,1487477,Night Watch ,206,Russia,4200000
Neil Jordan,62549000,The Crying Game ,2412,UK,2300000
Bob Clark,105500000,Porky's ,582,Canada,4000000
George A. Romero,101055,Survival of the Dead ,1951,USA,4000000
George A. Romero,,Night of the Living Dead ,403,USA,114000
Sofia Coppola,44566004,Lost in Translation ,32015,USA,4000000
Woody Allen,39200000,Annie Hall ,12691,USA,4000000
Cecil B. DeMille,36000000,The Greatest Show on Earth ,825,USA,4000000
Ridley Scott,65007045,Exodus: Gods and Kings ,26489,UK,140000000
Marc Forster,31252964,Monster's Ball ,13707,USA,4000000
Henry Hobson,131175,Maggie ,1885,USA,8500000
Mike Figgis,31968347,Leaving Las Vegas ,14823,USA,3600000
Duane Journey,,Hansel & Gretel Get Baked ,2634,USA,4500000
Dan O'Bannon,,The Return of the Living Dead ,2020,USA,4000000
Billy Wilder,,The Front Page ,1218,USA,4000000
Rob Cohen,35385560,The Boy Next Door ,4807,USA,4000000
Carol Reed,,Trapeze ,986,USA,4000000
,,Saving Grace             ,5203,USA,
Lisa Cholodenko,20803237,The Kids Are All Right ,18645,USA,3500000
John Carpenter,13008928,They Live ,837,USA,4000000
John Sturges,,The Great Escape ,1785,USA,4000000
William Arntz,10941801,What the #$*! Do We (K)now!? ,2649,USA,
Ed Gass-Donnelly,15152879,The Last Exorcism Part II ,46868,France,5000000
Richard Linklater,25359200,Boyhood ,673,USA,4000000
Woody Allen,10515579,Scoop ,20132,UK,4000000
Tim Burton,180011740,Planet of the Apes ,2776,USA,100000000
DJ Pooh,10097096,The Wash ,955,USA,4000000
DJ Pooh,9821335,3 Strikes ,3354,USA,6000000
Wayne Kramer,8243880,The Cooler ,3086,USA,3200000
John Huston,,The Misfits ,1652,USA,4000000
Patrick Stettner,7825820,The Night Listener ,50831,USA,4000000
James Melkonian,7557877,The Jerky Boys ,1002,USA,
Wes Craven,14637490,My Soul to Take ,2537,USA,25000000
J.A. Bayona,7159147,The Orphanage ,954,Spain,3400000
Michael Tiddes,17314483,A Haunted House 2 ,4073,USA,4000000
Roger Avary,6525762,The Rules of Attraction ,19928,USA,4000000
Alfred Hitchcock,,Topaz ,753,USA,4000000
Bob Odenkirk,4613815,Let's Go to Prison ,1566,USA,
Allison Anders,4301331,Four Rooms ,7921,USA,4000000
Steven Shainberg,4046737,Secretary ,2251,USA,4000000
Rick de Oliveira,3713002,The Real Cancun ,972,USA,8000000
Oliver Stone,3468572,Talk Radio ,1966,USA,4000000
Christopher Guest,2892582,Waiting for Guffman ,3559,USA,4000000
Jeff Franklin,2800000,Love Stinks ,2662,USA,4000000
John Dahl,2426851,You Kill Me ,776,USA,4000000
Mike Mills,1325073,Thumbsucker ,1208,USA,4000000
Kevin Smith,,Red State ,4777,USA,4000000
