director_name,actor_3_facebook_likes,actor_2_name,gross,actor_3_name,movie_imdb_link,language,budget,imdb_score,movie_facebook_likes
Rob Marshall,210,Mako,57010853,Karl Yune,http://www.imdb.com/title/tt0397535/?ref_=fn_tt_tt_1,English,85000000,7.3,0
Justin Lin,159,Zachery Ty Bryan,62494975,Nikki Griffin,http://www.imdb.com/title/tt0463985/?ref_=fn_tt_tt_1,English,85000000,6.0,0
Sarah Smith,561,Imelda Staunton,46440491,Michael Palin,http://www.imdb.com/title/tt1430607/?ref_=fn_tt_tt_1,English,100000000,7.1,0
Martin Brest,551,Brad Pitt,44606335,Jake Weber,http://www.imdb.com/title/tt0119643/?ref_=fn_tt_tt_1,English,90000000,7.1,10000
Andrew Davis,172,Rick Worthy,40048332,Jsu Garcia,http://www.imdb.com/title/tt0233469/?ref_=fn_tt_tt_1,English,85000000,5.5,941
Bob Fosse,87,Ben Vereen,,Max Wright,http://www.imdb.com/title/tt0078754/?ref_=fn_tt_tt_1,English,,7.8,0
Tarsem Singh,809,Nathan Lane,64933670,Danny Woodburn,http://www.imdb.com/title/tt1667353/?ref_=fn_tt_tt_1,English,85000000,5.6,18000
Edgar Wright,719,Kieran Culkin,31494270,Ellen Wong,http://www.imdb.com/title/tt0446029/?ref_=fn_tt_tt_1,English,60000000,7.5,36000
Jon Amiel,106,Tchéky Karyo,31111260,Rekha Sharma,http://www.imdb.com/title/tt0298814/?ref_=fn_tt_tt_1,English,60000000,5.4,0
Peter Segal,571,Janet Jackson,123307945,Chris Elliott,http://www.imdb.com/title/tt0144528/?ref_=fn_tt_tt_1,English,65000000,4.3,374
Raja Gosnell,271,Linda Cardellini,153288182,Miguel A. Núñez Jr.,http://www.imdb.com/title/tt0267913/?ref_=fn_tt_tt_1,English,84000000,4.9,0
Pete Travis,20,Jason Cope,13401683,Rakie Ayola,http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1,English,35000000,7.1,46000
Frank Coraci,233,Cameron Monaghan,137340146,Julie Kavner,http://www.imdb.com/title/tt0389860/?ref_=fn_tt_tt_1,English,70000000,6.4,7000
George A. Romero,602,Hal Holbrook,,Adrienne Barbeau,http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1,English,8000000,6.9,0
Brad Peyton,615,Sean Hayes,43575716,Katt Williams,http://www.imdb.com/title/tt1287468/?ref_=fn_tt_tt_1,English,85000000,4.3,0
Doug Liman,521,Hayden Christensen,80170146,Tom Hulce,http://www.imdb.com/title/tt0489099/?ref_=fn_tt_tt_1,English,85000000,6.1,0
Guillermo del Toro,160,Iván Kamarás,75754670,Brian Steele,http://www.imdb.com/title/tt0411477/?ref_=fn_tt_tt_1,English,85000000,7.0,3000
David Fincher,495,Jake Gyllenhaal,33048353,Anthony Edwards,http://www.imdb.com/title/tt0443706/?ref_=fn_tt_tt_1,English,65000000,7.7,12000
Roger Spottiswoode,956,Michael Rapaport,34543701,Tony Goldwyn,http://www.imdb.com/title/tt0216216/?ref_=fn_tt_tt_1,English,82000000,5.9,0
Tom Shadyac,1000,Steve Carell,242589580,Lisa Ann Walter,http://www.imdb.com/title/tt0315327/?ref_=fn_tt_tt_1,English,81000000,6.7,0
Sylvester Stallone,5000,Sylvester Stallone,102981571,Jet Li,http://www.imdb.com/title/tt1320253/?ref_=fn_tt_tt_1,English,80000000,6.5,57000
Brian De Palma,898,Kristin Scott Thomas,180965237,Vanessa Redgrave,http://www.imdb.com/title/tt0117060/?ref_=fn_tt_tt_1,English,80000000,7.1,0
Gary Ross,575,Josh Hutcherson,407999255,Anthony Reynolds,http://www.imdb.com/title/tt1392170/?ref_=fn_tt_tt_1,English,78000000,7.3,140000
Todd Phillips,461,Mason Lee,254455986,Mike Tyson,http://www.imdb.com/title/tt1411697/?ref_=fn_tt_tt_1,English,80000000,6.5,56000
Tim Burton,390,Vincent Schiavelli,162831698,Andrew Bryniarski,http://www.imdb.com/title/tt0103776/?ref_=fn_tt_tt_1,English,80000000,7.0,0
Tim Johnson,925,Steve Carell,155019340,Catherine O'Hara,http://www.imdb.com/title/tt0327084/?ref_=fn_tt_tt_1,English,80000000,6.8,0
Dean DeBlois,443,Jason Scott Lee,145771527,David Ogden Stiers,http://www.imdb.com/title/tt0275847/?ref_=fn_tt_tt_1,English,80000000,7.2,0
Gary Winick,852,Julia Roberts,82506325,Oprah Winfrey,http://www.imdb.com/title/tt0413895/?ref_=fn_tt_tt_1,English,,6.4,0
Mimi Leder,3000,Jon Favreau,140459099,Robert Duvall,http://www.imdb.com/title/tt0120647/?ref_=fn_tt_tt_1,English,75000000,6.1,0
Dean Parisot,110,Anthony Hopkins,53215979,Garrick Hagon,http://www.imdb.com/title/tt1821694/?ref_=fn_tt_tt_1,English,84000000,6.7,22000
Peter Segal,421,Steve Reevis,158115031,Dalip Singh,http://www.imdb.com/title/tt0398165/?ref_=fn_tt_tt_1,English,82000000,6.4,0
Mike Mitchell,733,Jesse McCartney,133103929,Lauren Gottlieb,http://www.imdb.com/title/tt1615918/?ref_=fn_tt_tt_1,English,75000000,4.4,0
Dennis Dugan,11000,Adam Sandler,133668525,Jon Lovitz,http://www.imdb.com/title/tt2191701/?ref_=fn_tt_tt_1,English,80000000,5.4,14000
Peter Segal,11000,Dwayne Johnson,130313314,Anne Hathaway,http://www.imdb.com/title/tt0425061/?ref_=fn_tt_tt_1,English,80000000,6.5,0
Nancy Meyers,343,Jon Favreau,124590960,Paul Michael Glaser,http://www.imdb.com/title/tt0337741/?ref_=fn_tt_tt_1,English,80000000,6.7,0
Martin Scorsese,163,Joseph Sikora,127968405,Nellie Sciutto,http://www.imdb.com/title/tt1130884/?ref_=fn_tt_tt_1,English,80000000,8.1,53000
Seth Gordon,982,Robert Duvall,120136047,Katy Mixon,http://www.imdb.com/title/tt0369436/?ref_=fn_tt_tt_1,English,80000000,5.6,0
Chris Wedge,208,Drew Carey,128200012,Paula Abdul,http://www.imdb.com/title/tt0358082/?ref_=fn_tt_tt_1,English,75000000,6.3,0
John Woo,805,CCH Pounder,112225777,Joan Allen,http://www.imdb.com/title/tt0119094/?ref_=fn_tt_tt_1,English,80000000,7.3,11000
Adam Shankman,495,Carmen Electra,109993847,Kathryn Joosten,http://www.imdb.com/title/tt0960731/?ref_=fn_tt_tt_1,English,80000000,6.1,0
Sam Mendes,818,Jennifer Jason Leigh,104054514,Liam Aiken,http://www.imdb.com/title/tt0257044/?ref_=fn_tt_tt_1,English,80000000,7.7,0
Dennis Dugan,503,Bailee Madison,103028109,Kevin Nealon,http://www.imdb.com/title/tt1564367/?ref_=fn_tt_tt_1,English,80000000,6.4,19000
,0,Royce Johnson,,Charlie Cox,http://www.imdb.com/title/tt3322312/?ref_=fn_tt_tt_1,English,,8.8,55000
Simon West,744,Monica Potter,101087161,Dave Chappelle,http://www.imdb.com/title/tt0118880/?ref_=fn_tt_tt_1,English,75000000,6.8,0
D.J. Caruso,915,Ethan Embry,101111837,Cameron Boyce,http://www.imdb.com/title/tt1059786/?ref_=fn_tt_tt_1,English,80000000,6.6,0
Anthony Minghella,16000,Natalie Portman,95632614,Charlie Hunnam,http://www.imdb.com/title/tt0159365/?ref_=fn_tt_tt_1,English,79000000,7.2,0
Albert Hughes,10000,Mila Kunis,94822707,Gary Oldman,http://www.imdb.com/title/tt1037705/?ref_=fn_tt_tt_1,English,80000000,6.9,20000
Les Mayfield,159,Jodi Benson,92969824,Sam Lloyd,http://www.imdb.com/title/tt0119137/?ref_=fn_tt_tt_1,English,80000000,5.2,0
Jan de Bont,913,Lili Taylor,91188905,Virginia Madsen,http://www.imdb.com/title/tt0171363/?ref_=fn_tt_tt_1,English,80000000,4.9,0
Joe Pytka,366,Wayne Knight,90443603,Michael Jordan,http://www.imdb.com/title/tt0117705/?ref_=fn_tt_tt_1,English,80000000,6.3,0
Shawn Levy,38,Henry Czerny,82226474,William Abadie,http://www.imdb.com/title/tt0383216/?ref_=fn_tt_tt_1,English,65000000,5.6,0
Scott Derrickson,71,Jon Hamm,79363785,Juan Riedinger,http://www.imdb.com/title/tt0970416/?ref_=fn_tt_tt_1,English,80000000,5.5,0
Richard Donner,67,Alex McArthur,76081498,Michael Potts,http://www.imdb.com/title/tt0118883/?ref_=fn_tt_tt_1,English,75000000,6.7,0
David Ayer,697,Logan Lerman,85707116,Jim Parrack,http://www.imdb.com/title/tt2713180/?ref_=fn_tt_tt_1,English,68000000,7.6,82000
Ivan Reitman,397,Anne Heche,74329966,Amy Sedaris,http://www.imdb.com/title/tt0120828/?ref_=fn_tt_tt_1,English,70000000,5.7,0
Eric Brevig,375,Tom Cavanagh,100169068,Josh Robert Thompson,http://www.imdb.com/title/tt1302067/?ref_=fn_tt_tt_1,English,80000000,4.6,0
Kelly Asbury,495,Charles Napier,73215310,Zahn McClarnon,http://www.imdb.com/title/tt0166813/?ref_=fn_tt_tt_1,English,80000000,7.0,4000
Frank Coraci,269,Leslie Bibb,80360866,Nicholas Turturro,http://www.imdb.com/title/tt1222817/?ref_=fn_tt_tt_1,English,80000000,5.2,0
Stephen Hopkins,427,William Hurt,69102910,June Lockhart,http://www.imdb.com/title/tt0120738/?ref_=fn_tt_tt_1,English,80000000,5.1,0
Jonathan Demme,502,Dorian Missick,65948711,Jose Pablo Cantillo,http://www.imdb.com/title/tt0368008/?ref_=fn_tt_tt_1,English,80000000,6.6,0
Henry Jaglom,87,Stephen Dillane,821997,Michael Brandon,http://www.imdb.com/title/tt0119033/?ref_=fn_tt_tt_1,English,,7.0,91
Genndy Tartakovsky,859,Adam Sandler,169692572,Fran Drescher,http://www.imdb.com/title/tt2510894/?ref_=fn_tt_tt_1,English,80000000,6.7,16000
,474,Agnes Moorehead,,Dick York,http://www.imdb.com/title/tt0057733/?ref_=fn_tt_tt_1,English,,7.6,0
James Algar,62,Penn Jillette,60507228,Russi Taylor,http://www.imdb.com/title/tt0120910/?ref_=fn_tt_tt_1,English,80000000,7.3,607
Simon Wells,102,Alan Young,56684819,Josh Stamberg,http://www.imdb.com/title/tt0268695/?ref_=fn_tt_tt_1,English,80000000,5.9,3000
Ron Underwood,372,Mika Boorem,50628009,David Paymer,http://www.imdb.com/title/tt0120751/?ref_=fn_tt_tt_1,English,90000000,5.6,0
Dominic Sena,820,Don Cheadle,69772969,Sam Shepard,http://www.imdb.com/title/tt0244244/?ref_=fn_tt_tt_1,English,80000000,6.5,0
Martin Campbell,163,Nick Chinlund,45356386,Adrian Alonso,http://www.imdb.com/title/tt0386140/?ref_=fn_tt_tt_1,Spanish,75000000,5.9,951
Vincent Ward,129,Annabella Sciorra,55350897,Rosalind Chao,http://www.imdb.com/title/tt0120889/?ref_=fn_tt_tt_1,English,85000000,7.0,32000
Steven Brill,658,Jon Lovitz,39442871,Michael McKean,http://www.imdb.com/title/tt0185431/?ref_=fn_tt_tt_1,English,80000000,5.3,0
Terry Gilliam,871,Heath Ledger,37899638,Mackenzie Crook,http://www.imdb.com/title/tt0355295/?ref_=fn_tt_tt_1,English,88000000,5.9,0
Tim Burton,733,Martin Short,37754208,Lukas Haas,http://www.imdb.com/title/tt0116996/?ref_=fn_tt_tt_1,English,70000000,6.3,0
Lucile Hadzihalilovic,8,Roxane Duran,,Julie-Marie Parmentier,http://www.imdb.com/title/tt4291590/?ref_=fn_tt_tt_1,French,,6.4,257
Lee Tamahori,904,Harold Perrineau,27779888,Bart the Bear,http://www.imdb.com/title/tt0119051/?ref_=fn_tt_tt_1,English,,6.9,0
Jonathan Mostow,1000,Devin Ratray,38542418,Boris Kodjoe,http://www.imdb.com/title/tt0986263/?ref_=fn_tt_tt_1,English,80000000,6.3,0
Roger Donaldson,183,Jon Foster,34566746,Bruce Thomas,http://www.imdb.com/title/tt0146309/?ref_=fn_tt_tt_1,English,80000000,7.3,0
Rob Cohen,366,Viggo Mortensen,32885565,Amy Brenneman,http://www.imdb.com/title/tt0116040/?ref_=fn_tt_tt_1,English,80000000,5.8,0
Barry Cook,210,Tiya Sircar,36073232,Madison Rothschild,http://www.imdb.com/title/tt1762399/?ref_=fn_tt_tt_1,English,80000000,5.2,0
Roger Christian,41,Michael Byrne,21471685,John Topor,http://www.imdb.com/title/tt0185183/?ref_=fn_tt_tt_1,English,44000000,2.4,0
Joe Dante,695,Jenna Elfman,20950820,Heather Locklear,http://www.imdb.com/title/tt0318155/?ref_=fn_tt_tt_1,English,80000000,5.7,665
Rob Marshall,30,Elio Germano,19673424,Andrea Di Stefano,http://www.imdb.com/title/tt0875034/?ref_=fn_tt_tt_1,English,80000000,5.8,0
Richard Donner,982,Gerard Butler,19480739,Ethan Embry,http://www.imdb.com/title/tt0300556/?ref_=fn_tt_tt_1,English,80000000,5.6,0
Kevin Costner,582,Brian Anthony Wilson,17593391,Larenz Tate,http://www.imdb.com/title/tt0119925/?ref_=fn_tt_tt_1,English,80000000,6.0,0
George Miller,231,Elizabeth Daily,18318000,Glenne Headly,http://www.imdb.com/title/tt0120595/?ref_=fn_tt_tt_1,English,80000000,5.8,964
Breck Eisner,612,Joseph Gilgun,27356090,Lotte Verbeek,http://www.imdb.com/title/tt1618442/?ref_=fn_tt_tt_1,English,90000000,6.0,21000
Antony Hoffman,0,Val Kilmer,17473245,Tom Sizemore,http://www.imdb.com/title/tt0199753/?ref_=fn_tt_tt_1,English,70000000,5.7,995
Luc Besson,14,Adam LeFevre,15131330,Penny Balfour,http://www.imdb.com/title/tt0344854/?ref_=fn_tt_tt_1,English,86000000,6.0,941
Jacques Perrin,7,Jacques Perrin,19406406,Rie Miyazawa,http://www.imdb.com/title/tt0765128/?ref_=fn_tt_tt_1,French,40000000,7.8,0
Peter Hyams,212,Catherine McCormack,1891821,Jemima Rooper,http://www.imdb.com/title/tt0318081/?ref_=fn_tt_tt_1,English,52000000,4.2,785
Paul W.S. Anderson,74,Currie Graham,23219748,Dylan Schombing,http://www.imdb.com/title/tt1921064/?ref_=fn_tt_tt_1,English,80000000,5.6,20000
Andrés Couturier,20,David Hoffman,,Ben Diskin,http://www.imdb.com/title/tt4057916/?ref_=fn_tt_tt_1,Spanish,8000000,4.4,138
Ron Howard,535,Austin Pendleton,170708996,Judd Hirsch,http://www.imdb.com/title/tt0268978/?ref_=fn_tt_tt_1,English,58000000,8.2,29000
Roger Allers,847,Nathan Lane,422783777,Niketa Calame,http://www.imdb.com/title/tt0110357/?ref_=fn_tt_tt_1,English,45000000,8.5,17000
Brad Peyton,722,Dwayne Johnson,103812241,Kristin Davis,http://www.imdb.com/title/tt1397514/?ref_=fn_tt_tt_1,English,79000000,5.8,0
Cody Cameron,18,Khamani Griffin,119793567,Melissa Sturm,http://www.imdb.com/title/tt1985966/?ref_=fn_tt_tt_1,English,78000000,6.5,15000
Brett Ratner,876,Anthony Hopkins,92930005,Emily Watson,http://www.imdb.com/title/tt0289765/?ref_=fn_tt_tt_1,English,78000000,7.2,0
Joe Johnston,1000,Viggo Mortensen,67286731,Peter Mensah,http://www.imdb.com/title/tt0317648/?ref_=fn_tt_tt_1,English,100000000,6.7,0
Dennis Dugan,553,Adam Sandler,74158157,Tim Meadows,http://www.imdb.com/title/tt0810913/?ref_=fn_tt_tt_1,English,79000000,3.4,0
John Singleton,771,Cole Hauser,127083765,Mo Gallini,http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1,English,76000000,5.9,0
Mark Osborne,6000,James Franco,1339152,Mackenzie Foy,http://www.imdb.com/title/tt1754656/?ref_=fn_tt_tt_1,English,81200000,7.8,31000
Oliver Hirschbiegel,327,Veronica Cartwright,15071514,Jeremy Northam,http://www.imdb.com/title/tt0427392/?ref_=fn_tt_tt_1,English,80000000,5.9,0
Des McAnuff,924,Janeane Garofalo,26000610,Jonathan Winters,http://www.imdb.com/title/tt0131704/?ref_=fn_tt_tt_1,English,76000000,4.1,413
Yarrow Cheney,745,Eric Stonestreet,323505540,Albert Brooks,http://www.imdb.com/title/tt2709768/?ref_=fn_tt_tt_1,English,75000000,6.8,36000
Stephen Norrington,845,Max Ryan,66462600,Tony Curran,http://www.imdb.com/title/tt0311429/?ref_=fn_tt_tt_1,English,78000000,5.8,0
Pierre Coffin,1000,Miranda Cosgrove,368049635,Steve Coogan,http://www.imdb.com/title/tt1690953/?ref_=fn_tt_tt_1,English,76000000,7.5,56000
Roland Emmerich,933,Adam Baldwin,306124059,Mary McDonnell,http://www.imdb.com/title/tt0116629/?ref_=fn_tt_tt_1,English,75000000,6.9,16000
Steven Spielberg,227,Richard Schiff,229074524,Vanessa Lee Chester,http://www.imdb.com/title/tt0119567/?ref_=fn_tt_tt_1,English,73000000,6.5,0
Eric Darnell,179,Cedric the Entertainer,193136719,Andy Richter,http://www.imdb.com/title/tt0351283/?ref_=fn_tt_tt_1,English,75000000,6.9,0
Alfonso Cuarón,18,Danny Huston,35286428,Rita Davies,http://www.imdb.com/title/tt0206634/?ref_=fn_tt_tt_1,English,76000000,7.9,17000
Bryan Singer,505,Tyler Mane,157299717,Bruce Davison,http://www.imdb.com/title/tt0120903/?ref_=fn_tt_tt_1,English,75000000,7.4,0
Timur Bekmambetov,988,Morgan Freeman,134568845,Common,http://www.imdb.com/title/tt0493464/?ref_=fn_tt_tt_1,English,75000000,6.7,0
Michael Bay,904,Michael Biehn,134006721,Bokeem Woodbine,http://www.imdb.com/title/tt0117500/?ref_=fn_tt_tt_1,English,75000000,7.4,51000
Carlos Saldanha,241,Ray Romano,195329763,Jay Leno,http://www.imdb.com/title/tt0438097/?ref_=fn_tt_tt_1,English,80000000,6.9,0
Peter Segal,328,Peter Dante,120776832,Allen Covert,http://www.imdb.com/title/tt0343660/?ref_=fn_tt_tt_1,English,75000000,6.8,11000
Adam Shankman,260,Elijah Kelley,118823091,Paul Dooley,http://www.imdb.com/title/tt0427327/?ref_=fn_tt_tt_1,English,75000000,6.7,0
Renny Harlin,394,Alan Ford,41814863,Izabella Scorupco,http://www.imdb.com/title/tt0204313/?ref_=fn_tt_tt_1,English,50000000,5.1,893
David Kellogg,692,Rene Auberjonois,97360069,Rupert Everett,http://www.imdb.com/title/tt0141369/?ref_=fn_tt_tt_1,English,75000000,4.1,509
Louis Leterrier,963,Common,117698894,Michael Kelly,http://www.imdb.com/title/tt1670345/?ref_=fn_tt_tt_1,English,75000000,7.3,105000
Dennis Dugan,4000,Adam Sandler,162001186,Salma Hayek,http://www.imdb.com/title/tt1375670/?ref_=fn_tt_tt_1,English,80000000,6.0,12000
Steven Spielberg,232,Chi McBride,77032279,Barry Shabaka Henley,http://www.imdb.com/title/tt0362227/?ref_=fn_tt_tt_1,English,60000000,7.3,16000
,218,Matt Ryan,,Charles Halford,http://www.imdb.com/title/tt3489184/?ref_=fn_tt_tt_1,English,,7.5,10000
Thor Freudenthal,446,Kevin Dillon,73023275,Yvette Nicole Brown,http://www.imdb.com/title/tt0785006/?ref_=fn_tt_tt_1,English,35000000,5.4,1000
Martin Campbell,748,Scott Glenn,68473360,Ben Mendelsohn,http://www.imdb.com/title/tt0190865/?ref_=fn_tt_tt_1,English,75000000,5.9,0
Mike Nichols,15000,Tom Hanks,66636385,Jud Tylor,http://www.imdb.com/title/tt0472062/?ref_=fn_tt_tt_1,English,75000000,7.1,0
Bibo Bergeron,11000,Martin Scorsese,160762022,Angelina Jolie Pitt,http://www.imdb.com/title/tt0307453/?ref_=fn_tt_tt_1,English,75000000,6.0,0
Bill Condon,525,Jennifer Hudson,103338338,Anika Noni Rose,http://www.imdb.com/title/tt0443489/?ref_=fn_tt_tt_1,English,70000000,6.5,0
,0,Brent Sexton,,Damian Lewis,http://www.imdb.com/title/tt0874936/?ref_=fn_tt_tt_1,English,,8.3,0
F. Gary Gray,680,Christina Milian,55808744,Debi Mazar,http://www.imdb.com/title/tt0377471/?ref_=fn_tt_tt_1,English,53000000,5.7,0
Steven Spielberg,412,Moritz Bleibtreu,47379090,Mathieu Amalric,http://www.imdb.com/title/tt0408306/?ref_=fn_tt_tt_1,English,70000000,7.6,0
Antoine Fuqua,787,Tom Skerritt,43426961,Cole Hauser,http://www.imdb.com/title/tt0314353/?ref_=fn_tt_tt_1,English,70000000,6.6,0
Robert Luketic,925,Lisa Ann Walter,47000485,Catherine O'Hara,http://www.imdb.com/title/tt1103153/?ref_=fn_tt_tt_1,English,75000000,5.4,0
Guy Ritchie,104,Elizabeth Debicki,45434443,Christian Berkel,http://www.imdb.com/title/tt1638355/?ref_=fn_tt_tt_1,English,75000000,7.3,43000
James L. Brooks,138,Paz Vega,42044321,Sarah Steele,http://www.imdb.com/title/tt0371246/?ref_=fn_tt_tt_1,English,80000000,6.5,0
Gil Kenan,925,Jon Heder,73661010,Catherine O'Hara,http://www.imdb.com/title/tt0385880/?ref_=fn_tt_tt_1,English,75000000,6.6,0
Barry Levinson,193,Brían F. O'Byrne,41523271,Azura Skye,http://www.imdb.com/title/tt0219965/?ref_=fn_tt_tt_1,English,80000000,6.6,0
Jerry Zucker,249,Ben Cross,37600435,John Gielgud,http://www.imdb.com/title/tt0113071/?ref_=fn_tt_tt_1,English,55000000,5.9,0
Andy Tennant,99,Geoffrey Palmer,39251128,Randall Duk Kim,http://www.imdb.com/title/tt0166485/?ref_=fn_tt_tt_1,English,75000000,6.7,0
Tarsem Singh,222,Daniel Sharman,83503161,Steve Byers,http://www.imdb.com/title/tt1253864/?ref_=fn_tt_tt_1,English,75000000,6.1,30000
Florent-Emilio Siri,759,Bruce Willis,34636443,Ransford Doherty,http://www.imdb.com/title/tt0340163/?ref_=fn_tt_tt_1,English,52000000,6.6,0
Don Bluth,886,Janeane Garofalo,22751979,Nathan Lane,http://www.imdb.com/title/tt0120913/?ref_=fn_tt_tt_1,English,75000000,6.6,0
Ron Shelton,541,Bruce Greenwood,30013346,Lena Olin,http://www.imdb.com/title/tt0329717/?ref_=fn_tt_tt_1,English,75000000,5.3,648
Paul W.S. Anderson,533,Sean Pertwee,14567883,Jason Scott Lee,http://www.imdb.com/title/tt0120157/?ref_=fn_tt_tt_1,English,75000000,6.0,0
David Pastor,394,Kiernan Shipka,90820,Lou Taylor Pucci,http://www.imdb.com/title/tt0806203/?ref_=fn_tt_tt_1,English,,6.0,0
Henry Selick,637,Bridget Fonda,5409517,Megan Mullally,http://www.imdb.com/title/tt0166276/?ref_=fn_tt_tt_1,English,75000000,4.7,683
John Moore,568,Tony Curran,21009180,Miranda Otto,http://www.imdb.com/title/tt0377062/?ref_=fn_tt_tt_1,English,45000000,6.1,1000
M. Night Shyamalan,963,Bruce Willis,94999143,Michael Kelly,http://www.imdb.com/title/tt0217869/?ref_=fn_tt_tt_1,English,75000000,7.2,0
Kyle Balda,1000,Jon Hamm,336029560,Steve Coogan,http://www.imdb.com/title/tt2293640/?ref_=fn_tt_tt_1,English,74000000,6.4,70000
Zack Snyder,826,Abbie Cornish,36381716,Scott Glenn,http://www.imdb.com/title/tt0978764/?ref_=fn_tt_tt_1,English,82000000,6.1,42000
Brian De Palma,697,Mike Starr,55585389,John Heard,http://www.imdb.com/title/tt0120832/?ref_=fn_tt_tt_1,English,69000000,5.9,880
Barry Levinson,215,James Pickens Jr.,36976367,Huey Lewis,http://www.imdb.com/title/tt0120184/?ref_=fn_tt_tt_1,English,75000000,6.0,0
Clay Kaytis,415,Josh Gad,107225164,Keegan-Michael Key,http://www.imdb.com/title/tt1985949/?ref_=fn_tt_tt_1,English,73000000,6.3,14000
Andy Tennant,715,Ray Winstone,70224196,Alexis Dziena,http://www.imdb.com/title/tt0770752/?ref_=fn_tt_tt_1,English,70000000,5.6,0
Judd Apatow,130,RZA,51814190,Maude Apatow,http://www.imdb.com/title/tt1201167/?ref_=fn_tt_tt_1,English,75000000,6.4,0
Peter Berg,461,Frances Fisher,47456450,Tim McGraw,http://www.imdb.com/title/tt0431197/?ref_=fn_tt_tt_1,English,70000000,7.1,0
Adam McKay,989,Leslie Bibb,148213377,Gary Cole,http://www.imdb.com/title/tt0415306/?ref_=fn_tt_tt_1,English,73000000,6.6,0
Steve Carr,574,Jeffrey Jones,112950721,Kevin Pollak,http://www.imdb.com/title/tt0240462/?ref_=fn_tt_tt_1,English,72000000,4.6,266
Mel Gibson,403,Patrick McGoohan,75600000,James Robinson,http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1,English,72000000,8.4,17000
Sam Mendes,210,Brian Geraghty,62647540,James Morrison,http://www.imdb.com/title/tt0418763/?ref_=fn_tt_tt_1,English,70000000,7.1,0
David Silverman,433,Yeardley Smith,183132370,Marcia Wallace,http://www.imdb.com/title/tt0462538/?ref_=fn_tt_tt_1,English,75000000,7.4,0
Frank Darabont,745,Hal Holbrook,27796042,Jeffrey DeMunn,http://www.imdb.com/title/tt0268995/?ref_=fn_tt_tt_1,English,72000000,6.9,0
Renny Harlin,462,Estella Warren,32616869,Cristián de la Fuente,http://www.imdb.com/title/tt0132245/?ref_=fn_tt_tt_1,English,72000000,4.5,886
Jean-Jacques Annaud,8,Jean-Claude Dreyfus,18947630,Oanh Nguyen,http://www.imdb.com/title/tt0338512/?ref_=fn_tt_tt_1,English,59660000,7.1,2000
M. Night Shyamalan,882,Judy Greer,114195633,William Hurt,http://www.imdb.com/title/tt0368447/?ref_=fn_tt_tt_1,English,60000000,6.5,0
Betty Thomas,595,Raven-Symoné,144156464,Peter Boyle,http://www.imdb.com/title/tt0118998/?ref_=fn_tt_tt_1,English,71500000,5.3,694
M. Night Shyamalan,242,Merritt Wever,227965690,Cherry Jones,http://www.imdb.com/title/tt0286106/?ref_=fn_tt_tt_1,English,72000000,6.7,0
Andrew Adamson,48,Jennifer Saunders,436471036,Conrad Vernon,http://www.imdb.com/title/tt0298148/?ref_=fn_tt_tt_1,English,150000000,7.2,0
John Lasseter,769,Cheech Marin,244052771,George Carlin,http://www.imdb.com/title/tt0317219/?ref_=fn_tt_tt_1,English,120000000,7.2,0
