director_name,num_critic_for_reviews,actor_2_name,gross,genres,movie_title,num_voted_users,actor_3_name,plot_keywords,num_user_for_reviews,language,title_year,imdb_score,aspect_ratio,movie_facebook_likes
Kevin Smith,181,Shannon Elizabeth,30059386,Comedy,Jay and Silent Bob Strike Back ,128593,Jason Mewes,internet|jay and silent bob|new jersey|orangutan|police,867,English,2001,6.9,2.35,0
Michael Bay,257,Steve Buscemi,35799026,Action|Adventure|Romance|Sci-Fi|Thriller,The Island ,263336,Djimon Hounsou,clone|environment|escape|island|lottery,899,English,2005,6.9,2.35,0
Daniel Sackheim,95,Bruce Dern,17951431,Crime|Drama|Mystery|Thriller,The Glass House ,25462,Trevor Morgan,car|car accident|death|friend|glass,200,English,2001,5.8,2.35,804
Ethan Coen,423,Channing Tatum,29997095,Comedy|Mystery,Hail, Caesar! ,60926,Alden Ehrenreich,50s|film within a film|hollywood|illegitimate pregnancy|twins,302,English,2016,6.4,1.85,23000
Harry Elfont,93,Paulo Costanzo,14252830,Comedy|Music,Josie and the Pussycats ,18900,Aries Spears,based on tv series|fictional band|girl band|music industry|pop band,242,English,2001,5.3,1.85,0
Gary Fleder,203,James Franco,19783777,Action|Crime|Drama|Thriller,Homefront ,82804,Frank Grillo,biker|biker gang|dea|dea agent|fight,154,English,2013,6.5,2.35,15000
Uli Edel,38,Jim Carter,13555988,Adventure|Comedy|Family|Fantasy,The Little Vampire ,7242,Alice Krige,boy|pushed off a cliff|rat|secret passage|vampire,38,English,2000,5.7,1.85,0
David O. Russell,183,Lily Tomlin,12784713,Comedy,I Heart Huckabees ,56813,Isabelle Huppert,coincidence|cult film|overalls|suburb|vomiting,381,English,2004,6.7,2.35,0
Fred Dekker,75,Rip Torn,10696210,Action|Crime|Sci-Fi|Thriller,RoboCop 3 ,35018,Mako,android|corporation|ninja|police|robocop,180,English,1993,3.9,1.85,716
Brian Trenchard-Smith,18,Udo Kier,5974653,Action|Adventure|Fantasy|Sci-Fi|Thriller,Megiddo: The Omega Code 2 ,2253,Franco Nero,armageddon|battle|end times|reference to satan|sequel,111,English,2001,4.1,1.85,158
Blake Edwards,22,Vernon Dobtcheff,5000000,Comedy|Drama|Musical|Romance|War,Darling Lili ,1547,Jeremy Kemp,crepe suzette|french|mata hari spoof|song|spy,50,English,1970,6.2,2.35,104
Hugh Wilson,41,Alex Rocco,9694105,Comedy|Family|Romance,Dudley Do-Right ,8176,Eric Idle,gold|gold rush|mirror|police officer|singer,77,English,1999,3.8,2.35,272
Camille Delamarre,148,Noémie Lenoir,16027866,Action|Crime|Thriller,The Transporter Refueled ,26767,Radivoje Bukvic,airfield|car|car stunt|driver|private jet,121,English,2015,5.1,2.35,0
Laurence Dunmore,111,Jack Davenport,4829497,Drama|Romance,The Libertine ,31433,Richard Coyle,ambassador|charles ii|earl|mistress|poet,260,English,2004,6.4,2.35,0
Paul Verhoeven,231,Sebastian Koch,4398392,Drama|Thriller|War,Black Book ,59507,Christian Berkel,boat|escape|hiding|nazi|resistance,232,Dutch,2006,7.8,2.35,0
Christian Carion,115,Dany Boon,1050445,Drama|History|Music|Romance|War,Joyeux Noel ,21394,Ian Richardson,christmas|no man's land|soldier|trench|world war one,147,French,2005,7.8,2.35,11000
David Palmer,176,Tom Arnold,13746550,Action|Comedy|Romance,Hit and Run ,29322,Beau Bridges,gay cop|getaway driver|masturbation|penis|witness protection,104,English,2012,6.1,2.35,0
Callie Khouri,98,Ted Danson,20668843,Comedy|Crime|Thriller,Mad Money ,16831,Roger Cross,bank|federal reserve bank|money|security guard|shredder,54,English,2008,5.8,2.35,687
Rowan Joffe,149,Ben Crompton,2963012,Drama|Mystery|Thriller,Before I Go to Sleep ,48873,Anne-Marie Duff,amnesia|female nudity|infidelity|nudity|therapist,105,English,2014,6.3,2.35,11000
William Friedkin,84,Joe Spinell,,Adventure|Drama|Thriller,Sorcerer ,9513,Amidou,fire|jungle|money|oil drilling|truck,116,English,1977,7.7,1.85,0
John Curran,138,Milla Jovovich,1796024,Drama|Thriller,Stone ,34985,Frances Conroy,arsonist|blood splatter on face|deception|parole|parole officer,135,English,2010,5.4,2.35,0
Laurent Tirard,78,Ludivine Sagnier,634277,Comedy|History,Molière ,5166,Fabrice Luchini,deathbed|play|playwright|prison|theater,27,French,2007,7.3,2.35,815
Scott Cooper,288,Sam Shepard,11326836,Crime|Drama|Thriller,Out of the Furnace ,83171,Dendrie Taylor,ambiguous ending|brother brother relationship|drug dealer|fight club|revenge,231,English,2013,6.8,2.35,17000
Tony Gilroy,299,Denis O'Hare,49024969,Crime|Drama|Mystery|Thriller,Michael Clayton ,133367,Sydney Pollack,attorney|debt|fixer|law|law firm,363,English,2007,7.3,2.35,0
Peter Segal,27,Bradley Whitford,22294341,Adventure|Comedy,My Fellow Americans ,12278,Sela Ward,gay pride|highway travel|president|road movie|u.s. president,71,English,1996,6.5,1.85,758
Mark Pellington,155,Spencer Treat Clark,24362501,Crime|Drama|Thriller,Arlington Road ,69980,Hope Davis,death|fbi|fbi agent|neighbor|professor,591,English,1999,7.2,2.35,0
Juan José Campanella,82,Diego Ramos,,Adventure|Animation|Family|Sport,Underdogs ,6920,Gabriel Almirón,funfair|luna park|table football|toy comes to life|wig,22,Spanish,2013,6.7,2.35,0
Woody Allen,275,Judy Davis,16684352,Comedy|Romance,To Rome with Love ,67893,Alessandra Mastronardi,architect|celebrity|prostitute|shower|tourist,163,English,2012,6.3,1.85,18000
Clint Eastwood,43,Warren Clarke,46700000,Action|Adventure|Thriller,Firefox ,19832,Kenneth Colley,fighter plane|jet fighter|refueling|russia|soviet union,98,English,1982,5.9,2.35,0
Trey Parker,163,Eric Idle,52008288,Animation|Comedy|Fantasy|Musical,South Park: Bigger Longer & Uncut ,162037,Trey Parker,boy|canada|hell|misunderstanding|refrence to liza minnelli,928,English,1999,7.8,1.85,0
Frank Oz,168,Ewen Bremner,8579684,Comedy,Death at a Funeral ,89547,Kris Marshall,end credits roll call|four word title|funeral|secret|uncle,199,English,2007,7.4,1.85,0
Stuart Gillard,60,John Aylward,42660000,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Teenage Mutant Ninja Turtles III ,25086,Matt Hill,battle|japan|magic|samurai|turtle,87,English,1993,4.8,1.85,1000
Brian Robbins,85,D.B. Sweeney,40219708,Drama|Sport,Hardball ,22649,DeWayne Warren,coach|gambling|housing project|little league|little league baseball,131,English,2001,6.3,1.85,0
David O. Russell,539,Robert De Niro,132088910,Comedy|Drama|Romance,Silver Linings Playbook ,533607,Bradley Cooper,adulterous wife|bipolar disorder|obsessive compulsive personality disorder|unhappy marriage|widow,692,English,2012,7.8,2.35,117000
Richard LaGravenese,84,Scott Glenn,36581633,Biography|Crime|Drama,Freedom Writers ,52533,Imelda Staunton,gang violence|high school|journal|marriage|teacher,235,English,2007,7.5,1.85,10000
Tyler Perry,75,Loretta Devine,37721949,Drama,For Colored Girls ,6067,Kimberly Elise,african american protagonist|female protagonist|multi protagonist|poem|three word title,73,English,2010,6.0,1.85,0
Louis Leterrier,171,Qi Shu,25296447,Action|Crime|Thriller,The Transporter ,237248,Matt Schulze,bar|gunfight|human trafficking|mixed martial arts|tire iron,460,English,2002,6.8,2.35,0
Jeff Wadlow,140,Neil Brown Jr.,24848292,Action|Drama|Sport,Never Back Down ,80556,Leslie Hope,club|fight|fighting|high school|mixed martial arts,184,English,2008,6.6,2.35,0
Katt Shea,85,Rachel Blanchard,17757087,Horror|Sci-Fi|Thriller,The Rage: Carrie 2 ,13065,Eddie Kaye Thomas,high school|party|prom|suicide|teenage girl,253,English,1999,4.6,1.85,897
,5,,,Game-Show|Reality-TV|Romance,The Bachelor             ,4398,,bachelor|seeking love|single guy|tv host|women rivals for man,33,English,,2.9,,141
Sam Mendes,217,Jim Gaffigan,9430988,Comedy|Drama|Romance,Away We Go ,45992,Carmen Ejogo,baby|children|friend|love|road trip,115,English,2009,7.1,2.35,7000
Joshua Michael Stern,131,Judge Reinhold,16284360,Comedy|Drama,Swing Vote ,15079,Nathan Lane,ballot|election|new mexico|vote|voting,79,English,2008,6.1,2.35,1000
Brad Silberling,111,Holly Hunter,6830957,Drama|Romance,Moonlight Mile ,11983,Bob Clendenin,1970s|death|district attorney|fiancee|watching television,147,English,2002,6.7,2.35,365
Tomas Alfredson,466,Colin Firth,24104113,Drama|Mystery|Thriller,Tinker Tailor Soldier Spy ,149066,Gary Oldman,cold war|hungary|mole|spy|woman on top,517,English,2011,7.1,2.35,24000
John Duigan,16,Jill Hennessy,15593,Comedy|Drama|Romance,Molly ,2295,Sarah Wynter,autism|experimental surgery|female nudity|forename as title|regression,40,English,1999,5.8,1.85,284
Jodie Foster,276,Cherry Jones,958319,Drama,The Beaver ,39764,Riley Thomas Stewart,beaver puppet|depression|dysfunctional family|puppet|speech,148,English,2011,6.7,2.35,17000
Colin Higgins,11,Barry Corbin,69700000,Comedy|Musical,The Best Little Whorehouse in Texas ,7748,Dom DeLuise,chicken|governor|locker room|sheriff|texas,48,English,1982,5.8,2.35,0
David Cronenberg,196,Sarah Polley,2840417,Horror|Sci-Fi|Thriller,eXistenZ ,77493,Callum Rennie,assassin|game|game designer|pod|virtual reality,527,English,1999,6.8,1.85,6000
Steven Spielberg,234,Karen Allen,242374454,Action|Adventure,Raiders of the Lost Ark ,661017,William Hootkins,archeological dig|archeologist|ark of the covenant|egypt|nazi,771,English,1981,8.5,2.35,16000
Chris Columbus,37,Kieran Culkin,173585516,Adventure|Comedy|Family,Home Alone 2: Lost in New York ,200077,Devin Ratray,airport|christmas|florida|new york city|toy store,189,English,1992,6.6,1.85,0
Steven Spielberg,171,Teri Garr,128300000,Drama|Sci-Fi,Close Encounters of the Third Kind ,139288,Melinda Dillon,alien|close encounter of the third kind|mothership|ufo|vision,339,English,1977,7.7,2.35,0
Jim Sonzero,148,Christina Milian,20259297,Drama|Horror|Sci-Fi|Thriller,Pulse ,24969,Rick Gonzalez,cell phone|computer|computer hacker|e mail|technology,258,English,2006,4.7,2.35,0
Tony Scott,50,Judge Reinhold,153665036,Action|Comedy|Crime|Thriller,Beverly Hills Cop II ,84824,Ronny Cox,detective|police|police chief|robbery|tall woman,95,English,1987,6.4,2.35,0
Adam Shankman,121,Kimberly J. Brown,132541238,Comedy,Bringing Down the House ,30058,Steve Harris,divorce|lawyer|spanking|villain arrested|wrongful conviction,236,English,2003,5.5,2.35,800
Jonathan Demme,185,Scott Glenn,130727000,Crime|Drama|Horror|Thriller,The Silence of the Lambs ,887467,Anthony Heald,case file|fbi agent|psycho thriller|psychopath|serial killer,916,English,1991,8.6,1.85,40000
Penelope Spheeris,61,Lara Flynn Boyle,121697350,Comedy|Music,Wayne's World ,114610,Kurt Fuller,basement|lead actor's first film|long hair|public access|title directed by female,176,English,1992,7.0,1.85,0
Jeff Tremaine,156,Steve-O,117224271,Action|Comedy|Documentary,Jackass 3D ,47794,Chris Pontius,full frontal male nudity|man wearing a jock strap|man wearing a thong|rear male nudity|stripped prison uniform,81,English,2010,7.1,1.78,0
Jeannot Szwarc,75,Murray Hamilton,102922376,Adventure|Horror|Thriller,Jaws 2 ,51314,Joseph Mascolo,great white shark|island|mayor|police chief|shark,265,English,1978,5.7,2.35,0
Raja Gosnell,100,Nick Zano,94497271,Adventure|Comedy|Drama|Family|Romance,Beverly Hills Chihuahua ,17829,Ali Hillis,chihuahua|german shepherd|mexico|potted plant|tijuana mexico,99,English,2008,3.7,2.35,0
James Wan,511,Lili Taylor,137387272,Horror|Mystery|Thriller,The Conjuring ,300110,Hayley McFarland,based on true story|farmhouse|paranormal investigator|rhode island|supernatural power,807,English,2013,7.5,2.35,131000
Brian Levant,75,Tracy Morgan,82301521,Adventure|Comedy|Family|Romance,Are We There Yet? ,22679,Jay Mohr,car fire|children|cockroach|independent film|new year,149,English,2005,4.6,1.85,773
Ben Falcone,148,Mark Duplass,84518155,Comedy,Tammy ,35965,Ben Falcone,alcoholic|grandmother|highway travel|niagara falls|on the road,144,English,2014,4.9,1.85,11000
D.J. Caruso,253,Aaron Yoo,80050171,Drama|Mystery|Thriller,Disturbia ,186984,Jose Pablo Cantillo,binoculars|electronic tag|house arrest|neighbor|watching someone,491,English,2007,6.9,1.85,0
Richard Linklater,204,Sarah Silverman,81257845,Comedy|Music,School of Rock ,210680,Mike White,battle of the bands|rock band|school teacher|substitute teacher|teacher,479,English,2003,7.1,1.85,0
Paul W.S. Anderson,72,Cary-Hiroyuki Tagawa,70360285,Action|Adventure|Fantasy|Sci-Fi|Thriller,Mortal Kombat ,81783,Bridgette Wilson-Sampras,based on video game|island|mortal kombat|tournament|warrior,283,English,1995,5.8,1.85,0
Paul McGuigan,98,Christopher Cousins,12831121,Drama|Mystery|Romance|Thriller,Wicker Park ,44979,Mark Camacho,flashback|flashback within a flashback|multiple perspectives|obsession|split screen,298,English,2004,7.0,2.35,0
Keenen Ivory Wayans,62,Jaime King,69148997,Comedy|Crime,White Chicks ,98794,Brittany Daniel,african american|crossdresser|fbi|undercover|vomiting,251,English,2004,5.4,1.85,0
Alexander Payne,549,Nick Krause,82624961,Comedy|Drama,The Descendants ,205284,Beau Bridges,boating accident|daughters|father daughter relationship|hospital|marriage,439,English,2011,7.3,2.35,22000
Andrew Davis,106,Zane Holtz,67325559,Adventure|Comedy|Drama|Family|Mystery,Holes ,58222,Ski Carr,bad luck|camp|curse|digging|hole,331,English,2003,7.1,1.85,0
Julie Anne Robinson,123,Bobby Coleman,62933793,Drama|Family|Music|Romance,The Last Song ,62421,Melissa Ordway,beach|fire|love|pianist|summer,185,English,2010,5.8,2.35,10000
Steve McQueen,597,Scoot McNairy,56667870,Biography|Drama|History,12 Years a Slave ,439176,Taran Killam,racism|separation from family|social injustice|torture|whipping,695,English,2013,8.1,2.35,83000
Charles Stone III,64,Nick Cannon,56398162,Comedy|Drama|Music|Romance,Drumline ,28649,Jason Weaver,drumline|drummer|fish out of water|marching band|university,185,English,2002,5.7,2.35,2000
Tyler Perry,40,Cicely Tyson,60072596,Comedy|Drama|Romance,Why Did I Get Married Too? ,7664,Tasha Smith,question mark in title|returning character killed off|sequel|six word title|writer director,68,English,2010,4.4,1.85,0
Tim Burton,111,Dianne Wiest,56362352,Fantasy|Romance,Edward Scissorhands ,357581,Conchata Ferrell,creation|inventor|magical realism|scissors|suburb,588,English,1990,7.9,1.85,16000
Thea Sharrock,151,Emilia Clarke,56154094,Drama|Romance,Me Before You ,44723,Brendan Coyle,accident|caretaker|economic hardship|quadriplegic|wheelchair,130,English,2016,7.6,2.35,51000
Tyler Perry,31,Tom Arnold,65623128,Comedy|Crime|Drama,Madea's Witness Protection ,7354,Romeo Miller,critically bashed|culture shock|interracial relationship|madea series|ponzi scheme,50,English,2012,4.8,1.85,0
William Friedkin,138,Fernando Rey,,Action|Crime|Drama|Thriller,The French Connection ,82476,Tony Lo Bianco,crime boss|drug smuggling|heroin|mafia boss|organized crime,280,English,1971,7.8,1.85,0
Jon Lucas,81,Jay Hernandez,55461307,Comedy,Bad Moms ,4654,Jada Pinkett Smith,lesbian kiss|mom|pta|reference to mad max|scene during end credits,46,English,2016,6.7,,18000
Aaron Seltzer,99,Carmen Electra,48546578,Comedy|Romance,Date Movie ,50415,Fred Willard,female protagonist|greek|overweight|spoof|wedding planner,613,English,2006,2.7,1.85,806
Robin Budd,80,Rob Paulsen,48423368,Adventure|Animation|Family|Fantasy,Return to Never Land ,13324,Spencer Breslin,1940s|gang that lives together|outlaw gang|rescue|sequel,79,English,2002,5.8,1.66,302
Ava DuVernay,364,Tom Wilkinson,52066000,Biography|Drama|History,Selma ,61114,Oprah Winfrey,civil rights|courage|protest|selma alabama|u.s. politics,212,English,2014,7.5,2.35,22000
Steve Trenbirth,85,Phil Collins,47887943,Adventure|Animation|Family|Musical,The Jungle Book 2 ,11634,Tony Jay,dog|jungle|shot gun|tiger|village,58,English,2003,5.4,1.85,227
Stephen Kay,140,Skye McCole Bartusiak,46363118,Drama|Horror|Mystery|Thriller,Boogeyman ,25960,Charles Mesure,boogeyman|childhood|fear|hometown|uncle,389,English,2005,4.1,1.85,1000
Mennan Yapo,184,Amber Valletta,47852604,Drama|Mystery|Thriller,Premonition ,62364,Marc Macaulay,car|car accident|housewife|sheriff|suburb,337,English,2007,5.9,2.35,0
Jun Falkenstein,89,John Fiedler,45542421,Animation|Comedy|Drama|Family|Musical,The Tigger Movie ,13319,Ken Sansom,cartoon tiger|coming of age|tiger|tigger|title directed by female,53,English,2000,6.3,1.78,347
Jaume Collet-Serra,265,CCH Pounder,41573740,Horror|Mystery|Thriller,Orphan ,141663,Aryana Engineer,alcoholism|girl|little girl|orphan|troubled marriage,383,English,2009,7.0,1.85,20000
Boaz Yakin,61,Joseph Julian Soria,42652003,Adventure|Family,Max ,18915,Edgar Arreola,afghanistan|death of marine|dog|dog adoption|man dog relationship,87,English,2015,6.8,2.35,33000
,3,David Mann,,Comedy,Meet the Browns             ,1922,Denise Boutte,african american|character name in title|family relationships|sitcom,20,English,,3.5,1.85,211
Jason Friedberg,112,Carmen Electra,39737645,Adventure|Comedy,Epic Movie ,89687,Fred Willard,chocolate|chocolate factory|factory|orphan|student,666,English,2007,2.3,1.85,0
John Milius,166,Mako,37567440,Adventure|Fantasy,Conan the Barbarian ,113068,Sandahl Bergman,actual animal killed|cult|evil sorcerer|gladiator|warlord,337,English,1982,6.9,2.35,0
Tom McCarthy,474,Jamey Sheridan,44988180,Biography|Crime|Drama|History,Spotlight ,195333,Brian d'Arcy James,cover up|investigation|journalist|newspaper|sexual abuse,409,English,2015,8.1,1.85,80000
Neil LaBute,165,Justin Chambers,39263506,Crime|Drama|Thriller,Lakeview Terrace ,40469,Robert Pine,interracial couple|lapd|male nudity|neighbor|nudity,135,English,2008,6.1,2.35,0
Takashi Shimizu,131,Sarah Roemer,39143839,Horror|Thriller,The Grudge 2 ,38658,Matthew Knight,curse|ghost|haunted house|high school|schoolgirl,284,English,2006,5.0,1.85,930
Kevin Rodney Sullivan,29,James Pickens Jr.,37672350,Comedy|Drama|Romance,How Stella Got Her Groove Back ,5427,Barry Shabaka Henley,female protagonist|jamaica|six word title|tragic event|vacation,51,English,1998,5.5,1.85,0
Peter Hewitt,43,George Carlin,38037513,Adventure|Comedy|Fantasy|Music|Sci-Fi,Bill & Ted's Bogus Journey ,49680,Alex Winter,battle of the bands|bill and ted|heaven|hell|robot,117,English,1991,6.2,1.85,0
Barry Levinson,111,Tina Fey,37442180,Comedy|Drama|Romance|Thriller,Man of the Year ,28005,Amy Poehler,campaign|election|president|presidential election|satire,236,English,2006,6.2,2.35,0
Gary Nelson,90,Maximilian Schell,,Action|Sci-Fi,The Black Hole ,18481,Yvette Mimieux,black hole|escape|palomino|robot|scientist,230,English,1979,5.9,2.35,4000
Anton Corbijn,333,Thekla Reuten,35596227,Crime|Drama|Thriller,The American ,79461,Filippo Timi,ambush|assassin|priest|prostitute|sweden,463,English,2010,6.3,2.35,10000
Gregory Nava,37,Constance Marie,35422828,Biography|Drama|Music,Selena ,19126,Jacob Vargas,latin music|marriage|on tour|singer|tejano,155,English,1997,6.7,2.35,0
Jason Friedberg,122,Dave Foley,36658108,Comedy,Vampires Suck ,39095,Anneliese van der Pol,cat|friend|love|sheriff|teenager,187,English,2010,3.5,1.85,16000
