duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,plot_keywords,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
106,133,Reid Ewing,596,Comedy|Horror,Grace Phipps,Fright Night ,Sandra Vergara,1,neighbor|remake|suburb|teenager|vampire,R,30000000,343,6.4,1.85,23000
150,855,Michael Greyeyes,23000,Biography|Drama|History|Romance,Christian Bale,The New World ,Wes Studi,0,captain|fort|love|native american|trade,PG-13,30000000,909,6.7,2.35,0
100,362,David Suchet,811,Action|Adventure|Sci-Fi,Saffron Burrows,Wing Commander ,Jürgen Prochnow,3,27th century|fighter pilot|orchestral music score|outer space|space opera,PG-13,30000000,586,4.1,2.35,858
100,210,Aidan Quinn,21000,Drama|Fantasy|Thriller,Robert Downey Jr.,In Dreams ,Paul Guilfoyle,0,dream|mental institution|padded cell|serial killer|suicide attempt,R,30000000,767,5.5,1.85,654
100,99,Texas Battle,473,Action|Adventure|Fantasy|Sci-Fi|Thriller,Ian Whyte,Dragonball: Evolution ,Randall Duk Kim,0,bad|dragon|grandfather|orb|warrior,PG,45000000,315,2.7,2.35,0
107,165,James Burnett,971,Action|Crime|Thriller,Zach Gilford,The Last Stand ,Christiana Leucas,2,deputy|escape|fbi|modern western|sheriff,R,45000000,236,6.4,2.35,24000
102,353,Cameron Bright,22000,Drama|Horror|Sci-Fi|Thriller,Robert De Niro,Godsend ,Munro Chambers,1,birthday|boy|clone|cloning|doctor,PG-13,25000000,829,4.8,2.35,387
101,120,Stark Sands,448,Comedy|Romance,Annabella Sciorra,Chasing Liberty ,Terence Maynard,0,first daughter|photographer|prague|president|secret service agent,PG-13,23000000,143,6.1,2.35,0
86,843,Phil LaMarr,1000,Animation|Comedy|Family,Amy Poehler,Hoodwinked Too! Hood vs. Evil ,Cheech Marin,0,3 dimensional|box office flop|critically bashed|red riding hood|wolf,PG,30000000,857,4.8,1.85,0
108,83,Camryn Manheim,11000,Drama,Morgan Freeman,An Unfinished Life ,Lynda Boyd,3,abusive boyfriend|bear|car accident|ranch|wyoming,PG-13,30000000,329,7.0,2.35,0
123,645,Lily Cole,10000,Adventure|Fantasy|Mystery,Andrew Garfield,The Imaginarium of Doctor Parnassus ,Verne Troyer,1,birthday|bridge|midget|rescue|sideshow,PG-13,40000000,785,6.8,1.85,19000
134,329,Atom Egoyan,891,Comedy|Drama,Mark Addy,Barney's Version ,Paul Gross,2,ex wife|guest|marriage|memory|montreal,R,,460,7.3,2.35,0
511,51,Ingvar Eggert Sigurðsson,147,Crime|Drama|Thriller,Ólafur Darri Ólafsson,Trapped             ,Björn Hlynur Haraldsson,0,coastal town|iceland|police|snowstorm|winter storm,,,63,8.2,16.0,0
88,681,John Heard,3000,Crime|Thriller,Justin Timberlake,Runner Runner ,David Costabile,3,costa rica|fbi agent|gambling|money|online gambling,R,30000000,697,5.6,2.35,0
109,91,Richard Roundtree,779,Action|Crime|Drama|Thriller,Tyler Labine,Antitrust ,Ned Bellamy,2,boss|communications|computer|genius|job,PG-13,30000000,240,6.1,2.35,0
122,2000,Morgan Freeman,18000,Drama|History|War,Denzel Washington,Glory ,Matthew Broderick,3,army|black soldier|military uniform|prejudice|u.s. civil war,R,18000000,11000,7.9,1.85,0
251,642,Burt Young,22000,Crime|Drama,Robert De Niro,Once Upon a Time in America ,Treat Williams,8,1920s|ambiguity|childhood friend|new york|speakeasy,R,30000000,683,8.4,1.85,12000
118,174,Isabelle Huppert,3000,Action|Crime|Drama|Thriller,Dominic Cooper,Dead Man Down ,James Biberi,2,crime lord|dead body|dead body in a freezer|new york city|truck explosion,R,30000000,678,6.5,2.35,0
131,548,Mackenzie Crook,14000,Drama|Romance,Al Pacino,The Merchant of Venice ,Kris Marshall,3,debt|jew|loan|merchant|pound of flesh,R,18000000,871,7.1,2.35,0
109,345,Saïd Taghmaoui,2000,Action|Crime|Drama|Romance|Thriller,Emir Kusturica,The Good Thief ,Tchéky Karyo,0,casino|french riviera|gambler|heist|partner,R,25000000,378,6.6,1.85,287
80,826,Mike Vogel,17000,Action|Drama|Romance|Sport,Channing Tatum,Supercross ,Steve Howey,1,one word title|paddock|supercross|swimming pool|winning,PG-13,,2000,4.0,1.85,353
88,135,Bill Paterson,876,Biography|Drama|Romance,Emily Watson,Miss Potter ,Lucy Boynton,1,book|children|friend|illustrator|letter,PG,30000000,142,7.0,2.35,0
103,107,Toby Leonard Moore,489,Action|Drama|Fantasy,Dong-gun Jang,The Promise ,Nicholas Tse,0,armor|general|king|princess|slave,PG-13,60000000,181,5.6,2.35,445
87,748,Holly Valance,826,Action|Adventure,Steve Howey,DOA: Dead or Alive ,Sarah Carter,4,female fighter|island|martial arts|parachute|tournament,PG-13,21000000,816,4.8,2.35,0
160,820,Jeremy Renner,11000,Biography|Crime|Drama|History|Western,Brad Pitt,The Assassination of Jesse James by the Coward Robert Ford ,Sam Shepard,0,long title|outlaw|robbery|train|train robbery,R,30000000,10000,7.5,2.35,0
