director_name,num_critic_for_reviews,actor_2_name,gross,actor_1_name,movie_title,facenumber_in_poster,plot_keywords,movie_imdb_link,content_rating,budget,actor_2_facebook_likes,aspect_ratio
Laurence Dunmore,111,Jack Davenport,4829497,Johnny Depp,The Libertine ,1,ambassador|charles ii|earl|mistress|poet,http://www.imdb.com/title/tt0375920/?ref_=fn_tt_tt_1,R,,1000,2.35
Paul Verhoeven,231,Sebastian Koch,4398392,Michiel Huisman,Black Book ,1,boat|escape|hiding|nazi|resistance,http://www.imdb.com/title/tt0389557/?ref_=fn_tt_tt_1,R,21000000,380,2.35
Christian Carion,115,Dany Boon,1050445,Gary Lewis,Joyeux Noel ,0,christmas|no man's land|soldier|trench|world war one,http://www.imdb.com/title/tt0424205/?ref_=fn_tt_tt_1,PG-13,22000000,172,2.35
David Palmer,176,Tom Arnold,13746550,Bradley Cooper,Hit and Run ,5,gay cop|getaway driver|masturbation|penis|witness protection,http://www.imdb.com/title/tt2097307/?ref_=fn_tt_tt_1,R,2000000,618,2.35
Callie Khouri,98,Ted Danson,20668843,Stephen Root,Mad Money ,3,bank|federal reserve bank|money|security guard|shredder,http://www.imdb.com/title/tt0951216/?ref_=fn_tt_tt_1,PG-13,22000000,875,2.35
Rowan Joffe,149,Ben Crompton,2963012,Colin Firth,Before I Go to Sleep ,1,amnesia|female nudity|infidelity|nudity|therapist,http://www.imdb.com/title/tt1726592/?ref_=fn_tt_tt_1,R,22000000,257,2.35
William Friedkin,84,Joe Spinell,,Roy Scheider,Sorcerer ,0,fire|jungle|money|oil drilling|truck,http://www.imdb.com/title/tt0076740/?ref_=fn_tt_tt_1,PG,12000000,85,1.85
John Curran,138,Milla Jovovich,1796024,Robert De Niro,Stone ,1,arsonist|blood splatter on face|deception|parole|parole officer,http://www.imdb.com/title/tt1423995/?ref_=fn_tt_tt_1,R,22000000,14000,2.35
Laurent Tirard,78,Ludivine Sagnier,634277,Romain Duris,Molière ,1,deathbed|play|playwright|prison|theater,http://www.imdb.com/title/tt0796335/?ref_=fn_tt_tt_1,PG-13,16000000,521,2.35
Scott Cooper,288,Sam Shepard,11326836,Christian Bale,Out of the Furnace ,0,ambiguous ending|brother brother relationship|drug dealer|fight club|revenge,http://www.imdb.com/title/tt1206543/?ref_=fn_tt_tt_1,R,22000000,820,2.35
Tony Gilroy,299,Denis O'Hare,49024969,Tom Wilkinson,Michael Clayton ,0,attorney|debt|fixer|law|law firm,http://www.imdb.com/title/tt0465538/?ref_=fn_tt_tt_1,R,25000000,896,2.35
Peter Segal,27,Bradley Whitford,22294341,Wilford Brimley,My Fellow Americans ,3,gay pride|highway travel|president|road movie|u.s. president,http://www.imdb.com/title/tt0117119/?ref_=fn_tt_tt_1,PG-13,21500000,821,1.85
Mark Pellington,155,Spencer Treat Clark,24362501,Jeff Bridges,Arlington Road ,1,death|fbi|fbi agent|neighbor|professor,http://www.imdb.com/title/tt0137363/?ref_=fn_tt_tt_1,R,21500000,541,2.35
Juan José Campanella,82,Diego Ramos,,Pablo Rago,Underdogs ,4,funfair|luna park|table football|toy comes to life|wig,http://www.imdb.com/title/tt1634003/?ref_=fn_tt_tt_1,PG,22000000,10,2.35
Woody Allen,275,Judy Davis,16684352,Ornella Muti,To Rome with Love ,0,architect|celebrity|prostitute|shower|tourist,http://www.imdb.com/title/tt1859650/?ref_=fn_tt_tt_1,R,17000000,223,1.85
Clint Eastwood,43,Warren Clarke,46700000,Clint Eastwood,Firefox ,1,fighter plane|jet fighter|refueling|russia|soviet union,http://www.imdb.com/title/tt0083943/?ref_=fn_tt_tt_1,PG,21000000,281,2.35
Trey Parker,163,Eric Idle,52008288,Minnie Driver,South Park: Bigger Longer & Uncut ,1,boy|canada|hell|misunderstanding|refrence to liza minnelli,http://www.imdb.com/title/tt0158983/?ref_=fn_tt_tt_1,R,21000000,795,1.85
Frank Oz,168,Ewen Bremner,8579684,Peter Dinklage,Death at a Funeral ,0,end credits roll call|four word title|funeral|secret|uncle,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,R,9000000,557,1.85
Stuart Gillard,60,John Aylward,42660000,Paige Turco,Teenage Mutant Ninja Turtles III ,0,battle|japan|magic|samurai|turtle,http://www.imdb.com/title/tt0108308/?ref_=fn_tt_tt_1,PG,17000000,219,1.85
Brian Robbins,85,D.B. Sweeney,40219708,Keanu Reeves,Hardball ,3,coach|gambling|housing project|little league|little league baseball,http://www.imdb.com/title/tt0180734/?ref_=fn_tt_tt_1,PG-13,21000000,558,1.85
David O. Russell,539,Robert De Niro,132088910,Jennifer Lawrence,Silver Linings Playbook ,0,adulterous wife|bipolar disorder|obsessive compulsive personality disorder|unhappy marriage|widow,http://www.imdb.com/title/tt1045658/?ref_=fn_tt_tt_1,R,21000000,22000,2.35
Richard LaGravenese,84,Scott Glenn,36581633,Hunter Parrish,Freedom Writers ,1,gang violence|high school|journal|marriage|teacher,http://www.imdb.com/title/tt0463998/?ref_=fn_tt_tt_1,PG-13,21000000,826,1.85
Tyler Perry,75,Loretta Devine,37721949,Omari Hardwick,For Colored Girls ,0,african american protagonist|female protagonist|multi protagonist|poem|three word title,http://www.imdb.com/title/tt1405500/?ref_=fn_tt_tt_1,R,,912,1.85
Louis Leterrier,171,Qi Shu,25296447,Jason Statham,The Transporter ,0,bar|gunfight|human trafficking|mixed martial arts|tire iron,http://www.imdb.com/title/tt0293662/?ref_=fn_tt_tt_1,PG-13,21000000,1000,2.35
Jeff Wadlow,140,Neil Brown Jr.,24848292,Djimon Hounsou,Never Back Down ,1,club|fight|fighting|high school|mixed martial arts,http://www.imdb.com/title/tt1023111/?ref_=fn_tt_tt_1,PG-13,20000000,427,2.35
Katt Shea,85,Rachel Blanchard,17757087,Jason London,The Rage: Carrie 2 ,1,high school|party|prom|suicide|teenage girl,http://www.imdb.com/title/tt0144814/?ref_=fn_tt_tt_1,R,21000000,490,1.85
,5,,,Chris Harrison,The Bachelor             ,0,bachelor|seeking love|single guy|tv host|women rivals for man,http://www.imdb.com/title/tt0313038/?ref_=fn_tt_tt_1,,3000000,,
Sam Mendes,217,Jim Gaffigan,9430988,Catherine O'Hara,Away We Go ,2,baby|children|friend|love|road trip,http://www.imdb.com/title/tt1176740/?ref_=fn_tt_tt_1,R,17000000,472,2.35
Joshua Michael Stern,131,Judge Reinhold,16284360,Madeline Carroll,Swing Vote ,1,ballot|election|new mexico|vote|voting,http://www.imdb.com/title/tt1027862/?ref_=fn_tt_tt_1,PG-13,21000000,901,2.35
Brad Silberling,111,Holly Hunter,6830957,Jake Gyllenhaal,Moonlight Mile ,3,1970s|death|district attorney|fiancee|watching television,http://www.imdb.com/title/tt0179098/?ref_=fn_tt_tt_1,PG-13,21000000,1000,2.35
Tomas Alfredson,466,Colin Firth,24104113,Benedict Cumberbatch,Tinker Tailor Soldier Spy ,1,cold war|hungary|mole|spy|woman on top,http://www.imdb.com/title/tt1340800/?ref_=fn_tt_tt_1,R,20000000,14000,2.35
John Duigan,16,Jill Hennessy,15593,Elaine Hendrix,Molly ,1,autism|experimental surgery|female nudity|forename as title|regression,http://www.imdb.com/title/tt0143746/?ref_=fn_tt_tt_1,PG-13,21000000,419,1.85
Jodie Foster,276,Cherry Jones,958319,Jennifer Lawrence,The Beaver ,0,beaver puppet|depression|dysfunctional family|puppet|speech,http://www.imdb.com/title/tt1321860/?ref_=fn_tt_tt_1,PG-13,21000000,242,2.35
Colin Higgins,11,Barry Corbin,69700000,Dolly Parton,The Best Little Whorehouse in Texas ,2,chicken|governor|locker room|sheriff|texas,http://www.imdb.com/title/tt0083642/?ref_=fn_tt_tt_1,R,35000000,883,2.35
David Cronenberg,196,Sarah Polley,2840417,Jennifer Jason Leigh,eXistenZ ,0,assassin|game|game designer|pod|virtual reality,http://www.imdb.com/title/tt0120907/?ref_=fn_tt_tt_1,R,31000000,900,1.85
Steven Spielberg,234,Karen Allen,242374454,Harrison Ford,Raiders of the Lost Ark ,1,archeological dig|archeologist|ark of the covenant|egypt|nazi,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1,PG,18000000,783,2.35
Chris Columbus,37,Kieran Culkin,173585516,Macaulay Culkin,Home Alone 2: Lost in New York ,2,airport|christmas|florida|new york city|toy store,http://www.imdb.com/title/tt0104431/?ref_=fn_tt_tt_1,PG,18000000,1000,1.85
Steven Spielberg,171,Teri Garr,128300000,Bob Balaban,Close Encounters of the Third Kind ,0,alien|close encounter of the third kind|mothership|ufo|vision,http://www.imdb.com/title/tt0075860/?ref_=fn_tt_tt_1,PG,19400870,481,2.35
Jim Sonzero,148,Christina Milian,20259297,Ian Somerhalder,Pulse ,0,cell phone|computer|computer hacker|e mail|technology,http://www.imdb.com/title/tt0454919/?ref_=fn_tt_tt_1,PG-13,20000000,1000,2.35
Tony Scott,50,Judge Reinhold,153665036,Dean Stockwell,Beverly Hills Cop II ,1,detective|police|police chief|robbery|tall woman,http://www.imdb.com/title/tt0092644/?ref_=fn_tt_tt_1,R,28000000,901,2.35
Adam Shankman,121,Kimberly J. Brown,132541238,Angus T. Jones,Bringing Down the House ,2,divorce|lawyer|spanking|villain arrested|wrongful conviction,http://www.imdb.com/title/tt0305669/?ref_=fn_tt_tt_1,PG-13,33000000,409,2.35
Jonathan Demme,185,Scott Glenn,130727000,Anthony Hopkins,The Silence of the Lambs ,0,case file|fbi agent|psycho thriller|psychopath|serial killer,http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1,R,19000000,826,1.85
Penelope Spheeris,61,Lara Flynn Boyle,121697350,Tia Carrere,Wayne's World ,2,basement|lead actor's first film|long hair|public access|title directed by female,http://www.imdb.com/title/tt0105793/?ref_=fn_tt_tt_1,PG-13,20000000,619,1.85
Jeff Tremaine,156,Steve-O,117224271,Bam Margera,Jackass 3D ,1,full frontal male nudity|man wearing a jock strap|man wearing a thong|rear male nudity|stripped prison uniform,http://www.imdb.com/title/tt1116184/?ref_=fn_tt_tt_1,R,20000000,362,1.78
Jeannot Szwarc,75,Murray Hamilton,102922376,Roy Scheider,Jaws 2 ,0,great white shark|island|mayor|police chief|shark,http://www.imdb.com/title/tt0077766/?ref_=fn_tt_tt_1,PG,20000000,366,2.35
Raja Gosnell,100,Nick Zano,94497271,Jamie Lee Curtis,Beverly Hills Chihuahua ,1,chihuahua|german shepherd|mexico|potted plant|tijuana mexico,http://www.imdb.com/title/tt1014775/?ref_=fn_tt_tt_1,PG,20000000,641,2.35
James Wan,511,Lili Taylor,137387272,Mackenzie Foy,The Conjuring ,0,based on true story|farmhouse|paranormal investigator|rhode island|supernatural power,http://www.imdb.com/title/tt1457767/?ref_=fn_tt_tt_1,R,20000000,960,2.35
Brian Levant,75,Tracy Morgan,82301521,Nia Long,Are We There Yet? ,2,car fire|children|cockroach|independent film|new year,http://www.imdb.com/title/tt0368578/?ref_=fn_tt_tt_1,PG,32000000,642,1.85
Ben Falcone,148,Mark Duplass,84518155,Gary Cole,Tammy ,0,alcoholic|grandmother|highway travel|niagara falls|on the road,http://www.imdb.com/title/tt2103254/?ref_=fn_tt_tt_1,R,20000000,830,1.85
D.J. Caruso,253,Aaron Yoo,80050171,Sarah Roemer,Disturbia ,0,binoculars|electronic tag|house arrest|neighbor|watching someone,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,PG-13,20000000,617,1.85
Richard Linklater,204,Sarah Silverman,81257845,Miranda Cosgrove,School of Rock ,1,battle of the bands|rock band|school teacher|substitute teacher|teacher,http://www.imdb.com/title/tt0332379/?ref_=fn_tt_tt_1,PG-13,35000000,931,1.85
Paul W.S. Anderson,72,Cary-Hiroyuki Tagawa,70360285,Christopher Lambert,Mortal Kombat ,0,based on video game|island|mortal kombat|tournament|warrior,http://www.imdb.com/title/tt0113855/?ref_=fn_tt_tt_1,PG-13,18000000,1000,1.85
Paul McGuigan,98,Christopher Cousins,12831121,Jessica Paré,Wicker Park ,0,flashback|flashback within a flashback|multiple perspectives|obsession|split screen,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,PG-13,30000000,93,2.35
Keenen Ivory Wayans,62,Jaime King,69148997,Busy Philipps,White Chicks ,4,african american|crossdresser|fbi|undercover|vomiting,http://www.imdb.com/title/tt0381707/?ref_=fn_tt_tt_1,PG-13,37000000,960,1.85
Alexander Payne,549,Nick Krause,82624961,Shailene Woodley,The Descendants ,0,boating accident|daughters|father daughter relationship|hospital|marriage,http://www.imdb.com/title/tt1033575/?ref_=fn_tt_tt_1,R,20000000,727,2.35
Andrew Davis,106,Zane Holtz,67325559,Tim Blake Nelson,Holes ,0,bad luck|camp|curse|digging|hole,http://www.imdb.com/title/tt0311289/?ref_=fn_tt_tt_1,PG,20000000,265,1.85
Julie Anne Robinson,123,Bobby Coleman,62933793,Kelly Preston,The Last Song ,1,beach|fire|love|pianist|summer,http://www.imdb.com/title/tt1294226/?ref_=fn_tt_tt_1,PG,20000000,360,2.35
Steve McQueen,597,Scoot McNairy,56667870,Quvenzhané Wallis,12 Years a Slave ,0,racism|separation from family|social injustice|torture|whipping,http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1,R,20000000,660,2.35
Charles Stone III,64,Nick Cannon,56398162,Leonard Roberts,Drumline ,0,drumline|drummer|fish out of water|marching band|university,http://www.imdb.com/title/tt0303933/?ref_=fn_tt_tt_1,PG-13,20000000,593,2.35
Tyler Perry,40,Cicely Tyson,60072596,Michael Jai White,Why Did I Get Married Too? ,8,question mark in title|returning character killed off|sequel|six word title|writer director,http://www.imdb.com/title/tt1391137/?ref_=fn_tt_tt_1,PG-13,20000000,907,1.85
Tim Burton,111,Dianne Wiest,56362352,Johnny Depp,Edward Scissorhands ,0,creation|inventor|magical realism|scissors|suburb,http://www.imdb.com/title/tt0099487/?ref_=fn_tt_tt_1,PG-13,20000000,967,1.85
Thea Sharrock,151,Emilia Clarke,56154094,Sam Claflin,Me Before You ,0,accident|caretaker|economic hardship|quadriplegic|wheelchair,http://www.imdb.com/title/tt2674426/?ref_=fn_tt_tt_1,PG-13,20000000,10000,2.35
Tyler Perry,31,Tom Arnold,65623128,John Amos,Madea's Witness Protection ,5,critically bashed|culture shock|interracial relationship|madea series|ponzi scheme,http://www.imdb.com/title/tt2215285/?ref_=fn_tt_tt_1,PG-13,20000000,618,1.85
William Friedkin,138,Fernando Rey,,Roy Scheider,The French Connection ,0,crime boss|drug smuggling|heroin|mafia boss|organized crime,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,R,1800000,165,1.85
Jon Lucas,81,Jay Hernandez,55461307,Mila Kunis,Bad Moms ,9,lesbian kiss|mom|pta|reference to mad max|scene during end credits,http://www.imdb.com/title/tt4651520/?ref_=fn_tt_tt_1,R,20000000,1000,
Aaron Seltzer,99,Carmen Electra,48546578,Alyson Hannigan,Date Movie ,0,female protagonist|greek|overweight|spoof|wedding planner,http://www.imdb.com/title/tt0466342/?ref_=fn_tt_tt_1,PG-13,20000000,869,1.85
Robin Budd,80,Rob Paulsen,48423368,Roger Rees,Return to Never Land ,1,1940s|gang that lives together|outlaw gang|rescue|sequel,http://www.imdb.com/title/tt0280030/?ref_=fn_tt_tt_1,G,20000000,677,1.66
Ava DuVernay,364,Tom Wilkinson,52066000,David Oyelowo,Selma ,0,civil rights|courage|protest|selma alabama|u.s. politics,http://www.imdb.com/title/tt1020072/?ref_=fn_tt_tt_1,PG-13,20000000,1000,2.35
Steve Trenbirth,85,Phil Collins,47887943,Haley Joel Osment,The Jungle Book 2 ,0,dog|jungle|shot gun|tiger|village,http://www.imdb.com/title/tt0283426/?ref_=fn_tt_tt_1,G,20000000,455,1.85
Stephen Kay,140,Skye McCole Bartusiak,46363118,Barry Watson,Boogeyman ,0,boogeyman|childhood|fear|hometown|uncle,http://www.imdb.com/title/tt0357507/?ref_=fn_tt_tt_1,PG-13,20000000,392,1.85
Mennan Yapo,184,Amber Valletta,47852604,Nia Long,Premonition ,0,car|car accident|housewife|sheriff|suburb,http://www.imdb.com/title/tt0477071/?ref_=fn_tt_tt_1,PG-13,20000000,626,2.35
Jun Falkenstein,89,John Fiedler,45542421,Kath Soucie,The Tigger Movie ,0,cartoon tiger|coming of age|tiger|tigger|title directed by female,http://www.imdb.com/title/tt0220099/?ref_=fn_tt_tt_1,G,30000000,253,1.78
Jaume Collet-Serra,265,CCH Pounder,41573740,Jimmy Bennett,Orphan ,1,alcoholism|girl|little girl|orphan|troubled marriage,http://www.imdb.com/title/tt1148204/?ref_=fn_tt_tt_1,R,,1000,1.85
Boaz Yakin,61,Joseph Julian Soria,42652003,Jay Hernandez,Max ,0,afghanistan|death of marine|dog|dog adoption|man dog relationship,http://www.imdb.com/title/tt3369806/?ref_=fn_tt_tt_1,PG,20000000,465,2.35
,3,David Mann,,Lamman Rucker,Meet the Browns             ,2,african american|character name in title|family relationships|sitcom,http://www.imdb.com/title/tt1319598/?ref_=fn_tt_tt_1,,,378,1.85
Jason Friedberg,112,Carmen Electra,39737645,David Carradine,Epic Movie ,11,chocolate|chocolate factory|factory|orphan|student,http://www.imdb.com/title/tt0799949/?ref_=fn_tt_tt_1,PG-13,20000000,869,1.85
John Milius,166,Mako,37567440,William Smith,Conan the Barbarian ,0,actual animal killed|cult|evil sorcerer|gladiator|warlord,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,R,20000000,691,2.35
Tom McCarthy,474,Jamey Sheridan,44988180,Billy Crudup,Spotlight ,2,cover up|investigation|journalist|newspaper|sexual abuse,http://www.imdb.com/title/tt1895587/?ref_=fn_tt_tt_1,R,20000000,168,1.85
Neil LaBute,165,Justin Chambers,39263506,Jay Hernandez,Lakeview Terrace ,1,interracial couple|lapd|male nudity|neighbor|nudity,http://www.imdb.com/title/tt0947802/?ref_=fn_tt_tt_1,PG-13,22000000,931,2.35
Takashi Shimizu,131,Sarah Roemer,39143839,Sarah Michelle Gellar,The Grudge 2 ,0,curse|ghost|haunted house|high school|schoolgirl,http://www.imdb.com/title/tt0433386/?ref_=fn_tt_tt_1,PG-13,20000000,884,1.85
Kevin Rodney Sullivan,29,James Pickens Jr.,37672350,Richard Lawson,How Stella Got Her Groove Back ,1,female protagonist|jamaica|six word title|tragic event|vacation,http://www.imdb.com/title/tt0120703/?ref_=fn_tt_tt_1,R,20000000,270,1.85
Peter Hewitt,43,George Carlin,38037513,Keanu Reeves,Bill & Ted's Bogus Journey ,2,battle of the bands|bill and ted|heaven|hell|robot,http://www.imdb.com/title/tt0101452/?ref_=fn_tt_tt_1,PG,20000000,769,1.85
Barry Levinson,111,Tina Fey,37442180,Robin Williams,Man of the Year ,1,campaign|election|president|presidential election|satire,http://www.imdb.com/title/tt0483726/?ref_=fn_tt_tt_1,PG-13,20000000,2000,2.35
Gary Nelson,90,Maximilian Schell,,Robert Forster,The Black Hole ,0,black hole|escape|palomino|robot|scientist,http://www.imdb.com/title/tt0078869/?ref_=fn_tt_tt_1,PG,20000000,877,2.35
Anton Corbijn,333,Thekla Reuten,35596227,Violante Placido,The American ,1,ambush|assassin|priest|prostitute|sweden,http://www.imdb.com/title/tt1440728/?ref_=fn_tt_tt_1,R,20000000,191,2.35
Gregory Nava,37,Constance Marie,35422828,Jon Seda,Selena ,1,latin music|marriage|on tour|singer|tejano,http://www.imdb.com/title/tt0120094/?ref_=fn_tt_tt_1,PG,20000000,441,2.35
Jason Friedberg,122,Dave Foley,36658108,Diedrich Bader,Vampires Suck ,7,cat|friend|love|sheriff|teenager,http://www.imdb.com/title/tt1666186/?ref_=fn_tt_tt_1,PG-13,20000000,401,1.85
Alejandro G. Iñárritu,285,Harriet Walter,34300771,Brad Pitt,Babel ,3,american|destiny|mexican border|multiple perspectives|muslim,http://www.imdb.com/title/tt0449467/?ref_=fn_tt_tt_1,R,25000000,119,1.85
Shawn Levy,156,Abigail Spencer,34290142,Tina Fey,This Is Where I Leave You ,8,brother sister relationship|childhood home|man child|sibling|vomiting,http://www.imdb.com/title/tt1371150/?ref_=fn_tt_tt_1,R,19800000,1000,2.35
John Patrick Shanley,293,Meryl Streep,33422556,Philip Seymour Hoffman,Doubt ,0,boy|catholic|nun|priest|student,http://www.imdb.com/title/tt0918927/?ref_=fn_tt_tt_1,PG-13,20000000,11000,1.85
Trey Parker,233,Maurice LaMarche,32774834,Jeremy Shada,Team America: World Police ,5,actor|arab stereotype|broadway|terrorist|vomiting,http://www.imdb.com/title/tt0372588/?ref_=fn_tt_tt_1,R,30000000,523,2.35
John Luessenhop,282,Keram Malicki-Sánchez,34334256,Gunnar Hansen,Texas Chainsaw 3D ,0,chainsaw|halloween|mansion|massacre|texas,http://www.imdb.com/title/tt1572315/?ref_=fn_tt_tt_1,R,11000000,333,2.35
Jon Amiel,57,Holly Hunter,32051917,William McNamara,Copycat ,0,agoraphobia|copycat murder|detective|psychologist|serial killer,http://www.imdb.com/title/tt0112722/?ref_=fn_tt_tt_1,R,20000000,1000,2.35
