director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,content_rating,budget,actor_2_facebook_likes,imdb_score
Uwe Boll,140,156,892,102,Mike Dopud,Action|Adventure|Fantasy|Thriller,26564,3,368,PG-13,60000000,368,3.8
Martin Campbell,54,127,258,617,Teri Polo,Adventure|Drama|Romance|War,12947,2,156,R,35000000,708,6.5
Pou-Soi Cheang,14,119,3,22,Aaron Kwok,Action|Adventure|Fantasy,1026,1,9,,68005000,107,6.0
John Dahl,81,132,131,242,Clayne Crawford,Action|Drama|War,12133,0,183,R,80000000,298,6.7
Tim Miller,579,108,84,361,Ed Skrein,Action|Adventure|Comedy|Romance|Sci-Fi,18239,0,1058,R,58000000,805,8.1
Stephen Herek,56,114,65,440,Morgan Fairchild,Comedy|Drama,2367,1,88,PG,60000000,730,4.9
Clint Eastwood,490,133,16000,318,Leonard Roberts,Action|Biography|Drama|History|Thriller|War,16277,0,916,R,58800000,962,7.3
Rob Letterman,218,103,11,543,Dylan Minnette,Adventure|Comedy|Family|Fantasy|Horror,5497,4,154,PG,58000000,1000,6.4
,20,22,,271,Soleil Moon Frye,Comedy|Family|Fantasy,2433,1,94,TV-G,3000000,558,6.6
Mark Waters,142,95,70,512,Ivana Milicevic,Comedy|Fantasy|Romance,2876,1,263,PG-13,58000000,834,6.7
Brian Levant,57,90,32,809,Mark Addy,Comedy|Family|Romance|Sci-Fi,6299,0,85,PG,60000000,891,3.6
Peter MacDonald,84,87,10,349,Kurtwood Smith,Action|Adventure|Thriller|War,14574,1,171,R,63000000,1000,5.7
George Clooney,186,114,0,110,Malcolm Goodwin,Comedy|Drama|Romance|Sport,589,8,120,PG-13,58000000,117,6.0
Frank Coraci,53,119,153,11000,Adam Sandler,Comedy|Western,36167,4,143,TV-14,,11000,4.9
Marc Lawrence,133,103,30,727,Kim Shaw,Comedy|Drama|Romance,3150,2,121,PG-13,58000000,935,4.7
Shawn Levy,246,125,189,839,Jessica Szohr,Comedy,5081,2,281,PG-13,58000000,847,6.3
Paul W.S. Anderson,253,97,545,529,Boris Kodjoe,Action|Adventure|Horror|Sci-Fi,16098,1,410,R,60000000,1000,5.9
Anthony Hemingway,144,125,143,519,Nate Parker,Action|Adventure|Drama|History|War,4416,0,273,PG-13,58000000,664,5.9
,46,30,,479,Kristin Davis,Comedy|Romance,2558,0,238,TV-MA,,722,7.0
Taylor Hackford,117,136,138,9000,Al Pacino,Drama|Mystery|Thriller,45271,2,431,R,57000000,14000,7.5
Sean Anders,157,116,51,622,Leighton Meester,Comedy,16484,2,198,R,70000000,3000,5.6
Rob Cohen,60,103,357,40,Brian Thompson,Action|Adventure|Fantasy,2710,0,139,PG-13,57000000,663,6.4
Brett Ratner,117,97,420,455,Don Cheadle,Action|Comedy|Crime|Drama,9814,2,147,PG-13,58000000,3000,6.3
Mark Neveldine,287,96,83,1000,Spencer Wilding,Action|Fantasy|Thriller,16121,1,331,PG-13,57000000,1000,4.3
John Madden,96,131,108,58,Irene Papas,Drama|Music|Romance|War,23325,2,220,R,57000000,243,5.9
,26,22,,676,Noureen DeWulf,Comedy|Romance,4115,1,54,,,701,6.7
Adam Shankman,125,95,163,650,Brad Garrett,Action|Comedy|Drama|Family|Thriller,16884,0,225,PG,56000000,799,5.5
Kevin Bray,117,86,10,348,Ashley Scott,Action|Crime,14146,1,221,PG-13,56000000,795,6.2
Robert Zemeckis,149,142,0,194,Siobhan Fallon Hogan,Comedy|Drama,15700,0,1398,PG-13,55000000,294,8.8
Tim Hill,131,92,25,639,Beth Riesgraf,Animation|Comedy|Family|Fantasy|Music,2847,0,146,PG,60000000,718,5.2
Jay Roach,150,108,116,708,Blythe Danner,Comedy,24286,2,507,PG-13,55000000,713,7.0
Mike Gabriel,92,84,12,752,Frank Welker,Adventure|Animation|Drama|Family|History|Musical|Romance,26754,1,216,G,55000000,2000,6.6
Richard Donner,169,188,503,467,Margot Kidder,Action|Adventure|Drama|Romance|Sci-Fi,12940,0,497,PG,55000000,593,7.3
Tom Shadyac,57,95,293,744,James Coburn,Comedy|Romance|Sci-Fi,3155,1,99,PG-13,54000000,773,5.6
Andy Tennant,171,118,72,681,Michael Rapaport,Comedy|Romance,13426,1,372,PG-13,70000000,975,6.6
Sam Weisman,53,92,39,458,Abraham Benrubi,Action|Adventure|Comedy|Family|Romance,4518,0,103,PG,55000000,562,5.4
Jesse Dylan,153,74,58,729,Thomas Ian Nicholas,Comedy|Romance,5713,3,332,R,55000000,864,6.3
Paul Greengrass,491,134,521,186,Chris Mulkey,Biography|Drama|Thriller,16281,0,527,PG-13,55000000,535,7.9
Shawn Levy,247,101,189,7000,James Franco,Comedy|Crime|Romance|Thriller,39822,2,207,PG-13,55000000,11000,6.3
Brad Silberling,26,100,52,394,Fred Rogers,Comedy|Family|Fantasy,2638,0,92,PG,50000000,419,6.0
Antoine Fuqua,292,132,845,683,Chloë Grace Moretz,Action|Crime|Thriller,37605,0,436,R,55000000,17000,7.2
Wayne Wang,114,105,61,708,Frances Conroy,Comedy|Drama|Romance,7184,2,242,PG-13,55000000,827,5.1
Tony Scott,82,123,12000,665,Viggo Mortensen,Action|Drama|Thriller|War,30132,0,194,R,53000000,10000,7.3
Gabriele Muccino,201,117,125,168,Kurt Fuller,Biography|Drama,11036,0,611,PG-13,55000000,617,8.0
Robert Schwentke,231,98,124,354,Michael Irby,Drama|Mystery|Thriller,2287,1,600,PG-13,55000000,507,6.2
Barry Levinson,55,128,272,383,Dylan Baker,Drama|Thriller,3888,0,95,R,55000000,812,6.0
Brad Silberling,110,114,52,539,Andre Braugher,Drama|Fantasy|Romance,13905,1,322,PG-13,55000000,702,6.7
Quentin Tarantino,354,111,16000,640,Vivica A. Fox,Action,3983,0,2105,R,30000000,890,8.1
Frank Oz,140,85,0,490,Adam Alexi-Malle,Comedy,22458,2,358,PG-13,55000000,860,6.4
,77,44,,72,Don S. Davis,Action|Adventure|Drama|Sci-Fi,1359,4,181,TV-14,1400000,440,8.4
Quentin Tarantino,304,137,16000,348,Michael Parks,Action|Crime|Drama|Thriller,1959,0,935,R,30000000,387,8.0
Andrey Konchalovskiy,45,97,96,403,Jack Palance,Action|Comedy|Crime|Thriller,14432,1,149,R,55000000,549,6.3
Robert Zemeckis,49,104,0,812,Meryl Streep,Comedy|Fantasy|Horror,25599,3,173,PG-13,55000000,11000,6.4
Tom Dey,146,110,9,95,Jason Connery,Action|Adventure|Comedy|Western,939,2,293,PG-13,55000000,110,6.6
Stuart Baird,60,133,53,263,Joe Morton,Action|Adventure|Thriller,2916,0,144,R,55000000,780,6.4
Mark Waters,189,94,70,497,Ophelia Lovibond,Comedy|Family|Fantasy,2820,1,108,PG,55000000,549,6.0
Rob Minkoff,206,104,50,947,Thomas McDonell,Action|Adventure|Fantasy,7247,0,279,PG-13,55000000,962,6.6
Jimmy Hayward,118,91,39,562,Carlos Ponce,Adventure|Animation|Comedy|Family,3104,1,73,PG,55000000,591,5.9
David Fincher,210,145,21000,243,Holt McCallany,Action|Horror|Sci-Fi,1543,0,776,R,50000000,273,6.4
Alan Parker,76,135,317,34,Jimmy Nail,Biography|Drama|History|Musical,164,1,194,PG,55000000,40,6.3
John Frankenheimer,149,122,287,135,Natascha McElhone,Action|Adventure|Crime|Thriller,24270,2,572,R,55000000,2000,7.3
Stephen Hopkins,62,110,81,163,Bernard Hill,Adventure|Drama|Horror|Thriller,1752,0,155,R,55000000,416,6.8
Paul King,224,95,17,594,Matt Lucas,Animation|Comedy|Family|Fantasy,3697,0,174,PG,55000000,722,7.2
Akiva Schaffer,265,102,82,537,Nicholas Braun,Action|Comedy|Sci-Fi,2488,4,207,R,68000000,591,5.7
William Friedkin,135,94,607,215,Jenna Boyd,Action|Crime|Drama|Thriller,2248,1,321,R,55000000,518,6.0
Jon Turteltaub,100,126,226,241,Maura Tierney,Drama|Thriller,13406,1,232,R,55000000,509,6.5
Bobby Farrelly,123,118,101,327,Terence Bernie Hines,Comedy,14036,2,154,PG-13,55000000,390,5.8
Kent Alterman,164,99,3,490,Maura Tierney,Comedy|Sport,10026,3,119,R,55000000,509,5.8
Peter Lord,238,88,91,591,Russell Tovey,Adventure|Animation|Comedy|Family,6254,0,101,PG,55000000,796,6.7
Clint Eastwood,264,141,16000,539,Michael Kelly,Crime|Drama|Mystery|Thriller,12840,0,387,R,55000000,963,7.8
Andrew Davis,47,107,99,581,Morgan Freeman,Action|Drama|Sci-Fi|Thriller,31014,1,95,PG-13,50000000,11000,5.6
Tony Scott,50,116,12000,552,Kurt Fuller,Action|Drama|Sport|Thriller,24618,3,89,R,55000000,617,5.8
Joel Schumacher,153,143,541,530,Minnie Driver,Drama|Musical|Romance|Thriller,20660,0,2047,PG-13,70000000,893,7.4
Shekhar Kapur,202,114,159,877,Abbie Cornish,Biography|Drama|History|War,16899,1,216,PG-13,55000000,2000,6.9
Karyn Kusama,178,93,45,352,Sophie Okonedo,Action|Sci-Fi,10185,0,532,PG-13,62000000,460,5.5
Ron Maxwell,84,280,33,67,Bruce Boxleitner,Drama|History|War,1671,0,497,PG-13,56000000,640,6.3
Robert Butler,44,100,0,745,Lauren Holly,Action|Thriller,3952,0,84,R,71000000,879,4.7
Karey Kirkpatrick,93,107,11,506,Ronny Cox,Comedy|Drama|Family|Fantasy,3742,2,39,PG,55000000,605,5.6
James Bobin,277,119,33,518,Tina Fey,Adventure|Comedy|Crime|Family|Musical,6089,4,110,PG,50000000,2000,6.4
Jonathan Frakes,76,95,906,287,Philip Winchester,Action|Adventure|Comedy|Family|Sci-Fi,2260,0,229,PG,57000000,579,4.2
Steve Antin,197,119,59,676,Peter Gallagher,Drama|Music|Musical|Romance,4315,1,222,PG-13,55000000,828,6.4
Jean-Pierre Jeunet,186,133,0,46,André Dussollier,Drama|Mystery|Romance|War,405,1,239,R,47000000,52,7.7
Stanley Kubrick,103,152,0,177,Shelley Winters,Crime|Drama|Romance,1403,0,207,Not Rated,2000000,367,7.7
Jim Gillespie,66,96,13,534,Tom Berenger,Crime|Horror|Mystery|Thriller,15803,1,142,R,55000000,854,5.3
Guillermo del Toro,224,117,0,845,Thomas Kretschmann,Action|Horror|Sci-Fi|Thriller,15371,1,559,R,54000000,919,6.7
Gabriele Muccino,202,123,125,835,Rosario Dawson,Drama|Romance,14727,1,599,PG-13,55000000,3000,7.7
Walter Hill,279,92,394,565,Jason Momoa,Action|Thriller,25418,3,131,R,55000000,11000,5.7
Francis Ford Coppola,110,170,0,889,Joe Mantegna,Crime|Drama,16949,1,545,R,54000000,1000,7.6
Cameron Crowe,190,123,488,2000,Kirsten Dunst,Comedy|Drama|Romance,12700,0,495,PG-13,57000000,4000,6.4
Anthony Russo,136,110,94,240,Billy Gardell,Comedy|Romance,847,1,195,PG-13,54000000,245,5.6
Richard Lester,121,116,44,420,Ned Beatty,Action|Adventure|Romance|Sci-Fi,2908,4,269,PG,54000000,467,6.8
Martin Brest,131,121,102,43,Lenny Venito,Comedy|Crime|Romance,286,0,418,R,54000000,62,2.4
Steven Zaillian,127,128,234,581,Anthony Hopkins,Drama|Thriller,27614,0,178,PG-13,55000000,12000,6.2
John Singleton,160,99,309,577,Vanessa Williams,Action|Crime|Thriller,26527,0,301,R,46000000,1000,5.9
Don Bluth,78,94,383,753,Kelsey Grammer,Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,6017,1,191,G,50000000,808,7.1
Baz Luhrmann,209,127,1000,653,Kylie Minogue,Drama|Musical|Romance,2601,1,2319,PG-13,52500000,691,7.6
Harold Becker,98,89,17,303,Teri Polo,Crime|Mystery|Thriller,13390,1,190,PG-13,53000000,708,5.5
Scott Cooper,391,123,108,3000,Benedict Cumberbatch,Biography|Crime|Drama,63769,7,289,R,53000000,19000,7.0
Clint Eastwood,279,135,16000,310,Chris Bauer,Drama|History|War,24468,0,415,R,90000000,638,7.1
F. Gary Gray,216,118,473,963,Leslie Bibb,Crime|Drama|Thriller,22517,0,429,R,50000000,1000,7.4
Robert Rodriguez,250,189,0,1000,Rosario Dawson,Action|Horror|Thriller,22186,0,532,R,53000000,3000,7.6
Jonathan Demme,78,172,438,466,Kimberly Elise,Drama|History|Horror,2397,1,207,R,55000000,637,5.9
Curtis Hanson,106,124,161,681,Robert Duvall,Drama|Romance|Sport,26334,1,63,PG-13,55000000,3000,5.9
Steven Spielberg,194,141,14000,3000,Tom Hanks,Biography|Crime|Drama,48153,0,667,PG-13,52000000,15000,8.0
Kathryn Bigelow,558,157,0,304,Harold Perrineau,Drama|History|Thriller,2759,0,640,R,40000000,1000,7.4
Peyton Reed,183,106,235,931,John Michael Higgins,Comedy|Drama|Romance,8315,1,483,PG-13,52000000,957,5.8
Phyllida Lloyd,238,108,58,838,Meryl Streep,Comedy|Family|Musical|Romance,26002,1,611,PG-13,52000000,11000,6.3
Garry Marshall,186,125,0,11000,Taylor Lautner,Comedy|Romance,45696,12,211,PG-13,52000000,12000,5.7
Jay Chandrasekhar,144,107,422,379,Jessica Simpson,Action|Adventure|Comedy,2297,5,612,PG-13,50000000,534,5.1
Terrence Malick,156,215,0,463,Miranda Otto,Drama|War,1937,0,1448,R,52000000,568,7.6
David Dobkin,215,118,71,634,Olivia Wilde,Comedy|Fantasy,28045,2,149,R,52000000,10000,6.4
Milos Forman,140,118,869,21,Gerry Becker,Biography|Comedy|Drama,209,1,549,R,52000000,27,7.4
Martin Scorsese,133,178,17000,574,Don Rickles,Biography|Crime|Drama,24183,2,533,R,52000000,721,8.2
Pierre Morel,203,92,180,75,Amber Rose Revah,Action|Thriller,488,1,211,R,52000000,135,6.5
Paul Hunter,127,104,13,343,Mako,Action|Comedy|Fantasy,2422,3,180,PG-13,52000000,691,5.5
Bobby Farrelly,155,116,101,79,Tony Cox,Comedy,1711,1,481,R,51000000,624,6.5
Steve Oedekerk,98,90,176,523,Wanda Sykes,Animation|Comedy|Family,2055,1,155,PG,51000000,560,5.6
John Whitesell,71,93,14,728,Jorge Garcia,Comedy|Family,5468,0,110,PG,,1000,4.9
Chris Weitz,299,130,129,12000,Kristen Stewart,Adventure|Drama|Fantasy|Romance,64040,2,919,PG-13,50000000,17000,4.6
Andrew Adamson,212,90,80,21,Chris Miller,Adventure|Animation|Comedy|Family|Fantasy,275,1,945,PG,60000000,50,7.9
George Nolfi,413,106,53,593,Michael Kelly,Romance|Sci-Fi|Thriller,14607,2,407,PG-13,50200000,963,7.1
Kevin Reynolds,67,155,58,720,Morgan Freeman,Action|Adventure|Drama|Romance,38518,0,322,PG-13,48000000,11000,6.9
Cameron Crowe,109,139,488,597,Kelly Preston,Comedy|Drama|Romance|Sport,12182,0,318,R,50000000,743,7.3
Seth MacFarlane,457,112,3000,1000,Seth MacFarlane,Comedy|Fantasy,21773,1,623,R,50000000,3000,7.0
James L. Brooks,156,139,274,285,Yeardley Smith,Comedy|Drama|Romance,1474,0,470,PG-13,50000000,440,7.7
Tom Shadyac,55,115,293,878,Philip Seymour Hoffman,Biography|Comedy|Drama|Romance,74382,1,375,PG-13,50000000,22000,6.7
Adam McKay,272,143,285,7000,Will Ferrell,Comedy,28176,2,346,PG-13,50000000,8000,6.3
Steven Brill,117,96,65,828,Adam Sandler,Comedy|Romance,26826,1,309,PG-13,50000000,11000,5.8
J.J. Abrams,539,112,14000,417,AJ Michalka,Mystery|Sci-Fi|Thriller,3388,0,849,PG-13,50000000,560,7.1
Steven Soderbergh,169,131,0,658,Albert Finney,Biography|Drama,10003,0,498,R,52000000,883,7.3
Donald Petrie,140,116,80,651,Adam Goldberg,Comedy|Romance,14087,2,357,PG-13,50000000,1000,6.4
Phil Lord,330,112,97,584,Craig Roberts,Action|Comedy|Crime,19428,2,322,R,50000000,920,7.1
Neil Jordan,120,123,277,4000,Tom Cruise,Drama|Fantasy|Horror,25697,0,406,R,60000000,10000,7.6
Peyton Reed,190,104,235,1000,Zooey Deschanel,Comedy|Romance,29505,1,243,PG-13,70000000,11000,6.8
Rawson Marshall Thurber,177,107,43,569,Thomas Kretschmann,Action|Comedy|Crime,14569,2,110,PG-13,50000000,919,6.6
Chris Columbus,65,124,0,701,Liam Aiken,Comedy|Drama,9988,2,252,PG-13,50000000,818,6.7
Sean Anders,145,96,51,322,Linda Cardellini,Comedy|Family,10886,2,130,PG-13,50000000,2000,6.1
Rob Marshall,321,125,252,10000,Meryl Streep,Adventure|Comedy|Drama|Fantasy|Musical,62837,1,779,PG,50000000,11000,6.0
Spike Lee,230,129,0,277,James Ransone,Crime|Drama|Mystery|Thriller,19148,2,646,R,45000000,412,7.6
Brian Helgeland,143,90,241,416,Deborah Kara Unger,Action|Crime|Drama|Thriller,3148,1,394,R,50000000,495,7.1
