director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,content_rating,title_year,imdb_score
Michael Rymer,28,95,48,Omar Epps,1000,Crime|Drama|Thriller,LL Cool J,In Too Deep ,4837,1,cunnilingus|oral sex|police|sex scene|undercover,29,USA,R,1999,6.1
Sam Mendes,750,143,0,Helen McCrory,883,Action|Adventure|Thriller,Albert Finney,Skyfall ,2039,0,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,1498,UK,PG-13,2012,7.8
Rob Zombie,202,105,0,Matthew McGrory,1000,Horror,Sid Haig,House of 1000 Corpses ,2444,0,actor playing multiple roles|axe|dark comedy|masked man|sadism,922,USA,R,2003,6.0
Sharron Miller,8,79,0,Elizabeth MacRae,246,Horror,Bernard Fox,Alien Zone ,345,0,affair|child murderer|mortician|strangulation|supernatural power,21,USA,PG,1978,4.1
Ethan Coen,341,106,1000,Fred Melamed,816,Comedy|Drama,Michael Stuhlbarg,A Serious Man ,1120,1,bar mitzvah|jewish|marital breakup|nose job|rabbi,324,USA,R,2009,7.0
Aaron Schneider,160,100,11,Robert Duvall,13000,Drama|Mystery,Bill Murray,Get Low ,19330,1,funeral|funeral home|hermit|party|secret,97,USA,PG-13,2009,7.1
Steve Miner,31,103,49,Richard E. Grant,687,Action|Fantasy|Horror|Thriller,Julian Sands,Warlock ,1990,0,17th century|book|death|warlock|witch hunter,79,USA,R,1989,6.2
Gina Prince-Bythewood,71,116,107,Nate Parker,893,Drama|Music,Minnie Driver,Beyond the Lights ,3110,1,domestic abuse|public humiliation|sex symbol|singer|suicide attempt,37,USA,PG-13,2014,6.9
Tom Ford,281,99,192,Teddy Sears,14000,Drama|Romance,Colin Firth,A Single Man ,14816,2,car accident|male full back nudity|practicing a suicide|public nudity|suicide contemplation,247,USA,R,2009,7.6
Martin Scorsese,114,164,17000,Barbara Hershey,883,Drama,Irvin Kershner,The Last Temptation of Christ ,1934,0,carpenter|exorcism|faith|reference to jesus christ|temptation,308,USA,R,1988,7.6
Michael Corrente,72,96,30,George Wendt,761,Comedy|Drama|Romance,Jonathan Brandis,Outside Providence ,2018,3,class|cornwall connecticut|dog|friend|pawtucket rhode island,100,USA,R,1999,6.4
Gurinder Chadha,119,122,98,Martin Henderson,729,Comedy|Drama|Musical|Romance,Indira Varma,Bride & Prejudice ,2321,1,bollywood|india|jane austen|london england|travel,276,UK,PG-13,2004,6.2
Phillip Noyce,74,94,176,David Gulpilil,116,Adventure|Biography|Drama|History,Roy Billing,Rabbit-Proof Fence ,312,1,aborigine|based on true story|colonialism|fence|half caste,249,Australia,PG,2002,7.5
Don Michael Paul,25,93,70,Faizon Love,692,Comedy|Sport,Jeffrey Jones,Who's Your Caddy? ,3128,0,2000s|golf caddy|golf course|golfer|question mark in title,46,USA,PG-13,2007,2.0
Tony Maylam,39,96,6,Alun Armstrong,206,Action|Crime|Horror|Sci-Fi|Thriller,Michael J. Pollard,Split Second ,493,0,appearing from water|breasts|creature|partner|water,75,UK,R,1992,6.2
,27,60,,Xander Berkeley,787,Action|Crime|Drama|Thriller,Melinda Clarke,Nikita             ,2352,1,assassin|death|female protagonist|rogue|training,83,USA,,,7.7
Mitch Davis,27,113,7,Nathaniel Lees,11000,Adventure|Biography|Drama,Anne Hathaway,The Other Side of Heaven ,11116,2,1950s|idaho|love|missionary|mormon,85,USA,PG,2001,6.5
,11,60,,Ashley Scott,10000,Action|Drama|Mystery|Sci-Fi,Jensen Ackles,Dark Angel             ,12051,1,cat burglar|female lead|future|mixed martial arts|post apocalypse,160,USA,TV-14,,7.4
Yash Chopra,29,192,147,Preity Zinta,8000,Drama|Musical|Romance,Shah Rukh Khan,Veer-Zaara ,9984,0,fair|pakistan|prison|rescue|stranded,119,India,,2004,7.9
David Mamet,158,99,342,Randy Couture,1000,Drama|Sport,Alice Braga,Redbelt ,2158,0,bar|debt|fight|instructor|jujitsu,119,USA,R,2008,6.8
Jay Duplass,223,91,157,Tim Guinee,490,Comedy|Drama|Romance,Matt Walsh,Cyrus ,1136,2,21 year old|forename as title|musician|party|rearview mirror,126,USA,R,2010,6.3
Kevin Brodie,25,100,0,Cheryl Ladd,655,Drama|Family,Bruce McGill,A Dog of Flanders ,1906,0,artist|box office flop|dog|drawing|flanders,20,USA,PG,1999,6.3
Paul Schrader,97,105,261,Michael McKean,783,Biography|Crime|Drama,Ed Begley Jr.,Auto Focus ,2684,3,friendship|photography|radio|sex addict|video,147,USA,R,2002,6.6
George Hickenlooper,117,99,60,Jimmy Fallon,4000,Biography|Drama,Hayden Christensen,Factory Girl ,6526,0,andy warhol|female nudity|public nudity|singer|socialite,106,USA,R,2006,6.4
Lynne Ramsay,389,112,159,Siobhan Fallon Hogan,3000,Drama|Thriller,Ezra Miller,We Need to Talk About Kevin ,3547,0,archery|defiance|mental illness|psychopath|toilet training,301,UK,R,2011,7.5
John Stephenson,9,100,0,Hans Matheson,2000,Drama|Family,Samantha Barks,The Christmas Candle ,2909,0,angel|candle|christmas|miracle|village,34,UK,PG,2013,5.8
Tim Chambers,34,99,2,Marley Shelton,1000,Drama|Sport,Ellen Burstyn,The Mighty Macs ,2589,2,basketball|catholic|coach|college|nun,12,USA,G,2009,6.5
Curtis Hanson,7,100,161,Shelley Long,10000,Comedy|Drama|Family,Tom Cruise,Losin' It ,11059,0,apostrophe in title|bare breasts|friendship between men|teen sex comedy|two word title,16,Canada,R,1983,4.8
Rodrigo García,161,125,127,Jimmy Smits,6000,Drama|Romance,Naomi Watts,Mother and Child ,8876,6,adoption|baby|girl|lawyer|sex,65,USA,R,2009,7.2
Dick Richards,6,107,6,Terence Hill,963,Adventure|Drama|Romance|War,Catherine Deneuve,March or Die ,2209,1,arab|bare chested male|foreign legion|french foreign legion|morocco,26,UK,PG,1977,6.3
Jean-Marie Poiré,16,107,8,Isabelle Nanty,106,Comedy|Fantasy|Sci-Fi,Christian Clavier,Les visiteurs ,215,1,distant past|future time travel|nobleman|squire|trapped in the past,78,France,R,1993,7.0
Sofia Coppola,301,97,0,Chris Pontius,227,Comedy|Drama,Nathalie Fay,Somewhere ,684,0,actor|boredom|luxury hotel|party|trip,198,USA,R,2010,6.3
Bob Gosse,52,105,10,Susie Abromeit,756,Comedy,Geoff Stults,I Hope They Serve Beer in Hell ,1417,1,bachelor party|bare butt|loud sex|sex standing up|topless female nudity,72,USA,R,2009,5.3
Alex Zamm,12,95,43,Raquel Welch,1000,Comedy,Taylor Negron,Chairman of the Board ,5213,1,box office flop|company|invention|roommate|surfer,62,USA,PG-13,1998,2.3
Spencer Susser,134,106,58,Natalie Portman,23000,Drama,Joseph Gordon-Levitt,Hesher ,44969,0,bully|car|car accident|fire|vomiting,99,USA,R,2010,7.1
Richard Shepard,151,93,47,Mark Wingett,554,Comedy|Crime|Drama,Richard E. Grant,Dom Hemingway ,1105,2,male frontal nudity|male nudity|male rear nudity|nudity|sex scene,66,UK,R,2013,6.2
Gus Van Sant,103,103,835,Casey Affleck,13000,Adventure|Drama|Mystery,Matt Damon,Gerry ,13000,0,desert|friend|friendship|minimal dialogue|water,290,USA,R,2002,6.2
Thaddeus O'Sullivan,39,96,5,Luke Newberry,766,Drama|Romance,Olivia Williams,The Heart of Me ,1251,3,1930s|car accident|hospital|marital rape|painter,25,UK,R,2002,6.7
Peter Sollett,133,103,6,Josh Charles,7000,Biography|Drama|Romance,Steve Carell,Freeheld ,9660,0,cancer|gay bar|lesbian kiss|partner|public hearing,25,USA,PG-13,2015,6.5
Shari Springer Berman,104,108,30,Marian Seldes,474,Comedy,Lynn Cohen,The Extra Man ,2029,4,co worker|escort|magazine|teacher|writer,29,USA,R,2010,5.9
Aleksey German,121,177,23,Yuriy Tsurilo,4,Drama|Sci-Fi,Leonid Yarmolnik,Hard to Be a God ,8,0,fictional war|hanging|male full frontal nudity|medieval times|nudity,28,Russia,Not Rated,2013,6.7
Stephen Milburn Anderson,27,118,0,Mike Starr,26000,Comedy|Crime|Thriller,Chris Hemsworth,Ca$h ,27756,2,cash|financial problem|heist|land rover|mortgage,38,USA,R,2010,6.0
Richard E. Grant,49,97,554,Julie Walters,876,Drama,Emily Watson,Wah-Wah ,2544,3,alcoholic|alcoholic father|stepmother|swaziland|unfaithful wife,50,UK,R,2005,6.9
Troy Duffy,100,102,78,David Della Rocco,12000,Action|Crime|Thriller,Norman Reedus,The Boondock Saints ,12680,2,fbi|fbi agent|friend|irish|mafia,876,Canada,R,1999,7.9
David Lam,12,92,4,Louis Koo,91,Action|Crime,Michael Wong,Z Storm ,198,1,,1,Hong Kong,,2014,5.3
Francis Ford Coppola,112,88,0,Bruce Dern,1000,Comedy|Fantasy|Horror|Mystery,Alden Ehrenreich,Twixt ,3150,0,ghost|hotel|murder|stake|what happened to epilogue,70,USA,R,2011,4.8
Vladlen Barbe,10,80,0,Wendee Lee,99,Adventure|Animation|Family,Erin Fitzgerald,Snow Queen ,218,1,3d,9,Russia,PG,2012,5.3
Richard Rich,2,45,24,Kate Higgins,122,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,Debi Derryberry,Alpha and Omega 4: The Legend of the Saw Toothed Cave ,236,0,blindness|cave|spirit|wolf|wolf cub,6,USA,,2014,6.0
Clint Eastwood,38,115,16000,Chris Penn,16000,Western,Clint Eastwood,Pale Rider ,17209,0,gold|miner|preacher|prospector|sheriff,138,USA,R,1985,7.3
Robert C. Cooper,18,97,49,Christopher Judge,878,Action|Adventure|Drama|Fantasy|Sci-Fi,Ben Browder,Stargate: The Ark of Truth ,4334,5,2000s|evil god|space opera|stargate|wormhole,42,USA,,2008,7.4
Richard Linklater,152,102,0,Adam Goldberg,14000,Comedy,Milla Jovovich,Dazed and Confused ,18643,1,football|hazing|high school|last day of school|pledge,408,USA,R,1993,7.7
Kenny Ortega,44,111,197,Corbin Bleu,755,Comedy|Drama|Family|Music|Musical|Romance,Lucas Grabeel,High School Musical 2 ,3009,5,2000s|basketball|country club|lifeguard|talent show,162,USA,TV-G,2007,4.8
Kim Nguyen,6,96,16,Justin Edward Seale,149,Drama|Romance,Gordon Pinsent,Two Lovers and a Bear ,414,0,,6,Canada,,2016,7.2
Jackie Earle Haley,46,94,0,Edi Gathegi,15000,Crime|Drama|Thriller,Rex Baker,Criminal Activities ,17377,3,african american gangster|falling to death|in over one's head|murder|surveillance,38,USA,,2015,5.8
Max Färberböck,63,125,4,Johanna Wokalek,177,Biography|Drama|Romance|War,Heike Makatsch,Aimee & Jaguar ,333,1,lesbian mother|lesbian parent|lesbian relationship|lesbian romance|lesbianism,51,Germany,,1999,7.3
Arie Posin,74,108,3,John Heard,710,Comedy|Drama,Rory Culkin,The Chumscrubber ,2119,1,chumscrubber|death|friend|pills|school,129,USA,R,2005,7.0
Damian Nieman,25,101,0,Jason Cerbone,240,Crime|Thriller,Glenn Plummer,Shade ,490,8,bar|strip club|stripper|texas hold 'em|thong,65,USA,R,2003,6.4
Mark Tonderai,224,101,13,Nolan Gerard Funk,34000,Drama|Horror|Thriller,Jennifer Lawrence,House at the End of the Street ,35717,1,brother sister relationship|death of sister|female protagonist|mother daughter relationship|murder,160,Canada,PG-13,2012,5.6
Denis Villeneuve,226,139,777,Mélissa Désormeaux-Poulin,131,Drama|Mystery|War,Lubna Azabal,Incendies ,343,0,brother sister relationship|family relationships|middle east|mother son relationship|twin brother and sister,156,Canada,R,2010,8.2
Gabriele Muccino,36,125,125,Silvio Muccino,60,Comedy|Drama|Romance,Laura Morante,"Remember Me, My Love ",132,1,box office hit|dancer|sex scene|television|underage sex,21,Italy,R,2003,6.5
Ian Fitzgibbon,54,88,11,Brendan Coyle,1000,Action|Comedy|Crime|Drama|Romance|Thriller,Jim Broadbent,Perrier's Bounty ,2728,8,burglary|estranged father|money|neighbor|thug,31,Ireland,R,2009,6.4
José Padilha,142,115,294,Fernanda Machado,585,Action|Crime|Drama|Thriller,Wagner Moura,Elite Squad ,666,1,brazil|military police|police|rio de janeiro brazil|slum,107,Brazil,R,2007,8.1
John R. Leonetti,271,99,40,Annabelle Wallis,1000,Horror|Mystery,Alfre Woodard,Annabelle ,2323,0,horror movie prequel|murder|paranormal activity|self sacrifice|suicide,291,USA,R,2014,5.4
Rachel Perkins,33,88,3,Magda Szubanski,46,Comedy|Drama|Musical,Deborah Mailman,Bran Nue Dae ,225,7,australia|journey|love|priest|traveling,31,Australia,PG-13,2009,6.3
John Singleton,64,112,309,Lloyd Avery II,27,Crime|Drama,John Cothran,Boyz n the Hood ,106,2,drugs|escape|football|friend|violence,183,USA,R,1991,7.8
Luis Valdez,18,108,7,Rosanna DeSoto,699,Biography|Drama|Music,Esai Morales,La Bamba ,936,1,crash|hispanic|interracial relationship|interracial romance|racism,63,USA,PG-13,1987,6.8
Alan Alda,6,107,0,Len Cariou,804,Comedy|Drama,Rita Moreno,The Four Seasons ,1285,2,directed by star|friendship|reference to isaac newton|skinny dipping|written and directed by cast member,33,USA,PG,1981,7.2
Brian De Palma,121,104,0,David Margulies,754,Mystery|Romance|Thriller,Angie Dickinson,Dressed to Kill ,2442,0,apartment|elevator|murder|psychiatrist|sunglasses,201,USA,X,1980,7.1
Stephen Sommers,14,108,208,Frances Conroy,876,Adventure|Comedy|Drama|Family,Curtis Armstrong,The Adventures of Huck Finn ,4840,0,boy|lesson|mississippi river|river|slave,54,USA,PG,1993,6.2
Doug Liman,137,102,218,Jay Mohr,900,Comedy|Crime,Sarah Polley,Go ,2475,3,drug deal|drugs|sex|sex on stairs|strip club,418,USA,R,1999,7.3
Nicole Holofcener,111,88,132,Marin Hinkle,435,Comedy|Drama|Romance,Greg Germann,Friends with Money ,1140,2,friend|friendship|marital problem|money problems|nervous breakdown,166,USA,R,2006,5.9
Robert Wise,57,115,338,Paula Kelly,116,Sci-Fi|Thriller,David Wayne,The Andromeda Strain ,394,0,alien|baby|new mexico|satellite|scientist,171,USA,G,1971,7.2
Louis Morneau,97,91,38,Bob Gunton,730,Horror|Sci-Fi|Thriller,Leon,Bats ,1405,0,animal attack|bat|creature feature|experiment|mad scientist,160,USA,PG-13,1999,3.6
Caroline Link,73,141,11,Juliane Köhler,56,Biography|Drama,Merab Ninidze,Nowhere in Africa ,105,0,breasts|farm|jew|kenya|tween girl,84,Germany,R,2001,7.7
Steve McQueen,486,101,0,Nicole Beharie,13000,Drama,Michael Fassbender,Shame ,15230,0,female frontal nudity|female nudity|male nudity|sex addict|sex addiction,375,UK,NC-17,2011,7.3
Matthew Vaughn,149,105,905,Sally Hawkins,27000,Crime|Drama|Thriller,Tom Hardy,Layer Cake ,29277,1,cake|cocaine|drugs|pills|serbian,263,UK,R,2004,7.4
Sterling Van Wagenen,4,100,0,Eric Johnson,1000,Drama|Western,Emily Podleski,The Work and the Glory II: American Zion ,1942,2,estrangement|missouri|mormon|mormon church|mormon temple,21,USA,PG-13,2005,6.6
Zal Batmanglij,200,116,129,Julia Ormond,10000,Drama|Thriller,Alexander Skarsgård,The East ,13180,4,anarchist|corporation|greedy institution|vomiting|watching television,119,UK,PG-13,2013,6.9
Michael Mayer,84,97,15,Matt Frewer,18000,Drama|Romance,Robin Wright,A Home at the End of the World ,21107,2,hand job|hugging|long hair|new york city|two men one woman,135,USA,R,2004,6.8
Hans Petter Moland,28,106,19,Sara-Marie Maltha,844,Drama,Charlotte Rampling,Aberdeen ,846,0,death|ferry|lawyer|norway|vomiting,35,UK,,2000,7.3
Oren Moverman,217,105,38,Yaya DaCosta,12000,Drama|Romance|War,Steve Buscemi,The Messenger ,14462,0,captain|casualty notification|casualty notification team|sergeant|staff sergeant,92,USA,R,2009,7.2
Ian Sharp,12,102,9,Jed Brophy,1000,Action|Adventure|Drama|Western,Ray Winstone,Tracker ,1904,0,one word title,18,New Zealand,R,2010,6.5
Anton Corbijn,183,122,210,Samantha Morton,845,Biography|Drama|Music,Sam Riley,Control ,2614,1,band|employment agency|singer|stage fright|suicide,143,UK,R,2007,7.7
James Cameron,204,107,0,Brian Thompson,2000,Action|Sci-Fi,Michael Biehn,The Terminator ,3582,1,cyborg|future war|robot|shootout in a police station|urban setting,692,UK,R,1984,8.1
Wolfgang Becker,153,121,31,Chulpan Khamatova,65,Drama|Romance,Florian Lukas,Good Bye Lenin! ,200,2,coma|east germany|german democratic republic|germany|heart attack,225,Germany,R,2003,7.7
Tom Hooper,145,98,0,Mark Bazeley,1000,Biography|Drama|Sport,Stephen Graham,The Damned United ,1163,2,cup|derby county|flashback|football|leeds united,75,UK,R,2009,7.6
Dan O'Bannon,203,108,228,Clu Gulager,431,Comedy|Horror|Sci-Fi,Linnea Quigley,The Return of the Living Dead ,2020,0,crematorium|female frontal nudity|naked dead woman|paramedic|poison gas,300,USA,R,1985,7.3
,10,55,,Fortunato Cerlino,18,Crime|Drama|Thriller,Maria Pia Calzone,Gomorrah             ,39,5,,25,Italy,TV-MA,,8.7
Kevin Smith,93,123,0,Jason Mewes,1000,Comedy|Romance,Ethan Suplee,Mallrats ,3254,6,comic|ex girlfriend|jay and silent bob|mall|teenager,434,USA,R,1995,7.2
Randal Kleiser,124,110,116,Stockard Channing,1000,Musical|Romance,Olivia Newton-John,Grease ,5127,2,automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959,350,USA,PG-13,1978,7.2
Oliver Stone,120,120,0,Tom Berenger,40000,Drama|War,Johnny Depp,Platoon ,42028,0,1960s|famous score|hero|vietnam|vietnam war,505,UK,R,1986,8.1
Michael Moore,288,122,909,Stevie Wonder,503,Documentary|Drama|War,Osama bin Laden,Fahrenheit 9/11 ,1448,0,anti war|interview|iraq|paranoia|war on terrorism,1416,USA,R,2004,7.5
George Roy Hill,130,110,131,Ted Cassidy,640,Biography|Crime|Drama|Western,Katharine Ross,Butch Cassidy and the Sundance Kid ,2169,1,bolivia|gang|outlaw|posse|train,309,USA,M,1969,8.1
Robert Stevenson,145,139,55,Glynis Johns,382,Comedy|Family|Fantasy|Musical,Ed Wynn,Mary Poppins ,2045,2,banker|female protagonist|live action and animation|magic|nanny,259,USA,Approved,1964,7.8
Robert Redford,62,124,0,Elizabeth McGovern,2000,Drama,Adam Baldwin,Ordinary People ,5122,3,choir|death|friend|suicide|therapy,283,USA,R,1980,7.8
Frank Coraci,188,120,153,Steve Coogan,1000,Action|Adventure|Comedy,Jim Broadbent,Around the World in 80 Days ,3175,0,19th century|around the world|inventor|martial arts|train,191,USA,PG,2004,5.8
Jerome Robbins,120,152,34,George Chakiris,804,Crime|Drama|Musical|Romance|Thriller,Rita Moreno,West Side Story ,1802,0,dance|gang|new york city|puerto rican|tragedy,316,USA,Unrated,1961,7.6
Harold Ramis,71,98,11000,Rodney Dangerfield,13000,Comedy|Sport,Bill Murray,Caddyshack ,14921,3,caddy|country club|golf course|gopher|nudity,250,USA,R,1980,7.4
Gary Hardwick,52,106,10,Tatyana Ali,3000,Comedy|Drama,Julie Benz,The Brothers ,6419,4,african american|commitment|friend|friendship|playboy,43,USA,R,2001,6.3
Rick Famuyiwa,18,106,44,Tamala Jones,865,Comedy|Drama|Romance,Omar Epps,The Wood ,2724,0,flashback|friendship|public nudity|shower|wedding,50,USA,R,1999,6.9
Bryan Singer,162,106,0,Chazz Palminteri,18000,Crime|Drama|Mystery|Thriller,Kevin Spacey,The Usual Suspects ,20821,4,criminal|dirty cop|flashback|limping|suspect,1182,USA,R,1995,8.6
Stephen Hopkins,88,89,81,Kelly Jo Minter,321,Fantasy|Horror|Romance|Thriller,Lisa Wilcox,A Nightmare on Elm Street 5: The Dream Child ,584,0,child|comic book|dream|murderer|nightmare,227,USA,X,1989,5.1
Walt Becker,96,94,12,Curtis Armstrong,16000,Comedy|Romance,Ryan Reynolds,Van Wilder: Party Liaison ,19341,0,college|love|party|reporter|tuition,258,Germany,R,2002,6.4
Darren Aronofsky,391,109,0,John D'Leo,1000,Drama|Sport,Mark Margolis,The Wrestler ,1582,0,heart attack|stripper|supermarket|wrestler|wrestling,547,USA,R,2008,7.9
King Vidor,32,144,54,Lillian Gish,469,Drama|Romance|Western,Joseph Cotten,Duel in the Sun ,2037,0,box office hit|half breed|infidelity|shooting|texas,87,USA,Unrated,1946,6.9
Christopher Guest,119,90,378,Catherine O'Hara,957,Comedy,John Michael Higgins,Best in Show ,4611,9,dog show|gay|gay character|gay couple|gay interest,340,USA,PG-13,2000,7.5
John Carpenter,201,106,0,Adrienne Barbeau,742,Action|Sci-Fi,Donald Pleasence,Escape from New York ,2270,1,1990s|police|prison|rescue|year 1997,284,UK,R,1981,7.2
Spike Lee,22,121,0,Ossie Davis,413,Comedy|Drama|Musical,Tisha Campbell-Martin,School Daze ,1284,4,beauty salon|black college|college|fraternity|sorority,38,USA,R,1988,5.8
Fred Savage,52,89,0,Brian Doyle-Murray,555,Comedy|Family,Lochlyn Munro,Daddy Day Camp ,1752,2,competition|estranged father|skunk|summer camp|wall,32,USA,PG,2007,2.9
Sammo Kam-Bo Hung,63,86,472,Richard Norton,472,Action|Comedy|Crime,Sammo Kam-Bo Hung,Mr. Nice Guy ,773,1,chef|cook|drugs|gang|reporter,70,Hong Kong,PG-13,1997,6.2
Christopher Guest,97,91,378,Christopher Guest,658,Comedy|Music,Michael McKean,A Mighty Wind ,1660,0,concert|mockumentary|musician|new york city|singer,272,USA,PG-13,2003,7.3
Donald Petrie,34,104,80,Lili Taylor,8000,Comedy|Drama|Romance,Julia Roberts,Mystic Pizza ,10430,4,commitment|marriage|pizza|title appears in writing|woman wearing only a man's shirt,73,USA,R,1988,6.2
,10,,,Tuppence Middleton,1000,Drama|History|Romance|War,Jim Broadbent,War & Peace             ,4528,1,male frontal nudity|male nudity|tv mini series,44,UK,TV-14,,8.2
Peter Howitt,88,99,29,Kevin McNally,711,Comedy|Drama|Fantasy|Romance,Jeanne Tripplehorn,Sliding Doors ,1462,1,alternative reality|multiple outcomes|parallel time|serendipity|twist of fate,278,UK,R,1998,6.8
Rusty Cundieff,25,98,38,Clarence Williams III,1000,Comedy|Horror|Thriller,Corbin Bernsen,Tales from the Hood ,3221,0,child abuse|death|drugs|ku klux klan|police brutality,52,USA,R,1995,6.1
Kevin Macdonald,252,121,162,Simon McBurney,1000,Biography|Drama|History|Thriller,David Oyelowo,The Last King of Scotland ,1184,1,1970s|assassination|doctor|scottish|ugandan,351,UK,R,2006,7.7
Dominique Othenin-Girard,137,96,2,Tamara Glynn,742,Horror|Thriller,Donald Pleasence,Halloween 5 ,1308,1,cat|halloween|kitten|michael myers|psychotronic,287,USA,X,1989,5.2
Richard Linklater,231,99,0,Brandon Smith,11000,Comedy|Crime|Drama,Matthew McConaughey,Bernie ,11328,1,funeral|stockbroker|texas|vacation|widow,136,USA,PG-13,2011,6.8
Jean-Jacques Mantello,9,42,0,Daryl Hannah,844,Adventure|Documentary|Short,Charlotte Rampling,Dolphins and Whales 3D: Tribes of the Ocean ,844,0,3d in title|animal in title|digit in title|dolphin|manatee,5,UK,,2008,6.5
Ed Harris,115,122,0,Bud Cort,697,Biography|Drama,John Heard,Pollock ,1517,0,1940s|artist|drinking|life magazine|painter,148,USA,R,2000,7.0
Risa Bramon Garcia,67,101,112,Dave Chappelle,1000,Comedy|Drama|Romance,Janeane Garofalo,200 Cigarettes ,2697,5,bartender|friend|new year's eve|party|punk,182,USA,R,1999,5.9
Brian Klugman,216,102,49,Bradley Cooper,24000,Drama|Mystery|Romance|Thriller,J.K. Simmons,The Words ,51355,1,american in paris|book|love|novel|writer,130,USA,PG-13,2012,7.1
Matt Piedmont,133,84,4,Adrian Martinez,8000,Comedy|Western,Will Ferrell,Casa de mi Padre ,10123,1,absurd humor|drug lord|mexico|ranch|spaghetti western,70,USA,R,2012,5.5
Raymond De Felitta,149,104,20,Curtiss Cook,3000,Comedy|Drama,Ezra Miller,City Island ,3825,6,anger|family reunion|father son reunion|hugging|movie making,101,USA,PG-13,2009,7.4
John Michael McDonagh,261,96,51,Fionnula Flanagan,3000,Comedy|Crime|Thriller,Don Cheadle,The Guard ,3569,0,boat on fire|drug smuggling|fbi|fbi agent|small town,131,Ireland,R,2011,7.3
Deb Hagan,42,94,0,Alona Tal,1000,Comedy,Drake Bell,College ,4484,0,college|face slap|high school|loss of virginity|pierced nipple,78,USA,R,2008,4.6
Sofia Coppola,152,90,0,Kathleen Turner,4000,Drama|Romance,Kirsten Dunst,The Virgin Suicides ,7103,0,catholic|five sisters|isolation|school|suicide,520,USA,R,1999,7.2
Mark Herman,64,97,39,Annette Badland,1000,Comedy|Drama|Music|Romance,Jim Broadbent,Little Voice ,2103,4,mother|recluse|shy|singer|talent,160,UK,R,1998,7.0
Zach Cregger,76,90,138,Windell Middlebrooks,373,Comedy|Romance,Hugh M. Hefner,Miss March ,1831,2,fellatio|hugh hefner|oral sex|playboy centerfold|topless female nudity,73,USA,R,2009,5.1
Zach Braff,149,106,0,Josh Gad,17000,Comedy|Drama,Jim Parsons,Wish I Was Here ,18947,4,actor|dream sequence|genius recluse|jew|religion,93,USA,R,2014,6.7
