duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
100,38,362,David Suchet,811,11576087,Action|Adventure|Sci-Fi,Wing Commander ,14747,2497,http://www.imdb.com/title/tt0131646/?ref_=fn_tt_tt_1,338,English,PG-13,30000000,586,4.1,2.35,858
100,277,210,Aidan Quinn,21000,11900000,Drama|Fantasy|Thriller,In Dreams ,11003,22006,http://www.imdb.com/title/tt0120710/?ref_=fn_tt_tt_1,148,English,R,30000000,767,5.5,1.85,654
100,70,99,Texas Battle,473,9353573,Action|Adventure|Fantasy|Sci-Fi|Thriller,Dragonball: Evolution ,56451,1100,http://www.imdb.com/title/tt1098327/?ref_=fn_tt_tt_1,524,English,PG,45000000,315,2.7,2.35,0
107,419,165,James Burnett,971,12026670,Action|Crime|Thriller,The Last Stand ,114241,1643,http://www.imdb.com/title/tt1549920/?ref_=fn_tt_tt_1,258,English,R,45000000,236,6.4,2.35,24000
102,6,353,Cameron Bright,22000,14334645,Drama|Horror|Sci-Fi|Thriller,Godsend ,22449,23352,http://www.imdb.com/title/tt0335121/?ref_=fn_tt_tt_1,191,English,PG-13,25000000,829,4.8,2.35,387
101,3,120,Stark Sands,448,12189514,Comedy|Romance,Chasing Liberty ,30092,842,http://www.imdb.com/title/tt0360139/?ref_=fn_tt_tt_1,129,English,PG-13,23000000,143,6.1,2.35,0
86,6,843,Phil LaMarr,1000,10134754,Animation|Comedy|Family,Hoodwinked Too! Hood vs. Evil ,9682,5393,http://www.imdb.com/title/tt0844993/?ref_=fn_tt_tt_1,38,English,PG,30000000,857,4.8,1.85,0
108,529,83,Camryn Manheim,11000,8535575,Drama,An Unfinished Life ,24033,11519,http://www.imdb.com/title/tt0350261/?ref_=fn_tt_tt_1,152,English,PG-13,30000000,329,7.0,2.35,0
123,0,645,Lily Cole,10000,7689458,Adventure|Fantasy|Mystery,The Imaginarium of Doctor Parnassus ,126307,11769,http://www.imdb.com/title/tt1054606/?ref_=fn_tt_tt_1,210,English,PG-13,40000000,785,6.8,1.85,19000
134,12,329,Atom Egoyan,891,7501404,Comedy|Drama,Barney's Version ,21086,1873,http://www.imdb.com/title/tt1423894/?ref_=fn_tt_tt_1,87,English,R,,460,7.3,2.35,0
511,,51,Ingvar Eggert Sigurðsson,147,,Crime|Drama|Thriller,Trapped             ,2308,307,http://www.imdb.com/title/tt3561180/?ref_=fn_tt_tt_1,19,Icelandic,,,63,8.2,16.0,0
88,65,681,John Heard,3000,19316646,Crime|Thriller,Runner Runner ,52069,5706,http://www.imdb.com/title/tt2364841/?ref_=fn_tt_tt_1,95,English,R,30000000,697,5.6,2.35,0
109,29,91,Richard Roundtree,779,10965209,Action|Crime|Drama|Thriller,Antitrust ,25558,1297,http://www.imdb.com/title/tt0218817/?ref_=fn_tt_tt_1,221,English,PG-13,30000000,240,6.1,2.35,0
122,380,2000,Morgan Freeman,18000,26830000,Drama|History|War,Glory ,101888,32930,http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1,365,English,R,18000000,11000,7.9,1.85,0
251,0,642,Burt Young,22000,5300000,Crime|Drama,Once Upon a Time in America ,221000,24719,http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1,495,English,R,30000000,683,8.4,1.85,12000
118,76,174,Isabelle Huppert,3000,10880926,Action|Crime|Drama|Thriller,Dead Man Down ,54147,4253,http://www.imdb.com/title/tt2101341/?ref_=fn_tt_tt_1,127,English,R,30000000,678,6.5,2.35,0
131,53,548,Mackenzie Crook,14000,3752725,Drama|Romance,The Merchant of Venice ,29715,16252,http://www.imdb.com/title/tt0379889/?ref_=fn_tt_tt_1,161,English,R,18000000,871,7.1,2.35,0
109,277,345,Saïd Taghmaoui,2000,3517797,Action|Crime|Drama|Romance|Thriller,The Good Thief ,9004,2759,http://www.imdb.com/title/tt0281820/?ref_=fn_tt_tt_1,103,English,R,25000000,378,6.6,1.85,287
80,9,826,Mike Vogel,17000,3101301,Action|Drama|Romance|Sport,Supercross ,3926,21519,http://www.imdb.com/title/tt0403016/?ref_=fn_tt_tt_1,38,English,PG-13,,2000,4.0,1.85,353
88,108,135,Bill Paterson,876,2975649,Biography|Drama|Romance,Miss Potter ,23864,1518,http://www.imdb.com/title/tt0482546/?ref_=fn_tt_tt_1,142,English,PG,30000000,142,7.0,2.35,0
103,45,107,Toby Leonard Moore,489,668171,Action|Drama|Fantasy,The Promise ,8215,949,http://www.imdb.com/title/tt0417976/?ref_=fn_tt_tt_1,132,Mandarin,PG-13,60000000,181,5.6,2.35,445
87,23,748,Holly Valance,826,480314,Action|Adventure,DOA: Dead or Alive ,38503,4473,http://www.imdb.com/title/tt0398913/?ref_=fn_tt_tt_1,180,English,PG-13,21000000,816,4.8,2.35,0
160,181,820,Jeremy Renner,11000,3904982,Biography|Crime|Drama|History|Western,The Assassination of Jesse James by the Coward Robert Ford ,136104,22516,http://www.imdb.com/title/tt0443680/?ref_=fn_tt_tt_1,415,English,R,30000000,10000,7.5,2.35,0
121,0,187,Joan Chen,974,127437,Action|Adventure|Drama|History|War,1911 ,4670,1887,http://www.imdb.com/title/tt1772230/?ref_=fn_tt_tt_1,27,Mandarin,R,18000000,643,6.0,2.35,0
91,2,55,Sandrine Kiberlain,295,,Comedy|Family,Little Nicholas ,9214,545,http://www.imdb.com/title/tt1264904/?ref_=fn_tt_tt_1,17,French,,,71,7.2,1.85,0
92,165,700,Michael Angarano,26000,,Action|Crime|Drama|Thriller,Wild Card ,36487,29773,http://www.imdb.com/title/tt2231253/?ref_=fn_tt_tt_1,114,English,R,30000000,947,5.6,2.35,0
129,395,313,Madeline Carroll,18000,537580,Action|Biography|Crime|Drama,Machine Gun Preacher ,52972,19620,http://www.imdb.com/title/tt1586752/?ref_=fn_tt_tt_1,124,English,R,30000000,1000,6.8,2.35,21000
93,7,480,Vanessa Redgrave,1000,,Animation|Comedy|Family,Animals United ,4599,3095,http://www.imdb.com/title/tt1620449/?ref_=fn_tt_tt_1,44,German,PG,,898,4.9,2.39,885
118,55,11,Patrick Lyster,113,,Biography|Drama|History,The Color of Freedom ,10175,143,http://www.imdb.com/title/tt0438859/?ref_=fn_tt_tt_1,23,English,R,30000000,11,7.1,2.35,0
110,18,432,Thomas Kretschmann,922,,Drama|History|Sport,United Passions ,3279,2725,http://www.imdb.com/title/tt2814362/?ref_=fn_tt_tt_1,22,English,Not Rated,24000000,919,2.0,2.35,0
103,61,520,Frank Langella,963,,Biography|Drama|Romance,Grace of Monaco ,12410,2806,http://www.imdb.com/title/tt2095649/?ref_=fn_tt_tt_1,62,English,,30000000,903,5.7,2.35,6000
85,0,21,Fedor Bondarchuk,114,,Adventure|Animation|Fantasy,A Warrior's Tail ,393,229,http://www.imdb.com/title/tt4075322/?ref_=fn_tt_tt_1,7,Russian,,30000000,35,4.1,,161
110,59,24,Dougray Scott,1000,,Crime|Drama|Mystery|Thriller,Ripley's Game ,14618,1831,http://www.imdb.com/title/tt0265651/?ref_=fn_tt_tt_1,108,English,R,30000000,794,6.7,1.85,447
89,5,365,Salma Hayek,11000,,Adventure|Animation|Comedy|Fantasy,Sausage Party ,3302,15795,http://www.imdb.com/title/tt1700841/?ref_=fn_tt_tt_1,14,English,R,19000000,4000,7.5,1.85,13000
115,0,751,Birgitte Hjort Sørensen,10000,183436380,Comedy|Music,Pitch Perfect 2 ,97697,13159,http://www.imdb.com/title/tt2848292/?ref_=fn_tt_tt_1,185,English,PG-13,29000000,1000,6.5,1.85,40000
153,446,154,Dallas Roberts,523,119518352,Biography|Drama|Music|Romance,Walk the Line ,188637,1383,http://www.imdb.com/title/tt0358273/?ref_=fn_tt_tt_1,815,English,PG-13,28000000,405,7.9,2.39,11000
42,,442,Kirk Acevedo,757,,Adventure|Drama|Mystery|Sci-Fi|Thriller,12 Monkeys             ,20839,3309,http://www.imdb.com/title/tt3148266/?ref_=fn_tt_tt_1,56,English,TV-14,,641,7.6,16.0,12000
128,0,754,Milos Forman,955,37036404,Comedy|Drama|Romance,Keeping the Faith ,44816,5404,http://www.imdb.com/title/tt0171433/?ref_=fn_tt_tt_1,259,English,PG-13,30000000,869,6.4,1.85,0
89,12,373,Bradley Pierce,1000,22359293,Adventure|Comedy|Family|Fantasy,The Borrowers ,16222,2056,http://www.imdb.com/title/tt0118755/?ref_=fn_tt_tt_1,39,English,PG,29000000,409,5.8,1.85,0
122,2000,1000,Clint Howard,2000,18593156,Drama,Frost/Nixon ,88682,6161,http://www.imdb.com/title/tt0870111/?ref_=fn_tt_tt_1,241,English,R,35000000,1000,7.7,2.35,0
113,0,89,David Julian Hirsh,504,,Biography|Comedy|Crime|Drama|Romance|Thriller,Confessions of a Dangerous Mind ,71596,810,http://www.imdb.com/title/tt0270288/?ref_=fn_tt_tt_1,276,English,R,29000000,147,7.1,2.35,3000
99,71,584,Jerry Stiller,2000,16930185,Comedy|Romance,Serving Sara ,14315,4169,http://www.imdb.com/title/tt0261289/?ref_=fn_tt_tt_1,101,English,PG-13,29000000,719,5.3,1.85,201
99,265,265,Tyler Labine,22000,63034755,Comedy,The Boss ,16984,23562,http://www.imdb.com/title/tt2702724/?ref_=fn_tt_tt_1,96,English,R,29000000,779,5.3,1.85,0
147,0,400,Kevin McNally,18000,5899797,Biography|Drama|History,Cry Freedom ,9913,18855,http://www.imdb.com/title/tt0092804/?ref_=fn_tt_tt_1,51,English,PG,29000000,427,7.5,2.35,0
112,759,933,Alfre Woodard,11000,4554569,Comedy|Drama,Mumford ,8134,17873,http://www.imdb.com/title/tt0140397/?ref_=fn_tt_tt_1,123,English,R,28000000,1000,6.9,2.35,209
88,64,363,Billy Boyd,1000,17016190,Comedy|Fantasy|Horror|Thriller,Seed of Chucky ,28632,2567,http://www.imdb.com/title/tt0387575/?ref_=fn_tt_tt_1,214,English,R,12000000,857,4.9,1.85,0
94,11,566,Jason Lewis,1000,6301131,Drama|Mystery|Sci-Fi|Thriller,The Jacket ,92850,5085,http://www.imdb.com/title/tt0366627/?ref_=fn_tt_tt_1,263,English,R,29000000,948,7.1,2.35,0
90,63,631,Frank Welker,49000,217350219,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Aladdin ,260939,52970,http://www.imdb.com/title/tt0103639/?ref_=fn_tt_tt_1,244,English,G,28000000,2000,8.0,1.33,0
167,473,303,Neil Brown Jr.,559,161029270,Biography|Crime|Drama|History|Music,Straight Outta Compton ,119928,2702,http://www.imdb.com/title/tt1398426/?ref_=fn_tt_tt_1,331,English,R,28000000,427,7.9,2.35,76000
118,14000,237,Amrish Puri,11000,179870271,Action|Adventure,Indiana Jones and the Temple of Doom ,329969,11898,http://www.imdb.com/title/tt0087469/?ref_=fn_tt_tt_1,524,English,PG,28000000,429,7.6,2.35,0
83,5,368,Cree Summer,971,100491683,Adventure|Animation|Comedy|Drama|Family|Musical,The Rugrats Movie ,14005,3438,http://www.imdb.com/title/tt0134067/?ref_=fn_tt_tt_1,67,English,G,24000000,503,5.9,1.85,418
104,93,878,Billy Burke,11000,74058698,Crime|Drama|Thriller,Along Came a Spider ,59232,17109,http://www.imdb.com/title/tt0164334/?ref_=fn_tt_tt_1,317,English,R,60000000,2000,6.3,2.35,0
110,350,83,Nina Arianda,11000,,Biography|Comedy|Drama|Music|Romance,Florence Foster Jenkins ,2167,11534,http://www.imdb.com/title/tt4136084/?ref_=fn_tt_tt_1,32,English,PG-13,29000000,183,7.1,2.35,0
102,0,876,Salma Hayek,40000,55845943,Action|Crime|Thriller,Once Upon a Time in Mexico ,130094,46186,http://www.imdb.com/title/tt0285823/?ref_=fn_tt_tt_1,471,English,R,29000000,4000,6.4,1.78,0
131,323,541,Bruce Willis,25000,81350242,Action|Thriller,Die Hard ,592582,40585,http://www.imdb.com/title/tt0095016/?ref_=fn_tt_tt_1,722,English,R,28000000,13000,8.2,2.35,25000
101,136,526,Ken Marino,833,67266300,Comedy,Role Models ,195255,3400,http://www.imdb.com/title/tt0430922/?ref_=fn_tt_tt_1,170,English,R,28000000,543,6.9,1.85,0
130,285,767,Christian Bale,33000,70235322,Biography|Comedy|Drama|History,The Big Short ,182983,57308,http://www.imdb.com/title/tt1596363/?ref_=fn_tt_tt_1,374,English,R,28000000,23000,7.8,2.35,99000
120,0,210,Kevin Chamberlin,579,7443007,Comedy|Drama|Music,Taking Woodstock ,24663,1500,http://www.imdb.com/title/tt1127896/?ref_=fn_tt_tt_1,71,English,R,30000000,489,6.7,1.85,0
135,149,250,Noah Emmerich,639,64371181,Biography|Drama|History|Sport,Miracle ,36636,1845,http://www.imdb.com/title/tt0349825/?ref_=fn_tt_tt_1,289,English,PG,28000000,617,7.5,2.4,0
110,0,1000,Kevin Zegers,3000,58885635,Action|Horror|Thriller,Dawn of the Dead ,194422,10438,http://www.imdb.com/title/tt0363547/?ref_=fn_tt_tt_1,1057,English,R,26000000,2000,7.4,2.35,7000
103,163,968,Judy Greer,11000,60400856,Comedy|Romance,The Wedding Planner ,61317,17533,http://www.imdb.com/title/tt0209475/?ref_=fn_tt_tt_1,229,English,PG-13,35000000,2000,5.2,2.35,0
115,21,47,Yû Aoi,173,,Adventure|Animation|Sci-Fi,Harlock: Space Pirate ,8227,386,http://www.imdb.com/title/tt2668134/?ref_=fn_tt_tt_1,28,Japanese,Not Rated,30000000,59,6.5,2.35,0
110,0,327,Anjelica Huston,13000,52353636,Comedy|Drama,The Royal Tenenbaums ,209133,14609,http://www.imdb.com/title/tt0265666/?ref_=fn_tt_tt_1,962,English,R,21000000,1000,7.6,2.35,0
91,446,660,Rebecca De Mornay,1000,51475962,Mystery|Thriller,Identity ,177828,3969,http://www.imdb.com/title/tt0309698/?ref_=fn_tt_tt_1,714,English,R,30000000,872,7.3,2.35,11000
105,226,966,Morgan Freeman,22000,63910583,Comedy|Romance,Last Vegas ,106755,35694,http://www.imdb.com/title/tt1204975/?ref_=fn_tt_tt_1,173,English,PG-13,28000000,11000,6.6,2.35,27000
127,46,244,Topol,844,62300000,Action|Adventure|Thriller,For Your Eyes Only ,72085,2118,http://www.imdb.com/title/tt0082398/?ref_=fn_tt_tt_1,263,English,PG,28000000,402,6.8,2.35,2000
82,23,6,David Sparrow,11,49968653,Comedy|Romance,Serendipity ,85423,37,http://www.imdb.com/title/tt0240890/?ref_=fn_tt_tt_1,374,English,PG-13,28000000,9,6.9,1.85,12000
99,0,186,Bruce McGill,664,44450000,Action|Crime|Sci-Fi|Thriller,Timecop ,44394,2010,http://www.imdb.com/title/tt0111438/?ref_=fn_tt_tt_1,115,English,R,27000000,655,5.8,2.35,0
90,0,8000,Alexander Skarsgård,14000,45162741,Comedy,Zoolander ,201084,34565,http://www.imdb.com/title/tt0196229/?ref_=fn_tt_tt_1,523,English,PG-13,28000000,10000,6.6,2.35,0
115,529,325,Noah Lomax,576,71346930,Drama|Romance|Thriller,Safe Haven ,78008,1554,http://www.imdb.com/title/tt1702439/?ref_=fn_tt_tt_1,160,English,PG-13,28000000,447,6.7,2.35,23000
96,197,115,Omri Katz,580,39514713,Comedy|Family|Fantasy,Hocus Pocus ,60494,1275,http://www.imdb.com/title/tt0107120/?ref_=fn_tt_tt_1,132,English,PG,28000000,336,6.7,1.85,16000
104,96,559,Lily Rabe,943,43097652,Comedy|Drama|Romance,No Reservations ,59068,3497,http://www.imdb.com/title/tt0481141/?ref_=fn_tt_tt_1,128,English,PG,28000000,763,6.3,2.35,0
117,905,385,Deborah Twiss,553,48043505,Action|Comedy,Kick-Ass ,435864,2357,http://www.imdb.com/title/tt1250777/?ref_=fn_tt_tt_1,801,English,R,30000000,488,7.7,2.35,36000
83,181,459,Dilshad Vadsaria,731,37053924,Action|Comedy|Crime,30 Minutes or Less ,77935,1987,http://www.imdb.com/title/tt1622547/?ref_=fn_tt_tt_1,122,English,R,28000000,579,6.1,2.35,0
99,71,1000,Danny Masterson,18000,33000377,Action|Fantasy|Horror|Thriller,Dracula 2000 ,27378,23344,http://www.imdb.com/title/tt0219653/?ref_=fn_tt_tt_1,365,English,R,28000000,1000,4.9,2.35,0
81,44,3000,Steve Carell,35000,66950483,Comedy|Family,Alexander and the Terrible, Horrible, No Good, Very Bad Day ,29738,47677,http://www.imdb.com/title/tt1698641/?ref_=fn_tt_tt_1,85,English,PG,28000000,7000,6.2,2.39,12000
135,456,241,Brenda Blethyn,422,38372662,Drama|Romance,Pride & Prejudice ,193455,1083,http://www.imdb.com/title/tt0414387/?ref_=fn_tt_tt_1,1058,English,PG,28000000,286,7.8,2.35,17000
117,0,521,Sean Young,11000,27000000,Sci-Fi|Thriller,Blade Runner ,461609,13877,http://www.imdb.com/title/tt0083658/?ref_=fn_tt_tt_1,1168,English,R,28000000,759,8.2,2.35,34000
139,105,902,Jason Flemyng,14000,31600000,Adventure|Biography,Rob Roy ,34427,16125,http://www.imdb.com/title/tt0114287/?ref_=fn_tt_tt_1,126,English,R,28000000,1000,6.9,2.35,0
123,368,114,Richard Sammel,933,30688364,Action|Drama|Thriller,3 Days to Kill ,69355,1286,http://www.imdb.com/title/tt2172934/?ref_=fn_tt_tt_1,211,English,PG-13,28000000,194,6.2,2.35,10000
117,115,97,Oleg Taktarov,3000,28563179,Crime|Drama|Thriller,We Own the Night ,72693,3681,http://www.imdb.com/title/tt0498399/?ref_=fn_tt_tt_1,199,English,R,21000000,327,6.9,1.85,0
97,710,258,Bob Clendenin,497,16779636,Drama|Horror|Thriller,Lost Souls ,9338,1805,http://www.imdb.com/title/tt0160484/?ref_=fn_tt_tt_1,167,English,R,28000000,347,4.8,2.35,209
81,63,,Philippe Labro,63,10762178,Documentary,Winged Migration ,10369,66,http://www.imdb.com/title/tt0301727/?ref_=fn_tt_tt_1,153,English,G,160000000,3,8.0,1.85,1000
103,80,585,Carlos Ponce,806,17324744,Comedy|Fantasy|Romance,Just My Luck ,44103,3211,http://www.imdb.com/title/tt0397078/?ref_=fn_tt_tt_1,149,English,PG-13,28000000,591,5.3,1.85,0
119,116,385,Mary McCormack,738,8888143,Comedy|Drama|Sport,Mystery, Alaska ,22250,2171,http://www.imdb.com/title/tt0134618/?ref_=fn_tt_tt_1,123,English,R,28000000,428,6.7,2.35,913
94,32,453,Amber Valletta,1000,24268828,Action|Comedy|Family,The Spy Next Door ,29971,3436,http://www.imdb.com/title/tt1273678/?ref_=fn_tt_tt_1,71,English,PG,28000000,626,5.4,1.85,0
89,23,899,Francis Capra,1000,8119205,Comedy|Family|Fantasy,A Simple Wish ,4288,5535,http://www.imdb.com/title/tt0120133/?ref_=fn_tt_tt_1,21,English,PG,28000000,937,5.4,1.85,517
98,0,900,Clea DuVall,26000,8434601,Action|Horror|Sci-Fi,Ghosts of Mars ,43006,28867,http://www.imdb.com/title/tt0228333/?ref_=fn_tt_tt_1,460,English,R,28000000,1000,4.9,2.35,0
107,234,660,Zoe Kazan,1000,6998324,Comedy|Drama,Our Brand Is Crisis ,11476,3944,http://www.imdb.com/title/tt1018765/?ref_=fn_tt_tt_1,50,English,R,28000000,962,6.1,1.85,0
108,23,845,Bella Heathcote,2000,10907291,Action|Horror|Romance,Pride and Prejudice and Zombies ,23775,4710,http://www.imdb.com/title/tt1374989/?ref_=fn_tt_tt_1,134,English,PG-13,28000000,860,5.8,2.35,73000
134,17000,0,Tulku Jamyang Kunga Tenzin,2,5532301,Biography|Drama|History|War,Kundun ,21606,4,http://www.imdb.com/title/tt0119485/?ref_=fn_tt_tt_1,117,English,PG-13,28000000,2,7.0,2.35,0
110,53,87,Katherine Parkinson,480,2775593,Comedy|Drama|Romance,How to Lose Friends & Alienate People ,61269,858,http://www.imdb.com/title/tt0455538/?ref_=fn_tt_tt_1,98,English,R,27000000,261,6.5,1.85,0
103,65,405,Donald Faison,17000,28751715,Action|Comedy|Crime,Kick-Ass 2 ,202967,19168,http://www.imdb.com/title/tt1650554/?ref_=fn_tt_tt_1,378,English,R,28000000,927,6.6,2.35,36000
145,13,278,Elena Anaya,10000,,Adventure|Drama|History|Romance|Thriller|War,Captain Alatriste: The Spanish Musketeer ,10266,11669,http://www.imdb.com/title/tt0395119/?ref_=fn_tt_tt_1,84,Spanish,,24000000,1000,6.1,1.85,0
100,11,561,Robert Maillet,23000,20285518,Action|Crime|Drama|Thriller,Brick Mansions ,32103,25387,http://www.imdb.com/title/tt1430612/?ref_=fn_tt_tt_1,112,English,PG-13,28000000,727,5.7,2.35,0
131,46,293,Kabir Bedi,594,67900000,Action|Adventure|Thriller,Octopussy ,74374,1898,http://www.imdb.com/title/tt0086034/?ref_=fn_tt_tt_1,225,English,PG,27500000,303,6.6,2.35,0
133,0,529,Martin Starr,11000,148734225,Comedy|Romance,Knocked Up ,298590,12874,http://www.imdb.com/title/tt0478311/?ref_=fn_tt_tt_1,559,English,R,30000000,985,7.0,1.85,0
109,415,228,Sofia Vassilieva,673,49185998,Drama,My Sister's Keeper ,74476,1775,http://www.imdb.com/title/tt1078588/?ref_=fn_tt_tt_1,184,English,PG-13,30000000,489,7.4,2.35,15000
114,92,436,Mike Epps,940,42168445,Comedy|Drama|Romance,Welcome Home, Roscoe Jenkins ,10791,3565,http://www.imdb.com/title/tt0494652/?ref_=fn_tt_tt_1,39,English,PG-13,35000000,706,5.3,1.85,464
164,767,162,Judy Davis,358,26400000,Adventure|Drama|History,A Passage to India ,12980,1334,http://www.imdb.com/title/tt0087892/?ref_=fn_tt_tt_1,89,English,PG,16000000,223,7.4,1.85,845
92,14,78,Andrew Simpson,386,17508670,Crime|Drama|Romance|Thriller,Notes on a Scandal ,64625,646,http://www.imdb.com/title/tt0465551/?ref_=fn_tt_tt_1,281,English,R,15000000,99,7.4,1.85,0
122,151,11000,Jake Gyllenhaal,24000,9664316,Drama|Thriller,Rendition ,47203,50950,http://www.imdb.com/title/tt0804522/?ref_=fn_tt_tt_1,197,English,R,27500000,15000,6.8,2.35,0
42,,535,Mary Elizabeth Mastrantonio,766,,Crime|Drama|Sci-Fi|Thriller,Limitless             ,38177,2707,http://www.imdb.com/title/tt4422836/?ref_=fn_tt_tt_1,131,English,TV-14,,638,7.9,16.0,11000
110,120,664,Kurtwood Smith,12000,74888996,Action|Adventure|Sci-Fi|Thriller,Star Trek VI: The Undiscovered Country ,55513,16230,http://www.imdb.com/title/tt0102975/?ref_=fn_tt_tt_1,188,English,PG,30000000,1000,7.2,2.35,0
116,144,477,Fionnula Flanagan,1000,69586544,Drama,Divine Secrets of the Ya-Ya Sisterhood ,15352,3845,http://www.imdb.com/title/tt0279778/?ref_=fn_tt_tt_1,199,English,PG-13,27000000,482,6.0,2.35,0
106,4000,591,Bill Murray,19000,362645141,Adventure|Drama|Family|Fantasy,The Jungle Book ,106221,32921,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,English,PG,175000000,13000,7.8,1.85,65000
115,39,685,Tony Goldwyn,11000,60491560,Crime|Drama|Mystery|Thriller,Kiss the Girls ,50653,14322,http://www.imdb.com/title/tt0119468/?ref_=fn_tt_tt_1,143,English,R,27000000,956,6.6,2.35,0
148,644,326,Aretha Franklin,1000,54200000,Action|Comedy|Crime|Music,The Blues Brothers ,142448,2566,http://www.imdb.com/title/tt0080455/?ref_=fn_tt_tt_1,319,English,R,27000000,809,7.9,1.85,14000
