director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,gross,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Adam Goldberg,22,111,1000,Marisa Coughlan,2580,I Love Your Work ,2564,Nicky Katt,2,film student|marriage|mental breakdown|movie star|obsession,1650000,2003,163,5.4,63
Travis Zariwny,68,99,4,Gage Golightly,,Cabin Fever ,992,Samuel Davis,0,female rear nudity|flesh eating virus|horror movie remake|remake|topless female nudity,,2016,253,3.7,2000
Zack Snyder,287,110,0,Kevin Zegers,58885635,Dawn of the Dead ,10438,Mekhi Phifer,0,mall|mayhem|nurse|rear entry sex|survival horror,26000000,2004,2000,7.4,7000
Adrienne Shelly,173,108,191,Cheryl Hines,19067631,Waitress ,1981,Eddie Jemison,1,domestic violence|pregnancy|unhappy marriage|unwanted pregnancy|waitress,2000000,2007,541,7.1,0
Newt Arnold,61,92,15,Donald Gibb,11806119,Bloodsport ,1168,Ken Siu,1,hand to hand combat|hong kong|kumite|martial arts|tournament,1100000,1988,403,6.8,0
Frank Capra,96,120,964,Jean Arthur,,Mr. Smith Goes to Washington ,1573,Thomas Mitchell,7,camp|corruption|governor|senate|u.s. senate,1500000,1939,319,8.2,0
Larry Clark,71,91,184,Leo Fitzpatrick,7417210,Kids ,3310,Justin Pierce,1,coming of age|marijuana|rape|virgin|weed,1500000,1995,202,7.0,0
Noah Baumbach,110,88,387,Elizabeth Meriwether,7362100,The Squid and the Whale ,479,Owen Kline,0,boy|divorce|tennis|tennis coach|writer,1500000,2005,25,7.4,0
Charles Herman-Wurmfeld,110,97,0,Jennifer Westfeldt,7022940,Kissing Jessica Stein ,1173,Brian Stepanek,1,friend|friendship|journalist|new york city|personal ad,1000000,2001,321,6.7,682
Yimou Zhang,101,95,611,Ni Yan,190666,"A Woman, a Gun and a Noodle Shop ",18,Dahong Ni,1,betrayal|husband wife relationship|murder|noodles|salary,,2009,4,5.7,784
John Stockwell,2,90,134,T.J. Storm,,Kickboxer: Vengeance ,261818,Sam Medina,5,,17000000,2016,454,9.1,0
Alfred Hitchcock,97,95,13000,Rhonda Fleming,,Spellbound ,896,Leo G. Carroll,1,amnesia|dream analysis|dream sequence|guilt complex|post traumatic stress disorder,1696377,1945,239,7.6,0
Atom Egoyan,53,103,460,Mia Kirshner,5132222,Exotica ,2990,Sarah Polley,1,bird|cult film|egg|nightclub|toronto,2000000,1994,971,7.2,619
Vincent Gallo,106,110,787,Vincent Gallo,2365931,Buffalo '66 ,4762,Jan-Michael Vincent,2,shower|stripper|tap dancing|underwear|undressing,1500000,1998,787,7.5,0
James Wan,445,103,0,Barbara Hershey,53991137,Insidious ,3030,Philip Friedman,1,baby|boy|coma|demon|house,1500000,2010,618,6.8,60000
Alex Cox,131,92,92,Tracey Walter,,Repo Man ,1652,Miguel Sandoval,3,punk|punk rocker|repossession|televangelist|ufo,1500000,1984,324,6.9,0
Fabián Bielinsky,94,114,44,Gastón Pauls,1221261,Nine Queens ,856,Leticia Brédice,0,con artist|hotel|partner|scam|stamp,1500000,2000,22,7.9,0
Dror Moreh,105,101,4,Yuval Diskin,2408553,The Gatekeepers ,0,Yaakov Peri,3,interview|jerusalem|jewish|terrorism|terrorist bombing,,2012,0,7.6,0
Rebecca Miller,75,112,58,Susanna Thompson,712294,The Ballad of Jack and Rose ,859,Ryan McDonald,1,commune|defecation|environmentalism|fellatio|island,1500000,2005,265,6.7,608
Maggie Carey,97,104,38,Alia Shawkat,3447339,The To Do List ,2667,Scott Porter,7,feces in a swimming pool|female vomiting|high school|lifeguard|male objectification,1500000,2013,727,5.8,0
Roger Avary,37,99,675,Salvator Xuereb,418953,Killing Zoe ,1582,Jean-Hugues Anglade,0,bank|bastille day|call girl|childhood friend|drugs,1500000,1993,424,6.5,853
Henry Bean,84,98,21,Theresa Russell,406035,The Believer ,33441,Summer Phoenix,0,jew|jewish nazi|nazism|racism|skinhead,1500000,2001,243,7.2,0
David Gordon Green,88,107,234,Connor Paolo,402820,Snow Angels ,2747,Tom Noonan,0,flashback|football game|school|small town|snow,,2007,530,6.9,415
Simeon Rice,6,93,6,Lisa Brave,,Unsullied ,792,Malone Thomas,1,,1500000,2014,191,5.5,307
Brad Anderson,127,100,122,Brendan Sexton III,373967,Session 9 ,469,Larry Fessenden,0,abandoned asylum|abandoned hospital|asbestos|lobotomy|multiple personality,1500000,2001,148,6.5,0
Jeff Garlin,32,80,522,Jeff Garlin,194568,I Want Someone to Eat Cheese With ,2179,Joey Slotnick,0,cheese|city|ice cream|school|second city,1500000,2006,522,6.2,0
Qasim Basir,8,94,13,Nia Long,,Mooz-Lum ,3288,Evan Ross,1,one word title,,2010,826,6.7,0
Adam Green,229,93,134,Kane Hodder,,Hatchet ,3668,Joel Murray,0,bayou|boat|louisiana|swamp|tour,1500000,2006,935,5.7,0
Charles Chaplin,120,87,0,Stanley Blystone,163245,Modern Times ,352,Fred Malatesta,1,actor director writer|invention|machine|music score composed by director|tramp,1500000,1936,8,8.6,0
Pete Jones,31,91,18,Aidan Quinn,119841,Stolen Summer ,3901,Bonnie Hunt,1,catholic|catholicism|rabbi|school|summer,1500000,2002,767,6.5,304
Bruce Campbell,100,84,0,Dan Hicks,173066,My Name Is Bruce ,1238,Timothy Patrick Quill,1,b movie|birthday|chinese|demon|small town,1500000,2007,328,6.3,0
Mark Brown,14,90,7,Monica Calhoun,92362,The Salon ,3138,Garrett Morris,7,,1500000,2005,597,4.3,68
Adam Carolla,14,98,102,Jim O'Heir,105943,Road Hard ,2628,David Alan Grier,0,girl in panties|panties|red panties|stand up comedy,1500000,2015,485,6.1,212
Ira Sachs,39,108,60,Jenny O'Hara,,Forty Shades of Blue ,1240,Darren E. Burrows,0,love|music producer|previous marriage|rock 'n' roll|russian,1500000,2005,189,6.0,216
John Sayles,35,124,407,John Arcilla,183490,Amigo ,60,Ronnie Lazaro,0,american|filipino|friendship|guerrilla army|village,1700000,2010,8,5.8,594
Bruce McDonald,178,95,49,Georgina Reilly,3478,Pontypool ,721,Boyd Banks,0,blood splatter|talk radio|virus|vomiting blood|zombie apocalypse,1500000,2008,98,6.7,0
James Mottern,46,90,7,Joey Lauren Adams,52166,Trucker ,89263,Matthew Lawrence,3,cancer|cigarette smoking|hospital|one night stand|trucker,2000000,2008,781,6.7,371
Jaime Zevallos,,93,228,Jaime Zevallos,,Me You and Five Bucks ,771,Michael Elian,1,,1500000,2015,228,7.6,132
Rob Zombie,234,101,0,Dee Wallace,1163508,The Lords of Salem ,5158,Michael Berryman,1,blood|flashback|radio dj|radio station|vinyl,2500000,2012,725,5.1,15000
Gerard Johnstone,166,107,3,Bruce Hopkins,,Housebound ,165,Cameron Rhodes,3,bloody violence|exploding head|haunted house|plot twist|slapstick,350000,2014,46,6.8,10000
Robert Greenwald,56,20,21,Jon Hunter,,Wal-Mart: The High Cost of Low Price ,0,Matt Hunter,0,greed|pollution|slave labor|truth|wal mart,1500000,2005,0,6.8,0
David Ray,16,87,0,Sarah Lind,,Fetching Cody ,596,Kyla Wise,2,death|high school|prostitute|suicide|time travel,1500000,2005,134,6.8,193
Dave Rodriguez,9,98,11,Michael Rapaport,,Once Upon a Time in Queens ,4036,Paul Sorvino,2,,1500000,2013,975,6.3,283
Nae Caranfil,18,112,34,Joe Armstrong,,Closer to the Moon ,588,Martin Hancock,2,,5000000,2014,98,7.1,0
David Winning,4,82,65,Amber Marshall,,Mutant World ,967,John DeSantis,0,,1500000,2014,265,2.8,236
Frank Lotito,,102,5,Jake Busey,,Growing Up Smith ,4320,Tim Guinee,,adolescence|girl next door|growing vegetables|high standards|sent away,2000000,2015,660,8.2,232
Timothy Woodward Jr.,6,97,764,Johnny Messner,,Checkmate ,2882,Michael Paré,3,,1500000,2015,522,3.1,402
Christopher McQuarrie,387,130,188,Robert Duvall,80033643,Jack Reacher ,16385,David Oyelowo,2,coma|mysterious villain|police chase|shooting range|sniper,60000000,2012,3000,7.0,38000
Tara Subkoff,35,101,37,Balthazar Getty,,#Horror ,1044,Lydia Hearst,1,bullying|cyberbullying|girl|internet|throat slitting,1500000,2015,418,3.3,750
Russell Friedenberg,27,93,9,Glen Powell,,Wind Walkers ,2870,Kiowa Gordon,,after dark horrorfest,2000000,2015,571,3.6,135
William Cottrell,145,83,0,Billy Gilbert,184925485,Snow White and the Seven Dwarfs ,229,Lucille La Verne,1,dwarf|love|princess|queen|snow white,2000000,1937,47,7.7,0
Lucrecia Martel,78,106,33,Mercedes Morán,304124,The Holy Girl ,358,María Alche,0,16 year old|doctor|hotel|tinnitus|title directed by female,1400000,2004,5,6.7,57
Edward Dmytryk,10,113,74,Woody Strode,,Shalako ,2140,Honor Blackman,2,bare chested male bondage|european|female frontal nudity|topless woman|war paint,1455000,1968,423,5.5,209
Zak Penn,60,94,87,Gabriel Beristain,36830,Incident at Loch Ness ,256,John Bailey,0,boat|director|loch ness|loch ness monster|monster,1400000,2004,70,6.6,400
Alex Ranarivelo,9,101,20,Christina Moore,,The Dog Lover ,2419,Cullen Douglas,,,2000000,2016,301,4.8,724
Jon Knautz,63,99,10,Adam DiMarco,,Girl House ,2072,Chasty Ballesteros,0,college student|disfigured face|house|suicide|website,3150000,2014,382,5.5,969
Mathieu Amalric,92,76,412,Léa Drucker,231186,The Blue Room ,421,Laurent Poitrenaux,0,male pubic hair|manipulative personality|murder of wife|neglected wife|pubic hair,,2014,4,6.3,389
David Worth,4,91,58,Jonathan Mangum,,House at the End of the Drive ,1159,Angela Jones,0,ghost story|manson family|paranormal|real life event|reference to sharon tate,1400000,2014,147,6.9,223
Leslie H. Martinson,53,105,7,Cesar Romero,,Batman: The Movie ,2658,Burt Ward,1,black cat|catwoman|dc comics|penguin|riddler,1377800,1966,370,6.5,0
Guy Ritchie,116,120,0,Jason Flemyng,3650677,"Lock, Stock and Two Smoking Barrels ",28294,Dexter Fletcher,1,antique|cockney accent|hatchet|money|shotgun,960000,1998,1000,8.2,21000
Robert M. Young,,105,0,Bruce McGill,,The Ballad of Gregorio Cortez ,3164,Ned Beatty,0,,1250000,1982,655,7.1,32
,13,120,,Michael Douglas,,The Streets of San Francisco             ,416,,0,city name in series title|homicide|older man younger man relationship|place in series title|police partner,,,0,7.3,533
Thomas Vinterberg,98,105,346,Paprika Steen,1647780,The Celebration ,821,Trine Dyrholm,1,dogme 95|family secret|haunted by the past|secret|speech,1300000,1998,278,8.1,5000
Steve Buscemi,43,95,12000,Debi Mazar,695229,Trees Lounge ,14420,Carol Kane,1,alcoholic drink|bar|drink|drinking|drunk,1300000,1996,680,7.2,872
Ham Tran,15,135,5,Kieu Chinh,638951,Journey from the Fall ,83,Cat Ly,2,1970s|1980s|nonlinear timeline|rescue|vietnam war,1592000,2006,24,7.4,100
Rich Cowan,14,105,7,Karen Allen,609042,The Basket ,3475,Peter Coyote,2,basketball|german immigrant|opera|two word title|war orphan,1300000,1999,783,6.5,117
Boris Rodriguez,56,83,5,Thure Lindhardt,1521,Eddie: The Sleepwalking Cannibal ,843,Georgina Reilly,0,art teacher|cannibal|inspiration|painter|sleepwalking,1500000,2012,197,5.7,932
Harold Becker,79,111,17,Miko Hughes,32940507,Mercury Rising ,16537,Carrie Preston,1,autistic child|boy|child in danger|fbi|nsa,60000000,1998,969,6.1,0
,8,60,,Tucker Smallwood,,Space: Above and Beyond             ,611,Kristen Cloke,0,alien|born in vitro|in vitro fertilization|marine|outer space,5000000,,121,7.7,963
Sadyk Sher-Niyaz,16,135,135,Aziz Muradillayev,,Queen of the Mountains ,0,Mirlan Abdulayev,1,19th century|central asia|mother son relationship|ruler|russian empire,1400000,2014,0,8.7,0
Paul Donovan,18,88,4,Lenore Zann,,Def-Con 4 ,289,Tim Choate,0,canuxploitation|independent film|post apocalypse|remake|survival,1750000,1985,23,4.3,220
Jonathan Kesselman,35,87,4,Adam Goldberg,19539,The Hebrew Hammer ,6227,Tony Cox,1,blaxploitation|hanukkah|jewish|kwanzaa|santa claus,1000000,2003,1000,6.2,3000
Arjun Sablok,5,97,0,Uday Chopra,100358,Neal 'N' Nikki ,602,Samantha McLeod,2,interrupted sex|kiss|love|mistaken sex scene|sex in car,1500000,2005,145,3.3,66
Craig Moss,16,82,19,Bryan Callen,,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,1499,Matt Crabtree,3,masturbation|porn actor in mainstream movie|sex|spoof|virginity,1300000,2010,460,2.7,0
Tyler Oliver,24,103,0,Chloe Bridges,,Forget Me Not ,38121,Christopher Atkins,1,,1300000,2009,516,5.2,969
Alfred Hitchcock,144,130,13000,Joan Fontaine,,Rebecca ,2888,George Sanders,2,death|estate|housekeeper|love|monte carlo,1288000,1940,991,8.2,0
Steve Miner,242,87,49,Adrienne King,19100000,Friday the 13th Part 2 ,707,Amy Steel,0,ice pick|jason voorhees|lake|pitchfork|shack,1250000,1981,121,6.1,0
Billy Wilder,97,101,0,Jane Wyman,,The Lost Weekend ,581,Frank Faylen,4,addiction|alcoholic|alcoholism|paranoia|suicidal thoughts,1250000,1945,160,8.0,0
Douglas Cheek,77,96,4,John Heard,,C.H.U.D. ,1866,Sam McMurray,0,bum|city|mutant|new york city|street,1250000,1984,697,5.5,0
Youssef Delara,16,80,8,Jenni Rivera,2833383,Filly Brown ,2459,Jorge Diaz,1,,427000,2012,245,5.7,0
Deryck Broom,7,87,11,Omar Benson Miller,,The Lion of Judah ,1730,Anupam Kher,0,animal|donkey|lamb|pig|rooster,15000000,2011,418,3.7,381
Henry Hathaway,74,92,83,Jean Peters,,Niagara ,683,Will Wright,0,hitchcockian|husband murders wife|murder|niagara falls|overhead shot,1250000,1953,79,7.1,1000
John Ford,74,118,673,Walter Pidgeon,,How Green Was My Valley ,1129,Barry Fitzgerald,5,coal mine|girl|school|village|wales,1250000,1941,176,7.8,0
,19,27,,Riley Keough,,The Girlfriend Experience             ,1961,Paul Sparks,0,escort|female nudity|friendship|money|sex scene,,,691,7.3,632
Spike Lee,46,123,0,Elvis Nolasco,,Da Sweet Blood of Jesus ,4040,Felicia Pearson,0,horror movie remake|remake|undead|undead sex|undead sexuality,1420000,2014,372,4.1,447
Steven Soderbergh,58,100,0,Laura San Giacomo,24741700,"Sex, Lies, and Videotape ",1431,Steven Brill,2,affair|interview|marriage|sex|videotape,1200000,1989,531,7.2,2000
James Wan,287,103,0,Monica Potter,55153403,Saw ,5161,Shawnee Smith,0,chained|flashback|killer|serial killer|surprise ending,1200000,2004,878,7.7,0
Jay Chandrasekhar,100,100,422,Daniel von Bargen,18488314,Super Troopers ,2893,Jay Chandrasekhar,0,drugs|highway|police|state trooper|vermont,1200000,2001,577,7.1,0
Giovanni Zelko,5,99,4,Harry Lennix,,The Algerian ,20218,Ben Youcef,6,algeria|algerian|los angeles california|muslim,1300000,2014,748,7.6,221
Claudia Sainte-Luce,50,89,0,Vera Wilson,11278,The Amazing Catfish ,58,José Manuel Orozco Angulo,0,actress shares first name with character|appendicitis|hospital|loss of mother|supermarket,1300000,2013,24,7.0,407
Scott Derrickson,276,104,301,Jon Hamm,79363785,The Day the Earth Stood Still ,22194,Juan Riedinger,0,alien|earth|giant robot|military|scientist,80000000,2008,4000,5.5,0
Mira Nair,137,114,300,Randeep Hooda,13876974,Monsoon Wedding ,809,Lillete Dubey,0,arranged marriage|bride|celebration|marriage|wedding,7000000,2001,209,7.4,0
Kenneth Lonergan,122,111,50,Rory Culkin,9180275,You Can Count on Me ,4288,Gaby Hoffmann,0,bank|car accident|cheating husband|new york|single mother,1200000,2000,710,7.7,756
Alfred Hitchcock,73,99,13000,John Forsythe,,The Trouble with Harry ,1041,Royal Dano,0,artist|death|hunting|sheriff|vermont,1200000,1955,255,7.2,0
Paul McGuigan,202,110,118,Morgan Freeman,22494487,Lucky Number Slevin ,26451,Dorian Missick,3,coroner|death|gay son|love|mistaken identity,27000000,2006,11000,7.8,10000
Jamie Babbit,99,85,91,Clea DuVall,2199853,But I'm a Cheerleader ,4289,Eddie Cibrian,1,cheerleader|gay|homosexual|lesbian|lesbian relationship,1200000,1999,1000,6.6,0
David Boyd,10,113,29,Drew Waters,2859955,Home Run ,2681,Scott Elrod,2,addiction|alcoholic|baseball|car accident|reference to god,1200000,2013,848,6.0,0
Quentin Tarantino,173,99,16000,Steve Buscemi,2812029,Reservoir Dogs ,28994,Chris Penn,0,gang|heist|heist gone wrong|nonlinear timeline|robbery,1200000,1992,12000,8.4,19000
Walter Lang,7,83,9,Nigel Bruce,,The Blue Bird ,293,Gale Sondergaard,1,1800s|bird|blue bird of happiness|foreign language adaptation|past,,1940,62,6.5,548
Sergio Leone,181,142,0,Luigi Pistilli,6100000,"The Good, the Bad and the Ugly ",16089,Enzo Petito,3,civil war|hitman|outlaw|shootout|spaghetti western,1200000,1966,34,8.9,20000
Anna Muylaert,111,112,9,Regina Casé,375723,The Second Mother ,76,Luis Miranda,1,brazil|exam|housekeeper|northeast region of brazil|portuguese language,4000000,2015,9,7.9,0
Steve Taylor,38,108,14,Marshall Allman,594904,Blue Like Jazz ,1805,Eric Lange,0,church|college|color in title|philosophy|texas,1200000,2012,330,6.0,0
Kurt Voss,12,88,0,Coyote Shivers,58936,Down and Out with the Dolls ,318,Zoë Poledouris,0,female bassist|female drummer|female guitarist|female singer|portland oregon,1200000,2001,44,6.1,27
Léa Pool,23,97,4,,24784,"Pink Ribbons, Inc. ",0,,0,breast cancer|comma in title|period in title|punctuation in title|three word title,1200000,2011,,7.4,5000
James David Pasternak,17,85,0,Sarah Silverman,7826,Certifiably Jonathan ,54484,Jonathan Winters,10,las vegas nevada|museum|reference to mr. rogers|reference to vincent van gogh|talking about suicide,1200000,2007,931,6.2,87
Laurent Bouhnik,9,103,0,Johnny Amaro,,Q ,114,Yassine Azzouz,1,female explicit nudity|hand job|oral sex|penetration|unsimulated sex,1500000,2011,29,5.6,754
Tom Sanchez,1,110,0,Antonio Arrué,3830,The Knife of Don Juan ,5,Juan Carlos Montoya,3,,1200000,2013,2,7.2,75
David Caffrey,51,88,4,Scott Adsit,,Grand Theft Parsons ,1438,Jim Cody Williams,1,guitar|hearse|manager|musician|singer,,2003,316,6.1,480
Adam Jay Epstein,14,76,0,Denise Boutte,,Extreme Movie ,1190,Vanessa Lee Chester,6,box office flop|female frontal nudity|pink bra and panties|red bra and panties|sex,,2008,295,3.8,636
Michael Curtiz,24,100,345,David Niven,,The Charge of the Light Brigade ,1621,Spring Byington,3,attack|fort|india|lancer|massacre,1200000,1936,490,7.1,204
Justin Thomas Ostensen,18,99,0,Kristin Booth,,Below Zero ,862,Michael Eisner,2,,1200000,2011,134,4.5,161
Brenton Spencer,22,84,0,Victor Zinck Jr.,,Crowsnest ,630,Chelsey Reist,0,forest|found footage|lost|murder|road trip,1200000,2012,91,3.8,238
Rob Bowman,9,91,38,Jacob Vargas,2850263,Airborne ,1218,Brittney Powell,0,cincinnati ohio|high school|hockey|jock strap|zoologist,2600000,1993,399,6.2,0
Ossie Davis,30,97,282,Cleavon Little,,Cotton Comes to Harlem ,1581,Calvin Lockhart,1,black cop|chase|cotton|four word title|new york city,1200000,1970,434,6.6,477
Jay Alaimo,9,84,2,Sabrina Carmichael,,The Wicked Within ,11257,Patrick Muldoon,0,after dark horrorfest,1200000,2015,500,4.6,479
Dylan Bank,7,100,0,Deirdre Lorenz,,Bleeding Hearts ,1810,Dustin Diamond,1,bare breasts|bra and panties|nudity|syringe,1200000,2015,350,4.2,242
Rob McKittrick,91,94,6,Dane Cook,16101109,Waiting... ,19957,Vanessa Lengies,3,cook|dishwasher|flashing|male frontal nudity|waiter,3000000,2005,1000,6.8,0
Shane Meadows,99,90,222,Gary Stretch,6013,Dead Man's Shoes ,1311,George Newton,0,anger|army veteran|independent film|revenge|sex scene,695393,2004,404,7.7,0
,2,,,John Jarratt,,Wolf Creek             ,1617,Lucy Fry,0,based on true story|blood|serial killer|slasher|tv mini series,,,457,7.1,954
Jeff Burr,57,92,155,Clu Gulager,1400000,From a Whisper to a Scream ,1329,Susan Tyrrell,0,bathtub|cult film|neck breaking|tennessee|wraparound story,1100000,1987,426,5.9,241
Harry Gantz,12,105,0,,247740,Sex with Strangers ,0,,0,bisexual|explicit sex|sex|stranger|swing,,2002,,4.7,51
Guy Maddin,58,73,126,CindyMarie Small,39659,Dracula: Pages from a Virgin's Diary ,21,Brent Neale,1,ballet|cult film|dance|dracula|gothic,1600000,2002,4,7.0,131
Regardt van den Bergh,5,116,12,Frank Rautenbach,,Faith Like Potatoes ,521,Jeanne Neilson,2,food|food in title|potato,10000000,2006,48,6.9,0
Panos Cosmatos,97,110,22,Marilyn Norry,56129,Beyond the Black Rainbow ,645,Eva Bourne,1,exploitation|four word title|hallucinogen|lynchian|telepathy,1100000,2010,95,6.1,0
Gareth Evans,481,102,338,Yayan Ruhian,4105123,The Raid: Redemption ,1445,Donny Alamsyah,0,apartment|drug lord|gangster|police|swat team,1100000,2011,342,7.6,51000
Matthew R. Anderson,17,89,252,Vernon Wells,,The Dead Undead ,2510,Matthew R. Anderson,1,flashback|immortality|rural setting|vampire|zombie,1100000,2010,745,3.0,444
Joe Marino,9,76,0,Anella Vastola,,The Vatican Exorcisms ,12,Joe Marino,0,,1100000,2013,0,2.6,200
Michael Curtiz,242,82,345,Claude Rains,,Casablanca ,3442,Conrad Veidt,4,american expatriate|casablanca morocco|gestapo|police|visa,950000,1942,607,8.6,23000
Joel Anderson,95,89,0,Rosie Traynor,,Lake Mungo ,29,Martin Sharpe,0,ghost|lake|parapsychologist|psychic|secret,1400000,2008,5,6.1,0
Shimit Amin,14,150,6,Shazahn Padamsee,,Rocket Singh: Salesman of the Year ,1052,Gauhar Khan,1,boss|computer|honesty|sales|salesman,,2009,22,7.5,773
Douglas Trumbull,87,89,136,Ron Rifkin,,Silent Running ,1080,Jesse Vint,1,forest|greenhouse|plant|robot|space,1000000,1972,184,6.7,0
John G. Avildsen,141,145,80,Burgess Meredith,117235247,Rocky ,16094,Carl Weathers,0,boxer|hometown hero|philadelphia pennsylvania|protective male|training,960000,1976,1000,8.1,0
Mona Fastvold,16,91,2,Brady Corbet,,The Sleepwalker ,622,Gitte Witt,1,female nudity|male nudity|male rear nudity|nudity,1100000,2014,287,4.9,234
John Carpenter,212,89,0,Hal Holbrook,21378000,The Fog ,4878,Janet Leigh,0,california|fog|leper|lighthouse|ship,1000000,1980,826,6.8,7000
Tony Richardson,30,121,62,Susannah York,,Tom Jones ,1371,Hugh Griffith,1,18th century|rags to riches|secret letter|squire|tutor,1000000,1963,269,6.8,328
Levan Gabriadze,270,83,6,Renee Olstead,31537320,Unfriended ,1565,Heather Sossaman,0,blender|computer screen|secret|skype|webcam,1000000,2014,305,5.7,13000
Martin Scorsese,211,110,17000,Albert Brooks,,Taxi Driver ,23525,Peter Boyle,1,loner|neo noir|night shift|taxi driver|vigilante,1300000,1976,745,8.3,35000
Joe Dante,161,91,287,Robert Picardo,17986000,The Howling ,4438,Dee Wallace,0,1980s|forest|lycanthrope|shapeshifting|werewolf transformation,1000000,1981,823,6.6,0
Terence Young,184,110,92,Jack Lord,16067035,Dr. No ,1421,Lois Maxwell,4,british secret service|hand to hand combat|murder|official james bond series|terrorist plot,1100000,1962,275,7.3,5000
Bradley Parker,270,86,18,Ingrid Bolsø Berdal,18112929,Chernobyl Diaries ,2665,Jonathan Sadowski,0,abandoned building|chernobyl disaster|exploration|tour guide|van,1000000,2012,466,5.0,24000
Clive Barker,203,86,385,Ashley Laurence,14564027,Hellraiser ,673,Clare Higgins,0,blood|cenobites|creature|demon|male full frontal nudity,1000000,1987,209,7.0,0
Harold Cronk,29,120,18,Robin Givens,20773070,God's Not Dead 2 ,1810,Maria Canals-Barrera,11,alternate universe|christian|christian film|christianity|manipulation,5000000,2016,420,3.4,0
Jeff Wadlow,137,90,65,Gary Cole,10042266,Cry_Wolf ,3155,Lindy Booth,0,e mail|game|school|serial killer|student,1000000,2005,989,5.9,816
Takao Okawara,107,99,2,Naomi Nishida,10037390,Godzilla 2000 ,53,Sakae Kimura,0,godzilla|kaiju|monster|orga|ufo,1000000000,1999,3,6.0,339
Derek Cianfrance,377,112,310,Mike Vogel,9701559,Blue Valentine ,35941,John Doman,0,dog hit by a car|dysfunctional family|falling in love|female in shower|unhappily married woman,3500000,2010,2000,7.4,25000
