duration,actor_3_facebook_likes,actor_2_name,gross,actor_1_name,num_voted_users,facenumber_in_poster,plot_keywords,language,content_rating,title_year,aspect_ratio
124,197,Robert Wagner,8427204,Willie Garson,10100,0,boxing movie|friendship|highway travel|male rear nudity|road movie,English,R,1999,2.35
89,847,Busy Philipps,9639242,Olivia Munn,16437,0,black comedy|delivery boy|dinner|gym|punishment,English,PG-13,2011,1.85
88,847,Kelly Brook,25003072,Adam Scott,72552,0,bloody water|boat|party|piranha|spring break,English,R,2010,2.35
118,286,Bob Hoskins,6144806,Kevin Spacey,12821,1,bobby darin|career|love|marriage|sandra dee,English,PG-13,2004,2.35
93,254,M.C. Gainey,4308981,Paul Walker,2265,2,accidental kiss|eating a worm|park|worm|yellowstone national park,English,PG,1998,
80,73,Kenneth Williams,669276,Donald Pleasence,2541,0,cobbler|desert|gold|princess|thief,English,G,1993,2.35
120,382,F. Murray Abraham,42880,Robert De Niro,2919,3,bridge|friar|inquisition|peru|rope bridge,English,PG,2004,1.85
98,706,Tom Berenger,23225911,Dwayne Johnson,80574,1,gun|prison|reference to god|reference to jesus christ|vengeance,English,R,2010,2.35
119,422,Blythe Danner,4710455,Christian Bale,214091,0,anime|castle|demon|steampunk|witch,Japanese,PG,2004,1.85
88,11,Bill Murray,75590286,Emma Stone,386217,4,amusement park|on the road|zombie|zombie apocalypse|zombie spoof,English,R,2009,2.35
201,84,Thomas Kretschmann,218051260,Naomi Watts,316020,0,animal name in title|ape abducts a woman|gorilla|island|king kong,English,PG-13,2005,2.35
90,427,Clint Howard,161487252,Adam Sandler,119450,0,coach|college|college football|domineering mother|football,English,PG-13,1998,1.85
127,441,Kenny Baker,290158751,Harrison Ford,837759,0,duel|famous twist|rebel|rescue|snowy landscape,English,PG,1980,2.35
119,244,Tchéky Karyo,65807024,Will Smith,172405,0,drugs|heroin|murder|police|witness,English,R,1995,1.85
85,144,Priscilla Presley,86930411,George Kennedy,83269,6,american president|evil industrialist|ex girlfriend|political leader|president,English,PG-13,1991,1.85
98,591,Brendan Fehr,53302314,Daniel Roebuck,181058,1,dead teenager|death|explosion|premonition|teenager,English,R,2000,1.85
101,1000,Philip Seymour Hoffman,40962534,Ryan Gosling,188652,1,governor|intern|manager|ohio|politics,English,R,2011,2.35
112,787,Radha Mitchell,39235088,Vin Diesel,193962,0,captain|darkness|eclipse|space|survival,English,R,2000,2.35
97,99,Ellen Barkin,27338033,Hugh Jackman,19709,3,apartment|girl in panties|roommate|thong panties|upskirt,English,PG-13,2001,1.85
126,105,Brian Johnson,25556065,Scarlett Johansson,355126,1,divorce|female frontal nudity|future|loneliness|operating system,English,R,2013,1.85
106,141,Taron Egerton,15785632,Hugh Jackman,32513,3,1988 winter olympics|coach|ski jumper|winter|winter olympics,English,PG-13,2016,2.35
97,62,Jessica Bowman,21973182,Paul Walker,53415,2,embarrassing male nudity|embarrassing nudity|male nudity|truck|truck driver,English,R,2001,2.35
100,88,Keeley Hawes,4756,Ioan Gruffudd,4191,4,based on novel|drowning|hanging from a flagpole|hanging from a rope|magic,English,PG,2013,2.35
114,407,Eva Amurri Martino,18653615,Natalie Portman,14786,2,family relationships|female protagonist|nubile woman|policeman|teenager,English,PG-13,1999,2.35
101,120,Stark Sands,12189514,Annabella Sciorra,30092,0,first daughter|photographer|prague|president|secret service agent,English,PG-13,2004,2.35
88,249,Dan Hedaya,13019253,Seymour Cassel,3914,4,beach|drug lord|drugs|hotel|stripper,English,PG-13,2000,1.85
93,947,Michael Fassbender,18934858,Channing Tatum,72646,5,die hard scenario|one woman army|rescue|soldier|super soldier,English,R,2011,2.35
92,434,Mario Van Peebles,20763013,Judith Barsi,30840,0,banana boat|boat|christmas|sea|shark,English,PG-13,1987,2.35
98,11000,Robert De Niro,12782508,Leonardo DiCaprio,20163,2,house|leukemia|mental institution|nursing home|transplant,English,PG-13,1996,1.85
94,424,Dash Mihok,11508423,Tasha Smith,3174,2,absent father|american football|based on true story|middle school,English,PG,2008,2.35
102,57,Ian Hart,10660147,Stephen Rea,17740,0,breasts|jealousy|obsession|sex scene|spiritual,English,R,1999,1.85
98,982,Tia Carrere,7434726,Vanessa Williams,14473,2,bar|biker|cowboy|drugs|marlboro,English,R,1991,1.85
121,883,Charlize Theron,6777589,James Franco,60115,2,detective|iraq|military|murder investigation|police,English,R,2007,2.35
111,64,Benoît Poelvoorde,6109075,Alessandro Nivola,32003,1,baron|fashion|hat|nickname|orphanage,French,PG-13,2009,2.35
90,720,Landon Liboiron,,Demi Moore,4693,1,,English,R,2015,2.35
100,30,Iben Hjejle,2708188,Tom Burke,8924,1,age difference|courtesan|mansion|marriage|prostitute,English,R,2009,2.35
50,543,Sarah Carter,,Cole Hauser,1781,0,cheating wife|extramarital affair|female lead|undercover|unfaithfulness,English,,,
141,73,Roger Lloyd Pack,16123851,Romola Garai,17373,2,aristocrat|english|painter|painting|singer,English,PG-13,2004,2.35
139,107,Simon Yam,,Bingbing Fan,6263,0,giant|hong kong|hook and chain|knife fight|martial artist,Mandarin,,2009,2.35
114,23,Kim Thomson,71975611,Drew Powell,209396,0,book|debunking|evil|hotel|paranormal phenomena,English,PG-13,2007,2.35
96,542,Dick Van Patten,38119483,Joan Rivers,136667,2,parody|planet enclosed within shield|sci fi spoof|self referential|winnebago,English,PG,1987,1.85
111,234,Ryan Corr,4190530,Cem Yilmaz,53341,0,australian|battle|battle of gallipoli|gallipoli|world war one,English,R,2014,2.35
127,71,Tony Goldwyn,217631306,Demi Moore,154199,0,death|film blanc|invisibility|love|unrequited love,English,PG-13,1990,1.85
107,743,Lin Shaye,176483808,Sarah Silverman,247289,1,accident|curtain call|dream girl|high school|prom,English,R,1998,1.85
97,595,Eric Lloyd,144833357,Judge Reinhold,64742,0,1990s|christmas|christmas eve|sleigh|surrealism,English,PG,1994,1.85
127,1000,Jay Hernandez,75597042,Dennis Quaid,26434,0,baseball|coach|high school|pitching|texas,English,G,2002,2.35
110,835,Kyra Sedgwick,90636983,Dwayne Johnson,44021,0,family relationships|football movie|publicist|sports team|tween girl,English,PG,2007,2.35
135,86,Meryl Streep,70960517,Clint Eastwood,54631,0,1960s|bridge|housewife|love|photographer,English,PG-13,1995,1.85
84,182,Michael Papajohn,55762229,Louis Lombardi,47383,1,camera focus on a female butt|cartoon on tv|forest|hairy buttocks|seal the animal,English,PG-13,2001,1.85
240,249,Amrish Puri,,Candice Bergen,171726,0,british|india|indian|muslim|pakistan,English,PG,1982,2.35
122,171,Charlotte Le Bon,54235441,Manish Dayal,52894,3,chef|haute cuisine|indian cuisine|michelin guide|restaurant,English,PG,2014,2.35
114,287,Jeremy Northam,50728000,Ken Howard,48909,0,chat room|computer|computer hacker|identity|identity theft,English,PG-13,1995,1.85
132,506,Loretta Devine,40270895,Dianne Wiest,121937,0,child custody|custody battle|disability|mentally impaired man|single father,English,PG-13,2001,1.85
170,55,Amber Rose Revah,59696176,Roma Downey,15448,1,bare chested male bondage|crucifixion|loincloth|reference to god|resurrection,English,PG-13,2014,2.35
133,105,Kevin Grevioux,51483949,Sophia Myles,208092,0,blood|death|hybrid|vampire|werewolf,English,R,2003,2.35
112,218,RZA,36020063,Denis O'Hare,62584,2,drink|hotel|police|staged rape|thief,English,R,2005,2.35
108,690,Joel McHale,33313582,Matt Damon,52888,1,compulsive liar|fbi|informant|investigation|spy,English,R,2009,1.85
115,266,James Frain,25842000,Anthony Hopkins,13455,0,author|book|england|friend|oxford,English,PG,1993,2.35
83,137,Eddie Griffin,22264487,Carlos Ponce,41239,0,dolphin|gigolo|pimp|serial killer|villain arrested,English,R,2005,1.85
105,110,Bobby Moynihan,30659817,Jack Reynor,59805,10,children|identity|lawsuit|lawyer|sperm donor,English,PG-13,2013,2.35
110,287,Spencer Wilding,5773519,Daniel Radcliffe,28621,2,assistant|experiment|frankenstein|medical student|scientist,English,PG-13,2015,2.35
108,100,Pawel Szajda,3108216,Radivoje Bukvic,2587,2,based on novel|male frontal nudity|male nudity|male rear nudity,English,R,2016,2.35
96,110,Neil Diamond,19351569,Amanda Detmer,33287,1,female nudity|friend|kidnapping|love|nun,English,PG-13,2001,1.85
94,517,Rachael Harris,49002815,Zachary Gordon,15665,2,best friend|camping|country club|no opening credits|summer vacation,English,PG,2012,2.35
142,854,Jennifer Esposito,19283782,Mira Sorvino,31227,0,distrust|fear|murder|neighborhood|new york city,English,R,1999,1.85
104,898,Shannon Elizabeth,30059386,Will Ferrell,128593,5,internet|jay and silent bob|new jersey|orangutan|police,English,R,2001,2.35
136,3000,Steve Buscemi,35799026,Scarlett Johansson,263336,1,clone|environment|escape|island|lottery,English,PG-13,2005,2.35
106,595,Bruce Dern,17951431,Chris Noth,25462,1,car|car accident|death|friend|glass,English,PG-13,2001,2.35
106,1000,Channing Tatum,29997095,Scarlett Johansson,60926,5,50s|film within a film|hollywood|illegitimate pregnancy|twins,English,PG-13,2016,1.85
98,83,Paulo Costanzo,14252830,Rosario Dawson,18900,0,based on tv series|fictional band|girl band|music industry|pop band,English,PG-13,2001,1.85
100,798,James Franco,19783777,Jason Statham,82804,1,biker|biker gang|dea|dea agent|fight,English,R,2013,2.35
95,368,Jim Carter,13555988,Richard E. Grant,7242,1,boy|pushed off a cliff|rat|secret passage|vampire,English,PG,2000,1.85
107,678,Lily Tomlin,12784713,Naomi Watts,56813,11,coincidence|cult film|overalls|suburb|vomiting,English,R,2004,2.35
104,691,Rip Torn,10696210,CCH Pounder,35018,0,android|corporation|ninja|police|robocop,English,PG-13,1993,1.85
104,576,Udo Kier,5974653,Michael Biehn,2253,0,armageddon|battle|end times|reference to satan|sequel,English,PG-13,2001,1.85
143,42,Vernon Dobtcheff,5000000,Rock Hudson,1547,2,crepe suzette|french|mata hari spoof|song|spy,English,G,1970,2.35
77,795,Alex Rocco,9694105,Brendan Fraser,8176,0,gold|gold rush|mirror|police officer|singer,English,PG,1999,2.35
96,150,Noémie Lenoir,16027866,Ed Skrein,26767,0,airfield|car|car stunt|driver|private jet,English,PG-13,2015,2.35
114,567,Jack Davenport,4829497,Johnny Depp,31433,1,ambassador|charles ii|earl|mistress|poet,English,R,2004,2.35
145,104,Sebastian Koch,4398392,Michiel Huisman,59507,1,boat|escape|hiding|nazi|resistance,Dutch,R,2006,2.35
116,140,Dany Boon,1050445,Gary Lewis,21394,0,christmas|no man's land|soldier|trench|world war one,French,PG-13,2005,2.35
