actor_3_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,movie_imdb_link,num_user_for_reviews,language,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
136,722,Comedy,Sean Pertwee,Stiff Upper Lips ,1477,http://www.imdb.com/title/tt0120210/?ref_=fn_tt_tt_1,21,English,,1998,338,6.4,1.85,109
220,229,Comedy|Romance,Simon Bird,The Inbetweeners             ,1239,http://www.imdb.com/title/tt1220617/?ref_=fn_tt_tt_1,42,English,,,223,8.4,16.0,0
397,883,Comedy|Drama|Romance|Sport,Archie Panjabi,Bend It Like Beckham ,2201,http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1,438,English,3500159,2002,528,6.7,1.85,0
501,688,Drama|Romance,Miguel Ferrer,Sunshine State ,2584,http://www.imdb.com/title/tt0286179/?ref_=fn_tt_tt_1,81,English,5600000,2002,659,6.9,1.85,160
255,592,Action|Sport,Wesley Jonathan,Crossover ,2000,http://www.imdb.com/title/tt0473024/?ref_=fn_tt_tt_1,36,English,5600000,2006,378,2.1,1.85,244
61,634,Action|Comedy,Asin,Khiladi 786 ,1065,http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1,31,Hindi,,2012,284,4.3,,365
6,37,Horror,Jonathan D. Mellor,[Rec] 2 ,73,http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1,148,Spanish,5600000,2009,9,6.6,1.85,4000
10,25,Musical,Kayla Jackson,Standing Ovation ,72,http://www.imdb.com/title/tt1303803/?ref_=fn_tt_tt_1,6,English,,2010,11,3.4,,277
417,1000,Comedy|Crime|Drama,Eileen Brennan,The Sting ,2387,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,252,English,5500000,1973,559,8.3,1.85,0
249,368,Biography|Drama|Sport,Alice Krige,Chariots of Fire ,1651,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,213,English,5500000,1981,303,7.2,1.85,0
476,907,Comedy|Drama|Romance,Cicely Tyson,Diary of a Mad Black Woman ,2723,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,202,English,5500000,2005,637,5.6,1.85,0
35,509,Biography|Drama|Music|Romance,Noah Taylor,Shine ,888,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,104,English,5500000,1996,294,7.7,1.85,0
694,23000,Comedy|Drama|Romance,Joseph Gordon-Levitt,Don Jon ,44265,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1,314,English,3000000,2013,19000,6.6,2.35,33000
258,16000,Mystery|Western,Clint Eastwood,High Plains Drifter ,17599,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,169,English,5500000,1973,742,7.6,2.35,0
722,19000,Comedy|Drama,Scarlett Johansson,Ghost World ,34106,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,488,English,7000000,2001,12000,7.4,1.85,5000
548,14000,Biography|Drama|Romance,Kate Winslet,Iris ,16768,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1,144,English,5500000,2001,1000,7.1,1.85,0
60,113,Comedy|Sci-Fi,Stephen Macht,Galaxina ,396,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,44,English,,1980,110,3.4,2.35,438
57,517,Drama|Music,Jean-Baptiste Maunier,The Chorus ,745,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,110,French,5500000,2004,86,7.9,2.35,0
71,636,Comedy|Drama,Paul Sorvino,Mambo Italiano ,1033,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,67,English,5000000,2003,210,6.7,1.85,352
93,715,Crime|Drama|Mystery|Thriller,Alexis Dziena,Wonderland ,1315,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,153,English,5000000,2003,436,6.6,1.85,1000
388,782,Drama,Ruby Dee,Do the Right Thing ,2892,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,418,English,6500000,1989,652,7.9,1.85,0
781,4000,Comedy|Crime|Drama|Romance|Thriller,Sarah Michelle Gellar,Harvard Man ,6776,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,69,English,5500000,2001,902,4.9,2.35,113
36,232,Comedy|Drama,Jean-Pierre Léaud,Le Havre ,391,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,41,French,3850000,2011,67,7.2,1.85,0
9,56,Crime|Drama|Mystery|Thriller,Philippe Nahon,Irreversible ,118,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1,664,French,,2002,46,7.4,2.35,13000
16,31,Comedy|Drama,Lindsay Kay Hayward,R100 ,81,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,12,Japanese,5500000,2013,17,6.1,1.85,543
199,397,Comedy|Drama|History|Romance,Anupam Kher,Rang De Basanti ,1519,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,321,Hindi,,2006,227,8.4,2.35,0
290,934,Drama,Kim Shaw,Animals ,2030,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1,8,English,,2014,697,6.2,2.35,679
38,472,Action|Comedy|Drama|Thriller,Jim Gaffigan,Salvation Boulevard ,561,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1,31,English,9000000,2011,39,5.3,1.85,1000
139,4000,Comedy|Romance,Jon Hamm,The Ten ,4883,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,117,English,5250000,2007,543,5.0,1.85,915
222,5000,Comedy|Drama,Bob Hoskins,A Room for Romeo Brass ,6111,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,47,English,,1999,680,7.7,1.85,484
27,286,Crime|Drama|Thriller,Aksel Hennie,Headhunters ,385,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,121,Norwegian,30300000,2011,52,7.6,2.39,23000
114,796,Comedy|Horror|Sci-Fi|Thriller,Russell Tovey,Grabbers ,1832,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,70,English,4000000,2012,567,6.3,2.35,11000
149,393,Comedy|Drama|Sport,Campbell Scott,Saint Ralph ,955,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,52,English,6000000,2004,259,7.6,1.85,989
0,631,Drama|Romance,Samantha Morton,Miss Julie ,631,http://www.imdb.com/title/tt2667960/?ref_=fn_tt_tt_1,14,English,5500000,2014,0,5.6,,0
32,208,Drama|Fantasy|Romance,Teresa Wright,Somewhere in Time ,454,http://www.imdb.com/title/tt0081534/?ref_=fn_tt_tt_1,249,English,5100000,1980,191,7.3,1.85,0
47,374,Action|Crime|Drama|Thriller,Abhishek Bachchan,Dum Maaro Dum ,787,http://www.imdb.com/title/tt1618430/?ref_=fn_tt_tt_1,27,Hindi,,2011,282,6.2,,421
482,852,Fantasy|Horror|Thriller,Lin Shaye,Insidious: Chapter 2 ,2975,http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1,269,English,5000000,2013,618,6.6,2.35,35000
651,1000,Horror|Mystery,Emmanuelle Vaugier,Saw II ,4134,http://www.imdb.com/title/tt0432348/?ref_=fn_tt_tt_1,864,English,4000000,2005,654,6.6,1.85,0
82,14000,Drama|Horror|Mystery|Sci-Fi|Thriller,Bradley Cooper,10 Cloverfield Lane ,14504,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,440,English,15000000,2016,338,7.3,2.35,33000
218,608,Comedy|Documentary,Bam Margera,Jackass: The Movie ,1770,http://www.imdb.com/title/tt0322802/?ref_=fn_tt_tt_1,327,English,5000000,2002,362,6.6,1.85,0
300,2000,Horror,Billy Burke,Lights Out ,3344,http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1,95,English,4900000,2016,509,6.9,2.35,0
434,581,Horror,Johanna Braddy,Paranormal Activity 3 ,2371,http://www.imdb.com/title/tt1778304/?ref_=fn_tt_tt_1,314,English,5000000,2011,438,5.8,1.85,24000
704,852,Fantasy|Horror,Lin Shaye,Ouija ,5056,http://www.imdb.com/title/tt1204977/?ref_=fn_tt_tt_1,159,English,5000000,2014,707,4.4,2.35,18000
150,506,Action|Fantasy|Horror|Thriller,John Saxon,A Nightmare on Elm Street 3: Dream Warriors ,1584,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,311,English,4500000,1987,449,6.6,1.85,0
458,1000,Mystery|Thriller,Busy Philipps,The Gift ,3215,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,279,English,5000000,2015,562,7.1,2.35,15000
83,399,Comedy|Drama,Eugenio Derbez,Instructions Not Included ,688,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,81,Spanish,5000000,2013,89,7.6,1.85,14000
113,235,Horror,Matt Shively,Paranormal Activity 4 ,799,http://www.imdb.com/title/tt2109184/?ref_=fn_tt_tt_1,247,English,5000000,2012,119,4.6,1.85,26000
275,726,Drama|History,Richard Burton,The Robe ,1920,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,69,English,5000000,1953,422,6.8,2.2,0
80,462,Comedy|Crime|Mystery,Burt Kwouk,The Return of the Pink Panther ,971,http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1,73,English,5000000,1975,278,7.1,2.35,620
581,40000,Comedy|Fantasy|Horror|Thriller,Johnny Depp,Freddy's Dead: The Final Nightmare ,42002,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1,252,English,8500000,1991,618,4.9,1.85,963
592,9000,Biography|Crime|Drama|Thriller,Charlize Theron,Monster ,11736,http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1,533,English,4500000,2003,844,7.3,1.85,0
51,617,Adventure|Drama|Family|Fantasy|Sci-Fi,James Mason,"20,000 Leagues Under the Sea ",799,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,108,English,5000000,1954,53,7.2,1.37,0
332,510,Fantasy|Horror|Thriller,Richard Cabral,Paranormal Activity: The Marked Ones ,2161,http://www.imdb.com/title/tt2473682/?ref_=fn_tt_tt_1,155,English,5000000,2014,358,5.0,1.78,10000
452,12000,Biography|Drama,Anthony Hopkins,The Elephant Man ,13864,http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1,356,English,5000000,1980,754,8.2,2.35,9000
896,11000,Biography|Drama,Matthew McConaughey,Dallas Buyers Club ,17738,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,340,English,5000000,2013,3000,8.0,2.35,65000
801,10000,Horror|Sci-Fi|Thriller,Olivia Wilde,The Lazarus Effect ,11771,http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1,126,English,3300000,2015,830,5.2,2.35,0
379,716,Mystery|Thriller,Callum Rennie,Memento ,1997,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,2067,English,9000000,2000,651,8.5,2.35,40000
202,972,Horror|Mystery,James Lafferty,Oculus ,2071,http://www.imdb.com/title/tt2388715/?ref_=fn_tt_tt_1,339,English,5000000,2013,407,6.5,2.35,23000
657,1000,Comedy,Ethan Suplee,Clerks II ,2990,http://www.imdb.com/title/tt0424345/?ref_=fn_tt_tt_1,472,English,5000000,2006,898,7.4,1.85,0
34,838,Drama|Music,Julie Walters,Billy Elliot ,1122,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,433,English,5000000,2000,203,7.7,1.85,0
424,7000,Comedy|Drama,Steve Carell,The Way Way Back ,8375,http://www.imdb.com/title/tt1727388/?ref_=fn_tt_tt_1,216,English,5000000,2013,468,7.4,1.85,22000
287,901,Comedy|Drama|Music|Romance,William Schallert,House Party 2 ,2523,http://www.imdb.com/title/tt0102065/?ref_=fn_tt_tt_1,11,English,5000000,1991,413,5.1,1.85,232
75,492,Adventure|Drama|Family|Romance|Western,Tony Bonner,The Man from Snowy River ,854,http://www.imdb.com/title/tt0084296/?ref_=fn_tt_tt_1,56,English,3500000,1982,155,7.3,2.35,0
73,2000,Animation|Comedy|Family,Frank Welker,Doug's 1st Movie ,2908,http://www.imdb.com/title/tt0187819/?ref_=fn_tt_tt_1,18,English,5000000,1999,804,5.0,1.33,122
77,205,Drama,John Beasley,The Apostle ,428,http://www.imdb.com/title/tt0118632/?ref_=fn_tt_tt_1,157,English,5000000,1997,130,7.2,1.85,1000
157,977,Biography|Drama,Faye Dunaway,Mommie Dearest ,2014,http://www.imdb.com/title/tt0082766/?ref_=fn_tt_tt_1,161,English,5000000,1981,485,6.7,1.85,0
1000,11000,Comedy|Drama,Zooey Deschanel,Our Idiot Brother ,15710,http://www.imdb.com/title/tt1637706/?ref_=fn_tt_tt_1,115,English,5000000,2011,3000,6.4,1.85,11000
388,882,Biography|Drama|Sport,William Hurt,Race ,2410,http://www.imdb.com/title/tt3499096/?ref_=fn_tt_tt_1,49,English,,2016,845,7.1,2.35,0
498,1000,Comedy|Drama,Bernie Mac,The Players Club ,2868,http://www.imdb.com/title/tt0119905/?ref_=fn_tt_tt_1,26,English,4500000,1998,597,5.6,1.85,575
697,1000,Drama|Romance|Thriller,Mekhi Phifer,O ,3300,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,153,English,5000000,2001,835,6.2,1.85,0
161,1000,Horror|Mystery|Thriller,Ben Feldman,"As Above, So Below ",1410,http://www.imdb.com/title/tt2870612/?ref_=fn_tt_tt_1,211,English,5000000,2014,200,6.1,1.85,14000
467,1000,Drama|Thriller,Boris Kodjoe,Addicted ,2840,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,33,Spanish,5000000,2014,694,5.2,1.85,0
426,2000,Drama,Jurnee Smollett-Bell,Eve's Bayou ,3843,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1,209,English,6000000,1997,434,7.3,1.85,599
423,17000,Drama,Kristen Stewart,Still Alice ,19673,http://www.imdb.com/title/tt3316960/?ref_=fn_tt_tt_1,195,English,5000000,2014,2000,7.5,1.85,45000
422,535,Drama|History,Gene Tierney,The Egyptian ,2112,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,67,English,5000000,1954,440,6.6,2.55,376
142,13000,Action|Crime|Thriller,Sylvester Stallone,Nighthawks ,14306,http://www.imdb.com/title/tt0082817/?ref_=fn_tt_tt_1,107,English,5000000,1981,970,6.4,1.85,0
65,935,Adventure|Horror,Kane Hodder,Friday the 13th Part VIII: Jason Takes Manhattan ,1327,http://www.imdb.com/title/tt0097388/?ref_=fn_tt_tt_1,291,English,5000000,1989,120,4.5,1.85,1000
249,567,Comedy|Family|Romance,Nia Vardalos,My Big Fat Greek Wedding ,1495,http://www.imdb.com/title/tt0259446/?ref_=fn_tt_tt_1,756,English,5000000,2002,312,6.6,1.85,5000
192,11000,Crime|Drama,James Franco,Spring Breakers ,12306,http://www.imdb.com/title/tt2101441/?ref_=fn_tt_tt_1,561,English,5000000,2012,892,5.3,2.35,25000
141,742,Horror|Thriller,Donald Pleasence,Halloween: The Curse of Michael Myers ,1227,http://www.imdb.com/title/tt0113253/?ref_=fn_tt_tt_1,335,English,5000000,1995,152,4.9,1.85,0
19,269,Adventure|Comedy|Drama|Romance,Maribel Verdú,Y Tu Mamá También ,361,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,385,Spanish,2000000,2001,43,7.7,1.85,0
358,605,Comedy|Horror,Peter Serafinowicz,Shaun of the Dead ,1686,http://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1,859,English,4000000,2004,427,8.0,2.35,19000
664,1000,Drama|Horror|Thriller,Jessica Lowndes,The Haunting of Molly Hartley ,4856,http://www.imdb.com/title/tt1045655/?ref_=fn_tt_tt_1,113,English,5000000,2008,984,3.8,1.85,562
111,11000,Drama|Mystery,Matthew McConaughey,Lone Star ,11400,http://www.imdb.com/title/tt0116905/?ref_=fn_tt_tt_1,173,English,5000000,1996,189,7.6,2.35,0
101,742,Horror|Thriller,Donald Pleasence,Halloween 4: The Return of Michael Myers ,1136,http://www.imdb.com/title/tt0095271/?ref_=fn_tt_tt_1,374,English,5000000,1988,120,5.9,1.85,0
85,690,Horror|Mystery,Thomas F. Wilson,April Fool's Day ,1160,http://www.imdb.com/title/tt0090655/?ref_=fn_tt_tt_1,125,English,5000000,1986,190,6.2,2.35,0
551,801,Comedy|Drama,Steve Guttenberg,Diner ,2943,http://www.imdb.com/title/tt0083833/?ref_=fn_tt_tt_1,87,English,5000000,1982,796,7.2,1.85,0
268,926,Action|Crime|Drama|Thriller|Western,David Carradine,Lone Wolf McQuade ,2383,http://www.imdb.com/title/tt0085862/?ref_=fn_tt_tt_1,65,English,5000000,1983,400,6.3,1.85,0
205,520,Horror|Mystery|Sci-Fi|Thriller,Warren Christie,Apollo 18 ,1520,http://www.imdb.com/title/tt1772240/?ref_=fn_tt_tt_1,323,English,5000000,2011,270,5.2,1.33,0
260,968,Comedy|Drama,Clifton Collins Jr.,Sunshine Cleaning ,2528,http://www.imdb.com/title/tt0862846/?ref_=fn_tt_tt_1,134,English,8000000,2008,934,6.9,2.35,0
13,155,Action|Thriller,Sterling Jerins,No Escape ,259,http://www.imdb.com/title/tt1781922/?ref_=fn_tt_tt_1,214,English,5000000,2015,78,6.8,1.85,16000
826,21000,Action|Adventure|Fantasy,Vanna Bonta,The Beastmaster ,23714,http://www.imdb.com/title/tt0083630/?ref_=fn_tt_tt_1,87,English,8000000,1982,982,6.2,1.85,0
70,746,Drama|History|Romance|War,Gina Lollobrigida,Solomon and Sheba ,1332,http://www.imdb.com/title/tt0053290/?ref_=fn_tt_tt_1,33,English,5000000,1959,333,6.2,2.2,270
355,729,Comedy,Fred Willard,Fifty Shades of Black ,2848,http://www.imdb.com/title/tt4667094/?ref_=fn_tt_tt_1,53,English,5000000,2016,706,3.5,,11000
409,849,Drama|Romance,Eddie Cibrian,Not Easily Broken ,2269,http://www.imdb.com/title/tt0795438/?ref_=fn_tt_tt_1,21,English,8000000,2009,578,6.1,1.85,738
99,998,Drama|Romance|War,Gary Cooper,A Farewell to Arms ,1284,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1,46,English,800000,1932,164,6.6,1.37,213
503,927,Comedy|Romance,Donald Faison,The Perfect Match ,3552,http://www.imdb.com/title/tt4871980/?ref_=fn_tt_tt_1,9,English,5000000,2016,509,4.5,,740
44,93,Action|Adventure|Animation|Family|Sci-Fi,Lara Jill Miller,Digimon: The Movie ,315,http://www.imdb.com/title/tt0259974/?ref_=fn_tt_tt_1,65,English,5000000,2000,45,5.9,1.85,207
797,3000,Comedy|Drama,Macaulay Culkin,Saved! ,5668,http://www.imdb.com/title/tt0332375/?ref_=fn_tt_tt_1,324,English,5000000,2004,835,6.9,1.85,0
21,150,Comedy|Crime|Drama|Mystery|Romance,Marie-Josée Croze,The Barbarian Invasions ,253,http://www.imdb.com/title/tt0338135/?ref_=fn_tt_tt_1,166,French,6000000,2003,28,7.7,2.35,0
136,559,Adventure|Drama|Romance,Robert Shaw,Robin and Marian ,1199,http://www.imdb.com/title/tt0075147/?ref_=fn_tt_tt_1,90,English,5000000,1976,249,6.6,1.85,672
560,847,Horror|Thriller,Brendan Fehr,The Forsaken ,3004,http://www.imdb.com/title/tt0245120/?ref_=fn_tt_tt_1,131,English,5000000,2001,591,5.3,1.85,327
576,11000,Action|Drama|War,Harrison Ford,Force 10 from Navarone ,13591,http://www.imdb.com/title/tt0077572/?ref_=fn_tt_tt_1,80,English,5000000,1978,794,6.3,2.35,729
448,859,Comedy|Drama,Fran Drescher,UHF ,3942,http://www.imdb.com/title/tt0098546/?ref_=fn_tt_tt_1,198,English,5000000,1989,448,7.0,1.85,0
556,2000,Comedy,Linda Cardellini,Grandma's Boy ,5202,http://www.imdb.com/title/tt0456554/?ref_=fn_tt_tt_1,202,English,,2006,936,7.0,2.35,0
572,1000,Comedy|Drama,Natasha Lyonne,Slums of Beverly Hills ,2691,http://www.imdb.com/title/tt0120831/?ref_=fn_tt_tt_1,79,English,5000000,1998,778,6.6,1.85,462
392,973,Western,Claudia Cardinale,Once Upon a Time in the West ,2589,http://www.imdb.com/title/tt0064116/?ref_=fn_tt_tt_1,565,English,5000000,1968,423,8.6,2.35,10000
334,4000,Comedy|Crime|Drama|Thriller,Jon Favreau,Made ,5245,http://www.imdb.com/title/tt0227005/?ref_=fn_tt_tt_1,165,English,5000000,2001,585,6.4,1.85,393
372,18000,Drama|Mystery|Sci-Fi,Kevin Spacey,Moon ,19404,http://www.imdb.com/title/tt1182345/?ref_=fn_tt_tt_1,485,English,5000000,2009,572,7.9,2.35,47000
701,2000,Comedy,Miranda Cosgrove,Keeping Up with the Steins ,5900,http://www.imdb.com/title/tt0415949/?ref_=fn_tt_tt_1,41,English,,2006,847,5.4,1.85,249
0,55,Documentary,Norbert Ferrer,Sea Rex 3D: Journey to a Prehistoric World ,55,http://www.imdb.com/title/tt1529567/?ref_=fn_tt_tt_1,4,English,5000000,2010,0,6.9,1.78,89
395,990,Drama,Bruce Greenwood,The Sweet Hereafter ,2820,http://www.imdb.com/title/tt0120255/?ref_=fn_tt_tt_1,196,English,5000000,1997,900,7.7,2.35,920
32,186,Drama,Lambert Wilson,Of Gods and Men ,416,http://www.imdb.com/title/tt1588337/?ref_=fn_tt_tt_1,89,French,4000000,2010,135,7.2,2.35,0
39,25000,Comedy|Drama,Alan Rickman,Bottle Shock ,25676,http://www.imdb.com/title/tt0914797/?ref_=fn_tt_tt_1,89,English,5000000,2008,579,6.8,2.35,0
83,922,Comedy|Music|Sci-Fi,Cassandra Peterson,Jekyll and Hyde... Together Again ,1324,http://www.imdb.com/title/tt0084171/?ref_=fn_tt_tt_1,32,English,5000000,1982,162,6.2,,323
88,14000,Biography|Crime|Drama|Romance|Thriller,Kate Winslet,Heavenly Creatures ,14574,http://www.imdb.com/title/tt0110005/?ref_=fn_tt_tt_1,265,English,5000000,1994,433,7.4,2.35,0
473,4000,Drama,Hayden Christensen,90 Minutes in Heaven ,6617,http://www.imdb.com/title/tt4337690/?ref_=fn_tt_tt_1,29,English,5000000,2015,849,4.6,2.35,0
939,8000,Comedy|Drama,Will Ferrell,Everything Must Go ,10517,http://www.imdb.com/title/tt1531663/?ref_=fn_tt_tt_1,86,English,5000000,2010,981,6.4,2.35,0
102,624,Comedy|Crime|Drama|Mystery|Thriller,Kim Dickens,Zero Effect ,1209,http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1,151,English,5000000,1998,385,7.0,1.85,507
360,23000,Drama|Thriller,Christian Bale,The Machinist ,24994,http://www.imdb.com/title/tt0361862/?ref_=fn_tt_tt_1,458,English,5000000,2004,1000,7.7,2.35,21000
145,722,Crime|Drama,Dana Delany,Light Sleeper ,1201,http://www.imdb.com/title/tt0102307/?ref_=fn_tt_tt_1,39,English,5000000,1992,280,6.8,1.85,247
688,10000,Biography|Crime|Drama|Mystery|Thriller,Jeremy Renner,Kill the Messenger ,12897,http://www.imdb.com/title/tt1216491/?ref_=fn_tt_tt_1,99,English,5000000,2014,963,7.0,2.35,13000
192,967,Drama,Dianne Wiest,Rabbit Hole ,1582,http://www.imdb.com/title/tt0935075/?ref_=fn_tt_tt_1,144,English,5000000,2010,289,7.0,1.85,0
600,3000,Biography|Crime|Drama|Thriller,Macaulay Culkin,Party Monster ,5185,http://www.imdb.com/title/tt0320244/?ref_=fn_tt_tt_1,158,English,5000000,2003,971,6.3,1.85,0
233,727,Crime|Horror|Music|Thriller,Alia Shawkat,Green Room ,1836,http://www.imdb.com/title/tt4062536/?ref_=fn_tt_tt_1,125,English,5000000,2015,442,7.1,2.35,10000
276,740,Comedy|Drama|Romance,Liza Minnelli,The Oh in Ohio ,1665,http://www.imdb.com/title/tt0422861/?ref_=fn_tt_tt_1,56,English,5000000,2006,625,5.6,2.35,255
361,578,Drama|Mystery|Sci-Fi,Joaquim de Almeida,Atlas Shrugged: Who Is John Galt? ,3382,http://www.imdb.com/title/tt2800038/?ref_=fn_tt_tt_1,56,English,5000000,2014,435,4.4,,0
65,387,Comedy|Crime|Drama,Andrew Wilson,Bottle Rocket ,648,http://www.imdb.com/title/tt0115734/?ref_=fn_tt_tt_1,184,English,7000000,1996,96,7.1,1.85,0
977,10000,Crime|Drama|Thriller,Viggo Mortensen,Albino Alligator ,13718,http://www.imdb.com/title/tt0115495/?ref_=fn_tt_tt_1,69,English,5000000,1996,1000,6.1,2.35,225
14,75,Biography|Drama|History,Akshaye Khanna,"Gandhi, My Father ",172,http://www.imdb.com/title/tt0459293/?ref_=fn_tt_tt_1,25,Hindi,,2007,45,7.4,2.35,133
0,6,Crime|Documentary|War,Jeffrey Frost,Standard Operating Procedure ,6,http://www.imdb.com/title/tt0896866/?ref_=fn_tt_tt_1,22,English,,2008,0,7.5,2.35,489
51,311,Drama,Raymond Burr,Out of the Blue ,498,http://www.imdb.com/title/tt0081291/?ref_=fn_tt_tt_1,27,English,2200000,1980,59,7.2,1.85,274
440,948,Comedy|Horror,Katrina Bowden,Tucker and Dale vs Evil ,2958,http://www.imdb.com/title/tt1465522/?ref_=fn_tt_tt_1,200,English,,2010,779,7.6,2.35,49000
940,3000,Drama|Romance,Adam Scott,"Lovely, Still ",4987,http://www.imdb.com/title/tt1150947/?ref_=fn_tt_tt_1,15,English,5000000,2008,1000,7.3,1.85,777
