director_name,director_facebook_likes,actor_2_name,gross,movie_title,actor_3_name,budget,actor_2_facebook_likes
Benh Zeitlin,188,Gina Montana,12784397,Beasts of the Southern Wild ,Dwight Henry,1800000,458
J. Lee Thompson,88,Paul Williams,,Battle for the Planet of the Apes ,Claude Akins,1800000,356
Maggie Greenwald,9,David Patrick Kelly,3050934,Songcatcher ,Jane Adams,1800000,380
Vera Farmiga,0,Bill Irwin,841206,Higher Ground ,Michael Chernus,,471
Vijay Chandar,0,T.R. Silambarasan,,Vaalu ,Brahmanandam,150000000,77
Morgan Spurlock,293,J.J. Abrams,638476,The Greatest Movie Ever Sold ,Donald Trump,1500000,14000
Jonathan Wacks,0,Gary Farmer,,Ed and His Dead Mother ,Jon Gries,1800000,580
Khyentse Norbu,28,Lhakpa Dorji,505295,Travelers and Magicians ,Sonam Kinga,1800000,0
Ted Post,57,Bruce Dern,,Hang 'Em High ,Alan Hale Jr.,1800000,844
Richard Brooks,174,Jim Backus,,Deadline - U.S.A. ,Kim Hunter,,399
Tony Krantz,15,Tom Cavanagh,,Sublime ,Cas Anvar,1800000,642
Mitchell Altieri,9,Luke Edwards,,A Beginner's Guide to Snuff ,Bree Williamson,,258
W.D. Hogan,4,Keenan Tracey,,Independence Daysaster ,Nicholas Carella,1800000,108
Corey Grant,21,Essence Atkins,,Dysfunctional Friends ,Tatyana Ali,1800000,713
Tom Tykwer,670,Ludger Pistor,7267324,Run Lola Run ,Armin Rohde,3500000,37
Lucky McKee,75,Will Estes,145540,May ,Nora Zehetner,500000,461
Richard Boddington,15,CJ Adams,,Against the Wild ,Erin Pitt,2000000,450
David Hunt,0,Chris Cleveland,,Living Dark: The Story of Ted the Caver ,Circus-Szalewski,1750000,42
Patricia Riggen,36,Eugenio Derbez,12589108,Under the Same Moon ,Kate del Castillo,,399
J. Lee Thompson,88,Gordon Jump,,Conquest of the Planet of the Apes ,John Randolph,1700000,70
Todd Field,143,Sissy Spacek,35918429,In the Bedroom ,Karen Allen,1700000,874
Steven R. Monroe,68,Chad Lindberg,92401,I Spit on Your Grave ,Daniel Franzese,2000000,445
Mark Illsley,3,Illeana Douglas,1943649,Happy, Texas ,Jeremy Northam,1700000,347
Pawel Pawlikowski,84,Natalie Press,992238,My Summer of Love ,Dean Andrews,1700000,46
Ritesh Batra,25,Nimrat Kaur,4231500,The Lunchbox ,Lillete Dubey,1000000,85
Sally Potter,87,Joan Allen,396035,Yes ,Stephanie Leonidas,1000000,805
Frank Capra,964,Ann Miller,,You Can't Take It with You ,Lionel Barrymore,1644736,302
Fred Zinnemann,160,Donna Reed,,From Here to Eternity ,Deborah Kerr,1650000,488
John Ford,673,Ben Johnson,,She Wore a Yellow Ribbon ,Victor McLaglen,1600000,230
Brad J. Silverman,11,Michael Welch,2507106,Grace Unplugged ,Anthony Reynolds,,611
Dave Meyers,11,Clifton Powell,6026908,Foolish ,Marla Gibbs,2000000,469
David M. Matthews,8,Lamman Rucker,2592808,N-Secure ,Tempestt Bledsoe,,607
Nadine Labaki,0,Adel Karam,1060591,Caramel ,Nadine Labaki,1300000,4
Lluís Quílez,0,Pixie Davies,,Out of the Dark ,Alejandro Furth,,51
Eytan Fox,21,Lior Ashkenazi,155972,The Bubble ,Yousef 'Joe' Sweid,1500000,30
Francis Ford Coppola,0,Teri Garr,,The Conversation ,Cindy Williams,1600000,481
Romesh Sharma,0,Revathy,129319,Dil Jo Bhi Kahey... ,Bhoomika Chawla,70000000,96
François Truffaut,0,Jean-Paul Belmondo,26893,Mississippi Mermaid ,Michel Bouquet,1600000,710
Adam Goldberg,1000,Marisa Coughlan,2580,I Love Your Work ,Nicky Katt,1650000,163
Travis Zariwny,4,Gage Golightly,,Cabin Fever ,Samuel Davis,,253
Zack Snyder,0,Kevin Zegers,58885635,Dawn of the Dead ,Mekhi Phifer,26000000,2000
Adrienne Shelly,191,Cheryl Hines,19067631,Waitress ,Eddie Jemison,2000000,541
Newt Arnold,15,Donald Gibb,11806119,Bloodsport ,Ken Siu,1100000,403
Frank Capra,964,Jean Arthur,,Mr. Smith Goes to Washington ,Thomas Mitchell,1500000,319
Larry Clark,184,Leo Fitzpatrick,7417210,Kids ,Justin Pierce,1500000,202
Noah Baumbach,387,Elizabeth Meriwether,7362100,The Squid and the Whale ,Owen Kline,1500000,25
Charles Herman-Wurmfeld,0,Jennifer Westfeldt,7022940,Kissing Jessica Stein ,Brian Stepanek,1000000,321
Yimou Zhang,611,Ni Yan,190666,A Woman, a Gun and a Noodle Shop ,Dahong Ni,,4
John Stockwell,134,T.J. Storm,,Kickboxer: Vengeance ,Sam Medina,17000000,454
Alfred Hitchcock,13000,Rhonda Fleming,,Spellbound ,Leo G. Carroll,1696377,239
Atom Egoyan,460,Mia Kirshner,5132222,Exotica ,Sarah Polley,2000000,971
Vincent Gallo,787,Vincent Gallo,2365931,Buffalo '66 ,Jan-Michael Vincent,1500000,787
James Wan,0,Barbara Hershey,53991137,Insidious ,Philip Friedman,1500000,618
Alex Cox,92,Tracey Walter,,Repo Man ,Miguel Sandoval,1500000,324
Fabián Bielinsky,44,Gastón Pauls,1221261,Nine Queens ,Leticia Brédice,1500000,22
Dror Moreh,4,Yuval Diskin,2408553,The Gatekeepers ,Yaakov Peri,,0
Rebecca Miller,58,Susanna Thompson,712294,The Ballad of Jack and Rose ,Ryan McDonald,1500000,265
Maggie Carey,38,Alia Shawkat,3447339,The To Do List ,Scott Porter,1500000,727
Roger Avary,675,Salvator Xuereb,418953,Killing Zoe ,Jean-Hugues Anglade,1500000,424
Henry Bean,21,Theresa Russell,406035,The Believer ,Summer Phoenix,1500000,243
David Gordon Green,234,Connor Paolo,402820,Snow Angels ,Tom Noonan,,530
Simeon Rice,6,Lisa Brave,,Unsullied ,Malone Thomas,1500000,191
Brad Anderson,122,Brendan Sexton III,373967,Session 9 ,Larry Fessenden,1500000,148
Jeff Garlin,522,Jeff Garlin,194568,I Want Someone to Eat Cheese With ,Joey Slotnick,1500000,522
Qasim Basir,13,Nia Long,,Mooz-Lum ,Evan Ross,,826
Adam Green,134,Kane Hodder,,Hatchet ,Joel Murray,1500000,935
Charles Chaplin,0,Stanley Blystone,163245,Modern Times ,Fred Malatesta,1500000,8
Pete Jones,18,Aidan Quinn,119841,Stolen Summer ,Bonnie Hunt,1500000,767
Bruce Campbell,0,Dan Hicks,173066,My Name Is Bruce ,Timothy Patrick Quill,1500000,328
Mark Brown,7,Monica Calhoun,92362,The Salon ,Garrett Morris,1500000,597
Adam Carolla,102,Jim O'Heir,105943,Road Hard ,David Alan Grier,1500000,485
Ira Sachs,60,Jenny O'Hara,,Forty Shades of Blue ,Darren E. Burrows,1500000,189
John Sayles,407,John Arcilla,183490,Amigo ,Ronnie Lazaro,1700000,8
Bruce McDonald,49,Georgina Reilly,3478,Pontypool ,Boyd Banks,1500000,98
James Mottern,7,Joey Lauren Adams,52166,Trucker ,Matthew Lawrence,2000000,781
Jaime Zevallos,228,Jaime Zevallos,,Me You and Five Bucks ,Michael Elian,1500000,228
Rob Zombie,0,Dee Wallace,1163508,The Lords of Salem ,Michael Berryman,2500000,725
Gerard Johnstone,3,Bruce Hopkins,,Housebound ,Cameron Rhodes,350000,46
Robert Greenwald,21,Jon Hunter,,Wal-Mart: The High Cost of Low Price ,Matt Hunter,1500000,0
David Ray,0,Sarah Lind,,Fetching Cody ,Kyla Wise,1500000,134
Dave Rodriguez,11,Michael Rapaport,,Once Upon a Time in Queens ,Paul Sorvino,1500000,975
Nae Caranfil,34,Joe Armstrong,,Closer to the Moon ,Martin Hancock,5000000,98
David Winning,65,Amber Marshall,,Mutant World ,John DeSantis,1500000,265
Frank Lotito,5,Jake Busey,,Growing Up Smith ,Tim Guinee,2000000,660
Timothy Woodward Jr.,764,Johnny Messner,,Checkmate ,Michael Paré,1500000,522
Christopher McQuarrie,188,Robert Duvall,80033643,Jack Reacher ,David Oyelowo,60000000,3000
Tara Subkoff,37,Balthazar Getty,,#Horror ,Lydia Hearst,1500000,418
Russell Friedenberg,9,Glen Powell,,Wind Walkers ,Kiowa Gordon,2000000,571
William Cottrell,0,Billy Gilbert,184925485,Snow White and the Seven Dwarfs ,Lucille La Verne,2000000,47
Lucrecia Martel,33,Mercedes Morán,304124,The Holy Girl ,María Alche,1400000,5
Edward Dmytryk,74,Woody Strode,,Shalako ,Honor Blackman,1455000,423
Zak Penn,87,Gabriel Beristain,36830,Incident at Loch Ness ,John Bailey,1400000,70
Alex Ranarivelo,20,Christina Moore,,The Dog Lover ,Cullen Douglas,2000000,301
Jon Knautz,10,Adam DiMarco,,Girl House ,Chasty Ballesteros,3150000,382
Mathieu Amalric,412,Léa Drucker,231186,The Blue Room ,Laurent Poitrenaux,,4
David Worth,58,Jonathan Mangum,,House at the End of the Drive ,Angela Jones,1400000,147
Leslie H. Martinson,7,Cesar Romero,,Batman: The Movie ,Burt Ward,1377800,370
Guy Ritchie,0,Jason Flemyng,3650677,Lock, Stock and Two Smoking Barrels ,Dexter Fletcher,960000,1000
Robert M. Young,0,Bruce McGill,,The Ballad of Gregorio Cortez ,Ned Beatty,1250000,655
,,Michael Douglas,,The Streets of San Francisco             ,,,0
Thomas Vinterberg,346,Paprika Steen,1647780,The Celebration ,Trine Dyrholm,1300000,278
Steve Buscemi,12000,Debi Mazar,695229,Trees Lounge ,Carol Kane,1300000,680
Ham Tran,5,Kieu Chinh,638951,Journey from the Fall ,Cat Ly,1592000,24
Rich Cowan,7,Karen Allen,609042,The Basket ,Peter Coyote,1300000,783
Boris Rodriguez,5,Thure Lindhardt,1521,Eddie: The Sleepwalking Cannibal ,Georgina Reilly,1500000,197
Harold Becker,17,Miko Hughes,32940507,Mercury Rising ,Carrie Preston,60000000,969
,,Tucker Smallwood,,Space: Above and Beyond             ,Kristen Cloke,5000000,121
Sadyk Sher-Niyaz,135,Aziz Muradillayev,,Queen of the Mountains ,Mirlan Abdulayev,1400000,0
Paul Donovan,4,Lenore Zann,,Def-Con 4 ,Tim Choate,1750000,23
Jonathan Kesselman,4,Adam Goldberg,19539,The Hebrew Hammer ,Tony Cox,1000000,1000
Arjun Sablok,0,Uday Chopra,100358,Neal 'N' Nikki ,Samantha McLeod,1500000,145
Craig Moss,19,Bryan Callen,,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,Matt Crabtree,1300000,460
Tyler Oliver,0,Chloe Bridges,,Forget Me Not ,Christopher Atkins,1300000,516
Alfred Hitchcock,13000,Joan Fontaine,,Rebecca ,George Sanders,1288000,991
Steve Miner,49,Adrienne King,19100000,Friday the 13th Part 2 ,Amy Steel,1250000,121
Billy Wilder,0,Jane Wyman,,The Lost Weekend ,Frank Faylen,1250000,160
Douglas Cheek,4,John Heard,,C.H.U.D. ,Sam McMurray,1250000,697
Youssef Delara,8,Jenni Rivera,2833383,Filly Brown ,Jorge Diaz,427000,245
Deryck Broom,11,Omar Benson Miller,,The Lion of Judah ,Anupam Kher,15000000,418
Henry Hathaway,83,Jean Peters,,Niagara ,Will Wright,1250000,79
John Ford,673,Walter Pidgeon,,How Green Was My Valley ,Barry Fitzgerald,1250000,176
,,Riley Keough,,The Girlfriend Experience             ,Paul Sparks,,691
Spike Lee,0,Elvis Nolasco,,Da Sweet Blood of Jesus ,Felicia Pearson,1420000,372
Steven Soderbergh,0,Laura San Giacomo,24741700,Sex, Lies, and Videotape ,Steven Brill,1200000,531
James Wan,0,Monica Potter,55153403,Saw ,Shawnee Smith,1200000,878
Jay Chandrasekhar,422,Daniel von Bargen,18488314,Super Troopers ,Jay Chandrasekhar,1200000,577
Giovanni Zelko,4,Harry Lennix,,The Algerian ,Ben Youcef,1300000,748
Claudia Sainte-Luce,0,Vera Wilson,11278,The Amazing Catfish ,José Manuel Orozco Angulo,1300000,24
Scott Derrickson,301,Jon Hamm,79363785,The Day the Earth Stood Still ,Juan Riedinger,80000000,4000
Mira Nair,300,Randeep Hooda,13876974,Monsoon Wedding ,Lillete Dubey,7000000,209
Kenneth Lonergan,50,Rory Culkin,9180275,You Can Count on Me ,Gaby Hoffmann,1200000,710
Alfred Hitchcock,13000,John Forsythe,,The Trouble with Harry ,Royal Dano,1200000,255
Paul McGuigan,118,Morgan Freeman,22494487,Lucky Number Slevin ,Dorian Missick,27000000,11000
Jamie Babbit,91,Clea DuVall,2199853,But I'm a Cheerleader ,Eddie Cibrian,1200000,1000
David Boyd,29,Drew Waters,2859955,Home Run ,Scott Elrod,1200000,848
Quentin Tarantino,16000,Steve Buscemi,2812029,Reservoir Dogs ,Chris Penn,1200000,12000
Walter Lang,9,Nigel Bruce,,The Blue Bird ,Gale Sondergaard,,62
Sergio Leone,0,Luigi Pistilli,6100000,The Good, the Bad and the Ugly ,Enzo Petito,1200000,34
Anna Muylaert,9,Regina Casé,375723,The Second Mother ,Luis Miranda,4000000,9
Steve Taylor,14,Marshall Allman,594904,Blue Like Jazz ,Eric Lange,1200000,330
Kurt Voss,0,Coyote Shivers,58936,Down and Out with the Dolls ,Zoë Poledouris,1200000,44
Léa Pool,4,,24784,Pink Ribbons, Inc. ,,1200000,
James David Pasternak,0,Sarah Silverman,7826,Certifiably Jonathan ,Jonathan Winters,1200000,931
Laurent Bouhnik,0,Johnny Amaro,,Q ,Yassine Azzouz,1500000,29
Tom Sanchez,0,Antonio Arrué,3830,The Knife of Don Juan ,Juan Carlos Montoya,1200000,2
David Caffrey,4,Scott Adsit,,Grand Theft Parsons ,Jim Cody Williams,,316
Adam Jay Epstein,0,Denise Boutte,,Extreme Movie ,Vanessa Lee Chester,,295
Michael Curtiz,345,David Niven,,The Charge of the Light Brigade ,Spring Byington,1200000,490
Justin Thomas Ostensen,0,Kristin Booth,,Below Zero ,Michael Eisner,1200000,134
Brenton Spencer,0,Victor Zinck Jr.,,Crowsnest ,Chelsey Reist,1200000,91
Rob Bowman,38,Jacob Vargas,2850263,Airborne ,Brittney Powell,2600000,399
Ossie Davis,282,Cleavon Little,,Cotton Comes to Harlem ,Calvin Lockhart,1200000,434
Jay Alaimo,2,Sabrina Carmichael,,The Wicked Within ,Patrick Muldoon,1200000,500
Dylan Bank,0,Deirdre Lorenz,,Bleeding Hearts ,Dustin Diamond,1200000,350
Rob McKittrick,6,Dane Cook,16101109,Waiting... ,Vanessa Lengies,3000000,1000
Shane Meadows,222,Gary Stretch,6013,Dead Man's Shoes ,George Newton,695393,404
,,John Jarratt,,Wolf Creek             ,Lucy Fry,,457
Jeff Burr,155,Clu Gulager,1400000,From a Whisper to a Scream ,Susan Tyrrell,1100000,426
Harry Gantz,0,,247740,Sex with Strangers ,,,
Guy Maddin,126,CindyMarie Small,39659,Dracula: Pages from a Virgin's Diary ,Brent Neale,1600000,4
Regardt van den Bergh,12,Frank Rautenbach,,Faith Like Potatoes ,Jeanne Neilson,10000000,48
Panos Cosmatos,22,Marilyn Norry,56129,Beyond the Black Rainbow ,Eva Bourne,1100000,95
Gareth Evans,338,Yayan Ruhian,4105123,The Raid: Redemption ,Donny Alamsyah,1100000,342
Matthew R. Anderson,252,Vernon Wells,,The Dead Undead ,Matthew R. Anderson,1100000,745
Joe Marino,0,Anella Vastola,,The Vatican Exorcisms ,Joe Marino,1100000,0
Michael Curtiz,345,Claude Rains,,Casablanca ,Conrad Veidt,950000,607
Joel Anderson,0,Rosie Traynor,,Lake Mungo ,Martin Sharpe,1400000,5
Shimit Amin,6,Shazahn Padamsee,,Rocket Singh: Salesman of the Year ,Gauhar Khan,,22
Douglas Trumbull,136,Ron Rifkin,,Silent Running ,Jesse Vint,1000000,184
John G. Avildsen,80,Burgess Meredith,117235247,Rocky ,Carl Weathers,960000,1000
Mona Fastvold,2,Brady Corbet,,The Sleepwalker ,Gitte Witt,1100000,287
John Carpenter,0,Hal Holbrook,21378000,The Fog ,Janet Leigh,1000000,826
Tony Richardson,62,Susannah York,,Tom Jones ,Hugh Griffith,1000000,269
Levan Gabriadze,6,Renee Olstead,31537320,Unfriended ,Heather Sossaman,1000000,305
Martin Scorsese,17000,Albert Brooks,,Taxi Driver ,Peter Boyle,1300000,745
Joe Dante,287,Robert Picardo,17986000,The Howling ,Dee Wallace,1000000,823
Terence Young,92,Jack Lord,16067035,Dr. No ,Lois Maxwell,1100000,275
Bradley Parker,18,Ingrid Bolsø Berdal,18112929,Chernobyl Diaries ,Jonathan Sadowski,1000000,466
Clive Barker,385,Ashley Laurence,14564027,Hellraiser ,Clare Higgins,1000000,209
Harold Cronk,18,Robin Givens,20773070,God's Not Dead 2 ,Maria Canals-Barrera,5000000,420
Jeff Wadlow,65,Gary Cole,10042266,Cry_Wolf ,Lindy Booth,1000000,989
Takao Okawara,2,Naomi Nishida,10037390,Godzilla 2000 ,Sakae Kimura,1000000000,3
Derek Cianfrance,310,Mike Vogel,9701559,Blue Valentine ,John Doman,3500000,2000
Duncan Tucker,2,Felicity Huffman,9013113,Transamerica ,Paul Borghese,1000000,508
William Brent Bell,19,Claudiu Trandafir,53245055,The Devil Inside ,Brian Johnson,1000000,169
Russ Meyer,199,Cynthia Myers,9000000,Beyond the Valley of the Dolls ,Harrison Page,900000,46
Robert D. Webb,0,Neville Brand,,Love Me Tender ,Debra Paget,1000000,110
Davis Guggenheim,49,Al Gore,23808111,An Inconvenient Truth ,,,68
Allan Dwan,23,Richard Jaeckel,,Sands of Iwo Jima ,Forrest Tucker,1000000,102
Martin Scorsese,17000,Keith Richards,5355376,Shine a Light ,Albert Maysles,,426
Eli Roth,0,Richard Burgi,7186670,The Green Inferno ,Magda Apanowicz,6000000,550
Andrew Steggall,0,Alex Lawther,,Departure ,Niamh Cusack,1100000,47
Ben Lewin,20,Adam Arkin,5997134,The Sessions ,Rhea Perlman,1000000,374
Robert Kenner,11,Eric Schlosser,4417124,Food, Inc. ,Barbara Kowalcyk,,3
Andrew Erwin,10,Robert Amaya,5355847,October Baby ,Jason Burkey,,264
Brad Anderson,122,Callie Thorne,3386698,Next Stop Wonderland ,Holland Taylor,1000000,472
Jason Reitman,655,Jennifer Garner,143492840,Juno ,Rainn Wilson,7500000,3000
Craig Johnson,7,Boyd Holbrook,5283379,The Skeleton Twins ,Kathleen Rose Perkins,,439
Sean Durkin,46,Julia Garner,2981638,Martha Marcy May Marlene ,Brady Corbet,,300
Gillian Robespierre,9,Jenny Slate,3122616,Obvious Child ,Jake Lacy,,457
Courtney Hunt,33,Michael O'Keefe,2508841,Frozen River ,Misty Upham,1000000,238
Morgan Neville,9,Lou Adler,4946250,20 Feet from Stardom ,Merry Clayton,1000000,19
James Toback,56,Natasha Gregson Wagner,1950218,Two Girls and a Guy ,Angel David,1000000,104
Nicole Holofcener,132,Anne Heche,1277257,Walking and Talking ,Vincent Pastore,1000000,695
Peter Cattaneo,11,Mark Addy,45857453,The Full Monty ,Lesley Sharp,3500000,891
Chris Paine,2,Phyllis Diller,1677838,Who Killed the Electric Car? ,Colette Divine,1000000,659
Greg Berlanti,112,Nia Long,1744858,The Broken Hearts Club: A Romantic Comedy ,Mary McCormack,1000000,826
Don Coscarelli,152,Ossie Davis,,Bubba Ho-Tep ,Ella Joyce,1000000,282
Rob Letterman,11,Dylan Minnette,80021740,Goosebumps ,Ken Marino,58000000,1000
Marc Levin,12,Saul Williams,982214,Slam ,Bonz Malone,1000000,38
Richard Dutcher,13,Frank Gerrish,798341,Brigham City ,Rick Macy,1000000,81
Khalid Mohamed,10,Manoj Bajpayee,610991,Fiza ,Jaya Bhaduri,1000000,186
Mel Brooks,0,Sid Caesar,,History of the World: Part I ,Dom DeLuise,11000000,898
Trey Parker,406,Dian Bachar,582024,Orgazmo ,Matt Stone,1000000,203
David Gordon Green,234,Paul Schneider,548712,All the Real Girls ,Shea Whigham,2500000,552
Finn Taylor,4,Cathy Moriarty,464655,Dream with the Fishes ,Kathryn Erbe,1000000,394
Karen Moncrieff,22,Agnes Bruckner,464126,Blue Car ,A.J. Buckley,1000000,400
