director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,num_voted_users,actor_3_name,plot_keywords,movie_imdb_link,language,content_rating,budget,title_year,actor_2_facebook_likes,movie_facebook_likes
William Shatner,0,643,Nichelle Nichols,55210049,Action|Adventure|Sci-Fi|Thriller,Leonard Nimoy,43743,Walter Koenig,captain|half brother|klingon|planet|vulcan,http://www.imdb.com/title/tt0098382/?ref_=fn_tt_tt_1,English,PG,27800000,1989,664,0
John Schultz,13,837,Robert Forster,51432423,Comedy|Family|Fantasy|Sport,Brenda Song,15074,Anne Meara,basketball|lightning|nba|orphanage|shoe,http://www.imdb.com/title/tt0308506/?ref_=fn_tt_tt_1,English,PG,30000000,2002,889,1000
Peter Segal,88,348,Fred Ward,51109400,Comedy|Crime,George Kennedy,76850,Priscilla Presley,retirement|spoof|terrorist|transsexual|undercover,http://www.imdb.com/title/tt0110622/?ref_=fn_tt_tt_1,English,PG-13,30000000,1994,459,1000
John Glen,46,433,Alison Doody,50300000,Action|Adventure|Thriller,Patrick Macnee,68565,Tanya Roberts,computer|earthquake|microchip|official james bond series|silicon valley,http://www.imdb.com/title/tt0090264/?ref_=fn_tt_tt_1,English,PG,30000000,1985,439,0
Steve Box,9,100,Geraldine McEwan,56068547,Animation|Comedy|Family|Mystery|Sci-Fi,Mark Gatiss,98160,Peter Sallis,competition|giant vegetable|pest control|stop motion animation|vegetable,http://www.imdb.com/title/tt0312004/?ref_=fn_tt_tt_1,English,G,30000000,2005,269,0
Richard LaGravenese,98,37,Harry Connick Jr.,53680848,Drama|Romance,Gerard Butler,167967,Nellie McKay,birthday|friendship|hairy chest|letter|widow,http://www.imdb.com/title/tt0431308/?ref_=fn_tt_tt_1,English,PG-13,30000000,2007,631,20000
Frederik Du Chau,7,521,Frankie Muniz,49186871,Adventure|Comedy|Drama|Family|Sport,Bruce Greenwood,12570,M. Emmet Walsh,farm|horse|kentucky|racehorse|zebra,http://www.imdb.com/title/tt0376105/?ref_=fn_tt_tt_1,English,PG,,2005,934,771
Joe Wright,456,286,Alfie Allen,50921738,Drama|Mystery|Romance|War,Benedict Cumberbatch,192930,Brenda Blethyn,death of sister|dying|loss of virginity|septicemia|sex,http://www.imdb.com/title/tt0783233/?ref_=fn_tt_tt_1,English,R,30000000,2007,1000,12000
Gary Winick,56,22,Marcia DeBonis,53021560,Comedy|Drama|Romance,Vanessa Redgrave,74630,Luisa Ranieri,chick flick|female protagonist|italian stereotype|man in a swimsuit|verona italy,http://www.imdb.com/title/tt0892318/?ref_=fn_tt_tt_1,English,PG,30000000,2010,60,13000
Ridley Scott,0,237,Ken Takakura,45645204,Action|Crime|Thriller,Stephen Root,39306,Kate Capshaw,counterfeit|detective|japan|police chase|yakuza,http://www.imdb.com/title/tt0096933/?ref_=fn_tt_tt_1,English,R,30000000,1989,255,0
Bobby Farrelly,101,760,Larry David,44328238,Comedy,Kate Upton,25484,Sean Hayes,mule|nun|orphanage|tennis court|the three stooges,http://www.imdb.com/title/tt0383010/?ref_=fn_tt_tt_1,English,PG,,2012,860,13000
Tim Burton,13000,973,Christopher Lee,53337608,Animation|Drama|Family|Fantasy|Musical|Romance,Johnny Depp,188785,Joanna Lumley,arranged marriage|bride|corpse|groom|woods,http://www.imdb.com/title/tt0121164/?ref_=fn_tt_tt_1,English,PG,40000000,2005,16000,0
James Gartner,0,543,Austin Nichols,42643187,Biography|Drama|Sport,Mehcad Brooks,34910,Derek Luke,coach|college basketball|national championship|ncaa|texas,http://www.imdb.com/title/tt0385726/?ref_=fn_tt_tt_1,English,PG,,2006,663,0
Denis Villeneuve,777,219,Bernardo Saracino,46875468,Action|Crime|Drama|Mystery|Thriller,Edgar Arreola,196217,Daniel Kaluuya,critically acclaimed|drug cartel|juarez mexico|u.s. mexico border|war on drugs,http://www.imdb.com/title/tt3397884/?ref_=fn_tt_tt_1,English,R,30000000,2015,221,59000
Antoine Fuqua,845,424,50 Cent,52418902,Drama|Sport,Jake Gyllenhaal,147128,Oona Laurence,boxer|boxing training|death of wife|male in shower|rage,http://www.imdb.com/title/tt1798684/?ref_=fn_tt_tt_1,English,R,30000000,2015,1000,44000
Sam Raimi,0,828,Alison Lohman,42057340,Horror|Thriller,Bojana Novakovic,158354,Reggie Lee,evil|fight|hell|psychic|psychologist,http://www.imdb.com/title/tt1127180/?ref_=fn_tt_tt_1,English,PG-13,30000000,2009,1000,11000
Lee Toland Krieger,43,1000,Michiel Huisman,42478175,Drama|Fantasy|Romance,Harrison Ford,93767,Ellen Burstyn,hit by a pickup truck|immortality|paramedic|resuscitation|san francisco california,http://www.imdb.com/title/tt1655441/?ref_=fn_tt_tt_1,English,PG-13,25000000,2015,2000,34000
Tim McCanlies,23,1000,Robert Duvall,41407470,Comedy|Drama|Family,Haley Joel Osment,43378,Emmanuelle Vaugier,africa|eyeglasses|money|texas|veteran,http://www.imdb.com/title/tt0327137/?ref_=fn_tt_tt_1,English,PG,30000000,2003,3000,0
Jon M. Chu,209,357,Stephen Boss,42385520,Drama|Music|Romance,Alyson Stoner,47297,Facundo Lombard,dance|dance crew|dancer|mortgage|new york city,http://www.imdb.com/title/tt1193631/?ref_=fn_tt_tt_1,English,PG-13,30000000,2010,594,16000
John Stockwell,134,64,Mika Boorem,40118420,Drama|Romance|Sport,Faizon Love,26066,Sanoe Lake,bikini|female surfer|sister sister relationship|surfing contest|swimsuit,http://www.imdb.com/title/tt0300532/?ref_=fn_tt_tt_1,English,PG-13,30000000,2002,495,0
Marc Forster,395,77,Christian Stolte,40137776,Comedy|Drama|Fantasy|Romance,Will Ferrell,186977,Danny Rhodes,author|fate|novelist|professor|writer,http://www.imdb.com/title/tt0420223/?ref_=fn_tt_tt_1,English,PG-13,38000000,2006,189,13000
David Slade,171,63,Mark Rendall,39568996,Horror,Danny Huston,138435,Megan Franich,alaska|small town|snow|vampire|winter,http://www.imdb.com/title/tt0389722/?ref_=fn_tt_tt_1,English,R,32000000,2007,72,0
Drew Goddard,246,751,Bradley Whitford,42043633,Fantasy|Horror|Mystery|Thriller,Chris Hemsworth,277172,Kristen Connolly,cabin in the woods|dark humor|hatchet|killed in an elevator|robot,http://www.imdb.com/title/tt1259521/?ref_=fn_tt_tt_1,English,R,30000000,2012,821,66000
Jason Friedberg,82,362,Diedrich Bader,38232624,Comedy,Carmen Electra,88518,Method Man,king|persian|spartan|training|xerxes,http://www.imdb.com/title/tt1073498/?ref_=fn_tt_tt_1,English,PG-13,30000000,2008,759,0
Martin Brest,102,497,Yaphet Kotto,38413606,Action|Comedy|Crime|Thriller,Robert De Niro,54042,Philip Baker Hall,accountant|bounty hunter|fbi|mafia|mob,http://www.imdb.com/title/tt0095631/?ref_=fn_tt_tt_1,English,R,30000000,1988,581,0
Paul Michael Glaser,343,384,Maria Conchita Alonso,38122105,Action|Crime|Sci-Fi|Thriller,Yaphet Kotto,112669,Richard Dawson,game of death|government conspiracy|latina|oppression|police,http://www.imdb.com/title/tt0093894/?ref_=fn_tt_tt_1,English,R,27000000,1987,571,0
Frank Oz,0,413,Jim Belushi,38747385,Comedy|Horror|Musical|Sci-Fi,Bill Murray,49349,Tisha Campbell-Martin,eclipse|florist|nerd|plant|shop,http://www.imdb.com/title/tt0091419/?ref_=fn_tt_tt_1,English,PG-13,25000000,1986,854,0
Joe Wright,456,21,Vicky Krieps,40247512,Action|Drama|Thriller,Jessica Barden,159198,John Macmillan,assassin|female warrior|martial arts|playground|training,http://www.imdb.com/title/tt0993842/?ref_=fn_tt_tt_1,English,PG-13,30000000,2011,33,38000
,,468,Joan Allen,,Drama|Mystery,Zach Gilford,3322,Liam James,family drama|lie|missing child|political campaign|secret,http://www.imdb.com/title/tt4428038/?ref_=fn_tt_tt_1,English,TV-PG,,,805,0
John R. Leonetti,40,342,Talisa Soto,35927406,Action|Adventure|Fantasy|Sci-Fi|Thriller,Brian Thompson,36363,Robin Shou,alternate reality|battle|martial arts|mortal kombat|warrior,http://www.imdb.com/title/tt0119707/?ref_=fn_tt_tt_1,English,PG-13,30000000,1997,349,1000
Tom Hanks,15000,392,Rob Riggle,35565975,Comedy|Drama|Romance,Tom Hanks,49205,Randall Park,bus stop|college|community college|scooter|speech class,http://www.imdb.com/title/tt1583420/?ref_=fn_tt_tt_1,English,PG-13,30000000,2011,839,0
Kimberly Peirce,108,534,Judy Greer,35266619,Drama|Fantasy|Horror,Chloë Grace Moretz,108242,Portia Doubleday,outcast|prom|self injury|telekinesis|tragic event,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,English,R,30000000,2013,2000,39000
Liz Friedlander,3,439,Yaya DaCosta,34703228,Drama|Music,Alfre Woodard,21767,Jasika Nicole,ballroom|dance|dance teacher|student|teacher,http://www.imdb.com/title/tt0446046/?ref_=fn_tt_tt_1,English,PG-13,30000000,2006,712,0
,,576,Kevin Connolly,,Comedy|Drama,Debi Mazar,135643,Kevin Dillon,actor|fame|friendship between men|hollywood california|sitcom,http://www.imdb.com/title/tt0387199/?ref_=fn_tt_tt_1,English,TV-MA,,,638,0
Phil Joanou,21,581,Jurnee Smollett-Bell,38432823,Crime|Drama|Sport,Dwayne Johnson,33067,Kevin Dunn,alliterative title|football|football coach|football practice|football team,http://www.imdb.com/title/tt0421206/?ref_=fn_tt_tt_1,English,PG-13,30000000,2006,2000,0
Sam Weisman,39,506,Larry Miller,32095318,Comedy|Crime,Bernie Mac,12466,Richard Schiff,businessman|ring|thief|vulgarity|washington d.c.,http://www.imdb.com/title/tt0161083/?ref_=fn_tt_tt_1,English,PG-13,45000000,2001,611,304
Shane Acker,30,265,Alan Oppenheimer,31743332,Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,Martin Landau,111117,Tom Kane,hope|key|machine|number|rag doll,http://www.imdb.com/title/tt0472033/?ref_=fn_tt_tt_1,English,PG-13,30000000,2009,271,13000
Steven Soderbergh,0,273,David Costabile,32154410,Crime|Drama|Thriller,Channing Tatum,148327,Katie Lowes,clinical trial|female protagonist|neuropharmacology|psychiatrist|side effect,http://www.imdb.com/title/tt2053463/?ref_=fn_tt_tt_1,English,R,30000000,2013,681,29000
Martha Coolidge,57,438,Miranda Richardson,28165882,Comedy|Family|Romance,Devin Ratray,31984,Luke Mably,denmark|king|love|prince|wisconsin,http://www.imdb.com/title/tt0337697/?ref_=fn_tt_tt_1,English,PG,,2004,530,0
Stephen J. Anderson,15,69,Robert Lopez,26687172,Adventure|Animation|Comedy|Family|Musical,Craig Ferguson,15600,Huell Howser,disney|owl|rabbit|sequel|tiger,http://www.imdb.com/title/tt1449283/?ref_=fn_tt_tt_1,English,G,30000000,2011,73,0
Troy Miller,14,244,Mimi Rogers,26096584,Comedy,Elden Henson,30651,Cheri Oteri,1980s|buddy|high school|prequel to cult favorite|teenager,http://www.imdb.com/title/tt0329028/?ref_=fn_tt_tt_1,English,PG-13,19000000,2003,291,1000
Warren Beatty,631,95,Kirk Baltz,26525834,Comedy|Drama|Romance,Warren Beatty,21998,Graham Beckel,hip hop|liberal|politics|senator|truth,http://www.imdb.com/title/tt0118798/?ref_=fn_tt_tt_1,English,R,30000000,1998,199,0
Tate Taylor,150,400,Josh Hopkins,30513940,Biography|Drama|Music,Tika Sumpter,15843,Aunjanue Ellis,1970s|1980s|african american|breaking the fourth wall|mother son relationship,http://www.imdb.com/title/tt2473602/?ref_=fn_tt_tt_1,English,PG-13,30000000,2014,491,11000
Carl Franklin,73,433,William Hurt,23209440,Drama,Meryl Streep,9283,Tom Everett Scott,cancer|job|love|new york|professor,http://www.imdb.com/title/tt0120776/?ref_=fn_tt_tt_1,English,R,30000000,1998,882,592
Brett Leonard,32,650,Costas Mandylor,24048000,Action|Crime|Sci-Fi|Thriller,Denzel Washington,23579,Traci Lords,android|ex cop|serial killer|virtual character come to life|virtual reality,http://www.imdb.com/title/tt0114857/?ref_=fn_tt_tt_1,English,R,30000000,1995,723,0
Ivan Reitman,425,560,Eddie Izzard,22526144,Comedy|Romance|Sci-Fi,Rainn Wilson,53884,Wanda Sykes,architect|boyfriend girlfriend relationship|superhero|superhero spoof|supernatural power,http://www.imdb.com/title/tt0465624/?ref_=fn_tt_tt_1,English,PG-13,30000000,2006,776,1000
Scott Derrickson,301,897,Dorian Missick,30523568,Horror|Mystery|Thriller,Olivia Munn,54447,Edgar Ramírez,confession|demonic possession|exorcism|flickering light|priest,http://www.imdb.com/title/tt2377322/?ref_=fn_tt_tt_1,English,R,30000000,2014,1000,18000
Alister Grierson,24,653,Rhys Wakefield,23070045,Adventure|Drama|Thriller,Ioan Gruffudd,47003,Richard Roxburgh,cave|expedition|panic|rebreather|underwater,http://www.imdb.com/title/tt0881320/?ref_=fn_tt_tt_1,English,R,30000000,2011,942,11000
Nick Hurran,34,642,Kevin Sussman,20422207,Comedy|Drama|Romance,Holly Hunter,15052,Dave Annable,electronic devices|gynecologist|little black book|plan|set up,http://www.imdb.com/title/tt0361841/?ref_=fn_tt_tt_1,English,PG-13,35000000,2004,681,484
Nicholas Stoller,89,372,Jacki Weaver,28644770,Comedy|Romance,Alison Brie,78974,David Paymer,kissing while having sex|kitchen|reference to princess diana|wedding band|wedding ring,http://www.imdb.com/title/tt1195478/?ref_=fn_tt_tt_1,English,R,30000000,2012,401,11000
Charles Stone III,30,635,Chris Noth,21800302,Comedy|Drama|Romance|Sport,Bernie Mac,12164,Paul Sorvino,baseball|baseball movie|cartoon on tv|dodge viper|retirement,http://www.imdb.com/title/tt0339412/?ref_=fn_tt_tt_1,English,PG-13,30000000,2004,962,491
Paul Haggis,549,343,Daniel Stern,21129348,Crime|Drama|Romance|Thriller,Olivia Wilde,146364,Aisha Hinds,argument|evidence|fingerprints|murder|murder weapon,http://www.imdb.com/title/tt1458175/?ref_=fn_tt_tt_1,English,PG-13,35000000,2010,796,27000
Kurt Wimmer,110,277,Cameron Bright,18500966,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,70341,Nick Chinlund,boy|disease|hemophagia|speed|vampire,http://www.imdb.com/title/tt0370032/?ref_=fn_tt_tt_1,English,PG-13,30000000,2006,829,0
Jean-François Richet,25,431,Drea de Matteo,19976073,Action|Crime|Drama|Thriller,Brian Dennehy,65979,Hugh Dillon,criminal|mobster|new year's eve|police|sergeant,http://www.imdb.com/title/tt0398712/?ref_=fn_tt_tt_1,English,R,20000000,2005,739,999
Antoine Fuqua,845,488,Clifton Collins Jr.,18967571,Action|Crime|Thriller,Mira Sorvino,23345,Patrick Kilpatrick,forger|hitman|passport|police|replacement,http://www.imdb.com/title/tt0120008/?ref_=fn_tt_tt_1,English,R,30000000,1998,968,629
Kevin Hooks,114,537,Stephen Baldwin,17100000,Action|Adventure|Crime|Drama|Romance,Salma Hayek,7073,Will Patton,disk|floppy disk|mafia|prison|prisoner,http://www.imdb.com/title/tt0116320/?ref_=fn_tt_tt_1,English,R,25000000,1996,561,204
Ellory Elkayem,11,762,Doug E. Doug,17266505,Action|Comedy|Horror,Scarlett Johansson,43764,Riley Smith,creature feature|human versus spider|spider|spider feature|woman sheriff,http://www.imdb.com/title/tt0271367/?ref_=fn_tt_tt_1,English,PG-13,30000000,2002,953,0
Edward Zwick,380,2000,Anne Hathaway,32357532,Comedy|Drama|Romance,Jake Gyllenhaal,143368,Judy Greer,female nudity|male objectification|pfizer|viagra|zoloft,http://www.imdb.com/title/tt0758752/?ref_=fn_tt_tt_1,English,R,30000000,2010,11000,24000
Jon Avnet,50,494,Alicia Witt,16930884,Crime|Drama|Mystery|Thriller,Al Pacino,65628,Deborah Kara Unger,death|fbi|forensics|murder|serial killer,http://www.imdb.com/title/tt0411061/?ref_=fn_tt_tt_1,English,R,30000000,2007,975,0
Niki Caro,51,874,Charlize Theron,18324242,Drama,Jeremy Renner,32815,Sissy Spacek,based on true story|innocence|lawsuit|mine|sexual harassment,http://www.imdb.com/title/tt0395972/?ref_=fn_tt_tt_1,English,R,35000000,2005,9000,0
Howard Deutch,41,900,Matthew Perry,16323969,Comedy|Crime|Thriller,Bruce Willis,45775,Natasha Henstridge,dentist|face slap|flashback|hitman|killing an animal,http://www.imdb.com/title/tt0327247/?ref_=fn_tt_tt_1,English,PG-13,40000000,2004,2000,462
Vincenzo Natali,165,559,David Hewlett,16999046,Drama|Horror|Sci-Fi,Sarah Polley,79517,Delphine Chanéac,dna|experiment|genetics|interspecies sex|scientist,http://www.imdb.com/title/tt1017460/?ref_=fn_tt_tt_1,English,R,26000000,2009,686,12000
Willard Huyck,8,322,Jeffrey Jones,16295774,Action|Adventure|Comedy|Romance|Sci-Fi,Lea Thompson,33669,Jordan Prentice,alien|duck|laser|planet|singer,http://www.imdb.com/title/tt0091225/?ref_=fn_tt_tt_1,English,PG,35000000,1986,692,0
Gavin O'Connor,149,798,Rick Gonzalez,15709385,Crime|Drama|Thriller,Jennifer Ehle,53053,Frank Grillo,brother in law|corruption|drug dealer|drugs|police,http://www.imdb.com/title/tt0482572/?ref_=fn_tt_tt_1,English,R,30000000,2008,807,0
Bruce Hunt,2,258,Cole Hauser,14888028,Adventure|Horror|Thriller,Eddie Cibrian,28606,Marcel Iures,cave|diver|diving|flare|parasite,http://www.imdb.com/title/tt0402901/?ref_=fn_tt_tt_1,English,PG-13,30000000,2005,787,0
Rob Reiner,0,130,Lobo Sebastian,14208384,Comedy|Romance,David Paymer,11520,Robert Costanzo,gambling|novel|stenographer|writer|writer's block,http://www.imdb.com/title/tt0318283/?ref_=fn_tt_tt_1,English,PG-13,30000000,2003,206,625
Paul McGuigan,118,40,Christopher Cousins,12831121,Drama|Mystery|Romance|Thriller,Jessica Paré,44979,Mark Camacho,flashback|flashback within a flashback|multiple perspectives|obsession|split screen,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,English,PG-13,30000000,2004,93,0
Craig Gillespie,44,133,Reid Ewing,18298649,Comedy|Horror,Grace Phipps,85024,Sandra Vergara,neighbor|remake|suburb|teenager|vampire,http://www.imdb.com/title/tt1438176/?ref_=fn_tt_tt_1,English,R,30000000,2011,343,23000
Terrence Malick,0,855,Michael Greyeyes,12712093,Biography|Drama|History|Romance,Christian Bale,70771,Wes Studi,captain|fort|love|native american|trade,http://www.imdb.com/title/tt0402399/?ref_=fn_tt_tt_1,English,PG-13,30000000,2005,909,0
Chris Roberts,38,362,David Suchet,11576087,Action|Adventure|Sci-Fi,Saffron Burrows,14747,Jürgen Prochnow,27th century|fighter pilot|orchestral music score|outer space|space opera,http://www.imdb.com/title/tt0131646/?ref_=fn_tt_tt_1,English,PG-13,30000000,1999,586,858
Neil Jordan,277,210,Aidan Quinn,11900000,Drama|Fantasy|Thriller,Robert Downey Jr.,11003,Paul Guilfoyle,dream|mental institution|padded cell|serial killer|suicide attempt,http://www.imdb.com/title/tt0120710/?ref_=fn_tt_tt_1,English,R,30000000,1999,767,654
James Wong,70,99,Texas Battle,9353573,Action|Adventure|Fantasy|Sci-Fi|Thriller,Ian Whyte,56451,Randall Duk Kim,bad|dragon|grandfather|orb|warrior,http://www.imdb.com/title/tt1098327/?ref_=fn_tt_tt_1,English,PG,45000000,2009,315,0
Jee-woon Kim,419,165,James Burnett,12026670,Action|Crime|Thriller,Zach Gilford,114241,Christiana Leucas,deputy|escape|fbi|modern western|sheriff,http://www.imdb.com/title/tt1549920/?ref_=fn_tt_tt_1,English,R,45000000,2013,236,24000
Nick Hamm,6,353,Cameron Bright,14334645,Drama|Horror|Sci-Fi|Thriller,Robert De Niro,22449,Munro Chambers,birthday|boy|clone|cloning|doctor,http://www.imdb.com/title/tt0335121/?ref_=fn_tt_tt_1,English,PG-13,25000000,2004,829,387
Andy Cadiff,3,120,Stark Sands,12189514,Comedy|Romance,Annabella Sciorra,30092,Terence Maynard,first daughter|photographer|prague|president|secret service agent,http://www.imdb.com/title/tt0360139/?ref_=fn_tt_tt_1,English,PG-13,23000000,2004,143,0
