director_facebook_likes,actor_3_facebook_likes,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
4,151,Action|Animation|Fantasy|Horror|Mystery|Sci-Fi|Thriller,Sean Pertwee,4990,1254,0,grimdark|mutilated corpse|space marine|ultramarines|warhammer 40k,64,R,,2010,5.7,1.85,0
3,327,Mystery|Sci-Fi|Thriller,Stephen Graham,9296,2310,2,2000s|hospital|man in a wheelchair|year 2000|year 2002,57,R,8800000,2004,6.1,2.35,458
8,59,Drama|History|War,Harrison Gilbertson,5741,498,12,blue clay|diversion|ends with biographical notes|ends with historical notes|tunnel,39,R,9000000,2010,7.1,2.35,0
236,68,Crime|Drama,Riccardo Scamarcio,10796,1129,1,abusive parent|child molester|child protection|photographer|police,33,Not Rated,,2011,7.3,1.85,0
8,896,Crime|Mystery|Thriller,Hayden Christensen,63216,6954,0,anesthetic|anesthetic awareness|heart|heart surgery|surgery,196,R,8600000,2007,6.5,2.35,0
,265,Action|Adventure|Animation|Drama|Fantasy|Sci-Fi,Dee Bradley Baker,28190,1484,0,begins with narration|female warrior|inbetwequel|jedi knight|war against machines,73,TV-PG,,,7.9,2.35,2000
3,305,Action|Crime|Thriller,Michael Jai White,5228,2802,5,bangkok thailand|detective|human trafficking|revenge|sex slavery,38,R,9000000,2014,5.7,2.35,0
541,673,Comedy|Fantasy|Horror,Dianne Wiest,92924,4458,3,1980s|california|death|small town|vampire,339,R,,1987,7.2,2.35,19000
108,175,Drama|Music|Romance,Jeff Bridges,67760,13172,0,country music|country western singer|journalist|musician|singer,226,R,7000000,2009,7.3,2.35,0
43,122,Drama|Music|Romance,David Keith,6142,1097,0,awol|demand|driver|drugs|roses,52,R,8500000,1979,6.9,1.85,1000
68,1000,Comedy,Djimon Hounsou,7098,8097,9,woman wearing only a man's shirt,41,PG-13,8500000,2013,5.0,1.85,0
35,170,Adventure|Comedy|Fantasy|Sci-Fi,Jane Fonda,24436,1510,2,41st century|angel|future|laser gun|space opera,186,PG,9000000,1968,5.9,2.35,0
8,3,Adventure|Family,Bjørn Sundquist,1984,47,2,boy|island|pirate|ship|treasure,14,PG,60000000,1990,6.7,2.35,278
729,133,Comedy|Drama,Matthew Broderick,73640,3516,0,female protagonist|high school|self destructiveness|student council president|student government,441,R,8000000,1999,7.3,2.35,0
300,341,Drama,Jacinda Barrett,16530,1637,1,bengali|india|reference to gogol|train|train crash,117,PG-13,,2006,7.6,1.85,0
17,429,Comedy,Bella Thorne,51326,36892,4,cartoon on tv|generation y|high school|overalls|strong female character,116,PG-13,8500000,2015,6.5,2.35,8000
170,202,Drama|Music|Romance,Mariah Carey,19412,1854,1,cult film|disc jockey|female protagonist|music business|one word title,308,PG-13,22000000,2001,2.1,2.35,0
14,559,Drama|Horror|Mystery|Thriller,Abigail Spencer,13167,3164,0,daughter|georgia|mother|slave|trailer,57,R,9000000,2013,5.3,2.35,0
0,13,Action|Drama,Yu-mi Jeong,3290,97,0,based on book|based on true story|rape|title spoken by character,17,,8000000,2003,7.2,2.35,387
319,179,Biography|Drama|Romance,Abbie Cornish,21360,3279,0,19th century|friend|john keats|passion|poet,110,PG,8500000,2009,7.0,1.85,0
160,81,Adventure|Drama|Thriller,Shah Rukh Khan,69759,8532,2,airport|asperger's syndrome|autism|muslim|racial profiling,235,PG-13,12000000,2010,8.0,2.35,27000
71,304,Drama|Music|Romance,Dianne Wiest,51459,1962,0,church|cowboy boots|dancing|high school dance|teenager,113,PG,8200000,1984,6.5,1.85,0
78,,Action|Adventure|Drama,Robert Redford,59545,0,0,boat|container|sea|shipping container|storm,312,PG-13,9000000,2013,6.9,2.35,18000
407,39,Adventure|Drama|Thriller,Mary Elizabeth Mastrantonio,5158,823,0,alaska|island|motorboat|singer|wilderness,140,R,8000000,1999,7.1,1.85,196
11,119,Comedy|Drama|Romance,Katrina Kaif,13577,4004,2,india|london england|marriage|stereotype|sugarcane,47,,,2007,7.3,,341
644,6,Drama|War,Padraic Delaney,36846,128,1,civil war|colonialism|hatred|independence|rural ireland,222,Not Rated,,2006,7.5,1.85,0
0,417,Comedy|Drama|Musical|Romance,Ranbir Kapoor,25122,2350,2,jealousy|jumping into sea|love|swimming pool|wet clothes,102,Not Rated,,2013,6.9,,0
80,225,Action|Drama|Family|Sport,Martin Kove,126916,2004,0,apartment|bully|fight|karate|master,235,PG,8000000,1984,7.2,1.85,0
54,346,Biography|Drama|History|Romance,Peter Ustinov,9808,1373,0,christian|emperor|general|hostage|nero,90,Passed,7623000,1951,7.2,1.37,1000
163,636,Horror|Musical|Sci-Fi,Alexa PenaVega,20419,4168,1,future|murder|opera|repossession|surgery,259,R,8500000,2008,6.7,1.85,8000
11,173,Action|Adventure,Necati Sasmaz,14486,808,3,abu ghraib|bomb|christian|explosion|iraq,159,,8300000,2006,6.0,1.85,467
16000,857,Crime|Drama,Bruce Willis,1324680,16557,1,black comedy|cunnilingus|neo noir|nonlinear timeline|postmodern,2195,R,8000000,1994,8.9,2.35,45000
21,842,Adventure|Comedy|Family|Musical,Madeline Kahn,25498,5673,0,friend|frog leg|on the road|restaurant|the muppets,92,G,,1979,7.7,1.85,0
66,85,Crime|Drama|Thriller,Jake Gyllenhaal,293304,15554,1,employer employee relationship|ethics|journalism|sociopath|tv news,552,R,8500000,2014,7.9,2.35,65000
422,422,Comedy|Horror|Thriller,Brittany Daniel,23823,3306,2,beach|island|party|resort|serial killer,201,R,8550000,2004,5.6,2.35,713
338,195,Biography|Drama|Family|Musical|Romance,Eleanor Parker,148172,1495,3,austria|children|governess|love|orchestral music score,406,G,8200000,1965,8.0,2.35,15000
2000,51,Comedy|Fantasy|Romance,Tom Hanks,54723,15361,2,cmnf|cmnf scene|mermaid|new york city|public nudity,99,PG,8000000,1984,6.2,1.85,0
36,27,Comedy|Drama,Steve Carell,355810,7227,1,gay|graduate student|sister sister relationship|sprite|uncle nephew relationship,889,R,8000000,2006,7.9,2.35,15000
0,107,Adventure|Drama,Marshall Bell,271794,644,2,friendship|summertime|treehouse|walking on train tracks|woods,584,R,8000000,1986,8.1,1.85,24000
0,27,Drama|Horror|Sci-Fi|Thriller,Noah Huntley,297250,241,0,laboratory|london england|military|virus|zombie apocalypse,1441,R,8000000,2002,7.6,1.85,11000
548,360,Drama|Music,Jennifer Freeman,23671,1792,0,competition|dance contest|friend|money|street dancing,247,PG-13,8000000,2004,3.5,1.85,0
152,459,Biography|Crime|Drama,Clint Eastwood,87090,17568,0,alcatraz|escape|inmate|island|prison,142,PG,8000000,1979,7.6,1.85,0
44,458,Comedy|Drama|Music|Romance,Boris Kodjoe,5971,3199,1,basketball|hip hop|rap music|record company|writer,60,PG-13,8000000,2002,6.5,1.85,0
0,388,Comedy|Crime|Drama|Romance|Thriller,Faizon Love,3122,3023,2,african american|dating|independent film|irreverence|revenge,14,R,8000000,1996,5.6,2.35,559
129,3000,Comedy|Drama|Romance,Joseph Gordon-Levitt,270441,39807,2,best friend|cancer|survival rate|therapist|vomiting,378,R,8000000,2011,7.7,1.85,40000
5,297,Horror|Mystery|Thriller,James Kyson,26609,1534,1,car accident|japan|newlywed|photograph|photographer,148,PG-13,8000000,2008,5.2,1.85,0
0,602,Comedy|Fantasy|Horror,Ted Danson,29935,2662,0,anthology|child abuse|critically acclaimed|death|grindhouse,211,R,8000000,1982,6.9,1.85,0
19,117,Comedy|Romance,Mackenzie Davis,76791,1024,3,dating|divorce|father daughter relationship|mother daughter relationship|party,100,R,8000000,2014,6.1,2.35,0
2,213,Comedy|Fantasy|Sci-Fi,Brian Doyle-Murray,3904,1455,1,air traffic controller|nuclear waste|orgasm|telekinesis|voodoo,48,PG,8000000,1981,5.0,1.85,495
2,102,Adventure,Tina Gilton,59,1279,,,6,R,,2016,7.8,,240
0,591,Comedy|Drama|Romance,Keanu Reeves,37269,37645,0,16th century|bachelor|dishonor|masquerade party|wedding,165,PG-13,8000000,1993,7.4,1.85,0
13,244,Action|Adventure|Thriller,Telly Savalas,59941,1769,2,bond girl|british|mission|portugal|switzerland,452,M,7000000,1969,6.8,2.35,0
,460,Action|Crime|Drama|Thriller,Nick Wechsler,5817,4043,2,bet|friend|pit boss|secret|surveillance,25,TV-14,,,7.1,16.0,0
0,112,Fantasy|Horror|Mystery|Thriller,Miko Hughes,38191,1775,0,earthquake|elm street|freddy krueger|nightmare|sleep,271,R,8000000,1994,6.4,1.85,0
13,292,Comedy|Drama|Romance,Stephen Collins,14904,1760,2,centennial|girl|next door neighbor|prom|school,147,PG-13,8000000,1999,5.7,1.85,0
3,268,Drama,Curtis Armstrong,15337,2832,0,national spelling bee|principal|school principal|spelling|spelling bee,172,PG,,2006,7.5,2.35,0
33,475,Comedy|Crime,Dave Chappelle,48225,2400,0,bail|diabetic|friend|jail|pharmaceutical lab,164,R,8000000,1998,6.7,1.85,0
3,631,Comedy|Romance,J.K. Simmons,17461,25792,1,love|manufacturing|minnesota|plant|small town,78,PG,8000000,2009,5.6,1.85,0
79,414,Drama|Thriller,Matt Damon,109191,14747,0,cia|hezbollah|lebanon|oil|prince,625,R,50000000,2005,7.0,2.35,0
126,517,Crime|Drama,Christian Bale,357275,25462,1,1980s|business card|male rear nudity|materialism|narcissism,1061,R,7000000,2000,7.6,2.35,18000
44,596,Drama|Romance,Jake Gyllenhaal,37952,27646,3,dysfunctional marriage|marijuana|small town|store|trying to conceive,298,R,5000000,2002,6.5,1.85,938
31,50,Action|Comedy|Crime|Thriller,Colm Feore,8616,895,2,border|hockey|killer|police|tattoo,90,R,8000000,2006,7.0,2.35,758
78,968,Action|Crime|Thriller,Norman Reedus,53251,17524,0,final showdown|ireland|justice|priest|sheep,188,R,8000000,2009,6.3,2.35,0
133,86,Drama|Romance,Alexandra Maria Lara,2311,858,1,child|student|university|widow|writer,25,PG-13,8300000,2009,6.4,1.85,638
132,216,Comedy|Drama|Romance,Christopher Nicholas Smith,49240,1183,2,dating|divorcee|ex husband|ex wife|party,142,PG-13,8000000,2013,7.1,1.85,12000
87,424,Comedy|Romance,Emma Stone,276746,16982,1,gay|gay interest|high school|school|student,264,PG-13,8000000,2010,7.1,1.85,19000
10,582,Comedy|Drama|Romance,Jada Pinkett Smith,1103,3293,0,fire|marriage|martha's vineyard|teenager|vacation,11,R,,1994,6.5,1.85,160
54,306,Drama|Horror,Eddie Izzard,34191,1761,1,actor|breasts|film actress|nosferatu|vampire,339,R,8000000,2000,6.9,2.35,0
18,741,Comedy|Drama,Cameron Monaghan,12702,5190,0,decoration|father daughter relationship|high school|prom|teenager,32,PG,8000000,2011,5.4,1.85,0
198,636,Comedy|Romance,Mark Margolis,6124,3502,2,bachelor party|directorial debut|funeral|pallbearer|wedding,55,PG-13,8000000,1996,4.9,1.85,125
15,660,Comedy,Barry Corbin,2870,3291,2,hold up|hostage|stockholm syndrome|swat team|vegetarian,34,PG-13,8000000,1999,5.1,1.85,77
26,417,Comedy|Fantasy|Romance,Harold Perrineau,8546,2687,0,cross dresser|food|friend|motion sickness|restaurant,86,R,8000000,2000,5.3,2.35,859
133,136,Drama|Romance,Anthony Hopkins,21254,13180,3,england|friendship|prejudice|upper class|working class,86,PG,,1992,7.5,2.35,788
,648,Adventure|Drama|Fantasy|Mystery,Dominic Cooper,22848,6034,0,heaven and hell|preacher|supernatural|vampire|vertigo comics,85,TV-MA,,,8.3,16.0,18000
26,0,Animation|Comedy|Drama|Romance,Jennifer Jason Leigh,31489,1442,0,full frontal male nudity|hotel room|multiple characters voiced by same person|one night stand|sex in hotel room,140,R,8000000,2015,7.3,2.35,0
608,386,Comedy|Drama,Jim Broadbent,23629,2265,0,autumn|four seasons|friend|looking at one's self in a mirror|unhappiness,141,PG-13,10000000,2010,7.3,2.35,0
341,569,Comedy|Crime|Musical|Romance,Catherine Deneuve,23660,3543,1,cook|industrialist|secret|snowstorm|suspect,162,R,8000000,2002,7.1,1.85,0
73,112,Action|Comedy|Crime|Thriller,Cary-Hiroyuki Tagawa,12561,2404,2,bare chested male|detective|electric torture|japanese american|yakuza,102,R,8000000,1991,6.0,1.85,0
71,168,Comedy|Crime,Janeane Garofalo,9494,1795,1,breasts|serial killer|small town|vomiting|widow,109,R,8000000,1998,6.6,1.85,515
16,472,Comedy|Drama|Romance,Zoë Kravitz,106098,2786,3,based on novel|depression|psychiatric ward|suicide attempt|therapy,150,PG-13,8000000,2010,7.2,1.85,20000
13,594,Biography|Comedy|Drama|History,Bob Hoskins,11158,7692,6,equal pay|machinist|minister|protest|sex,73,R,7200000,2010,7.2,2.35,0
14,291,Biography|Drama,Colin Firth,3571,15848,2,cancer|children|death|terminal cancer|time,34,PG-13,8000000,2007,6.9,2.35,429
23,200,Biography|Drama|Romance|Sport,Kurtwood Smith,5673,1610,2,long distance runner|olympics|oregon|runner|watching television,37,PG-13,8000000,1997,6.8,1.66,0
136,249,Adventure|Drama,Faye Dunaway,802,2413,0,female nudity|highwayman|nell gwynne|nudity|whipping,15,R,8000000,1983,4.0,1.85,79
45,4,Adventure|Animation|Family|Fantasy,Sean Lennon,22811,75,0,barbarian|fairy|forest|monastery|unfinished book,71,Not Rated,6500000,2009,7.7,1.85,11000
109,7,Drama|Music,James Corden,99430,517,1,manhattan new york city|new york city|record label|singer|song,182,R,8000000,2013,7.4,1.85,43000
12,710,Drama|Romance|Thriller,Hunter Parrish,16617,3921,2,beach|cowboy|cowboy hat|neo western|valley,110,R,8000000,2005,6.5,2.35,412
30,209,Crime|Drama,Jerry Ferrara,5049,1234,3,1980s|friend|friendship|loyalty|mafia,48,R,8000000,2007,6.4,2.35,226
0,844,Drama|Romance,Rufus Sewell,2098,6343,2,espionage|motel|mother son relationship|murder disguised as suicide|shot in the head,12,,,2012,7.2,16.0,434
200,1000,Comedy|Crime|Musical|Mystery,Robert Downey Jr.,7116,41645,2,detective|detective novel|fantasy sequence|hallucination|writer,79,R,8000000,2003,5.6,1.85,494
2,227,Drama|Romance|War,Anna Friel,1591,1378,3,dorset|farm|friend|love|women's land army,27,R,,1998,6.3,2.35,75
8,33,Comedy|Drama|Horror|Sci-Fi,Alexia Fast,25055,786,1,decapitation|neighbor|neighborhood|next door neighbor|zombie,98,R,8000000,2006,6.8,2.35,0
387,399,Comedy|Drama|Romance,Will Ferrell,5159,9608,4,directorial debut|fantasy sequence|nurse|old age home|prison,27,PG-13,8000000,2005,5.5,2.35,143
36,405,Action|Comedy|Crime,Rupert Grint,29994,11770,4,apprentice|assassin|hitman|kleptomaniac|thief,86,PG-13,8000000,2010,6.9,2.35,0
3,448,Crime|Horror|Thriller,John de Lancie,26849,3185,0,corpse|dark humor|medical school|murder|pathology,107,R,8000000,2008,6.0,2.35,3000
,427,Drama|Romance,Tom Hardy,6053,29196,2,abuse|love|moor the landscape|revenge|tv mini series,33,,,,7.7,,0
53,463,Crime|Drama|Thriller,Brian Dennehy,5557,2512,5,desert storm|fbi|fbi agent|fragmentation grenade|woman kills attacker,34,R,8000000,2006,6.4,2.35,294
346,488,Comedy|Crime|Drama|Romance,Michael Angarano,9003,2572,0,gang|gun|loner|love|outcast,58,Unrated,50000000,2004,6.6,1.66,532
43,47,Drama,Ian Tracey,2103,326,1,,11,R,8000000,2014,5.3,2.35,675
78,4,Action|Animation|Sci-Fi,Mitsuo Iwata,106160,28,0,based on manga|biker gang|gifted child|post thermonuclear war|science runs amok,430,R,1100000000,1988,8.1,1.85,0
17,1000,Action|Crime|Thriller,Paul Walker,12078,37457,2,drug lord|on the run|prison|vegan|vegetarian,31,R,22000000,2007,5.9,2.35,0
2,23,Biography|Drama|Sport,Stephen McHattie,4412,733,0,fan|french canadian|hockey|hockey player|machinist,31,PG,8000000,2005,7.7,2.35,520
2,600,Action|Crime|Drama|Thriller,Rachel Ann Mullins,1965,33858,6,police officer killed|police officer shot in the chest|police officer shot in the forehead|police officer shot in the head|police shootout,24,R,8000000,2014,4.6,,438
29,11,Action|Adventure|Comedy|Romance,Leehom Wang,322,219,2,,2,,,2013,5.1,2.35,81
21,112,Comedy|Drama|Romance,Celia Imrie,23023,619,0,florist|friend|friendship|lesbian|love,149,R,7900000,2005,6.9,2.35,0
78,189,Drama,Mckenna Grace,63,1546,0,,5,PG-13,8000000,2016,8.0,2.35,205
341,15,Crime|Drama|Mystery|Thriller,Charlotte Rampling,35065,1389,0,luberon|mystery writer|night|publisher|swimming,288,R,,2003,6.8,1.85,0
16,376,Action|Drama,Spencer Wilding,3740,2284,2,bare breasts|firm|hooliganism|training|west ham supporter,13,R,,2013,5.4,2.35,0
73,26,Action|Sci-Fi|Sport,Delroy Lindo,4792,1526,2,battle|blood splatter|combat|game|showdown,43,R,10000000,1989,6.5,1.33,999
155,391,Action,Scott Takeda,662,2741,0,gun|mayor|nightclub|police|vigilantism,14,R,8000000,2016,4.2,,689
78,325,Comedy|Drama|Family,Morgan Freeman,72324,12619,1,1950s|african american|jewish|old age|widow,134,PG,7500000,1989,7.4,1.85,3000
88,890,Comedy|Drama,Vanessa Williams,5275,4737,6,1990s|family relationships|food in title|sister|unity,30,R,7500000,1997,6.9,1.85,508
7,36,Action|Comedy,Françoise Yip,29843,407,1,fight|gang|greed|street gang|wedding,81,R,7500000,1995,6.7,2.35,0
2,40,Drama|War|Western,Viggo Mortensen,4035,10218,0,algerian war|based on short story|hostage|teacher|title at the end,19,,7700000,2014,7.3,2.35,2000
655,88,Comedy|Drama,J.K. Simmons,191998,25092,0,cigarette smoking|lobbyist|political satire|reporter|tobacco industry,323,R,6500000,2005,7.6,2.35,0
0,658,Horror,Jay Hernandez,69989,4707,0,american|hostel|slovakia|torture|train,384,R,10000000,2007,5.4,2.35,0
92,221,Drama,Dominic Cooper,112138,4198,0,1960s|age difference|france|loss of virginity|oxford,237,PG-13,4500000,2009,7.3,2.35,12000
14,161,Drama|Romance,Frances Conroy,21225,1871,3,artist|depression|gloves|photography|slacker,268,R,,2005,6.4,2.35,1000
62,518,Comedy|Drama|Romance,Joely Richardson,6595,2024,0,football|hotel|teenage girl|terrorist|wien,61,R,7500000,1984,6.0,1.85,345
248,147,Crime|Drama|Mystery|Thriller,Jason Patric,34098,1442,1,blood splatter|cover up|murder|police shootout|undercover,214,R,7500000,2002,7.2,1.85,1000
329,280,Comedy|Drama|Romance|Sport,Molly Parker,3709,1834,3,championship|coach|curling|marriage|rural setting,83,R,7500000,2002,6.0,1.85,0
18,742,Comedy|Crime,Ivana Milicevic,5463,4091,2,fbi|polo|possum|sheriff|shotgun,20,PG-13,7500000,2008,3.1,1.85,140
0,249,Drama|Romance,Eric Johnson,833,1233,1,1830s|baptism|intolerance|mormon church|sibling rivalry,33,PG,7500000,2004,6.9,,31
406,968,Comedy|Crime|Romance,J.K. Simmons,37530,41867,6,freak accident|gigolo|hit in the crotch|nosy neighbor|on the job injury,106,R,8000000,2009,6.2,1.85,0
119,844,Comedy|Drama|Music,Jeff Bridges,3972,15396,0,concert|jail|journalist|revolution|singer,95,PG-13,,2003,5.5,1.85,655
27,59,Comedy|Crime|Drama|Romance|Thriller,Sandrine Kiberlain,1439,262,0,child|criminal|death|depression|novelist,26,,50000000,2001,6.9,,26
187,158,Drama|Romance|Sci-Fi|Thriller,Samantha Morton,18109,1176,0,genetics|i.d.|love|sphinx|totalitarian,150,R,7500000,2003,6.3,2.35,0
22,447,Comedy,Bob Hoskins,243,7206,3,,3,,7500000,2012,4.8,,223
549,911,Crime|Drama|Thriller,Don Cheadle,361169,5732,0,race relations|racism|racist|social problem|stereotype,1624,R,6500000,2004,7.9,2.35,18000
127,373,Drama,Mia Wasikowska,19616,4370,3,19th century|hotel|painter|waiter|woman pretending to be a man,98,R,8000000,2011,6.7,2.35,0
20,36,Action|Crime|Drama|Thriller,Akon,385,409,3,color in title|number in title|two word title,4,,7500000,2012,5.6,,389
5,60,Comedy|Family|Romance,Saif Ali Khan,2909,902,3,comeback|family relationships|marriage|new york|racer,37,,6000000,2007,5.4,,108
10,106,Animation|Biography|Drama|War,Catherine Deneuve,70194,1754,0,dream|girl|iran|islamic revolution|revolution,158,PG-13,7300000,2007,8.0,1.85,14000
287,664,Adventure|Fantasy|Thriller,Bruce Dern,19157,4099,2,basement|family relationships|hole|no opening credits|slow motion scene,69,PG-13,12000000,2009,5.7,1.85,0
23,93,Drama|Thriller,Max Riemelt,80639,635,0,autocracy|based on real events|dictatorship|germany|teacher,96,,5000000,2008,7.6,2.35,25000
0,500,Horror|Thriller,Keanu Reeves,9866,19879,2,beauty|cannibalism|fashion|lesbian|model,73,R,7000000,2016,7.0,2.35,0
12,641,Action|Crime|Drama|Thriller,Joseph Gilgun,74435,2486,1,bayonet|death|police|self defense|widower,224,R,7300000,2009,7.2,2.35,0
0,4000,Action|Adventure|Romance,J.K. Simmons,383071,46055,0,sandman|spider man|symbiote|venom|villain,1902,PG-13,258000000,2007,6.2,2.35,0
0,440,Action|Adventure|Fantasy|Sci-Fi|Thriller,George Coe,4682,2428,0,code|evil|false accusation|megalomaniac|torah,206,PG-13,7500000,1999,3.5,1.37,129
655,973,Comedy|Drama|Romance,J.K. Simmons,414335,28817,0,adoption|baby|friend|pregnancy|school,881,PG-13,7500000,2007,7.5,1.85,10000
249,96,Action|Thriller,Darren Shahlavi,4099,835,0,fighting|hand to hand combat|jujitsu|kickboxing|organ,29,R,7500000,2015,5.1,1.85,0
82,175,Action|Adventure|Thriller,Desmond Llewelyn,74249,1105,2,cat|diamond|ford mustang|james bond 007|yanked off bikini top,276,GP,7200000,1971,6.7,2.35,0
0,3000,Crime|Drama,Al Pacino,1155770,28122,1,crime family|mafia|organized crime|patriarch|rise to power,2238,R,6000000,1972,9.2,1.85,43000
213,92,Drama|Music|Romance,Michael Nouri,35172,791,0,ballet school|dance|dancer|overalls|steel worker,128,R,4000000,1983,6.1,1.85,0
464,11000,Comedy|Drama|Romance,Joseph Gordon-Levitt,376600,54075,43,friend|greeting card|office|summer|true love,494,PG-13,7500000,2009,7.7,2.35,40000
319,11,Drama|Music|Romance,Holly Hunter,63931,1051,1,adultery|daughter|male rear nudity|new zealand|piano,241,R,7000000,1993,7.6,1.85,0
0,11000,Comedy|Drama,Channing Tatum,108843,46646,1,bank|male nudity|male objectification|male stripper|stripper,281,R,7000000,2012,6.1,2.35,54000
474,82,Horror|Mystery|Thriller,Sullivan Stapleton,25870,2212,0,boy|darkness|light|tooth|tooth fairy,369,PG-13,11000000,2003,4.9,2.35,2000
82,189,Action|Adventure|Thriller,Yaphet Kotto,74957,1865,3,british|cards|heroin|murder|tarot card,251,PG,7000000,1973,6.8,1.66,0
13,430,Drama|Family|Sport,Clint Howard,16651,2515,0,1940s|dog|mississippi|puppy|veteran,149,PG,5000000,2000,7.0,1.37,0
20,61,Comedy|Drama|Romance,Ryan Reynolds,127760,16289,5,college|daughter|girl|sex|wisconsin,168,PG-13,,2008,7.2,2.35,0
70,826,Comedy|Drama,Gary Dourdan,7973,5959,8,martha's vineyard|mother|older woman younger man relationship|wedding|weekend,59,PG-13,6600000,2011,5.7,1.85,0
1000,76,Drama|Romance,Leonardo DiCaprio,362933,29769,4,ingratitude|mansion|party|title appears in writing|tragedy,753,PG-13,105000000,2013,7.3,2.35,115000
0,566,Biography|Drama|History,Robert Downey Jr.,84070,22745,0,cbs|expose|fear|paranoia|reporter,526,PG,7500000,2005,7.5,1.85,0
