director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,budget
Don Bluth,383,191,Gabriel Damon,48092846,Adventure|Animation|Family,Judith Barsi,The Land Before Time ,1833,0,brontosaurus|classical music|dinosaur|dinosaur feature|earthquake,133,12500000
Je-kyu Kang,16,489,Bin Won,1110186,Action|Drama|War,Min-sik Choi,Tae Guk Gi: The Brotherhood of War ,1730,2,1950s|archeologist|korea|korean war|soldier,224,12800000
William Dear,50,655,Cheech Marin,1089445,Comedy|Drama|Family|Sport,Clifton Collins Jr.,The Perfect Game ,4270,0,baseball movie|little league|little league baseball|mexico|three word title,33,12500000
William Friedkin,607,259,Linda Blair,204565000,Horror,Ellen Burstyn,The Exorcist ,2466,0,demonic possession|exorcism|exorcist|loss of innocence|priest,1058,8000000
Steven Spielberg,14000,366,Robert Shaw,260000000,Adventure|Drama|Thriller,Roy Scheider,Jaws ,2047,0,beach|blockbuster|fishing|great white shark|shark,962,8000000
Paul Weitz,80,1000,Shannon Elizabeth,101736215,Comedy,Alyson Hannigan,American Pie ,8134,6,1990s|first love|milf|prom|virginity,789,11000000
Stéphane Aubier,2,186,Megan Mullally,71442,Animation|Comedy|Crime|Drama|Family,Mackenzie Foy,Ernest & Celestine ,6829,0,bear|dentist|friendship|mouse|prejudice,32,9600000
Michael Ritchie,23,148,Randall 'Tex' Cobb,79817937,Action|Adventure|Comedy|Fantasy|Mystery,Victor Wong,The Golden Child ,1044,1,boy|child|chosen one|demon|detective,69,25000000
Tim Story,167,807,Romany Malco,91547205,Comedy|Romance,Chris Brown,Think Like a Man ,5165,8,advice|black romance|hip hop|reading a book|sex scene,62,12000000
Tim Story,167,436,Jason George,75074950,Comedy|Drama,Sean Patrick Thomas,Barbershop ,2754,0,barber|barbershop|blaxploitation|loan shark|theft,156,12000000
Nicholas Meyer,120,664,Kirstie Alley,78900000,Action|Adventure|Sci-Fi,Leonard Nimoy,Star Trek II: The Wrath of Khan ,16539,2,jamming communications|planet|space station|taunt|trap,359,11000000
Tom Shadyac,293,567,Udo Kier,72217000,Comedy,Sean Young,Ace Ventura: Pet Detective ,2462,1,detective|dolphin|mascot|nudity|stupidity,242,12000000
John Badham,139,793,Barry Corbin,79568000,Sci-Fi|Thriller,Matthew Broderick,WarGames ,4537,0,computer|game|high school|norad|teenager,152,12000000
Peter Weir,608,733,Viggo Mortensen,65500000,Crime|Drama|Romance|Thriller,Harrison Ford,Witness ,22479,1,amish|love|murder|police|train,175,12000000
Mike McCoy,16,11,Jason Cottle,70011073,Action|Adventure|Drama|Thriller|War,Alex Veadov,Act of Valor ,146,0,mission|navy seal|terrorist|torture|valor,349,12000000
Anne Fletcher,98,920,Alyson Stoner,65269010,Crime|Drama|Music|Romance,Channing Tatum,Step Up ,21380,0,dance|dancer|school|showcase|student,271,12000000
Mike Judge,406,616,Demi Moore,63071133,Adventure|Animation|Comedy|Crime,Bruce Willis,Beavis and Butt-Head Do America ,17035,0,beavis and butt head|fbi|score|television|television set,154,12000000
Quentin Tarantino,16000,889,Sid Haig,39647595,Crime|Thriller,Robert De Niro,Jackie Brown ,25522,5,arms dealer|atf|bail|money|multiple perspectives,462,12000000
Jon Hurwitz,22,816,Eric Winter,38087366,Adventure|Comedy,Danneel Ackles,Harold & Kumar Escape from Guantanamo Bay ,4065,2,bong|escape|ex girlfriend|guantanamo bay|texas,165,12000000
Josh Trank,128,371,Alex Russell,64572496,Drama|Sci-Fi|Thriller,Michael Kelly,Chronicle ,2054,0,found footage|high school|subjective camera|teen angst|troubled teen,471,12000000
Barbra Streisand,0,122,Amy Irving,30400000,Drama|Musical|Romance,Miriam Margolyes,Yentl ,914,1,love|study|talmud|wedding|yeshiva,68,12000000
Terry Gilliam,0,504,Michael Palin,42365600,Adventure|Comedy|Fantasy|Sci-Fi,Shelley Duvall,Time Bandits ,2730,0,cult director|dwarf|robin hood|satire|treasure,177,5000000
Tamra Davis,33,135,Katherine Boecher,37188667,Comedy|Drama,Britney Spears,Crossroads ,1531,1,audition|friendship|graduation|high school graduation|love,578,12000000
Nima Nourizadeh,166,281,Kirby Bliss Blanton,54724272,Comedy|Crime,Dax Flame,Project X ,2043,0,birthday party|high school|high school senior|millennial generation|party,261,12000000
Franklin J. Schaffner,76,78,Karl Malden,,Biography|Drama|War,George C. Scott,Patton ,1306,0,allies|dead soldier|destiny|general|tank,258,12000000
Mark Romanek,132,933,Gary Cole,31597131,Drama|Thriller,Robin Williams,One Hour Photo ,52138,0,insanity|photo lab|photo shop|photography|voyeur,605,12000000
John Erick Dowdle,66,1000,Jay Hernandez,31691811,Horror|Sci-Fi|Thriller,Andrew Fiscella,Quarantine ,140268,0,apartment building|found footage|television|trapped|virus,369,12000000
David Moreau,0,451,Alessandro Nivola,31397498,Horror|Mystery,Chloë Grace Moretz,The Eye ,18765,1,cellular memory|eye|eye transplant|seeing dead people|violinist,156,12000000
Christopher Erskin,4,826,Shannon Elizabeth,31179516,Comedy,Vanessa Williams,Johnson Family Vacation ,5006,5,cross country|cross country trip|highway travel|on the road|road movie,49,12000000
Jesse Dylan,58,722,Fred Willard,31155435,Comedy|Fantasy,Hector Elizondo,How High ,6105,2,college|drugs|harvard|pot|smoke,102,12000000
Brian Henson,53,84,Jerry Nelson,27281507,Comedy|Drama|Family|Fantasy|Musical,Steven Mackintosh,The Muppet Christmas Carol ,534,0,christmas|christmas eve|miser|muppet|scrooge,147,12000000
Martin Campbell,258,834,Tobias Menzies,167007184,Action|Adventure|Thriller,Eva Green,Casino Royale ,9125,1,casino|espionage|free running|james bond|terrorist,2301,150000000
Julie Taymor,278,898,Roger Rees,25776062,Biography|Drama|Romance,Salma Hayek,Frida ,7072,0,art|bisexual|marriage|pain|revolutionary,271,12000000
Dan Cutforth,4,8,Ashley Ashida Dixon,25240988,Documentary|Music,Lexie Contursi,Katy Perry: Part of Me ,52,0,female protagonist|reference to britney spears|singer|song|world tour,50,12000000
Josh Boone,131,733,Sam Trammell,124868837,Drama|Romance,Shailene Woodley,The Fault in Our Stars ,10565,0,cancer|falling in love|friendship|novel|teenager,548,12000000
John Dahl,131,599,Martin Landau,22905674,Crime|Drama,Matt Damon,Rounders ,14890,2,breasts|cult film|loan shark|poker|reference to christy turlington,290,12000000
Chris Rock,0,555,Romany Malco,25277561,Comedy|Romance,Rosario Dawson,Top Five ,5592,10,bare breasts|celebrity|in medias res|reference to planet of the apes|sex talk,93,12000000
John Frankenheimer,287,79,Richard Dysart,,Horror|Sci-Fi,Talia Shire,Prophecy ,729,1,cabin|monster|monster movie|paper mill|pollution,75,12000000
David Koepp,192,282,Kathryn Erbe,21133087,Horror|Mystery|Thriller,Illeana Douglas,Stir of Echoes ,1254,0,disappearance|hearing voices|hypnosis|post hypnotic suggestion|seeing a ghost,374,12000000
,,898,Kelvin Taylor,,Action|Adventure|Biography|Drama|History,Peter Mensah,Spartacus: War of the Damned             ,6091,2,female frontal nudity|female full frontal nudity|gladiator|group sex|slave girl,302,
Stephen Frears,350,322,Mare Winningham,37707719,Biography|Drama,Steve Coogan,Philomena ,2376,2,catholic|convent|gay love|gay relationship|irish adoption board,233,12000000
Mike Binder,57,805,Erika Christensen,18761993,Comedy|Drama,Alicia Witt,The Upside of Anger ,2944,1,anger|baseball|drinking|radio|secretary,219,9000000
Franklin J. Schaffner,76,801,Anne Meara,,Drama|Thriller,Laurence Olivier,The Boys from Brazil ,4659,3,1970s|jew|nazi|nazi hunter|paraguay,123,12000000
Elizabeth Allen Rosenbaum,20,717,Joanna 'JoJo' Levesque,18595716,Comedy|Family|Fantasy|Romance,Tammin Sursok,Aquamarine ,3963,3,beach|love|mermaid|storm|swimming,150,12000000
Jake Schreier,14,376,Cara Delevingne,31990064,Drama|Mystery|Romance,Nat Wolff,Paper Towns ,2753,2,based on novel|female neighbor|friendship|travel|trip,160,12000000
Cheryl Dunye,17,581,Marsha Thomason,17321573,Comedy,Michael Imperioli,My Baby's Daddy ,3646,5,animal costume|break up|fatherhood|rapper|talking baby,18,
Alexander Payne,729,622,Bruce Dern,17613460,Adventure|Comedy|Drama,Devin Ratray,Nebraska ,3798,0,aging|billings montana|lincoln nebraska|nebraska|pickup truck,274,12000000
Ernest R. Dickerson,226,580,Jada Pinkett Smith,21088568,Action|Fantasy|Horror|Thriller,CCH Pounder,Tales from the Crypt: Demon Knight ,3931,1,blood|blood of christ|demon|key|loud sex,104,13000000
Tim Hill,25,611,Amber Valletta,17292381,Comedy|Crime|Family,Noel Fisher,Max Keeble's Big Move ,4551,0,bully|moving|principal|revenge|school,69,12000000
Jason Reitman,655,390,Patton Oswalt,16300302,Comedy|Drama,Charlize Theron,Young Adult ,10575,1,car damage|computer printer|female band|fingernail polish|narcissism,203,12000000
Mark Neveldine,83,501,Edi Gathegi,27829874,Action|Crime|Thriller,Jason Statham,Crank ,28767,1,assassin|cult film|doctor|heart|poison,444,12000000
Lionel C. Martin,3,324,Gilbert Gottfried,13960203,Comedy,Bernie Mac,How to Be a Player ,2939,2,breaking the fourth wall|doorman|friend|party|sex,15,
Richard LaGravenese,98,604,Eddie Cibrian,12902790,Comedy|Drama|Romance,Holly Hunter,Living Out Loud ,3250,1,brooklyn bridge|divorce|female protagonist|female star appears nude|lingerie slip,88,12000000
Sanaa Hamri,43,696,Laz Alonso,21520719,Comedy|Romance|Sport,Common,Just Wright ,3906,1,basketball|basketball player|nba|physical therapist|therapist,36,
Jonathan Demme,438,471,Rosemarie DeWitt,12796277,Drama|Romance,Anne Hathaway,Rachel Getting Married ,12274,1,12 step program|friend|maid of honor|tears|wedding,281,
Bob Rafelson,30,85,Michael Lerner,,Crime|Drama|Romance|Thriller,Anjelica Huston,The Postman Always Rings Twice ,1456,0,adultery|drifter|lunch wagon|murder|neo noir,48,12000000
Peter Webber,73,1000,Colin Firth,11634362,Biography|Drama|Romance,Scarlett Johansson,Girl with a Pearl Earring ,34700,0,17th century|girl|maid|painter|painting,296,
Wolfgang Petersen,249,18,Martin Semmelrogge,11433134,Adventure|Drama|Thriller|War,Jürgen Prochnow,Das Boot ,469,0,duty|submarine|submarine movie|tension|u boat,426,14000000
John Lee Hancock,102,877,Marc Blucas,22406362,Drama|History|War|Western,Dennis Quaid,The Alamo ,5780,0,army|dictator|general|texan|texas,267,107000000
Wallace Wolodarsky,32,503,Barry Watson,10198766,Comedy,Heather Matarazzo,Sorority Boys ,2393,3,college|cruise|drag|female armpit hair|sorority,105,12000000
Richard Curtis,628,171,Tom Hollander,15294553,Drama|Fantasy|Romance,Tom Hughes,About Time ,1595,1,boyfriend girlfriend relationship|lingerie slip|time travel|time travel romance|wedding,391,12000000
Yimou Zhang,611,4,Andy Lau,11041228,Action|Adventure|Drama|Romance,Takeshi Kaneshiro,House of Flying Daggers ,1244,3,flying|flying dagger|government|police|secret,420,100000000
Nicholas Jarecki,27,360,Curtiss Cook,7918283,Drama|Thriller,Nate Parker,Arbitrage ,2440,1,accidental death|dead woman|dead woman with eyes open|death of mistress|manager,145,12000000
Dean Israelite,16,265,Jonny Weston,22331028,Sci-Fi|Thriller,Gary Weeks,Project Almanac ,1819,0,found footage|teenager|time machine|time travel|video footage,177,12000000
Darnell Martin,67,192,Veronika Dash,8134217,Biography|Drama|Music,Cedric the Entertainer,Cadillac Records ,1141,3,1950s|jazz|jazz music|sex|title directed by female,90,12000000
Scott Alexander,25,654,Dave Chappelle,6982680,Comedy|Crime,Sarah Silverman,Screwed ,3848,0,chauffeur|disorganized crime|dog|ransom|slapstick,69,10000000
Stuart Gordon,216,968,Kurtwood Smith,6739141,Action|Crime|Sci-Fi|Thriller,Christopher Lambert,Fortress ,4755,0,escape|future|population control|prison|prisoner,68,8000000
Christopher Guest,378,783,Catherine O'Hara,5542025,Comedy,John Michael Higgins,For Your Consideration ,3535,0,actor|internet|make up|publicist|purim,150,12000000
Woody Allen,11000,99,Aleksa Palladino,5032496,Comedy|Drama,Melanie Griffith,Celebrity ,943,0,celebrity|journalist|lesbian kiss|strong female character|tv producer,161,12000000
Ryan Murphy,708,316,Joseph Cross,6754898,Comedy|Drama,Jill Clayburgh,Running with Scissors ,1291,0,alcoholic|fame|therapist|writer|writing,188,12000000
Robert Iscove,7,251,Kelly Clarkson,4922166,Comedy|Musical|Romance,Anika Noni Rose,From Justin to Kelly ,1445,2,bar|florida|love|spring break|waitress,304,12000000
Spike Lee,0,599,Debi Mazar,4903000,Comedy|Drama,Michael Imperioli,Girl 6 ,4497,3,actress|neighbor|phone sex|queens new york city|sex addiction,33,12000000
Jane Campion,319,48,Nick Damici,4717455,Mystery|Thriller,Jennifer Jason Leigh,In the Cut ,1171,0,blow job|female rear nudity|female removes her clothes|oral sex|three of spades tattoo,354,12000000
James Gray,115,103,Vinessa Shaw,3148482,Drama|Romance,Isabella Rossellini,Two Lovers ,1540,0,jewish|love|married man|neighbor|photograph,98,12000000
Fred Schepisi,40,794,Ray Winstone,2326407,Drama,Bob Hoskins,Last Orders ,7166,5,ashes|butcher|friend|friendship|memory,99,12000000
Joon-ho Bong,584,74,Kang-ho Song,2201412,Comedy|Drama|Horror|Sci-Fi,Doona Bae,The Host ,1173,0,daughter|han river|monster|river|seoul,279,12215500000
Roger Spottiswoode,55,212,Treat Williams,,Adventure|Crime|Thriller,Robert Duvall,The Pursuit of D.B. Cooper ,4277,0,escape|jumping from an airplane|money|parachute|ransom,10,12000000
Antonia Bird,61,611,Jeffrey Jones,2060953,Fantasy|Horror|Thriller,Jeremy Davies,Ravenous ,2543,0,based on true story|cannibalism|captain|mexican american war|u.s. frontier,316,12000000
Jon Poll,20,442,Megan Park,3950294,Comedy|Drama|Romance,Robert Downey Jr.,Charlie Bartlett ,22577,5,drugs|high school|prescription drugs|private school|student,124,12000000
Paolo Sorrentino,667,70,Sabrina Ferilli,2835886,Drama,Toni Servillo,The Great Beauty ,456,2,genitalia|male frontal nudity|male nudity|old age|party,124,9200000
Peter Care,0,77,Michael Harding,1779284,Comedy|Drama,Kieran Culkin,The Dangerous Lives of Altar Boys ,1292,4,book|boy|catholic|comic book|friend,122,12000000
Chan-wook Park,0,520,Alden Ehrenreich,1702277,Drama|Thriller,Mia Wasikowska,Stoker ,5074,4,death|hitchcockian|psychopath|sociopath|vomiting,235,12000000
Kar-Wai Wong,0,576,Tony Chiu Wai Leung,261481,Drama|Romance|Sci-Fi,Li Gong,2046 ,2378,0,number in title|train|woman slaps a man|woman slaps man|written by director,210,12000000
Ira Sachs,60,18,Erin Boyes,1506998,Crime|Drama|Romance,David Richmond-Peck,Married Life ,141,4,bachelor|best friend|divorce|poison|widow,50,12000000
Carroll Ballard,19,393,Hope Davis,860002,Adventure|Drama|Family,Eamonn Walker,Duma ,1579,0,africa|bed|boy|cheetah|south africa,43,12000000
Neil Jordan,277,289,Stephen Rea,548934,Drama|Mystery|Romance,Tony Curran,Ondine ,1554,2,celtic mythology|cottage|fisherman|irish|selkie,57,12000000
Takeshi Kitano,0,403,Tatyana Ali,447750,Crime|Drama|Thriller,Omar Epps,Brother ,2126,0,gang|gangster|subjective camera|written and directed by cast member|yakuza,133,10000000
Anthony Russo,94,146,Isaiah Washington,333976,Comedy|Crime,Michael Jeter,Welcome to Collinwood ,1373,0,boxing knockout|heist|implied sex|keys|prison,90,12000000
Sidney Lumet,0,745,Anne Bancroft,141853,Comedy|Drama,Kyra Sedgwick,Critical Care ,3099,2,half sister|hospital|latex gloves|medicine|nun,12,12000000
Vadim Perelman,26,350,Lynn Cohen,303439,Drama|Mystery|Thriller,Eva Amurri Martino,The Life Before Her Eyes ,2073,2,best friend|nonlinear timeline|school shooting|self sacrifice|shooting,78,8000000
Lawrence Kasdan,759,820,Mark Duplass,793352,Comedy|Drama|Romance,Dianne Wiest,Darling Companion ,3878,1,dog|marriage|search|wedding|woods,25,
Marco Kreuzpaintner,7,289,Kate del Castillo,214202,Crime|Drama|Thriller,Zack Ward,Trade ,1952,0,friend|girl|mexico city|new jersey|sex,75,12000000
Lajos Koltai,45,0,Péter Fancsikai,195888,Drama|Romance|War,Marcell Nagy,Fateless ,11,0,bus|death|gay slur|hatred|jewish,45,2500000000
Alan Rudolph,18,865,Albert Finney,175370,Comedy,Bruce Willis,Breakfast of Champions ,17417,1,breakfast|manitoba|science fiction writer|suicide|writer,133,12000000
Yimou Zhang,611,3,Ni Yan,190666,Comedy|Drama,Honglei Sun,"A Woman, a Gun and a Noodle Shop ",18,1,betrayal|husband wife relationship|murder|noodles|salary,20,
Vincenzo Natali,165,280,Jeremy Northam,,Mystery|Romance|Sci-Fi|Thriller,David Hewlett,Cypher ,1501,2,brainwashing|corporate espionage|spy|suburb|surprise ending,124,7500000
Chuan Lu,14,3,Yuanyuan Gao,119922,Drama|History|War,Ye Liu,City of Life and Death ,91,0,atrocity|battle|chinese|horseback riding|martial arts,62,12000000
Tim Johnson,12,183,Matt Jones,177343675,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Jim Parsons,Home ,17883,0,alien friendship|alien invasion|australia|flying car|mother daughter relationship,214,135000000
Lijun Sun,0,188,Tom Arnold,,Action|Adventure|Animation|Comedy|Family,Jon Heder,Legend of Kung Fu Rabbit ,1854,0,anthropomorphic animal|china|furry|rabbit,12,
Takashi Yamazaki,7,16,Meisa Kuroki,,Action|Adventure|Drama|Sci-Fi,Takuya Kimura,Space Battleship Yamato ,164,0,alien|battleship|message|radiation|yamato,49,12000000
Renny Harlin,212,18,Kenneth Cranham,17149,Action|Drama|War,Richard Coyle,5 Days of War ,708,9,cameraman|epic battle|journalist|south ossetia|street shootout,61,20000000
Christopher Smith,76,42,Michael Dorman,,Fantasy|Mystery|Thriller,Rachael Carpani,Triangle ,433,1,deja vu|lost at sea|ship|time loop|trapped in a time loop,293,12000000
Timothy Hines,0,247,Kelly LeBrock,14616,Drama,Christopher Lambert,10 Days in a Madhouse ,2059,1,,10,12000000
Randall Wallace,130,79,Connor Corum,91443253,Biography|Drama,Jacob Vargas,Heaven Is for Real ,663,,based on true story|christ|christian|near death experience|pastor,153,12000000
Guy Ritchie,0,1000,Brad Pitt,30093107,Comedy|Crime,Jason Statham,Snatch ,39175,6,boxer|boxing|diamond|fight|gypsy,726,6000000
David Winters,49,84,Matt Marr,,Family|Musical,Gary Daniels,Dancin' It's On ,895,6,,7,12000000
Mary Lambert,52,426,Fred Gwynne,57469179,Fantasy|Horror,Miko Hughes,Pet Sematary ,2987,0,cat|cemetery|maine|secret|woods,248,11500000
Akira Kurosawa,0,4,Tetsu Watanabe,48856,Drama,Tatsuo Matsumura,Madadayo ,30,0,air raid|beer|birthday|japan|professor,40,11900000
Jamie Thraves,2,388,Caroline Dhavernas,,Drama|Thriller,Paddy Considine,The Cry of the Owl ,1780,2,isolated house|promotion|river|small town|stalking,27,11500000
Mabel Cheung,3,2,Ching Wan Lau,,Drama,Wei Tang,A Tale of Three Cities ,244,1,,6,12000000
Joe Dante,287,233,Harry Carey Jr.,148170000,Comedy|Fantasy|Horror,Phoebe Cates,Gremlins ,2053,0,bright light|midnight|pet|small town|water,245,11000000
George Lucas,0,504,Peter Cushing,460935665,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,Star Wars: Episode IV - A New Hope ,13485,1,death star|empire|galactic war|princess|rebellion,1470,11000000
Dan Mazer,11,411,Zoey Deutch,35537564,Comedy,Robert De Niro,Dirty Grandpa ,24063,1,female removes her clothes|fondling|voyeur|voyeurism|white panties,166,11500000
David Lean,767,382,Klaus Kinski,111722000,Drama|Romance|War,Julie Christie,Doctor Zhivago ,1966,2,bolshevik|poet|poetry|russia|russian revolution,255,11000000
Stephen Daldry,335,14,Selton Mello,10230,Adventure|Crime|Drama|Mystery|Thriller,Wagner Moura,Trash ,679,0,bible|key|poverty|slum|wallet,26,
Kenny Ortega,197,632,Matt Prokop,90556401,Comedy|Drama|Family|Music|Musical|Romance,Lucas Grabeel,High School Musical 3: Senior Year ,3507,1,basketball|curtain call|graduation|high school|high school senior,171,11000000
David O. Russell,737,141,Jack McGee,93571803,Biography|Drama|Sport,Christian Bale,The Fighter ,23811,2,boxer|boxing|boxing match|crack cocaine|lowell massachusetts,389,25000000
