director_name,num_critic_for_reviews,actor_3_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,budget,imdb_score,aspect_ratio
Alec Asten,1,237,Action,Luis Sanchez,Diamond Ruff ,1752,6,prison|prisoner|reverend|terminal illness|two word title,http://www.imdb.com/title/tt2111292/?ref_=fn_tt_tt_1,5,English,USA,500000,4.3,
Hans Canosa,365,446,Comedy|Drama|Romance,Olivia Wilde,Conversations with Other Women ,12496,0,female frontal nudity|filming a wedding|lingerie slip|memory|wedding,http://www.imdb.com/title/tt0435623/?ref_=fn_tt_tt_1,54,English,UK,450000,7.1,2.39
Lloyd Kaufman,88,49,Comedy|Horror|Musical,John Karyus,Poultrygeist: Night of the Chicken Dead ,1411,0,castration|chicken|fast food|indian burial ground|protest,http://www.imdb.com/title/tt0462485/?ref_=fn_tt_tt_1,58,English,USA,500000,6.2,1.85
Matthew Watts,3,304,Comedy|Romance,Jennifer Lafleur,Mutual Friends ,2830,1,bromance|manhattan new york city|new york city|photograph|surprise,http://www.imdb.com/title/tt2112209/?ref_=fn_tt_tt_1,3,English,USA,450000,6.8,
Lloyd Bacon,65,45,Comedy|Musical|Romance,Ginger Rogers,42nd Street ,995,2,chorus girl|chorus line|director|gala premiere|song,http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1,97,English,USA,439000,7.7,1.37
Joe Kenemore,,0,Documentary,Bob Proctor,Rise of the Entrepreneur: The Search for a Better Way ,10,0,business|entrepreneur|network marketing,http://www.imdb.com/title/tt4273494/?ref_=fn_tt_tt_1,10,English,USA,450000,8.2,
Whit Stillman,71,3,Comedy|Drama|Romance,Chris Eigeman,Metropolitan ,173,1,apartment|dancing|debutante|new york|upper class,http://www.imdb.com/title/tt0100142/?ref_=fn_tt_tt_1,52,English,USA,225000,7.5,1.66
Kay Pollak,34,19,Comedy|Drama|Music|Romance,Michael Nyqvist,As It Is in Heaven ,774,15,amazing grace the hymn|choir|heart attack|hometown|skidding truck,http://www.imdb.com/title/tt0382330/?ref_=fn_tt_tt_1,94,Swedish,Sweden,25000000,7.6,1.85
Eric England,15,93,Drama|Horror|Mystery|Thriller,Jack E. Curenton,Roadside ,1151,0,dog|gun|hostage|husband wife relationship|jealousy,http://www.imdb.com/title/tt1958007/?ref_=fn_tt_tt_1,6,English,USA,,4.1,16.0
Jared Hess,220,482,Comedy,Jon Heder,Napoleon Dynamite ,3950,0,class president|family relationships|friend|high school|jock,http://www.imdb.com/title/tt0374900/?ref_=fn_tt_tt_1,1473,English,USA,400000,6.9,1.85
Jeremy Saulnier,279,92,Crime|Drama|Thriller,Devin Ratray,Blue Ruin ,1528,0,blood splatter|car|neo noir|vengeance|vomiting,http://www.imdb.com/title/tt2359024/?ref_=fn_tt_tt_1,135,English,USA,1066167,7.1,2.35
Oren Peli,409,21,Horror,Micah Sloat,Paranormal Activity ,330,0,dark force|entity|evil force|found footage|paranormal phenomenon,http://www.imdb.com/title/tt1179904/?ref_=fn_tt_tt_1,1189,English,USA,15000,6.3,1.85
Stacy Peralta,86,5,Documentary|Sport,Tony Alva,Dogtown and Z-Boys ,54,0,california|drought|playground|skateboarding|surfer,http://www.imdb.com/title/tt0275309/?ref_=fn_tt_tt_1,88,English,USA,,7.7,1.37
Terry Gilliam,131,332,Adventure|Comedy|Fantasy,Eric Idle,Monty Python and the Holy Grail ,2158,0,camelot|holy grail|king arthur|knight|lancelot,http://www.imdb.com/title/tt0071853/?ref_=fn_tt_tt_1,660,English,UK,229575,8.3,1.66
Richard Glatzer,69,138,Drama,Emily Rios,Quinceañera ,771,1,15th birthday|birthday|gay|party|security guard,http://www.imdb.com/title/tt0451176/?ref_=fn_tt_tt_1,48,Spanish,USA,400000,7.1,2.35
Sue Corcoran,8,6,Comedy|Fantasy|Horror|Musical,Tony Doupe,Gory Gory Hallelujah ,387,2,conspiracy|feminist|hippie|motorcycle|slapstick comedy,http://www.imdb.com/title/tt0396041/?ref_=fn_tt_tt_1,18,English,USA,100000,4.7,1.78
,75,833,Drama|Fantasy|Sci-Fi|Thriller,Sendhil Ramamurthy,Heroes             ,4908,4,father daughter relationship|serial killer|superhero|supernatural power|vision of the future,http://www.imdb.com/title/tt0813715/?ref_=fn_tt_tt_1,379,English,USA,,7.7,16.0
Jonathan Caouette,72,0,Biography|Documentary,Greg Ayres,Tarnation ,78,3,answering machine|home movie|lithium|schizophrenic|video diary,http://www.imdb.com/title/tt0390538/?ref_=fn_tt_tt_1,114,English,USA,218,7.2,1.37
Ray Griggs,4,12,Documentary,Bill Farmer,I Want Your Money ,168,0,,http://www.imdb.com/title/tt1560957/?ref_=fn_tt_tt_1,31,English,USA,400000,5.1,1.78
Matt Jackson,9,271,Comedy|Horror,Kane Hodder,Love in the Time of Monsters ,2350,3,bigfoot|love|monster|sasquatch|tourist,http://www.imdb.com/title/tt2403415/?ref_=fn_tt_tt_1,5,English,USA,500000,5.4,
Lucio Fulci,203,22,Horror,Catriona MacColl,The Beyond ,123,0,doctor|hell|hotel|painter|plumber,http://www.imdb.com/title/tt0082307/?ref_=fn_tt_tt_1,253,Italian,Italy,400000,6.9,2.35
,11,6,Animation|Comedy|Drama,Brendon Small,Home Movies             ,81,0,coach|friend|school|series|tv series,http://www.imdb.com/title/tt0197159/?ref_=fn_tt_tt_1,82,English,USA,,8.2,1.33
Tom Vaughan,148,149,Comedy|Romance,Treat Williams,What Happens in Vegas ,1026,2,casino|father son relationship|jackpot|judge|wedding,http://www.imdb.com/title/tt1033643/?ref_=fn_tt_tt_1,151,English,USA,35000000,6.1,2.35
Paul Fox,80,39,Horror|Thriller,Dov Tiefenbach,The Dark Hours ,272,0,brain tumor|champagne|game|psychiatrist|weekend,http://www.imdb.com/title/tt0402249/?ref_=fn_tt_tt_1,52,English,Canada,500000,6.1,1.85
Stephen Frears,46,33,Comedy|Drama|Romance,Saeed Jaffrey,My Beautiful Laundrette ,260,1,england|mistress|pakistani|politics|thatcher,http://www.imdb.com/title/tt0091578/?ref_=fn_tt_tt_1,64,English,UK,650000,6.9,1.66
Ari Kirschenbaum,8,36,Drama|Horror|Mystery|Thriller,R. Brandon Johnson,Fabled ,312,0,,http://www.imdb.com/title/tt0299863/?ref_=fn_tt_tt_1,10,English,USA,,5.8,1.78
Cassandra Nicolaou,10,83,Drama|Thriller,Katharine Isabelle,Show Me ,1163,0,bathtub|implied incest|lesbian|squeegee|tied to a chair,http://www.imdb.com/title/tt0414510/?ref_=fn_tt_tt_1,5,French,Canada,900000,6.0,1.78
Ingmar Bergman,76,92,Drama,Liv Ullmann,Cries & Whispers ,809,0,dying|love|mansion|selfishness|turn of the century,http://www.imdb.com/title/tt0069467/?ref_=fn_tt_tt_1,197,Swedish,Sweden,400000,8.2,1.66
D.W. Griffith,69,9,Drama|History|War,Lillian Gish,Intolerance: Love's Struggle Throughout the Ages ,481,1,huguenot|intolerance|medicis|protestant|wedding,http://www.imdb.com/title/tt0006864/?ref_=fn_tt_tt_1,88,,USA,385907,8.0,1.33
Roger Nygard,43,513,Documentary,Walter Koenig,Trekkies ,2864,1,autograph|dentist|outer space|star trek|telephone call,http://www.imdb.com/title/tt0120370/?ref_=fn_tt_tt_1,75,English,USA,375000,7.0,
Harry Beaumont,36,4,Musical|Romance,Anita Page,The Broadway Melody ,109,8,sibling rivalry|singer|sister act|whistling|wisecrack humor,http://www.imdb.com/title/tt0019729/?ref_=fn_tt_tt_1,71,English,USA,379000,6.3,1.37
Sam Raimi,304,58,Fantasy|Horror,Ted Raimi,The Evil Dead ,813,0,cult director|cult film|evil dead|necronomicon|psychotronic film,http://www.imdb.com/title/tt0083907/?ref_=fn_tt_tt_1,740,English,USA,375000,7.6,1.37
Franck Khalfoun,279,118,Horror|Thriller,America Olivo,Maniac ,1233,0,exhibition|mannequin|obsession|oral sex|photographer,http://www.imdb.com/title/tt2103217/?ref_=fn_tt_tt_1,131,English,France,6000000,6.1,2.35
Mor Loushy,23,,Documentary|History,Amos Oz,Censored Voices ,3,0,,http://www.imdb.com/title/tt3457376/?ref_=fn_tt_tt_1,3,Hebrew,Israel,450000,7.2,1.78
Henry Alex Rubin,110,0,Documentary|Sport,Mark Zupan,Murderball ,15,1,paralympics|quad rugby|rugby|team|wheelchair,http://www.imdb.com/title/tt0436613/?ref_=fn_tt_tt_1,70,English,USA,1750211,7.8,1.85
Sam Firstenberg,40,93,Action|Drama,Michael Dudikoff,American Ninja 2: The Confrontation ,872,0,blood splatter|island|motorboat|ninja|sequel to cult film,http://www.imdb.com/title/tt0092548/?ref_=fn_tt_tt_1,46,English,USA,350000,4.7,1.85
Doug Block,45,0,Documentary,Carol Block,51 Birch Street ,0,2,address as title|number in title|parents,http://www.imdb.com/title/tt0468442/?ref_=fn_tt_tt_1,16,English,Germany,,7.5,
,23,576,Action|Adventure|Drama|Sci-Fi,Billy Burke,Revolution             ,5052,6,2020s|near future|one word series title|post apocalypse|year 2027,http://www.imdb.com/title/tt2070791/?ref_=fn_tt_tt_1,323,English,USA,,6.7,16.0
Chad Kapper,4,0,Family|Sci-Fi,Tom E. Nicholson,Rotor DR1 ,199,2,drone|playing with gun|post apocalypse|road trip|working class family,http://www.imdb.com/title/tt4162992/?ref_=fn_tt_tt_1,8,English,USA,350000,3.4,2.35
John Carpenter,318,598,Horror|Thriller,Jamie Lee Curtis,Halloween ,4400,0,halloween|masked killer|michael myers|slasher|trick or treat,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,1191,English,USA,300000,7.9,2.35
Sidney Lumet,177,253,Crime|Drama,Jack Warden,12 Angry Men ,1433,1,courtroom|dialogue driven|dialogue driven storyline|jury|murder,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1,888,English,USA,350000,8.9,1.66
Paul Fierlinger,51,258,Animation|Drama,Isabella Rossellini,My Dog Tulip ,1370,0,autobiography|dog movie|german shepherd|memoir|old man,http://www.imdb.com/title/tt0843358/?ref_=fn_tt_tt_1,15,English,USA,,6.9,1.85
Frank Capra,124,21,Comedy|Romance,Claudette Colbert,It Happened One Night ,540,1,bus|detective|love|money|reporter,http://www.imdb.com/title/tt0025316/?ref_=fn_tt_tt_1,235,English,USA,325000,8.2,1.37
Yorgos Lanthimos,211,14,Drama|Thriller,Angeliki Papoulia,Dogtooth ,126,0,fellatio|isolated house|overprotective father|social isolation|unsimulated sex,http://www.imdb.com/title/tt1379182/?ref_=fn_tt_tt_1,170,Greek,Greece,,7.3,2.35
Lauren Lazin,26,321,Biography|Documentary|Music,James Cagney,Tupac: Resurrection ,2638,0,hip hop|name in title|rap star|rapper|reference to tupac shakur,http://www.imdb.com/title/tt0343121/?ref_=fn_tt_tt_1,32,English,USA,,8.0,1.85
Gavin O'Connor,64,276,Comedy|Drama,Kimberly J. Brown,Tumbleweeds ,1986,1,boss|fight|reference to william shakespeare|white trash|written and directed by cast member,http://www.imdb.com/title/tt0161023/?ref_=fn_tt_tt_1,73,English,USA,312000,6.7,1.85
Gregory Widen,56,912,Action|Fantasy|Horror|Mystery|Thriller,Viggo Mortensen,The Prophecy ,13433,0,angel|corpse|girl|heaven|soul,http://www.imdb.com/title/tt0114194/?ref_=fn_tt_tt_1,194,English,USA,8000000,6.6,2.35
Cédric Klapisch,29,8,Comedy|Romance,Simon Abkarian,When the Cat's Away ,102,7,cat|homosexual sex|male homosexuality|neighborhood|noisy neighbor,http://www.imdb.com/title/tt0115856/?ref_=fn_tt_tt_1,25,French,France,300000,6.9,1.66
Peter Hedges,131,543,Comedy|Drama,Oliver Platt,Pieces of April ,3010,3,apartment|oven|stove|thanksgiving|thanksgiving dinner,http://www.imdb.com/title/tt0311648/?ref_=fn_tt_tt_1,177,English,USA,300000,7.1,1.85
Niall Johnson,4,2,Drama,Kevin Howarth,The Big Swap ,37,0,breasts|female frontal nudity|jealousy|male full frontal nudity|male nudity,http://www.imdb.com/title/tt0118717/?ref_=fn_tt_tt_1,7,English,UK,,5.6,1.33
Kelly Reichardt,88,26,Drama,Daniel London,Old Joy ,132,2,cell phone|male frontal nudity|oregon|sexual ambiguity|title directed by female,http://www.imdb.com/title/tt0468526/?ref_=fn_tt_tt_1,57,English,USA,300000,6.7,1.66
Kelly Reichardt,189,26,Drama,John Robinson,Wendy and Lucy ,460,1,car|dog|flip phone|rape threat|vulnerable,http://www.imdb.com/title/tt1152850/?ref_=fn_tt_tt_1,112,English,USA,200000,7.1,1.85
Eric Mendelsohn,20,301,Drama,Embeth Davidtz,3 Backyards ,1884,0,number in title,http://www.imdb.com/title/tt1314190/?ref_=fn_tt_tt_1,23,English,USA,300000,5.2,
Jean-Luc Godard,96,0,Crime|Drama|Romance,Jean-Paul Belmondo,Pierrot le Fou ,967,1,beach|money|on the run|party|smuggling,http://www.imdb.com/title/tt0059592/?ref_=fn_tt_tt_1,74,French,France,300000,7.7,2.35
Florence Ayisi,27,,Documentary,Vera Ngassa,Sisters in Law ,2,1,,http://www.imdb.com/title/tt0474361/?ref_=fn_tt_tt_1,8,English,Cameroon,,7.5,
Pan Nalin,15,,Documentary,,Ayurveda: Art of Being ,0,0,eastern philosophy|healing|india|life,http://www.imdb.com/title/tt0221809/?ref_=fn_tt_tt_1,12,English,India,300000,7.6,1.85
Michael Roemer,24,87,Drama|Romance,Yaphet Kotto,Nothing But a Man ,835,1,1960s|father|railroad|town|worker,http://www.imdb.com/title/tt0058414/?ref_=fn_tt_tt_1,26,English,USA,160000,8.1,
Jesse Peretz,16,104,Drama|Romance,Robert John Burke,"First Love, Last Rites ",751,0,listening to music|misfit|panties|red panties|sex,http://www.imdb.com/title/tt0128214/?ref_=fn_tt_tt_1,16,English,USA,300000,5.5,
Eddie O'Flaherty,13,25,Drama|Sport,Don Wallace,Fighting Tommy Riley ,185,0,older man younger man relationship|punching bag|school teacher|undressing|unrequited love,http://www.imdb.com/title/tt0366444/?ref_=fn_tt_tt_1,23,English,USA,200000,6.6,2.35
Babar Ahmed,8,32,Action|Thriller,Lalaine,Royal Kill ,689,0,assassin|female assassin|kingdom|martial arts|mission,http://www.imdb.com/title/tt0421237/?ref_=fn_tt_tt_1,18,English,USA,350000,3.2,
Julie Taymor,156,107,Drama|Fantasy|Musical|Romance,Jim Sturgess,Across the Universe ,5405,0,anti war|liverpool|love|protest|song,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,524,English,USA,45000000,7.4,2.35
John D. Hancock,4,221,Drama|Music,Trish Basinger,The Looking Glass ,1440,0,,http://www.imdb.com/title/tt2912776/?ref_=fn_tt_tt_1,1,English,USA,,6.6,
Paul Bartel,164,668,Action|Comedy|Sci-Fi|Sport,Sylvester Stallone,Death Race 2000 ,14950,0,cult director|cult film|drive in classic|psychotronic|race,http://www.imdb.com/title/tt0072856/?ref_=fn_tt_tt_1,147,English,USA,300000,6.2,1.85
Bruce Dellis,10,309,Thriller,Tatyana Ali,Locker 13 ,2048,3,digit in title|latino|life or death|philosophy|supernatural,http://www.imdb.com/title/tt1241226/?ref_=fn_tt_tt_1,5,English,USA,300000,4.8,1.85
Pece Dingo,1,87,Horror,Michael Des Barres,Midnight Cabaret ,544,0,cigarette smoking|death|devil|nightmare|satanic cult,http://www.imdb.com/title/tt0100146/?ref_=fn_tt_tt_1,4,English,USA,,4.5,
Jerome Elston Scott,8,248,Comedy|Drama|Romance,Taran Killam,Anderson's Cross ,1545,7,divorce|marriage|mother daughter relationship|sex|teenage boy,http://www.imdb.com/title/tt0393049/?ref_=fn_tt_tt_1,7,English,USA,300000,7.2,
