director_name,duration,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,movie_imdb_link,language,country,title_year,imdb_score,movie_facebook_likes
Kevin Allen,100,23222861,Action|Adventure|Comedy|Family|Romance|Sci-Fi,Daniel Roebuck,Agent Cody Banks 2: Destination London ,3742,David Kelly,http://www.imdb.com/title/tt0358349/?ref_=fn_tt_tt_1,English,USA,2004,4.5,167
Garry Marshall,113,54540525,Comedy|Romance,Robert De Niro,New Year's Eve ,23456,Seth Meyers,http://www.imdb.com/title/tt1598822/?ref_=fn_tt_tt_1,English,USA,2011,5.7,20000
Michael Cristofer,118,16252765,Drama|Mystery|Romance|Thriller,Angelina Jolie Pitt,Original Sin ,11662,Jack Thompson,http://www.imdb.com/title/tt0218922/?ref_=fn_tt_tt_1,English,France,2001,6.0,3000
James McTeigue,110,16005978,Crime|Mystery|Thriller,Pam Ferris,The Raven ,2356,Kevin McNally,http://www.imdb.com/title/tt1486192/?ref_=fn_tt_tt_1,English,USA,2012,6.4,35000
Donald Petrie,110,14469428,Comedy|Romance,Rip Torn,Welcome to Mooseport ,2466,Maura Tierney,http://www.imdb.com/title/tt0361925/?ref_=fn_tt_tt_1,English,USA,2004,5.2,260
Andrew Morahan,99,13829734,Action|Fantasy|Romance|Sci-Fi,Christopher Lambert,Highlander: The Final Dimension ,2960,Mario Van Peebles,http://www.imdb.com/title/tt0110027/?ref_=fn_tt_tt_1,English,Canada,1994,4.3,319
Bob Rafelson,101,1075288,Crime|Drama|Thriller,Harold Perrineau,Blood and Wine ,2228,Judy Davis,http://www.imdb.com/title/tt0115710/?ref_=fn_tt_tt_1,English,USA,1996,6.1,145
Michael Cohn,100,,Fantasy|Horror,David Conrad,Snow White: A Tale of Terror ,2170,Monica Keena,http://www.imdb.com/title/tt0119227/?ref_=fn_tt_tt_1,English,USA,1997,6.3,0
Woody Allen,103,7496522,Comedy|Crime|Mystery|Romance,Woody Allen,The Curse of the Jade Scorpion ,12534,Peter Gerety,http://www.imdb.com/title/tt0256524/?ref_=fn_tt_tt_1,English,USA,2001,6.8,826
David O. Russell,100,,Comedy|Romance,Jake Gyllenhaal,Accidental Love ,19068,Beverly D'Angelo,http://www.imdb.com/title/tt1137470/?ref_=fn_tt_tt_1,English,USA,2015,4.0,0
Alan Shapiro,95,20047715,Adventure|Family,Paul Hogan,Flipper ,616,Jessica Wesson,http://www.imdb.com/title/tt0116322/?ref_=fn_tt_tt_1,English,USA,1996,5.2,504
Tarsem Singh,117,12276810,Action|Mystery|Sci-Fi|Thriller,Ryan Reynolds,Self/less ,17847,Sandra Ellis Lafferty,http://www.imdb.com/title/tt2140379/?ref_=fn_tt_tt_1,English,USA,2015,6.5,11000
Fernando Meirelles,129,33565375,Drama|Mystery|Romance|Thriller,Archie Panjabi,The Constant Gardener ,1565,Donald Sumpter,http://www.imdb.com/title/tt0387131/?ref_=fn_tt_tt_1,English,UK,2005,7.5,0
Mel Gibson,120,499263,Drama,Christo Jivkov,The Passion of the Christ ,705,Hristo Shopov,http://www.imdb.com/title/tt0335345/?ref_=fn_tt_tt_1,Aramaic,USA,2004,7.1,13000
Chris Columbus,125,219200000,Comedy|Drama|Family|Romance,Robin Williams,Mrs. Doubtfire ,52201,Matthew Lawrence,http://www.imdb.com/title/tt0107614/?ref_=fn_tt_tt_1,English,USA,1993,6.9,0
Barry Levinson,133,172825435,Drama,Tom Cruise,Rain Man ,12285,Beth Grant,http://www.imdb.com/title/tt0095953/?ref_=fn_tt_tt_1,English,USA,1988,8.0,12000
Clint Eastwood,116,148085755,Drama,Clint Eastwood,Gran Torino ,17347,Ahney Her,http://www.imdb.com/title/tt1205489/?ref_=fn_tt_tt_1,English,USA,2008,8.2,28000
Oliver Stone,129,25517500,Biography|Drama|History,Toby Jones,W. ,4264,Bruce McGill,http://www.imdb.com/title/tt1175491/?ref_=fn_tt_tt_1,English,USA,2008,6.4,0
Pierre Morel,93,145000989,Action|Thriller,Liam Neeson,Taken ,16461,Xander Berkeley,http://www.imdb.com/title/tt0936501/?ref_=fn_tt_tt_1,English,France,2008,7.9,29000
Michael Hoffman,118,26761283,Drama|Romance,Luke Bracey,The Best of Me ,3197,Clarke Peters,http://www.imdb.com/title/tt1972779/?ref_=fn_tt_tt_1,English,USA,2014,6.7,19000
Mick Jackson,129,121945720,Action|Drama|Music|Romance,Bill Cobbs,The Bodyguard ,2551,DeVaughn Nixon,http://www.imdb.com/title/tt0103855/?ref_=fn_tt_tt_1,English,USA,1992,6.1,0
Steven Spielberg,185,96067179,Biography|Drama|History,Liam Neeson,Schindler's List ,15233,Caroline Goodall,http://www.imdb.com/title/tt0108052/?ref_=fn_tt_tt_1,English,USA,1993,8.9,41000
Tate Taylor,146,169705587,Drama,Emma Stone,The Help ,23227,Mike Vogel,http://www.imdb.com/title/tt1454029/?ref_=fn_tt_tt_1,English,USA,2011,8.1,75000
Bill Condon,128,3254172,Biography|Drama|Thriller,Benedict Cumberbatch,The Fifth Estate ,36337,Jamie Blackley,http://www.imdb.com/title/tt1837703/?ref_=fn_tt_tt_1,English,USA,2013,6.2,11000
Raja Gosnell,93,84185387,Adventure|Comedy|Family|Fantasy|Horror|Mystery,Sarah Michelle Gellar,Scooby-Doo 2: Monsters Unleashed ,7800,Tim Blake Nelson,http://www.imdb.com/title/tt0331632/?ref_=fn_tt_tt_1,English,USA,2004,4.9,567
Oleg Stepchenko,107,,Adventure|Fantasy|Mystery|Thriller,Jason Flemyng,Viy ,1166,Agnia Ditkovskite,http://www.imdb.com/title/tt1224378/?ref_=fn_tt_tt_1,Russian,Russia,2014,5.4,0
Ronny Yu,97,82163317,Action|Horror|Thriller,Katharine Isabelle,Freddy vs. Jason ,4692,Zack Ward,http://www.imdb.com/title/tt0329101/?ref_=fn_tt_tt_1,English,USA,2003,5.8,3000
Michael Winterbottom,101,,Drama,Cara Delevingne,The Face of an Angel ,1041,Sara Stewart,http://www.imdb.com/title/tt2967008/?ref_=fn_tt_tt_1,English,UK,2014,4.7,488
John A. Davis,82,80920948,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Martin Short,Jimmy Neutron: Boy Genius ,2251,Andrea Martin,http://www.imdb.com/title/tt0268397/?ref_=fn_tt_tt_1,English,USA,2001,6.0,425
Matt Reeves,85,80034302,Action|Adventure|Horror|Sci-Fi,Mike Vogel,Cloverfield ,3958,Liza Lapira,http://www.imdb.com/title/tt1060277/?ref_=fn_tt_tt_1,English,USA,2008,7.0,0
Michael Pressman,88,78656813,Action|Adventure|Comedy|Family|Sci-Fi,Kevin Nash,Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,2501,Ernie Reyes Jr.,http://www.imdb.com/title/tt0103060/?ref_=fn_tt_tt_1,English,USA,1991,6.0,0
Brian De Palma,119,76270454,Crime|Drama|Thriller,Robert De Niro,The Untouchables ,22767,Charles Martin Smith,http://www.imdb.com/title/tt0094226/?ref_=fn_tt_tt_1,English,USA,1987,7.9,0
Ethan Coen,122,74273505,Crime|Drama|Thriller,Kelly Macdonald,No Country for Old Men ,4738,Barry Corbin,http://www.imdb.com/title/tt0477348/?ref_=fn_tt_tt_1,English,USA,2007,8.1,21000
Tim Story,99,134141530,Action|Comedy|Crime|Romance,Bruce McGill,Ride Along ,2394,Bryan Callen,http://www.imdb.com/title/tt1408253/?ref_=fn_tt_tt_1,English,USA,2014,6.2,0
Sharon Maguire,97,71500556,Comedy|Drama|Romance,Colin Firth,Bridget Jones's Diary ,16999,Shirley Henderson,http://www.imdb.com/title/tt0243155/?ref_=fn_tt_tt_1,English,UK,2001,6.7,0
Lasse Hallström,121,71309760,Drama|Romance,Lena Olin,Chocolat ,1323,Hugh O'Conor,http://www.imdb.com/title/tt0241303/?ref_=fn_tt_tt_1,English,UK,2000,7.3,18000
Charles Herman-Wurmfeld,95,89808372,Comedy,Mary Lynn Rajskub,"Legally Blonde 2: Red, White & Blonde ",3500,Bob Newhart,http://www.imdb.com/title/tt0333780/?ref_=fn_tt_tt_1,English,USA,2003,4.6,660
Andy Fickman,105,77264926,Comedy|Family,Bailee Madison,Parental Guidance ,5740,Tom Everett Scott,http://www.imdb.com/title/tt1047540/?ref_=fn_tt_tt_1,English,USA,2012,6.1,0
Ivan Reitman,108,70625986,Comedy|Romance,Natalie Portman,No Strings Attached ,22739,Mindy Kaling,http://www.imdb.com/title/tt1411238/?ref_=fn_tt_tt_1,English,USA,2011,6.2,24000
George P. Cosmatos,134,56505065,Action|Biography|Drama|History|Romance|Western,Michael Biehn,Tombstone ,4453,Powers Boothe,http://www.imdb.com/title/tt0108358/?ref_=fn_tt_tt_1,English,USA,1993,7.8,11000
Andrzej Bartkowiak,115,55973336,Action|Crime|Thriller,Jet Li,Romeo Must Die ,9082,Aaliyah,http://www.imdb.com/title/tt0165929/?ref_=fn_tt_tt_1,English,USA,2000,6.1,0
Richard Donner,107,,Fantasy|Horror|Mystery,Lee Remick,The Omen ,673,Billie Whitelaw,http://www.imdb.com/title/tt0075005/?ref_=fn_tt_tt_1,English,UK,1976,7.6,7000
James Wong,86,54098051,Horror,Chelan Simmons,Final Destination 3 ,2420,Crystal Lowe,http://www.imdb.com/title/tt0414982/?ref_=fn_tt_tt_1,English,Germany,2006,5.8,0
Scott Hicks,101,60443237,Drama|Romance,Blythe Danner,The Lucky One ,1852,Jay R. Ferguson,http://www.imdb.com/title/tt1327194/?ref_=fn_tt_tt_1,English,USA,2012,6.5,29000
Gabor Csupo,96,82234139,Adventure|Drama|Family|Fantasy,Josh Hutcherson,Bridge to Terabithia ,28071,Bailee Madison,http://www.imdb.com/title/tt0398808/?ref_=fn_tt_tt_1,English,USA,2007,7.2,6000
Marc Forster,101,51676606,Biography|Drama|Family,Johnny Depp,Finding Neverland ,58823,Kelly Macdonald,http://www.imdb.com/title/tt0308644/?ref_=fn_tt_tt_1,English,USA,2004,7.8,0
Tyler Perry,100,52528330,Comedy|Drama,Alicia Witt,A Madea Christmas ,3202,Larry the Cable Guy,http://www.imdb.com/title/tt2609758/?ref_=fn_tt_tt_1,English,USA,2013,4.7,0
Joe Carnahan,117,51533608,Action|Adventure|Drama|Thriller,Liam Neeson,The Grey ,16606,James Badge Dale,http://www.imdb.com/title/tt1601913/?ref_=fn_tt_tt_1,English,USA,2011,6.8,32000
John Polson,101,51097664,Drama|Horror|Mystery|Thriller,Robert De Niro,Hide and Seek ,23328,Robert John Burke,http://www.imdb.com/title/tt0382077/?ref_=fn_tt_tt_1,English,USA,2005,5.9,0
Adam McKay,98,84136909,Comedy,Darcy Donavan,Anchorman: The Legend of Ron Burgundy ,656730,Steve Carell,http://www.imdb.com/title/tt0357413/?ref_=fn_tt_tt_1,English,USA,2004,7.2,0
Martin Scorsese,146,46836394,Biography|Crime|Drama,Robert De Niro,Goodfellas ,24783,Paul Sorvino,http://www.imdb.com/title/tt0099685/?ref_=fn_tt_tt_1,English,USA,1990,8.7,25000
Harald Zwart,102,47285499,Action|Adventure|Comedy|Crime|Family|Romance|Thriller,Daniel Roebuck,Agent Cody Banks ,3037,Chris Gauthier,http://www.imdb.com/title/tt0313911/?ref_=fn_tt_tt_1,English,USA,2003,5.0,542
Kirk Jones,97,47124400,Comedy|Family|Fantasy,Colin Firth,Nanny McPhee ,17278,Imelda Staunton,http://www.imdb.com/title/tt0396752/?ref_=fn_tt_tt_1,English,USA,2005,6.6,0
Brian De Palma,142,44700000,Crime|Drama,Al Pacino,Scarface ,16464,Mary Elizabeth Mastrantonio,http://www.imdb.com/title/tt0086250/?ref_=fn_tt_tt_1,English,USA,1983,8.3,19000
Steve Oedekerk,98,44455658,Action|Adventure|Comedy|Crime,Kelly Preston,Nothing to Lose ,2457,Rebecca Gayheart,http://www.imdb.com/title/tt0119807/?ref_=fn_tt_tt_1,English,USA,1997,6.7,0
Bernardo Bertolucci,219,43984230,Biography|Drama|History,Cary-Hiroyuki Tagawa,The Last Emperor ,2451,Victor Wong,http://www.imdb.com/title/tt0093389/?ref_=fn_tt_tt_1,English,China,1987,7.8,0
Baltasar Kormákur,109,66489425,Action|Crime|Drama|Thriller,J.K. Simmons,Contraband ,26625,Lukas Haas,http://www.imdb.com/title/tt1524137/?ref_=fn_tt_tt_1,English,USA,2012,6.5,0
Brett Ratner,97,41067398,Action|Comedy|Crime|Thriller,Heather Locklear,Money Talks ,2530,Faizon Love,http://www.imdb.com/title/tt0119695/?ref_=fn_tt_tt_1,English,USA,1997,6.1,666
Paul Thomas Anderson,158,40218903,Drama,Jim Meskimen,There Will Be Blood ,533,Kevin Breznahan,http://www.imdb.com/title/tt0469494/?ref_=fn_tt_tt_1,English,USA,2007,8.1,16000
Cathy Malkasian,85,39880476,Adventure|Animation|Comedy|Family|Fantasy,Alfre Woodard,The Wild Thornberrys Movie ,2908,Cree Summer,http://www.imdb.com/title/tt0282120/?ref_=fn_tt_tt_1,English,USA,2002,5.2,187
John Eng,80,39399750,Adventure|Animation|Comedy|Family|Fantasy|Musical,Elizabeth Daily,Rugrats Go Wild ,3017,Nancy Cartwright,http://www.imdb.com/title/tt0337711/?ref_=fn_tt_tt_1,English,USA,2003,5.6,329
Malcolm D. Lee,86,38230435,Action|Comedy,Dave Chappelle,Undercover Brother ,3001,Chi McBride,http://www.imdb.com/title/tt0279493/?ref_=fn_tt_tt_1,English,USA,2002,5.8,0
Ken Kwapis,119,39008741,Comedy|Drama|Family|Romance,Mike Vogel,The Sisterhood of the Traveling Pants ,6862,Kyle Schmid,http://www.imdb.com/title/tt0403508/?ref_=fn_tt_tt_1,English,USA,2005,6.6,0
Chris Nahon,98,36833473,Action|Crime|Drama|Thriller,Jet Li,Kiss of the Dragon ,7945,Max Ryan,http://www.imdb.com/title/tt0271027/?ref_=fn_tt_tt_1,English,France,2001,6.6,0
Fred Wolf,97,48237389,Comedy|Romance,Emma Stone,The House Bunny ,18789,Beverly D'Angelo,http://www.imdb.com/title/tt0852713/?ref_=fn_tt_tt_1,English,USA,2008,5.5,0
Bille Woodruff,105,36310118,Comedy,Alfre Woodard,Beauty Shop ,3535,LisaRaye McCoy,http://www.imdb.com/title/tt0388500/?ref_=fn_tt_tt_1,English,USA,2005,5.5,671
Craig Gillespie,124,36447959,Biography|Drama|Sport,Jon Hamm,Million Dollar Arm ,6393,Gregory Alan Williams,http://www.imdb.com/title/tt1647668/?ref_=fn_tt_tt_1,English,USA,2014,7.0,10000
Phillip Noyce,97,45089048,Drama|Romance|Sci-Fi,Jeff Bridges,The Giver ,36064,Alexander Skarsgård,http://www.imdb.com/title/tt0435651/?ref_=fn_tt_tt_1,English,South Africa,2014,6.5,58000
Dennie Gordon,105,35990505,Comedy|Drama|Family|Romance,Colin Firth,What a Girl Wants ,16400,Kelly Preston,http://www.imdb.com/title/tt0286788/?ref_=fn_tt_tt_1,English,USA,2003,5.8,0
Victor Salva,104,35143332,Horror,Nicki Aycox,Jeepers Creepers II ,1340,Billy Aaron Brown,http://www.imdb.com/title/tt0301470/?ref_=fn_tt_tt_1,English,USA,2003,5.6,0
Mark Helfrich,101,35000629,Comedy|Romance,Dane Cook,Good Luck Chuck ,2822,Chelan Simmons,http://www.imdb.com/title/tt0452625/?ref_=fn_tt_tt_1,English,USA,2007,5.6,0
Andrzej Bartkowiak,101,34604054,Action|Crime|Drama|Thriller,Jet Li,Cradle 2 the Grave ,6867,DMX,http://www.imdb.com/title/tt0306685/?ref_=fn_tt_tt_1,English,USA,2003,5.8,1000
Stephen Daldry,114,41597830,Drama|Romance,Meryl Streep,The Hours ,12624,Miranda Richardson,http://www.imdb.com/title/tt0274558/?ref_=fn_tt_tt_1,English,USA,2002,7.6,0
Andy Fickman,105,33687630,Comedy|Romance,Channing Tatum,She's the Man ,20109,Laura Ramsey,http://www.imdb.com/title/tt0454945/?ref_=fn_tt_tt_1,English,USA,2006,6.4,0
Steve Bendelack,90,32553210,Comedy|Family,Lily Atkinson,Mr. Bean's Holiday ,794,Steve Pemberton,http://www.imdb.com/title/tt0453451/?ref_=fn_tt_tt_1,English,UK,2007,6.3,0
Dwight H. Little,97,31526393,Action|Adventure|Horror|Thriller,Nicholas Gonzalez,Anacondas: The Hunt for the Blood Orchid ,2730,Johnny Messner,http://www.imdb.com/title/tt0366174/?ref_=fn_tt_tt_1,English,USA,2004,4.6,686
Guillaume Canet,144,41229,Crime|Drama|Thriller,Mila Kunis,Blood Ties ,18442,Billy Crudup,http://www.imdb.com/title/tt1747958/?ref_=fn_tt_tt_1,English,France,2013,6.5,0
Kirsten Sheridan,114,31655091,Drama|Music,Robin Williams,August Rush ,50927,Marian Seldes,http://www.imdb.com/title/tt0426931/?ref_=fn_tt_tt_1,English,USA,2007,7.5,18000
Shekhar Kapur,124,30012990,Biography|Drama|History,Fanny Ardant,Elizabeth ,1006,Eric Cantona,http://www.imdb.com/title/tt0127536/?ref_=fn_tt_tt_1,English,UK,1998,7.5,0
Ronny Yu,89,32368960,Comedy|Fantasy|Horror|Romance,Alexis Arquette,Bride of Chucky ,667,Vince Corazza,http://www.imdb.com/title/tt0144120/?ref_=fn_tt_tt_1,English,Canada,1998,5.3,0
Richard Fleischer,160,14500000,Action|Drama|History|War,Joseph Cotten,Tora! Tora! Tora! ,1548,James Whitmore,http://www.imdb.com/title/tt0066473/?ref_=fn_tt_tt_1,English,Japan,1970,7.5,0
Bob Spiers,93,29247405,Comedy|Family|Music,Jason Flemyng,Spice World ,2176,Victoria Beckham,http://www.imdb.com/title/tt0120185/?ref_=fn_tt_tt_1,English,UK,1997,3.3,0
David Gordon Green,87,30538669,Comedy,Ari Graynor,The Sitter ,3850,Kylie Bunbury,http://www.imdb.com/title/tt1366344/?ref_=fn_tt_tt_1,English,USA,2011,5.7,0
Damien Dante Wayans,88,25615792,Action|Comedy|Music,Damon Wayans Jr.,Dance Flick ,4378,Chris Elliott,http://www.imdb.com/title/tt1153706/?ref_=fn_tt_tt_1,English,USA,2009,3.5,657
Frank Darabont,142,28341469,Crime|Drama,Morgan Freeman,The Shawshank Redemption ,13495,Bob Gunton,http://www.imdb.com/title/tt0111161/?ref_=fn_tt_tt_1,English,USA,1994,9.3,108000
Simon Wincer,92,25590119,Adventure|Comedy|Crime,Jere Burns,Crocodile Dundee in Los Angeles ,1315,Linda Kozlowski,http://www.imdb.com/title/tt0231402/?ref_=fn_tt_tt_1,English,Australia,2001,4.8,387
Bobby Farrelly,117,24944213,Comedy|Sport,Bill Murray,Kingpin ,16937,Richard Tyson,http://www.imdb.com/title/tt0116778/?ref_=fn_tt_tt_1,English,USA,1996,6.9,3000
Rupert Wyatt,111,33631221,Crime|Drama|Thriller,George Kennedy,The Gambler ,3784,Griffin Cleveland,http://www.imdb.com/title/tt2039393/?ref_=fn_tt_tt_1,English,USA,2014,6.0,0
John Wells,121,37738400,Drama,Benedict Cumberbatch,August: Osage County ,39690,Julia Roberts,http://www.imdb.com/title/tt1322269/?ref_=fn_tt_tt_1,English,USA,2013,7.3,30000
Tim Fywell,98,24381334,Comedy|Drama|Family|Sport,Connie Ray,Ice Princess ,235,Amy Stewart,http://www.imdb.com/title/tt0396652/?ref_=fn_tt_tt_1,English,USA,2005,6.0,901
Nigel Cole,107,21835784,Comedy|Drama|Romance,Aimee Garcia,A Lot Like Love ,1095,James Read,http://www.imdb.com/title/tt0391304/?ref_=fn_tt_tt_1,English,USA,2005,6.6,0
Dexter Fletcher,106,15785632,Biography|Comedy|Drama|Sport,Hugh Jackman,Eddie the Eagle ,21195,Tim McInnerny,http://www.imdb.com/title/tt1083452/?ref_=fn_tt_tt_1,English,UK,2016,7.5,15000
Spike Lee,136,21554585,Drama|Sport,Denzel Washington,He Got Game ,37315,Rosario Dawson,http://www.imdb.com/title/tt0124718/?ref_=fn_tt_tt_1,English,USA,1998,6.9,0
Jeremy Leven,97,22200000,Comedy|Drama|Romance,Johnny Depp,Don Juan DeMarco ,52122,Faye Dunaway,http://www.imdb.com/title/tt0112883/?ref_=fn_tt_tt_1,English,USA,1994,6.8,0
,7,,Animation|Comedy|Family,Justin Fletcher,Shaun the Sheep             ,55,Kate Harbour,http://www.imdb.com/title/tt0983983/?ref_=fn_tt_tt_1,English,UK,,8.3,834
Lasse Hallström,108,80014842,Drama|Romance|War,Channing Tatum,Dear John ,19945,Scott Porter,http://www.imdb.com/title/tt0989757/?ref_=fn_tt_tt_1,English,USA,2010,6.3,14000
Sylvain White,97,23527955,Action|Crime|Drama|Mystery|Thriller,Chris Evans,The Losers ,12841,Óscar Jaenada,http://www.imdb.com/title/tt0480255/?ref_=fn_tt_tt_1,English,USA,2010,6.4,0
Troy Nixey,99,24042490,Fantasy|Horror|Thriller,Bailee Madison,Don't Be Afraid of the Dark ,3744,Jack Thompson,http://www.imdb.com/title/tt1270761/?ref_=fn_tt_tt_1,English,USA,2010,5.6,10000
Philip G. Atwell,103,22466994,Action|Crime|Thriller,Jason Statham,War ,33565,Nadine Velazquez,http://www.imdb.com/title/tt0499556/?ref_=fn_tt_tt_1,English,USA,2007,6.3,0
Paul Thomas Anderson,95,17791031,Comedy|Drama|Romance|Thriller,Adam Sandler,Punch-Drunk Love ,11994,Don McManus,http://www.imdb.com/title/tt0272338/?ref_=fn_tt_tt_1,English,USA,2002,7.3,0
Jeff Schaffer,93,17718223,Comedy,Matt Damon,EuroTrip ,14180,Jacob Pitts,http://www.imdb.com/title/tt0356150/?ref_=fn_tt_tt_1,English,USA,2004,6.6,0
Don Michael Paul,98,15361537,Action|Crime|Thriller,Claudia Christian,Half Past Dead ,1855,Tony Plana,http://www.imdb.com/title/tt0297162/?ref_=fn_tt_tt_1,English,Germany,2002,4.6,564
Paul Feig,90,16647384,Adventure|Comedy|Family|Romance,Tyler James Williams,Unaccompanied Minors ,4431,B.J. Novak,http://www.imdb.com/title/tt0488658/?ref_=fn_tt_tt_1,English,USA,2006,5.1,498
James Bridges,107,16118077,Drama,Dianne Wiest,"Bright Lights, Big City ",3067,Swoosie Kurtz,http://www.imdb.com/title/tt0094799/?ref_=fn_tt_tt_1,English,USA,1988,5.6,377
Steve Barron,90,15091542,Adventure|Family|Fantasy|Musical,Martin Landau,The Adventures of Pinocchio ,2465,Bebe Neuwirth,http://www.imdb.com/title/tt0115472/?ref_=fn_tt_tt_1,Italian,UK,1996,5.3,246
Bill Paxton,120,15331289,Drama|History|Sport,Stephen Dillane,The Greatest Game Ever Played ,1217,Amanda Tilson,http://www.imdb.com/title/tt0388980/?ref_=fn_tt_tt_1,English,USA,2005,7.5,0
Richard Kelly,115,15045676,Drama|Fantasy|Mystery|Thriller,Frank Langella,The Box ,2466,Celia Weston,http://www.imdb.com/title/tt0362478/?ref_=fn_tt_tt_1,English,USA,2009,5.6,0
Carter Smith,93,17427926,Horror,Laura Ramsey,The Ruins ,1749,Sergio Calderón,http://www.imdb.com/title/tt0963794/?ref_=fn_tt_tt_1,English,USA,2008,5.9,0
John Schlesinger,99,14983572,Comedy|Drama|Romance,Mark Valley,The Next Best Thing ,2498,Illeana Douglas,http://www.imdb.com/title/tt0156841/?ref_=fn_tt_tt_1,English,USA,2000,4.7,378
Wes Craven,107,14637490,Horror|Mystery|Thriller,Frank Grillo,My Soul to Take ,2537,Zena Grey,http://www.imdb.com/title/tt0872230/?ref_=fn_tt_tt_1,English,USA,2010,4.8,0
Luke Greenfield,110,14589444,Comedy|Drama|Romance,Chris Marquette,The Girl Next Door ,911,Jacob Young,http://www.imdb.com/title/tt0265208/?ref_=fn_tt_tt_1,English,USA,2004,6.8,0
Ringo Lam,101,14095303,Action|Crime|Mystery|Romance|Thriller,Natasha Henstridge,Maximum Risk ,1634,Paul Ben-Victor,http://www.imdb.com/title/tt0117011/?ref_=fn_tt_tt_1,English,USA,1996,5.4,503
Bruce McCulloch,85,13973532,Comedy|Crime,Martin Starr,Stealing Harvard ,3065,Chris Penn,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,English,USA,2002,5.1,215
Brian Helgeland,132,1865774,Biography|Crime|Drama|History|Thriller,Tom Hardy,Legend ,27659,Tara Fitzgerald,http://www.imdb.com/title/tt3569230/?ref_=fn_tt_tt_1,English,UK,2015,7.0,43000
Akiva Schaffer,88,13920741,Comedy,Sissy Spacek,Hot Rod ,2062,Chris Parnell,http://www.imdb.com/title/tt0787475/?ref_=fn_tt_tt_1,English,USA,2007,6.7,0
David R. Ellis,90,18860403,Horror|Thriller,Chris Zylka,Shark Night 3D ,4952,Katharine McPhee,http://www.imdb.com/title/tt1633356/?ref_=fn_tt_tt_1,English,USA,2011,4.0,0
Alan Parker,145,13038660,Drama,Emily Watson,Angela's Ashes ,1282,Pauline McLynn,http://www.imdb.com/title/tt0145653/?ref_=fn_tt_tt_1,English,USA,1999,7.3,0
Ivan Reitman,110,28831145,Drama|Sport,Jennifer Garner,Draft Day ,3757,Patrick St. Esprit,http://www.imdb.com/title/tt2223990/?ref_=fn_tt_tt_1,English,USA,2014,6.8,14000
Tobe Hooper,101,,Action|Horror|Sci-Fi|Thriller,Frank Finlay,Lifeforce ,1008,Peter Firth,http://www.imdb.com/title/tt0089489/?ref_=fn_tt_tt_1,English,UK,1985,6.1,0
