duration,movie_title,num_voted_users,facenumber_in_poster,plot_keywords,country,budget
90,Journey to Saturn ,1828,0,crew|cult film|denmark|earth|wristwatch,Denmark,
109,Donovan's Reef ,5786,1,falling into water|medical doctor|priest|roof leak|swimming in the ocean,USA,2686585
95,The Dress ,1470,0,bare breasts|bra|panties|topless female nudity|underwear,Netherlands,2650000
122,A Guy Named Joe ,1553,0,heaven|pilot|teacher|training|world war two,USA,2627000
93,Blazing Saddles ,95294,0,railroad|reference to douglas fairbanks|reference to jesse owens|reference to randolph scott|year 1874,USA,2600000
97,Friday the 13th: The Final Chapter ,29488,0,friday the thirteenth|hockey mask|jason voorhees|morgue|slasher,USA,1800000
82,Ida ,34643,1,convent|jew|jewish|nun|poland,Poland,
140,Maurice ,10755,1,homosexuality|love|male full frontal nudity|male rear nudity|one word title,UK,2600000
86,Beer League ,6930,2,baseball|baseball movie|beer|slacker|softball,USA,2800000
109,The Astronaut's Wife ,45500,0,astronaut|electrocuted in bathtub|mission|pilot|sister,USA,34000000
105,Riding Giants ,3849,1,beach|surfing|surfing contest|two word title|wave,USA,
66,Timecrimes ,40878,0,binoculars|hitchcockian|scissors|time machine|woods,Spain,2600000
99,Silver Medallist ,1418,1,color in title,China,15000000
100,Timber Falls ,5012,1,hiking|voyeur|voyeurism|west virginia|woods,USA,2600000
103,Singin' in the Rain ,150020,0,actress|chorus girl|fan|friend|love,USA,2540800
97,"Fat, Sick & Nearly Dead ",6429,2,fat|food|health|juice|obese,Australia,2500000
86,A Haunted House ,34620,6,hamburger|parody|priest|psychic|woman in a bikini,USA,2500000
87,2016: Obama's America ,9010,0,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,USA,2500000
119,Halloween II ,36372,0,halloween|hospital|michael myers|rampage|vomiting,USA,15000000
149,That Thing You Do! ,50311,6,band|drummer|jazz|pennsylvania|song,USA,26000000
98,Halloween III: Season of the Witch ,28589,0,doctor|factory|halloween|holiday horror|stonehenge,USA,2500000
98,Escape from the Planet of the Apes ,23546,0,ape|fear|future|spacecraft|spaceship,USA,2500000
112,Hud ,15277,0,alcoholism|forename as title|rancher|rodeo cowboy|texas,USA,2500000
75,Kevin Hart: Let Me Explain ,6062,0,lying|montreal|reference to twitter|reference to youtube|toronto,USA,2500000
104,My Own Private Idaho ,36996,2,friend|hustler|italy|narcolepsy|traveling,USA,2500000
102,Garden State ,187595,3,actor|doctor|drugs|home|pain,USA,2500000
105,Before Sunrise ,183288,1,american|conversations|kiss|love|train,USA,2500000
99,Sur le seuil ,1003,0,canadian gothic|hospital|murder|paranormal|supernatural,Canada,3200000
107,Jesus' Son ,6221,1,hospital|love|mennonite|shower|song,USA,2500000
96,Saving Face ,7776,0,chinese|chinese american|lesbian love|mother daughter relationship|surgeon,USA,
101,Brick Lane ,2560,1,arranged marriage|bangladesh|buckingham palace|september 11 2001|title directed by female,UK,
89,Robot & Frank ,52509,3,burglary|dementia|near future|robot|thief,USA,2500000
106,My Life Without Me ,21202,1,cancer|death|doctor|drinking|love,Spain,2000000
95,The Spectacular Now ,105591,1,crying man|high school|high school senior|men's clothing store|party,USA,2500000
34,Marilyn Hotchkiss' Ballroom Dancing and Charm School ,97,0,student film|wonder years,USA,34000
101,Religulous ,52286,1,catholic|christian|jew|muslim|religion,USA,2500000
112,Fuel ,578,0,alternative energy|energy|fuel|green|oil,USA,2500000
100,Valley of the Heart's Delight ,91,7,,USA,2500000
92,Dodgeball: A True Underdog Story ,185345,0,dodgeball|gym|las vegas|pirate|ups,USA,20000000
100,Eye of the Dolphin ,806,1,dolphin|island|research|tourist|town,USA,2500000
80,8: The Mormon Proposition ,1138,0,church|marriage|mormon|mormon church|proposition,USA,2500000
106,The Other End of the Line ,4820,2,birthday|call center|fiance|hotel|indian,UK,14000000
103,Anatomy ,10220,0,dissection|male pubic hair|medical school|medical student|train,Germany,8400000
90,Sleep Dealer ,5699,0,computer|future|mexican immigrant|network|wilhelm scream,USA,2500000
96,Super ,61787,0,drug dealer|superhero|tragedy|tragic hero|tragic love,USA,2500000
89,Christmas Mail ,858,2,boss|holiday|letter|north pole|santa,USA,2500000
87,Stung ,3119,0,catering|monster|one word title|party|wasp,Germany,2500000
94,Antibirth ,63,1,,USA,3500000
120,Get on the Bus ,4100,10,actor|bus|march|million man march|religion,USA,2400000
101,Thr3e ,4057,0,bound with duct tape|flash forward|number|riddle|stalking,Poland,2400000
84,Idiocracy ,108052,0,experiment|future|hibernation|stupidity|top secret,USA,
110,The Rise of the Krays ,1510,0,,UK,2500000
101,This Is England ,99177,0,england|racism|racist|skinhead|violence,UK,1500000
101,Alien Uprising ,2753,0,acronym in title|period in title|title ends with period,UK,2500000
101,Bathing Beauty ,1079,2,college|teacher|theatrical producer|tutu|wedding,USA,2361000
105,Go for It! ,1015,0,exclamation point in title|imperative in title|punctuation in title|three word title,USA,2450000
97,"Dancer, Texas Pop. 81 ",2189,0,best friend|friendship|population|state in title|texas,USA,
108,Show Boat ,3538,3,gambling|interracial marriage|love|miscegenation|showboat,USA,2295429
95,Redemption Road ,440,4,death of loved one|loss of father|loss of loved one|musician|singer,USA,
108,The Calling ,6025,2,bouquet|house fire|praying|serial killer|tied to a chair,USA,
90,The Brave Little Toaster ,19650,0,journey|obsolescence|radio|toaster|vacuum cleaner,USA,2300000
120,Fantasia ,71321,0,apprentice|classical music|disney|mouse|orchestra,USA,2280000
104,The French Connection ,82476,0,crime boss|drug smuggling|heroin|mafia boss|organized crime,USA,1800000
90,8 Days ,44,1,,USA,2500000
91,Friday the 13th Part III ,31952,0,defecation|hockey mask|jason voorhees|lake|serial killer,USA,4000000
92,Friday the 13th: A New Beginning ,22521,0,jason voorhees|murder|new jersey|nightmare|teenager,USA,2200000
117,The Last Sin Eater ,1573,0,1850s|christian film|dark secret|funeral|sin eater,USA,2200000
120,Do You Believe? ,4977,5,belief|faith|pastor|question in title|three word title,USA,2300000
90,Impact Point ,1118,2,championship|hit and run|police|police investigation|volleyball,USA,2200000
119,The Valley of Decision ,1314,0,immigrant|maid|steel mill|strike|union,USA,2160000
90,Eden ,1351,2,flare gun|island|plane crash|soccer team|stranded,Spain,
90,Chicken Tikka Masala ,480,3,acceptance|coming out to family|gay|large family|wedding,UK,1200000
97,Always Woodstock ,485,5,claim in title|contraction in title|new york|new york city|woodstock,USA,2400000
90,Jack Brooks: Monster Slayer ,5187,2,cult film|demon|monster slayer|uncle|vomiting,Canada,2500000
172,The Best Years of Our Lives ,40359,5,love|pity|readjusting to civilian life|veteran|world war two veteran,USA,2100000
115,Bully ,29424,0,cruelty|friend|male frontal nudity|male nudity|pubic hair,USA,
89,Elling ,12244,0,friendship|mental illness|poet|sex obsession|virgin,Norway,15500000
125,Mi America ,22,0,,USA,2100000
78,[Rec] ,131462,0,apartment building|character's point of view camera shot|fire station|subjective camera|television reporter,Spain,1500000
89,Lies in Plain Sight ,544,1,,USA,2100000
100,Sharkskin ,6,0,,USA,2100000
77,Containment ,1355,0,hazmat suit,UK,
81,The Timber ,1274,1,,USA,2100000
115,From Russia with Love ,89403,0,assassin|british agent|british secret service|decoder|russian,UK,2000000
96,The Toxic Avenger Part II ,4663,2,bare breasts|japan|tokyo japan|toxic avenger|troma,USA,2300000
60,In the Heat of the Night             ,2258,1,detective|mississippi|police|police detective|small town,USA,
89,Sleeper ,33335,0,frozen|future|health food|leader|police,USA,2000000
100,It Follows ,112899,0,ambiguous ending|being followed|sex scene|supernatural|supernatural being,USA,2000000
88,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask ,31077,5,aphrodisiac|court jester|jester|queen|written and directed by cast member,USA,2000000
129,To Kill a Mockingbird ,215086,0,1930s|alabama|lawyer|six year old|trial,USA,2000000
87,Mad Max 2: The Road Warrior ,133966,0,australian|gasoline|post apocalypse|refinery|warrior,Australia,2000000
102,The Legend of Drunken Master ,34520,1,battle|fight|fighting|martial artist|snake,Hong Kong,2000000
152,Lolita ,67825,0,lolita|nymphet|older man young girl relationship|professor|writer,UK,2000000
118,Boys Don't Cry ,77551,0,drinking|female dressed as male|love|nebraska|transgender,USA,2000000
86,Silent House ,18566,0,bound and gagged|girl|haunted house|hearing noises|uninterrupted shot,France,2000000
137,The Lives of Others ,259379,3,east germany|police|secret police|stasi|writer,Germany,2000000
129,Courageous ,15401,7,faith|fatherhood|integrity|police|responsibility,USA,2000000
134,The Hustler ,62860,1,drink|manager|money|partner|pool hall,USA,2000000
119,Boom Town ,2269,8,oil|oil field|oil tycoon|partnership|wildcatter,USA,1614000
80,The Triplets of Belleville ,42462,0,belleville|dog|mafia|tour de france|very little dialogue,France,9500000
89,Smoke Signals ,8224,3,family abandonment|fire|loss of father|native american protagonist|native american reservation,Canada,2000000
101,American Splendor ,41999,0,1980s|comic book|dark horse comics|reference to david letterman|robert crumb,USA,
80,Before Sunset ,168398,0,book|bookstore|love|simultaneity|train,USA,2700000
115,Amores Perros ,173551,0,animal in title|dog fight|mexico city|multiple perspectives|nonlinear timeline,Mexico,2000000
100,Thirteen ,68222,2,13 year olds|adolescence|friend|peer pressure|teacher,USA,1500000
118,Gentleman's Agreement ,10791,3,bigotry|jewish|prejudice|racism|writer,USA,2000000
100,Winter's Bone ,111658,2,bail|crystal meth|family relationships|female protagonist|search for father,USA,2000000
106,Touching the Void ,26926,0,bone|climbing|crevasse|partner|rope,UK,
106,Alexander's Ragtime Band ,1381,2,band|dance|ragtime|singer|violinist,USA,2000000
91,Me and You and Everyone We Know ,31130,0,fellatio|seven word title|shoe salesman|title directed by female|written by director,USA,2000000
105,Inside Job ,55382,0,florida|iceland|interview|new york city new york|recession,USA,
96,We Are Your Friends ,20885,0,box office flop|critically bashed|male objectification|narcissism|wannabe dj,UK,2000000
