director_name,duration,actor_3_facebook_likes,actor_1_facebook_likes,genres,num_voted_users,actor_3_name,plot_keywords,country,content_rating,title_year,actor_2_facebook_likes,movie_facebook_likes
Chris Kentis,79,7,48,Adventure|Biography|Drama|Horror|Thriller,42256,Daniel Travis,bare chested male|female full frontal nudity|hairy chest|male full frontal nudity|nude with glasses,USA,R,2003,10,0
Matt Walsh,87,201,833,Comedy,1305,Abby Elliott,,USA,R,2011,523,244
John 'Bud' Cardos,97,22,423,Horror|Sci-Fi,3274,Tiffany Bolling,death|farm|hotel|spider|tarantula,USA,PG,1977,23,0
Marilyn Agrelo,105,0,0,Documentary|Family|Music,3156,Paul Daggett,ballroom dancing|new york city|poise|self confidence|teacher,USA,PG,2005,0,588
Tom McCarthy,89,587,22000,Comedy|Drama,58260,Paula Garcés,abandoned|depot|dwarf|newfoundland new jersey|train,USA,R,2003,833,0
Brian Baugh,120,234,984,Drama,4583,D. David Morin,basketball|beer pong|childhood friend|christian|suicide,USA,PG-13,2009,801,0
Patrick Creadon,94,2,196,Documentary,3394,Bob Dole,comedian|crossword puzzle|editor|new york times|puzzle,USA,PG,2006,184,694
Barry W. Blaustein,108,43,54,Biography|Documentary|Sport,6790,Mick Foley,championship|drugs|three word title|wrestler|wrestling,USA,R,1999,44,491
Kurt Hale,102,15,69,Comedy|Drama|Romance,1099,Daryn Tufts,church|love|marriage|mormon|single,USA,PG,2002,24,43
Siddiq Barmak,83,0,30,Drama,7559,Mohamad Haref Harati,boy|girl|hair|school|taliban,Afghanistan,PG-13,2003,0,0
Joseph Dorman,93,59,399,Documentary,154,Jason Kravits,jewish identity,USA,Unrated,2011,169,287
Greg Harrison,86,17,328,Drama|Music,3562,Denny Kirkwood,dj|ecstasy the drug|rave|raver|warehouse,USA,R,2000,27,0
Kurt Hale,101,17,69,Comedy|Crime|Family,651,Curt Doussett,latter day saints|missionary|pickup truck|police|video camera,USA,PG,2003,34,44
Michael Polish,111,482,980,Drama,3479,Jon Gries,conjoined twins|independent film|low budget film|separation|twin,USA,R,1999,505,180
Jacob Aaron Estes,90,595,710,Crime|Drama,26407,Trevor Morgan,boat|bully|dare|friend|river,USA,R,2004,634,1000
Morgan J. Freeman,86,474,659,Crime|Drama|Romance,1038,Lynn Cohen,gang|new mexico|prison|smuggling|theft,USA,R,1997,529,51
Eric Schaeffer,98,658,22000,Comedy|Romance,709,Michael McKean,bar|gay bar|love|mother son relationship|new york,USA,R,2001,1000,139
Neema Barnette,91,469,597,Crime|Drama|Thriller,553,Clifton Powell,abuse of power|friendship|prison|prison guard|title directed by female,USA,R,2002,485,86
Steve Buscemi,91,213,778,Comedy|Drama,6884,Mary Kay Place,bail|coma|dart board|indiana|ladder factory,USA,R,2005,327,238
Joe Swanberg,90,243,10000,Comedy|Drama|Romance,45928,Ti West,brewery|co worker|male female friendship|u haul truck|woman wearing a string bikini,USA,R,2013,10000,0
Molly Bernstein,88,49,342,Documentary,774,Dick Cavett,stage magician,USA,,2012,79,590
Akira Kurosawa,202,4,304,Action|Adventure|Drama,229012,Kamatari Fujiwara,16th century|battle|japan|practice|samurai,Japan,Unrated,1954,8,11000
Marius A. Markevicius,89,8,14,Documentary|Sport,3086,Mickey Hart,basketball|basketball team|grateful dead|lithuanian|olympics,USA,Not Rated,2012,9,0
Tom DiCillo,97,329,11000,Comedy|Music|Romance,3013,Nick Cave,idol|musician|vomiting|watching television|wyoming,Switzerland,R,1991,422,344
Justin Lin,84,143,239,Comedy,1656,Joe McQueen,bruce lee|jeet kune do|karate|satire|spoof,USA,Not Rated,2007,172,155
Quentin Dupieux,82,196,353,Comedy|Fantasy|Horror,26185,Cecelia Antoinette,desert|dump|show|spectator|tire,France,R,2010,248,46000
Tim Johnson,94,183,17000,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,70136,April Winchell,alien friendship|alien invasion|australia|flying car|mother daughter relationship,USA,PG,2015,523,26000
C. Jay Cox,100,325,396,Comedy|Romance,1358,Garrett M. Brown,best friend|high school|love|secret|wedding,USA,R,2007,326,60
Alex Smith,112,699,33000,Drama|Sport,2004,Eddie Spears,cheerleader|father son relationship|football coach|loss of father|mother son relationship,USA,R,2002,1000,183
Gareth Edwards,94,113,660,Drama|Sci-Fi|Thriller,75669,Ricky Catter,alien|alien invasion|destroyed building|destruction|mexico,UK,R,2010,280,19000
Jonathan Parker,87,347,584,Drama,299,Illeana Douglas,based on novel,USA,PG,2005,507,29
Sol Tryon,91,170,472,Comedy,739,Matthew Cowles,artist|black comedy,USA,PG-13,2007,185,339
Alex Craig Mann,87,445,552,Comedy|Horror,2038,Max Adler,based on play|blood|independent film|teenager|zombie,USA,Not Rated,2012,533,898
Hao Ning,98,0,4,Comedy|Crime,2097,Zhonghua Chen,bankruptcy|crystal|father son relationship|heist|shower,China,,2006,4,23
Stephen Kijak,95,25,30,Biography|Documentary|Music,1006,Damon Albarn,avant garde|british pop|character name in title|musician|number in title,UK,,2006,27,808
Marc Forster,87,637,991,Drama,601,Megan Mullally,group of friends|mental breakdown|mental instability|morgue|sudden infant death syndrome,USA,R,2000,946,22
Andrew Niccol,102,118,991,Drama|Thriller,15756,Stafford Douglas,cigarette butt|drone|funeral procession|nellis air force base|taliban,USA,R,2014,943,0
Daston Kalili,127,0,2,Thriller,16,Chin-Chien Chang,,USA,,2005,0,0
William Gazecki,96,205,387,Documentary,38,Tony Bennett,,USA,,2014,244,16
Ol Parker,103,680,25000,Drama|Romance,26863,Paddy Considine,death|dying|leukemia|teenage girl|terminal illness,UK,PG-13,2012,766,0
Michael Hoffman Jr.,104,238,685,Comedy|Horror,2012,Al Sapienza,mini skirt|party|spring break|voyeur|war hammer,USA,R,2012,492,0
Patrick Gilles,90,569,970,History,22,Mike Colter,,USA,,2015,812,337
