director_name,num_critic_for_reviews,duration,actor_2_name,gross,genres,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,budget,title_year,imdb_score
Tony Gilroy,436,135,Scott Glenn,113165635,Action|Adventure|Thriller,229823,12175,Stacy Keach,0,assassin|cia|drone|pill|wolf,504,125000000,2012,6.7
Joel Schumacher,183,125,Vivica A. Fox,107285004,Action,189855,2699,John Glover,3,butler|critically bashed|cure|freeze|gotham,1018,125000000,1997,3.7
Ron Howard,175,110,T.J. Thyne,260031035,Comedy|Family|Fantasy,141414,4146,Molly Shannon,0,box office hit|christmas|materialism|public humiliation|snowflake,482,123000000,2000,6.0
Roland Emmerich,239,124,Dennis Quaid,186739919,Action|Adventure|Sci-Fi|Thriller,333248,20553,Sela Ward,0,climate|end of the world|global warming|natural disaster|weather,1159,125000000,2004,6.4
John Woo,237,123,Dougray Scott,215397307,Action|Adventure|Thriller,242188,11930,Richard Roxburgh,0,cure|mission|terrorist|thief|virus,1426,125000000,2000,6.1
Wolfgang Petersen,231,130,Mary Elizabeth Mastrantonio,182618434,Action|Adventure|Drama|Thriller,133076,2684,Bob Gunton,0,death|fish|fishing|sea|storm,779,140000000,2000,6.4
Tim Story,262,92,Ioan Gruffudd,131920333,Action|Adventure|Sci-Fi|Thriller,213275,15302,Andre Braugher,3,fantastic four|space|strong female character|strong female lead|superheroine,436,130000000,2007,5.6
Ang Lee,552,127,Rafe Spall,124976634,Adventure|Drama|Fantasy,440084,2121,Tabu,0,animal|faith|india|journey|tiger,755,120000000,2012,8.0
Mark Steven Johnson,276,123,Matt Long,115802596,Action|Fantasy|Thriller,182661,14017,Peter Fonda,1,blackheart|devil|father|ghost|mephistopheles,681,110000000,2007,5.2
Paul Greengrass,267,123,Riz Ahmed,108521835,Action|Thriller,40123,13752,Ato Essandoh,0,black ops|chase|cia|cia agent|repeated scene,297,120000000,2016,7.1
McG,102,107,Bernie Mac,100685880,Action|Adventure|Comedy|Crime,100821,4046,Justin Theroux,0,fbi|murder|ring|witness protection|witness protection program,554,120000000,2003,4.8
Ridley Scott,775,124,Charlize Theron,126464904,Adventure|Mystery|Sci-Fi,456260,24098,Sean Harris,0,cave painting|medical scanner|planet|pregnant with an alien fetus|suspended animation,2326,130000000,2012,7.0
Rob Minkoff,71,77,Brad Garrett,64736114,Adventure|Animation|Comedy|Family|Fantasy,36471,2682,Melanie Griffith,0,anthropomorphic mouse|falcon|marshmallow|second part|soccer,69,120000000,2002,5.4
Neill Blomkamp,476,109,Sharlto Copley,93050117,Action|Drama|Sci-Fi|Thriller,338087,17689,Alice Braga,0,christ figure|class differences|messiah|saviour|social commentary,814,115000000,2013,6.6
David Twohy,207,134,Alexa Davalos,57637485,Action|Adventure|Sci-Fi|Thriller,183909,17159,Christina Cox,0,bounty hunter|escape|necromonger|planet|warrior,666,105000000,2004,6.7
José Padilha,492,117,Abbie Cornish,58607007,Action|Crime|Sci-Fi|Thriller,182899,14161,Jennifer Ehle,0,law enforcement|police|robocop|robot|technology,630,100000000,2014,6.2
Lana Wachowski,284,135,Kick Gurry,43929341,Action|Family|Sport,57873,902,Nicholas Elia,0,based on anime|based on cartoon|gadget car|racer|speed,414,120000000,2008,6.1
James L. Brooks,168,121,Domenick Lombardozzi,30212620,Comedy|Drama|Romance,35066,993,Teyonah Parris,4,embarrassment|falling in love|love|love triangle|revelation,196,120000000,2010,5.3
James Mangold,283,117,Marc Blucas,76418654,Action|Comedy|Romance,148280,12731,Jordi Mollà,0,chase|fbi|garage|spy|surveillance,348,117000000,2010,6.3
Joseph Kosinski,539,124,Tom Cruise,89021735,Action|Adventure|Mystery|Sci-Fi,387436,22004,Zoë Bell,0,cabin in the woods|drone|flying through a thunderstorm|post apocalypse|sex in a pool,892,120000000,2013,7.0
George Lucas,359,140,Christopher Lee,380262555,Action|Adventure|Fantasy|Sci-Fi,520104,44042,Hayden Christensen,4,elongated cry of no|friends become enemies|kicked in the butt|robotic midwife|vision,3286,113000000,2005,7.6
George Lucas,284,142,Christopher Lee,310675583,Action|Adventure|Fantasy|Sci-Fi,464310,42990,Hayden Christensen,3,martial arts|murdered before giving protagonist information|part computer animation|prequel|prequel to cult film,3516,115000000,2002,6.7
Pete Docter,250,92,John Ratzenberger,289907418,Adventure|Animation|Comedy|Family|Fantasy,585659,15013,James Coburn,0,friend|little girl|monster|rival|scream,593,115000000,2001,8.1
James Mangold,440,138,Tao Okamoto,132550960,Action|Adventure|Sci-Fi|Thriller,328067,23755,Rila Fukushima,1,healing power|marvel comics|mecha|regeneration|self healing,533,120000000,2013,6.7
George Lucas,320,136,Liam Neeson,474544677,Action|Adventure|Fantasy|Sci-Fi,534658,37723,Ian McDiarmid,1,alien|character says i have a bad feeling about this|hand to hand combat|seven word title|wilhelm scream,3597,115000000,1999,6.5
Kirk De Micco,257,98,Emma Stone,187165546,Adventure|Animation|Comedy|Family|Fantasy,150618,43286,Nicolas Cage,3,cave|caveman|journey|strict father|survival,195,135000000,2013,7.3
Frédéric Forestier,33,116,Santiago Segura,,Adventure|Comedy|Family|Fantasy,20567,1609,Vanessa Hessler,1,1st century b.c.|lightsaber|local blockbuster|magical potion|potion,36,78000000,2008,5.1
John Woo,152,153,Roger Willie,40911830,Action|Drama|War,55994,15046,Noah Emmerich,0,code|duty|steel helmet|u.s. marine|u.s. soldier,454,115000000,2002,6.0
Cedric Nicolas-Troyan,231,120,Sam Claflin,47952020,Action|Adventure|Drama|Fantasy,37750,46719,Charlize Theron,2,based on fairy tale|dark fantasy|fairy tale|second part|sequel,134,115000000,2016,6.1
Jonathan Liebesman,348,101,Danny Woodburn,190871240,Action|Adventure|Comedy|Sci-Fi,167085,2690,Jeremy Howard,0,18 wheeler|mutant|ninja|sewer|turtle,491,125000000,2014,5.9
Alfonso Cuarón,738,91,Basher Savage,274084951,Adventure|Drama|Sci-Fi|Thriller,582917,87,Amy Warren,0,box office hit|long take|sole survivor|space|space station,1885,100000000,2013,7.8
Roger Donaldson,93,108,Grant Heslov,67155742,Action|Adventure|Thriller,62271,1569,Tzi Ma,1,ash|escape|lava|mayor|volcano,277,116000000,1997,5.8
Dave Green,181,112,Noel Fisher,81638674,Action|Adventure|Comedy|Sci-Fi,17533,8306,Brad Garrett,,based on comic book|brother brother relationship|rat|sequel|turtle,115,135000000,2016,6.3
Josh Trank,369,100,Reg E. Cathey,56114221,Action|Adventure|Sci-Fi,110486,1261,Tim Heidecker,3,box office flop|critically bashed|portal|teleportation|troubled production,695,120000000,2015,4.3
Shawn Levy,179,108,Rami Malek,250863268,Action|Adventure|Comedy|Family|Fantasy,234480,55486,Steve Coogan,2,chaos|museum|museum of natural history|night watchman|watchman,444,110000000,2006,6.4
Brad Peyton,358,114,Ioan Gruffudd,155181732,Action|Adventure|Drama|Thriller,147497,16718,Archie Panjabi,0,disaster movie|earthquake|journey|natural disaster|san andreas fault,499,110000000,2015,6.1
Roger Spottiswoode,160,119,Colin Salmon,125332007,Action|Adventure|Thriller,149680,2958,Joe Don Baker,3,ex boyfriend ex girlfriend relationship|media tycoon|megalomaniac|official james bond series|world war three,328,110000000,1997,6.5
Roland Emmerich,192,142,Adam Baldwin,113330342,Action|Drama|History|War,207613,19454,Tom Wilkinson,1,american revolution|british|french|hero|standoff,1144,110000000,2000,7.1
Steven Soderbergh,198,125,Julia Roberts,125531634,Crime|Thriller,284852,19359,Mini Anden,0,father daughter relationship|heist|pretending to be pregnant|sequel|thief,627,110000000,2004,6.4
Doug Liman,233,126,Angelina Jolie Pitt,186336103,Action|Comedy|Crime|Romance|Thriller,348861,22722,Stephanie March,2,assassin|marriage|secret agent|suburb|target,798,120000000,2005,6.5
Robert Schwentke,263,119,Theo James,129995817,Adventure|Sci-Fi|Thriller,154621,22622,Mekhi Phifer,0,action heroine|falling from height|mind control|trainhopping|truth serum,258,110000000,2015,6.3
Martin Scorsese,267,170,Adam Scott,102608827,Biography|Drama,264318,34582,Frances Conroy,0,1920s|aviation|fight|spruce goose|test flight,799,110000000,2004,7.5
Rob Letterman,184,85,Catherine Tate,42776259,Adventure|Comedy|Family|Fantasy,53160,1173,Olly Alexander,1,bermuda triangle|box office hit|shipwrecked|travel|travel writer,121,112000000,2010,4.9
Michel Gondry,447,119,Tom Wilkinson,98780042,Action|Comedy|Crime|Sci-Fi|Thriller,136019,13391,Chad L. Coleman,0,heir|kung fu|party|playboy|superhero,443,120000000,2011,5.8
,29,60,Dirk Benedict,,Action|Adventure|Crime,25402,1655,Dwight Schultz,4,1980s|cult tv|famous opening theme|good versus evil|hero for hire,97,,,7.6
Noam Murro,366,102,Sullivan Stapleton,106369117,Action|Drama|Fantasy|War,225273,10583,Peter Mensah,0,army|commander|female rear nudity|greek|navy,523,110000000,2014,6.2
Raja Gosnell,172,103,Tim Gunn,142614158,Adventure|Animation|Comedy|Family|Fantasy,66593,692,Madison McKinley,3,blue|new york|new york city|no opening credits|smurf,153,110000000,2011,5.5
Will Finn,104,76,Roseanne Barr,50026353,Animation|Comedy|Family|Music|Western,13581,13607,G.W. Bailey,0,cattle|cow|dairy farm|farm|rustler,88,110000000,2004,5.4
Robert Schwentke,181,120,Theo James,66002193,Action|Adventure|Mystery|Sci-Fi|Thriller,44296,12452,Zoë Kravitz,3,based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead,144,110000000,2016,5.8
Shawn Levy,327,127,Torey Michael Adkins,85463309,Action|Drama|Sci-Fi|Sport,254841,22254,Olga Fonda,1,arena|boxing|boxing movie|robot|robot battle,426,110000000,2011,7.1
