actor_3_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,budget,title_year,imdb_score,aspect_ratio
424,92362,The Salon ,444,3138,Garrett Morris,http://www.imdb.com/title/tt0436742/?ref_=fn_tt_tt_1,1500000,2005,4.3,1.85
360,105943,Road Hard ,1351,2628,David Alan Grier,http://www.imdb.com/title/tt3110770/?ref_=fn_tt_tt_1,1500000,2015,6.1,
121,,Forty Shades of Blue ,1134,1240,Darren E. Burrows,http://www.imdb.com/title/tt0395543/?ref_=fn_tt_tt_1,1500000,2005,6.0,1.85
7,183490,Amigo ,463,60,Ronnie Lazaro,http://www.imdb.com/title/tt1562847/?ref_=fn_tt_tt_1,1700000,2010,5.8,
57,3478,Pontypool ,22212,721,Boyd Banks,http://www.imdb.com/title/tt1226681/?ref_=fn_tt_tt_1,1500000,2008,6.7,2.35
711,52166,Trucker ,2792,89263,Matthew Lawrence,http://www.imdb.com/title/tt1087527/?ref_=fn_tt_tt_1,2000000,2008,6.7,2.35
134,,Me You and Five Bucks ,7,771,Michael Elian,http://www.imdb.com/title/tt2265431/?ref_=fn_tt_tt_1,1500000,2015,7.6,
721,1163508,The Lords of Salem ,20376,5158,Michael Berryman,http://www.imdb.com/title/tt1731697/?ref_=fn_tt_tt_1,2500000,2012,5.1,2.35
28,,Housebound ,23323,165,Cameron Rhodes,http://www.imdb.com/title/tt3504048/?ref_=fn_tt_tt_1,350000,2014,6.8,2.35
0,,Wal-Mart: The High Cost of Low Price ,4120,0,Matt Hunter,http://www.imdb.com/title/tt0473107/?ref_=fn_tt_tt_1,1500000,2005,6.8,1.85
108,,Fetching Cody ,1232,596,Kyla Wise,http://www.imdb.com/title/tt0475271/?ref_=fn_tt_tt_1,1500000,2005,6.8,
636,,Once Upon a Time in Queens ,291,4036,Paul Sorvino,http://www.imdb.com/title/tt1639397/?ref_=fn_tt_tt_1,1500000,2013,6.3,1.89
71,,Closer to the Moon ,2841,588,Martin Hancock,http://www.imdb.com/title/tt2017486/?ref_=fn_tt_tt_1,5000000,2014,7.1,2.35
146,,Mutant World ,459,967,John DeSantis,http://www.imdb.com/title/tt3626436/?ref_=fn_tt_tt_1,1500000,2014,2.8,
259,,Growing Up Smith ,108,4320,Tim Guinee,http://www.imdb.com/title/tt1105355/?ref_=fn_tt_tt_1,2000000,2015,8.2,1.85
492,,Checkmate ,735,2882,Michael Paré,http://www.imdb.com/title/tt3781616/?ref_=fn_tt_tt_1,1500000,2015,3.1,2.35
1000,80033643,Jack Reacher ,226583,16385,David Oyelowo,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,60000000,2012,7.0,2.35
56,,#Horror ,1547,1044,Lydia Hearst,http://www.imdb.com/title/tt3526286/?ref_=fn_tt_tt_1,1500000,2015,3.3,
485,,Wind Walkers ,133,2870,Kiowa Gordon,http://www.imdb.com/title/tt1236254/?ref_=fn_tt_tt_1,2000000,2015,3.6,
31,184925485,Snow White and the Seven Dwarfs ,133348,229,Lucille La Verne,http://www.imdb.com/title/tt0029583/?ref_=fn_tt_tt_1,2000000,1937,7.7,1.37
3,304124,The Holy Girl ,2720,358,María Alche,http://www.imdb.com/title/tt0300270/?ref_=fn_tt_tt_1,1400000,2004,6.7,1.85
387,,Shalako ,1978,2140,Honor Blackman,http://www.imdb.com/title/tt0063592/?ref_=fn_tt_tt_1,1455000,1968,5.5,2.35
37,36830,Incident at Loch Ness ,3291,256,John Bailey,http://www.imdb.com/title/tt0374639/?ref_=fn_tt_tt_1,1400000,2004,6.6,1.85
256,,The Dog Lover ,162,2419,Cullen Douglas,http://www.imdb.com/title/tt4063178/?ref_=fn_tt_tt_1,2000000,2016,4.8,2.35
295,,Girl House ,4948,2072,Chasty Ballesteros,http://www.imdb.com/title/tt2577172/?ref_=fn_tt_tt_1,3150000,2014,5.5,2.35
3,231186,The Blue Room ,2082,421,Laurent Poitrenaux,http://www.imdb.com/title/tt3230082/?ref_=fn_tt_tt_1,,2014,6.3,1.33
69,,House at the End of the Drive ,330,1159,Angela Jones,http://www.imdb.com/title/tt0464054/?ref_=fn_tt_tt_1,1400000,2014,6.9,
356,,Batman: The Movie ,22975,2658,Burt Ward,http://www.imdb.com/title/tt0060153/?ref_=fn_tt_tt_1,1377800,1966,6.5,1.85
452,3650677,Lock, Stock and Two Smoking Barrels ,414976,28294,Dexter Fletcher,http://www.imdb.com/title/tt0120735/?ref_=fn_tt_tt_1,960000,1998,8.2,1.85
467,,The Ballad of Gregorio Cortez ,39,3164,Ned Beatty,http://www.imdb.com/title/tt3551840/?ref_=fn_tt_tt_1,1250000,1982,7.1,
,,The Streets of San Francisco             ,3405,416,,http://www.imdb.com/title/tt0068135/?ref_=fn_tt_tt_1,,,7.3,4.0
141,1647780,The Celebration ,65951,821,Trine Dyrholm,http://www.imdb.com/title/tt0154420/?ref_=fn_tt_tt_1,1300000,1998,8.1,1.33
636,695229,Trees Lounge ,11369,14420,Carol Kane,http://www.imdb.com/title/tt0117958/?ref_=fn_tt_tt_1,1300000,1996,7.2,1.85
5,638951,Journey from the Fall ,775,83,Cat Ly,http://www.imdb.com/title/tt0433398/?ref_=fn_tt_tt_1,1592000,2006,7.4,1.85
548,609042,The Basket ,449,3475,Peter Coyote,http://www.imdb.com/title/tt0190255/?ref_=fn_tt_tt_1,1300000,1999,6.5,1.85
98,1521,Eddie: The Sleepwalking Cannibal ,1231,843,Georgina Reilly,http://www.imdb.com/title/tt1480658/?ref_=fn_tt_tt_1,1500000,2012,5.7,
652,32940507,Mercury Rising ,54316,16537,Carrie Preston,http://www.imdb.com/title/tt0120749/?ref_=fn_tt_tt_1,60000000,1998,6.1,2.35
109,,Space: Above and Beyond             ,6381,611,Kristen Cloke,http://www.imdb.com/title/tt0112173/?ref_=fn_tt_tt_1,5000000,,7.7,1.33
0,,Queen of the Mountains ,3144,0,Mirlan Abdulayev,http://www.imdb.com/title/tt2640460/?ref_=fn_tt_tt_1,1400000,2014,8.7,2.35
13,,Def-Con 4 ,1339,289,Tim Choate,http://www.imdb.com/title/tt0087130/?ref_=fn_tt_tt_1,1750000,1985,4.3,1.85
624,19539,The Hebrew Hammer ,4182,6227,Tony Cox,http://www.imdb.com/title/tt0317640/?ref_=fn_tt_tt_1,1000000,2003,6.2,1.85
40,100358,Neal 'N' Nikki ,1167,602,Samantha McLeod,http://www.imdb.com/title/tt0470869/?ref_=fn_tt_tt_1,1500000,2005,3.3,2.35
134,,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,5579,1499,Matt Crabtree,http://www.imdb.com/title/tt1498870/?ref_=fn_tt_tt_1,1300000,2010,2.7,1.85
511,,Forget Me Not ,4866,38121,Christopher Atkins,http://www.imdb.com/title/tt1147684/?ref_=fn_tt_tt_1,1300000,2009,5.2,2.35
333,,Rebecca ,87424,2888,George Sanders,http://www.imdb.com/title/tt0032976/?ref_=fn_tt_tt_1,1288000,1940,8.2,1.37
59,19100000,Friday the 13th Part 2 ,39690,707,Amy Steel,http://www.imdb.com/title/tt0082418/?ref_=fn_tt_tt_1,1250000,1981,6.1,1.85
66,,The Lost Weekend ,24959,581,Frank Faylen,http://www.imdb.com/title/tt0037884/?ref_=fn_tt_tt_1,1250000,1945,8.0,1.37
132,,C.H.U.D. ,7528,1866,Sam McMurray,http://www.imdb.com/title/tt0087015/?ref_=fn_tt_tt_1,1250000,1984,5.5,1.85
183,2833383,Filly Brown ,910,2459,Jorge Diaz,http://www.imdb.com/title/tt1869425/?ref_=fn_tt_tt_1,427000,2012,5.7,2.35
397,,The Lion of Judah ,458,1730,Anupam Kher,http://www.imdb.com/title/tt1212022/?ref_=fn_tt_tt_1,15000000,2011,3.7,1.78
48,,Niagara ,11047,683,Will Wright,http://www.imdb.com/title/tt0046126/?ref_=fn_tt_tt_1,1250000,1953,7.1,1.37
137,,How Green Was My Valley ,15840,1129,Barry Fitzgerald,http://www.imdb.com/title/tt0033729/?ref_=fn_tt_tt_1,1250000,1941,7.8,1.37
201,,The Girlfriend Experience             ,3282,1961,Paul Sparks,http://www.imdb.com/title/tt3846642/?ref_=fn_tt_tt_1,,,7.3,
161,,Da Sweet Blood of Jesus ,794,4040,Felicia Pearson,http://www.imdb.com/title/tt3104930/?ref_=fn_tt_tt_1,1420000,2014,4.1,2.35
65,24741700,Sex, Lies, and Videotape ,37785,1431,Steven Brill,http://www.imdb.com/title/tt0098724/?ref_=fn_tt_tt_1,1200000,1989,7.2,1.85
651,55153403,Saw ,299127,5161,Shawnee Smith,http://www.imdb.com/title/tt0387564/?ref_=fn_tt_tt_1,1200000,2004,7.7,1.85
422,18488314,Super Troopers ,76151,2893,Jay Chandrasekhar,http://www.imdb.com/title/tt0247745/?ref_=fn_tt_tt_1,1200000,2001,7.1,1.85
434,,The Algerian ,101,20218,Ben Youcef,http://www.imdb.com/title/tt1681370/?ref_=fn_tt_tt_1,1300000,2014,7.6,1.85
3,11278,The Amazing Catfish ,1229,58,José Manuel Orozco Angulo,http://www.imdb.com/title/tt2414046/?ref_=fn_tt_tt_1,1300000,2013,7.0,
71,79363785,The Day the Earth Stood Still ,139426,22194,Juan Riedinger,http://www.imdb.com/title/tt0970416/?ref_=fn_tt_tt_1,80000000,2008,5.5,2.35
73,13876974,Monsoon Wedding ,19397,809,Lillete Dubey,http://www.imdb.com/title/tt0265343/?ref_=fn_tt_tt_1,7000000,2001,7.4,1.85
612,9180275,You Can Count on Me ,22145,4288,Gaby Hoffmann,http://www.imdb.com/title/tt0203230/?ref_=fn_tt_tt_1,1200000,2000,7.7,1.85
232,,The Trouble with Harry ,24891,1041,Royal Dano,http://www.imdb.com/title/tt0048750/?ref_=fn_tt_tt_1,1200000,1955,7.2,1.5
1000,22494487,Lucky Number Slevin ,262160,26451,Dorian Missick,http://www.imdb.com/title/tt0425210/?ref_=fn_tt_tt_1,27000000,2006,7.8,2.35
849,2199853,But I'm a Cheerleader ,19986,4289,Eddie Cibrian,http://www.imdb.com/title/tt0179116/?ref_=fn_tt_tt_1,1200000,1999,6.6,1.85
449,2859955,Home Run ,2417,2681,Scott Elrod,http://www.imdb.com/title/tt2051894/?ref_=fn_tt_tt_1,1200000,2013,6.0,2.35
455,2812029,Reservoir Dogs ,664719,28994,Chris Penn,http://www.imdb.com/title/tt0105236/?ref_=fn_tt_tt_1,1200000,1992,8.4,2.35
51,,The Blue Bird ,1047,293,Gale Sondergaard,http://www.imdb.com/title/tt0032264/?ref_=fn_tt_tt_1,,1940,6.5,1.37
24,6100000,The Good, the Bad and the Ugly ,503509,16089,Enzo Petito,http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1,1200000,1966,8.9,2.35
4,375723,The Second Mother ,7025,76,Luis Miranda,http://www.imdb.com/title/tt3742378/?ref_=fn_tt_tt_1,4000000,2015,7.9,2.35
274,594904,Blue Like Jazz ,2582,1805,Eric Lange,http://www.imdb.com/title/tt1758575/?ref_=fn_tt_tt_1,1200000,2012,6.0,1.85
3,58936,Down and Out with the Dolls ,91,318,Zoë Poledouris,http://www.imdb.com/title/tt0283323/?ref_=fn_tt_tt_1,1200000,2001,6.1,1.78
,24784,Pink Ribbons, Inc. ,591,0,,http://www.imdb.com/title/tt2035599/?ref_=fn_tt_tt_1,1200000,2011,7.4,
924,7826,Certifiably Jonathan ,132,54484,Jonathan Winters,http://www.imdb.com/title/tt0976025/?ref_=fn_tt_tt_1,1200000,2007,6.2,
24,,Q ,4068,114,Yassine Azzouz,http://www.imdb.com/title/tt1879030/?ref_=fn_tt_tt_1,1500000,2011,5.6,1.78
0,3830,The Knife of Don Juan ,27,5,Juan Carlos Montoya,http://www.imdb.com/title/tt1349485/?ref_=fn_tt_tt_1,1200000,2013,7.2,
95,,Grand Theft Parsons ,2953,1438,Jim Cody Williams,http://www.imdb.com/title/tt0338075/?ref_=fn_tt_tt_1,,2003,6.1,1.85
227,,Extreme Movie ,9560,1190,Vanessa Lee Chester,http://www.imdb.com/title/tt0806147/?ref_=fn_tt_tt_1,,2008,3.8,1.85
94,,The Charge of the Light Brigade ,3418,1621,Spring Byington,http://www.imdb.com/title/tt0027438/?ref_=fn_tt_tt_1,1200000,1936,7.1,1.37
5,,Below Zero ,652,862,Michael Eisner,http://www.imdb.com/title/tt1641388/?ref_=fn_tt_tt_1,1200000,2011,4.5,
63,,Crowsnest ,1321,630,Chelsey Reist,http://www.imdb.com/title/tt2180333/?ref_=fn_tt_tt_1,1200000,2012,3.8,
117,2850263,Airborne ,5061,1218,Brittney Powell,http://www.imdb.com/title/tt0106233/?ref_=fn_tt_tt_1,2600000,1993,6.2,1.85
148,,Cotton Comes to Harlem ,1172,1581,Calvin Lockhart,http://www.imdb.com/title/tt0065579/?ref_=fn_tt_tt_1,1200000,1970,6.6,1.85
475,,The Wicked Within ,742,11257,Patrick Muldoon,http://www.imdb.com/title/tt1943014/?ref_=fn_tt_tt_1,1200000,2015,4.6,
312,,Bleeding Hearts ,71,1810,Dustin Diamond,http://www.imdb.com/title/tt2622294/?ref_=fn_tt_tt_1,1200000,2015,4.2,
804,16101109,Waiting... ,76467,19957,Vanessa Lengies,http://www.imdb.com/title/tt0348333/?ref_=fn_tt_tt_1,3000000,2005,6.8,1.85
68,6013,Dead Man's Shoes ,39929,1311,George Newton,http://www.imdb.com/title/tt0419677/?ref_=fn_tt_tt_1,695393,2004,7.7,1.85
206,,Wolf Creek             ,726,1617,Lucy Fry,http://www.imdb.com/title/tt4460878/?ref_=fn_tt_tt_1,,,7.1,2.0
147,1400000,From a Whisper to a Scream ,1324,1329,Susan Tyrrell,http://www.imdb.com/title/tt0091671/?ref_=fn_tt_tt_1,1100000,1987,5.9,1.85
,247740,Sex with Strangers ,285,0,,http://www.imdb.com/title/tt0304692/?ref_=fn_tt_tt_1,,2002,4.7,1.33
3,39659,Dracula: Pages from a Virgin's Diary ,1555,21,Brent Neale,http://www.imdb.com/title/tt0293113/?ref_=fn_tt_tt_1,1600000,2002,7.0,1.85
25,,Faith Like Potatoes ,2050,521,Jeanne Neilson,http://www.imdb.com/title/tt0850667/?ref_=fn_tt_tt_1,10000000,2006,6.9,1.85
48,56129,Beyond the Black Rainbow ,6555,645,Eva Bourne,http://www.imdb.com/title/tt1534085/?ref_=fn_tt_tt_1,1100000,2010,6.1,2.35
60,4105123,The Raid: Redemption ,148221,1445,Donny Alamsyah,http://www.imdb.com/title/tt1899353/?ref_=fn_tt_tt_1,1100000,2011,7.6,1.85
252,,The Dead Undead ,737,2510,Matthew R. Anderson,http://www.imdb.com/title/tt0923653/?ref_=fn_tt_tt_1,1100000,2010,3.0,1.85
0,,The Vatican Exorcisms ,332,12,Joe Marino,http://www.imdb.com/title/tt3043194/?ref_=fn_tt_tt_1,1100000,2013,2.6,2.35
269,,Casablanca ,387508,3442,Conrad Veidt,http://www.imdb.com/title/tt0034583/?ref_=fn_tt_tt_1,950000,1942,8.6,1.37
5,,Lake Mungo ,9465,29,Martin Sharpe,http://www.imdb.com/title/tt0816556/?ref_=fn_tt_tt_1,1400000,2008,6.1,1.85
20,,Rocket Singh: Salesman of the Year ,11010,1052,Gauhar Khan,http://www.imdb.com/title/tt1434447/?ref_=fn_tt_tt_1,,2009,7.5,
42,,Silent Running ,20678,1080,Jesse Vint,http://www.imdb.com/title/tt0067756/?ref_=fn_tt_tt_1,1000000,1972,6.7,1.85
794,117235247,Rocky ,375240,16094,Carl Weathers,http://www.imdb.com/title/tt0075148/?ref_=fn_tt_tt_1,960000,1976,8.1,1.33
9,,The Sleepwalker ,512,622,Gitte Witt,http://www.imdb.com/title/tt2723576/?ref_=fn_tt_tt_1,1100000,2014,4.9,2.35
606,21378000,The Fog ,46493,4878,Janet Leigh,http://www.imdb.com/title/tt0080749/?ref_=fn_tt_tt_1,1000000,1980,6.8,2.35
69,,Tom Jones ,8508,1371,Hugh Griffith,http://www.imdb.com/title/tt0057590/?ref_=fn_tt_tt_1,1000000,1963,6.8,1.37
142,31537320,Unfriended ,44329,1565,Heather Sossaman,http://www.imdb.com/title/tt3713166/?ref_=fn_tt_tt_1,1000000,2014,5.7,1.85
595,,Taxi Driver ,507063,23525,Peter Boyle,http://www.imdb.com/title/tt0075314/?ref_=fn_tt_tt_1,1300000,1976,8.3,1.85
725,17986000,The Howling ,22773,4438,Dee Wallace,http://www.imdb.com/title/tt0082533/?ref_=fn_tt_tt_1,1000000,1981,6.6,1.85
177,16067035,Dr. No ,116642,1421,Lois Maxwell,http://www.imdb.com/title/tt0055928/?ref_=fn_tt_tt_1,1100000,1962,7.3,1.37
300,18112929,Chernobyl Diaries ,52642,2665,Jonathan Sadowski,http://www.imdb.com/title/tt1991245/?ref_=fn_tt_tt_1,1000000,2012,5.0,1.85
100,14564027,Hellraiser ,76407,673,Clare Higgins,http://www.imdb.com/title/tt0093177/?ref_=fn_tt_tt_1,1000000,1987,7.0,1.85
295,20773070,God's Not Dead 2 ,4501,1810,Maria Canals-Barrera,http://www.imdb.com/title/tt4824308/?ref_=fn_tt_tt_1,5000000,2016,3.4,2.35
683,10042266,Cry_Wolf ,23021,3155,Lindy Booth,http://www.imdb.com/title/tt0384286/?ref_=fn_tt_tt_1,1000000,2005,5.9,2.35
3,10037390,Godzilla 2000 ,5442,53,Sakae Kimura,http://www.imdb.com/title/tt0188640/?ref_=fn_tt_tt_1,1000000000,1999,6.0,2.35
616,9701559,Blue Valentine ,141425,35941,John Doman,http://www.imdb.com/title/tt1120985/?ref_=fn_tt_tt_1,3500000,2010,7.4,1.66
226,9013113,Transamerica ,36321,3192,Paul Borghese,http://www.imdb.com/title/tt0407265/?ref_=fn_tt_tt_1,1000000,2005,7.4,1.85
128,53245055,The Devil Inside ,30570,988,Brian Johnson,http://www.imdb.com/title/tt1560985/?ref_=fn_tt_tt_1,1000000,2012,4.2,1.85
44,9000000,Beyond the Valley of the Dolls ,7584,731,Harrison Page,http://www.imdb.com/title/tt0065466/?ref_=fn_tt_tt_1,900000,1970,6.2,2.35
102,,Love Me Tender ,2636,831,Debra Paget,http://www.imdb.com/title/tt0049452/?ref_=fn_tt_tt_1,1000000,1956,6.2,2.35
,23808111,An Inconvenient Truth ,67654,929,,http://www.imdb.com/title/tt0497116/?ref_=fn_tt_tt_1,,2006,7.5,1.85
88,,Sands of Iwo Jima ,7346,510,Forrest Tucker,http://www.imdb.com/title/tt0041841/?ref_=fn_tt_tt_1,1000000,1949,7.2,1.37
184,5355376,Shine a Light ,9638,1218,Albert Maysles,http://www.imdb.com/title/tt0893382/?ref_=fn_tt_tt_1,,2008,7.2,1.85
389,7186670,The Green Inferno ,21468,2082,Magda Apanowicz,http://www.imdb.com/title/tt2403021/?ref_=fn_tt_tt_1,6000000,2013,5.4,2.35
30,,Departure ,162,283,Niamh Cusack,http://www.imdb.com/title/tt2248739/?ref_=fn_tt_tt_1,1100000,2015,7.0,1.85
365,5997134,The Sessions ,36381,1899,Rhea Perlman,http://www.imdb.com/title/tt1866249/?ref_=fn_tt_tt_1,1000000,2012,7.2,1.85
2,4417124,Food, Inc. ,42389,42,Barbara Kowalcyk,http://www.imdb.com/title/tt1286537/?ref_=fn_tt_tt_1,,2008,7.9,1.78
245,5355847,October Baby ,6110,1147,Jason Burkey,http://www.imdb.com/title/tt1720182/?ref_=fn_tt_tt_1,,2011,6.8,
458,3386698,Next Stop Wonderland ,4195,23461,Holland Taylor,http://www.imdb.com/title/tt0119778/?ref_=fn_tt_tt_1,1000000,1998,6.7,1.85
973,143492840,Juno ,414345,28817,Rainn Wilson,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1,7500000,2007,7.5,1.85
180,5283379,The Skeleton Twins ,31254,3986,Kathleen Rose Perkins,http://www.imdb.com/title/tt1571249/?ref_=fn_tt_tt_1,,2014,6.8,2.35
287,2981638,Martha Marcy May Marlene ,40425,1263,Brady Corbet,http://www.imdb.com/title/tt1441326/?ref_=fn_tt_tt_1,,2011,6.9,2.35
313,3122616,Obvious Child ,16594,1587,Jake Lacy,http://www.imdb.com/title/tt2910274/?ref_=fn_tt_tt_1,,2014,6.8,2.35
229,2508841,Frozen River ,21746,994,Misty Upham,http://www.imdb.com/title/tt0978759/?ref_=fn_tt_tt_1,1000000,2008,7.2,1.85
13,4946250,20 Feet from Stardom ,9540,198,Merry Clayton,http://www.imdb.com/title/tt2396566/?ref_=fn_tt_tt_1,1000000,2013,7.4,1.78
13,1950218,Two Girls and a Guy ,5933,21124,Angel David,http://www.imdb.com/title/tt0124179/?ref_=fn_tt_tt_1,1000000,1997,5.6,1.85
584,1277257,Walking and Talking ,2629,2400,Vincent Pastore,http://www.imdb.com/title/tt0118113/?ref_=fn_tt_tt_1,1000000,1996,6.8,1.85
121,45857453,The Full Monty ,82232,2323,Lesley Sharp,http://www.imdb.com/title/tt0119164/?ref_=fn_tt_tt_1,3500000,1997,7.2,1.85
5,1677838,Who Killed the Electric Car? ,11283,1447,Colette Divine,http://www.imdb.com/title/tt0489037/?ref_=fn_tt_tt_1,1000000,2006,7.7,1.75
428,1744858,The Broken Hearts Club: A Romantic Comedy ,6084,3085,Mary McCormack,http://www.imdb.com/title/tt0222850/?ref_=fn_tt_tt_1,1000000,2000,7.0,2.35
124,,Bubba Ho-Tep ,38893,1587,Ella Joyce,http://www.imdb.com/title/tt0281686/?ref_=fn_tt_tt_1,1000000,2002,7.2,1.85
543,80021740,Goosebumps ,47988,5497,Ken Marino,http://www.imdb.com/title/tt1051904/?ref_=fn_tt_tt_1,58000000,2015,6.4,2.35
6,982214,Slam ,1976,295,Bonz Malone,http://www.imdb.com/title/tt0139615/?ref_=fn_tt_tt_1,1000000,1998,7.2,1.85
25,798341,Brigham City ,983,1107,Rick Macy,http://www.imdb.com/title/tt0268200/?ref_=fn_tt_tt_1,1000000,2001,7.2,1.85
97,610991,Fiza ,2715,773,Jaya Bhaduri,http://www.imdb.com/title/tt0248012/?ref_=fn_tt_tt_1,1000000,2000,6.2,2.35
842,,History of the World: Part I ,36559,3931,Dom DeLuise,http://www.imdb.com/title/tt0082517/?ref_=fn_tt_tt_1,11000000,1981,6.9,2.35
194,582024,Orgazmo ,30396,904,Matt Stone,http://www.imdb.com/title/tt0124819/?ref_=fn_tt_tt_1,1000000,1997,6.2,1.85
463,548712,All the Real Girls ,9233,12385,Shea Whigham,http://www.imdb.com/title/tt0299458/?ref_=fn_tt_tt_1,2500000,2003,6.9,2.35
301,464655,Dream with the Fishes ,1524,1692,Kathryn Erbe,http://www.imdb.com/title/tt0119019/?ref_=fn_tt_tt_1,1000000,1997,7.0,1.85
275,464126,Blue Car ,3142,1641,A.J. Buckley,http://www.imdb.com/title/tt0290145/?ref_=fn_tt_tt_1,1000000,2002,6.7,1.85
268,428535,Luminarias ,505,2289,Robert Beltran,http://www.imdb.com/title/tt0160498/?ref_=fn_tt_tt_1,1000000,2000,3.6,
145,750100,Palo Alto ,19752,12234,Olivia Crocicchia,http://www.imdb.com/title/tt2479800/?ref_=fn_tt_tt_1,,2013,6.3,1.85
7,621240,Ajami ,4999,42,Ranin Karim,http://www.imdb.com/title/tt1077262/?ref_=fn_tt_tt_1,,2009,7.4,1.85
772,104077,Wristcutters: A Love Story ,46076,4720,Chase Ellison,http://www.imdb.com/title/tt0477139/?ref_=fn_tt_tt_1,1000000,2006,7.4,1.78
11,334658,I Origins ,75633,7098,Venida Evans,http://www.imdb.com/title/tt2884206/?ref_=fn_tt_tt_1,,2014,7.3,2.39
551,279282,The Battle of Shaker Heights ,3806,2489,Kathleen Quinlan,http://www.imdb.com/title/tt0357470/?ref_=fn_tt_tt_1,1000000,2003,6.1,1.85
310,43982842,The Lovely Bones ,125114,2369,Tom McCarthy,http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1,65000000,2009,6.7,2.35
0,484221,The Act of Killing ,23836,6,Syamsul Arifin,http://www.imdb.com/title/tt2375605/?ref_=fn_tt_tt_1,1000000,2012,8.2,1.85
23,274661,Taxi to the Dark Side ,10564,313,Greg D'Agostino,http://www.imdb.com/title/tt0854678/?ref_=fn_tt_tt_1,1000000,2007,7.7,1.85
5,144431,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,1290,118,Ahmet Ertegun,http://www.imdb.com/title/tt0489247/?ref_=fn_tt_tt_1,1000000,2006,7.3,1.85
0,227241,Guiana 1838 ,56,15,Aasheekaa Bathija,http://www.imdb.com/title/tt0428609/?ref_=fn_tt_tt_1,,2004,7.4,
679,112521,Lisa Picard Is Famous ,455,3258,Melissa Gilbert,http://www.imdb.com/title/tt0233699/?ref_=fn_tt_tt_1,,2000,5.7,
9,287761,Antarctica: A Year on Ice ,2482,86,Anthony Powell,http://www.imdb.com/title/tt2361700/?ref_=fn_tt_tt_1,1000000,2013,7.6,1.85
0,100240,A Lego Brickumentary ,1220,28,Jason Bateman,http://www.imdb.com/title/tt3214286/?ref_=fn_tt_tt_1,1000000,2014,6.8,
891,96734,Hardflip ,606,263584,Raquel Elizabeth Ames,http://www.imdb.com/title/tt1907639/?ref_=fn_tt_tt_1,1000000,2012,5.6,1.85
219,49000,Chocolate: Deep Dark Secrets ,1524,2024,Sunil Shetty,http://www.imdb.com/title/tt0454431/?ref_=fn_tt_tt_1,1500000,2005,4.8,
725,100659,The House of the Devil ,30160,3833,Dee Wallace,http://www.imdb.com/title/tt1172994/?ref_=fn_tt_tt_1,900000,2009,6.4,1.85
271,48430,The Perfect Host ,20176,1452,Nathaniel Parker,http://www.imdb.com/title/tt1334553/?ref_=fn_tt_tt_1,500000,2010,6.8,1.85
117,21210,Safe Men ,2735,1141,Josh Pais,http://www.imdb.com/title/tt0120813/?ref_=fn_tt_tt_1,1000000,1998,6.1,1.85
