director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,gross,genres,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,content_rating,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Lana Wachowski,120,0,126,3798532,Crime|Drama|Romance|Thriller,Bound ,3668,Peter Spellos,0,gangster|lesbian|mafia|money|neo noir,http://www.imdb.com/title/tt0115736/?ref_=fn_tt_tt_1,208,R,1996,441,7.4,2000
Darren Aronofsky,234,0,167,3609278,Drama,Requiem for a Dream ,2235,Louise Lasser,0,addiction|diet pill|drug addiction|fast motion scene|heroin,http://www.imdb.com/title/tt0180093/?ref_=fn_tt_tt_1,1916,R,2000,1000,8.4,38000
Walter Lang,17,9,37,,Musical|Romance,State Fair ,496,Frank McHugh,2,fair|farm|iowa|newspaper|state fair,http://www.imdb.com/title/tt0038116/?ref_=fn_tt_tt_1,55,Approved,1945,135,7.1,501
Carlos Saura,35,98,4,1687311,Drama|Musical,Tango ,371,Miguel Ángel Solá,3,dancer|director|love|musical filmmaking|tango,http://www.imdb.com/title/tt0120274/?ref_=fn_tt_tt_1,40,PG-13,1998,26,7.2,539
Oliver Stone,48,0,491,,Drama|History|Thriller|War,Salvador ,2762,Juan Fernández,0,1980s|el salvador|political thriller|reagan administration|war journalism,http://www.imdb.com/title/tt0091886/?ref_=fn_tt_tt_1,89,R,1986,652,7.5,1000
Andrew Erwin,49,10,402,10429707,Comedy,Moms' Night Out ,2705,Patricia Heaton,,blogger|pastor|reference to the shawshank redemption|taser|tasered,http://www.imdb.com/title/tt3014666/?ref_=fn_tt_tt_1,125,PG,2014,416,5.4,0
Richard Kelly,283,219,701,727883,Drama|Sci-Fi|Thriller,Donnie Darko ,17040,James Duval,1,1980s|death|insanity|parallel universe|time travel,http://www.imdb.com/title/tt0246578/?ref_=fn_tt_tt_1,2110,R,2001,933,8.1,33000
Beto Gómez,16,5,122,1391770,Adventure|Comedy|Western,Saving Private Perez ,793,Joaquín Cosio,6,conflicted hero|flashback|mission|rescue|rescue mission,http://www.imdb.com/title/tt0461336/?ref_=fn_tt_tt_1,14,PG-13,2011,154,6.0,0
Mike van Diem,54,4,3,713413,Crime|Drama|Mystery,Character ,48,Hans Kesting,1,bailiff|lawyer|office|police|school,http://www.imdb.com/title/tt0119448/?ref_=fn_tt_tt_1,68,R,1997,20,7.8,689
Jonas Åkerlund,92,68,391,410241,Comedy|Crime|Drama,Spun ,2110,Debbie Harry,0,male nudity|meth|meth lab|nudity|speed freak,http://www.imdb.com/title/tt0283003/?ref_=fn_tt_tt_1,199,R,2002,601,6.8,3000
Todd Solondz,159,377,844,278821,Comedy|Drama,Life During Wartime ,5041,Charlotte Rampling,1,forgiveness|ghost|new jersey|pedophile|three sisters,http://www.imdb.com/title/tt0808526/?ref_=fn_tt_tt_1,37,R,2009,887,6.5,0
Chan-wook Park,202,0,38,211667,Crime|Drama,Lady Vengeance ,907,Hye-jeong Kang,0,cake|christian|lesbian sex|oral sex|pregnant schoolgirl,http://www.imdb.com/title/tt0451094/?ref_=fn_tt_tt_1,131,R,2005,126,7.7,4000
René Féret,50,0,9,706622,Biography|Drama|Music|Romance,Mozart's Sister ,53,Marie Féret,2,mozart|musical prodigy|royal court|singer|talent,http://www.imdb.com/title/tt1653911/?ref_=fn_tt_tt_1,17,,2010,12,6.4,0
Barry Skolnick,54,0,798,92191,Comedy|Drama|Sport,Mean Machine ,29325,Danny Dyer,1,inmate|prison|prison guard|soccer|soccer star,http://www.imdb.com/title/tt0291341/?ref_=fn_tt_tt_1,84,R,2001,1000,6.5,0
Johnnie To,98,143,76,49413,Action|Crime|Thriller,Exiled ,398,Josie Ho,0,baby|friendship|macau|practical joke|selfie,http://www.imdb.com/title/tt0796212/?ref_=fn_tt_tt_1,26,R,2006,96,7.3,528
Mateo Gil,92,3,327,199652,Action|Adventure|Western,Blackthorn ,1950,Stephen Rea,0,assumed identity|bolivia|butch cassidy|doctor|thief,http://www.imdb.com/title/tt1629705/?ref_=fn_tt_tt_1,40,R,2011,356,6.6,0
Lukas Moodysson,112,187,0,181655,Crime|Drama,Lilya 4-Ever ,131,Lyubov Agapova,1,abandoned by mother|poverty|sex trade|teenage prostitution|unpaid bill,http://www.imdb.com/title/tt0300140/?ref_=fn_tt_tt_1,206,R,2002,2,7.9,0
Agnieszka Wojtowicz-Vosloo,138,0,329,108229,Drama|Horror|Mystery|Thriller,After.Life ,15860,Chandler Canterbury,1,breath on mirror|buried alive|engagement ring|looking at one's self in a mirror|serial killer,http://www.imdb.com/title/tt0838247/?ref_=fn_tt_tt_1,137,R,2009,1000,5.9,7000
Kabir Sadanand,9,0,62,,Drama|Thriller,Fugly ,496,Dimple Kapadia,4,,http://www.imdb.com/title/tt3683702/?ref_=fn_tt_tt_1,7,,2014,82,4.7,62
Milos Forman,149,869,425,112000000,Drama,One Flew Over the Cuckoo's Nest ,2176,Louise Fletcher,0,1960s|escape|mental institution|nurse|sexuality,http://www.imdb.com/title/tt0073486/?ref_=fn_tt_tt_1,760,R,1975,721,8.7,32000
Peter DeLuise,5,358,212,,Comedy,R.L. Stine's Monsterville: The Cabinet of Souls ,20397,Braeden Lemasters,3,cabinet|carnival|halloween|soul|temptress,http://www.imdb.com/title/tt4386242/?ref_=fn_tt_tt_1,4,PG,2015,570,5.9,224
Mel Brooks,39,0,753,,Comedy|Romance,Silent Movie ,2951,Bernadette Peters,0,black comedy|friend|modern silent movie|silent movie|two word title,http://www.imdb.com/title/tt0075222/?ref_=fn_tt_tt_1,61,PG,1976,842,6.7,629
Raja Menon,39,6,12,,Action|Drama|History|Thriller|War,Airlift ,151,Purab Kohli,1,1990s|businessman|evacuation|historical fiction|kuwait,http://www.imdb.com/title/tt4387040/?ref_=fn_tt_tt_1,178,,2016,26,8.5,10000
,2,,505,,Drama|Family,Anne of Green Gables             ,2667,Megan Follows,0,girl|heroine|kindred spirit|orphan|rural setting,http://www.imdb.com/title/tt0088727/?ref_=fn_tt_tt_1,74,TV-G,,517,8.4,0
Ernie Barbarash,29,249,261,8691,Action|Adventure,Falcon Rising ,3089,Lateef Crowder,1,,http://www.imdb.com/title/tt2295722/?ref_=fn_tt_tt_1,32,R,2014,298,5.8,0
Nick Love,111,63,422,26345,Action|Crime|Drama,The Sweeney ,4810,Alan Ford,4,bank|criminal|detective|flying squad|policewoman,http://www.imdb.com/title/tt0857190/?ref_=fn_tt_tt_1,99,R,2012,1000,6.1,0
Jonathan Glazer,149,143,100,6940281,Crime|Thriller,Sexy Beast ,1291,Amanda Redman,6,boulder|gangster|one last job|spain|villa,http://www.imdb.com/title/tt0203119/?ref_=fn_tt_tt_1,346,R,2000,146,7.3,0
Daniel Espinosa,90,79,93,188870,Action|Crime|Drama|Thriller,Easy Money ,857,Matias Varela,1,double life|drugs|financial crisis|first part|serbian,http://www.imdb.com/title/tt1291652/?ref_=fn_tt_tt_1,25,R,2010,254,6.7,0
Niki Caro,149,51,8,20772796,Drama|Family,Whale Rider ,497,Tammy Davis,1,girl|maori|new zealand|tradition|whale,http://www.imdb.com/title/tt0298228/?ref_=fn_tt_tt_1,346,PG-13,2002,20,7.6,0
R. Balki,12,12,106,199228,Comedy|Drama,Paa ,1045,Paresh Rawal,0,adult actor playing minor|politician|progeria|reference to spiderman|school,http://www.imdb.com/title/tt1532957/?ref_=fn_tt_tt_1,49,,2009,374,7.2,504
Ivan Engler,64,0,7,,Mystery|Sci-Fi|Thriller,Cargo ,61,Anna Katharina Schwabroh,0,23rd century|lucid dream|outer space|space travel|trapped in space,http://www.imdb.com/title/tt0381940/?ref_=fn_tt_tt_1,62,,2009,9,6.2,2000
Joe Wright,256,456,394,34964818,Adventure|Family|Fantasy,Pan ,21404,Nonso Anozie,4,1940s|child hero|fantasy world|orphan|reference to peter pan,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1,186,PG,2015,559,5.8,24000
Kenny Ortega,57,197,578,,Comedy|Drama|Family|Music|Musical|Romance,High School Musical ,2553,Olesya Rulin,0,audition|basketball|high school|singing|teenager,http://www.imdb.com/title/tt0475293/?ref_=fn_tt_tt_1,726,TV-G,2006,632,5.2,0
,8,,551,,Crime|Drama,Animal Kingdom             ,3026,Ellen Barkin,0,based on film|brother brother relationship|crime family|remake|southern california,http://www.imdb.com/title/tt5574490/?ref_=fn_tt_tt_1,23,,,557,8.1,0
Richard Kwietniowski,50,23,130,2542264,Comedy|Drama,Love and Death on Long Island ,938,Danny Webb,1,actor|love|obsession|obsessive love|star,http://www.imdb.com/title/tt0119574/?ref_=fn_tt_tt_1,48,PG-13,1997,232,7.1,61
Timur Bekmambetov,232,335,16,1487477,Fantasy|Thriller,Night Watch ,206,Zhanna Friske,0,battle|bridge|mother son relationship|supernatural power|vampire,http://www.imdb.com/title/tt0403358/?ref_=fn_tt_tt_1,310,R,2004,28,6.5,0
Neil Jordan,63,277,327,62549000,Crime|Drama|Romance|Thriller,The Crying Game ,2412,Stephen Rea,0,androgynous|full frontal male nudity|irish republican army|psychological drama|tragic love,http://www.imdb.com/title/tt0104036/?ref_=fn_tt_tt_1,148,R,1992,530,7.3,0
Bob Clark,75,84,95,105500000,Comedy,Porky's ,582,Tony Ganios,0,female full frontal nudity|revenge|school|sheriff|virginity,http://www.imdb.com/title/tt0084522/?ref_=fn_tt_tt_1,152,R,1981,95,6.2,0
George A. Romero,274,0,231,101055,Horror,Survival of the Dead ,1951,Kathleen Munroe,0,delaware|feud|island|undead|zombie,http://www.imdb.com/title/tt1134854/?ref_=fn_tt_tt_1,159,R,2009,529,5.0,0
George A. Romero,284,0,56,,Drama|Horror|Mystery,Night of the Living Dead ,403,S. William Hinzman,5,cemetery|farmhouse|radiation|running out of gas|zombie,http://www.imdb.com/title/tt0063350/?ref_=fn_tt_tt_1,580,Unrated,1968,108,8.0,0
Sofia Coppola,265,0,11,44566004,Drama,Lost in Translation ,32015,Catherine Lambert,0,fish out of water|japanese|loneliness|older man younger woman relationship|unlikely friendship,http://www.imdb.com/title/tt0335266/?ref_=fn_tt_tt_1,1848,R,2003,13000,7.8,17000
Woody Allen,154,11000,629,39200000,Comedy|Romance,Annie Hall ,12691,Shelley Duvall,0,breaking the fourth wall|comedian|jewish|neurosis|singer,http://www.imdb.com/title/tt0075686/?ref_=fn_tt_tt_1,491,PG,1977,636,8.1,0
Cecil B. DeMille,44,309,132,36000000,Drama|Family|Romance,The Greatest Show on Earth ,825,Cornel Wilde,0,circus|clown|elephant trainer|trapeze|trapeze artist,http://www.imdb.com/title/tt0044672/?ref_=fn_tt_tt_1,107,Not Rated,1952,178,6.7,625
Ridley Scott,314,0,748,65007045,Action|Adventure|Drama,Exodus: Gods and Kings ,26489,Ben Mendelsohn,0,egypt|exodus|moses|pharaoh|plague,http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1,657,PG-13,2014,892,6.1,51000
Marc Forster,153,395,80,31252964,Drama|Romance,Monster's Ball ,13707,Marcus Lyle Brown,1,cunnilingus|female frontal nudity|female nudity|interracial sex|rear entry sex,http://www.imdb.com/title/tt0285742/?ref_=fn_tt_tt_1,522,R,2001,595,7.1,0
Henry Hobson,256,9,428,131175,Drama|Horror,Maggie ,1885,David A Cole,2,father daughter relationship|playing against type|post apocalypse|protective father|zombie apocalypse,http://www.imdb.com/title/tt1881002/?ref_=fn_tt_tt_1,200,PG-13,2015,430,5.6,22000
Mike Figgis,123,81,687,31968347,Drama|Romance,Leaving Las Vegas ,14823,Julian Sands,0,alcoholic|bar|love|prostitute|sex,http://www.imdb.com/title/tt0113627/?ref_=fn_tt_tt_1,286,R,1995,898,7.6,0
Duane Journey,46,2,555,,Comedy|Horror,Hansel & Gretel Get Baked ,2634,Lochlyn Munro,0,hansel and gretel|lesbian kiss|marijuana|witch|witchcraft,http://www.imdb.com/title/tt2081194/?ref_=fn_tt_tt_1,11,,2013,619,4.3,0
Dan O'Bannon,203,228,358,,Comedy|Horror|Sci-Fi,The Return of the Living Dead ,2020,Beverly Randolph,0,crematorium|female frontal nudity|naked dead woman|paramedic|poison gas,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,300,R,1985,426,7.3,0
Billy Wilder,34,0,116,,Comedy|Drama|Romance,The Front Page ,1218,David Wayne,2,1920s|communist|escape from jail|newspaper|reporter,http://www.imdb.com/title/tt0071524/?ref_=fn_tt_tt_1,50,PG,1974,222,7.3,661
Rob Cohen,149,357,326,35385560,Mystery|Thriller,The Boy Next Door ,4807,Adam Hicks,1,adultery|argument|older woman younger man relationship|oral sex|sex scene,http://www.imdb.com/title/tt3181822/?ref_=fn_tt_tt_1,131,R,2015,465,4.6,8000
Carol Reed,20,82,69,,Drama|Romance,Trapeze ,986,Sidney James,0,acrobat|circus|cripple|trapeze|trapeze artist,http://www.imdb.com/title/tt0049875/?ref_=fn_tt_tt_1,35,Approved,1956,119,6.8,283
,9,,904,,Drama|Fantasy,Saving Grace             ,5203,Bokeem Woodbine,1,catholic|death row|inmate|oklahoma city|sexual promiscuity,http://www.imdb.com/title/tt0830900/?ref_=fn_tt_tt_1,47,TV-MA,,1000,7.5,634
Lisa Cholodenko,323,450,712,20803237,Comedy|Drama,The Kids Are All Right ,18645,Yaya DaCosta,1,biological father|college|motorcycle|sperm|sperm donor,http://www.imdb.com/title/tt0842926/?ref_=fn_tt_tt_1,291,R,2010,3000,7.1,16000
John Carpenter,172,0,133,13008928,Horror|Sci-Fi|Thriller,They Live ,837,George 'Buck' Flower,0,alien|brainwashing|construction worker|sunglasses|teleportation,http://www.imdb.com/title/tt0096256/?ref_=fn_tt_tt_1,333,R,1988,151,7.3,27000
John Sturges,111,120,145,,Adventure|Drama|History|Thriller|War,The Great Escape ,1785,Gordon Jackson,0,digging|escape|escape attempt|prisoner|tunnel,http://www.imdb.com/title/tt0057115/?ref_=fn_tt_tt_1,301,Approved,1963,742,8.3,8000
William Arntz,74,0,428,10941801,Comedy|Documentary|Drama|Fantasy|Mystery|Sci-Fi,What the #$*! Do We (K)now!? ,2649,Armin Shimerman,0,consciousness|photographer|radical|science|scientist,http://www.imdb.com/title/tt0399877/?ref_=fn_tt_tt_1,486,Unrated,2004,670,5.4,2000
Ed Gass-Donnelly,161,8,400,15152879,Drama|Horror|Thriller,The Last Exorcism Part II ,46868,Ashley Bell,0,car fire|evil|hospital|hotel|prophecy,http://www.imdb.com/title/tt2034139/?ref_=fn_tt_tt_1,68,PG-13,2013,541,4.0,0
Richard Linklater,548,0,127,25359200,Drama,Boyhood ,673,Libby Villari,0,12 year time span|coming of age|domestic abuse|growing up|separated parents,http://www.imdb.com/title/tt1065073/?ref_=fn_tt_tt_1,836,R,2014,193,8.0,92000
Woody Allen,177,11000,405,10515579,Comedy|Crime|Mystery,Scoop ,20132,Geoff Bell,0,english garden|fake drowning|fake parent|musical instrument|poker the card game,http://www.imdb.com/title/tt0457513/?ref_=fn_tt_tt_1,248,PG-13,2006,427,6.7,0
Tim Burton,230,13000,567,180011740,Action|Adventure|Sci-Fi|Thriller,Planet of the Apes ,2776,Erick Avari,0,astronaut|cage|planet|wilhelm scream|year 2029,http://www.imdb.com/title/tt0133152/?ref_=fn_tt_tt_1,1368,PG-13,2001,658,5.7,0
DJ Pooh,27,69,69,10097096,Comedy,The Wash ,955,DJ Pooh,2,african american stereotype|car wash|rent|roommate|threatening telephone call,http://www.imdb.com/title/tt0290332/?ref_=fn_tt_tt_1,38,R,2001,231,4.6,842
DJ Pooh,22,69,585,9821335,Comedy,3 Strikes ,3354,Faizon Love,1,adult diaper|diaper|digit in title|dream|sawed off shotgun,http://www.imdb.com/title/tt0199290/?ref_=fn_tt_tt_1,10,R,2000,706,4.0,118
Wayne Kramer,157,47,407,8243880,Crime|Drama|Fantasy|Romance,The Cooler ,3086,Shawn Hatosy,1,female pubic hair|girl in panties|leg spreading|public nudity|sex in bed,http://www.imdb.com/title/tt0318374/?ref_=fn_tt_tt_1,215,R,2003,636,7.0,762
John Huston,70,1000,268,,Drama|Romance|Western,The Misfits ,1652,Thelma Ritter,2,cowboy|divorce|horse|sexy|wild horse,http://www.imdb.com/title/tt0055184/?ref_=fn_tt_tt_1,121,Approved,1961,403,7.4,0
Patrick Stettner,125,5,710,7825820,Crime|Mystery|Thriller,The Night Listener ,50831,Rory Culkin,0,boy|radio show|social worker|telephone|wisconsin,http://www.imdb.com/title/tt0448075/?ref_=fn_tt_tt_1,156,R,2006,780,5.9,576
James Melkonian,10,7,27,7557877,Comedy|Crime,The Jerky Boys ,1002,Peter Appel,0,critically bashed|mafia|police|telephone|unemployment,http://www.imdb.com/title/tt0110189/?ref_=fn_tt_tt_1,37,R,1995,246,4.6,138
Wes Craven,160,0,255,14637490,Horror|Mystery|Thriller,My Soul to Take ,2537,Zena Grey,2,evil|killer|murder|psychopath|serial killer,http://www.imdb.com/title/tt0872230/?ref_=fn_tt_tt_1,136,R,2010,374,4.8,0
J.A. Bayona,300,171,143,7159147,Drama|Mystery|Thriller,The Orphanage ,954,Fernando Cayo,0,dead children|ghost|missing child|orphan|orphanage,http://www.imdb.com/title/tt0464141/?ref_=fn_tt_tt_1,308,R,2007,273,7.5,11000
Michael Tiddes,69,89,511,17314483,Comedy|Fantasy,A Haunted House 2 ,4073,Gabriel Iglesias,2,bare breasts|parody|sexual innuendo|slip and fall|squirting orgasm,http://www.imdb.com/title/tt2828996/?ref_=fn_tt_tt_1,48,R,2014,713,4.7,0
Roger Avary,143,675,968,6525762,Comedy|Drama|Romance,The Rules of Attraction ,19928,Clifton Collins Jr.,2,bisexual|college|drug dealer|drugs|student,http://www.imdb.com/title/tt0292644/?ref_=fn_tt_tt_1,425,R,2002,977,6.7,0
Alfred Hitchcock,50,13000,148,,Drama|Thriller,Topaz ,753,Philippe Noiret,0,1960s|agent|cuba|intelligence|spy,http://www.imdb.com/title/tt0065112/?ref_=fn_tt_tt_1,89,M,1969,187,6.3,414
Bob Odenkirk,46,0,242,4613815,Comedy|Crime,Let's Go to Prison ,1566,Amy Hill,0,illinois|judge|male full back nudity|revenge|wine tasting,http://www.imdb.com/title/tt0454987/?ref_=fn_tt_tt_1,58,R,2006,466,6.0,931
Allison Anders,51,99,960,4301331,Comedy|Fantasy,Four Rooms ,7921,Lili Taylor,6,bellhop|coven|gangster|hotel|new year's eve,http://www.imdb.com/title/tt0113101/?ref_=fn_tt_tt_1,177,R,1995,975,6.7,0
Steven Shainberg,163,30,296,4046737,Comedy|Drama|Romance,Secretary ,2251,Lesley Ann Warren,1,bdsm|employer employee relationship|hospital|mental hospital|secretary,http://www.imdb.com/title/tt0274812/?ref_=fn_tt_tt_1,390,R,2002,413,7.1,15000
Rick de Oliveira,52,2,0,3713002,Documentary,The Real Cancun ,972,Benjamin Fletcher,1,cancun mexico|mexico|spring break|vacation|wisconsin,http://www.imdb.com/title/tt0360916/?ref_=fn_tt_tt_1,62,R,2003,12,2.7,131
Oliver Stone,40,0,237,3468572,Drama,Talk Radio ,1966,Bill Johnson,0,listener|neo nazi|radio|radio station|radio talk show,http://www.imdb.com/title/tt0096219/?ref_=fn_tt_tt_1,78,R,1988,246,7.3,816
Christopher Guest,50,378,611,2892582,Comedy,Waiting for Guffman ,3559,Larry Miller,0,amateur theater|dentist|missouri|small town|travel agent,http://www.imdb.com/title/tt0118111/?ref_=fn_tt_tt_1,202,R,1996,729,7.6,0
Jeff Franklin,45,24,545,2800000,Comedy,Love Stinks ,2662,Bridgette Wilson-Sampras,3,black comedy|marriage|marriage proposal|not taking no for an answer|obsessive woman,http://www.imdb.com/title/tt0188863/?ref_=fn_tt_tt_1,85,R,1999,625,5.8,309
John Dahl,121,131,90,2426851,Comedy|Crime|Romance|Thriller,You Kill Me ,776,Jayne Eastwood,1,alcoholic|buffalo new york|claim in title|embalming|mortuary,http://www.imdb.com/title/tt0796375/?ref_=fn_tt_tt_1,76,R,2007,113,6.5,830
Mike Mills,114,101,71,1325073,Comedy|Drama,Thumbsucker ,1208,Nancy O'Dell,0,attention deficit disorder|debate|drugs|psychologist|school,http://www.imdb.com/title/tt0318761/?ref_=fn_tt_tt_1,91,R,2005,394,6.6,708
Kevin Smith,270,0,939,,Action|Crime|Horror|Thriller,Red State ,4777,Stephen Root,0,atf agent|ball gag|cult leader|pastor|pretending to be dead,http://www.imdb.com/title/tt0873886/?ref_=fn_tt_tt_1,287,R,2011,947,6.2,16000
Dave McKean,116,21,161,864959,Adventure|Fantasy,Mirrormask ,1215,Rob Brydon,0,circus|dark fantasy|dream|dream world|fantasy world,http://www.imdb.com/title/tt0366780/?ref_=fn_tt_tt_1,151,PG,2005,291,6.9,0
Ron Fricke,115,330,0,2601847,Documentary|Music,Samsara ,48,Puti Sri Candra Dewi,0,hall of mirrors|mont saint michel france|palace of versailles|turkey the country|yellowstone national park,http://www.imdb.com/title/tt0770802/?ref_=fn_tt_tt_1,69,PG-13,2011,0,8.5,26000
Ruggero Deodato,15,101,324,800000,Adventure|Fantasy,The Barbarians ,1700,Richard Lynch,0,bare breasts|comic relief|dragon|gladiator|harem,http://www.imdb.com/title/tt0092615/?ref_=fn_tt_tt_1,35,R,1987,576,4.8,550
Gavin Wiesen,122,19,322,1429260,Drama|Romance,The Art of Getting By ,2353,Rita Wilson,1,art teacher|artist|high school|homework|principal,http://www.imdb.com/title/tt1645080/?ref_=fn_tt_tt_1,71,PG-13,2011,685,6.6,0
Mora Stephens,35,5,842,,Drama|Thriller,Zipper ,3408,Elena Satine,0,escort|f word|no opening credits|one word title|prosecutor,http://www.imdb.com/title/tt3346224/?ref_=fn_tt_tt_1,20,R,2015,1000,5.7,987
Mars Callahan,41,60,444,562059,Drama|Thriller,Poolhall Junkies ,3130,Ernie Reyes Jr.,4,beating|hustler|jail|money|revenge,http://www.imdb.com/title/tt0273982/?ref_=fn_tt_tt_1,113,R,2002,665,7.0,872
Mike Figgis,31,81,687,399793,Drama,The Loss of Sexual Innocence ,4343,Julian Sands,0,1950s|italian|murder|tunisia|vomiting,http://www.imdb.com/title/tt0126859/?ref_=fn_tt_tt_1,70,R,1999,811,5.4,111
Leos Carax,332,227,226,,Drama|Fantasy,Holy Motors ,1298,Denis Lavant,0,boudoir|death|insanity|male full frontal nudity|penis,http://www.imdb.com/title/tt2076220/?ref_=fn_tt_tt_1,110,Not Rated,2012,227,7.1,12000
David Gordon Green,232,234,221,371897,Drama,Joe ,13607,Ronnie Gene Blevins,2,alcoholic|cigarette smoking|father son relationship|teenage boy|woods,http://www.imdb.com/title/tt2382396/?ref_=fn_tt_tt_1,118,R,2013,1000,6.9,11000
Stefan Schwartz,43,13,159,302204,Comedy|Crime|Romance,Shooting Fish ,975,Ralph Ineson,3,con artist|money|orphan|scam|secretary,http://www.imdb.com/title/tt0120122/?ref_=fn_tt_tt_1,53,PG,1997,254,6.6,167
Renny Harlin,68,212,195,354704,Crime|Drama|Horror|Thriller,Prison ,11083,Hal Landon Jr.,0,electric chair|haunting|prison|prisoner|revenge,http://www.imdb.com/title/tt0095904/?ref_=fn_tt_tt_1,38,R,1987,633,5.9,314
Robert Lee King,51,0,209,265107,Comedy|Horror|Mystery,Psycho Beach Party ,2282,Beth Broderick,1,cliche|exchange student|slasher|spoof|surfing,http://www.imdb.com/title/tt0206226/?ref_=fn_tt_tt_1,93,Unrated,2000,774,6.3,614
Kevin Allen,33,8,428,185577,Comedy,The Big Tease ,2805,Mary McCormack,1,competition|fake documentary|hairdresser|nudity|reference to liberace,http://www.imdb.com/title/tt0156639/?ref_=fn_tt_tt_1,31,R,1999,638,6.3,182
Jorge Ramírez Suárez,26,45,69,100412,Drama,Buen Día, Ramón ,824,Arcelia Ramírez,0,,http://www.imdb.com/title/tt2876428/?ref_=fn_tt_tt_1,7,PG-13,2013,85,7.7,0
David Schwimmer,109,0,67,58214,Crime|Drama|Thriller,Trust ,916,Zoe Levin,0,counselor|fbi|revenge motive|school|teenage girl,http://www.imdb.com/title/tt1529572/?ref_=fn_tt_tt_1,137,R,2010,163,7.0,10000
Barry Levinson,34,272,70,75078,Comedy,An Everlasting Piece ,1403,Pauline McLynn,4,alopecia|belfast northern ireland|ireland|irish republican army|scalper,http://www.imdb.com/title/tt0218182/?ref_=fn_tt_tt_1,26,R,2000,450,6.3,132
Sam Miller,31,12,15,64359,Comedy|Romance,Among Giants ,643,Rob Jarvis,1,australian|female armpit hair|friend|sheffield|yorkshire,http://www.imdb.com/title/tt0122906/?ref_=fn_tt_tt_1,26,R,1998,29,5.9,108
Anne Fontaine,141,105,748,317125,Drama|Romance,Adore ,25269,Ben Mendelsohn,0,beach|friend|friendship|happiness|neighbor,http://www.imdb.com/title/tt2103267/?ref_=fn_tt_tt_1,87,R,2013,6000,6.2,0
