num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,actor_3_name,num_user_for_reviews,title_year,aspect_ratio
105,6,0,Zubaida Sahar,1127331,Drama,Marina Golbahari,Mohamad Haref Harati,77,2003,1.85
29,0,59,Peter Riegert,906666,Documentary,Rachel Dratch,Jason Kravits,5,2011,16.0
46,7,17,Ari Gold,1114943,Drama|Music,Rachel True,Denny Kirkwood,74,2000,1.85
3,0,17,Big Budah,1111615,Comedy|Crime|Family,Kirby Heyborne,Curt Doussett,34,2003,
54,35,482,William Katt,985341,Drama,Sasha Alexander,Jon Gries,87,1999,1.85
126,9,595,Scott Mechlowicz,603943,Crime|Drama,Rory Culkin,Trevor Morgan,154,2004,1.85
17,204,474,Heather Matarazzo,334041,Crime|Drama|Romance,Edie Falco,Lynn Cohen,21,1997,1.85
25,71,658,Bill Duke,295468,Comedy|Romance,Peter Dinklage,Michael McKean,34,2001,1.85
11,21,469,LisaRaye McCoy,243347,Crime|Drama|Thriller,Monica Calhoun,Clifton Powell,24,2002,1.85
81,12000,213,Seymour Cassel,154077,Comedy|Drama,Kevin Corrigan,Mary Kay Place,53,2005,1.85
155,217,243,Anna Kendrick,342936,Comedy|Drama|Romance,Olivia Wilde,Ti West,106,2013,2.35
39,0,49,Ricky Jay,151389,Documentary,David Mamet,Dick Cavett,7,2012,
153,0,4,Minoru Chiaki,269061,Action|Adventure|Drama,Takashi Shimura,Kamatari Fujiwara,596,1954,1.37
26,6,8,Greg Speirs,133778,Documentary|Sport,Tommy Sheppard,Mickey Hart,9,2012,
10,32,329,Tina Louise,,Comedy|Music|Romance,Brad Pitt,Nick Cave,24,1991,1.85
35,681,143,Jake Sandvig,52850,Comedy,Monique Gabriela Curnen,Joe McQueen,12,2007,1.85
230,248,196,Jack Plotnick,98017,Comedy|Fantasy|Horror,Haley Ramm,Cecelia Antoinette,170,2010,1.85
165,12,183,Matt Jones,177343675,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Jim Parsons,April Winchell,214,2015,1.85
9,6,325,Amber Benson,31937,Comedy|Romance,Tori Spelling,Garrett M. Brown,10,2007,1.85
17,12,699,Clea DuVall,13134,Drama|Sport,Ryan Gosling,Eddie Spears,32,2002,2.35
344,380,113,Whitney Able,237301,Drama|Sci-Fi|Thriller,Scoot McNairy,Ricky Catter,451,2010,2.35
2,0,347,Joanne Whalley,,Drama,Keith Carradine,Illeana Douglas,11,2005,1.85
28,0,170,Ann Dowd,12055,Comedy,Jim Gaffigan,Matthew Cowles,10,2007,
29,38,445,Christa B. Allen,1332,Comedy|Horror,Justin Chon,Max Adler,20,2012,2.35
11,0,0,Zheng Xu,,Comedy|Crime,Bo Huang,Zhonghua Chen,9,2006,2.35
48,3,25,Jacques Brel,,Biography|Documentary|Music,Brian Eno,Damon Albarn,11,2006,1.85
24,395,637,Alan Ruck,,Drama,Radha Mitchell,Megan Mullally,10,2000,1.85
166,487,118,Zoë Kravitz,316842,Drama|Thriller,Bruce Greenwood,Stafford Douglas,68,2014,2.35
,2,0,Rai Alexandra,,Thriller,Daston Kalili,Chin-Chien Chang,3,2005,1.33
9,3,205,Bruce Vilanch,,Documentary,Carol Channing,Tony Bennett,3,2014,1.33
48,21,680,Olivia Williams,,Drama|Romance,Jeremy Irvine,Paddy Considine,54,2012,2.35
64,32,238,John McGlothlin,,Comedy|Horror,Vincent Chimato,Al Sapienza,28,2012,2.35
,0,569,Dylan Baker,,History,Emma Caulfield,Mike Colter,,2015,
1,406,152,Tim Abell,,Action|Mystery|Thriller,Mike Beckingham,Tom Stedham,16,2015,
111,33,135,Katherine Boecher,37188667,Comedy|Drama,Britney Spears,Dave Allen,578,2002,1.85
26,0,120,Katherine Waterston,,Mystery|Thriller,Shaun Sipos,Christopher Denham,45,2011,
1,0,15,Christian Alvarez,,Crime|Drama,Manny Perez,Claudette Lalí,1,2012,16.0
3,0,212,Randy Jay Burrell,,Action|Romance|Sport,Jennifer Hale,Vincent De Paul,2,2016,
10,163,303,Barry Bostwick,,Horror|Musical,Paul Sorvino,Terrance Zdunich,20,2016,1.78
1,0,33,Jennifer Landa,,Comedy|Mystery|Thriller,Mary Kate Wiles,Felix Avitia,1,2014,
1,431,317,Joel Paul Reisig,,Family,Carrie Bradstreet,Yassie Hawkes,4,2016,
10,0,0,Sarah Callan,21199,Action|Biography|Documentary|Sport,Elizabeth Streb,Laura Flanders,10,2014,
1,0,53,Jeff Delaney,,Family,Mike Stanley,Jamison Stalsworth,1,2016,16.0
525,0,11000,Mila Kunis,234903076,Adventure|Family|Fantasy,Tim Holmes,James Franco,511,2013,2.35
96,6,10,Mark Torgl,,Action|Comedy|Horror|Sci-Fi,Patrick Kilpatrick,Pat Ryan,147,1984,1.85
8,10,10,George T. Odom,2712293,Crime|Drama,Lawrence Gilliard Jr.,Matty Rich,11,1991,1.85
92,521,80,Nicholas Farrell,768045,Drama|History|War,James Nesbitt,Tim Pigott-Smith,120,2002,1.85
1,5,237,Dennis L.A. White,,Action,Luis Sanchez,Fredro Starr,5,2015,
365,3,446,Thomas Lennon,379122,Comedy|Drama|Romance,Olivia Wilde,Nora Zehetner,54,2005,2.39
88,365,49,Lloyd Kaufman,23000,Comedy|Horror|Musical,John Karyus,Kate Graham,58,2006,1.85
3,0,304,Cheyenne Jackson,,Comedy|Romance,Jennifer Lafleur,Michael Stahl-David,3,2013,
65,24,45,Dick Powell,2300000,Comedy|Musical|Romance,Ginger Rogers,George Brent,97,1933,1.37
,0,0,Jack Canfield,,Documentary,Bob Proctor,Eric Worre,10,2014,
71,89,3,Taylor Nichols,2938208,Comedy|Drama|Romance,Chris Eigeman,Ellia Thompson,52,1990,1.66
34,10,19,Frida Hallgren,9910,Comedy|Drama|Music|Romance,Michael Nyqvist,Nils-Anders Vallgårda,94,2004,1.85
15,15,93,Ace Marrero,,Drama|Horror|Mystery|Thriller,Jack E. Curenton,Alan Pietruszewski,6,2013,16.0
220,100,482,Diedrich Bader,44540956,Comedy,Jon Heder,Jon Gries,1473,2004,1.85
279,57,92,Eve Plumb,258113,Crime|Drama|Thriller,Devin Ratray,Amy Hargreaves,135,2013,2.35
409,110,21,Ashley Palmer,107917283,Horror,Micah Sloat,Amber Armstrong,1189,2007,1.85
86,147,5,Jay Adams,1293295,Documentary|Sport,Tony Alva,Jeff Ament,88,2001,1.37
131,0,332,Michael Palin,1229197,Adventure|Comedy|Fantasy,Eric Idle,Terry Jones,660,1975,1.66
69,25,138,Jesse Garcia,1689999,Drama,Emily Rios,Alicia Sixtos,48,2006,2.35
8,14,6,Sue Corcoran,11798,Comedy|Fantasy|Horror|Musical,Tony Doupe,David Frederick White,18,2003,1.78
75,,833,Masi Oka,,Drama|Fantasy|Sci-Fi|Thriller,Sendhil Ramamurthy,Greg Grunberg,379,,16.0
72,20,0,Jonathan Caouette,592014,Biography|Documentary,Greg Ayres,Renee Leblanc,114,2003,1.37
4,4,12,Chris Cox,425899,Documentary,Bill Farmer,Mike Huckabee,31,2010,1.78
9,0,271,Paul Elia,,Comedy|Horror,Kane Hodder,Alex Sanborn,5,2014,
203,385,22,David Warbeck,126387,Horror,Catriona MacColl,Al Cliver,253,1981,2.35
11,,6,Ron Lynch,,Animation|Comedy|Drama,Brendon Small,Melissa Bardin Galsky,82,,1.33
148,12,149,Andrew Daly,80276912,Comedy|Romance,Treat Williams,Michelle Krusiec,151,2008,2.35
80,3,39,Jeff Seymour,,Horror|Thriller,Dov Tiefenbach,Gordon Currie,52,2005,1.85
46,350,33,Roshan Seth,,Comedy|Drama|Romance,Saeed Jaffrey,Garry Cooper,64,1985,1.66
8,0,36,Adam LeFevre,25918,Drama|Horror|Mystery|Thriller,R. Brandon Johnson,Desmond Askew,10,2002,1.78
10,0,83,Michelle Nolden,,Drama|Thriller,Katharine Isabelle,Gabriel Hogan,5,2004,1.78
76,0,92,Ingrid Thulin,,Drama,Liv Ullmann,Erland Josephson,197,1972,1.66
69,204,9,Mae Marsh,,Drama|History|War,Lillian Gish,Walter Long,88,1916,1.33
43,3,513,DeForest Kelley,617172,Documentary,Walter Koenig,James Doohan,75,1997,
36,4,4,Bessie Love,2808000,Musical|Romance,Anita Page,Charles King,71,1929,1.37
304,0,58,Betsy Baker,,Fantasy|Horror,Ted Raimi,Ellen Sandweiss,740,1981,1.37
279,33,118,Nora Arnezeder,12843,Horror|Thriller,America Olivo,Liane Balaban,131,2012,2.35
23,0,,,34151,Documentary|History,Amos Oz,,3,2015,1.78
110,30,0,Joe Bishop,1523883,Documentary|Sport,Mark Zupan,Andy Cohn,70,2005,1.85
40,44,93,Steve James,4000000,Action|Drama,Michael Dudikoff,Larry Poindexter,46,1987,1.85
45,0,0,Ellen Block,84689,Documentary,Carol Block,Mike Block,16,2005,
23,,576,Tracy Spiridakos,,Action|Adventure|Drama|Sci-Fi,Billy Burke,David Lyons,323,,16.0
4,0,0,Natalie Welch,,Family|Sci-Fi,Tom E. Nicholson,Christian Kapper,8,2015,2.35
318,0,598,Donald Pleasence,47000000,Horror|Thriller,Jamie Lee Curtis,P.J. Soles,1191,1978,2.35
177,0,253,Lee J. Cobb,,Crime|Drama,Jack Warden,John Fiedler,888,1957,1.66
51,3,258,Peter Gerety,246574,Animation|Drama,Isabella Rossellini,Lynn Redgrave,15,2009,1.85
124,964,21,Alan Hale,,Comedy|Romance,Claudette Colbert,Walter Connolly,235,1934,1.37
211,252,14,Mary Tsoni,110197,Drama|Thriller,Angeliki Papoulia,Sissy Petropoulou,170,2009,2.35
26,2,321,Gary Coleman,7707563,Biography|Documentary|Music,James Cagney,Todd Bridges,32,2003,1.85
64,149,276,Janet McTeer,1281176,Comedy|Drama,Kimberly J. Brown,Lois Smith,73,1999,1.85
56,10,912,Adam Goldberg,16115878,Action|Fantasy|Horror|Mystery|Thriller,Viggo Mortensen,Virginia Madsen,194,1995,2.35
29,82,8,Zinedine Soualem,1652472,Comedy|Romance,Simon Abkarian,Jane Bradbury,25,1996,1.66
131,54,543,Adrian Martinez,2360184,Comedy|Drama,Oliver Platt,Derek Luke,177,2003,1.85
4,7,2,Mark Caven,,Drama,Kevin Howarth,Thierry Harcourt,7,1998,1.33
88,129,26,Lucy,255352,Drama,Daniel London,Will Oldham,57,2006,1.66
189,129,26,Lucy,856942,Drama,John Robinson,Will Oldham,112,2008,1.85
20,5,301,Edie Falco,,Drama,Embeth Davidtz,Kathryn Erbe,23,2010,
96,0,0,Anna Karina,,Crime|Drama|Romance,Jean-Paul Belmondo,Graziella Galvani,74,1965,2.35
27,0,,Beatrice Ntuba,32631,Documentary,Vera Ngassa,,8,2005,
15,95,,,16892,Documentary,,,12,2001,1.85
24,0,87,Gloria Foster,12438,Drama|Romance,Yaphet Kotto,Ivan Dixon,26,1964,
16,37,104,Eli Marienthal,40542,Drama|Romance,Robert John Burke,Natasha Gregson Wagner,16,1997,
13,3,25,Eddie Jones,5199,Drama|Sport,Don Wallace,Christina Chambers,23,2004,2.35
8,0,32,Alexander Wraith,,Action|Thriller,Lalaine,Darren Kendrick,18,2009,
156,278,107,T.V. Carpio,24343673,Drama|Fantasy|Musical|Romance,Jim Sturgess,Robert Clohessy,524,2007,2.35
4,44,221,Elizabeth Stenholt,1711,Drama|Music,Trish Basinger,Mary Norwood,1,2015,
164,43,668,David Carradine,,Action|Comedy|Sci-Fi|Sport,Sylvester Stallone,Martin Kove,147,1975,1.85
10,0,309,Ricky Schroder,2468,Thriller,Tatyana Ali,Jon Polito,5,2014,1.85
1,0,87,Wilhelm von Homburg,,Horror,Michael Des Barres,Thom Mathews,4,1990,
8,3,248,Joanna Cassidy,,Comedy|Drama|Romance,Taran Killam,Ryan Carnes,7,2010,
9,77,0,Pierre Prieur,,Drama|Musical|Romance,Rumi Missabu,Raquel Nave,1,2015,1.78
78,5,180,Carmen Argenziano,,Horror|Mystery,Linnea Quigley,Vanna White,58,1981,1.85
131,19,313,Barry Bostwick,,Comedy|Crime|Drama|Horror|Mystery|Thriller,Kevin Corrigan,Ahmed Best,58,2011,1.85
286,25,235,Matt Servitto,318622,Biography|Crime|Drama|Thriller,Dreama Walker,James McCaffrey,175,2012,2.35
147,0,781,Ethan Suplee,12006514,Comedy|Drama|Romance,Matt Damon,Joey Lauren Adams,500,1997,1.85
71,132,225,Brenda Blethyn,4186931,Comedy|Drama|Romance,Aunjanue Ellis,Raven Goodwin,85,2001,1.85
,2,99,Robert Miano,,Action|Adventure|Mystery|Romance|Thriller,Hector Echavarria,Ron Roggé,,2010,1.85
51,681,13,Jason Tobin,3799339,Crime|Drama|Romance,Parry Shen,Collin Kahey,138,2002,1.85
23,4,10,Laurel Holloman,1977544,Comedy|Drama|Romance,Nicole Ari Parker,Stephanie Berry,36,1995,1.85
59,44,129,Mike White,1050600,Comedy|Drama,Lupe Ontiveros,Chris Weitz,136,2000,1.85
9,0,51,Rizwan Manji,902835,Comedy|Drama|Romance,Purva Bedi,Anil Kumar,40,2001,1.85
,0,185,Nicholas Simmons,,Action|Crime|Drama,Keri Maletto,Barbie Castro,,2014,
99,165,319,Julian Richings,489220,Mystery|Sci-Fi|Thriller,David Hewlett,Nicole de Boer,696,1997,1.85
21,0,62,Frances O'Connor,212285,Comedy|Romance,Radha Mitchell,Matt Day,21,1996,
19,45,0,Bill Martone,203134,Animation|Comedy|Drama|Fantasy|Sci-Fi,Charis Michelsen,Richard Spore,21,1997,1.85
43,7,142,Anne Archer,191309,Drama|Mystery|Thriller,Amir Talai,Nora Dunn,64,2004,1.85
206,52,224,Charlie Bewley,3388210,Drama|Romance,Jennifer Lawrence,Finola Hughes,150,2011,1.78
,0,270,Steffinnie Phrommany,,Horror,Marshal Hilton,Clint Jung,2,2015,16.0
29,99,181,Rosanna Arquette,177840,Comedy|Music,Ally Sheedy,John Doe,22,1999,
27,269,7,Clint Jordan,47111,Comedy|Drama,Samantha Futerman,Jackie Nova,11,2005,1.85
162,261,461,Gus Van Sant,49494,Drama|Thriller,Nolan Gerard Funk,James Deen,87,2013,2.35
11,,250,James Norton,,Crime|Drama,Shirley Henderson,Sarah Lancashire,59,,16.0
26,5,41,Flaco Navaja,,Drama,Judy Marte,Dominic Colón,15,2004,
85,337,22,Natalie Canerday,45661,Drama|Thriller,Michael Abbott Jr.,Travis Smith,32,2007,2.35
77,17,289,Luke Mably,,Mystery|Thriller,Colin Salmon,Pollyanna McIntosh,120,2009,2.35
8,0,5,Samantha Buck,18195,Sci-Fi,James Urbaniak,Terumi Matthews,7,1997,1.85
5,7,73,Mark Hengst,,Drama|Musical,Dustin Fitzsimons,Debra Lynn Hull,18,2008,1.85
3,1000,3,Lorne Cardinal,,Drama,Corbin Bernsen,Kirsten Collins,8,2010,1.78
66,63,76,Marty Lindsey,,Action|Drama|Fantasy|Sci-Fi,Eme Ikwuakor,Jessica Duffy,215,2009,1.78
4,3,104,Derek Brandon,,Drama|Family,Florence Henderson,Charles Irving Beale,10,2010,
,2,152,Kate Flannery,,Comedy|Short,Victoria Jackson,Tim Bagley,,2007,
15,32,180,June Lockhart,,Crime|Drama,Stacy Keach,Stuart Whitman,18,1982,1.85
1,0,0,Steve Duin,,Documentary,Sam Adams,Jeff Jacob,1,2013,
12,7,89,Brit Morgan,,Horror|Thriller,Noah Segan,Sedona James,28,2012,
,45,224,Campbell Scott,,Fantasy|Romance,Jennifer Jason Leigh,Estelle Parsons,56,1998,1.33
1,431,3,Dana Blackstone,,Family,Joshua Ray Bell,Annelyse Ahmad,1,2014,
6,30,670,Robert Davi,,Documentary,Esai Morales,Elaine Hendrix,2,2014,
48,54,6,Renée Adorée,,Drama|Romance|War,John Gilbert,Claire Adams,45,1925,1.33
2,12,29,Jacob Zachar,,Comedy,Sid Haig,Travis Betz,1,2006,
17,0,142,Brock Baker,,Comedy|Music|Romance,Matthew Emerick,Sheldon Bailey,2,2013,1.85
225,0,146,James Lance,104792,Action|Biography|Crime|Drama,Tom Hardy,Matt King,145,2008,1.85
5,7,494,Vivian Lamolli,,Adventure|Drama|Fantasy|Thriller|Western,Mark Fantasia,Greg Jackson,4,2015,
22,15,0,Donald Austin,111300,Documentary,Brendan Doogie Milewski,Craig Dougherty,6,2012,2.35
38,0,131,Josh Hamilton,1027119,Drama,Dan Futterman,Matt Keeslar,73,2000,1.85
21,0,0,Nancy Ison,,Comedy|Drama,Christina Hart,William Condos,5,1969,1.37
67,7,21,Cecil Kellaway,5000000,Adventure|Horror|Sci-Fi,Kenneth Tobey,Ross Elliott,88,1953,1.37
69,130,51,Robert J. Wilke,,Adventure|Drama|Family|Fantasy|Sci-Fi,James Mason,Paul Lukas,108,1954,1.37
208,750,28,Steve Bisley,,Action|Adventure|Sci-Fi|Thriller,Hugh Keays-Byrne,Joanne Samuel,303,1979,2.35
77,218,31,Alex Désert,4505922,Comedy|Drama,Jon Favreau,Blake Lindsley,252,1996,1.85
122,0,93,Gian Maria Volontè,3500000,Action|Drama|Western,Clint Eastwood,Aldo Sambrell,235,1964,2.35
35,16,28,Gilbert Roland,,Comedy|Drama|History|Musical|Romance,Mae West,Louise Beavers,59,1933,1.37
15,0,0,Jasper Johal,381225,Documentary,The Dalai Lama,Swami Krishnanad,13,2004,1.78
25,0,16,Chris Thomas,2428241,Drama,Michael Joiner,Michael Higgenbottom,26,2010,
37,151,305,David Oyelowo,78030,Drama,Omari Hardwick,Lorraine Toussaint,10,2012,2.35
76,670,9,Sebastian Schipper,59774,Comedy|Drama|Romance,Devid Striesow,Sophie Rois,18,2010,2.35
12,18,61,Leo Rossi,174682,Drama|Music,William Joseph Elk III,Cynthia Geary,14,2002,
7,0,15,Natasha Bedingfield,215185,Documentary|History|Music,Matisyahu,Madeleine Albright,2,2008,
450,0,273,David Costabile,32154410,Crime|Drama|Thriller,Channing Tatum,Katie Lowes,274,2013,1.85
60,25,10,Stevan Mena,,Crime|Horror|Mystery|Thriller,R. Brandon Johnson,Richard Glover,112,2003,1.33
4,89,45,Adam Rifkin,,Comedy|Drama,Marri Savinar,Bethany Blakey,1,2015,
42,2,156,Ryan Kennedy,,Horror|Sci-Fi|Thriller,Melanie Papalia,John Reardon,22,2010,2.35
93,157,98,Jennifer Lafleur,140016,Comedy|Drama|Horror|Romance,Greta Gerwig,Elise Muller,40,2008,1.85
1,0,15,Victoria Lachelle,,Comedy|Horror|Mystery|Thriller,Susan Chambers,Ali Daniels,1,2014,
16,121,0,Bertrand Cantat,,Documentary,Marina Vlady,Léon Schwartzenberg,4,2004,1.37
54,147,0,Sylvia Eckhausen,,Drama|Fantasy,Hanne Aagesen,Ejner Federspiel,49,1955,1.37
38,123,782,Martin Starr,15542,Comedy|Drama|Romance,Bryce Dallas Howard,Jason Ritter,51,2008,1.85
66,29,131,John Billingsley,,Drama|Romance|Sci-Fi,William Katt,David Lee Smith,638,2007,1.78
11,15,0,Evelyn Jefferson,1111,Crime|Documentary,Darryl Hunt,John Reeves,10,2006,1.66
6,20,32,Jordan Bridges,,Drama|Family,Mia Farrow,Bruce Gooch,32,2004,1.33
25,0,31,Chase Masterson,,Drama|Music|Mystery|Romance|Sci-Fi,John Newton,H.M. Wynant,10,2008,1.78
13,0,27,Robert Turano,,Comedy|Drama|Music,Elaine Bromka,Matthew Gumley,1,2012,
18,0,75,Robin Bartlett,,Drama|Sci-Fi|Thriller,Paul Hickert,Rebecca Dayan,1,2014,
3,0,178,Alex Emanuel,,Drama,Sally Kirkland,Elaine Bromka,3,2012,1.78
46,373,27,Amir Farrokh Hashemian,925402,Drama|Family,Bahare Seddiqi,Mohammad Amir Naji,130,1997,1.85
143,131,67,Chris New,469947,Drama|Romance,Tom Cullen,Vauxhall Jermaine,68,2011,1.85
26,0,46,Joie Lee,7137502,Comedy|Romance,S. Epatha Merkerson,Tracy Camilla Johns,26,1986,1.85
,0,0,Stacie Evans,,Documentary,Abigail Evans,Emily Gorell,1,2014,
5,0,0,Ana Maria Guran,,Drama,Iulia Ciochina,Ana Vatamanu,1,2015,
242,135,259,William Mapother,1316074,Drama|Romance|Sci-Fi,Robin Lord Taylor,Flint Beverage,228,2011,1.85
48,14,826,Ellen Burstyn,,Thriller,Topher Grace,Christopher Heyerdahl,28,2014,
38,101,101,Mario Van Peebles,15180000,Crime|Drama|Thriller,John Amos,Melvin Van Peebles,50,1971,1.37
,0,26,Joe Lev,,Drama,Charla Cochran,Sienna Beckman,,2014,
91,56,184,Aaron Stanford,2882062,Comedy|Drama|Romance,Bebe Neuwirth,Ron Rifkin,101,2000,1.85
232,109,18,Markéta Irglová,9437933,Drama|Music|Romance,Glen Hansard,Darren Healy,329,2007,1.85
18,14,3,Eugene Roche,110720,Comedy,Marilyn Rising,Max Kerstein,22,1999,
29,0,2,Rowan Isaacson,155984,Documentary,Temple Grandin,Simon Baron-Cohen,9,2009,1.85
44,6,115,Martin Compston,,Horror,Alan Brent,Kate Ashfield,27,2012,2.35
2,0,21,Bill Allen,,Action|Drama|Sport,Joel Moody,Lia Tucker,1,2015,
277,365,177,Edwin Neal,30859000,Horror|Thriller,Gunnar Hansen,Marilyn Burns,826,1974,1.85
43,36,27,Bill Melendez,,Animation|Comedy|Family,Peter Robbins,Christopher Shea,126,1965,1.33
5,0,0,Hugh Ducklow,4914,Adventure|Documentary,Naderev Sano,Mike Brett,2,2015,
16,4,232,Jesse Jane,,Documentary,Lisa Ann,Kayden Kross,9,2013,
18,0,0,Xinhua Jiang,5858,Documentary,Ariel Hsing,Michael Landers,2,2014,
40,909,42,Pat Boone,6706368,Documentary,Michael Moore,Bob Eubanks,133,1989,1.66
130,261,697,Ruby Dee,,Fantasy|Horror|Thriller,Ed Begley Jr.,John Heard,106,1982,1.85
3,0,163,Hassan Johnson,,Drama,J.D. Williams,Samantha Esteban,3,2014,
136,129,100,James Urbaniak,405614,Drama|Mystery|Sci-Fi|Thriller,Christopher Denham,Constance Wu,69,2011,1.85
,58,,,,Documentary|Family,,,,2013,
12,0,,,,Documentary|War,,,7,2005,1.66
171,100,9,Mike Birbiglia,1573712,Comedy|Drama,Mark Duplass,Mel Eslyn,62,2011,
,0,,Valentine,,Romance,Diane Sorrentino,,,2015,
8,686,405,David Hewlett,,Comedy,Christopher Judge,Paul McGillion,46,2007,1.78
8,686,405,David Hewlett,,Comedy,Christopher Judge,Paul McGillion,46,2007,1.78
284,0,56,Duane Jones,,Drama|Horror|Mystery,Judith O'Dea,S. William Hinzman,580,1968,1.85
36,0,5,Macha Méril,,Drama,Philippe Leroy,Rita Maiden,10,1964,1.37
21,664,400,Nate Parker,,Biography|Drama,Jason Stuart,Aunjanue Ellis,8,2016,2.35
1,7,69,Frank Gerrish,,Comedy,Richard Moll,Christopher Robin Miller,5,2003,
31,589,51,Erin Bethea,10174663,Drama|Sport,Alex Kendrick,Shannen Fields,382,2006,1.85
159,3,7,Cassidy Gifford,22757819,Horror|Thriller,Pfeifer Brown,Reese Mishler,150,2015,1.85
152,0,121,Jack Nance,,Fantasy|Horror|Sci-Fi,Hal Landon Jr.,Charlotte Stewart,535,1977,1.37
1,0,0,Johnnie Walker,3000000,Crime|Drama,Stephen Carr,Mary Carr,1,1920,1.33
21,467,287,Keenen Ivory Wayans,5228617,Comedy,Robert Townsend,Helen Martin,32,1987,1.85
57,23,545,Elden Henson,2643689,Comedy|Drama,Kieran Culkin,Gena Rowlands,113,1998,1.85
23,9,10,Chuck Mitchell,,Crime|Drama|Sport,Leon Isaac Kennedy,Wilbur 'Hi-Fi' White,10,1979,1.85
88,56,56,Brian Howe,110536,Comedy|Horror|Sci-Fi,Fay Masterson,Larry Blamire,118,2001,1.85
2,7,50,Gabriela Castillo,,Family,Kevin P. Farley,Brandon Middleton,4,2014,1.85
193,3,307,Ethan Embry,59379,Comedy|Crime|Drama|Horror|Thriller,Brighton Sharbino,Elissa Dowling,52,2013,2.35
50,0,0,Edmund McMillen,,Documentary,Jonathan Blow,Phil Fish,23,2012,16.0
61,3,140,Adam Rayner,,Thriller,Danny Dyer,Ralph Brown,44,2007,1.85
1,2,75,John Ireland,,Crime|Drama,Sheldon Leonard,Arthur O'Connell,9,1948,1.37
5,0,10,Hugh Mun,,Action|Drama|Sci-Fi|Thriller,Claire Gordon-Harper,Johnathan Hurley,1,2013,1.78
14,6,13,Trevor Howard,,Crime|Horror|Thriller,Liv Ullmann,Andrew Keir,19,1971,
5,0,0,Dottie Alexander,,Biography|Documentary|Music,Jon Brion,David Barnes,1,2014,1.78
241,29,616,Monica Potter,32721635,Crime|Horror|Thriller,Tony Goldwyn,Martha MacIsaac,279,2009,1.85
16,3,0,Seth Ackerman,,Documentary,Noam Chomsky,Arik Ascherman,13,2004,
138,0,194,Clint Mansell,3216970,Drama|Mystery|Thriller,Mark Margolis,Stanley B. Herman,586,1998,1.66
5,12,117,Meredith Scott Lynn,33598,Comedy|Romance,Jack McGee,Tim DeZarn,15,1997,
32,0,153,Tom Ardavany,536767,Biography|Comedy|Romance,Tia Carrere,Robert McKee,83,1998,1.85
18,7,3,Steve Diasparra,,Action|Sci-Fi|Thriller,Michelle Simone Miller,A.J. DeLucia,18,2015,
193,293,0,Amanda Kearsan,11529368,Comedy|Documentary|Drama,Chemeeka Walker,Amelia Giancarlo,404,2004,1.78
66,32,128,Sean Whalen,40557,Comedy,Clifton Collins Jr.,James DeBello,22,2011,2.35
65,217,442,Lena Dunham,30084,Comedy|Drama,Anna Kendrick,Mark Webber,23,2014,1.85
95,2,6,Jason Evers,,Horror|Sci-Fi,Virginia Leith,Bruce Kerr,152,1962,1.66
13,0,46,Vincent Duvall,,Drama,Ty Parker,Loanne Bishop,8,2014,1.78
15,8,272,Kevin Corrigan,,Comedy,Lena Dunham,Alex Karpovsky,4,2012,
125,59,9,Courtney Bell,,Drama|Horror|Mystery,Justin Gordon,Erin Cipolletti,136,2011,1.78
