num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,actor_3_name,facenumber_in_poster,movie_imdb_link,content_rating,movie_facebook_likes
134,395,313,Madeline Carroll,Action|Biography|Crime|Drama,Kathy Baker,1,http://www.imdb.com/title/tt1586752/?ref_=fn_tt_tt_1,R,21000
36,7,480,Vanessa Redgrave,Animation|Comedy|Family,James Corden,0,http://www.imdb.com/title/tt1620449/?ref_=fn_tt_tt_1,PG,885
46,55,11,Patrick Lyster,Biography|Drama|History,Tyrone Keogh,1,http://www.imdb.com/title/tt0438859/?ref_=fn_tt_tt_1,R,0
7,18,432,Thomas Kretschmann,Drama|History|Sport,Jemima West,4,http://www.imdb.com/title/tt2814362/?ref_=fn_tt_tt_1,Not Rated,0
132,61,520,Frank Langella,Biography|Drama|Romance,Derek Jacobi,3,http://www.imdb.com/title/tt2095649/?ref_=fn_tt_tt_1,,6000
5,0,21,Fedor Bondarchuk,Adventure|Animation|Fantasy,Sergey Garmash,1,http://www.imdb.com/title/tt4075322/?ref_=fn_tt_tt_1,,161
56,59,24,Dougray Scott,Crime|Drama|Mystery|Thriller,Chiara Caselli,0,http://www.imdb.com/title/tt0265651/?ref_=fn_tt_tt_1,R,447
65,5,365,Salma Hayek,Adventure|Animation|Comedy|Fantasy,Anders Holm,0,http://www.imdb.com/title/tt1700841/?ref_=fn_tt_tt_1,R,13000
221,0,751,Birgitte Hjort Sørensen,Comedy|Music,Hana Mae Lee,8,http://www.imdb.com/title/tt2848292/?ref_=fn_tt_tt_1,PG-13,40000
291,446,154,Dallas Roberts,Biography|Drama|Music|Romance,Tyler Hilton,0,http://www.imdb.com/title/tt0358273/?ref_=fn_tt_tt_1,PG-13,11000
13,,442,Kirk Acevedo,Adventure|Drama|Mystery|Sci-Fi|Thriller,Tom Noonan,0,http://www.imdb.com/title/tt3148266/?ref_=fn_tt_tt_1,TV-14,12000
148,0,754,Milos Forman,Comedy|Drama|Romance,Anne Bancroft,3,http://www.imdb.com/title/tt0171433/?ref_=fn_tt_tt_1,PG-13,0
42,12,373,Bradley Pierce,Adventure|Comedy|Family|Fantasy,Mark Williams,0,http://www.imdb.com/title/tt0118755/?ref_=fn_tt_tt_1,PG,0
302,2000,1000,Clint Howard,Drama,Oliver Platt,1,http://www.imdb.com/title/tt0870111/?ref_=fn_tt_tt_1,R,0
181,0,89,David Julian Hirsh,Biography|Comedy|Crime|Drama|Romance|Thriller,Jennifer Hall,0,http://www.imdb.com/title/tt0270288/?ref_=fn_tt_tt_1,R,3000
64,71,584,Jerry Stiller,Comedy|Romance,Vincent Pastore,2,http://www.imdb.com/title/tt0261289/?ref_=fn_tt_tt_1,PG-13,201
154,265,265,Tyler Labine,Comedy,Ben Falcone,1,http://www.imdb.com/title/tt2702724/?ref_=fn_tt_tt_1,R,0
17,0,400,Kevin McNally,Biography|Drama|History,Penelope Wilton,0,http://www.imdb.com/title/tt0092804/?ref_=fn_tt_tt_1,PG,0
65,759,933,Alfre Woodard,Comedy|Drama,Mary McDonnell,4,http://www.imdb.com/title/tt0140397/?ref_=fn_tt_tt_1,R,209
148,64,363,Billy Boyd,Comedy|Fantasy|Horror|Thriller,Hannah Spearritt,0,http://www.imdb.com/title/tt0387575/?ref_=fn_tt_tt_1,R,0
161,11,566,Jason Lewis,Drama|Mystery|Sci-Fi|Thriller,Angel Coulby,0,http://www.imdb.com/title/tt0366627/?ref_=fn_tt_tt_1,R,0
124,63,631,Frank Welker,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Scott Weinger,0,http://www.imdb.com/title/tt0103639/?ref_=fn_tt_tt_1,G,0
349,473,303,Neil Brown Jr.,Biography|Crime|Drama|History|Music,R. Marcos Taylor,0,http://www.imdb.com/title/tt1398426/?ref_=fn_tt_tt_1,R,76000
148,14000,237,Amrish Puri,Action|Adventure,Kate Capshaw,2,http://www.imdb.com/title/tt0087469/?ref_=fn_tt_tt_1,PG,0
45,5,368,Cree Summer,Adventure|Animation|Comedy|Drama|Family|Musical,Christine Cavanaugh,0,http://www.imdb.com/title/tt0134067/?ref_=fn_tt_tt_1,G,418
133,93,878,Billy Burke,Crime|Drama|Thriller,Monica Potter,0,http://www.imdb.com/title/tt0164334/?ref_=fn_tt_tt_1,R,0
87,350,83,Nina Arianda,Biography|Comedy|Drama|Music|Romance,John Sessions,3,http://www.imdb.com/title/tt4136084/?ref_=fn_tt_tt_1,PG-13,0
178,0,876,Salma Hayek,Action|Crime|Thriller,Enrique Iglesias,1,http://www.imdb.com/title/tt0285823/?ref_=fn_tt_tt_1,R,0
233,323,541,Bruce Willis,Action|Thriller,Reginald VelJohnson,0,http://www.imdb.com/title/tt0095016/?ref_=fn_tt_tt_1,R,25000
173,136,526,Ken Marino,Comedy,Bobb'e J. Thompson,1,http://www.imdb.com/title/tt0430922/?ref_=fn_tt_tt_1,R,0
426,285,767,Christian Bale,Biography|Comedy|Drama|History,Charlie Talbert,4,http://www.imdb.com/title/tt1596363/?ref_=fn_tt_tt_1,R,99000
210,0,210,Kevin Chamberlin,Comedy|Drama|Music,Demetri Martin,12,http://www.imdb.com/title/tt1127896/?ref_=fn_tt_tt_1,R,0
129,149,250,Noah Emmerich,Biography|Drama|History|Sport,Kenneth Mitchell,0,http://www.imdb.com/title/tt0349825/?ref_=fn_tt_tt_1,PG,0
287,0,1000,Kevin Zegers,Action|Horror|Thriller,Mekhi Phifer,0,http://www.imdb.com/title/tt0363547/?ref_=fn_tt_tt_1,R,7000
108,163,968,Judy Greer,Comedy|Romance,Alex Rocco,2,http://www.imdb.com/title/tt0209475/?ref_=fn_tt_tt_1,PG-13,0
62,21,47,Yû Aoi,Adventure|Animation|Sci-Fi,Haruma Miura,0,http://www.imdb.com/title/tt2668134/?ref_=fn_tt_tt_1,Not Rated,0
220,0,327,Anjelica Huston,Comedy|Drama,Seymour Cassel,1,http://www.imdb.com/title/tt0265666/?ref_=fn_tt_tt_1,R,0
136,446,660,Rebecca De Mornay,Mystery|Thriller,Jake Busey,0,http://www.imdb.com/title/tt0309698/?ref_=fn_tt_tt_1,R,11000
222,226,966,Morgan Freeman,Comedy|Romance,Romany Malco,2,http://www.imdb.com/title/tt1204975/?ref_=fn_tt_tt_1,PG-13,27000
112,46,244,Topol,Action|Adventure|Thriller,Desmond Llewelyn,1,http://www.imdb.com/title/tt0082398/?ref_=fn_tt_tt_1,PG,2000
122,23,6,David Sparrow,Comedy|Romance,Ann Talman,0,http://www.imdb.com/title/tt0240890/?ref_=fn_tt_tt_1,PG-13,12000
62,0,186,Bruce McGill,Action|Crime|Sci-Fi|Thriller,Gloria Reuben,1,http://www.imdb.com/title/tt0111438/?ref_=fn_tt_tt_1,R,0
135,0,8000,Alexander Skarsgård,Comedy,Will Ferrell,0,http://www.imdb.com/title/tt0196229/?ref_=fn_tt_tt_1,PG-13,0
184,529,325,Noah Lomax,Drama|Romance|Thriller,Mimi Kirkland,0,http://www.imdb.com/title/tt1702439/?ref_=fn_tt_tt_1,PG-13,23000
36,197,115,Omri Katz,Comedy|Family|Fantasy,Larry Bagby,0,http://www.imdb.com/title/tt0107120/?ref_=fn_tt_tt_1,PG,16000
171,96,559,Lily Rabe,Comedy|Drama|Romance,Bob Balaban,2,http://www.imdb.com/title/tt0481141/?ref_=fn_tt_tt_1,PG,0
447,905,385,Deborah Twiss,Action|Comedy,Michael Rispoli,1,http://www.imdb.com/title/tt1250777/?ref_=fn_tt_tt_1,R,36000
220,181,459,Dilshad Vadsaria,Action|Comedy|Crime,Fred Ward,3,http://www.imdb.com/title/tt1622547/?ref_=fn_tt_tt_1,R,0
122,71,1000,Danny Masterson,Action|Fantasy|Horror|Thriller,Jeri Ryan,0,http://www.imdb.com/title/tt0219653/?ref_=fn_tt_tt_1,R,0
119,44,3000,Steve Carell,Comedy|Family,Jennifer Garner,6,http://www.imdb.com/title/tt1698641/?ref_=fn_tt_tt_1,PG,12000
