director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,gross,genres,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
,10,,,502,,Drama|History|Romance|War,War & Peace             ,4528,Lily James,1,male frontal nudity|male nudity|tv mini series,http://www.imdb.com/title/tt3910804/?ref_=fn_tt_tt_1,English,UK,TV-14,,888,8.2,11000
Peter Howitt,88,99,29,161,11883495,Comedy|Drama|Fantasy|Romance,Sliding Doors ,1462,John Lynch,1,alternative reality|multiple outcomes|parallel time|serendipity|twist of fate,http://www.imdb.com/title/tt0120148/?ref_=fn_tt_tt_1,English,UK,R,9000000,427,6.8,0
Rusty Cundieff,25,98,38,360,11797927,Comedy|Horror|Thriller,Tales from the Hood ,3221,David Alan Grier,0,child abuse|death|drugs|ku klux klan|police brutality,http://www.imdb.com/title/tt0114609/?ref_=fn_tt_tt_1,English,USA,R,6000000,475,6.1,985
Kevin Macdonald,252,121,162,25,17605861,Biography|Drama|History|Thriller,The Last King of Scotland ,1184,Abby Mukiibi Nkaaga,1,1970s|assassination|doctor|scottish|ugandan,http://www.imdb.com/title/tt0455590/?ref_=fn_tt_tt_1,English,UK,R,6000000,149,7.7,0
Dominique Othenin-Girard,137,96,2,120,11642254,Horror|Thriller,Halloween 5 ,1308,Troy Evans,1,cat|halloween|kitten|michael myers|psychotronic,http://www.imdb.com/title/tt0097474/?ref_=fn_tt_tt_1,English,USA,X,3000000,256,5.2,926
Richard Linklater,231,99,0,84,9203192,Comedy|Crime|Drama,Bernie ,11328,Rick Dial,1,funeral|stockbroker|texas|vacation|widow,http://www.imdb.com/title/tt1704573/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,106,6.8,15000
Jean-Jacques Mantello,9,42,0,,7518876,Adventure|Documentary|Short,Dolphins and Whales 3D: Tribes of the Ocean ,844,,0,3d in title|animal in title|digit in title|dolphin|manatee,http://www.imdb.com/title/tt0996382/?ref_=fn_tt_tt_1,English,UK,,6000000,0,6.5,28
Ed Harris,115,122,0,221,8596914,Biography|Drama,Pollock ,1517,Amy Madigan,0,1940s|artist|drinking|life magazine|painter,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1,English,USA,R,6000000,394,7.0,0
Risa Bramon Garcia,67,101,112,612,6851636,Comedy|Drama|Romance,200 Cigarettes ,2697,Gaby Hoffmann,5,bartender|friend|new year's eve|party|punk,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,English,USA,R,6000000,744,5.9,0
Brian Klugman,216,102,49,10000,11434867,Drama|Mystery|Romance|Thriller,The Words ,51355,Olivia Wilde,1,american in paris|book|love|novel|writer,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1,English,USA,PG-13,6000000,14000,7.1,21000
Matt Piedmont,133,84,4,546,5895238,Comedy|Western,Casa de mi Padre ,10123,Luis E. Carazo,1,absurd humor|drug lord|mexico|ranch|spaghetti western,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1,Spanish,USA,R,6000000,806,5.5,9000
Raymond De Felitta,149,104,20,130,6670712,Comedy|Drama,City Island ,3825,Dominik García-Lorido,6,anger|family reunion|father son reunion|hugging|movie making,http://www.imdb.com/title/tt1174730/?ref_=fn_tt_tt_1,English,USA,PG-13,6000000,591,7.4,0
John Michael McDonagh,261,96,51,28,5359774,Comedy|Crime|Thriller,The Guard ,3569,Wale Ojo,0,boat on fire|drug smuggling|fbi|fbi agent|small town,http://www.imdb.com/title/tt1540133/?ref_=fn_tt_tt_1,English,Ireland,R,6000000,482,7.3,17000
Deb Hagan,42,94,0,664,4693919,Comedy,College ,4484,Haley Bennett,0,college|face slap|high school|loss of virginity|pierced nipple,http://www.imdb.com/title/tt0844671/?ref_=fn_tt_tt_1,English,USA,R,6500000,1000,4.6,422
Sofia Coppola,152,90,0,826,4859475,Drama|Romance,The Virgin Suicides ,7103,Scott Glenn,0,catholic|five sisters|isolation|school|suicide,http://www.imdb.com/title/tt0159097/?ref_=fn_tt_tt_1,English,USA,R,6000000,899,7.2,0
Mark Herman,64,97,39,286,4595000,Comedy|Drama|Music|Romance,Little Voice ,2103,Brenda Blethyn,4,mother|recluse|shy|singer|talent,http://www.imdb.com/title/tt0147004/?ref_=fn_tt_tt_1,English,UK,R,,497,7.0,915
Zach Cregger,76,90,138,263,4542775,Comedy|Romance,Miss March ,1831,Raquel Alessi,2,fellatio|hugh hefner|oral sex|playboy centerfold|topless female nudity,http://www.imdb.com/title/tt1151922/?ref_=fn_tt_tt_1,English,USA,R,6000000,308,5.1,985
Zach Braff,149,106,0,379,3588432,Comedy|Drama,Wish I Was Here ,18947,Michael Weston,4,actor|dream sequence|genius recluse|jew|religion,http://www.imdb.com/title/tt2870708/?ref_=fn_tt_tt_1,English,USA,R,6000000,1000,6.7,0
Mark Tarlov,35,96,3,353,4394936,Comedy|Drama|Fantasy|Romance,Simply Irresistible ,5668,Lawrence Gilliard Jr.,1,chef|female chef|love|magic|restaurant,http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1,English,Germany,PG-13,6000000,812,5.3,901
,47,44,,724,,Crime|Drama|Mystery,Veronica Mars             ,3318,Enrico Colantoni,1,best friend|high school|private detective|sheriff|student,http://www.imdb.com/title/tt0412253/?ref_=fn_tt_tt_1,English,USA,TV-14,,828,8.4,0
John Cameron Mitchell,108,95,263,179,3029081,Comedy|Drama|Music|Musical,Hedwig and the Angry Inch ,993,Andrea Martin,0,band|rock band|sex change|song|transsexual,http://www.imdb.com/title/tt0248845/?ref_=fn_tt_tt_1,English,USA,R,6000000,261,7.8,0
Sheldon Lettich,17,99,23,82,3273588,Action|Drama,Only the Strong ,382,Todd Susman,1,capoeira|fight|fighting|martial arts|violence,http://www.imdb.com/title/tt0107750/?ref_=fn_tt_tt_1,English,USA,PG-13,6000000,91,6.7,0
Jon Knautz,12,93,10,34,,Drama|Horror|Mystery|Thriller,Goddess of Love ,546,Alexis Kendra,0,female nudity|hallucination|sex scene|strip club|stripper,http://www.imdb.com/title/tt3432552/?ref_=fn_tt_tt_1,English,USA,,,77,5.4,84
Billy Ray,129,99,53,491,2207975,Drama|History,Shattered Glass ,8297,Cas Anvar,0,fabricated facts|journalist|stephen glass|the new republic|writer,http://www.imdb.com/title/tt0323944/?ref_=fn_tt_tt_1,English,USA,PG-13,6000000,3000,7.2,0
David Atkins,84,95,8,15,2025238,Comedy|Crime|Drama|Thriller,Novocaine ,489,Polly Noonan,3,dentist|drugs|murder|sex|sunflower,http://www.imdb.com/title/tt0234354/?ref_=fn_tt_tt_1,English,USA,R,6000000,230,5.8,289
Patrick Stettner,61,84,5,152,1028337,Drama|Thriller,The Business of Strangers ,1407,Frederick Weller,2,airport|businesswoman|hotel|revenge|vegetarian,http://www.imdb.com/title/tt0270259/?ref_=fn_tt_tt_1,English,USA,R,,257,6.4,29
Sam Peckinpah,147,144,541,242,,Action|Adventure|Western,The Wild Bunch ,2379,L.Q. Jones,1,friendship|honor|righteous rage|soldier|texas,http://www.imdb.com/title/tt0065214/?ref_=fn_tt_tt_1,English,USA,R,6244087,288,8.0,0
Jonathan Levine,147,99,129,362,2077046,Comedy|Drama|Romance,The Wackness ,2748,Method Man,2,ice cream|marijuana|new york city|summer|therapy,http://www.imdb.com/title/tt1082886/?ref_=fn_tt_tt_1,English,USA,R,6000000,617,7.0,0
Michael Crichton,23,110,735,20,,Adventure|Crime|Drama|Thriller,The Great Train Robbery ,297,Pamela Salem,2,bank|gold|key|safe|train,http://www.imdb.com/title/tt0079240/?ref_=fn_tt_tt_1,English,UK,PG,6000000,34,7.0,643
Lynne Ramsay,75,97,159,53,267194,Drama,Morvern Callar ,841,Paul Popplewell,0,breasts|cleavage|female rear nudity|girl in panties|public nudity,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1,English,UK,R,,104,6.7,605
Sylvio Tabet,17,107,0,284,869325,Action|Adventure|Fantasy|Sci-Fi,Beastmaster 2: Through the Portal of Time ,2000,Marc Singer,2,beast|beastmaster|psychotronic|sword and sorcery|warrior,http://www.imdb.com/title/tt0101412/?ref_=fn_tt_tt_1,English,USA,PG-13,6000000,514,3.8,125
Rick Bieber,16,90,11,316,399611,Biography|Drama|Sport,The 5th Quarter ,2370,Sammy Nagi Njuguna,2,athletic training|football practice|funeral|gymnasium|man crying,http://www.imdb.com/title/tt1130964/?ref_=fn_tt_tt_1,English,USA,PG,6000000,529,5.7,0
Claude Chabrol,60,104,324,27,181798,Drama,The Flower of Evil ,282,Mélanie Doutey,5,bordeaux|election|mayor|pamphlet|political thriller,http://www.imdb.com/title/tt0322289/?ref_=fn_tt_tt_1,French,France,R,,67,6.6,52
Shana Feste,63,96,19,71,115862,Drama|Romance,The Greatest ,2163,Cara Seymour,2,car crash|loss|self help group|teenage mother|title directed by female,http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1,English,USA,R,6000000,943,6.7,0
Wayne Wang,56,104,61,451,1346503,Drama|History,Snow Flower and the Secret Fan ,2430,Ji-hyun Jun,0,car hitting pedestrian|china|fan|nineteenth century|reversal of fortune,http://www.imdb.com/title/tt1541995/?ref_=fn_tt_tt_1,English,China,PG-13,6000000,595,6.1,0
Joey Lauren Adams,36,97,781,90,117560,Drama|Romance,Come Early Morning ,1081,Ritchie Montgomery,0,church|drink|knocking on a door|love|three word title,http://www.imdb.com/title/tt0457308/?ref_=fn_tt_tt_1,English,USA,R,6000000,206,6.2,224
Peter Cattaneo,47,107,11,419,54606,Comedy|Crime|Romance,Lucky Break ,2440,Peter McNamara,0,escape|prison|prison escape|sadism|solitary confinement,http://www.imdb.com/title/tt0246134/?ref_=fn_tt_tt_1,English,UK,PG-13,6000000,766,6.2,30
Fred Zinnemann,38,117,160,898,,Drama,Julia ,15604,Vanessa Redgrave,2,1930s|female protagonist|nazi|romantic friendship|writer,http://www.imdb.com/title/tt0076245/?ref_=fn_tt_tt_1,English,USA,PG,7840000,949,7.4,733
S.R. Bindler,26,85,0,499,36497,Comedy,"Surfer, Dude ",14599,Sarah Wright,0,barefoot|endorsement|surfboard|virtual reality|waves,http://www.imdb.com/title/tt0976247/?ref_=fn_tt_tt_1,English,USA,R,6000000,826,4.7,850
Tony Kaye,47,152,194,0,23807,Documentary,Lake of Fire ,105,Bill Baird,0,abortion|southern accent|title based on the bible|trial|usa,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1,English,USA,Unrated,,2,8.3,570
Greg Marcks,68,85,9,407,,Comedy|Crime|Drama,11:14 ,2200,Shawn Hatosy,1,convenience store|multiple perspectives|murder|paramedic|van,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,English,USA,R,6000000,618,7.2,0
Perry Lang,19,76,17,259,,Action|Drama|Thriller,Men of War ,2152,Tim Guinee,1,cockney accent|fight|island|machismo|mercenary,http://www.imdb.com/title/tt0110490/?ref_=fn_tt_tt_1,English,USA,R,8600000,472,5.8,176
Jake Goldberger,39,87,2,99,,Drama|Mystery|Thriller,Don McKay ,1227,Robert Wahlberg,1,dead body|dead body in a freezer|dead body wrapped in carpet|person in a car trunk|school janitor,http://www.imdb.com/title/tt1281374/?ref_=fn_tt_tt_1,English,USA,R,,521,5.9,275
Stefan Ruzowitzky,162,95,24,874,65804,Crime|Drama|Thriller,Deadfall ,27575,Sissy Spacek,1,police officer|police officer killed|police officer shot|sex scene,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,English,USA,R,12000000,10000,6.3,0
Vic Sarin,37,101,24,130,,Drama|Family,A Shine of Rainbows ,1940,John Bell,2,island|love|new home|orphan|rainbow,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,English,Canada,PG,6000000,767,7.2,1000
William Kaufman,26,90,58,787,,Action|Thriller,The Hit List ,3469,Cole Hauser,1,die hard scenario|engineer|held at gunpoint|race against time|shot to death,http://www.imdb.com/title/tt1575694/?ref_=fn_tt_tt_1,English,USA,R,6000000,816,5.4,0
,10,240,,334,,Comedy|Drama|Romance,Emma             ,2563,Rupert Evans,1,friendship|love triangle|matchmaker|naivety|opposites attract,http://www.imdb.com/title/tt1366312/?ref_=fn_tt_tt_1,English,UK,,,432,8.2,0
David Cronenberg,179,89,0,15,,Horror|Mystery|Sci-Fi|Thriller,Videodrome ,477,Reiner Schwarz,0,cyberpunk|hallucination|illegality|snuff film|surrealism,http://www.imdb.com/title/tt0086541/?ref_=fn_tt_tt_1,English,Canada,R,5952000,20,7.3,0
Cédric Klapisch,88,111,82,269,3895664,Comedy|Drama,L'auberge espagnole ,1858,Iddo Goldberg,0,apartment|erasmus|language|student|trip,http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1,French,France,R,5300000,447,7.3,0
Kate Barker-Froyland,43,86,4,444,20200,Drama|Music,Song One ,12772,Li Jun Li,1,musician|number in title|recording|sibling,http://www.imdb.com/title/tt2182972/?ref_=fn_tt_tt_1,English,USA,PG-13,6000000,485,5.8,0
Barbet Schroeder,136,115,58,400,31874869,Crime|Mystery|Thriller,Murder by Numbers ,34605,Agnes Bruckner,0,disposing of a dead body|high school student|murder|sociopath|teenage boy,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,English,USA,R,50000000,455,6.1,0
Martin Koolhoven,111,103,12,19,542860,Drama|History|War,Winter in Wartime ,219,Martijn Lakemeier,1,horse|nazi|occupation|resistance movement|uncle nephew relationship,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,Dutch,Netherlands,R,4000000,20,7.1,0
Charles Matthau,13,90,139,1000,,Comedy|Crime|Thriller,Freaky Deaky ,6569,Bill Duke,0,black panties|bomb squad|car bomb|dynamite|girl in panties,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1,English,USA,R,6000000,2000,6.5,0
John Frankenheimer,64,133,287,28,,Thriller|War,The Train ,502,Michel Simon,0,art|french|german|painting|train,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1,English,France,Unrated,6700000,94,7.9,0
Christopher M. Bessette,6,88,0,57,15059,Drama|Thriller,Trade of Innocents ,1443,Trieu Tran,2,angkor wat|human trafficking|sex slavery|sex tourism,http://www.imdb.com/title/tt1772408/?ref_=fn_tt_tt_1,English,USA,PG-13,,323,5.4,543
Prachya Pinkaew,112,111,64,380,11905519,Action|Crime|Drama|Thriller,The Protector ,2205,Johnny Nguyen,0,die hard scenario|elephant|long take|police|sydney australia,http://www.imdb.com/title/tt0427954/?ref_=fn_tt_tt_1,Thai,Thailand,R,200000000,635,7.1,0
Gary Sinyor,12,94,0,136,69582,Comedy,Stiff Upper Lips ,1477,Samuel West,2,class conflict|edwardian era|england|sexual awakening|spoof,http://www.imdb.com/title/tt0120210/?ref_=fn_tt_tt_1,English,UK,R,,338,6.4,109
,15,25,,220,,Comedy|Romance,The Inbetweeners             ,1239,James Buckley,0,black comedy|bully|friend|house|practical joke,http://www.imdb.com/title/tt1220617/?ref_=fn_tt_tt_1,English,UK,TV-14,,223,8.4,0
Gurinder Chadha,161,112,98,397,32541719,Comedy|Drama|Romance|Sport,Bend It Like Beckham ,2201,Anupam Kher,0,hinduism|marriage engagement|soccer|team|tradition,http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1,English,UK,PG-13,3500159,528,6.7,0
John Sayles,68,141,407,501,3064356,Drama|Romance,Sunshine State ,2584,Timothy Hutton,6,african american|business|coastline|florida|real estate,http://www.imdb.com/title/tt0286179/?ref_=fn_tt_tt_1,English,USA,PG-13,5600000,659,6.9,160
Preston A. Whitmore II,25,95,17,255,7009668,Action|Sport,Crossover ,2000,Eva Marcille,6,african american|basketball|basketball movie|critically bashed|tv commercial,http://www.imdb.com/title/tt0473024/?ref_=fn_tt_tt_1,English,USA,PG-13,5600000,378,2.1,244
Ashish R. Mohan,23,141,2,61,352684,Action|Comedy,Khiladi 786 ,1065,Johnny Lever,1,car crash|impersonating a police officer|long lost brother|marriage bureau|suitor,http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1,Hindi,India,Not Rated,,284,4.3,365
Jaume Balagueró,222,85,57,6,27024,Horror,[Rec] 2 ,73,Andrea Ros,0,apartment|apartment building|blood sample|crucifix|zombie,http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1,Spanish,Spain,R,5600000,9,6.6,4000
Stewart Raffill,9,105,12,10,531806,Musical,Standing Ovation ,72,Kayla Raparelli,9,dance|dream|frog|philadelphia pennsylvania|snake,http://www.imdb.com/title/tt1303803/?ref_=fn_tt_tt_1,English,USA,PG,,11,3.4,277
George Roy Hill,119,129,131,417,159600000,Comedy|Crime|Drama,The Sting ,2387,Ray Walston,0,con|con man|courier|long con|murder,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,English,USA,PG,5500000,559,8.3,0
Hugh Hudson,90,125,46,249,58800000,Biography|Drama|Sport,Chariots of Fire ,1651,John Gielgud,0,athlete|jew|missionary|olympic games|race,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,English,UK,PG,5500000,303,7.2,0
Darren Grant,62,116,0,476,50382128,Comedy|Drama|Romance,Diary of a Mad Black Woman ,2723,Tamara Taylor,0,comic relief|diary|kiss|madea series|state flag,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,English,USA,PG-13,5500000,637,5.6,0
Scott Hicks,71,105,96,35,35811509,Biography|Drama|Music|Romance,Shine ,888,Nicholas Bell,0,abuse|australia|concert|pianist|piano,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,English,Australia,PG-13,5500000,294,7.7,0
Joseph Gordon-Levitt,364,90,23000,694,24475193,Comedy|Drama|Romance,Don Jon ,44265,Tony Danza,1,camera focus on female butt|cunnilingus|new jersey|oral sex|reference to facebook,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1,English,USA,R,3000000,19000,6.6,33000
Clint Eastwood,72,105,16000,258,,Mystery|Western,High Plains Drifter ,17599,John Hillerman,0,gravestone|gunfighter|outlaw|revenge|small town,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,English,USA,R,5500000,742,7.6,0
Terry Zwigoff,122,111,72,722,6200756,Comedy|Drama,Ghost World ,34106,T.J. Thyne,0,art class|diner|friend|graduation|high school,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,English,USA,R,7000000,12000,7.4,5000
Richard Eyre,100,91,14,548,1292119,Biography|Drama|Romance,Iris ,16768,Kris Marshall,1,alzheimer's disease|book|love|novelist|writer,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1,English,UK,R,5500000,1000,7.1,0
William Sachs,24,95,14,60,,Comedy|Sci-Fi,Galaxina ,396,Angelo Rossitto,0,alien|android|fem bot|female android|stars,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,English,USA,R,,110,3.4,438
Christophe Barratier,112,97,25,57,3629758,Drama|Music,The Chorus ,745,Gérard Jugnot,0,boarding school|boy|choir|school|teacher,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,French,France,PG-13,5500000,86,7.9,0
Émile Gaudreault,67,92,9,71,6239558,Comedy|Drama,Mambo Italiano ,1033,Claudia Ferri,0,gay|immigrant|italian|police|police officer,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,English,Canada,R,5000000,210,6.7,352
James Cox,91,104,10,93,1056102,Crime|Drama|Mystery|Thriller,Wonderland ,1315,Franky G,0,murder|police|police investigation|porn star|robbery,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,English,USA,R,5000000,436,6.6,1000
Spike Lee,103,120,0,388,27545445,Drama,Do the Right Thing ,2892,Danny Aiello,2,black militant|frustration|pizza|pizza parlor|pizzeria,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,English,USA,R,6500000,652,7.9,0
James Toback,27,99,56,781,56007,Comedy|Crime|Drama|Romance|Thriller,Harvard Man ,6776,Joey Lauren Adams,3,basketball|cheerleader|college|harvard|philosophy,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,English,USA,R,5500000,902,4.9,113
Aki Kaurismäki,205,93,592,36,611709,Comedy|Drama,Le Havre ,391,Jean-Pierre Darroussin,1,bar|container|illegal immigrant|neighbor|shoe shiner,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,French,Finland,Not Rated,3850000,67,7.2,0
Gaspar Noé,192,99,929,9,753501,Crime|Drama|Mystery|Thriller,Irreversible ,118,Jo Prestia,0,long take|male frontal nudity|revenge|reverse chronology|vengeance,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1,French,France,Not Rated,,46,7.4,13000
Hitoshi Matsumoto,72,99,17,16,22770,Comedy|Drama,R100 ,81,Shinobu Terajima,0,coma|one word title|spitting|sushi|swimming pool,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,Japanese,Japan,Unrated,5500000,17,6.1,543
Rakeysh Omprakash Mehra,33,157,85,199,2197331,Comedy|Drama|History|Romance,Rang De Basanti ,1519,Madhavan,0,freedom|friend|india|student|urination,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,Hindi,India,Not Rated,,227,8.4,0
Collin Schiffli,22,90,4,290,,Drama,Animals ,2030,David Dastmalchian,0,drug addict|drug addiction|drug use|drugs|junkie,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1,English,USA,,,697,6.2,679
George Ratliff,48,96,3,38,27445,Action|Comedy|Drama|Thriller,Salvation Boulevard ,561,Mike Eshaq,5,cross|doused with gasoline|pastor|security guard|shower,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1,English,USA,R,9000000,39,5.3,1000
David Wain,65,96,136,139,766487,Comedy|Romance,The Ten ,4883,Ron Silver,4,death|mexico|sabbath|surgeon|ten stories,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,English,USA,R,5250000,543,5.0,915
Shane Meadows,29,90,222,222,18434,Comedy|Drama,A Room for Romeo Brass ,6111,Shane Meadows,2,betrayal|family relationships|friendship|psychosis|stranger,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,English,UK,R,,680,7.7,484
Morten Tyldum,284,100,77,27,1196752,Crime|Drama|Thriller,Headhunters ,385,Julie R. Ølgaard,3,art thief|male frontal nudity|male nudity|male star appears nude|painting,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,Norwegian,Norway,R,30300000,52,7.6,23000
Jon Wright,187,94,4,114,,Comedy|Horror|Sci-Fi|Thriller,Grabbers ,1832,Bronagh Gallagher,0,bathtub|eaten alive|ferry boat|lobster trap|sprinkler system,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,English,UK,Not Rated,4000000,567,6.3,11000
Michael McGowan,47,98,12,149,795126,Comedy|Drama|Sport,Saint Ralph ,955,Gordon Pinsent,1,boston marathon|coma|marathon|miracles|running,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,English,Canada,PG-13,6000000,259,7.6,989
Liv Ullmann,88,129,440,0,,Drama|Romance,Miss Julie ,631,Colin Farrell,2,kissing someone's boot|midsummer|telling someone to shut up|two word title|valet,http://www.imdb.com/title/tt2667960/?ref_=fn_tt_tt_1,English,Norway,PG-13,5500000,0,5.6,0
Jeannot Szwarc,41,103,82,32,,Drama|Fantasy|Romance,Somewhere in Time ,454,George Voskovec,2,hotel|love|love across time|time travel|time travel romance,http://www.imdb.com/title/tt0081534/?ref_=fn_tt_tt_1,English,USA,PG,5100000,191,7.3,0
