actor_2_name,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,movie_imdb_link
Rafe Spall,Suraj Sharma,Life of Pi ,Tabu,0,http://www.imdb.com/title/tt0454876/?ref_=fn_tt_tt_1
Matt Long,Nicolas Cage,Ghost Rider ,Peter Fonda,1,http://www.imdb.com/title/tt0259324/?ref_=fn_tt_tt_1
Riz Ahmed,Matt Damon,Jason Bourne ,Ato Essandoh,0,http://www.imdb.com/title/tt4196776/?ref_=fn_tt_tt_1
Bernie Mac,Demi Moore,Charlie's Angels: Full Throttle ,Justin Theroux,0,http://www.imdb.com/title/tt0305357/?ref_=fn_tt_tt_1
Charlize Theron,Michael Fassbender,Prometheus ,Sean Harris,0,http://www.imdb.com/title/tt1446714/?ref_=fn_tt_tt_1
Brad Garrett,Nathan Lane,Stuart Little 2 ,Melanie Griffith,0,http://www.imdb.com/title/tt0243585/?ref_=fn_tt_tt_1
Sharlto Copley,Matt Damon,Elysium ,Alice Braga,0,http://www.imdb.com/title/tt1535108/?ref_=fn_tt_tt_1
Alexa Davalos,Vin Diesel,The Chronicles of Riddick ,Christina Cox,0,http://www.imdb.com/title/tt0296572/?ref_=fn_tt_tt_1
Abbie Cornish,Gary Oldman,RoboCop ,Jennifer Ehle,0,http://www.imdb.com/title/tt1234721/?ref_=fn_tt_tt_1
Kick Gurry,Scott Porter,Speed Racer ,Nicholas Elia,0,http://www.imdb.com/title/tt0811080/?ref_=fn_tt_tt_1
Domenick Lombardozzi,Shelley Conn,How Do You Know ,Teyonah Parris,4,http://www.imdb.com/title/tt1341188/?ref_=fn_tt_tt_1
Marc Blucas,Tom Cruise,Knight and Day ,Jordi Mollà,0,http://www.imdb.com/title/tt1013743/?ref_=fn_tt_tt_1
Tom Cruise,Morgan Freeman,Oblivion ,Zoë Bell,0,http://www.imdb.com/title/tt1483013/?ref_=fn_tt_tt_1
Christopher Lee,Natalie Portman,Star Wars: Episode III - Revenge of the Sith ,Hayden Christensen,4,http://www.imdb.com/title/tt0121766/?ref_=fn_tt_tt_1
Christopher Lee,Natalie Portman,Star Wars: Episode II - Attack of the Clones ,Hayden Christensen,3,http://www.imdb.com/title/tt0121765/?ref_=fn_tt_tt_1
John Ratzenberger,Steve Buscemi,"Monsters, Inc. ",James Coburn,0,http://www.imdb.com/title/tt0198781/?ref_=fn_tt_tt_1
Tao Okamoto,Hugh Jackman,The Wolverine ,Rila Fukushima,1,http://www.imdb.com/title/tt1430132/?ref_=fn_tt_tt_1
Liam Neeson,Natalie Portman,Star Wars: Episode I - The Phantom Menace ,Ian McDiarmid,1,http://www.imdb.com/title/tt0120915/?ref_=fn_tt_tt_1
Emma Stone,Ryan Reynolds,The Croods ,Nicolas Cage,3,http://www.imdb.com/title/tt0481499/?ref_=fn_tt_tt_1
Santiago Segura,Alain Delon,Asterix at the Olympic Games ,Vanessa Hessler,1,http://www.imdb.com/title/tt0463872/?ref_=fn_tt_tt_1
Roger Willie,Nicolas Cage,Windtalkers ,Noah Emmerich,0,http://www.imdb.com/title/tt0245562/?ref_=fn_tt_tt_1
Sam Claflin,Chris Hemsworth,The Huntsman: Winter's War ,Charlize Theron,2,http://www.imdb.com/title/tt2381991/?ref_=fn_tt_tt_1
Danny Woodburn,Noel Fisher,Teenage Mutant Ninja Turtles ,Jeremy Howard,0,http://www.imdb.com/title/tt1291150/?ref_=fn_tt_tt_1
Basher Savage,Phaldut Sharma,Gravity ,Amy Warren,0,http://www.imdb.com/title/tt1454468/?ref_=fn_tt_tt_1
Grant Heslov,Jamie Renée Smith,Dante's Peak ,Tzi Ma,1,http://www.imdb.com/title/tt0118928/?ref_=fn_tt_tt_1
Noel Fisher,Stephen Amell,Teenage Mutant Ninja Turtles: Out of the Shadows ,Brad Garrett,,http://www.imdb.com/title/tt3949660/?ref_=fn_tt_tt_1
Reg E. Cathey,Tim Blake Nelson,Fantastic Four ,Tim Heidecker,3,http://www.imdb.com/title/tt1502712/?ref_=fn_tt_tt_1
Rami Malek,Robin Williams,Night at the Museum ,Steve Coogan,2,http://www.imdb.com/title/tt0477347/?ref_=fn_tt_tt_1
Ioan Gruffudd,Dwayne Johnson,San Andreas ,Archie Panjabi,0,http://www.imdb.com/title/tt2126355/?ref_=fn_tt_tt_1
Colin Salmon,Vincent Schiavelli,Tomorrow Never Dies ,Joe Don Baker,3,http://www.imdb.com/title/tt0120347/?ref_=fn_tt_tt_1
Adam Baldwin,Heath Ledger,The Patriot ,Tom Wilkinson,1,http://www.imdb.com/title/tt0187393/?ref_=fn_tt_tt_1
Julia Roberts,Brad Pitt,Ocean's Twelve ,Mini Anden,0,http://www.imdb.com/title/tt0349903/?ref_=fn_tt_tt_1
Angelina Jolie Pitt,Brad Pitt,Mr. & Mrs. Smith ,Stephanie March,2,http://www.imdb.com/title/tt0356910/?ref_=fn_tt_tt_1
Theo James,Kate Winslet,Insurgent ,Mekhi Phifer,0,http://www.imdb.com/title/tt2908446/?ref_=fn_tt_tt_1
Adam Scott,Leonardo DiCaprio,The Aviator ,Frances Conroy,0,http://www.imdb.com/title/tt0338751/?ref_=fn_tt_tt_1
Catherine Tate,James Corden,Gulliver's Travels ,Olly Alexander,1,http://www.imdb.com/title/tt1320261/?ref_=fn_tt_tt_1
Tom Wilkinson,Christoph Waltz,The Green Hornet ,Chad L. Coleman,0,http://www.imdb.com/title/tt0990407/?ref_=fn_tt_tt_1
Dirk Benedict,George Peppard,The A-Team             ,Dwight Schultz,4,http://www.imdb.com/title/tt0084967/?ref_=fn_tt_tt_1
Sullivan Stapleton,Eva Green,300: Rise of an Empire ,Peter Mensah,0,http://www.imdb.com/title/tt1253863/?ref_=fn_tt_tt_1
Tim Gunn,Mahadeo Shivraj,The Smurfs ,Madison McKinley,3,http://www.imdb.com/title/tt0472181/?ref_=fn_tt_tt_1
Roseanne Barr,Steve Buscemi,Home on the Range ,G.W. Bailey,0,http://www.imdb.com/title/tt0299172/?ref_=fn_tt_tt_1
Theo James,Naomi Watts,Allegiant ,Zoë Kravitz,3,http://www.imdb.com/title/tt3410834/?ref_=fn_tt_tt_1
Torey Michael Adkins,Hugh Jackman,Real Steel ,Olga Fonda,1,http://www.imdb.com/title/tt0433035/?ref_=fn_tt_tt_1
Nancy O'Dell,Jacob Tremblay,The Smurfs 2 ,Vanessa Matsui,3,http://www.imdb.com/title/tt2017020/?ref_=fn_tt_tt_1
Temuera Morrison,Jason Patric,Speed 2: Cruise Control ,Lois Chiles,0,http://www.imdb.com/title/tt0120179/?ref_=fn_tt_tt_1
Moises Arias,Harrison Ford,Ender's Game ,Aramis Knight,4,http://www.imdb.com/title/tt1731141/?ref_=fn_tt_tt_1
Jonathan Sadowski,Bruce Willis,Live Free or Die Hard ,Cyril Raffaelli,1,http://www.imdb.com/title/tt0337978/?ref_=fn_tt_tt_1
Orlando Bloom,Christopher Lee,The Lord of the Rings: The Fellowship of the Ring ,Billy Boyd,2,http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1
Steve Coogan,Jim Broadbent,Around the World in 80 Days ,Cécile De France,0,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1
Jada Pinkett Smith,Will Smith,Ali ,Joe Morton,1,http://www.imdb.com/title/tt0248667/?ref_=fn_tt_tt_1
Kelly Preston,Sean Hayes,The Cat in the Hat ,Spencer Breslin,1,http://www.imdb.com/title/tt0312528/?ref_=fn_tt_tt_1
Bruce Greenwood,Will Smith,"I, Robot ",Chi McBride,1,http://www.imdb.com/title/tt0343818/?ref_=fn_tt_tt_1
Orlando Bloom,Liam Neeson,Kingdom of Heaven ,Philip Glenister,1,http://www.imdb.com/title/tt0320661/?ref_=fn_tt_tt_1
Nathan Lane,Chazz Palminteri,Stuart Little ,Jeffrey Jones,0,http://www.imdb.com/title/tt0164912/?ref_=fn_tt_tt_1
Jenifer Lewis,Oprah Winfrey,The Princess and the Frog ,Anika Noni Rose,0,http://www.imdb.com/title/tt0780521/?ref_=fn_tt_tt_1
Donald Glover,Matt Damon,The Martian ,Benedict Wong,1,http://www.imdb.com/title/tt3659388/?ref_=fn_tt_tt_1
,Mathew Buck,"10,000 B.C.             ",,0,http://www.imdb.com/title/tt1869849/?ref_=fn_tt_tt_1
Steve Buscemi,Scarlett Johansson,The Island ,Djimon Hounsou,1,http://www.imdb.com/title/tt0399201/?ref_=fn_tt_tt_1
Warren Beatty,Del Zamora,Town & Country ,Garry Shandling,0,http://www.imdb.com/title/tt0141907/?ref_=fn_tt_tt_1
Angelina Jolie Pitt,Nicolas Cage,Gone in Sixty Seconds ,Robert Duvall,1,http://www.imdb.com/title/tt0187078/?ref_=fn_tt_tt_1
Connie Nielsen,Djimon Hounsou,Gladiator ,Oliver Reed,0,http://www.imdb.com/title/tt0172495/?ref_=fn_tt_tt_1
Frank Grillo,Tom Cruise,Minority Report ,Jessica Capshaw,0,http://www.imdb.com/title/tt0181689/?ref_=fn_tt_tt_1
Rupert Grint,Daniel Radcliffe,Harry Potter and the Chamber of Secrets ,Emma Watson,1,http://www.imdb.com/title/tt0295297/?ref_=fn_tt_tt_1
Tobias Menzies,Eva Green,Casino Royale ,Ivana Milicevic,1,http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1
Estella Warren,Cary-Hiroyuki Tagawa,Planet of the Apes ,Erick Avari,0,http://www.imdb.com/title/tt0133152/?ref_=fn_tt_tt_1
Jenette Goldstein,Joe Morton,Terminator 2: Judgment Day ,S. Epatha Merkerson,0,http://www.imdb.com/title/tt0103064/?ref_=fn_tt_tt_1
Christian Bale,Johnny Depp,Public Enemies ,Stephen Graham,1,http://www.imdb.com/title/tt1152836/?ref_=fn_tt_tt_1
Ruby Dee,Denzel Washington,American Gangster ,RZA,0,http://www.imdb.com/title/tt0765429/?ref_=fn_tt_tt_1
Tia Carrere,Jamie Lee Curtis,True Lies ,Tom Arnold,0,http://www.imdb.com/title/tt0111503/?ref_=fn_tt_tt_1
Ramon Rodriguez,Denzel Washington,The Taking of Pelham 1 2 3 ,Michael Rispoli,1,http://www.imdb.com/title/tt1111422/?ref_=fn_tt_tt_1
Blythe Danner,Robert De Niro,Little Fockers ,Teri Polo,10,http://www.imdb.com/title/tt0970866/?ref_=fn_tt_tt_1
Will Ferrell,Dwayne Johnson,The Other Guys ,Derek Jeter,2,http://www.imdb.com/title/tt1386588/?ref_=fn_tt_tt_1
James Coburn,Vanessa Williams,Eraser ,Roma Maffia,1,http://www.imdb.com/title/tt0116213/?ref_=fn_tt_tt_1
Christoph Waltz,Leonardo DiCaprio,Django Unchained ,Ato Essandoh,1,http://www.imdb.com/title/tt1853728/?ref_=fn_tt_tt_1
Jason Alexander,Demi Moore,The Hunchback of Notre Dame ,Bill Fagerbakke,0,http://www.imdb.com/title/tt0116583/?ref_=fn_tt_tt_1
Wendie Malick,Eartha Kitt,The Emperor's New Groove ,John Fiedler,1,http://www.imdb.com/title/tt0120917/?ref_=fn_tt_tt_1
Sylvester Stallone,Jason Statham,The Expendables 2 ,Bruce Willis,3,http://www.imdb.com/title/tt1764651/?ref_=fn_tt_tt_1
Armando Riesco,Nicolas Cage,National Treasure ,Annie Parisse,0,http://www.imdb.com/title/tt0368891/?ref_=fn_tt_tt_1
Ed Speleers,Djimon Hounsou,Eragon ,Gary Lewis,0,http://www.imdb.com/title/tt0449010/?ref_=fn_tt_tt_1
Ryan Corr,Catherine O'Hara,Where the Wild Things Are ,Max Records,0,http://www.imdb.com/title/tt0386117/?ref_=fn_tt_tt_1
Cara Delevingne,Hugh Jackman,Pan ,Nonso Anozie,4,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1
Emma Kenney,Josh Hutcherson,Epic ,Troy Evans,2,http://www.imdb.com/title/tt0848537/?ref_=fn_tt_tt_1
Angelina Jolie Pitt,Johnny Depp,The Tourist ,Rufus Sewell,0,http://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1
Mark Margolis,CCH Pounder,End of Days ,Udo Kier,0,http://www.imdb.com/title/tt0146675/?ref_=fn_tt_tt_1
Djimon Hounsou,Leonardo DiCaprio,Blood Diamond ,Stephen Collins,0,http://www.imdb.com/title/tt0450259/?ref_=fn_tt_tt_1
Matthew McConaughey,Leonardo DiCaprio,The Wolf of Wall Street ,Jon Favreau,3,http://www.imdb.com/title/tt0993846/?ref_=fn_tt_tt_1
Rene Auberjonois,Michael Gough,Batman Forever ,Debi Mazar,4,http://www.imdb.com/title/tt0112462/?ref_=fn_tt_tt_1
Patrick Muldoon,Jake Busey,Starship Troopers ,Seth Gilliam,0,http://www.imdb.com/title/tt0120201/?ref_=fn_tt_tt_1
Jim Sturgess,Tom Hanks,Cloud Atlas ,Jim Broadbent,5,http://www.imdb.com/title/tt1371111/?ref_=fn_tt_tt_1
Richard Roxburgh,Abbie Cornish,Legend of the Guardians: The Owls of Ga'Hoole ,Anthony LaPaglia,1,http://www.imdb.com/title/tt1219342/?ref_=fn_tt_tt_1
Christopher Heyerdahl,Frances Conroy,Catwoman ,Alex Borstein,0,http://www.imdb.com/title/tt0327554/?ref_=fn_tt_tt_1
Rufus Sewell,Dwayne Johnson,Hercules ,Ingrid Bolsø Berdal,0,http://www.imdb.com/title/tt1267297/?ref_=fn_tt_tt_1
Martin Short,Joseph Gordon-Levitt,Treasure Planet ,Michael Wincott,0,http://www.imdb.com/title/tt0133240/?ref_=fn_tt_tt_1
Anna Friel,Will Ferrell,Land of the Lost ,Bobb'e J. Thompson,1,http://www.imdb.com/title/tt0457400/?ref_=fn_tt_tt_1
Sylvester Stallone,Jason Statham,The Expendables 3 ,Harrison Ford,15,http://www.imdb.com/title/tt2333784/?ref_=fn_tt_tt_1
Edgar Ramírez,Ray Winstone,Point Break ,Delroy Lindo,1,http://www.imdb.com/title/tt2058673/?ref_=fn_tt_tt_1
Traylor Howard,Jamie Kennedy,Son of the Mask ,Ben Stein,0,http://www.imdb.com/title/tt0362165/?ref_=fn_tt_tt_1
Benjamin Walker,Chris Hemsworth,In the Heart of the Sea ,Frank Dillane,0,http://www.imdb.com/title/tt1390411/?ref_=fn_tt_tt_1
Randy Quaid,Rosario Dawson,The Adventures of Pluto Nash ,Burt Young,1,http://www.imdb.com/title/tt0180052/?ref_=fn_tt_tt_1
Sean Huze,Matt Damon,Green Zone ,Igal Naor,1,http://www.imdb.com/title/tt0947810/?ref_=fn_tt_tt_1
Venus Schultheis,Francesca Capaldi,The Peanuts Movie ,Bill Melendez,0,http://www.imdb.com/title/tt2452042/?ref_=fn_tt_tt_1
Felicity Huffman,Ben Gazzara,The Spanish Prisoner ,Campbell Scott,0,http://www.imdb.com/title/tt0120176/?ref_=fn_tt_tt_1
Brendan Fraser,Dwayne Johnson,The Mummy Returns ,Patricia Velasquez,5,http://www.imdb.com/title/tt0209163/?ref_=fn_tt_tt_1
Liam Neeson,Leonardo DiCaprio,Gangs of New York ,Jim Broadbent,3,http://www.imdb.com/title/tt0217505/?ref_=fn_tt_tt_1
Ni Ni,Christian Bale,The Flowers of War ,Shigeo Kobayashi,2,http://www.imdb.com/title/tt1410063/?ref_=fn_tt_tt_1
Zooey Deschanel,Jeff Bridges,Surf's Up ,Jon Heder,0,http://www.imdb.com/title/tt0423294/?ref_=fn_tt_tt_1
Matthew Broderick,Jon Lovitz,The Stepford Wives ,Roger Bart,1,http://www.imdb.com/title/tt0327162/?ref_=fn_tt_tt_1
Sam Shepard,Ioan Gruffudd,Black Hawk Down ,Ewen Bremner,0,http://www.imdb.com/title/tt0265086/?ref_=fn_tt_tt_1
Thomas Middleditch,Will Ferrell,The Campaign ,Katherine LaNasa,0,http://www.imdb.com/title/tt1790886/?ref_=fn_tt_tt_1
Bruce Willis,Milla Jovovich,The Fifth Element ,Gary Oldman,2,http://www.imdb.com/title/tt0119116/?ref_=fn_tt_tt_1
Liza Minnelli,Chris Noth,Sex and the City 2 ,Kristin Davis,4,http://www.imdb.com/title/tt1261945/?ref_=fn_tt_tt_1
Rosie Perez,Frank Welker,The Road to El Dorado ,Elton John,1,http://www.imdb.com/title/tt0138749/?ref_=fn_tt_tt_1
Josh Gad,Peter Dinklage,Ice Age: Continental Drift ,Drake,0,http://www.imdb.com/title/tt1667889/?ref_=fn_tt_tt_1
Derek Jacobi,Hayley Atwell,Cinderella ,Lily James,1,http://www.imdb.com/title/tt1661199/?ref_=fn_tt_tt_1
AJ Michalka,Michael Imperioli,The Lovely Bones ,Tom McCarthy,1,http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1
Stephen Root,Alexander Gould,Finding Nemo ,Brad Garrett,0,http://www.imdb.com/title/tt0266543/?ref_=fn_tt_tt_1
Billy Boyd,Orlando Bloom,The Lord of the Rings: The Return of the King ,Bernard Hill,2,http://www.imdb.com/title/tt0167260/?ref_=fn_tt_tt_1
Orlando Bloom,Christopher Lee,The Lord of the Rings: The Two Towers ,Billy Boyd,1,http://www.imdb.com/title/tt0167261/?ref_=fn_tt_tt_1
Djimon Hounsou,Jeff Bridges,Seventh Son ,Olivia Williams,4,http://www.imdb.com/title/tt1121096/?ref_=fn_tt_tt_1
Noah Taylor,Angelina Jolie Pitt,Lara Croft: Tomb Raider ,Chris Barrie,1,http://www.imdb.com/title/tt0146316/?ref_=fn_tt_tt_1
Morgan Freeman,Johnny Depp,Transcendence ,Clifton Collins Jr.,1,http://www.imdb.com/title/tt2209764/?ref_=fn_tt_tt_1
Trevor Morgan,Michael Jeter,Jurassic Park III ,Alessandro Nivola,0,http://www.imdb.com/title/tt0163025/?ref_=fn_tt_tt_1
David Oyelowo,James Franco,Rise of the Planet of the Apes ,Tyler Labine,0,http://www.imdb.com/title/tt1318514/?ref_=fn_tt_tt_1
Tod Fennell,Martin Short,The Spiderwick Chronicles ,Joan Plowright,0,http://www.imdb.com/title/tt0416236/?ref_=fn_tt_tt_1
Cole Hauser,Bruce Willis,A Good Day to Die Hard ,Megalyn Echikunwoke,2,http://www.imdb.com/title/tt1606378/?ref_=fn_tt_tt_1
Marc Blucas,Dennis Quaid,The Alamo ,Jordi Mollà,0,http://www.imdb.com/title/tt0318974/?ref_=fn_tt_tt_1
Craig T. Nelson,Holly Hunter,The Incredibles ,Lou Romano,0,http://www.imdb.com/title/tt0317705/?ref_=fn_tt_tt_1
Frank Langella,Christopher Masterson,Cutthroat Island ,Matthew Modine,3,http://www.imdb.com/title/tt0112760/?ref_=fn_tt_tt_1
Rosario Dawson,Logan Lerman,Percy Jackson & the Olympians: The Lightning Thief ,Steve Coogan,0,http://www.imdb.com/title/tt0814255/?ref_=fn_tt_tt_1
Rip Torn,Will Smith,Men in Black ,Linda Fiorentino,0,http://www.imdb.com/title/tt0119654/?ref_=fn_tt_tt_1
John Ratzenberger,Tom Hanks,Toy Story 2 ,Wayne Knight,2,http://www.imdb.com/title/tt0120363/?ref_=fn_tt_tt_1
Rosario Dawson,Denzel Washington,Unstoppable ,Ethan Suplee,1,http://www.imdb.com/title/tt0477080/?ref_=fn_tt_tt_1
John Lone,Mei Melançon,Rush Hour 2 ,Harris Yulin,2,http://www.imdb.com/title/tt0266915/?ref_=fn_tt_tt_1
Amber Valletta,Harrison Ford,What Lies Beneath ,Miranda Otto,0,http://www.imdb.com/title/tt0161081/?ref_=fn_tt_tt_1
Bobb'e J. Thompson,Will Forte,Cloudy with a Chance of Meatballs ,Al Roker,1,http://www.imdb.com/title/tt0844471/?ref_=fn_tt_tt_1
Maile Flanagan,Denis Leary,Ice Age: Dawn of the Dinosaurs ,Kelly Keaton,0,http://www.imdb.com/title/tt1080016/?ref_=fn_tt_tt_1
Adrian Martinez,Adam Scott,The Secret Life of Walter Mitty ,Joey Slotnick,1,http://www.imdb.com/title/tt0359950/?ref_=fn_tt_tt_1
LL Cool J,Bill Murray,Charlie's Angels ,Kelly Lynch,0,http://www.imdb.com/title/tt0160127/?ref_=fn_tt_tt_1
Matt Damon,Leonardo DiCaprio,The Departed ,Ray Winstone,0,http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1
Harvey Fierstein,Ming-Na Wen,Mulan ,June Foray,0,http://www.imdb.com/title/tt0120762/?ref_=fn_tt_tt_1
Steve Coogan,Robert Downey Jr.,Tropic Thunder ,Brandon T. Jackson,3,http://www.imdb.com/title/tt0942385/?ref_=fn_tt_tt_1
Goran Visnjic,Robin Wright,The Girl with the Dragon Tattoo ,Joely Richardson,1,http://www.imdb.com/title/tt1568346/?ref_=fn_tt_tt_1
Aldis Hodge,Bruce Willis,Die Hard with a Vengeance ,Kevin Chamberlin,1,http://www.imdb.com/title/tt0112864/?ref_=fn_tt_tt_1
Eddie Marsan,Robert Downey Jr.,Sherlock Holmes ,Robert Maillet,3,http://www.imdb.com/title/tt0988045/?ref_=fn_tt_tt_1
Ayelet Zurer,Morgan Freeman,Ben-Hur ,Moises Arias,2,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1
Jim Varney,Leonard Nimoy,Atlantis: The Lost Empire ,Cree Summer,0,http://www.imdb.com/title/tt0230011/?ref_=fn_tt_tt_1
Joshua Mikel,Bella Thorne,Alvin and the Chipmunks: The Road Chip ,Jesse McCartney,0,http://www.imdb.com/title/tt2974918/?ref_=fn_tt_tt_1
Tom Wilkinson,Tom Cruise,Valkyrie ,Thomas Kretschmann,0,http://www.imdb.com/title/tt0985699/?ref_=fn_tt_tt_1
Sayed Badreya,Adam Sandler,You Don't Mess with the Zohan ,Kevin Nealon,0,http://www.imdb.com/title/tt0960144/?ref_=fn_tt_tt_1
Adam Sandler,Peter Dinklage,Pixels ,Josh Gad,0,http://www.imdb.com/title/tt2120120/?ref_=fn_tt_tt_1
William Hurt,Haley Joel Osment,A.I. Artificial Intelligence ,Kevin Sussman,0,http://www.imdb.com/title/tt0212720/?ref_=fn_tt_tt_1
Rachael Harris,Marsha Thomason,The Haunted Mansion ,Marc John Jefferies,0,http://www.imdb.com/title/tt0338094/?ref_=fn_tt_tt_1
Tom Skerritt,Matthew McConaughey,Contact ,Larry King,2,http://www.imdb.com/title/tt0118884/?ref_=fn_tt_tt_1
Kim Dickens,Greg Grunberg,Hollow Man ,Joey Slotnick,0,http://www.imdb.com/title/tt0164052/?ref_=fn_tt_tt_1
George Harris,Curtiss Cook,The Interpreter ,Michael Wright,1,http://www.imdb.com/title/tt0373926/?ref_=fn_tt_tt_1
Leven Rambin,Logan Lerman,Percy Jackson: Sea of Monsters ,Brandon T. Jackson,0,http://www.imdb.com/title/tt1854564/?ref_=fn_tt_tt_1
Angelina Jolie Pitt,Gerard Butler,Lara Croft Tomb Raider: The Cradle of Life ,Djimon Hounsou,1,http://www.imdb.com/title/tt0325703/?ref_=fn_tt_tt_1
Morgan Freeman,Daniel Radcliffe,Now You See Me 2 ,Sanaa Lathan,6,http://www.imdb.com/title/tt3110958/?ref_=fn_tt_tt_1
Michael Byrne,Alun Armstrong,The Saint ,Velibor Topic,0,http://www.imdb.com/title/tt0120053/?ref_=fn_tt_tt_1
Stephen Dillane,Brad Pitt,Spy Game ,Catherine McCormack,2,http://www.imdb.com/title/tt0266987/?ref_=fn_tt_tt_1
Connie Nielsen,Don Cheadle,Mission to Mars ,Kim Delaney,0,http://www.imdb.com/title/tt0183523/?ref_=fn_tt_tt_1
