director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,language,title_year,movie_facebook_likes
Josef Rusnak,111,100,9,599,Gretchen Mol,The Thirteenth Floor ,51996,2389,Brad William Henke,amnesia|barricade|letter|time|virtual reality,http://www.imdb.com/title/tt0139809/?ref_=fn_tt_tt_1,English,1999,0
Lance Rivera,21,97,3,1000,Farrah Fawcett,The Cookout ,2385,3835,Jenifer Lewis,flatulence|interracial marriage|marriage,http://www.imdb.com/title/tt0380277/?ref_=fn_tt_tt_1,English,2004,177
Ronald Neame,42,108,38,940,Martin Landau,Meteor ,5237,1945,Brian Keith,asteroid|meteor|nasa|nuclear weapon|satellite,http://www.imdb.com/title/tt0079550/?ref_=fn_tt_tt_1,English,1979,392
Bruce Paltrow,65,112,28,555,Lochlyn Munro,Duets ,8217,1227,Huey Lewis,convict|karaoke|middle america|salesman|singer,http://www.imdb.com/title/tt0134630/?ref_=fn_tt_tt_1,English,2000,573
Woody Allen,109,112,11000,11000,Woody Allen,Hollywood Ending ,21613,12766,Treat Williams,blind|director|psychosomatic blindness|self deprecating|studio,http://www.imdb.com/title/tt0278823/?ref_=fn_tt_tt_1,English,2002,762
Adam Rifkin,42,95,89,1000,Natasha Lyonne,Detroit Rock City ,30682,2518,Shannon Tweed,band|concert|high school|kiss|teenager,http://www.imdb.com/title/tt0165710/?ref_=fn_tt_tt_1,English,1999,0
Russell Mulcahy,112,110,85,1000,Christopher Lambert,Highlander ,98629,1852,Celia Imrie,combat|head cut off|immortal|scotland|swordsman,http://www.imdb.com/title/tt0091203/?ref_=fn_tt_tt_1,English,1986,0
Susanne Bier,146,118,369,1000,Alison Lohman,Things We Lost in the Fire ,24104,1889,Robin Weigert,best friend|dinner|garage|narcotics anonymous|recovery,http://www.imdb.com/title/tt0469623/?ref_=fn_tt_tt_1,English,2007,0
Kenneth Johnson,36,97,34,503,Charles Napier,Steel ,8687,3100,Hill Harper,fight|gang|junkyard|military|soldier,http://www.imdb.com/title/tt0120207/?ref_=fn_tt_tt_1,English,1997,0
James Gray,230,120,115,10000,Jeremy Renner,The Immigrant ,20616,11019,Angela Sarafyan,immigrant|immigration|magician|money|prostitution,http://www.imdb.com/title/tt1951181/?ref_=fn_tt_tt_1,English,2013,0
James Ivory,64,135,133,898,Vanessa Redgrave,The White Countess ,5321,2096,Lynn Redgrave,countess|diplomat|japanese|russian|shanghai,http://www.imdb.com/title/tt0384686/?ref_=fn_tt_tt_1,English,2005,356
Danny Boyle,393,101,0,3000,Rosario Dawson,Trance ,92640,5056,Tuppence Middleton,amnesia|criminal|heist|hypnotherapy|lost painting,http://www.imdb.com/title/tt1924429/?ref_=fn_tt_tt_1,English,2013,23000
Jessy Terrero,75,92,29,939,Mo'Nique,Soul Plane ,18271,3935,Tom Arnold,airline|airplane|bathroom|sex|toilet,http://www.imdb.com/title/tt0367085/?ref_=fn_tt_tt_1,English,2004,0
Dany Boon,78,106,172,172,Dany Boon,Welcome to the Sticks ,30587,329,Michel Galabru,alcohol|alcoholic drink|drunken man|france|provence,http://www.imdb.com/title/tt1064932/?ref_=fn_tt_tt_1,French,2008,3000
Vicente Amorim,67,92,6,10000,Viggo Mortensen,Good ,5664,11091,Steven Mackintosh,censorship|children|corpse|heil hitler|suffering,http://www.imdb.com/title/tt0436364/?ref_=fn_tt_tt_1,English,2008,921
Gaspar Noé,216,161,929,488,Paz de la Huerta,Enter the Void ,45449,943,Olly Alexander,drug deal|drugs|explicit sex|love|stripper,http://www.imdb.com/title/tt1191111/?ref_=fn_tt_tt_1,English,2009,23000
Amy Heckerling,54,92,143,1000,Taylor Negron,Vamps ,7444,3086,Ivan Sergei,murder|new york city|one word title|vampire|vampire slayer,http://www.imdb.com/title/tt1545106/?ref_=fn_tt_tt_1,English,2012,0
Lasse Hallström,84,93,529,1000,Cary-Hiroyuki Tagawa,Hachi: A Dog's Tale ,155249,4453,Joan Allen,dog|human animal relationship|japanese|loyalty|waiting,http://www.imdb.com/title/tt1028532/?ref_=fn_tt_tt_1,English,2009,115000
Jérôme Salle,69,110,22,5000,Orlando Bloom,Zulu ,12817,5273,Conrad Kemp,apartheid|corpse|male nudity|murder|police officer,http://www.imdb.com/title/tt2249221/?ref_=fn_tt_tt_1,English,2013,0
Tommy Lee Jones,208,122,0,883,Barry Corbin,The Homesman ,21370,2896,Miranda Otto,abusive marriage|pastor|prison wagon|roast pig|suicide by hanging,http://www.imdb.com/title/tt2398231/?ref_=fn_tt_tt_1,English,2014,0
Jesse Vaughan,32,91,10,890,Vivica A. Fox,Juwanna Mann ,5312,3104,Kevin Pollak,basketball|dodge viper|hit in the crotch|male nudity|the star spangled banner,http://www.imdb.com/title/tt0247444/?ref_=fn_tt_tt_1,English,2002,939
,20,45,,422,Steven Van Zandt,Lilyhammer             ,19164,537,Tommy Karlsen,mafia|mob|norway|steve|van,http://www.imdb.com/title/tt1958961/?ref_=fn_tt_tt_1,English,,16000
Atom Egoyan,78,115,460,232,David Alpay,Ararat ,8624,699,Charles Aznavour,armenian|armenian genocide|customs agent|genocide|prayer,http://www.imdb.com/title/tt0273435/?ref_=fn_tt_tt_1,English,2002,824
William Bindley,21,94,4,844,Bruce Dern,Madison ,1033,3583,William Shockley,boat racing|hydroplane|loyalty|one word title|scolding,http://www.imdb.com/title/tt0206113/?ref_=fn_tt_tt_1,English,2001,282
Wayne Beach,40,93,7,1000,Mekhi Phifer,Slow Burn ,3299,4329,Fisher Stevens,district attorney|interview|murder|prosecutor|reporter,http://www.imdb.com/title/tt0376196/?ref_=fn_tt_tt_1,English,2005,191
Gérard Krawczyk,40,94,7,235,Carole Bouquet,Wasabi ,29392,303,Michel Muller,french|inheritance|japan|letter|police detective hero,http://www.imdb.com/title/tt0281364/?ref_=fn_tt_tt_1,French,2001,0
James Gunn,251,95,571,499,Dustin Milligan,Slither ,61912,1120,Tania Saulnier,alien|b movie|sex|slug|small town,http://www.imdb.com/title/tt0439815/?ref_=fn_tt_tt_1,English,2006,0
Martin Brest,94,105,102,901,Judge Reinhold,Beverly Hills Cop ,126464,3464,James Russo,drug dealer|drugs|murder|police brutality|police shootout,http://www.imdb.com/title/tt0086960/?ref_=fn_tt_tt_1,English,1984,0
Chris Columbus,102,103,0,3000,Macaulay Culkin,Home Alone ,311075,7521,Catherine O'Hara,airport|child protagonist|child swearing|christmas|home alone,http://www.imdb.com/title/tt0099785/?ref_=fn_tt_tt_1,English,1990,20000
Leonard Nimoy,21,102,12000,19000,Tom Selleck,3 Men and a Baby ,36918,21499,Steve Guttenberg,1980s|baby|heroin|package|questioned by police,http://www.imdb.com/title/tt0094137/?ref_=fn_tt_tt_1,English,1987,3000
Sydney Pollack,94,116,521,13000,Bill Murray,Tootsie ,77366,14701,Teri Garr,actor|actress|friend|love|reputation,http://www.imdb.com/title/tt0084805/?ref_=fn_tt_tt_1,English,1982,0
Tony Scott,173,110,12000,10000,Tom Cruise,Top Gun ,219171,13069,Adrian Pasdar,flying|gay subtext|machismo|male objectification|pilot,http://www.imdb.com/title/tt0092099/?ref_=fn_tt_tt_1,English,1986,19000
Ang Lee,287,120,0,103,Chen Chang,"Crouching Tiger, Hidden Dragon ",217740,129,Sihung Lung,bare midriff|china|magical realism|martial arts|sword,http://www.imdb.com/title/tt0190332/?ref_=fn_tt_tt_1,Mandarin,2000,0
Sam Mendes,176,122,0,18000,Kevin Spacey,American Beauty ,822500,19078,Ara Celi,domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness,http://www.imdb.com/title/tt0169547/?ref_=fn_tt_tt_1,English,1999,22000
Tom Hooper,479,118,0,14000,Colin Firth,The King's Speech ,503631,15732,Derek Jacobi,king|king george vi|speech|speech therapist|throne,http://www.imdb.com/title/tt1504320/?ref_=fn_tt_tt_1,English,2010,64000
Ivan Reitman,27,107,425,742,Kelly Preston,Twins ,87538,2151,Hugh O'Brian,bare chested male|brother|catholic orphanage|long lost siblings|twins,http://www.imdb.com/title/tt0096320/?ref_=fn_tt_tt_1,English,1988,0
,20,45,,460,Bex Taylor-Klaus,Scream: The TV Series             ,18058,2380,Jason Wiles,generation y|millennial generation|murder|teenage girl|throat slitting,http://www.imdb.com/title/tt3921180/?ref_=fn_tt_tt_1,English,,0
Udayan Prasad,60,102,4,17000,Kristen Stewart,The Yellow Handkerchief ,6723,30978,William Hurt,louisiana|overalls|road trip|southern u.s.|teenage boy,http://www.imdb.com/title/tt0954990/?ref_=fn_tt_tt_1,English,2008,1000
Steven Spielberg,70,154,14000,852,Oprah Winfrey,The Color Purple ,60988,2592,Dana Ivey,book strap|girl|racial discrimination|racial tension|stereotype,http://www.imdb.com/title/tt0088939/?ref_=fn_tt_tt_1,English,1985,6000
JK Youn,43,103,2,94,Nicole Dionne,Tidal Wave ,2659,213,Kyung-gu Sol,korea|lifeguard|single father|tears|tsunami,http://www.imdb.com/title/tt1153040/?ref_=fn_tt_tt_1,Korean,2009,558
Timur Bekmambetov,1,141,335,11000,Morgan Freeman,Ben-Hur ,62,13390,Moises Arias,chariot race|epic|false accusation|jerusalem|slave,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1,English,2016,0
Morten Tyldum,454,114,77,19000,Benedict Cumberbatch,The Imitation Game ,467613,20295,Allen Leech,crossword puzzle|cryptography|enigma code|gay lead character|world war two,http://www.imdb.com/title/tt2084970/?ref_=fn_tt_tt_1,English,2014,165000
Howard Zieff,25,109,6,1000,Eileen Brennan,Private Benjamin ,18140,2419,Alan Oppenheimer,camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose,http://www.imdb.com/title/tt0081375/?ref_=fn_tt_tt_1,English,1980,855
Michael Apted,46,124,150,874,Sissy Spacek,Coal Miner's Daughter ,12974,2667,Levon Helm,country music|kissing while having sex|poverty|singer|title based on song,http://www.imdb.com/title/tt0080549/?ref_=fn_tt_tt_1,English,1980,0
Thor Freudenthal,111,94,87,17000,Chloë Grace Moretz,Diary of a Wimpy Kid ,32002,20154,Rachael Harris,cheese|diary|friend|middle school|school,http://www.imdb.com/title/tt1196141/?ref_=fn_tt_tt_1,English,2010,0
Andrés Muschietti,393,100,127,1000,Javier Botet,Mama ,134869,1949,Isabelle Nélisse,aunt|children|death of sister|forest|hiding in a closet,http://www.imdb.com/title/tt2023587/?ref_=fn_tt_tt_1,English,2013,57000
John Carpenter,318,101,0,2000,Jamie Lee Curtis,Halloween ,157857,4400,P.J. Soles,halloween|masked killer|michael myers|slasher|trick or treat,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,English,1978,12000
Harold Ramis,55,98,11000,816,Beverly D'Angelo,National Lampoon's Vacation ,71183,3617,Jane Krakowski,amusement park|dog|family vacation|national lampoon series|vacation,http://www.imdb.com/title/tt0085995/?ref_=fn_tt_tt_1,English,1983,0
Jeff Tremaine,157,102,79,925,Jackson Nicoll,Bad Grandpa ,77724,1018,Grasie Mercedes,child beauty pageant|grandson|hidden camera|jackass|road trip,http://www.imdb.com/title/tt3063516/?ref_=fn_tt_tt_1,English,2013,26000
Stephen Frears,280,94,350,326,Roger Allam,The Queen ,85333,486,Alex Jennings,monarchy|prime minister|princess diana|queen|speech,http://www.imdb.com/title/tt0436697/?ref_=fn_tt_tt_1,English,2006,0
Tim Burton,109,92,13000,925,Catherine O'Hara,Beetlejuice ,189413,1953,Glenn Shadix,attic|ghost|surrealism|teenage girl|yuppie,http://www.imdb.com/title/tt0094721/?ref_=fn_tt_tt_1,English,1988,15000
Tyler Perry,41,113,0,2000,Michael Jai White,Why Did I Get Married? ,9811,6510,Lamman Rucker,marriage|overweight|psychologist|secret|work,http://www.imdb.com/title/tt0906108/?ref_=fn_tt_tt_1,English,2007,1000
Gillian Armstrong,27,115,44,23000,Christian Bale,Little Women ,36624,29370,Eric Stoltz,civil war|female protagonist|post civil war|reference to friedrich schiller|u.s. civil war,http://www.imdb.com/title/tt0110367/?ref_=fn_tt_tt_1,English,1994,0
James Watkins,462,95,43,11000,Daniel Radcliffe,The Woman in Black ,139749,11946,Jessica Raine,afterlife|baby boy|bird in a cage|ghost|reunited family,http://www.imdb.com/title/tt1596365/?ref_=fn_tt_tt_1,English,2012,29000
Simon West,152,87,165,1000,Madeline Carroll,When a Stranger Calls ,34711,2452,Brian Geraghty,babysitting|cell phone|high school|nightmare|teenager,http://www.imdb.com/title/tt0455857/?ref_=fn_tt_tt_1,English,2006,0
Shawn Levy,69,88,189,934,Frankie Muniz,Big Fat Liar ,29008,3707,Lee Majors,brunette|film producer|liar|prank|stunt,http://www.imdb.com/title/tt0265298/?ref_=fn_tt_tt_1,English,2002,896
Michael Cimino,140,183,517,22000,Robert De Niro,The Deer Hunter ,232577,34025,John Savage,escape|friend|party|pittsburgh steelers|vietnam,http://www.imdb.com/title/tt0077416/?ref_=fn_tt_tt_1,English,1978,11000
Barry Levinson,130,97,272,22000,Robert De Niro,Wag the Dog ,67604,29252,John Michael Higgins,death|election|hollywood|president|scandal,http://www.imdb.com/title/tt0120885/?ref_=fn_tt_tt_1,English,1997,12000
Jim Fall,66,94,13,925,Clayton Snyder,The Lizzie McGuire Movie ,27580,3423,Alex Borstein,best friend|roma|singer|spaghetti|teenager,http://www.imdb.com/title/tt0306841/?ref_=fn_tt_tt_1,English,2003,0
Ric Roman Waugh,238,112,29,12000,Dwayne Johnson,Snitch ,64747,15800,Nadine Velazquez,cigarette smoking|dea|drugs|inspired by true events|undercover,http://www.imdb.com/title/tt0882977/?ref_=fn_tt_tt_1,English,2013,12000
Michael Dougherty,198,98,66,3000,Adam Scott,Krampus ,29867,4567,Allison Tolman,christmas|german|holiday|krampus|santa claus,http://www.imdb.com/title/tt3850590/?ref_=fn_tt_tt_1,English,2015,27000
Robert Rodriguez,154,104,0,4000,Jordana Brewster,The Faculty ,92074,12170,Clea DuVall,alien|high school|ohio|photographer|water,http://www.imdb.com/title/tt0133751/?ref_=fn_tt_tt_1,English,1998,0
Brian Gibson,19,118,13,90,Rae'Ven Kelly,What's Love Got to Do with It ,13442,114,Dororthy Thorton,abusive husband|love|singer|tina turner|violence,http://www.imdb.com/title/tt0108551/?ref_=fn_tt_tt_1,English,1993,0
James Mangold,131,120,446,22000,Robert De Niro,Cop Land ,69576,40117,Janeane Garofalo,corruption|faked death|falling off a roof|internal affairs|nypd,http://www.imdb.com/title/tt0118887/?ref_=fn_tt_tt_1,English,1997,2000
Joel Gallen,97,99,11,11000,Chris Evans,Not Another Teen Movie ,80305,15369,Mia Kirshner,cheerleader|foreign exchange student|incestuous desire|incestuous kiss|prom,http://www.imdb.com/title/tt0277371/?ref_=fn_tt_tt_1,English,2001,0
David Ayer,355,109,453,15000,Jake Gyllenhaal,End of Watch ,181025,27788,America Ferrera,lapd|police|police officer|south central los angeles|street gang,http://www.imdb.com/title/tt1855199/?ref_=fn_tt_tt_1,English,2012,38000
Cameron Crowe,138,105,488,15000,Emma Stone,Aloha ,39782,44037,Bill Murray,box office flop|critically bashed|hawaii|one word title|written by director,http://www.imdb.com/title/tt1243974/?ref_=fn_tt_tt_1,English,2015,11000
Rob Cohen,102,106,357,23000,Paul Walker,The Skulls ,26846,26652,William Petersen,college|friend|ivy league|secret society|suicide,http://www.imdb.com/title/tt0192614/?ref_=fn_tt_tt_1,English,2000,0
James Marsh,419,123,120,13000,Eddie Redmayne,The Theory of Everything ,265507,14100,Simon McBurney,based on memoir|cambridge university|husband wife relationship|lou gehrig's disease|physicist,http://www.imdb.com/title/tt2980516/?ref_=fn_tt_tt_1,English,2014,90000
John Whitesell,37,86,14,833,Greg Grunberg,Malibu's Most Wanted ,15939,4435,Blair Underwood,los angeles california|person in car trunk|racial impersonation|south asian|street gang,http://www.imdb.com/title/tt0328099/?ref_=fn_tt_tt_1,English,2003,0
Matt Williams,78,120,18,20000,Natalie Portman,Where the Heart Is ,27044,22383,Stockard Channing,birth|oklahoma|photographer|tennessee|wal mart,http://www.imdb.com/title/tt0198021/?ref_=fn_tt_tt_1,English,2000,0
David Lean,181,227,767,607,Claude Rains,Lawrence of Arabia ,192775,1076,Jack Hawkins,arab|british military|desert|ottoman empire|t.e. lawrence,http://www.imdb.com/title/tt0056172/?ref_=fn_tt_tt_1,English,1962,11000
Rob Zombie,220,119,0,908,Scout Taylor-Compton,Halloween II ,36372,3226,Margot Kidder,halloween|hospital|michael myers|rampage|vomiting,http://www.imdb.com/title/tt1311067/?ref_=fn_tt_tt_1,English,2009,3000
Jean-Marc Vallée,349,115,212,2000,Michiel Huisman,Wild ,86664,4896,Gaby Hoffmann,female protagonist|grief|hiking|loss of mother|mother daughter relationship,http://www.imdb.com/title/tt2305051/?ref_=fn_tt_tt_1,English,2014,38000
Dennis Iliadis,241,114,29,956,Tony Goldwyn,The Last House on the Left ,67822,3861,Martha MacIsaac,kidnapping|lake|microwave oven|psychopath|woods,http://www.imdb.com/title/tt0844708/?ref_=fn_tt_tt_1,English,2009,0
Clare Kilner,103,90,6,1000,Jack Davenport,The Wedding Date ,38248,2666,Holland Taylor,chick flick|escort|male escort|wedding|wedding date,http://www.imdb.com/title/tt0372532/?ref_=fn_tt_tt_1,English,2005,0
Rick Rosenthal,151,94,28,2000,Jamie Lee Curtis,Halloween: Resurrection ,26905,5440,Bianca Kajlich,cult film|halloween|killer|michael myers|serial killer,http://www.imdb.com/title/tt0220506/?ref_=fn_tt_tt_1,English,2002,0
Louis Leterrier,344,106,255,14000,Liam Neeson,Clash of the Titans ,229687,18003,Alexa Davalos,famous line|hand to hand combat|kraken|rape|zeus,http://www.imdb.com/title/tt0800320/?ref_=fn_tt_tt_1,English,2010,15000
Rob Reiner,185,98,0,18000,Robin Wright,The Princess Bride ,294163,20060,André the Giant,fairy tale|giant|pirate|princess|true love,http://www.imdb.com/title/tt0093779/?ref_=fn_tt_tt_1,English,1987,33000
Denzel Washington,112,126,18000,18000,Denzel Washington,The Great Debaters ,47626,22745,John Heard,college|debate|student|texas|wiley college,http://www.imdb.com/title/tt0427309/?ref_=fn_tt_tt_1,English,2007,0
Nicolas Winding Refn,676,100,0,33000,Ryan Gosling,Drive ,431578,34337,Russ Tamblyn,kissing in an elevator|mythical hero|neo noir|protective male|silent protagonist,http://www.imdb.com/title/tt0780504/?ref_=fn_tt_tt_1,English,2011,81000
Sara Sugarman,74,89,10,811,Adam Garcia,Confessions of a Teenage Drama Queen ,23408,2167,Glenne Headly,band|friend|new york city|suburb|teenager,http://www.imdb.com/title/tt0361467/?ref_=fn_tt_tt_1,English,2004,810
Nicholas Hytner,65,111,13,818,Liam Aiken,The Object of My Affection ,15582,1450,Kali Rocha,baby|dancing|gay|name calling|penis slur,http://www.imdb.com/title/tt0120772/?ref_=fn_tt_tt_1,English,1998,849
Juan Carlos Fresnadillo,274,100,35,10000,Jeremy Renner,28 Weeks Later ,212167,11471,Catherine McCormack,paris france|rage|sniper|u.s. army|zombie apocalypse,http://www.imdb.com/title/tt0463854/?ref_=fn_tt_tt_1,English,2007,0
Thomas Carter,50,115,49,116,Jessie T. Usher,When the Game Stands Tall ,12596,525,Ser'Darius Blain,coach|high school football,http://www.imdb.com/title/tt2247476/?ref_=fn_tt_tt_1,English,2014,0
Wayne Wang,96,106,61,907,Cicely Tyson,Because of Winn-Dixie ,8427,3462,Eva Marie Saint,10 year old|dog|florida|girl|supermarket,http://www.imdb.com/title/tt0317132/?ref_=fn_tt_tt_1,English,2005,1000
Gina Prince-Bythewood,68,124,107,1000,Alfre Woodard,Love & Basketball ,14322,5135,Omar Epps,basketball movie|female basketball player|high school|nba|title directed by female,http://www.imdb.com/title/tt0199725/?ref_=fn_tt_tt_1,English,2000,0
George Armitage,111,107,5,893,Minnie Driver,Grosse Pointe Blank ,73347,2044,Mitchell Ryan,assassin|high school|high school reunion|reunion|suburb,http://www.imdb.com/title/tt0119229/?ref_=fn_tt_tt_1,English,1997,0
Phil Traill,128,99,3,14000,Bradley Cooper,All About Steve ,33088,16461,Beth Grant,blind date|crossword puzzle|eccentric|fall|mine shaft,http://www.imdb.com/title/tt0881891/?ref_=fn_tt_tt_1,English,2009,0
Joe Berlinger,160,90,31,193,Kim Director,Book of Shadows: Blair Witch 2 ,28964,608,Kurt Loder,convenience store|digit in title|punctuation in title|violence|witch,http://www.imdb.com/title/tt0229260/?ref_=fn_tt_tt_1,English,2000,949
Andrew Fleming,93,101,26,838,Christine Taylor,The Craft ,57140,1812,Brenda Strong,coven|occult|outcast|spell|witch,http://www.imdb.com/title/tt0115963/?ref_=fn_tt_tt_1,English,1996,6000
Woody Allen,278,119,11000,19000,Scarlett Johansson,Match Point ,166269,20391,Penelope Wilton,extramarital affair|infidelity|irony of fate|surprise ending|tennis,http://www.imdb.com/title/tt0416320/?ref_=fn_tt_tt_1,English,2005,0
Elizabeth Allen Rosenbaum,81,103,20,512,Sierra McCormick,Ramona and Beezus ,13874,1002,Jason Spevack,aunt|cat|death of pet|girl|no opening credits,http://www.imdb.com/title/tt0493949/?ref_=fn_tt_tt_1,English,2010,0
James Ivory,58,134,133,12000,Anthony Hopkins,The Remains of the Day ,45703,12749,Ben Chaplin,butler|housekeeper|manor|servant|service,http://www.imdb.com/title/tt0107943/?ref_=fn_tt_tt_1,English,1993,0
Paul Thomas Anderson,153,155,0,3000,Don Cheadle,Boogie Nights ,189032,3677,Nina Hartley,1970s|adult entertainment industry|nightclub|porn industry|san fernando valley california,http://www.imdb.com/title/tt0118749/?ref_=fn_tt_tt_1,English,1997,0
Robert Harmon,25,94,11,1000,Kieran Culkin,Nowhere to Run ,17074,2210,Joss Ackland,business|escaped convict|farm|motorcycle|widow,http://www.imdb.com/title/tt0107711/?ref_=fn_tt_tt_1,English,1993,466
Michael Mayer,46,95,15,1000,Alison Lohman,Flicka ,6095,3845,Tim McGraw,father son relationship|horse|horse ranch|ranch|wild mustang,http://www.imdb.com/title/tt0434215/?ref_=fn_tt_tt_1,English,2006,1000
Martin Weisz,161,89,7,919,Jeff Kober,The Hills Have Eyes II ,49721,2559,Jacob Vargas,desert|fight|hill|murder|mutant,http://www.imdb.com/title/tt0800069/?ref_=fn_tt_tt_1,English,2007,0
John Ottman,108,97,83,912,Loretta Devine,Urban Legends: Final Cut ,13048,2682,Jacinda Barrett,film set|movie set|sequel|slow motion|urban legend,http://www.imdb.com/title/tt0192731/?ref_=fn_tt_tt_1,English,2000,243
Jay Russell,69,90,13,882,William Hurt,Tuck Everlasting ,17983,2661,Jonathan Jackson,fountain of youth|immortality|secret|woods|young man,http://www.imdb.com/title/tt0283084/?ref_=fn_tt_tt_1,English,2002,0
John Bonito,78,92,8,472,Kelly Carlson,The Marine ,27486,1045,Drew Powell,beating|marine|muscleman|tied up|tough guy,http://www.imdb.com/title/tt0419946/?ref_=fn_tt_tt_1,English,2006,0
Peter Atencio,129,100,10,826,Nia Long,Keanu ,15385,2958,Keegan-Michael Key,car chase|gangsta|gun fight|hitman|kitten,http://www.imdb.com/title/tt4139124/?ref_=fn_tt_tt_1,English,2016,0
Shana Feste,135,117,19,3000,Leighton Meester,Country Strong ,14814,4204,Tim McGraw,country music|panties|pink panties|relapse|songwriter,http://www.imdb.com/title/tt1555064/?ref_=fn_tt_tt_1,English,2010,0
David Nutter,96,84,119,989,Bruce Greenwood,Disturbing Behavior ,17328,4660,Katharine Isabelle,blue ribbon|high school|jacket|jock|yogurt,http://www.imdb.com/title/tt0134619/?ref_=fn_tt_tt_1,English,1998,673
Derek Cianfrance,417,140,310,33000,Ryan Gosling,The Place Beyond the Pines ,187170,34413,Angelo Anthony Pizza,bank|carnival|motorcycle|police|rookie cop,http://www.imdb.com/title/tt1817273/?ref_=fn_tt_tt_1,English,2012,47000
Roger Donaldson,172,108,79,775,Luke Bracey,The November Man ,50056,3033,Will Patton,critically bashed|premarital sex|sex scene|sex standing up|stripper,http://www.imdb.com/title/tt2402157/?ref_=fn_tt_tt_1,English,2014,0
Stephan Elliott,88,109,11,471,Jason Priestley,Eye of the Beholder ,13320,1069,Geneviève Bujold,chicago illinois|false identity|femme fatale|new york city|spying,http://www.imdb.com/title/tt0120662/?ref_=fn_tt_tt_1,English,1999,327
Kathryn Bigelow,388,131,0,10000,Jeremy Renner,The Hurt Locker ,332065,11114,Brian Geraghty,army|bomb|dangerous job|death|iraq,http://www.imdb.com/title/tt0887912/?ref_=fn_tt_tt_1,English,2008,16000
Mark L. Lester,45,114,73,695,Heather Locklear,Firestarter ,22797,3444,David Keith,captain|experiment|fire|psychic|secret government agency,http://www.imdb.com/title/tt0087262/?ref_=fn_tt_tt_1,English,1984,0
Andrew Dominik,414,97,181,11000,Brad Pitt,Killing Them Softly ,111625,14025,Ben Mendelsohn,exploding car|hit by a car|poker game|punched in the face|shot to death,http://www.imdb.com/title/tt1764234/?ref_=fn_tt_tt_1,English,2012,20000
Anton Corbijn,291,122,210,22000,Philip Seymour Hoffman,A Most Wanted Man ,57210,22574,Homayoun Ershadi,intelligence|intelligence agency|secret service|surveillance camera|war on terror,http://www.imdb.com/title/tt1972571/?ref_=fn_tt_tt_1,English,2014,13000
Tom Green,97,87,374,826,Rip Torn,Freddy Got Fingered ,39788,2689,Eddie Kaye Thomas,animator|bamboo cane|cartoonist|sausage|slacker,http://www.imdb.com/title/tt0240515/?ref_=fn_tt_tt_1,English,2001,0
