director_facebook_likes,actor_2_name,actor_1_facebook_likes,movie_title,num_voted_users,facenumber_in_poster,plot_keywords,language,actor_2_facebook_likes
98,Richard T. Jones,472,Hot Pursuit ,34948,2,danger|drug cartel|female cop|female police officer|fugitive,English,328
159,Lucy Gordon,3000,The Four Feathers ,28130,2,male nudity|naked dead man|nudity|sex|whipping,English,61
138,Clifton Collins Jr.,26000,Parker ,90046,0,action hero|disguise|hospital|real estate agent|thief,English,968
12,Jon Favreau,4000,Wimbledon ,51842,1,career|player|tennis|tennis player|wimbledon,English,4000
16,Brooke Shields,3000,Furry Vengeance ,12399,1,animal|bear|land developer|real estate|real estate developer,English,1000
0,Cariba Heine,465,Bait ,11482,1,great white shark|shark|supermarket|swimming|tsunami,English,351
170,Alun Armstrong,14000,Krull ,23351,1,cyclops|fortress|monster|planet|rescue,English,192
0,Tom Cruise,11000,Lions for Lambs ,41170,3,afghanistan|professor|reporter|student|university,English,10000
468,Dann Florek,605,Flight of the Intruder ,4795,3,bombardier|pilot|u.s. navy|vietnam|vietnam war,English,367
52,Nat Faxon,553,Walk Hard: The Dewey Cox Story ,55630,1,drugs|elvis|musician|singer|the beatles,English,214
529,Scott Glenn,18000,The Shipping News ,28542,3,employee employer relationship|husband wife relationship|newspaper|ship|wake,English,826
10,Ronny Cox,694,American Outlaws ,12077,2,legend|old west|outlaw|railroad|stealing from the rich,English,605
212,Jim Broadbent,2000,The Young Victoria ,44931,1,19th century|courtship|female protagonist|princess|queen of england,English,1000
57,Bashar Rahal,1000,Whiteout ,31918,1,antarctica|geologist|investigation|u.s. marshal|winter,English,603
0,Tye Sheridan,11000,The Tree of Life ,136367,0,1950s|children|ice cube|texas|waco texas,English,1000
85,Lela Rochon,635,Knock Off ,11512,0,cia|hong kong|market|undercover|van,English,316
453,Martin Donovan,1000,Sabotage ,47498,3,dea|drug cartel|kicked in the crotch|strip club|tough girl,English,206
241,Mark Addy,13000,The Order ,14962,1,death|exorcism|heaven|priest|sin eater,English,891
189,Wayne Knight,3000,Punisher: War Zone ,48999,1,gun fu|plastic surgery|psychopath|undercover|vigilante,English,967
12,Rip Torn,2000,Zoom ,15015,5,bruise|female hero|super strength|superhero|teenage superhero,English,826
0,Soleyman Pierini,23000,The Walk ,77394,0,1970s|based on true story|new york city|skyscraper|tightrope walker,English,22
31,Lee Arenberg,690,Warriors of Virtue ,2189,0,anthropomorphic animal|football|kangaroo|sword and sorcery|water boy,English,457
0,Albert Finney,883,A Good Year ,70698,1,based on novel|inheritance|provence|uncle|wine,English,883
,Indira Varma,2000,Luther             ,70568,1,murder|police|psychopath,English,729
503,Thomas Ian Nicholas,2000,Radio Flyer ,10410,3,father son relationship|physical abuse|radio flyer|stepfather|stepfather stepson relationship,English,864
138,Jesse Borrego,848,"Blood In, Blood Out ",23181,2,1970s|1980s|barrio|gang war|mexican,English,674
55,Tom Wilkinson,1000,Smilla's Sense of Snow ,11747,1,boy|greenland|neighbor|roof|snow,English,1000
0,Gregg Henry,548,Femme Fatale ,28584,1,ambassador|cannes|identity|suicide|thief,English,298
278,Rod Steiger,695,Lion of the Desert ,9852,0,arab|general|libya|muslim|mussolini,English,279
22,François Cluzet,837,The Horseman on the Roof ,4885,1,austrian|breasts|cholera|police|provence,French,541
0,Jeffrey Dover,3,Ride with the Devil ,11101,0,bushwhacker|friend|honor|kansas|raid,English,2
0,Hanaa Bouchaib,30,Biutiful ,68885,0,children|chinese|illegal immigrant|immigrant|male ponytail,Spanish,9
596,Alice Englert,621,The Lovers ,2138,3,1770s|british india|great barrier reef|india|ring,English,525
18,Sam Shepard,4000,Bandidas ,28848,2,bank|cleavage|farmer|female gunfighter|mexico,English,820
194,Aisha Tyler,970,Black Water Transit ,219,0,based on novel,English,856
47,Aml Ameen,988,The Maze Runner ,310903,0,based on novel|concrete wall|maze|open ended|teenage boy,English,149
31,June Diane Raphael,1000,Unfinished Business ,23072,2,business trip|company|glory hole|male frontal nudity|male nudity,English,249
17000,Geraldine Chaplin,554,The Age of Innocence ,36267,3,19th century|countess|lawyer|love|new york,English,382
0,Ellen Burstyn,20000,The Fountain ,190990,0,eternity|love|mayan|tree|tree of life,English,1000
3,Kevin J. O'Connor,372,Chill Factor ,8367,0,colonel|ice|ice cream truck|military|u.s. army,English,248
165,Mark Valley,12000,Stolen ,36914,1,bank|money|presumed dead|rescue|thief,English,774
6000,Yûki Amami,6,Ponyo ,85589,0,children adventure|magical realism|sea goddess|small town|tsunami,Japanese,3
88,Melissa Benoist,989,The Longest Ride ,50041,0,1940s|art collector|bull riding|north carolina|student,English,970
7,Charlize Theron,40000,The Astronaut's Wife ,45497,0,astronaut|electrocuted in bathtub|mission|pilot|sister,English,9000
46,Eva Marie Saint,818,I Dreamed of Africa ,3740,1,dream|italian|kenya|ranch|snake,English,649
125,Dennis Quaid,18000,Playing for Keeps ,23916,5,coach|soccer|soccer coach|soccer mom|soccer team,English,2000
56,Fana Mokoena,113,Mandela: Long Walk to Freedom ,21223,1,africa|apartheid|nelson mandela|president|resistance,English,98
631,Warren Beatty,635,Reds ,16255,0,cold war|cold war era|interview|russia|written and directed by cast member,English,631
0,Demi Moore,10000,A Few Good Men ,181879,0,cuba|guantanamo|lance corporal|lawyer|murder,English,2000
43,Bill Duke,2000,Exit Wounds ,27580,0,corrupt cop|drug dealer|drugs|heroin|vice president,English,1000
67,Cedric the Entertainer,826,Big Momma's House ,66941,1,disguise|fbi|female impersonation|gender disguise|obesity,English,436
0,Brianne Brozey,324,Thunder and the House of Magic ,4265,0,,English,15
21,Veronika Vernadskaya,614,The Darkest Hour ,49312,0,alien|aurora borealis|critically bashed|killing an animal|nightclub,English,150
35,Stephen Boss,3000,Step Up Revolution ,45394,0,3 dimensional|dance|dancer|dancing|flash mob,English,594
160,Kenan Thompson,852,Snakes on a Plane ,115649,0,baby rattle|famous line|murder|passenger|snake,English,521
10,Joseph Sikora,18000,The Watcher ,22220,0,fbi|murder|scene of the crime|serial killer|therapy,English,223
36,Marco St. John,669,The Punisher ,124242,1,death|family reunion|fbi|fbi agent|vigilante,English,403
41,Kuno Becker,722,Goal! The Dream Begins ,50919,0,barrio|border|newcastle united|party|soccer,English,580
132,Reggie Lee,26000,Safe ,83097,2,bodyguard|gang war|russian|russian mafia|triad,English,828
179,Kurt Fuller,11000,Pushing Tin ,24826,3,air traffic control|air traffic controller|female bodybuilder|job|marriage,English,617
37,Ian McDiarmid,11000,Star Wars: Episode VI - Return of the Jedi ,681857,0,death star|emperor|empire|princess|rebel,English,1000
197,Jason Cope,165,Doomsday ,62770,1,cure|quarantine|scotland|virus|wall,English,107
335,David Kross,14000,The Reader ,189812,0,love|reading|teaching oneself to read|trial|war crime,English,388
136,Lauren Ambrose,1000,Wanderlust ,62198,2,childbirth|female frontal nudity|nude protest|nudist|skinny dipping,English,945
4000,Zooey Deschanel,22000,Elf ,147597,1,baby|christmas spirit|elf|new york city|north pole,English,11000
226,Kyra Sedgwick,3000,Phenomenon ,63839,1,brain tumor|genius|psionic power|telekinesis|terminal illness,English,941
32,Nichelle Nichols,773,Snow Dogs ,20219,1,dentist|dog|inheritance|race|sled dog,English,664
503,Alfre Woodard,13000,Scrooged ,61396,1,christmas|compassion|executive|ghost|redemption,English,1000
100,Moises Arias,678,Nacho Libre ,65551,1,lucha libre|monastery|nun|orphan|wrestling,English,635
176,Wendi McLendon-Covey,722,Bridesmaids ,218711,6,best friend|failure|food|job|partial female nudity,English,655
133,James Franco,17000,This Is the End ,310540,6,apocalypse|celebrity|ensemble cast|party|rapture,English,11000
9,Enrico Colantoni,826,Stigmata ,54390,0,catholic|priest|stigmata|vatican|wound,English,724
88,Charlize Theron,22000,Men of Honor ,89424,0,african american|amputee|navy|racial discrimination|racism,English,9000
34,Hayden Christensen,23000,Takers ,46961,5,armored car|bank|falling out among thieves|heist|planning,English,4000
16,Robert De Niro,49000,The Big Wedding ,37493,8,adoption|divorce|family relationships|farce|wedding,English,22000
14,Tony Curran,918,"Big Mommas: Like Father, Like Son ",19671,2,fbi agent|murder|performing arts school|scene during end credits|undercover,English,845
0,Cas Anvar,15000,Source Code ,379462,3,bomber|time|time loop|train|trapped in a time loop,English,491
155,Danny Nucci,344,Alive ,38949,3,andes mountains|crash|death|starvation|stranded,English,242
541,Virginia Madsen,8000,The Number 23 ,164608,1,destiny|detective|imagination|murder|sex scene,English,912
0,Julian Richings,716,The Young and Prodigious T.S. Spivet ,11347,1,3 dimensional|cartographer|punctuation in title|smithsonian|train,English,648
14000,John Belushi,16000,1941 ,25193,5,california|captain|cult film|pearl harbor|submarine,English,1000
61,Freddy Rodríguez,649,Dreamer: Inspired by a True Story ,10018,1,colon in title|horse|kentucky|overalls|six word title,English,579
0,Kyle Schmid,10000,A History of Violence ,186606,1,bar|crotch shot|female full frontal nudity|female pubic hair|robbery,English,917
255,Jason Flemyng,26000,Transporter 2 ,156267,1,driver|french|kidnapping|police|sequel,English,1000
0,Pat Hingle,29000,The Quick and the Dead ,69197,0,authority figure as villian|gun duel|saved from hanging|showdown|street shootout,English,165
29,Mike Doyle,638,Laws of Attraction ,18771,1,date|divorce|divorce lawyer|drinking|lawyer,English,160
17000,Marc Anthony,12000,Bringing Out the Dead ,53028,0,ambulance|ghost|hell|paramedic|rescue,English,368
238,RZA,1000,Repo Men ,87768,0,artificial organ|best friend|enforcer|future|near future,English,561
26,Aimee Garcia,889,Dragon Wars: D-War ,21506,0,antique shop|asian dragon|dragon|korean|reporter,English,618
278,Nancy Travis,3000,Bogus ,5176,3,box office flop|circus|imaginary friend|magician|one word title,English,359
35,Olivia Wilde,12000,The Incredible Burt Wonderstone ,60596,4,magic|magic kit|magician|stage magician|vegas,English,10000
10,Frank Welker,3000,Cats Don't Dance ,5600,0,animal|cat|child star|hollywood|star,English,2000
0,Vanessa Redgrave,13000,Cradle Will Rock ,8039,2,1930s|depression|play|theatre|union,English,898
0,Beau Bridges,845,The Good German ,21481,2,american|driver|journalist|russian|secret,English,552
0,Rollo Weeks,330,George and the Dragon ,3088,4,dragon|knight|love|priest|princess,English,239
0,Marlon Brando,11000,Apocalypse Now ,450676,1,army|green beret|insanity|jungle|vietnam,English,10000
8,Kelli Garner,839,Going the Distance ,50523,0,bar|job|long distance relationship|male pubic hair|pubic hair,English,730
65,Olympia Dukakis,975,Mr. Holland's Opus ,30230,1,1990s|high school|high school teacher|teacher inspires students|teaching,English,345
34,Jordi Mollà,10000,Criminal ,17319,2,cia|husband wife relationship|memory|tied up while barefoot|violence,English,877
521,Michael Gough,11000,Out of Africa ,52339,0,africa|hunter|love|marriage|plantation,English,920
0,Bruce Greenwood,18000,Flight ,264047,0,airline|flight|flight attendant|lawyer|pilot,English,984
43,Lois Chiles,244,Moonraker ,69534,2,astronaut|dog|official james bond series|space shuttle|space shuttle transported on a 747,English,202
0,Tom Wilkinson,13000,The Grand Budapest Hotel ,475518,0,first person narration|hotel|lobby boy|mentor protege relationship|painting,English,1000
96,Mika Boorem,12000,Hearts in Atlantis ,30339,1,based on multiple works|bully|kiss|memory|mysterious stranger,English,495
155,Peter Jason,687,Arachnophobia ,50389,0,arachnophobia|death|doctor|small town|spider,English,151
40,Andre Braugher,2000,Frequency ,81866,0,altering history|alternate history|amateur radio|ham radio|paranormal phenomena,English,702
176,Kate McKinnon,783,Ghostbusters ,69790,4,ghost|ghostbuster|ghostbusters|male objectification|reboot,English,370
0,Norman Reedus,26000,Vacation ,66123,4,amusement park|dysfunctional family|road trip|sequel|vacation,English,12000
188,Rene Russo,848,Get Shorty ,62986,4,debt|loan shark|mobster|movie business|producer,English,808
252,Chita Rivera,539,Chicago ,172080,0,fame|jail|jazz age|murder|vaudeville,English,151
221,Adam Sandler,12000,Big Daddy ,161858,0,homosexual|law|law school|responsibility|vomiting,English,11000
6,Shannon Elizabeth,3000,American Pie 2 ,200260,0,beach|beach house|college|party|student,English,1000
487,John Ratzenberger,15000,Toy Story ,623757,1,claw crane|cowboy|jealousy|rivalry|toy,English,1000
101,Alan Ruck,18000,Speed ,260981,0,bomb|bus|elevator|explosive|rescue,English,946
23,Lucas Bryant,17000,The Vow ,145852,0,car accident|life support|memory loss|trauma|voice recording,English,359
12,Brendan Fraser,11000,Extraordinary Measures ,14281,2,cure|disease|imagination|race against time|venture capital,English,3000
132,Denzel Washington,33000,Remember the Titans ,160776,1,american football|based on true story|head coach|high school|school,English,18000
323,Jeffrey Jones,826,The Hunt for Red October ,143696,1,analyst|defection|navy|soviet submarine|submarine,English,692
304,David Oyelowo,15000,Lee Daniels' The Butler ,87665,0,butler|civil rights|hotel|president|white house,English,1000
43,Stephen Root,989,Dodgeball: A True Underdog Story ,185338,0,dodgeball|gym|las vegas|pirate|ups,English,939
188,Raul Julia,1000,The Addams Family ,96607,0,accountant|loan shark|macabre|uncle|uncle fester,English,1000
176,Bob Gunton,531,Ace Ventura: When Nature Calls ,160321,0,africa|bat|hawaiian shirt|pregnancy|pregnant,English,461
0,Hector Elizondo,11000,The Princess Diaries ,94049,2,cinderella story|fish out of water|makeover|manners|princess,English,995
37,Elizabeth Berkley,944,The First Wives Club ,31817,3,cult film|female therapist|revenge|revenge motive|therapy session,English,893
21000,Brad Pitt,11000,Se7en ,1023511,0,detective|police partner|serial killer|serial murder|seven deadly sins,English,11000
662,Jed Brophy,2000,District 9 ,531737,0,alien|ghetto|prawn|refugee|refugee camp,English,433
47,Bill Fagerbakke,19000,The SpongeBob SquarePants Movie ,58906,0,based on tv series|crown|dream|king neptune|plankton,English,542
16000,Spencer Treat Clark,616,Mystic River ,338415,0,ballistics|detective|friend|gun|sexual abuse,English,541
16000,Morgan Freeman,16000,Million Dollar Baby ,482064,1,boxing|boxing trainer|death|suicide attempt|women boxing,English,11000
11000,Chazz Palminteri,22000,Analyze This ,123940,2,analyst|mafia|patient|psychiatrist|wedding,English,979
415,Kevin Connolly,33000,The Notebook ,396396,0,class differences|letter|nursing home|second chance|summer love,English,638
98,Bern Cohen,2000,27 Dresses ,124501,1,boss|bridesmaid|friend|love|wedding,English,805
23,Vanessa Williams,1000,Hannah Montana: The Movie ,31760,2,farm|female protagonist|hannah montana|horseback riding|overalls,English,1000
0,Casey Kasem,971,Rugrats in Paris: The Movie ,8146,0,amusement park|baby|france|paris france|villain,English,844
0,Blythe Danner,769,The Prince of Tides ,12549,1,new york|psychiatrist|shrimper|south carolina|twins,English,713
380,Brad Pitt,12000,Legends of the Fall ,112175,2,epic|heart|killing an animal|passion|usa,English,11000
655,Anna Kendrick,24000,Up in the Air ,270238,0,airport|business trip|downsizing|on the road|travel,English,10000
729,June Squibb,442,About Schmidt ,107557,1,highway travel|on the road|retirement|road movie|wedding,English,344
129,Vincent Leclerc,303,Warm Bodies ,184641,0,fight|memory|teenager|undead|zombie,English,18
0,Bruce Willis,23000,Looper ,428916,0,chase|future|surprise ending|time loop|time travel,English,13000
129,Mark Addy,979,Down to Earth ,19079,1,angel|butler|heaven|manhattan new york city|reincarnation,English,891
108,Christine Cavanaugh,405,Babe ,94435,0,dog|farmer|pig|sheep|sheepdog,English,368
64,Steve Carell,11000,Hope Springs ,34258,2,couple|intimacy|marriage|marriage counseling|middle age couple,English,7000
89,Jack McBrayer,15000,Forgetting Sarah Marshall ,217507,1,breakup|hawaii|hotel|male full frontal nudity|resort,English,975
,Aimee Teegarden,971,Friday Night Lights             ,42746,1,football|football coach|high school|small town|texas,English,741
309,Tony Nappo,1000,Four Brothers ,109894,3,bare butt|corrupt police|four brothers|funeral|murder,English,654
5,Amy Poehler,2000,Baby Mama ,34079,2,baby|book|cartoon on tv|female protagonist|male anorexia,English,1000
0,Harry Connick Jr.,970,Hope Floats ,18973,1,best friend|friend|mother daughter relationship|small town|texas,English,631
56,Steve Howey,11000,Bride Wars ,79094,2,best friend|dyed hair|fake tan|rivalry|wedding,English,826
65,Scott Adsit,506,Without a Paddle ,37479,3,death|friend|hijacker|river|tree house,English,316
56,Judy Greer,3000,13 Going on 30 ,122187,1,13 year old|13th birthday|30 year old|wish|year 1987,English,2000
11000,Audrey Fleurot,617,Midnight in Paris ,301149,1,1920s|golden age|midnight|paris france|time travel romance,English,204
7,Brendan Fraser,14000,The Nut Job ,19547,0,bank robbery|heist|raccoon|rat|squirrel,English,3000
47,Ethan Suplee,40000,Blow ,198066,1,1960s|1970s|california|cocaine|wealth,English,1000
43,John Savage,18000,Message in a Bottle ,28942,0,beach|bottle|jogging|letter|love,English,652
0,Nichelle Nichols,12000,Star Trek V: The Final Frontier ,43743,1,captain|half brother|klingon|planet|vulcan,English,664
13,Robert Forster,1000,Like Mike ,15074,7,basketball|lightning|nba|orphanage|shoe,English,889
88,Fred Ward,3000,Naked Gun 33 1/3: The Final Insult ,76850,5,retirement|spoof|terrorist|transsexual|undercover,English,459
46,Alison Doody,1000,A View to a Kill ,68565,2,computer|earthquake|microchip|official james bond series|silicon valley,English,439
9,Geraldine McEwan,567,The Curse of the Were-Rabbit ,98160,0,competition|giant vegetable|pest control|stop motion animation|vegetable,English,269
98,Harry Connick Jr.,18000,P.S. I Love You ,167967,1,birthday|friendship|hairy chest|letter|widow,English,631
7,Frankie Muniz,984,Racing Stripes ,12570,0,farm|horse|kentucky|racehorse|zebra,English,934
456,Alfie Allen,19000,Atonement ,192930,1,death of sister|dying|loss of virginity|septicemia|sex,English,1000
56,Marcia DeBonis,898,Letters to Juliet ,74630,1,chick flick|female protagonist|italian stereotype|man in a swimsuit|verona italy,English,60
0,Ken Takakura,939,Black Rain ,39306,2,counterfeit|detective|japan|police chase|yakuza,English,255
101,Larry David,971,The Three Stooges ,25484,0,mule|nun|orphanage|tennis court|the three stooges,English,860
13000,Christopher Lee,40000,Corpse Bride ,188785,1,arranged marriage|bride|corpse|groom|woods,English,16000
0,Austin Nichols,696,Glory Road ,34910,1,coach|college basketball|national championship|ncaa|texas,English,663
777,Bernardo Saracino,455,Sicario ,196217,2,critically acclaimed|drug cartel|juarez mexico|u.s. mexico border|war on drugs,English,221
845,50 Cent,15000,Southpaw ,147128,0,boxer|boxing training|death of wife|male in shower|rage,English,1000
