actor_3_facebook_likes,gross,movie_title,cast_total_facebook_likes,language,country,title_year,imdb_score,aspect_ratio
444,562059,Poolhall Junkies ,3130,English,USA,2002,7.0,1.85
687,399793,The Loss of Sexual Innocence ,4343,English,USA,1999,5.4,1.78
226,,Holy Motors ,1298,French,France,2012,7.1,1.85
221,371897,Joe ,13607,English,USA,2013,6.9,2.35
159,302204,Shooting Fish ,975,English,UK,1997,6.6,2.35
195,354704,Prison ,11083,English,USA,1987,5.9,1.85
209,265107,Psycho Beach Party ,2282,English,Australia,2000,6.3,1.85
428,185577,The Big Tease ,2805,English,UK,1999,6.3,1.85
69,100412,"Buen Día, Ramón ",824,German,Mexico,2013,7.7,2.35
67,58214,Trust ,916,English,USA,2010,7.0,2.35
70,75078,An Everlasting Piece ,1403,English,USA,2000,6.3,1.85
15,64359,Among Giants ,643,English,UK,1998,5.9,
748,317125,Adore ,25269,English,Australia,2013,6.2,2.35
476,,The Velocity of Gary ,5796,English,USA,1998,5.0,2.35
9,146402,Mondays in the Sun ,387,Spanish,Spain,2002,7.7,1.85
65,18469,Stake Land ,1038,English,USA,2010,6.5,2.35
218,,Sonny with a Chance             ,915,English,USA,,6.1,1.33
599,12836,The Last Time I Committed Suicide ,20135,English,USA,1997,5.8,1.85
9,20262,Futuro Beach ,629,Portuguese,Brazil,2014,6.1,2.35
2000,,Another Happy Day ,10984,English,USA,2011,6.0,2.35
641,,A Lonely Place to Die ,2631,English,UK,2011,6.3,2.35
150,,Nothing ,1298,English,Canada,2003,6.3,2.35
22,,The Geographer Drank His Globe Away ,183,Russian,Russia,2013,7.5,
69,,1776 ,1541,English,USA,1972,7.6,2.35
5,4063,Inescapable ,242,English,Canada,2012,5.2,2.35
4,,Hell's Angels ,457,English,USA,1930,7.8,1.2
183,,Purple Violets ,1585,English,USA,2007,6.6,1.85
359,,The Veil ,2651,English,USA,2016,4.7,2.35
35,,The Loved Ones ,644,English,Australia,2009,6.7,2.35
104,,No Vacancy ,609,English,USA,2012,4.2,
271,,How to Fall in Love ,1932,English,USA,2012,6.3,1.78
111,,The Perfect Wave ,1150,English,South Africa,2014,4.7,
635,,Ben-Hur ,13391,English,USA,2016,6.0,2.35
94,,A Man for All Seasons ,1238,English,UK,1966,7.9,1.66
682,,Network ,5987,English,USA,1976,8.1,1.85
248,198655278,Gone with the Wind ,1862,English,USA,1939,8.2,1.37
196,143653,Desert Dancer ,1281,English,UK,2014,6.0,2.35
288,14873,Major Dundee ,2888,English,USA,1965,6.8,2.35
601,,Down for Life ,3229,English,USA,2009,7.3,1.85
83,8000000,Annie Get Your Gun ,731,English,USA,1950,7.0,1.37
106,304137,Four Lions ,1269,English,UK,2010,7.3,1.85
24,,House of Sand ,222,Portuguese,Brazil,2005,7.5,2.35
388,37606,Defendor ,2658,English,Canada,2009,6.8,2.35
48,2956000,The Pirate ,282,English,USA,1948,7.1,1.37
64,19959,The Good Heart ,298,English,Iceland,2009,6.9,2.35
480,2706659,The History Boys ,5977,English,UK,2006,6.9,1.85
767,61094903,Unknown ,17151,English,UK,2011,6.9,2.35
395,,M*A*S*H             ,2195,English,USA,,8.4,4.0
77,,Midnight Cowboy ,465,English,USA,1969,7.9,1.85
121,45857453,The Full Monty ,2323,English,UK,1997,7.2,1.85
318,83400000,Airplane! ,2726,English,USA,1980,7.8,1.85
6,,Chain of Command ,2886,English,USA,2015,3.5,1.33
624,27900000,Friday ,3455,English,USA,1995,7.3,1.85
556,27900000,Menace II Society ,3036,English,USA,1993,7.5,1.85
496,,Empire             ,4337,English,USA,,7.8,16.0
178,14000000,Creepshow 2 ,3617,English,USA,1987,6.0,1.85
242,,The Ballad of Cable Hogue ,1970,English,USA,1970,7.3,1.85
188,,In Cold Blood ,970,English,USA,1967,8.0,2.35
75,,The Nun's Story ,646,English,USA,1959,7.6,1.78
367,,Harper ,2402,English,USA,1966,7.0,2.35
118,,Frenzy ,771,English,UK,1972,7.5,1.85
159,25138292,The Witch ,1122,English,USA,2015,6.8,1.66
78,10305534,I Got the Hook Up ,987,English,USA,1998,3.9,1.85
111,9449219,She's the One ,995,English,USA,1996,6.1,1.85
248,6390032,Gods and Monsters ,4238,English,USA,1998,7.5,2.35
50,20167424,The Secret in Their Eyes ,1044,Spanish,Argentina,2009,8.2,2.35
83,,Day of the Dead ,1592,English,USA,1985,7.2,1.85
108,,Train ,836,English,USA,2008,4.8,1.85
199,5923044,Evil Dead II ,1347,English,USA,1987,7.8,1.85
542,3293258,Pootie Tang ,2238,English,USA,2001,5.2,1.85
689,,Sharknado ,3075,English,USA,2013,3.3,1.78
10,886410,La otra conquista ,222,Spanish,Mexico,1998,6.8,1.85
4,252652,Trollhunter ,44,Norwegian,Norway,2010,7.0,1.85
681,220234,Ira & Abby ,3574,English,USA,2006,6.5,1.85
536,34350553,The Watch ,2486,English,USA,2012,5.7,2.35
405,101228,Winter Passing ,20009,English,USA,2005,6.4,1.85
660,96793,D.E.B.S. ,6380,English,USA,2004,5.3,2.35
131,123777,The Masked Saint ,1043,English,Canada,2016,4.7,1.85
31,,The Betrayed ,668,English,USA,2008,6.1,1.85
467,,Taxman ,2406,English,USA,1998,5.5,1.37
119,,The Secret             ,1393,English,UK,,7.3,
460,,2:13 ,2307,English,USA,2009,4.8,2.35
739,,"Batman: The Dark Knight Returns, Part 2 ",5526,English,USA,2013,8.4,
0,29233,Time to Choose ,24,English,USA,2015,7.0,
50,,In the Name of the King: The Last Job ,854,English,Canada,2014,3.3,1.78
597,,Wicked Blood ,3854,English,USA,2014,5.4,1.85
322,,Dawn Patrol ,2497,English,,2014,4.8,2.35
37,,Lords of London ,1183,English,UK,2014,3.1,2.35
605,,High Anxiety ,2861,English,USA,1977,6.7,1.85
34,77413017,March of the Penguins ,11218,French,France,2005,7.6,1.85
969,5354039,Margin Call ,22834,English,USA,2011,7.1,1.85
43,,August ,320,English,USA,2011,6.1,2.35
539,2926565,Choke ,3608,English,USA,2008,6.5,1.66
535,13092000,Whiplash ,26495,English,USA,2014,8.5,2.4
40,7563397,City of God ,1211,Portuguese,Brazil,2002,8.7,1.85
78,104257,Human Traffic ,1430,English,UK,1999,7.1,1.85
80,,Day One ,1011,English,USA,2012,6.6,
303,17311,The Dead Girl ,11860,English,USA,2006,6.7,1.85
26,610968,The Hunt ,216,Danish,Denmark,2012,8.3,2.35
378,,A Christmas Story ,2076,English,USA,1983,8.1,1.85
377,8108247,Bella ,2747,English,USA,2006,7.4,1.85
129,,Class of 1984 ,1105,English,Canada,1982,6.6,1.85
491,,The Opposite Sex ,3717,English,USA,2014,4.5,16.0
405,7680,Dreaming of Joseph Lees ,2020,English,USA,1999,6.4,
0,3766595,The Class ,17,French,France,2008,7.5,2.35
449,,Rosemary's Baby ,2997,English,USA,1968,8.0,1.85
332,,The Man Who Shot Liberty Valance ,2693,English,USA,1962,8.1,1.85
194,2277396,Adam ,1936,English,USA,2009,7.2,2.35
6,6517198,Maria Full of Grace ,308,Spanish,Colombia,2004,7.5,1.85
157,5776314,Beginners ,2016,English,USA,2010,7.2,1.85
898,,Feast ,170118,English,USA,2005,6.4,2.35
559,141600000,Animal House ,3468,English,USA,1978,7.6,1.85
177,51100000,Goldfinger ,1198,English,UK,1964,7.8,1.37
463,,Antiviral ,1962,English,Canada,2012,5.7,1.85
248,,It's a Wonderful Life ,1844,English,USA,1946,8.6,1.37
557,16501785,Trainspotting ,3559,English,UK,1996,8.2,1.85
360,38168022,The Original Kings of Comedy ,1964,English,USA,2000,6.6,1.85
189,84749884,Paranormal Activity 2 ,1081,English,USA,2010,5.7,1.85
482,24788807,Waking Ned Devine ,1965,English,UK,1998,7.4,2.35
184,21244913,Bowling for Columbine ,1779,English,Germany,2002,8.0,1.85
4,377420,Coming Home ,900,Mandarin,China,2014,7.3,2.35
217,30000000,A Nightmare on Elm Street 2: Freddy's Revenge ,1472,English,USA,1985,5.4,1.85
249,20966644,A Room with a View ,1665,English,UK,1985,7.4,1.66
535,64423650,The Purge ,3708,English,USA,2013,5.7,2.35
412,48056940,Sinister ,2239,English,USA,2012,6.8,2.35
12,19184015,Martin Lawrence Live: Runteldat ,159,English,USA,2002,5.4,1.85
110,,Cat on a Hot Tin Roof ,649,English,USA,1958,8.1,1.85
158,,Beneath the Planet of the Apes ,1186,English,USA,1970,6.1,2.35
693,24629916,Air Bud ,4277,English,USA,1997,5.1,1.85
49,,Pokémon 3: The Movie ,373,Japanese,Japan,2000,5.6,1.85
155,19472057,Jason Lives: Friday the 13th Part VI ,1862,English,USA,1986,5.9,1.85
87,27200000,The Bridge on the River Kwai ,1035,English,UK,1957,8.2,2.35
175,15369573,Spaced Invaders ,1441,English,USA,1990,5.3,1.85
416,,Family Plot ,2811,English,USA,1976,6.8,1.85
180,,The Apartment ,1328,English,USA,1960,8.3,2.35
307,15935068,Jason Goes to Hell: The Final Friday ,2899,English,USA,1993,4.3,1.85
14,,Torn Curtain ,70,English,USA,1966,6.7,1.85
220,11694528,Dave Chappelle's Block Party ,2165,English,USA,2005,7.2,1.85
748,229094,Slow West ,14696,English,UK,2015,6.9,1.66
77,,Krush Groove ,1163,English,USA,1985,6.6,
706,10017041,Next Day Air ,4815,English,USA,2009,5.9,1.85
125,,Elmer Gantry ,1444,English,USA,1960,7.9,1.66
760,,Judgment at Nuremberg ,3847,English,USA,1961,8.3,1.75
200,9016377,Trippin' ,1936,English,USA,1999,5.2,1.85
