director_name,duration,gross,genres,actor_1_name,movie_title,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Walt Becker,92,85884815,Adventure|Animation|Comedy|Family|Fantasy|Music,Bella Thorne,Alvin and the Chipmunks: The Road Chip ,0,http://www.imdb.com/title/tt2974918/?ref_=fn_tt_tt_1,53,1000,5.0,1.85,0
Bryan Singer,121,83077470,Drama|History|Thriller|War,Tom Cruise,Valkyrie ,0,http://www.imdb.com/title/tt0985699/?ref_=fn_tt_tt_1,440,1000,7.1,1.85,0
Dennis Dugan,113,100018837,Action|Comedy,Adam Sandler,You Don't Mess with the Zohan ,0,http://www.imdb.com/title/tt0960144/?ref_=fn_tt_tt_1,380,600,5.5,1.85,0
Chris Columbus,106,78747585,Action|Animation|Comedy|Sci-Fi,Peter Dinklage,Pixels ,0,http://www.imdb.com/title/tt2120120/?ref_=fn_tt_tt_1,342,11000,5.6,2.35,39000
Steven Spielberg,146,78616689,Adventure|Drama|Sci-Fi,Haley Joel Osment,A.I. Artificial Intelligence ,0,http://www.imdb.com/title/tt0212720/?ref_=fn_tt_tt_1,2153,882,7.1,1.85,11000
Rob Minkoff,88,75817994,Comedy|Family|Fantasy|Horror|Mystery,Marsha Thomason,The Haunted Mansion ,0,http://www.imdb.com/title/tt0338094/?ref_=fn_tt_tt_1,179,569,4.9,2.35,988
Robert Zemeckis,150,100853835,Drama|Mystery|Sci-Fi|Thriller,Matthew McConaughey,Contact ,2,http://www.imdb.com/title/tt0118884/?ref_=fn_tt_tt_1,611,1000,7.4,2.35,15000
Paul Verhoeven,119,73209340,Action|Horror|Sci-Fi|Thriller,Greg Grunberg,Hollow Man ,0,http://www.imdb.com/title/tt0164052/?ref_=fn_tt_tt_1,628,624,5.7,1.85,0
Sydney Pollack,128,72515360,Crime|Mystery|Thriller,Curtiss Cook,The Interpreter ,1,http://www.imdb.com/title/tt0373926/?ref_=fn_tt_tt_1,411,249,6.4,2.35,0
Thor Freudenthal,106,68558662,Adventure|Family|Fantasy,Logan Lerman,Percy Jackson: Sea of Monsters ,0,http://www.imdb.com/title/tt1854564/?ref_=fn_tt_tt_1,204,956,5.9,2.35,28000
Jan de Bont,117,65653758,Action|Adventure|Fantasy,Gerard Butler,Lara Croft Tomb Raider: The Cradle of Life ,1,http://www.imdb.com/title/tt0325703/?ref_=fn_tt_tt_1,316,11000,5.5,2.35,0
Jon M. Chu,129,64685359,Action|Adventure|Comedy|Crime|Mystery|Thriller,Daniel Radcliffe,Now You See Me 2 ,6,http://www.imdb.com/title/tt3110958/?ref_=fn_tt_tt_1,139,11000,6.9,2.35,15000
Phillip Noyce,116,61355436,Action|Adventure|Romance|Sci-Fi|Thriller,Alun Armstrong,The Saint ,0,http://www.imdb.com/title/tt0120053/?ref_=fn_tt_tt_1,184,117,6.2,2.35,0
Tony Scott,114,26871,Action|Crime|Thriller,Brad Pitt,Spy Game ,2,http://www.imdb.com/title/tt0266987/?ref_=fn_tt_tt_1,361,577,7.0,2.35,0
Brian De Palma,114,60874615,Adventure|Sci-Fi|Thriller,Don Cheadle,Mission to Mars ,0,http://www.imdb.com/title/tt0183523/?ref_=fn_tt_tt_1,949,933,5.6,2.35,0
Carlos Saldanha,96,143618384,Adventure|Animation|Comedy|Family|Musical,Anne Hathaway,Rio ,0,http://www.imdb.com/title/tt1436562/?ref_=fn_tt_tt_1,186,560,7.0,2.35,19000
Chris Columbus,132,58220776,Comedy|Drama|Sci-Fi,Robin Williams,Bicentennial Man ,0,http://www.imdb.com/title/tt0182789/?ref_=fn_tt_tt_1,362,1000,6.8,1.85,0
Mick Jackson,104,47474112,Action|Drama|Sci-Fi|Thriller,Don Cheadle,Volcano ,0,http://www.imdb.com/title/tt0120461/?ref_=fn_tt_tt_1,181,643,5.4,1.85,2000
Alan J. Pakula,111,42877165,Action|Crime|Drama|Thriller,Harrison Ford,The Devil's Own ,0,http://www.imdb.com/title/tt0118972/?ref_=fn_tt_tt_1,114,11000,6.1,2.35,979
Kathryn Bigelow,138,35168677,Drama|History|Thriller|War,Liam Neeson,K-19: The Widowmaker ,1,http://www.imdb.com/title/tt0267626/?ref_=fn_tt_tt_1,278,602,6.7,2.35,0
Josh Trank,100,56114221,Action|Adventure|Sci-Fi,Tim Blake Nelson,Fantastic Four ,3,http://www.imdb.com/title/tt1502712/?ref_=fn_tt_tt_1,695,360,4.3,2.35,41000
John Milius,129,37567440,Adventure|Fantasy,William Smith,Conan the Barbarian ,0,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,337,691,6.9,2.35,0
Ron Howard,144,61644321,Biography|Drama|Sport,Paddy Considine,Cinderella Man ,0,http://www.imdb.com/title/tt0352248/?ref_=fn_tt_tt_1,529,655,8.0,2.35,0
Andrey Konchalovskiy,110,190562,Action|Family|Fantasy|Musical,Shirley Henderson,The Nutcracker in 3D ,0,http://www.imdb.com/title/tt1041804/?ref_=fn_tt_tt_1,24,886,4.4,2.35,788
Gary Ross,140,120147445,Drama|History|Sport,Jeff Bridges,Seabiscuit ,0,http://www.imdb.com/title/tt0329575/?ref_=fn_tt_tt_1,455,947,7.3,2.35,0
Jan de Bont,113,241688385,Action|Adventure|Drama|Thriller,Philip Seymour Hoffman,Twister ,0,http://www.imdb.com/title/tt0117998/?ref_=fn_tt_tt_1,395,946,6.3,2.35,0
Rob Cohen,106,144512310,Action|Crime|Thriller,Paul Walker,The Fast and the Furious ,2,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,988,14000,6.7,2.35,14000
Robert Zemeckis,143,233630478,Adventure|Drama|Romance,Tom Hanks,Cast Away ,1,http://www.imdb.com/title/tt0162222/?ref_=fn_tt_tt_1,1051,410,7.7,1.85,23000
George Miller,108,197992827,Animation|Comedy|Family|Music|Romance,Robin Williams,Happy Feet ,0,http://www.imdb.com/title/tt0366548/?ref_=fn_tt_tt_1,548,20000,6.5,2.35,0
Paul Greengrass,108,176049130,Action|Mystery|Thriller,Matt Damon,The Bourne Supremacy ,1,http://www.imdb.com/title/tt0372183/?ref_=fn_tt_tt_1,806,805,7.8,2.35,0
Wolfgang Petersen,124,172620724,Action|Adventure|Drama|Thriller,Harrison Ford,Air Force One ,1,http://www.imdb.com/title/tt0118571/?ref_=fn_tt_tt_1,393,10000,6.4,2.35,0
Steven Soderbergh,116,183405771,Crime|Thriller,Brad Pitt,Ocean's Eleven ,4,http://www.imdb.com/title/tt0240772/?ref_=fn_tt_tt_1,845,1000,7.8,2.35,0
Paul W.S. Anderson,110,20315324,Action|Adventure|Romance,Milla Jovovich,The Three Musketeers ,8,http://www.imdb.com/title/tt1509767/?ref_=fn_tt_tt_1,254,8000,5.8,2.35,19000
Genndy Tartakovsky,91,148313048,Animation|Comedy|Family|Fantasy,Steve Buscemi,Hotel Transylvania ,2,http://www.imdb.com/title/tt0837562/?ref_=fn_tt_tt_1,168,11000,7.1,1.85,28000
Kevin Lima,107,127706877,Animation|Comedy|Family|Fantasy|Musical|Romance,Jeff Bennett,Enchanted ,2,http://www.imdb.com/title/tt0461770/?ref_=fn_tt_tt_1,399,142,7.1,2.35,0
,44,,Crime|Drama|Horror|Mystery|Thriller,Caroline Dhavernas,Hannibal             ,1,http://www.imdb.com/title/tt2243973/?ref_=fn_tt_tt_1,270,183,8.6,1.78,59000
Daniel Espinosa,115,126149655,Action|Crime|Mystery|Thriller,Denzel Washington,Safe House ,1,http://www.imdb.com/title/tt1599348/?ref_=fn_tt_tt_1,276,16000,6.8,2.35,19000
Kevin Lima,100,66941559,Adventure|Comedy|Family,Ioan Gruffudd,102 Dalmatians ,1,http://www.imdb.com/title/tt0211181/?ref_=fn_tt_tt_1,77,795,4.8,1.85,372
Brett Ratner,104,78009155,Action|Comedy|Crime,Matthew Broderick,Tower Heist ,5,http://www.imdb.com/title/tt0471042/?ref_=fn_tt_tt_1,194,906,6.2,2.35,0
Nancy Meyers,138,63224849,Comedy|Romance,Kate Winslet,The Holiday ,3,http://www.imdb.com/title/tt0457939/?ref_=fn_tt_tt_1,483,3000,6.9,1.85,19000
Tony Scott,140,111544445,Action|Crime|Drama|Mystery|Thriller,Will Smith,Enemy of the State ,4,http://www.imdb.com/title/tt0120660/?ref_=fn_tt_tt_1,415,660,7.3,2.35,0
Nancy Meyers,120,112703470,Comedy|Drama|Romance,Meryl Streep,It's Complicated ,2,http://www.imdb.com/title/tt1230414/?ref_=fn_tt_tt_1,214,2000,6.6,1.85,0
Steven Soderbergh,122,117144465,Crime|Thriller,Al Pacino,Ocean's Thirteen ,3,http://www.imdb.com/title/tt0496806/?ref_=fn_tt_tt_1,288,13000,6.9,2.35,0
Roger Allers,83,84303558,Adventure|Animation|Comedy|Family,Jon Favreau,Open Season ,1,http://www.imdb.com/title/tt0400717/?ref_=fn_tt_tt_1,100,650,6.2,1.85,863
Neil Burger,139,150832203,Adventure|Mystery|Sci-Fi,Kate Winslet,Divergent ,2,http://www.imdb.com/title/tt1840309/?ref_=fn_tt_tt_1,713,5000,6.7,2.35,49000
Jean-Jacques Annaud,131,51396781,Drama|History|War,Bob Hoskins,Enemy at the Gates ,1,http://www.imdb.com/title/tt0215750/?ref_=fn_tt_tt_1,662,35,7.6,2.35,0
Peter Berg,104,47592825,Action|Adventure|Comedy|Thriller,Dwayne Johnson,The Rundown ,1,http://www.imdb.com/title/tt0327850/?ref_=fn_tt_tt_1,255,3000,6.7,2.35,0
John McTiernan,130,50016394,Action|Adventure|Comedy|Fantasy,F. Murray Abraham,Last Action Hero ,1,http://www.imdb.com/title/tt0107362/?ref_=fn_tt_tt_1,257,442,6.2,2.35,0
Rob Marshall,145,57010853,Drama|Romance,Li Gong,Memoirs of a Geisha ,1,http://www.imdb.com/title/tt0397535/?ref_=fn_tt_tt_1,548,691,7.3,2.35,0
Justin Lin,104,62494975,Action|Crime|Thriller,Amber Stevens West,The Fast and the Furious: Tokyo Drift ,5,http://www.imdb.com/title/tt0463985/?ref_=fn_tt_tt_1,378,227,6.0,2.35,0
Sarah Smith,97,46440491,Adventure|Animation|Comedy|Family|Fantasy,Jim Broadbent,Arthur Christmas ,1,http://www.imdb.com/title/tt1430607/?ref_=fn_tt_tt_1,78,579,7.1,1.85,0
Martin Brest,178,44606335,Drama|Fantasy|Romance,Anthony Hopkins,Meet Joe Black ,0,http://www.imdb.com/title/tt0119643/?ref_=fn_tt_tt_1,703,11000,7.1,1.85,10000
Andrew Davis,108,40048332,Action|Drama|Thriller,Raymond Cruz,Collateral Damage ,1,http://www.imdb.com/title/tt0233469/?ref_=fn_tt_tt_1,339,174,5.5,1.85,941
Bob Fosse,123,,Comedy|Drama|Music|Musical,Roy Scheider,All That Jazz ,0,http://www.imdb.com/title/tt0078754/?ref_=fn_tt_tt_1,146,388,7.8,1.85,0
Tarsem Singh,106,64933670,Adventure|Comedy|Drama|Family|Fantasy,Julia Roberts,Mirror Mirror ,1,http://www.imdb.com/title/tt1667353/?ref_=fn_tt_tt_1,208,886,5.6,1.85,18000
Edgar Wright,112,31494270,Action|Comedy|Fantasy|Romance,Anna Kendrick,Scott Pilgrim vs. the World ,0,http://www.imdb.com/title/tt0446029/?ref_=fn_tt_tt_1,522,1000,7.5,1.85,36000
Jon Amiel,135,31111260,Action|Adventure|Sci-Fi|Thriller,Glenn Morshower,The Core ,0,http://www.imdb.com/title/tt0298814/?ref_=fn_tt_tt_1,466,345,5.4,2.35,0
Peter Segal,109,123307945,Comedy|Romance|Sci-Fi,Larry Miller,Nutty Professor II: The Klumps ,1,http://www.imdb.com/title/tt0144528/?ref_=fn_tt_tt_1,171,592,4.3,1.85,374
Raja Gosnell,86,153288182,Adventure|Comedy|Mystery,Sarah Michelle Gellar,Scooby-Doo ,3,http://www.imdb.com/title/tt0267913/?ref_=fn_tt_tt_1,521,2000,4.9,1.85,0
Pete Travis,95,13401683,Action|Sci-Fi,Wood Harris,Dredd ,0,http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1,588,107,7.1,2.35,46000
Frank Coraci,107,137340146,Comedy|Drama|Fantasy|Romance,Adam Sandler,Click ,1,http://www.imdb.com/title/tt0389860/?ref_=fn_tt_tt_1,685,1000,6.4,1.85,7000
George A. Romero,130,,Comedy|Fantasy|Horror,Ted Danson,Creepshow ,0,http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1,211,826,6.9,1.85,0
Brad Peyton,82,43575716,Action|Comedy|Family|Fantasy,Jack McBrayer,Cats & Dogs: The Revenge of Kitty Galore ,0,http://www.imdb.com/title/tt1287468/?ref_=fn_tt_tt_1,63,760,4.3,1.85,0
Doug Liman,88,80170146,Action|Adventure|Sci-Fi|Thriller,Kristen Stewart,Jumper ,0,http://www.imdb.com/title/tt0489099/?ref_=fn_tt_tt_1,488,4000,6.1,2.35,0
Guillermo del Toro,120,75754670,Action|Adventure|Fantasy|Horror|Sci-Fi,Seth MacFarlane,Hellboy II: The Golden Army ,0,http://www.imdb.com/title/tt0411477/?ref_=fn_tt_tt_1,342,169,7.0,1.85,3000
David Fincher,162,33048353,Crime|Drama|History|Mystery|Thriller,Robert Downey Jr.,Zodiac ,0,http://www.imdb.com/title/tt0443706/?ref_=fn_tt_tt_1,589,15000,7.7,2.35,12000
Roger Spottiswoode,123,34543701,Action|Mystery|Sci-Fi|Thriller,Robert Duvall,The 6th Day ,1,http://www.imdb.com/title/tt0216216/?ref_=fn_tt_tt_1,289,975,5.9,2.35,0
Tom Shadyac,101,242589580,Comedy|Drama,Morgan Freeman,Bruce Almighty ,1,http://www.imdb.com/title/tt0315327/?ref_=fn_tt_tt_1,604,7000,6.7,1.85,0
Sylvester Stallone,113,102981571,Action|Adventure|Thriller,Jason Statham,The Expendables ,9,http://www.imdb.com/title/tt1320253/?ref_=fn_tt_tt_1,741,13000,6.5,2.35,57000
Brian De Palma,110,180965237,Action|Adventure|Thriller,Tom Cruise,Mission: Impossible ,0,http://www.imdb.com/title/tt0117060/?ref_=fn_tt_tt_1,378,1000,7.1,2.35,0
Gary Ross,142,407999255,Adventure|Drama|Sci-Fi|Thriller,Jennifer Lawrence,The Hunger Games ,0,http://www.imdb.com/title/tt1392170/?ref_=fn_tt_tt_1,1959,14000,7.3,2.35,140000
Todd Phillips,102,254455986,Comedy,Bradley Cooper,The Hangover Part II ,0,http://www.imdb.com/title/tt1411697/?ref_=fn_tt_tt_1,402,670,6.5,2.35,56000
Tim Burton,126,162831698,Action,Michael Gough,Batman Returns ,0,http://www.imdb.com/title/tt0103776/?ref_=fn_tt_tt_1,610,811,7.0,1.85,0
Tim Johnson,83,155019340,Adventure|Animation|Comedy|Family,Bruce Willis,Over the Hedge ,1,http://www.imdb.com/title/tt0327084/?ref_=fn_tt_tt_1,250,7000,6.8,1.85,0
Dean DeBlois,85,145771527,Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,Tia Carrere,Lilo & Stitch ,0,http://www.imdb.com/title/tt0275847/?ref_=fn_tt_tt_1,367,533,7.2,1.66,0
Gary Winick,97,82506325,Comedy|Family|Fantasy,Steve Buscemi,Charlotte's Web ,0,http://www.imdb.com/title/tt0413895/?ref_=fn_tt_tt_1,102,8000,6.4,1.85,0
Mimi Leder,120,140459099,Action|Drama|Romance|Sci-Fi|Thriller,Morgan Freeman,Deep Impact ,0,http://www.imdb.com/title/tt0120647/?ref_=fn_tt_tt_1,493,4000,6.1,2.35,0
Dean Parisot,116,53215979,Action|Comedy|Crime|Thriller,Bruce Willis,RED 2 ,7,http://www.imdb.com/title/tt1821694/?ref_=fn_tt_tt_1,205,12000,6.7,2.35,22000
Peter Segal,113,158115031,Comedy|Crime|Sport,Adam Sandler,The Longest Yard ,11,http://www.imdb.com/title/tt0398165/?ref_=fn_tt_tt_1,316,437,6.4,2.35,0
Mike Mitchell,87,133103929,Adventure|Animation|Comedy|Family|Fantasy|Music,Amy Poehler,Alvin and the Chipmunks: Chipwrecked ,0,http://www.imdb.com/title/tt1615918/?ref_=fn_tt_tt_1,56,1000,4.4,1.85,0
Dennis Dugan,101,133668525,Comedy,Steve Buscemi,Grown Ups 2 ,4,http://www.imdb.com/title/tt2191701/?ref_=fn_tt_tt_1,255,11000,5.4,1.85,14000
Peter Segal,110,130313314,Action|Adventure|Comedy,Bill Murray,Get Smart ,1,http://www.imdb.com/title/tt0425061/?ref_=fn_tt_tt_1,380,12000,6.5,1.85,0
Nancy Meyers,128,124590960,Comedy|Drama|Romance,Keanu Reeves,Something's Gotta Give ,1,http://www.imdb.com/title/tt0337741/?ref_=fn_tt_tt_1,402,4000,6.7,1.85,0
Martin Scorsese,138,127968405,Mystery|Thriller,Leonardo DiCaprio,Shutter Island ,0,http://www.imdb.com/title/tt1130884/?ref_=fn_tt_tt_1,964,223,8.1,2.35,53000
Seth Gordon,88,120136047,Comedy|Drama|Romance,Jon Favreau,Four Christmases ,2,http://www.imdb.com/title/tt0369436/?ref_=fn_tt_tt_1,124,3000,5.6,1.85,0
Chris Wedge,91,128200012,Adventure|Animation|Comedy|Family|Sci-Fi,Jim Broadbent,Robots ,1,http://www.imdb.com/title/tt0358082/?ref_=fn_tt_tt_1,269,311,6.3,1.85,0
John Woo,138,112225777,Action|Crime|Sci-Fi|Thriller,Nicolas Cage,Face/Off ,0,http://www.imdb.com/title/tt0119094/?ref_=fn_tt_tt_1,535,1000,7.3,2.35,11000
Adam Shankman,99,109993847,Comedy|Family|Fantasy|Romance,Adam Sandler,Bedtime Stories ,0,http://www.imdb.com/title/tt0960731/?ref_=fn_tt_tt_1,116,869,6.1,2.35,0
Sam Mendes,117,104054514,Crime|Drama|Thriller,Tom Hanks,Road to Perdition ,0,http://www.imdb.com/title/tt0257044/?ref_=fn_tt_tt_1,1009,1000,7.7,2.35,0
Dennis Dugan,117,103028109,Comedy|Romance,Adam Sandler,Just Go with It ,1,http://www.imdb.com/title/tt1564367/?ref_=fn_tt_tt_1,203,3000,6.4,1.85,19000
,54,,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,Elden Henson,Daredevil             ,0,http://www.imdb.com/title/tt3322312/?ref_=fn_tt_tt_1,394,4,8.8,16.0,55000
Simon West,123,101087161,Action|Crime|Thriller,Steve Buscemi,Con Air ,6,http://www.imdb.com/title/tt0118880/?ref_=fn_tt_tt_1,339,878,6.8,2.35,0
D.J. Caruso,118,101111837,Action|Mystery|Thriller,Rosario Dawson,Eagle Eye ,3,http://www.imdb.com/title/tt1059786/?ref_=fn_tt_tt_1,318,982,6.6,2.35,0
Anthony Minghella,154,95632614,Adventure|Drama|History|Romance|War,Philip Seymour Hoffman,Cold Mountain ,3,http://www.imdb.com/title/tt0159365/?ref_=fn_tt_tt_1,674,20000,7.2,2.35,0
Albert Hughes,118,94822707,Action|Adventure|Drama|Thriller,Denzel Washington,The Book of Eli ,0,http://www.imdb.com/title/tt1037705/?ref_=fn_tt_tt_1,560,15000,6.9,2.35,20000
Les Mayfield,90,92969824,Comedy|Family|Sci-Fi,Robin Williams,Flubber ,1,http://www.imdb.com/title/tt0119137/?ref_=fn_tt_tt_1,64,570,5.2,1.85,0
Jan de Bont,113,91188905,Fantasy|Horror|Mystery|Thriller,Liam Neeson,The Haunting ,0,http://www.imdb.com/title/tt0171363/?ref_=fn_tt_tt_1,805,960,4.9,2.35,0
Joe Pytka,88,90443603,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport,Bill Murray,Space Jam ,1,http://www.imdb.com/title/tt0117705/?ref_=fn_tt_tt_1,123,967,6.3,1.77,0
Shawn Levy,93,82226474,Adventure|Comedy|Crime|Family|Mystery,Roger Rees,The Pink Panther ,0,http://www.imdb.com/title/tt0383216/?ref_=fn_tt_tt_1,424,177,5.6,1.85,0
Scott Derrickson,104,79363785,Drama|Sci-Fi|Thriller,Keanu Reeves,The Day the Earth Stood Still ,0,http://www.imdb.com/title/tt0970416/?ref_=fn_tt_tt_1,698,4000,5.5,2.35,0
Richard Donner,135,76081498,Action|Crime|Mystery|Romance|Thriller,Julia Roberts,Conspiracy Theory ,1,http://www.imdb.com/title/tt0118883/?ref_=fn_tt_tt_1,162,137,6.7,2.35,0
David Ayer,134,85707116,Action|Drama|War,Brad Pitt,Fury ,4,http://www.imdb.com/title/tt2713180/?ref_=fn_tt_tt_1,701,8000,7.6,2.35,82000
Ivan Reitman,98,74329966,Action|Adventure|Comedy|Romance,Harrison Ford,Six Days Seven Nights ,2,http://www.imdb.com/title/tt0120828/?ref_=fn_tt_tt_1,164,643,5.7,2.35,0
Eric Brevig,80,100169068,Adventure|Animation|Comedy|Family,Justin Timberlake,Yogi Bear ,0,http://www.imdb.com/title/tt1302067/?ref_=fn_tt_tt_1,100,642,4.6,1.85,0
Kelly Asbury,83,73215310,Adventure|Animation|Family|Western,Matt Damon,Spirit: Stallion of the Cimarron ,0,http://www.imdb.com/title/tt0166813/?ref_=fn_tt_tt_1,216,503,7.0,2.35,4000
Frank Coraci,102,80360866,Comedy|Family|Romance,Rosario Dawson,Zookeeper ,1,http://www.imdb.com/title/tt1222817/?ref_=fn_tt_tt_1,127,1000,5.2,2.35,0
Stephen Hopkins,130,69102910,Action|Adventure|Family|Sci-Fi|Thriller,Gary Oldman,Lost in Space ,0,http://www.imdb.com/title/tt0120738/?ref_=fn_tt_tt_1,370,882,5.1,2.35,0
Jonathan Demme,129,65948711,Drama|Mystery|Sci-Fi|Thriller,Denzel Washington,The Manchurian Candidate ,1,http://www.imdb.com/title/tt0368008/?ref_=fn_tt_tt_1,363,1000,6.6,1.85,0
Henry Jaglom,117,821997,Drama|Romance,Vanessa Redgrave,Déjà Vu ,0,http://www.imdb.com/title/tt0119033/?ref_=fn_tt_tt_1,40,577,7.0,1.85,91
Genndy Tartakovsky,89,169692572,Animation|Comedy|Family|Fantasy,Steve Buscemi,Hotel Transylvania 2 ,0,http://www.imdb.com/title/tt2510894/?ref_=fn_tt_tt_1,97,11000,6.7,1.85,16000
