num_critic_for_reviews,actor_2_name,gross,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,country,budget,imdb_score
89,Klaus Kinski,111722000,Julie Christie,Doctor Zhivago ,Geraldine Chaplin,2,bolshevik|poet|poetry|russia|russian revolution,http://www.imdb.com/title/tt0059113/?ref_=fn_tt_tt_1,USA,11000000,8.0
101,Selton Mello,10230,Wagner Moura,Trash ,Daniel Zettel,0,bible|key|poverty|slum|wallet,http://www.imdb.com/title/tt1921149/?ref_=fn_tt_tt_1,UK,,7.2
128,Matt Prokop,90556401,Lucas Grabeel,High School Musical 3: Senior Year ,Corbin Bleu,1,basketball|curtain call|graduation|high school|high school senior,http://www.imdb.com/title/tt0962726/?ref_=fn_tt_tt_1,USA,11000000,4.5
410,Jack McGee,93571803,Christian Bale,The Fighter ,Melissa McMeekin,2,boxer|boxing|boxing match|crack cocaine|lowell massachusetts,http://www.imdb.com/title/tt0964517/?ref_=fn_tt_tt_1,USA,25000000,7.9
104,Steve-O,72755517,Bam Margera,Jackass Number Two ,Chris Pontius,0,blindfold|male frontal nudity|male rear nudity|pubic hair|vomiting,http://www.imdb.com/title/tt0493430/?ref_=fn_tt_tt_1,USA,,7.1
54,Bruce McGill,52929168,Fred Gwynne,My Cousin Vinny ,Lane Smith,1,alabama|jail|judicial system|lawyer|trial,http://www.imdb.com/title/tt0104952/?ref_=fn_tt_tt_1,USA,11000000,7.5
141,Mireille Enos,50461335,Chloë Grace Moretz,If I Stay ,Stacy Keach,3,car accident|coma|out of body experience|reference to the exploited|teenage girl,http://www.imdb.com/title/tt1355630/?ref_=fn_tt_tt_1,USA,11000000,6.8
30,Damien Garvey,,Zoe Ventoura,Drive Hard ,Christopher Sommers,2,,http://www.imdb.com/title/tt2968804/?ref_=fn_tt_tt_1,Canada,12000000,4.3
57,Tom Berenger,49797148,Corbin Bernsen,Major League ,Rene Russo,3,cleveland indians|league|manager|owner|team,http://www.imdb.com/title/tt0097815/?ref_=fn_tt_tt_1,USA,11000000,7.2
56,Rupert Everett,,Lily Cole,St. Trinian's ,Tamsin Egerton,5,2000s|female protagonist|reward|school|st trinian's,http://www.imdb.com/title/tt0964587/?ref_=fn_tt_tt_1,UK,13500000,5.8
216,John Enos III,46563158,Radha Mitchell,Phone Booth ,Richard T. Jones,0,phone booth|publicist|single set production|sniper|sniper rifle,http://www.imdb.com/title/tt0183649/?ref_=fn_tt_tt_1,USA,13000000,7.1
80,Peter Coyote,41227069,Lauren German,A Walk to Remember ,Paz de la Huerta,1,community service|love|punishment|school|student,http://www.imdb.com/title/tt0281358/?ref_=fn_tt_tt_1,USA,11000000,7.4
77,Celia Weston,39025000,Lois Smith,Dead Man Walking ,Robert Prosky,0,death|execution|nun|solitary confinement|visit,http://www.imdb.com/title/tt0112818/?ref_=fn_tt_tt_1,UK,11000000,7.6
101,Sean Patrick Thomas,38201895,Sarah Michelle Gellar,Cruel Intentions ,Eric Mabius,3,bet|revenge|seduction|virgin|wager,http://www.imdb.com/title/tt0139134/?ref_=fn_tt_tt_1,USA,10500000,6.9
156,Shawnee Smith,27669413,Costas Mandylor,Saw VI ,George Newbern,0,deception|flash photography|game of death|jigsaw|pig mask,http://www.imdb.com/title/tt1233227/?ref_=fn_tt_tt_1,Canada,11000000,6.0
48,Sid Caesar,,Madeline Kahn,History of the World: Part I ,Dom DeLuise,0,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,http://www.imdb.com/title/tt0082517/?ref_=fn_tt_tt_1,USA,11000000,6.9
109,Alicia Keys,37766350,Nate Parker,The Secret Life of Bees ,Jennifer Hudson,5,beekeeping|insect in title|racism|sister|south carolina,http://www.imdb.com/title/tt0416212/?ref_=fn_tt_tt_1,USA,11000000,7.3
62,Vinessa Shaw,23978402,Vincent Pastore,Corky Romano ,Peter Berg,1,fbi|mafia|mobster|undercover|veterinarian,http://www.imdb.com/title/tt0250310/?ref_=fn_tt_tt_1,USA,11000000,4.6
33,Gabrielle Carteris,21370057,Steven Bauer,Raising Cain ,Gregg Henry,0,hitchcockian|long tracking shot|psychologist|psychology|wig,http://www.imdb.com/title/tt0105217/?ref_=fn_tt_tt_1,USA,12000000,6.0
20,Peter Boyle,,Sylvester Stallone,F.I.S.T. ,Rod Steiger,2,1930s|driving through a gate|funeral|senator|trade union,http://www.imdb.com/title/tt0077531/?ref_=fn_tt_tt_1,USA,11000000,6.4
52,Bud Cort,4884663,Louise Fletcher,Invaders from Mars ,William Bassett,0,alien|boy|nurse|school|school nurse,http://www.imdb.com/title/tt0091276/?ref_=fn_tt_tt_1,USA,12000000,5.5
351,Fiona Glascott,38317535,Julie Walters,Brooklyn ,Eva Birthistle,1,1950s|immigrant|irish|irish accent|torn between two worlds,http://www.imdb.com/title/tt2381111/?ref_=fn_tt_tt_1,UK,11000000,7.5
124,Steven Berkoff,,Ryan O'Neal,Barry Lyndon ,Hardy Krüger,0,18th century|england|rise and fall|rural setting|wealth,http://www.imdb.com/title/tt0072684/?ref_=fn_tt_tt_1,UK,11000000,8.1
37,Jason London,13903262,Lee Majors,Out Cold ,Thomas Lennon,0,alaska|mountain|ski resort|snowboard|snowboarding,http://www.imdb.com/title/tt0253798/?ref_=fn_tt_tt_1,USA,11000000,6.3
58,John Witherspoon,13592872,Will Ferrell,The Ladies Man ,Tim Meadows,1,black pantyhose|female stockinged legs|pantyhose|radio|tattoo,http://www.imdb.com/title/tt0213790/?ref_=fn_tt_tt_1,USA,11000000,5.1
175,Sheridan Smith,18381787,Luke Newberry,Quartet ,Pauline Collins,4,divorced couple|opera|reference to giuseppe verdi|retirement|senility,http://www.imdb.com/title/tt1441951/?ref_=fn_tt_tt_1,UK,11000000,6.8
75,Jake Busey,13558739,Shannon Elizabeth,Tomcats ,David Ogden Stiers,0,box office flop|critically bashed|dominatrix|friend|money,http://www.imdb.com/title/tt0246989/?ref_=fn_tt_tt_1,USA,11000000,5.3
161,Powers Boothe,13103828,Matthew McConaughey,Frailty ,Matt O'Leary,0,demon|fbi|fbi agent|murder|religious fanatic,http://www.imdb.com/title/tt0264616/?ref_=fn_tt_tt_1,USA,11000000,7.3
203,Frances Fisher,33305037,Ryan Reynolds,Woman in Gold ,Elizabeth McGovern,2,art|jewish|justice|nazi|theft,http://www.imdb.com/title/tt2404425/?ref_=fn_tt_tt_1,UK,11000000,7.3
188,Oliver Platt,10214647,Liam Neeson,Kinsey ,Dylan Baker,0,professor|research|sex|sexuality|student,http://www.imdb.com/title/tt0362269/?ref_=fn_tt_tt_1,USA,11000000,7.1
221,Bridget Fonda,11501093,Patricia Tallman,Army of Darkness ,Embeth Davidtz,0,army of the dead|battle|necronomicon|reluctant hero|skeleton soldier,http://www.imdb.com/title/tt0106308/?ref_=fn_tt_tt_1,USA,13000000,7.6
66,Gedde Watanabe,4814244,Jaime King,Slackers ,Jim Rash,4,blackmail|fall|love|nerd|scam,http://www.imdb.com/title/tt0240900/?ref_=fn_tt_tt_1,Canada,11000000,5.3
80,Leonardo DiCaprio,9170214,Johnny Depp,What's Eating Gilbert Grape ,Kevin Tighe,1,apostrophe in title|face slap|four word title|grocery store|police,http://www.imdb.com/title/tt0108550/?ref_=fn_tt_tt_1,USA,11000000,7.8
25,Alan Van Sprang,4068087,Henry Ian Cusick,The Visual Bible: The Gospel of John ,Scott Handy,1,1st century|based on the bible|miracle|religion|resurrection,http://www.imdb.com/title/tt0377992/?ref_=fn_tt_tt_1,Canada,17000000,7.7
169,Sally Hawkins,3753806,Eddie Marsan,Vera Drake ,Imelda Staunton,1,1950s|miscarriage|neighbor|pregnancy|tailor,http://www.imdb.com/title/tt0383694/?ref_=fn_tt_tt_1,UK,11000000,7.7
70,Dash Mihok,3034181,Michael McKean,The Guru ,Jimi Mistry,3,bollywood|illegal immigrant|live television|restaurant|waiter,http://www.imdb.com/title/tt0280720/?ref_=fn_tt_tt_1,UK,11000000,5.4
15,Chazz Palminteri,2832826,Anjelica Huston,The Perez Family ,Vincent Gallo,2,immigration|love|political prisoner|reference to john wayne|title directed by female,http://www.imdb.com/title/tt0114113/?ref_=fn_tt_tt_1,USA,11000000,6.2
535,Max Casella,13214255,Justin Timberlake,Inside Llewyn Davis ,Alex Karpovsky,1,1960s|car hitting an animal|folk singer|friend|singer,http://www.imdb.com/title/tt2042568/?ref_=fn_tt_tt_1,USA,11000000,7.4
92,Andrew Keegan,16017403,Mekhi Phifer,O ,John Heard,2,basketball|basketball player|boarding school|love|shakespeare's othello,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,USA,5000000,6.2
14,Wayne Pygram,2807854,Milla Jovovich,Return to the Blue Lagoon ,Lisa Pelikan,1,baby|desert island|island|sequel|teenage girl,http://www.imdb.com/title/tt0102782/?ref_=fn_tt_tt_1,USA,11000000,5.1
13,Anthony Zerbe,,Frank Finlay,The Molly Maguires ,Samantha Eggar,0,coal|detective|irish|irish immigrant|pennsylvania,http://www.imdb.com/title/tt0066090/?ref_=fn_tt_tt_1,USA,11000000,6.9
87,Steve Buscemi,540085,Kate Winslet,Romance & Cigarettes ,Eddie Izzard,0,anal sex|death|dream|poem|sex,http://www.imdb.com/title/tt0368222/?ref_=fn_tt_tt_1,USA,,6.3
78,David Kennedy,352786,Phyllida Law,Copying Beethoven ,Angus Barnett,0,music copyist|music student|musical composition|student|symphony,http://www.imdb.com/title/tt0424908/?ref_=fn_tt_tt_1,USA,11000000,6.8
223,Zelda Rubinstein,76600000,Heather O'Rourke,Poltergeist ,Craig T. Nelson,0,ghost|haunted|haunting|house|paranormal investigator,http://www.imdb.com/title/tt0084516/?ref_=fn_tt_tt_1,USA,10700000,7.4
136,Sean Harris,,Sam Riley,Brighton Rock ,Geoff Bell,2,brighton|catholic|gang|prayer|waitress,http://www.imdb.com/title/tt1233192/?ref_=fn_tt_tt_1,UK,12000000,5.7
160,Costas Mandylor,56729973,Julie Benz,Saw V ,Scott Patterson,0,blood splatter|jigsaw|nazi|serial killer|swastika tattoo,http://www.imdb.com/title/tt1132626/?ref_=fn_tt_tt_1,USA,10800000,5.8
28,Gena Rowlands,,John Cassavetes,Machine Gun McCain ,Britt Ekland,0,casino|gang violence|robbery|suicide|violence,http://www.imdb.com/title/tt0065895/?ref_=fn_tt_tt_1,Italy,,6.2
54,Lina Esco,,Nora Dunn,LOL ,Alix Freihage,1,best friend|girl in panties|high school|high school romance|pink panties,http://www.imdb.com/title/tt1592873/?ref_=fn_tt_tt_1,USA,11000000,4.3
75,Deborra-Lee Furness,399879,John Howard,Jindabyne ,Max Cullen,2,camp|fishing|fishing trip|river|town,http://www.imdb.com/title/tt0382765/?ref_=fn_tt_tt_1,Australia,15000000,6.4
20,John Abraham,3275443,Shah Rukh Khan,Kabhi Alvida Naa Kehna ,Preity Zinta,2,extramarital affair|fashion magazine editor|marriage|new york|teacher,http://www.imdb.com/title/tt0449999/?ref_=fn_tt_tt_1,India,700000000,6.0
105,Rupert Everett,18535191,Minnie Driver,An Ideal Husband ,Jeremy Northam,3,bachelor|blackmail|character says i love you|flirting|social satire,http://www.imdb.com/title/tt0122541/?ref_=fn_tt_tt_1,UK,14000000,6.9
120,Olivia Williams,23838,Romola Garai,The Last Days on Mars ,Tom Cullen,0,alien infection|astronaut|mars|mission|zombie,http://www.imdb.com/title/tt1709143/?ref_=fn_tt_tt_1,UK,7000000,5.5
108,Giancarlo Giannini,22160085,Lena Olin,Darkness ,Francesc Pagès,0,9 year old|blood|gramophone|house|missing children,http://www.imdb.com/title/tt0273517/?ref_=fn_tt_tt_1,USA,10600000,5.4
285,Gary Lockwood,56715371,Keir Dullea,2001: A Space Odyssey ,Glenn Beck,0,ancient astronaut|famous line|message from outer space|monolith|star child,http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1,UK,12000000,8.3
215,Dee Wallace,434949459,Henry Thomas,E.T. the Extra-Terrestrial ,Peter Coyote,0,bicyclist|boy|doll|star wars reference|voice impersonation,http://www.imdb.com/title/tt0083866/?ref_=fn_tt_tt_1,USA,10500000,7.9
81,Elena Anaya,11043445,Kristen Stewart,In the Land of Women ,Dustin Milligan,0,actress|love|michigan|neighbor|writer,http://www.imdb.com/title/tt0419843/?ref_=fn_tt_tt_1,USA,10000000,6.5
17,Marc Donato,,William Hurt,The Blue Butterfly ,Raoul Max Trujillo,1,butterfly|entomologist|morpho butterfly|rain|rain forest,http://www.imdb.com/title/tt0313300/?ref_=fn_tt_tt_1,Canada,12500000,6.3
5,Kelli Williams,125169,Ricky Schroder,There Goes My Baby ,Seymour Cassel,2,high school|love|police|showdown|surfer,http://www.imdb.com/title/tt0108320/?ref_=fn_tt_tt_1,USA,10500000,6.4
3,Johnny Flynn,,Antonia Thomas,Lovesick             ,Hannah Britland,3,blond boy|chlamydia|list|male rear nudity|young couple,http://www.imdb.com/title/tt4051832/?ref_=fn_tt_tt_1,UK,,7.9
10,Boman Irani,1165104,Arjun Rampal,Housefull ,Riteish Deshmukh,5,bad luck|casino|lie|mix up|stutter,http://www.imdb.com/title/tt1573072/?ref_=fn_tt_tt_1,India,,5.3
43,Taylor Handley,1066555,Jon Gries,September Dawn ,Trent Ford,0,massacre|mormon|settler|utah|wagon train,http://www.imdb.com/title/tt0473700/?ref_=fn_tt_tt_1,USA,11000000,5.8
43,Eduardo Verástegui,5669081,Santiago Cabrera,For Greater Glory: The True Story of Cristiada ,Catalina Sandino Moreno,1,catholic|hanging|mexico|rebellion|soldier,http://www.imdb.com/title/tt1566501/?ref_=fn_tt_tt_1,Mexico,10818775,6.6
94,Eric Elmosnino,,Karin Viard,La Famille Bélier ,François Damiens,4,audition|deaf|family relationships|love|singing,http://www.imdb.com/title/tt3547740/?ref_=fn_tt_tt_1,France,11000000,7.4
161,Matt Damon,138339411,Robin Williams,Good Will Hunting ,Minnie Driver,2,friend|genius|janitor|loss of wife|professor,http://www.imdb.com/title/tt0119217/?ref_=fn_tt_tt_1,USA,10000000,8.3
38,Anthony Hopkins,,Al Pacino,Misconduct ,Glen Powell,3,black panties|lust|sexual attraction|voyeur|voyeurism,http://www.imdb.com/title/tt3658772/?ref_=fn_tt_tt_1,USA,11000000,5.3
210,Shawnee Smith,80150343,Costas Mandylor,Saw III ,Leigh Whannell,0,brutality|female full frontal nudity|female nudity|torture|trap,http://www.imdb.com/title/tt0489270/?ref_=fn_tt_tt_1,USA,10000000,6.2
52,Harold Ramis,85300000,Bill Murray,Stripes ,Judge Reinhold,1,army|boot camp|breasts|graduation|rescue,http://www.imdb.com/title/tt0083131/?ref_=fn_tt_tt_1,USA,10000000,6.9
139,Lindsay Sloane,68353550,Kirsten Dunst,Bring It On ,Clare Kramer,1,championship|cheerleading|high school|teen comedy|teenage romance,http://www.imdb.com/title/tt0204946/?ref_=fn_tt_tt_1,USA,10000000,5.9
165,Joseph Julian Soria,78845130,Frank Grillo,The Purge: Election Year ,Mykelti Williamson,1,cathedral|minister|presidential election|reference to george washington|ritual sacrifice,http://www.imdb.com/title/tt4094724/?ref_=fn_tt_tt_1,France,10000000,6.1
96,Clea DuVall,63319509,Paul Walker,She's All That ,Kieran Culkin,2,bet|friend|high school|prom|prom queen,http://www.imdb.com/title/tt0160862/?ref_=fn_tt_tt_1,USA,10000000,5.8
323,Gabourey Sidibe,47536959,Mo'Nique,Precious ,Mariah Carey,0,abuse|african american lesbian|lesbian|lesbian couple|school,http://www.imdb.com/title/tt0929632/?ref_=fn_tt_tt_1,USA,10000000,7.3
190,Shawnee Smith,63270259,Costas Mandylor,Saw IV ,Angus Macfadyen,0,detective|fbi|rape|rapist|serial rapist,http://www.imdb.com/title/tt0890870/?ref_=fn_tt_tt_1,USA,10000000,5.9
173,Keegan Connor Tracy,55865715,Deborah Kara Unger,White Noise ,Mike Dopud,0,architect|grave|obsession|river|voice,http://www.imdb.com/title/tt0375210/?ref_=fn_tt_tt_1,UK,10000000,5.5
46,Cicely Tyson,63231524,Boris Kodjoe,Madea's Family Reunion ,Blair Underwood,4,cross dressing|family reunion|madea series|reflective|sister sister relationship,http://www.imdb.com/title/tt0455612/?ref_=fn_tt_tt_1,USA,6000000,5.0
59,Bill Cobbs,52293982,Tom Cruise,The Color of Money ,Mary Elizabeth Mastrantonio,1,hustler|losing|pool|pool player|tournament,http://www.imdb.com/title/tt0090863/?ref_=fn_tt_tt_1,USA,13800000,7.0
53,Richard Beymer,,Richard Burton,The Longest Day ,Eddie Albert,3,allies|d day|invasion|normandy|world war two,http://www.imdb.com/title/tt0056197/?ref_=fn_tt_tt_1,USA,10000000,7.8
22,Shaun Weiss,50752337,Lane Smith,The Mighty Ducks ,Elden Henson,8,coach|hockey team|lawyer|respect|team,http://www.imdb.com/title/tt0104868/?ref_=fn_tt_tt_1,USA,10000000,6.4
203,Clea DuVall,110175871,Sarah Michelle Gellar,The Grudge ,Ted Raimi,0,american|curse|japan|nurse|rage,http://www.imdb.com/title/tt0391198/?ref_=fn_tt_tt_1,USA,10000000,5.9
77,Kevin Nealon,38624000,Adam Sandler,Happy Gilmore ,Frances Bay,1,golf|golf ball|golfer|grandmother's house|tournament,http://www.imdb.com/title/tt0116483/?ref_=fn_tt_tt_1,USA,12000000,7.0
190,Patricia Belcher,37470017,Eileen Brennan,Jeepers Creepers ,Jonathan Breck,0,demon|gore|record player|tattoo|wings,http://www.imdb.com/title/tt0263488/?ref_=fn_tt_tt_1,Germany,10000000,6.1
81,George Carlin,40485039,Keanu Reeves,Bill & Ted's Excellent Adventure ,Al Leong,6,failing student|high school|payphone|teenager|telephone booth,http://www.imdb.com/title/tt0096928/?ref_=fn_tt_tt_1,USA,10000000,6.9
56,Ron Moody,16800000,Oliver Reed,Oliver! ,Jack Wild,1,abuse|child|orphan|orphanage|pickpocket,http://www.imdb.com/title/tt0063385/?ref_=fn_tt_tt_1,UK,10000000,7.5
264,Penelope Wilton,46377022,Tom Wilkinson,The Best Exotic Marigold Hotel ,Celia Imrie,3,hotel|india|marigold|retiree|retirement,http://www.imdb.com/title/tt1412386/?ref_=fn_tt_tt_1,UK,10000000,7.3
44,Andrew Lawrence,36696761,Diedrich Bader,Recess: School's Out ,Dabney Coleman,0,friend|principal|summer|summer camp|summer vacation,http://www.imdb.com/title/tt0265632/?ref_=fn_tt_tt_1,USA,23000000,6.5
117,Bruce Spence,36200000,Tina Turner,Mad Max Beyond Thunderdome ,Angelo Rossitto,2,arena|desert|fight|mad max|post apocalypse,http://www.imdb.com/title/tt0089530/?ref_=fn_tt_tt_1,Australia,12305523,6.2
124,Vernon Wells,,Bill Duke,Commando ,Rae Dawn Chong,0,body count|dictator|jumping from an airplane|knife fight|one man army,http://www.imdb.com/title/tt0088944/?ref_=fn_tt_tt_1,USA,10000000,6.7
159,Rupert Evans,35794166,Lauren Cohan,The Boy ,Stephanie Lemelin,0,animate doll|doll|england|nanny|surprise ending,http://www.imdb.com/title/tt3882082/?ref_=fn_tt_tt_1,USA,10000000,6.0
273,Bokeem Woodbine,33583175,Bojana Novakovic,Devil ,Geoffrey Arend,0,devil|elevator|hit and run|throat slitting|trapped in an elevator,http://www.imdb.com/title/tt1314655/?ref_=fn_tt_tt_1,USA,10000000,6.3
26,Mike Epps,32983713,John Witherspoon,Friday After Next ,Katt Williams,0,apartment|christmas|christmas present|rent|security guard,http://www.imdb.com/title/tt0293815/?ref_=fn_tt_tt_1,USA,20000000,5.8
242,Hayley Kiyoko,52200504,Lin Shaye,Insidious: Chapter 3 ,Leigh Whannell,0,demon|possession|psychic|supernatural|teenager,http://www.imdb.com/title/tt3195644/?ref_=fn_tt_tt_1,Canada,10000000,6.1
55,Vanity,33000000,Mike Starr,The Last Dragon ,Keshia Knight Pulliam,1,cult film|kung fu|kung fu classic|martial arts|title spoken by character,http://www.imdb.com/title/tt0089461/?ref_=fn_tt_tt_1,USA,10000000,6.9
151,Brad Pitt,30093107,Jason Statham,Snatch ,Jason Flemyng,6,boxer|boxing|diamond|fight|gypsy,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,UK,6000000,8.3
48,Austin O'Brien,32101000,Jeff Fahey,The Lawnmower Man ,Troy Evans,0,intelligence|science runs amok|scientist|supernatural power|virtual reality,http://www.imdb.com/title/tt0104692/?ref_=fn_tt_tt_1,UK,10000000,5.4
166,Alexis Dziena,31487293,Ari Graynor,Nick and Norah's Infinite Playlist ,Aaron Yoo,2,band|gay|gay friend|love|night,http://www.imdb.com/title/tt0981227/?ref_=fn_tt_tt_1,USA,9000000,6.7
206,Janeane Garofalo,30651422,Matt Damon,Dogma ,George Carlin,8,abortion|abortion clinic|angel|church|clinic,http://www.imdb.com/title/tt0120655/?ref_=fn_tt_tt_1,USA,10000000,7.4
92,Eva Amurri Martino,30306281,Erika Christensen,The Banger Sisters ,Sal Lopez,2,bartender|groupie|lawyer|road trip|writer,http://www.imdb.com/title/tt0280460/?ref_=fn_tt_tt_1,USA,10000000,5.6
78,Al Leong,29500000,Albert Brooks,Twilight Zone: The Movie ,Vic Morrow,0,1940s|1960s|bar|kick the can|remake,http://www.imdb.com/title/tt0086491/?ref_=fn_tt_tt_1,USA,10000000,6.5
83,Kevin Tighe,30050028,Ben Gazzara,Road House ,Kelly Lynch,1,bikini|cult film|fired from the job|martial arts|violence,http://www.imdb.com/title/tt0098206/?ref_=fn_tt_tt_1,USA,17000000,6.5
8,Salli Richardson-Whitfield,29392418,Jada Pinkett Smith,A Low Down Dirty Shame ,Charles S. Dutton,2,drugs|ex cop|gun fu|machismo|shootout,http://www.imdb.com/title/tt0110399/?ref_=fn_tt_tt_1,USA,10000000,5.8
86,Shiri Appleby,28563926,Erika Christensen,Swimfan ,Jason Ritter,0,high school|hospital|new jersey|stanford university|swimming,http://www.imdb.com/title/tt0283026/?ref_=fn_tt_tt_1,USA,8500000,5.0
85,Danny Woodburn,28435406,Dane Cook,Employee of the Month ,Jessica Simpson,2,competition|date|employee|laser in eyes|slacker,http://www.imdb.com/title/tt0424993/?ref_=fn_tt_tt_1,USA,12000000,5.5
76,Lauren Ambrose,25339117,Ethan Embry,Can't Hardly Wait ,Charlie Korsmo,4,graduation|high school|letter|nerd|party,http://www.imdb.com/title/tt0127723/?ref_=fn_tt_tt_1,USA,10000000,6.5
60,William Smith,25600000,Tom Cruise,The Outsiders ,Tom Waits,0,dysfunctional family|gang|greaser|holding someone's head underwater|rivalry,http://www.imdb.com/title/tt0086066/?ref_=fn_tt_tt_1,USA,10000000,7.2
78,Oona Laurence,,Bryce Dallas Howard,Pete's Dragon ,Isiah Whitlock Jr.,0,,http://www.imdb.com/title/tt2788732/?ref_=fn_tt_tt_1,USA,65000000,7.3
