actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,movie_title,content_rating,budget,movie_facebook_likes
35,Nicky Katt,187,The Way of the Gun ,R,8500000,1000
471,Rory Culkin,1000,Igby Goes Down ,R,9000000,838
219,Matt Ross,4000,PCU ,PG-13,8000000,0
633,Drew Fuller,970,The Ultimate Gift ,PG,,0
140,Katherine Kelly Lang,177,The Bold and the Beautiful             ,TV-14,,748
297,John Carradine,1000,The Ice Pirates ,PG,9000000,0
261,John Doman,702,Gracie ,PG-13,9000000,313
316,Garry Shandling,745,Trust the Man ,R,9000000,215
611,Amy Poehler,1000,Hamlet 2 ,R,9000000,1000
277,Eddie Izzard,23000,Velvet Goldmine ,R,,0
0,Jun Kunimura,45,The Wailing ,Not Rated,,0
748,Heather Morris,2000,Glee: The 3D Concert Movie ,PG,9000000,0
6,Chatchai Plengpanich,7,The Legend of Suriyothai ,R,400000000,124
433,Adrienne Barbeau,982,Two Evil Eyes ,R,9000000,375
5,Julie Engelbrecht,186,Barbecue ,,,348
25,Ruth Sheen,149,All or Nothing ,R,9000000,484
204,Will Patton,679,Princess Kaiulani ,PG,9000000,0
18,Vince Colosimo,185,Opal Dream ,PG,11400000,135
558,Joshua Mikel,22000,Heist ,R,19000000,0
104,Thure Lindhardt,573,Flame and Citron ,Not Rated,45000000,0
230,Kip Pardue,922,Undiscovered ,PG-13,9000000,128
35,Warren Clarke,10000,Red Riding: In the Year of Our Lord 1974 ,Not Rated,,0
98,Ronit Elkabetz,963,The Girl on the Train ,Unrated,,120
664,Erika Christensen,4000,Veronika Decides to Die ,R,9000000,3000
93,Linda Kozlowski,442,Crocodile Dundee ,PG-13,8800000,0
151,Steven Waddington,722,Ultramarines: A Warhammer 40,000 Movie ,R,,0
327,Sarah Polley,1000,The I Inside ,R,8800000,458
59,Gyton Grantley,174,Beneath Hill 60 ,R,9000000,0
68,Maïwenn,580,Polisse ,Not Rated,,0
896,Fisher Stevens,4000,Awake ,R,8600000,0
265,James Arnold Taylor,668,Star Wars: The Clone Wars             ,TV-PG,,2000
305,Mike Dopud,2000,Skin Trade ,R,9000000,0
673,Jami Gertz,967,The Lost Boys ,R,,19000
175,Beth Grant,12000,Crazy Heart ,R,7000000,0
122,Frederic Forrest,563,The Rose ,R,8500000,1000
1000,Christina Milian,3000,Baggage Claim ,PG-13,8500000,0
170,David Hemmings,949,Barbarella ,PG,9000000,0
3,Louisa Milwood-Haigh,35,Shipwrecked ,PG,60000000,278
133,Chris Klein,2000,Election ,R,8000000,0
341,Brooke Smith,579,The Namesake ,PG-13,,0
429,Romany Malco,35000,The DUFF ,PG-13,8500000,8000
202,Max Beesley,736,Glitter ,PG-13,22000000,0
559,Cicely Tyson,1000,The Haunting in Connecticut 2: Ghosts of Georgia ,R,9000000,0
13,Sung-kee Ahn,28,Silmido ,,8000000,387
179,Paul Schneider,2000,Bright Star ,PG,8500000,0
81,Jimmy Shergill,8000,My Name Is Khan ,PG-13,12000000,27000
304,Chris Penn,967,Footloose ,PG,8200000,0
,,0,All Is Lost ,PG-13,9000000,18000
39,Casey Siemaszko,638,Limbo ,R,8000000,196
119,Clive Standen,3000,Namastey London ,,,341
6,Orla Fitzgerald,97,The Wind That Shakes the Barley ,Not Rated,,0
417,Madhuri Dixit,964,Yeh Jawaani Hai Deewani ,Not Rated,,0
225,William Zabka,668,The Karate Kid ,PG,8000000,0
346,Deborah Kerr,440,Quo Vadis ,Passed,7623000,1000
636,Paris Hilton,2000,Repo! The Genetic Opera ,R,8500000,8000
173,Bergüzar Korel,205,Valley of the Wolves: Iraq ,,8300000,467
857,Eric Stoltz,13000,Pulp Fiction ,R,8000000,45000
842,Jim Henson,1000,The Muppet Movie ,G,,0
85,Michael Papajohn,15000,Nightcrawler ,R,8500000,65000
422,Lindsay Price,861,Club Dread ,R,8550000,713
195,Angela Cartwright,354,The Sound of Music ,G,8200000,15000
51,Howard Morris,15000,Splash ,PG,8000000,0
27,Steven Christopher Parker,7000,Little Miss Sunshine ,R,8000000,15000
107,Frances Lee McCain,217,Stand by Me ,R,8000000,24000
27,Megan Burns,133,28 Days Later... ,R,8000000,11000
360,Marques Houston,389,You Got Served ,PG-13,8000000,0
459,Patrick McGoohan,16000,Escape from Alcatraz ,PG,8000000,0
458,Sanaa Lathan,1000,Brown Sugar ,PG-13,8000000,0
388,Lynn Whitfield,585,A Thin Line Between Love and Hate ,R,8000000,559
3000,Anna Kendrick,23000,50/50 ,R,8000000,40000
297,David Denman,449,Shutter ,PG-13,8000000,0
602,Hal Holbrook,875,Creepshow ,R,8000000,0
117,Lola Glaudini,363,That Awkward Moment ,R,8000000,0
213,Dabney Coleman,484,Modern Problems ,PG,8000000,495
102,Natalie Stephany Aguilar,861,Kicks ,R,,240
591,Denzel Washington,18000,Much Ado About Nothing ,PG-13,8000000,0
244,George Lazenby,803,On Her Majesty's Secret Service ,M,7000000,0
460,Philip Winchester,666,The Player             ,TV-14,,0
112,Heather Langenkamp,969,New Nightmare ,R,8000000,0
292,Mark Webber,452,Drive Me Crazy ,PG-13,8000000,0
268,Sean Michael Afable,876,Akeelah and the Bee ,PG,,0
475,Harland Williams,744,Half Baked ,R,8000000,0
631,Frances Conroy,24000,New in Town ,PG,8000000,0
414,Amr Waked,13000,Syriana ,R,50000000,0
517,Justin Theroux,23000,American Psycho ,R,7000000,18000
596,Zooey Deschanel,15000,The Good Girl ,R,5000000,938
50,Richard Howland,539,Bon Cop Bad Cop ,R,8000000,758
968,Julie Benz,12000,The Boondock Saints II: All Saints Day ,R,8000000,0
86,Omar Metwally,471,The City of Your Final Destination ,PG-13,8300000,638
216,Ben Falcone,434,Enough Said ,PG-13,8000000,12000
424,Dan Byrd,15000,Easy A ,PG-13,8000000,19000
582,Joe Morton,851,The Inkwell ,R,,160
306,Udo Kier,776,Shadow of the Vampire ,R,8000000,0
741,Thomas McDonell,1000,Prom ,PG,8000000,0
636,Michael Rapaport,1000,The Pallbearer ,PG-13,8000000,125
660,Nia Long,883,Held Up ,PG-13,8000000,77
417,John de Lancie,1000,Woman on Top ,R,8000000,859
136,Vanessa Redgrave,12000,Howards End ,PG,,788
648,Joseph Gilgun,3000,Preacher             ,TV-MA,,18000
0,Tom Noonan,1000,Anomalisa ,R,8000000,0
386,Imelda Staunton,1000,Another Year ,PG-13,10000000,0
569,Isabelle Huppert,963,8 Women ,R,8000000,0
112,Tia Carrere,1000,Showdown in Little Tokyo ,R,8000000,0
168,Vince Vieluf,1000,Clay Pigeons ,R,8000000,515
472,Jeremy Davies,943,It's Kind of a Funny Story ,PG-13,8000000,20000
594,Robbie Kay,5000,Made in Dagenham ,R,7200000,0
291,Jim Broadbent,14000,When Did You Last See Your Father? ,PG-13,8000000,429
200,Laurel Holloman,1000,Prefontaine ,PG-13,8000000,0
249,Marina Sirtis,977,The Wicked Lady ,R,8000000,79
4,Mick Lally,61,The Secret of Kells ,Not Rated,6500000,11000
7,Karen Pittman,480,Begin Again ,R,8000000,43000
710,Bruce Dern,2000,Down in the Valley ,R,8000000,412
209,Tony Devon,480,Brooklyn Rules ,R,8000000,226
844,Hayley Atwell,3000,Restless ,,,434
1000,Robin Wright,21000,The Singing Detective ,R,8000000,494
227,Catherine McCormack,735,The Land Girls ,R,,75
33,Henry Czerny,553,Fido ,R,8000000,0
399,Eddie Griffin,8000,The Wendell Baker Story ,PG-13,8000000,143
405,Rupert Everett,10000,Wild Target ,PG-13,8000000,0
448,Larry Drake,905,Pathology ,R,8000000,3000
427,Jack O'Connell,27000,Wuthering Heights             ,,,0
463,Brad Renfro,954,10th & Wolf ,R,8000000,294
488,Chris Owen,947,Dear Wendy ,Unrated,50000000,532
47,Zen McGrath,144,Aloft ,R,8000000,675
4,Takeshi Kusao,6,Akira ,R,1100000000,0
1000,Olivia Wilde,23000,The Death and Life of Bobby Z ,R,22000000,0
23,Roy Dupuis,413,The Rocket: The Legend of Rocket Richard ,PG,8000000,520
600,Josh Henderson,31000,Swelter ,R,8000000,438
11,Ruby Lin,163,My Lucky Star ,,,81
112,Ben Miles,186,Imagine Me & You ,R,7900000,0
189,Lucy Fry,502,Mr. Church ,PG-13,8000000,205
15,Ludivine Sagnier,844,Swimming Pool ,R,,0
376,Mark Wingett,1000,Green Street 3: Never Back Down ,R,,0
26,Joan Chen,848,The Blood of Heroes ,R,10000000,999
391,Helena Mattsson,981,Code of Honor ,R,8000000,689
325,Jessica Tandy,11000,Driving Miss Daisy ,PG,7500000,3000
890,Mekhi Phifer,1000,Soul Food ,R,7500000,508
36,Anita Mui,186,Rumble in the Bronx ,R,7500000,0
40,Reda Kateb,10000,Far from Men ,,7700000,2000
88,Cameron Bright,24000,Thank You for Smoking ,R,6500000,0
658,Lauren German,1000,Hostel: Part II ,R,10000000,0
221,Olivia Williams,3000,An Education ,PG-13,4500000,12000
161,Bridgette Wilson-Sampras,827,Shopgirl ,R,,1000
518,Beau Bridges,584,The Hotel New Hampshire ,R,7500000,345
147,Chi McBride,673,Narc ,R,7500000,1000
280,Paul Gross,611,Men with Brooms ,R,7500000,0
742,Jenny McCarthy,834,Witless Protection ,PG-13,7500000,140
249,Brenda Strong,373,The Work and the Glory ,PG,7500000,31
968,Mila Kunis,24000,Extract ,R,8000000,0
844,Cheech Marin,12000,Masked and Anonymous ,PG-13,,655
59,Edouard Baer,71,Alias Betty ,,50000000,26
158,Om Puri,631,Code 46 ,R,7500000,0
447,Jenny Agutter,5000,Outside Bet ,,7500000,223
911,Loretta Devine,3000,Crash ,R,6500000,18000
373,Michael McElhatton,3000,Albert Nobbs ,R,8000000,0
36,Nathin Butler,262,Black November ,,7500000,389
60,Mary Goggin,532,Ta Ra Rum Pum ,,6000000,108
106,Gena Rowlands,963,Persepolis ,PG-13,7300000,14000
664,Teri Polo,844,The Hole ,PG-13,12000000,0
93,Elyas M'Barek,287,The Wave ,,5000000,25000
500,Bella Heathcote,18000,The Neon Demon ,R,7000000,0
641,Jack O'Connell,788,Harry Brown ,R,7300000,0
4000,James Franco,24000,Spider-Man 3 ,PG-13,258000000,0
440,William Hootkins,488,The Omega Code ,PG-13,7500000,129
973,Jennifer Garner,24000,Juno ,PG-13,7500000,10000
96,Aki Aleong,294,Pound of Flesh ,R,7500000,0
175,Lois Maxwell,244,Diamonds Are Forever ,GP,7200000,0
3000,Marlon Brando,14000,The Godfather ,R,6000000,43000
92,Cynthia Rhodes,225,Flashdance ,R,4000000,0
11000,Chloë Grace Moretz,23000,500 Days of Summer ,PG-13,7500000,40000
11,Ian Mune,1000,The Piano ,R,7000000,0
11000,Alex Pettyfer,17000,Magic Mike ,R,7000000,54000
82,Emma Caulfield,1000,Darkness Falls ,PG-13,11000000,2000
189,Geoffrey Holder,581,Live and Let Die ,PG,7000000,0
430,Frankie Muniz,1000,My Dog Skip ,PG,5000000,0
61,Sakina Jaffrey,16000,Definitely, Maybe ,PG-13,,0
826,Loretta Devine,1000,Jumping the Broom ,PG-13,6600000,0
76,Elizabeth Debicki,29000,The Great Gatsby ,PG-13,105000000,115000
566,Tate Donovan,21000,Good Night, and Good Luck. ,PG,7500000,0
27,Michael J. Burg,22000,Capote ,R,7000000,0
4000,Steve Buscemi,16000,Desperado ,R,7000000,0
887,Sarah Polley,14000,The Claim ,R,20000000,141
1000,Adam Goldberg,4000,Fargo             ,TV-MA,,61000
440,Jenny Agutter,1000,Logan's Run ,PG,9000000,0
244,Hervé Villechaize,16000,The Man with the Golden Gun ,PG,13000000,2000
794,Vanity,1000,Action Jackson ,R,7000000,978
159,Shauna Macdonald,513,The Descent ,R,3500000,10000
69,Michael Jordan,13000,Michael Jordan to the Max ,,,407
270,Allison Miller,971,Devil's Due ,R,7000000,0
380,Mary Tyler Moore,718,Flirting with Disaster ,R,7000000,824
597,Ken Foree,1000,The Devil's Rejects ,R,7000000,0
970,Alyson Hannigan,4000,Buffy the Vampire Slayer             ,TV-14,2300000,6000
190,Rick Fox,637,Dope ,R,7000000,23000
826,Omar Epps,1000,In Too Deep ,R,7000000,375
393,Helen McCrory,883,Skyfall ,PG-13,200000000,80000
303,Matthew McGrory,1000,House of 1000 Corpses ,R,7000000,0
23,Elizabeth MacRae,246,Alien Zone ,PG,350000,44
98,Fred Melamed,816,A Serious Man ,R,7000000,10000
970,Robert Duvall,13000,Get Low ,PG-13,7500000,0
304,Richard E. Grant,687,Warlock ,R,7000000,0
