director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,language,country,content_rating,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Mary Lambert,49,105,52,275,477,3668,A.J. Buckley,4,clique|country club|female protagonist|lip gloss|title directed by female,English,USA,PG-13,397,4.6,1.85,157
Tommy Lee Jones,172,107,0,289,572,34194,Guillermo Arriaga,2,cemetery|friend|journey|mexico|promise,English,France,R,324,7.5,2.35,0
Peter Kassovitz,68,120,0,693,49000,12601,Michael Jeter,2,german|ghetto|hope|nazi|radio,English,France,PG-13,1000,6.5,1.85,0
Shane Black,223,103,1000,611,21000,175962,Larry Miller,2,actor|detective sergeant|hotel|nightclub|thief,English,USA,R,1000,7.6,2.35,0
Rodman Flender,59,92,6,577,890,33745,Elden Henson,0,breasts|female frontal nudity|nude woman murdered|slow motion scene|trailer home,English,USA,R,729,6.2,1.85,0
David Lynch,252,147,0,669,6000,235992,Laura Harring,1,amnesia|car accident|female protagonist|lesbian sex|loss of memory,English,France,R,889,8.0,1.85,16000
Katja von Garnier,106,98,18,220,837,15388,Chris Geere,0,colorado|love|murder|rocky mountains|werewolf,English,USA,PG-13,400,5.5,2.35,0
Woody Allen,223,98,11000,557,12000,36145,Ewen Bremner,0,call girl|charlatan|fortune teller|manuscript|writer,English,USA,R,6000,6.3,1.85,0
Mark Romanek,328,103,132,844,10000,109873,Charlotte Rampling,0,boarding school|childhood|love|love triangle|organ donation,English,UK,R,882,7.2,2.35,33000
,9,286,,527,857,3828,Alessandro Nivola,3,cia|mole|revolution|spy|ussr,English,USA,,555,7.9,1.78,733
Brad Anderson,150,111,122,25,918,42792,Mac McDonald,0,35 mm digital camera|drugs|murder|train|travel,English,Spain,R,278,6.7,2.35,0
Michael Chapman,21,98,70,90,876,4996,Mike Muscat,0,cave bear|cro magnon|neanderthal|survival|tradition,English,USA,R,324,5.3,2.35,843
Antonio Banderas,28,111,0,617,783,5917,Noah Emmerich,0,abusive husband|alabama|boy|dream|sheriff,English,USA,PG-13,664,6.3,2.35,391
Michael Haneke,250,111,0,287,6000,69569,Brady Corbet,0,breaking the fourth wall|looking at the camera|remake|serial killer|violence,English,USA,R,294,6.5,1.85,0
Khalil Sullins,17,100,5,46,192,1933,Amber Marie Bollinger,0,divorce papers|fainting|mind control|playground|technology,English,Cambodia,,134,5.6,2.35,708
Atom Egoyan,95,116,460,71,5000,6690,Gerard McSorley,0,caterer|catering|chef|friend|lawn mower,English,Canada,PG-13,203,7.0,2.35,284
Fritz Lang,260,145,756,18,136,111841,Rudolf Klein-Rogge,1,art deco|bible quote|dance|silent film|worker,German,Germany,Not Rated,23,8.3,1.33,12000
Pierre Morel,141,84,180,58,510,55928,Dany Verissimo-Petit,2,bomb|gang|police|sister|undercover cop,French,France,R,297,7.2,2.35,0
Gary Fleder,52,115,39,642,12000,22345,Treat Williams,2,death|finger gun|video message|what happened to epilogue|wheelchair,English,USA,R,970,6.8,1.85,0
Hsiao-Hsien Hou,205,105,141,56,1000,9427,Satoshi Tsumabuki,1,black magic|china|love|refusal to kill|wuxia,Mandarin,Taiwan,Not Rated,103,6.4,1.37,0
Gregor Jordan,109,98,34,730,936,20730,Leon,1,berlin wall|germany|murder|soldier|specialist,English,UK,R,826,6.9,2.35,664
Andrey Zvyagintsev,103,99,445,9,20,31589,Nataliya Vdovina,0,boy|photograph|return|russian|wilderness,Russian,Russia,Unrated,13,8.0,1.85,0
Tony Jaa,110,110,0,7,64,24570,Sarunyu Wongkrachang,0,cult film|elephant|jungle|martial arts|stylized violence,Thai,Thailand,R,45,6.2,2.35,0
Neil Marshall,195,97,197,570,13000,64777,Dave Legeno,0,mushroom|mute|roman soldier|screaming|wood carving,English,UK,R,794,6.4,2.35,0
Russell Mulcahy,14,88,85,40,825,2699,Conrad Dunn,0,assassin|die hard scenario|rangefinder|soldier|veteran,English,Canada,R,476,5.6,2.35,154
Ryûhei Kitamura,177,103,129,1000,14000,47574,Leslie Bibb,0,butcher|girlfriend|mute character|photographer|subway,English,USA,R,1000,6.1,2.35,0
Darrell Roodt,17,104,36,2,549,609,Aubrey Poo,2,character name in title|nelson mandela|one word title|reference to winnie mandela|south africa,English,South Africa,R,248,6.0,,705
Dito Montiel,62,90,68,642,17000,14280,Tracy Morgan,5,housing project|letter|man with glasses|murder|subjective camera,English,USA,R,14000,5.1,2.35,0
Stefan Ruzowitzky,19,105,24,125,776,2236,Edward Fox,1,apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title,English,Germany,PG-13,595,4.5,2.35,193
Jake Paltrow,50,93,17,66,1000,7519,Keith Allen,1,commercial|dream|dreaming|girl|new york city,English,USA,R,165,5.9,1.85,445
Juraj Jakubisko,25,141,15,576,735,3425,Franco Nero,1,bathory|countess|female protagonist|legend|virgin blood,English,Slovakia,R,627,6.0,2.35,0
Anthony Silverston,39,85,0,912,14000,4006,Loretta Devine,0,herd|ostrich|waterhole|wildebeest|zebra,English,South Africa,Not Rated,12000,5.8,,0
Gabe Ibáñez,136,109,19,537,1000,41638,Melanie Griffith,0,child hitman|dystopia|future|robot|self repair,English,Bulgaria,R,889,6.1,2.35,13000
Gerry Lively,26,105,93,51,179,5018,Steven Elder,0,combat|helmet|martial arts|medieval times|violence,English,Germany,Not Rated,55,4.9,1.78,473
Daniele Luchetti,4,98,6,50,61,80,Ferdinando Vetere,0,,Spanish,Italy,,57,5.7,,18
Tung-Shing Yee,53,119,3,19,556,9177,Yasuaki Kurata,4,chinese|gang|gratitude|immigrant|japan,Mandarin,Hong Kong,R,353,7.1,2.35,821
Julien Temple,22,124,67,303,631,695,Linus Roache,1,betrayal|french revolution|friendship|poet|revolution,English,UK,PG-13,452,6.6,,277
Harold Ramis,147,101,11000,512,13000,437418,Willie Garson,1,cult film|existentialism|groundhog day|time loop|trapped in a time loop,English,USA,PG,571,8.1,1.85,38000
Gregory Jacobs,222,115,13,642,20000,38202,Kevin Nash,3,male bonding|male friendship|male objectification|muscular|stripper,English,USA,R,17000,5.7,2.35,41000
Baz Luhrmann,106,120,1000,954,29000,167750,Brian Dennehy,2,hawaiian shirt|love|shakespeare adaptation|shakespeare play|star crossed lovers,English,USA,PG-13,1000,6.8,2.35,10000
Gilles Paquet-Brenner,136,111,15,121,1000,12937,Arben Bajraktaraj,2,apartment|escape|jewish family|journalist|key,French,France,PG-13,767,7.5,2.35,0
Peter Cousens,5,94,5,124,467,993,Bart Shatto,2,19th century|christian film|hymn|religion|slave,English,USA,R,220,6.2,,998
Clint Eastwood,131,131,16000,638,16000,277505,Frances Fisher,1,englishman|leaving flowers on a grave|one last job|reputation|visiting wife's grave,English,USA,R,11000,8.3,2.35,10000
Lars von Trier,140,139,3000,236,3000,18646,Jean-Marc Barr,1,cotton|female frontal nudity|flogging|gangster|slavery,English,Denmark,Not Rated,769,7.4,2.35,1000
Danny Boyle,418,120,0,40,668,641997,Ayush Mahesh Khedekar,0,cheating|falling from height|murder|non professional cast|slum,English,UK,R,56,8.0,2.35,13000
Adrian Lyne,94,119,213,249,886,55101,Anne Archer,0,borderline personality disorder|killing a pet|madame butterfly|new york|new york city,English,USA,R,276,6.9,1.85,3000
Garry Marshall,82,125,0,700,8000,213476,Jason Alexander,2,businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman,English,USA,R,995,6.9,1.85,11000
John Blanchard,,65,0,176,770,10,Joe Flaherty,2,,English,Canada,,179,9.5,1.33,0
John Cornell,32,108,5,57,442,44096,John Meillon,1,australia|australian|crime boss|crocodile|gangster,English,Australia,PG,162,5.5,2.35,489
Vidhu Vinod Chopra,22,101,34,277,892,1554,Chad Bishop,0,,English,USA,R,355,5.7,2.35,0
Oliver Stone,72,145,0,560,10000,76842,Stephen Baldwin,0,desert|drunkenness|religious mother|strict mother|vietnam war,English,USA,R,854,7.2,2.35,4000
Jon Turteltaub,39,98,226,496,953,69733,Malik Yoba,1,bobsled|coach|jamaica|olympic games|olympics,English,USA,PG,730,6.9,1.85,0
Patrick Lussier,264,101,71,725,10000,45603,Edi Gathegi,0,coma|death|miner|valentine|valentine's day,English,USA,R,960,5.5,1.85,0
Ole Bornedal,264,92,30,309,941,47169,Natasha Calis,0,basketball coach|box|jewish|rabbi|yard sale,English,USA,PG-13,459,5.9,2.35,17000
Ted Kotcheff,145,93,270,535,13000,172493,Chris Mulkey,1,1980s|colonel|deputy|rambo|sheriff,English,USA,R,954,7.7,2.35,0
Sylvain White,86,109,41,748,997,19505,Harry Lennix,0,atlanta georgia|competition|dancer|death|fraternity,English,USA,PG-13,826,5.2,2.35,0
Lewis Gilbert,112,123,43,238,456,76477,Barbara Bach,2,1970s|cult film|official james bond series|submarine|world war three,English,UK,PG,244,7.1,2.35,0
,17,60,,84,155,5563,Jason Hawes,0,ghost|paranormal|paranormal research|shaky cam,English,USA,,130,6.6,,373
Jamie Blanks,101,99,9,648,975,47814,Julian Richings,4,campus|death|friend|professor|urban legend,English,USA,R,912,5.5,2.35,0
Stephen Frears,51,119,350,418,18000,52846,Swoosie Kurtz,2,catholic|corruption|emotional abuse|france|seduction,English,USA,R,17000,7.7,1.85,0
Tyler Perry,42,110,0,490,849,6352,Jamie Kennedy,1,businessman|fight|mean brother|narrated by character|wordplay in title,English,USA,PG-13,597,5.4,2.35,0
Randal Kleiser,10,107,116,25,327,15730,Susan Hogan,1,alaska|dog|friendship|gold|yukon,English,USA,PG,172,6.7,1.85,0
Bruce McCulloch,43,81,54,636,8000,15047,Molly Shannon,1,dancing|orphan|school|special education|student,English,USA,PG-13,670,5.0,1.85,2000
Phyllida Lloyd,331,105,58,583,11000,82327,Olivia Colman,1,british prime minister|female prime minister|politics|prime minister|told in flashback,English,UK,PG-13,1000,6.4,2.35,18000
Mike Nawrocki,38,82,12,8,23,3135,Shelby Vischer,0,anthropomorphism|pirate|pirate ship|tomato|whale,English,USA,G,12,6.6,1.85,184
John Singleton,12,109,309,279,592,8904,Maya Angelou,0,african american|mail carrier|poetry|postal worker|south central los angeles,English,USA,R,556,5.9,1.85,0
Kevin Bray,40,95,10,111,706,9693,Gino Salvano,2,black comedy|bounty hunter|diamond|machismo|money,English,USA,R,266,5.7,2.35,530
Wes Craven,34,100,0,364,723,17262,Allen Payne,1,blood|destiny|nightmare|partner|vampire,English,USA,R,422,4.5,1.85,1000
John Boorman,82,118,128,467,931,16294,Ned Beatty,7,demon|exorcism|locust|priest|repressed memory,English,USA,R,726,3.7,1.85,889
Courtney Solomon,125,91,31,50,874,22207,Vernon Dobtcheff,0,flashback|lifting someone into the air|paranormal phenomena|voice over letter|year 1818,English,UK,PG-13,613,5.0,2.35,0
David Zucker,56,90,119,636,869,24038,Molly Shannon,2,boss' daughter|crush|house sitter|housesitting|love interest,English,USA,PG-13,779,4.6,1.85,411
David Twohy,160,108,123,690,26000,56338,Marley Shelton,4,cliff|hawaii|island|newlywed|waterfall,English,USA,R,14000,6.5,2.35,4000
Rick Famuyiwa,71,103,44,625,953,5721,Lupe Ontiveros,2,california|love|marriage|wedding|wedding dress,English,USA,PG-13,849,4.9,2.35,1000
Alan Cohn,37,96,0,654,3000,11729,Poppy Montgomery,0,college|college roommate|party|roommate|student,English,USA,R,2000,6.0,1.85,645
Franco Zeffirelli,62,117,160,55,718,9323,Paolo Seganti,6,ambassador|american|art|english|italy,English,Italy,PG,330,6.9,1.85,970
Tom Holland,73,93,85,514,1000,19805,Kari Wuhrer,0,death|doctor|gypsy|judge|lawyer,English,USA,R,855,5.7,1.85,0
Martin Scorsese,59,136,17000,213,22000,13548,Mary Kay Place,0,love|musician|saxophonist|singer|songwriter,English,USA,PG,740,6.7,1.66,932
Spike Lee,25,115,0,534,1000,6011,Isaiah Washington,0,argument|birthday|bully|coming of age|semi autobiographical,English,USA,PG-13,848,6.9,1.85,905
Chris Rock,97,94,0,458,12000,13866,Wendell Pierce,3,banker|investment|investment banker|marriage|sex,English,USA,R,490,5.5,1.85,488
James Isaac,205,85,52,489,1000,38985,Lexa Doig,1,jason voorhees|lake|machete|scientist|slasher,English,USA,R,935,4.4,1.85,0
Shawn Levy,69,88,189,799,934,29008,Lee Majors,1,brunette|film producer|liar|prank|stunt,English,USA,PG,927,5.4,1.85,896
Emilio Estevez,195,112,0,383,12000,38142,Brian Geraghty,0,campaign|chess|friend|hotel|senator,English,USA,R,593,7.0,2.35,0
Mark Waters,61,86,70,169,878,11693,China Chow,5,apartment|fast motion scene|model|private investigation|suspected murder,English,USA,PG-13,834,5.4,2.35,613
Josh Schwartz,77,86,90,635,962,11233,Osric Chau,1,adult humor|best friend|friend|halloween|teenage girl,English,USA,PG-13,925,5.4,2.35,0
Julian Schnabel,259,112,232,177,413,89906,Isaach De Bankolé,1,arc de triomphe paris|based on autobiography|coma|elle magazine|male frontal nudity,French,France,PG-13,412,8.0,1.85,13000
Todd Field,251,137,143,280,14000,92781,Jane Adams,0,adulterous wife|bar|dysfunctional marriage|sex offender|suburb,English,USA,R,617,7.6,2.35,5000
Davis Guggenheim,63,90,49,191,12000,12519,Noam Jenkins,5,college|college campus|gossip|rape|sex,English,USA,R,215,5.9,2.35,853
Tony Goldwyn,47,107,956,113,10000,6782,Tovah Feldshuh,1,adulterous wife|cheating wife|summer|unfaithfulness|woodstock,English,USA,R,233,6.6,1.85,860
Phillip Noyce,108,98,176,15,543,9334,Bonnie Henna,3,attack|coach|colonel|jail|oil refinery,English,France,PG-13,113,6.7,2.35,447
Stephen Carpenter,64,84,12,102,159,7277,Candace Kroslak,4,car accident|college|ghost|girl in panties|white panties,English,USA,PG-13,102,3.9,1.85,231
James Ivory,20,139,133,5,423,2427,Nigel Whitmey,1,18th century|ambassador|french revolution|friendship|thomas jefferson,English,France,PG-13,15,5.7,1.85,127
Stephan Elliott,135,97,11,548,14000,16444,Kris Marshall,4,estate|female frontal nudity|female nudity|no panties|unhappy marriage,English,UK,PG-13,1000,6.7,2.35,2000
James Fargo,2,127,109,324,16000,524,Behrouz Vossoughi,0,afghanistan|caravan|rebel|russian|tribe,English,Iran,PG,469,6.5,2.35,76
Mike Leigh,262,150,608,43,149,17933,Karl Johnson,0,prism|rented room|scrofula|sketching|sunrise,English,UK,R,44,6.8,2.35,0
Alain Resnais,129,104,752,59,412,3174,Edouard Baer,0,dentist|letter|pilot|skateboard|wallet,French,France,PG,74,6.3,2.35,512
Costa-Gavras,69,132,333,284,380,11077,Ulrich Mühe,2,jesuit|jew|pope|priest|ss,English,France,Unrated,326,7.3,1.85,0
Chao-Bin Su,50,117,2,21,149,6069,Kelly Lin,2,martial arts|sword fight|wuxia,Mandarin,China,R,32,6.9,2.35,1000
Neil Burger,57,115,168,322,697,11704,Mark L. Young,0,college tuition|guitar|road trip|soldier|stranded,English,USA,R,329,7.0,1.85,702
Kenneth Lonergan,116,186,50,338,13000,12053,John Gallagher Jr.,1,accident|bus|loss of virginity|new york city|virginity,English,USA,R,1000,6.5,1.85,0
Bo Zenga,45,90,10,378,826,9928,Diora Baird,7,dollar bill|double entendre|escaped convict|halloween|striptease,English,Canada,R,521,3.6,1.85,934
Rob Reiner,87,90,0,767,1000,60460,Aidan Quinn,0,apology|falling in love|multiple perspectives|narrated by a girl|younger version of character,English,USA,PG,872,7.7,1.85,14000
Ang Lee,357,134,0,11000,15000,259837,Anne Hathaway,0,gay relationship|homosexuality|mountain|ranch|rodeo,English,USA,R,13000,7.7,1.85,13000
Jonathan Liebesman,348,101,473,429,833,167089,Jeremy Howard,0,18 wheeler|mutant|ninja|sewer|turtle,English,USA,PG-13,809,5.9,2.35,62000
Amy Heckerling,88,97,143,201,927,123390,Elisa Donovan,1,female protagonist|high school|makeover|matchmaker|popularity,English,USA,PG-13,281,6.8,1.85,0
Todd Haynes,181,107,162,135,2000,36542,Michael Gaston,2,african american|catastrophe|family relationships|farewell scene|therapy,English,USA,PG-13,258,7.4,1.85,0
Steve Pink,107,99,38,390,3000,28159,Collette Wolfe,4,acid trip|gameshow|hot tub|time lord|time machine,English,USA,R,837,5.1,1.85,0
,53,55,,2,20,12590,Olgierd Lukaszewicz,0,meaning of life|moral challenge|morality|search for meaning|ten commandments,Polish,Poland,TV-MA,3,9.1,1.33,0
Philip Kaufman,132,124,133,170,14000,44795,Amelia Warner,1,asylum|lust|male pubic hair|penis|pubic hair,English,UK,R,230,7.4,1.85,0
