director_name,actor_3_facebook_likes,actor_1_name,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,country
,84,Amy Bruni,552,0,http://www.imdb.com/title/tt0426697/?ref_=fn_tt_tt_1,57,USA
Jamie Blanks,648,Alicia Witt,3500,4,http://www.imdb.com/title/tt0146336/?ref_=fn_tt_tt_1,426,USA
Stephen Frears,418,Keanu Reeves,35501,2,http://www.imdb.com/title/tt0094947/?ref_=fn_tt_tt_1,143,USA
Tyler Perry,490,Eddie Cibrian,2226,1,http://www.imdb.com/title/tt1885265/?ref_=fn_tt_tt_1,43,USA
Randal Kleiser,25,Seymour Cassel,552,1,http://www.imdb.com/title/tt0103247/?ref_=fn_tt_tt_1,31,USA
Bruce McCulloch,636,Will Ferrell,10792,1,http://www.imdb.com/title/tt0167427/?ref_=fn_tt_tt_1,160,USA
Phyllida Lloyd,583,Meryl Streep,12894,1,http://www.imdb.com/title/tt1007029/?ref_=fn_tt_tt_1,350,UK
Mike Nawrocki,8,Phil Vischer,49,0,http://www.imdb.com/title/tt0298388/?ref_=fn_tt_tt_1,78,USA
John Singleton,279,Janet Jackson,1620,0,http://www.imdb.com/title/tt0107840/?ref_=fn_tt_tt_1,31,USA
Kevin Bray,111,Mike Epps,1421,2,http://www.imdb.com/title/tt0278295/?ref_=fn_tt_tt_1,33,USA
Wes Craven,364,John Witherspoon,2348,1,http://www.imdb.com/title/tt0114825/?ref_=fn_tt_tt_1,53,USA
John Boorman,467,Linda Blair,2704,7,http://www.imdb.com/title/tt0076009/?ref_=fn_tt_tt_1,252,USA
Courtney Solomon,50,Sissy Spacek,1608,0,http://www.imdb.com/title/tt0429573/?ref_=fn_tt_tt_1,747,UK
David Zucker,636,Carmen Electra,3007,2,http://www.imdb.com/title/tt0270980/?ref_=fn_tt_tt_1,123,USA
David Twohy,690,Chris Hemsworth,41359,4,http://www.imdb.com/title/tt0971209/?ref_=fn_tt_tt_1,215,USA
Rick Famuyiwa,625,America Ferrera,3299,2,http://www.imdb.com/title/tt1305583/?ref_=fn_tt_tt_1,20,USA
Alan Cohn,654,Alyson Hannigan,6861,0,http://www.imdb.com/title/tt0118301/?ref_=fn_tt_tt_1,106,USA
Franco Zeffirelli,55,Lily Tomlin,1148,6,http://www.imdb.com/title/tt0120857/?ref_=fn_tt_tt_1,157,Italy
Tom Holland,514,Joe Mantegna,2777,0,http://www.imdb.com/title/tt0117894/?ref_=fn_tt_tt_1,122,USA
Martin Scorsese,213,Robert De Niro,23378,0,http://www.imdb.com/title/tt0076451/?ref_=fn_tt_tt_1,75,USA
Spike Lee,534,Alfre Woodard,3267,0,http://www.imdb.com/title/tt0109504/?ref_=fn_tt_tt_1,39,USA
Chris Rock,458,Steve Buscemi,13446,3,http://www.imdb.com/title/tt0770772/?ref_=fn_tt_tt_1,55,USA
James Isaac,489,Peter Mensah,3050,1,http://www.imdb.com/title/tt0211443/?ref_=fn_tt_tt_1,673,USA
Shawn Levy,799,Frankie Muniz,3707,1,http://www.imdb.com/title/tt0265298/?ref_=fn_tt_tt_1,99,USA
Emilio Estevez,383,Anthony Hopkins,13528,0,http://www.imdb.com/title/tt0308055/?ref_=fn_tt_tt_1,270,USA
Mark Waters,169,Monica Potter,2165,5,http://www.imdb.com/title/tt0192111/?ref_=fn_tt_tt_1,104,USA
Josh Schwartz,635,Thomas McDonell,3715,1,http://www.imdb.com/title/tt1663143/?ref_=fn_tt_tt_1,32,USA
Julian Schnabel,177,Emmanuelle Seigner,1372,1,http://www.imdb.com/title/tt0401383/?ref_=fn_tt_tt_1,175,France
Todd Field,280,Kate Winslet,15337,0,http://www.imdb.com/title/tt0404203/?ref_=fn_tt_tt_1,320,USA
Davis Guggenheim,191,Norman Reedus,12776,5,http://www.imdb.com/title/tt0176783/?ref_=fn_tt_tt_1,112,USA
Tony Goldwyn,113,Viggo Mortensen,10368,1,http://www.imdb.com/title/tt0120613/?ref_=fn_tt_tt_1,114,USA
Phillip Noyce,15,Derek Luke,678,3,http://www.imdb.com/title/tt0437232/?ref_=fn_tt_tt_1,59,France
Stephen Carpenter,102,Melissa Sagemiller,417,4,http://www.imdb.com/title/tt0218619/?ref_=fn_tt_tt_1,181,USA
James Ivory,5,Seth Gilliam,446,1,http://www.imdb.com/title/tt0113463/?ref_=fn_tt_tt_1,27,France
Stephan Elliott,548,Colin Firth,16431,4,http://www.imdb.com/title/tt0808244/?ref_=fn_tt_tt_1,79,UK
James Fargo,324,Christopher Lee,17250,0,http://www.imdb.com/title/tt0077296/?ref_=fn_tt_tt_1,8,Iran
Mike Leigh,43,Lesley Manville,390,0,http://www.imdb.com/title/tt2473794/?ref_=fn_tt_tt_1,165,UK
Alain Resnais,59,Mathieu Amalric,799,0,http://www.imdb.com/title/tt1156143/?ref_=fn_tt_tt_1,31,France
Costa-Gavras,284,Sebastian Koch,1429,2,http://www.imdb.com/title/tt0280653/?ref_=fn_tt_tt_1,55,France
Chao-Bin Su,21,Woo-sung Jung,243,2,http://www.imdb.com/title/tt1460743/?ref_=fn_tt_tt_1,34,China
Neil Burger,322,John Heard,2243,0,http://www.imdb.com/title/tt0981072/?ref_=fn_tt_tt_1,36,USA
Kenneth Lonergan,338,Matt Damon,14638,1,http://www.imdb.com/title/tt0466893/?ref_=fn_tt_tt_1,119,USA
Bo Zenga,378,Steve Howey,2207,7,http://www.imdb.com/title/tt1185266/?ref_=fn_tt_tt_1,66,Canada
Rob Reiner,767,Madeline Carroll,4377,0,http://www.imdb.com/title/tt0817177/?ref_=fn_tt_tt_1,104,USA
Ang Lee,11000,Jake Gyllenhaal,39789,0,http://www.imdb.com/title/tt0388795/?ref_=fn_tt_tt_1,2254,USA
Jonathan Liebesman,429,Noel Fisher,2690,0,http://www.imdb.com/title/tt1291150/?ref_=fn_tt_tt_1,491,USA
Amy Heckerling,201,Donald Faison,1724,1,http://www.imdb.com/title/tt0112697/?ref_=fn_tt_tt_1,248,USA
Todd Haynes,135,Dennis Quaid,2447,2,http://www.imdb.com/title/tt0297884/?ref_=fn_tt_tt_1,378,USA
Steve Pink,390,Adam Scott,4702,4,http://www.imdb.com/title/tt2637294/?ref_=fn_tt_tt_1,96,USA
,2,Krystyna Janda,25,0,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1,37,Poland
Philip Kaufman,170,Kate Winslet,14726,1,http://www.imdb.com/title/tt0180073/?ref_=fn_tt_tt_1,314,UK
Martin McDonagh,816,Abbie Cornish,4757,7,http://www.imdb.com/title/tt1931533/?ref_=fn_tt_tt_1,284,UK
Kasi Lemmons,400,Colm Feore,1767,0,http://www.imdb.com/title/tt0182000/?ref_=fn_tt_tt_1,59,USA
,2,Jacek Koman,74,4,http://www.imdb.com/title/tt4048942/?ref_=fn_tt_tt_1,2,Poland
Oliver Hirschbiegel,471,Thomas Kretschmann,2334,0,http://www.imdb.com/title/tt0363163/?ref_=fn_tt_tt_1,564,Germany
Alejandro Amenábar,93,Belén Rueda,529,1,http://www.imdb.com/title/tt0369702/?ref_=fn_tt_tt_1,140,Spain
Jonathan Glazer,21,Scarlett Johansson,19086,0,http://www.imdb.com/title/tt1441395/?ref_=fn_tt_tt_1,616,UK
Barry Levinson,227,Robin Williams,50141,1,http://www.imdb.com/title/tt0093105/?ref_=fn_tt_tt_1,131,USA
Hyung-rae Shim,385,Jason Mewes,2895,5,http://www.imdb.com/title/tt1584131/?ref_=fn_tt_tt_1,17,South Korea
Jon M. Chu,41,Usher Raymond,714,1,http://www.imdb.com/title/tt1702443/?ref_=fn_tt_tt_1,233,USA
Darren Aronofsky,1000,Natalie Portman,38072,1,http://www.imdb.com/title/tt0947798/?ref_=fn_tt_tt_1,1140,USA
José Padilha,1000,Gary Oldman,14160,0,http://www.imdb.com/title/tt1234721/?ref_=fn_tt_tt_1,630,USA
Francis Ford Coppola,3000,Robert De Niro,39960,1,http://www.imdb.com/title/tt0071562/?ref_=fn_tt_tt_1,650,USA
Thomas Carter,237,Sean Patrick Thomas,1307,0,http://www.imdb.com/title/tt0206275/?ref_=fn_tt_tt_1,320,USA
Renny Harlin,54,Tuesday Knight,450,0,http://www.imdb.com/title/tt0095742/?ref_=fn_tt_tt_1,260,USA
Patricia Riggen,579,Jennifer Garner,7833,0,http://www.imdb.com/title/tt4257926/?ref_=fn_tt_tt_1,55,USA
Danny Leiner,612,Jennifer Garner,6454,2,http://www.imdb.com/title/tt0242423/?ref_=fn_tt_tt_1,469,USA
Christopher Cain,316,Jack Palance,1747,5,http://www.imdb.com/title/tt0096487/?ref_=fn_tt_tt_1,120,USA
Theodore Melfi,360,Bill Murray,20330,3,http://www.imdb.com/title/tt2170593/?ref_=fn_tt_tt_1,171,USA
Steve Pink,460,Joe Lo Truglio,2800,4,http://www.imdb.com/title/tt1826590/?ref_=fn_tt_tt_1,42,USA
Gil Junger,835,Joseph Gordon-Levitt,37907,6,http://www.imdb.com/title/tt0147800/?ref_=fn_tt_tt_1,549,USA
Ed Decter,301,Zooey Deschanel,12687,1,http://www.imdb.com/title/tt0241760/?ref_=fn_tt_tt_1,159,USA
Gene Quintano,182,Jon Lovitz,12322,2,http://www.imdb.com/title/tt0107659/?ref_=fn_tt_tt_1,72,USA
Jaume Collet-Serra,2,Óscar Jaenada,971,0,http://www.imdb.com/title/tt4052882/?ref_=fn_tt_tt_1,139,USA
Eric Bress,829,Logan Lerman,12755,0,http://www.imdb.com/title/tt0289879/?ref_=fn_tt_tt_1,1100,USA
Chris Koch,329,Chris Elliott,2241,1,http://www.imdb.com/title/tt0184907/?ref_=fn_tt_tt_1,91,USA
Preston A. Whitmore II,912,Mekhi Phifer,6554,9,http://www.imdb.com/title/tt0937375/?ref_=fn_tt_tt_1,32,USA
Bob Clark,782,Kathleen Turner,2936,2,http://www.imdb.com/title/tt0118665/?ref_=fn_tt_tt_1,168,USA
Kirk Wong,459,Bokeem Woodbine,3353,5,http://www.imdb.com/title/tt0120609/?ref_=fn_tt_tt_1,168,USA
Bronwen Hughes,388,Gregory Smith,2486,1,http://www.imdb.com/title/tt0116493/?ref_=fn_tt_tt_1,42,USA
John Lafia,435,Jenny Agutter,2646,0,http://www.imdb.com/title/tt0099253/?ref_=fn_tt_tt_1,166,USA
Sam Miller,334,Leslie Bibb,2297,2,http://www.imdb.com/title/tt2011159/?ref_=fn_tt_tt_1,84,USA
Frank Darabont,745,Toby Jones,5371,0,http://www.imdb.com/title/tt0884328/?ref_=fn_tt_tt_1,1066,USA
Alex Garland,123,Elina Alminas,430,0,http://www.imdb.com/title/tt0470752/?ref_=fn_tt_tt_1,611,UK
Spike Jonze,213,Willie Garson,1171,2,http://www.imdb.com/title/tt0120601/?ref_=fn_tt_tt_1,840,USA
Mark Brown,405,Mo'Nique,2815,2,http://www.imdb.com/title/tt0269341/?ref_=fn_tt_tt_1,31,USA
Dave Green,140,Teo Halm,1921,0,http://www.imdb.com/title/tt2183034/?ref_=fn_tt_tt_1,149,USA
John Stockwell,525,Kirsten Dunst,6214,2,http://www.imdb.com/title/tt0250224/?ref_=fn_tt_tt_1,169,USA
Clint Eastwood,78,Yuki Matsuzaki,751,0,http://www.imdb.com/title/tt0498380/?ref_=fn_tt_tt_1,316,USA
Michael Polish,844,J.K. Simmons,27806,0,http://www.imdb.com/title/tt0469263/?ref_=fn_tt_tt_1,128,USA
Daisy von Scherler Mayer,744,LL Cool J,3352,0,http://www.imdb.com/title/tt0120531/?ref_=fn_tt_tt_1,20,USA
Lenny Abrahamson,491,Joan Allen,2499,0,http://www.imdb.com/title/tt3170832/?ref_=fn_tt_tt_1,351,Ireland
Bob Saget,294,Don Rickles,1805,0,http://www.imdb.com/title/tt0120654/?ref_=fn_tt_tt_1,117,Canada
John Waters,650,Kathleen Turner,3092,4,http://www.imdb.com/title/tt0111127/?ref_=fn_tt_tt_1,107,USA
Andrew Fleming,4000,Ryan Reynolds,31005,2,http://www.imdb.com/title/tt0144168/?ref_=fn_tt_tt_1,210,France
Niels Arden Oplev,75,Michael Nyqvist,998,0,http://www.imdb.com/title/tt1639008/?ref_=fn_tt_tt_1,,Sweden
Craig Bolotin,730,Rosario Dawson,6485,3,http://www.imdb.com/title/tt0172726/?ref_=fn_tt_tt_1,39,USA
Mark Christopher,812,Salma Hayek,6910,4,http://www.imdb.com/title/tt0120577/?ref_=fn_tt_tt_1,181,USA
Blair Hayes,690,Jake Gyllenhaal,18864,0,http://www.imdb.com/title/tt0258470/?ref_=fn_tt_tt_1,181,USA
Jez Butterworth,258,Mark Gatiss,1775,1,http://www.imdb.com/title/tt0188453/?ref_=fn_tt_tt_1,159,UK
Jon Lucas,499,Justin Chon,2730,0,http://www.imdb.com/title/tt1711425/?ref_=fn_tt_tt_1,84,USA
Olivier Assayas,280,Steve Buscemi,13208,0,http://www.imdb.com/title/tt0401711/?ref_=fn_tt_tt_1,123,France
Rod Lurie,548,Harry Lennix,2417,1,http://www.imdb.com/title/tt0416185/?ref_=fn_tt_tt_1,59,USA
Paul Weitz,252,Tina Fey,3004,2,http://www.imdb.com/title/tt1814621/?ref_=fn_tt_tt_1,87,USA
Patrice Leconte,8,Emir Kusturica,2389,1,http://www.imdb.com/title/tt0191636/?ref_=fn_tt_tt_1,69,France
Atom Egoyan,73,Liam Neeson,14372,2,http://www.imdb.com/title/tt1352824/?ref_=fn_tt_tt_1,166,USA
Paul Mazursky,150,Chazz Palminteri,1679,3,http://www.imdb.com/title/tt0116269/?ref_=fn_tt_tt_1,19,USA
Jim Sheridan,1000,Natalie Portman,39473,0,http://www.imdb.com/title/tt0765010/?ref_=fn_tt_tt_1,201,USA
Sidney Lumet,968,Peter Dinklage,37606,2,http://www.imdb.com/title/tt0419749/?ref_=fn_tt_tt_1,108,Germany
Stephen Chbosky,850,Logan Lerman,13631,2,http://www.imdb.com/title/tt1659337/?ref_=fn_tt_tt_1,457,USA
Jon Hess,147,Burt Young,1139,1,http://www.imdb.com/title/tt0104215/?ref_=fn_tt_tt_1,23,USA
Douglas McGrath,442,Toby Jones,3474,4,http://www.imdb.com/title/tt0420609/?ref_=fn_tt_tt_1,102,USA
Michael Winterbottom,887,Milla Jovovich,17104,4,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,92,UK
Mark Neveldine,794,Djimon Hounsou,7875,0,http://www.imdb.com/title/tt1524575/?ref_=fn_tt_tt_1,53,USA
Joe Cornish,304,John Boyega,2011,6,http://www.imdb.com/title/tt1478964/?ref_=fn_tt_tt_1,297,UK
Angelina Jolie Pitt,116,Jelena Jovanova,796,0,http://www.imdb.com/title/tt1714209/?ref_=fn_tt_tt_1,180,USA
Brad Anderson,383,Michael Imperioli,2812,0,http://www.imdb.com/title/tt1911644/?ref_=fn_tt_tt_1,266,USA
