duration,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,content_rating,title_year,actor_2_facebook_likes
81,93,847,,268,1151,6,,2013,94
92,482,970,44540956,161448,3950,1473,PG,2004,759
90,92,1000,258113,42678,1528,135,R,2013,235
84,21,189,107917283,184824,330,1189,R,2007,109
91,5,22,1293295,10366,54,88,PG-13,2001,20
91,332,795,1229197,382240,2158,660,PG,1975,561
90,138,231,1689999,3675,771,48,R,2006,200
96,6,361,11798,179,387,18,,2003,14
60,833,1000,,202115,4908,379,TV-14,,923
88,0,58,592014,5709,78,114,Unrated,2003,20
92,12,93,425899,1123,168,31,PG,2010,31
97,271,935,,143,2350,5,,2014,709
82,22,48,126387,14985,123,253,X,1981,22
22,6,59,,7458,81,82,TV-PG,,11
101,149,642,80276912,140740,1026,151,PG-13,2008,171
80,39,108,,4788,272,52,R,2005,64
97,33,114,,10577,260,64,R,1985,61
84,36,169,25918,191,312,10,R,2002,80
97,83,918,,369,1163,5,R,2004,100
91,92,440,,19964,809,197,R,1972,132
123,9,436,,10718,481,88,Not Rated,1916,22
86,513,643,617172,4407,2864,75,PG,1997,606
100,4,77,2808000,4546,109,71,Passed,1929,28
96,58,634,,141219,813,740,NC-17,1981,66
89,118,470,12843,27297,1233,131,Not Rated,2012,378
84,,3,34151,186,3,3,,2015,
88,0,15,1523883,9037,15,70,R,2005,0
90,93,615,4000000,6046,872,46,R,1987,96
90,0,0,84689,695,0,16,Unrated,2005,0
43,576,2000,,72017,5052,323,TV-14,,821
98,0,196,,209,199,8,,2015,3
101,598,2000,47000000,157863,4400,1191,R,1978,742
96,253,359,,447785,1433,888,Not Rated,1957,259
83,258,812,246574,1272,1370,15,,2009,277
65,21,380,,64888,540,235,Unrated,1934,114
94,14,47,110197,44864,126,170,Unrated,2009,37
112,321,786,7707563,7687,2638,32,R,2003,633
102,276,409,1281176,2932,1986,73,PG-13,1999,277
98,912,10000,16115878,24438,13433,194,R,1995,1000
91,8,75,1652472,2843,102,25,R,1996,9
80,543,1000,2360184,18035,3010,177,PG-13,2003,806
114,2,19,,270,37,7,,1998,16
76,26,52,255352,4423,132,57,Unrated,2006,44
80,26,375,856942,12241,460,112,R,2008,44
88,301,795,,554,1884,23,R,2010,659
110,0,710,,19386,967,74,Not Rated,1965,257
104,,2,32631,291,2,8,Not Rated,2005,0
102,,,16892,341,0,12,,2001,
95,87,581,12438,891,835,26,Not Rated,1964,99
94,104,318,40542,294,751,16,R,1997,157
109,25,54,5199,720,185,23,R,2004,53
90,32,502,,476,689,18,PG-13,2009,119
133,107,5000,24343673,91863,5405,524,PG-13,2007,117
110,221,644,1711,82,1440,1,,2015,503
80,668,13000,,19875,14950,147,R,1975,926
95,309,685,2468,241,2048,5,R,2014,665
94,87,156,,47,544,4,R,1990,102
98,248,500,,95,1545,7,R,2010,317
98,0,19,,569,19,1,Unrated,2015,0
96,180,431,,1905,1228,58,R,1981,338
97,313,778,,4550,2515,58,R,2011,456
90,235,601,318622,24668,1734,175,R,2012,260
113,781,13000,12006514,114070,15765,500,R,1997,1000
91,225,400,4186931,6041,1330,85,R,2001,286
90,99,466,,30,842,,R,2010,216
98,13,94,3799339,8000,139,138,R,2002,26
94,10,360,1977544,3513,656,36,R,1995,273
96,129,625,1050600,4662,1378,136,R,2000,487
100,51,250,902835,1489,454,40,Unrated,2001,89
90,185,569,,28,1461,,,2014,553
90,319,686,489220,160511,1743,696,R,1997,648
76,62,991,212285,1727,1661,21,R,1996,575
75,0,5,203134,1428,7,21,R,1997,2
78,142,308,191309,2787,1008,64,R,2004,249
90,224,34000,3388210,46813,34983,150,PG-13,2011,487
96,270,471,,24,1399,2,,2015,320
92,181,793,177840,708,1987,22,R,1999,605
75,7,100,47111,1227,127,11,,2005,8
99,461,924,49494,8511,2862,87,R,2013,835
58,250,887,,12848,2572,59,TV-MA,,340
86,41,68,,603,216,15,R,2004,64
92,22,35,45661,7148,114,32,PG-13,2007,32
101,289,766,,70076,2123,120,Not Rated,2009,438
81,5,119,18195,336,154,7,,1997,24
93,73,349,,602,631,18,G,2008,168
95,3,1000,,300,1056,8,PG,2010,53
107,76,135,,18486,457,215,,2009,115
98,104,337,,450,694,10,PG,2010,168
35,152,338,,31,968,,,2007,219
108,180,602,,870,1991,18,R,1982,427
66,0,0,,6,0,1,PG,2013,0
95,89,236,,1488,537,28,PG-13,2012,206
99,224,1000,,1465,2166,56,Unrated,1998,393
108,3,288,,25,387,1,PG,2014,96
90,670,699,,37,3967,2,,2014,683
151,6,81,,4849,108,45,Not Rated,1925,12
83,29,1000,,110,1244,1,,2006,185
108,142,431,,330,1087,2,,2013,297
92,146,27000,104792,84817,27507,145,R,2008,161
105,494,814,,146,2970,4,,2015,755
86,0,2,111300,575,2,6,Not Rated,2012,0
106,131,254,1027119,2742,964,73,R,2000,147
93,0,12,,161,24,5,X,1969,12
80,21,57,5000000,4812,205,88,Approved,1953,40
127,51,618,,22124,800,108,Approved,1954,53
93,28,728,,152232,928,303,R,1979,76
96,31,4000,4505922,63951,4230,252,R,1996,135
99,93,16000,3500000,147566,16534,235,R,1964,360
66,28,418,,4152,583,59,Approved,1933,85
85,0,66,381225,131,66,13,Unrated,2004,0
101,16,77000,2428241,2099,77046,26,PG-13,2010,21
97,305,1000,78030,1034,3021,10,R,2012,1000
119,9,24,59774,4212,69,18,Unrated,2010,20
103,61,96,174682,460,314,14,,2002,90
86,15,178,215185,48,279,2,PG-13,2008,58
106,273,17000,32154410,148334,18469,274,R,2013,681
90,10,169,,2413,206,112,R,2003,25
95,45,471,,81,705,1,,2015,89
94,156,259,,1328,711,22,PG-13,2010,165
84,98,962,140016,3507,2016,40,R,2008,873
89,15,138,,78,192,1,,2014,18
59,0,27,,352,27,4,,2004,0
126,0,0,,9903,0,49,Not Rated,1955,0
86,782,3000,15542,6689,7144,51,R,2008,985
87,131,505,,129799,1181,638,Not Rated,2007,323
106,0,2,1111,771,2,10,PG-13,2006,0
86,32,563,,1338,828,32,,2004,194
89,31,236,,374,518,10,PG,2008,189
105,27,178,,37,263,1,,2012,32
93,75,110,,191,338,1,,2014,79
94,178,433,,15,1112,3,,2012,375
89,27,36,925402,27882,100,130,PG,1997,35
97,67,507,469947,19846,654,68,Not Rated,2011,75
88,46,539,7137502,4769,708,26,R,1986,53
78,0,0,,27,0,1,,2014,0
104,0,0,,354,0,1,,2015,0
92,259,574,1316074,71387,1303,228,PG-13,2011,399
108,826,2000,,6025,4385,28,R,2014,1000
97,101,982,15180000,3340,1631,50,R,1971,535
109,26,270,,8,364,,,2014,54
78,184,376,2882062,5178,1144,101,PG-13,2000,346
85,18,200,9437933,90827,332,329,R,2007,96
88,3,142,110720,524,168,22,,1999,23
93,2,58,155984,586,62,9,Unrated,2009,2
86,115,498,,3813,895,27,,2012,204
98,21,52,,53,130,1,PG-13,2015,36
88,177,383,30859000,96411,1094,826,R,1974,371
25,27,39,,21826,139,126,TV-G,1965,36
72,0,0,4914,123,0,2,,2015,0
66,232,502,,502,1796,9,,2013,366
80,0,0,5858,260,0,2,,2014,0
91,42,909,6706368,22800,1048,133,R,1989,91
93,697,783,,14193,3700,106,R,1982,782
89,163,196,,100,942,3,R,2014,180
85,100,120,405614,15775,511,69,R,2011,119
62,,,,18,0,,,2013,
90,,,,102,0,7,,2005,
90,9,830,1573712,21618,973,62,R,2011,128
,,17,,172,17,,PG-13,2015,0
88,405,847,,3262,2364,46,,2007,686
88,405,847,,3262,2364,46,,2007,686
96,56,125,,87978,403,580,Unrated,1968,108
94,5,12,,1962,27,10,,1964,7
120,400,990,,1197,3525,8,R,2016,664
77,69,206,,98,516,5,,2003,81
111,51,589,10174663,12399,916,382,PG,2006,150
81,7,220,22757819,13521,276,150,R,2015,40
89,121,195,,69831,837,535,Unrated,1977,158
110,0,2,3000000,5,4,1,,1920,2
81,287,467,5228617,2770,1431,32,R,1987,322
100,545,1000,2643689,10499,2283,113,PG-13,1998,577
99,10,116,,509,170,10,R,1979,24
90,56,126,110536,4117,284,118,PG,2001,76
82,50,143,,73,417,4,PG,2014,134
88,307,3000,59379,12796,4729,52,Not Rated,2013,982
103,0,0,,16701,0,23,Not Rated,2012,0
80,140,798,,5747,1401,44,R,2007,279
68,75,142,,67,354,9,Approved,1948,86
81,10,416,,101,459,1,,2013,18
106,13,440,,544,564,19,GP,1971,98
77,0,45,,80,45,1,Unrated,2014,0
114,616,956,32721635,67824,3861,279,R,2009,878
80,0,103,,496,103,13,,2004,0
84,194,1000,3216970,142619,2065,586,R,1998,512
86,117,238,33598,405,623,15,R,1997,166
87,153,1000,536767,1622,1362,83,R,1998,184
80,3,118,,48,138,18,,2015,15
100,0,0,11529368,85028,0,404,PG,2004,0
82,128,968,40557,1389,2046,22,R,2011,407
82,442,10000,30084,5507,11642,23,R,2014,969
70,6,24,,4752,52,152,Approved,1962,16
75,46,267,,683,488,8,Unrated,2014,87
87,272,969,,760,2398,4,Not Rated,2012,778
87,9,35,,13065,97,136,R,2011,28
98,73,138,10246600,6375,388,36,R,1995,111
83,8,111,,3885,147,40,Not Rated,2013,19
99,3,866,,712,1179,9,R,1983,308
98,433,969,389804,11816,2530,35,Not Rated,2010,529
93,133,743,,485,1527,5,Not Rated,2012,413
,15,1000,,128,1077,3,,2006,36
111,,,,61,0,1,,2015,
47,5,19,,6261,43,99,,2005,9
92,,0,,53,0,10,,2013,
97,236,852,,48236,1922,180,PG-13,2014,680
81,18,26,,66,70,2,,2014,20
83,69,695,,733,1438,7,R,2013,571
