actor_1_facebook_likes,country,aspect_ratio
16000,Iran,2.35
149,UK,2.35
412,France,2.35
380,France,1.85
149,China,2.35
697,USA,1.85
13000,USA,1.85
826,Canada,1.85
1000,USA,1.85
15000,USA,1.85
833,USA,2.35
927,USA,1.85
2000,USA,1.85
3000,USA,1.85
20,Poland,1.33
14000,UK,1.85
2000,UK,2.35
539,USA,1.85
70,Poland,
918,Germany,1.85
273,Spain,2.35
19000,UK,1.85
49000,USA,1.85
898,South Korea,1.78
569,USA,1.85
20000,USA,2.35
10000,USA,2.35
22000,USA,1.85
656,USA,1.85
130,USA,1.85
3000,USA,1.85
3000,USA,1.37
549,USA,1.85
13000,USA,1.85
833,USA,2.35
23000,USA,1.85
11000,USA,1.85
11000,USA,1.85
619,USA,2.35
8000,USA,1.85
571,USA,1.85
1000,USA,2.35
899,USA,1.85
904,USA,1.85
694,USA,1.85
659,USA,1.85
1000,USA,2.35
2000,USA,1.85
149,UK,2.35
512,USA,1.85
939,USA,1.85
803,USA,1.85
4000,USA,1.85
378,USA,2.35
24000,USA,2.35
1000,USA,
805,Ireland,2.35
721,Canada,1.85
899,USA,1.66
16000,France,1.85
690,Sweden,
3000,USA,1.85
4000,USA,1.85
15000,USA,2.35
567,UK,2.35
552,USA,2.35
12000,France,1.85
748,USA,2.35
2000,USA,2.35
2000,France,2.35
14000,USA,1.85
979,USA,1.85
20000,USA,2.35
22000,Germany,1.85
8000,USA,1.85
683,USA,1.85
2000,USA,1.85
14000,UK,2.35
3000,USA,1.85
1000,UK,2.35
306,USA,2.35
873,USA,1.85
14000,South Korea,
477,Australia,2.35
170,France,1.85
581,Canada,2.35
18000,USA,2.35
13000,USA,1.85
11000,USA,2.35
6000,Germany,2.35
18000,USA,2.35
818,USA,2.35
783,USA,1.85
1000,USA,2.35
490,USA,1.37
33000,USA,1.85
77,UK,1.85
963,Denmark,2.35
1000,USA,2.35
812,USA,1.85
966,USA,1.85
22000,USA,1.85
18000,Canada,2.35
912,USA,1.33
717,South Korea,2.35
968,Canada,2.35
1000,USA,1.37
813,USA,2.35
3000,USA,1.85
6000,France,1.85
400,USA,1.85
997,USA,2.35
656,USA,1.85
12000,USA,2.35
759,USA,1.85
2000,USA,1.85
11000,USA,1.85
93,USA,2.35
17000,USA,2.35
13000,USA,1.85
22000,USA,1.85
1000,USA,1.85
963,USA,1.85
405,UK,1.85
629,UK,1.85
1000,USA,1.85
971,USA,1.85
654,USA,2.2
49000,USA,1.85
137000,USA,1.85
17000,USA,2.35
1000,USA,2.35
995,USA,1.85
227,USA,1.85
6000,UK,2.35
4000,USA,1.85
28,USA,1.85
8000,USA,1.85
13000,USA,2.35
3000,USA,2.35
452,USA,2.35
347,USA,1.85
1000,USA,16.0
1000,UK,1.85
975,USA,2.35
1000,UK,1.85
836,USA,1.85
733,USA,2.35
873,USA,1.85
1000,USA,2.35
1000,USA,1.85
833,USA,1.85
9000,USA,1.85
26000,USA,1.78
1000,USA,1.85
1000,USA,2.35
988,USA,2.35
11000,USA,1.85
1000,USA,1.85
19000,UK,2.35
362,West Germany,1.85
2000,USA,2.35
529,USA,1.85
565,UK,2.35
755,China,2.35
664,USA,1.85
452,USA,2.35
436,USA,2.35
931,USA,1.85
1000,Australia,1.85
957,USA,1.85
537,USA,1.66
433,USA,2.35
525,USA,1.85
873,USA,1.85
1000,Australia,1.85
812,USA,2.35
5000,UK,2.35
629,South Korea,1.85
3000,USA,1.85
769,Czech Republic,2.35
21000,USA,1.85
211,Italy,2.35
1000,USA,1.85
3000,UK,2.35
878,Hong Kong,2.35
60,USA,1.85
706,USA,1.85
845,Ireland,1.85
865,USA,1.85
693,USA,2.35
941,Australia,1.85
797,USA,2.35
967,USA,2.35
662,Germany,2.35
9,Hungary,2.35
13000,USA,1.85
9,China,2.35
686,USA,1.85
52,China,2.35
17000,USA,1.85
970,China,
84,Japan,2.35
567,Georgia,2.35
181,UK,2.35
1000,USA,1.85
399,USA,2.35
26000,UK,1.85
551,USA,
969,USA,1.85
15,Japan,1.85
680,UK,2.35
215,China,2.35
767,USA,2.2
11000,USA,2.35
