duration,gross,genres,actor_1_name,num_voted_users,plot_keywords,country,budget
109,27362712,Comedy|Drama|Music|Romance,Boris Kodjoe,5971,basketball|hip hop|rap music|record company|writer,USA,8000000
108,34746109,Comedy|Crime|Drama|Romance|Thriller,Faizon Love,3122,african american|dating|independent film|irreverence|revenge,USA,8000000
100,34963967,Comedy|Drama|Romance,Joseph Gordon-Levitt,270441,best friend|cancer|survival rate|therapist|vomiting,USA,8000000
90,25926543,Horror|Mystery|Thriller,James Kyson,26609,car accident|japan|newlywed|photograph|photographer,USA,8000000
130,,Comedy|Fantasy|Horror,Ted Danson,29935,anthology|child abuse|critically acclaimed|death|grindhouse,USA,8000000
94,26049082,Comedy|Romance,Mackenzie Davis,76791,dating|divorce|father daughter relationship|mother daughter relationship|party,USA,8000000
93,,Comedy|Fantasy|Sci-Fi,Brian Doyle-Murray,3904,air traffic controller|nuclear waste|orgasm|telekinesis|voodoo,USA,8000000
80,,Adventure,Tina Gilton,59,,USA,
111,22551000,Comedy|Drama|Romance,Keanu Reeves,37269,16th century|bachelor|dishonor|masquerade party|wedding,UK,8000000
142,22800000,Action|Adventure|Thriller,Telly Savalas,59941,bond girl|british|mission|portugal|switzerland,UK,7000000
60,,Action|Crime|Drama|Thriller,Nick Wechsler,5817,bet|friend|pit boss|secret|surveillance,USA,
107,18090181,Fantasy|Horror|Mystery|Thriller,Miko Hughes,38191,earthquake|elm street|freddy krueger|nightmare|sleep,USA,8000000
91,17843379,Comedy|Drama|Romance,Stephen Collins,14904,centennial|girl|next door neighbor|prom|school,USA,8000000
112,18811135,Drama,Curtis Armstrong,15337,national spelling bee|principal|school principal|spelling|spelling bee,USA,
82,17278980,Comedy|Crime,Dave Chappelle,48225,bail|diabetic|friend|jail|pharmaceutical lab,USA,8000000
97,16699684,Comedy|Romance,J.K. Simmons,17461,love|manufacturing|minnesota|plant|small town,USA,8000000
128,50815288,Drama|Thriller,Matt Damon,109191,cia|hezbollah|lebanon|oil|prince,USA,50000000
102,15047419,Crime|Drama,Christian Bale,357275,1980s|business card|male rear nudity|materialism|narcissism,USA,7000000
93,14015786,Drama|Romance,Jake Gyllenhaal,37952,dysfunctional marriage|marijuana|small town|store|trying to conceive,USA,5000000
116,,Action|Comedy|Crime|Thriller,Colm Feore,8616,border|hockey|killer|police|tattoo,Canada,8000000
138,10269307,Action|Crime|Thriller,Norman Reedus,53251,final showdown|ireland|justice|priest|sheep,USA,8000000
117,,Drama|Romance,Alexandra Maria Lara,2311,child|student|university|widow|writer,USA,8300000
93,17536788,Comedy|Drama|Romance,Christopher Nicholas Smith,49240,dating|divorcee|ex husband|ex wife|party,USA,8000000
92,58401464,Comedy|Romance,Emma Stone,276746,gay|gay interest|high school|school|student,USA,8000000
110,8880705,Comedy|Drama|Romance,Jada Pinkett Smith,1103,fire|marriage|martha's vineyard|teenager|vacation,USA,
92,8279017,Drama|Horror,Eddie Izzard,34191,actor|breasts|film actress|nosferatu|vampire,UK,8000000
104,10106233,Comedy|Drama,Cameron Monaghan,12702,decoration|father daughter relationship|high school|prom|teenager,USA,8000000
98,,Comedy|Romance,Mark Margolis,6124,bachelor party|directorial debut|funeral|pallbearer|wedding,USA,8000000
89,4692814,Comedy,Barry Corbin,2870,hold up|hostage|stockholm syndrome|swat team|vegetarian,USA,8000000
92,5018450,Comedy|Fantasy|Romance,Harold Perrineau,8546,cross dresser|food|friend|motion sickness|restaurant,USA,8000000
140,25967000,Drama|Romance,Anthony Hopkins,21254,england|friendship|prejudice|upper class|working class,UK,
60,,Adventure|Drama|Fantasy|Mystery,Dominic Cooper,22848,heaven and hell|preacher|supernatural|vampire|vertigo comics,,
90,3442820,Animation|Comedy|Drama|Romance,Jennifer Jason Leigh,31489,full frontal male nudity|hotel room|multiple characters voiced by same person|one night stand|sex in hotel room,USA,8000000
129,3205244,Comedy|Drama,Jim Broadbent,23629,autumn|four seasons|friend|looking at one's self in a mirror|unhappiness,UK,10000000
111,3076425,Comedy|Crime|Musical|Romance,Catherine Deneuve,23660,cook|industrialist|secret|snowstorm|suspect,France,8000000
79,2275557,Action|Comedy|Crime|Thriller,Cary-Hiroyuki Tagawa,12561,bare chested male|detective|electric torture|japanese american|yakuza,USA,8000000
104,1789892,Comedy|Crime,Janeane Garofalo,9494,breasts|serial killer|small town|vomiting|widow,Germany,8000000
101,6350058,Comedy|Drama|Romance,Zoë Kravitz,106098,based on novel|depression|psychiatric ward|suicide attempt|therapy,USA,8000000
113,1094798,Biography|Comedy|Drama|History,Bob Hoskins,11158,equal pay|machinist|minister|protest|sex,UK,7200000
92,1071240,Biography|Drama,Colin Firth,3571,cancer|children|death|terminal cancer|time,UK,8000000
106,532190,Biography|Drama|Romance|Sport,Kurtwood Smith,5673,long distance runner|olympics|oregon|runner|watching television,USA,8000000
98,,Adventure|Drama,Faye Dunaway,802,female nudity|highwayman|nell gwynne|nudity|whipping,UK,8000000
75,686383,Adventure|Animation|Family|Fantasy,Sean Lennon,22811,barbarian|fairy|forest|monastery|unfinished book,France,6500000
104,16168741,Drama|Music,James Corden,99430,manhattan new york city|new york city|record label|singer|song,USA,8000000
108,568695,Drama|Romance|Thriller,Hunter Parrish,16617,beach|cowboy|cowboy hat|neo western|valley,USA,8000000
99,398420,Crime|Drama,Jerry Ferrara,5049,1980s|friend|friendship|loyalty|mafia,USA,8000000
180,,Drama|Romance,Rufus Sewell,2098,espionage|motel|mother son relationship|murder disguised as suicide|shot in the head,UK,
109,336456,Comedy|Crime|Musical|Mystery,Robert Downey Jr.,7116,detective|detective novel|fantasy sequence|hallucination|writer,USA,8000000
111,146083,Drama|Romance|War,Anna Friel,1591,dorset|farm|friend|love|women's land army,UK,
93,298110,Comedy|Drama|Horror|Sci-Fi,Alexia Fast,25055,decapitation|neighbor|neighborhood|next door neighbor|zombie,Canada,8000000
99,127144,Comedy|Drama|Romance,Will Ferrell,5159,directorial debut|fantasy sequence|nurse|old age home|prison,USA,8000000
98,117190,Action|Comedy|Crime,Rupert Grint,29994,apprentice|assassin|hitman|kleptomaniac|thief,UK,8000000
95,108662,Crime|Horror|Thriller,John de Lancie,26849,corpse|dark humor|medical school|murder|pathology,USA,8000000
142,,Drama|Romance,Tom Hardy,6053,abuse|love|moor the landscape|revenge|tv mini series,UK,
107,53481,Crime|Drama|Thriller,Brian Dennehy,5557,desert storm|fbi|fbi agent|fragmentation grenade|woman kills attacker,USA,8000000
102,23106,Comedy|Crime|Drama|Romance,Michael Angarano,9003,gang|gun|loner|love|outcast,Italy,50000000
97,52961,Drama,Ian Tracey,2103,,Spain,8000000
124,439162,Action|Animation|Sci-Fi,Mitsuo Iwata,106160,based on manga|biker gang|gifted child|post thermonuclear war|science runs amok,Japan,1100000000
97,,Action|Crime|Thriller,Paul Walker,12078,drug lord|on the run|prison|vegan|vegetarian,USA,22000000
124,,Biography|Drama|Sport,Stephen McHattie,4412,fan|french canadian|hockey|hockey player|machinist,Canada,8000000
96,,Action|Crime|Drama|Thriller,Rachel Ann Mullins,1965,police officer killed|police officer shot in the chest|police officer shot in the forehead|police officer shot in the head|police shootout,USA,8000000
114,50000,Action|Adventure|Comedy|Romance,Leehom Wang,322,,China,
90,671240,Comedy|Drama|Romance,Celia Imrie,23023,florist|friend|friendship|lesbian|love,UK,7900000
104,,Drama,Mckenna Grace,63,,USA,8000000
102,10105505,Crime|Drama|Mystery|Thriller,Charlotte Rampling,35065,luberon|mystery writer|night|publisher|swimming,France,
93,,Action|Drama,Spencer Wilding,3740,bare breasts|firm|hooliganism|training|west ham supporter,UK,
90,882290,Action|Sci-Fi|Sport,Delroy Lindo,4792,battle|blood splatter|combat|game|showdown,Australia,10000000
106,,Action,Scott Takeda,662,gun|mayor|nightclub|police|vigilantism,USA,8000000
99,106593296,Comedy|Drama|Family,Morgan Freeman,72324,1950s|african american|jewish|old age|widow,USA,7500000
115,43490057,Comedy|Drama,Vanessa Williams,5275,1990s|family relationships|food in title|sister|unity,USA,7500000
89,32333860,Action|Comedy,Françoise Yip,29843,fight|gang|greed|street gang|wedding,Hong Kong,7500000
101,,Drama|War|Western,Viggo Mortensen,4035,algerian war|based on short story|hostage|teacher|title at the end,France,7700000
92,24792061,Comedy|Drama,J.K. Simmons,191998,cigarette smoking|lobbyist|political satire|reporter|tobacco industry,USA,6500000
94,17544812,Horror,Jay Hernandez,69989,american|hostel|slovakia|torture|train,USA,10000000
100,12574715,Drama,Dominic Cooper,112138,1960s|age difference|france|loss of virginity|oxford,UK,4500000
106,10281585,Drama|Romance,Frances Conroy,21225,artist|depression|gloves|photography|slacker,USA,
109,5100000,Comedy|Drama|Romance,Joely Richardson,6595,football|hotel|teenage girl|terrorist|wien,UK,7500000
105,10460089,Crime|Drama|Mystery|Thriller,Jason Patric,34098,blood splatter|cover up|murder|police shootout|undercover,USA,7500000
102,4239767,Comedy|Drama|Romance|Sport,Molly Parker,3709,championship|coach|curling|marriage|rural setting,Canada,7500000
97,4131640,Comedy|Crime,Ivana Milicevic,5463,fbi|polo|possum|sheriff|shotgun,USA,7500000
118,3347439,Drama|Romance,Eric Johnson,833,1830s|baptism|intolerance|mormon church|sibling rivalry,USA,7500000
92,10814185,Comedy|Crime|Romance,J.K. Simmons,37530,freak accident|gigolo|hit in the crotch|nosy neighbor|on the job injury,USA,8000000
112,533344,Comedy|Drama|Music,Jeff Bridges,3972,concert|jail|journalist|revolution|singer,USA,
103,206400,Comedy|Crime|Drama|Romance|Thriller,Sandrine Kiberlain,1439,child|criminal|death|depression|novelist,France,50000000
93,197148,Drama|Romance|Sci-Fi|Thriller,Samantha Morton,18109,genetics|i.d.|love|sphinx|totalitarian,UK,7500000
101,,Comedy,Bob Hoskins,243,,UK,7500000
115,54557348,Crime|Drama|Thriller,Don Cheadle,361169,race relations|racism|racist|social problem|stereotype,Germany,6500000
113,3014541,Drama,Mia Wasikowska,19616,19th century|hotel|painter|waiter|woman pretending to be a man,UK,8000000
95,,Action|Crime|Drama|Thriller,Akon,385,color in title|number in title|two word title,Nigeria,7500000
153,872643,Comedy|Family|Romance,Saif Ali Khan,2909,comeback|family relationships|marriage|new york|racer,USA,6000000
89,4443403,Animation|Biography|Drama|War,Catherine Deneuve,70194,dream|girl|iran|islamic revolution|revolution,France,7300000
92,,Adventure|Fantasy|Thriller,Bruce Dern,19157,basement|family relationships|hole|no opening credits|slow motion scene,USA,12000000
107,,Drama|Thriller,Max Riemelt,80639,autocracy|based on real events|dictatorship|germany|teacher,Germany,5000000
118,1330827,Horror|Thriller,Keanu Reeves,9866,beauty|cannibalism|fashion|lesbian|model,France,7000000
97,1818681,Action|Crime|Drama|Thriller,Joseph Gilgun,74435,bayonet|death|police|self defense|widower,UK,7300000
156,336530303,Action|Adventure|Romance,J.K. Simmons,383071,sandman|spider man|symbiote|venom|villain,USA,258000000
100,12610552,Action|Adventure|Fantasy|Sci-Fi|Thriller,George Coe,4682,code|evil|false accusation|megalomaniac|torah,USA,7500000
96,143492840,Comedy|Drama|Romance,J.K. Simmons,414335,adoption|baby|friend|pregnancy|school,USA,7500000
104,,Action|Thriller,Darren Shahlavi,4099,fighting|hand to hand combat|jujitsu|kickboxing|organ,Canada,7500000
120,43800000,Action|Adventure|Thriller,Desmond Llewelyn,74249,cat|diamond|ford mustang|james bond 007|yanked off bikini top,UK,7200000
175,134821952,Crime|Drama,Al Pacino,1155770,crime family|mafia|organized crime|patriarch|rise to power,USA,6000000
95,94900000,Drama|Music|Romance,Michael Nouri,35172,ballet school|dance|dancer|overalls|steel worker,USA,4000000
95,32391374,Comedy|Drama|Romance,Joseph Gordon-Levitt,376600,friend|greeting card|office|summer|true love,USA,7500000
121,40158000,Drama|Music|Romance,Holly Hunter,63931,adultery|daughter|male rear nudity|new zealand|piano,New Zealand,7000000
110,113709992,Comedy|Drama,Channing Tatum,108843,bank|male nudity|male objectification|male stripper|stripper,USA,7000000
96,32131483,Horror|Mystery|Thriller,Sullivan Stapleton,25870,boy|darkness|light|tooth|tooth fairy,USA,11000000
121,35400000,Action|Adventure|Thriller,Yaphet Kotto,74957,british|cards|heroin|murder|tarot card,UK,7000000
95,34099640,Drama|Family|Sport,Clint Howard,16651,1940s|dog|mississippi|puppy|veteran,USA,5000000
112,31973840,Comedy|Drama|Romance,Ryan Reynolds,127760,college|daughter|girl|sex|wisconsin,Germany,
112,37295394,Comedy|Drama,Gary Dourdan,7973,martha's vineyard|mother|older woman younger man relationship|wedding|weekend,USA,6600000
143,144812796,Drama|Romance,Leonardo DiCaprio,362933,ingratitude|mansion|party|title appears in writing|tragedy,Australia,105000000
93,31501218,Biography|Drama|History,Robert Downey Jr.,84070,cbs|expose|fear|paranoia|reporter,USA,7500000
110,28747570,Biography|Crime|Drama,Philip Seymour Hoffman,100571,book|holcomb kansas|kansas|killer|truman capote,Canada,7000000
104,25625110,Action|Crime|Thriller,Quentin Tarantino,138707,crushed by a car|female frontal nudity|female nudity|female rear nudity|one against many,USA,7000000
115,403932,Drama|Romance|Western,Milla Jovovich,5254,gold|gold mine|miner|railroad|surveyor,UK,20000000
53,,Crime|Drama|Thriller,Kirsten Dunst,170055,anthology|death|insurance salesman|minnesota|police officer,USA,
119,25000000,Action|Adventure|Sci-Fi,Farrah Fawcett,39847,cat|computer|cult film|runner|sanctuary,USA,9000000
125,21000000,Action|Adventure|Thriller,Christopher Lee,73950,assassin|bikini|girl in a bikini|mission|secret agent,UK,13000000
96,20257000,Action|Comedy|Crime|Thriller,Bill Duke,7569,murder|power|psychotronic|tough cop|union,USA,7000000
100,26005908,Adventure|Horror|Thriller,MyAnna Buring,154938,cave|expedition|friendship between women|group of friends|survival horror,UK,3500000
46,18642318,Documentary|Sport,Bill Murray,1723,basketball|basketball player|character name in title|chicago bulls|imax,USA,
89,15818967,Horror|Mystery,Zach Gilford,13913,eiffel tower at night|honeymoon|implied insemination|party|taxi driver,USA,7000000
92,14891000,Comedy,Lily Tomlin,15088,adoption|armpit fetish|mistaken identity|new mexico|overalls,USA,7000000
109,16901126,Crime|Horror,Sid Haig,76267,escape|police|road trip|sheriff|texas,USA,7000000
44,,Action|Drama|Fantasy|Romance,Sarah Michelle Gellar,101902,action heroine|coming of age|destiny|double life|vampire,USA,2300000
103,17474107,Comedy|Crime|Drama,Kimberly Elise,56605,african american|geek|hip hop|party|tomboy,USA,7000000
95,14003141,Crime|Drama|Thriller,LL Cool J,4598,cunnilingus|oral sex|police|sex scene|undercover,USA,7000000
143,304360277,Action|Adventure|Thriller,Albert Finney,522048,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,UK,200000000
105,12583510,Horror,Sid Haig,60709,actor playing multiple roles|axe|dark comedy|masked man|sadism,USA,7000000
79,,Horror,Bernard Fox,440,affair|child murderer|mortician|strangulation|supernatural power,USA,350000
106,9190525,Comedy|Drama,Michael Stuhlbarg,102125,bar mitzvah|jewish|marital breakup|nose job|rabbi,USA,7000000
100,9176553,Drama|Mystery,Bill Murray,19147,funeral|funeral home|hermit|party|secret,USA,7500000
103,9094451,Action|Fantasy|Horror|Thriller,Julian Sands,11668,17th century|book|death|warlock|witch hunter,USA,7000000
116,14612840,Drama|Music,Minnie Driver,11191,domestic abuse|public humiliation|sex symbol|singer|suicide attempt,USA,7000000
99,9166863,Drama|Romance,Colin Firth,83182,car accident|male full back nudity|practicing a suicide|public nudity|suicide contemplation,USA,7000000
164,8373585,Drama,Irvin Kershner,39680,carpenter|exorcism|faith|reference to jesus christ|temptation,USA,7000000
96,7292175,Comedy|Drama|Romance,Jonathan Brandis,7736,class|cornwall connecticut|dog|friend|pawtucket rhode island,USA,7000000
122,6601079,Comedy|Drama|Musical|Romance,Indira Varma,17436,bollywood|india|jane austen|london england|travel,UK,7000000
94,6165429,Adventure|Biography|Drama|History,Roy Billing,23486,aborigine|based on true story|colonialism|fence|half caste,Australia,6000000
93,5694308,Comedy|Sport,Jeffrey Jones,13815,2000s|golf caddy|golf course|golfer|question mark in title,USA,7000000
96,5430822,Action|Crime|Horror|Sci-Fi|Thriller,Michael J. Pollard,8391,appearing from water|breasts|creature|partner|water,UK,7000000
60,,Action|Crime|Drama|Thriller,Melinda Clarke,42402,assassin|death|female protagonist|rogue|training,USA,
113,4720371,Adventure|Biography|Drama,Anne Hathaway,3203,1950s|idaho|love|missionary|mormon,USA,7000000
60,,Action|Drama|Mystery|Sci-Fi,Jensen Ackles,25329,cat burglar|female lead|future|mixed martial arts|post apocalypse,USA,
192,2921738,Drama|Musical|Romance,Shah Rukh Khan,34449,fair|pakistan|prison|rescue|stranded,India,7000000
99,2344847,Drama|Sport,Alice Braga,18561,bar|debt|fight|instructor|jujitsu,USA,7000000
91,7455447,Comedy|Drama|Romance,Matt Walsh,29967,21 year old|forename as title|musician|party|rearview mirror,USA,7000000
100,2148212,Drama|Family,Bruce McGill,781,artist|box office flop|dog|drawing|flanders,USA,7000000
105,2062066,Biography|Crime|Drama,Ed Begley Jr.,11387,friendship|photography|radio|sex addict|video,USA,7000000
99,1654367,Biography|Drama,Hayden Christensen,18355,andy warhol|female nudity|public nudity|singer|socialite,USA,7000000
112,1738692,Drama|Thriller,Ezra Miller,95529,archery|defiance|mental illness|psychopath|toilet training,UK,7000000
100,2209479,Drama|Family,Samantha Barks,844,angel|candle|christmas|miracle|village,UK,
99,1889522,Drama|Sport,Ellen Burstyn,1119,basketball|catholic|coach|college|nun,USA,7000000
100,,Comedy|Drama|Family,Tom Cruise,3114,apostrophe in title|bare breasts|friendship between men|teen sex comedy|two word title,Canada,7000000
125,1110286,Drama|Romance,Naomi Watts,9727,adoption|baby|girl|lawyer|sex,USA,4825000
107,1000000,Adventure|Drama|Romance|War,Catherine Deneuve,2215,arab|bare chested male|foreign legion|french foreign legion|morocco,UK,9000000
107,700000,Comedy|Fantasy|Sci-Fi,Christian Clavier,24438,distant past|future time travel|nobleman|squire|trapped in the past,France,50000000
97,1768416,Comedy|Drama,Nathalie Fay,35848,actor|boredom|luxury hotel|party|trip,USA,7000000
105,1425993,Comedy,Geoff Stults,7412,bachelor party|bare butt|loud sex|sex standing up|topless female nudity,USA,
95,306715,Comedy,Taylor Negron,5143,box office flop|company|invention|roommate|surfer,USA,10000000
106,382946,Drama,Joseph Gordon-Levitt,43965,bully|car|car accident|fire|vomiting,USA,7000000
93,518134,Comedy|Crime|Drama,Richard E. Grant,21243,male frontal nudity|male nudity|male rear nudity|nudity|sex scene,UK,
103,236266,Adventure|Drama|Mystery,Matt Damon,15104,desert|friend|friendship|minimal dialogue|water,USA,3500000
96,196067,Drama|Romance,Olivia Williams,1966,1930s|car accident|hospital|marital rape|painter,UK,7000000
103,532988,Biography|Drama|Romance,Steve Carell,5863,cancer|gay bar|lesbian kiss|partner|public hearing,USA,7000000
108,453079,Comedy,Lynn Cohen,4124,co worker|escort|magazine|teacher|writer,USA,7000000
177,,Drama|Sci-Fi,Leonid Yarmolnik,2518,fictional war|hanging|male full frontal nudity|medieval times|nudity,Russia,7000000
118,46451,Comedy|Crime|Thriller,Chris Hemsworth,7663,cash|financial problem|heist|land rover|mortgage,USA,7000000
97,233103,Drama,Emily Watson,2670,alcoholic|alcoholic father|stepmother|swaziland|unfaithful wife,UK,7000000
102,,Action|Crime|Thriller,Norman Reedus,197845,fbi|fbi agent|friend|irish|mafia,Canada,7000000
92,,Action|Crime,Michael Wong,383,,Hong Kong,7000000
88,,Comedy|Fantasy|Horror|Mystery,Alden Ehrenreich,8589,ghost|hotel|murder|stake|what happened to epilogue,USA,7000000
80,,Adventure|Animation|Family,Erin Fitzgerald,1159,3d,Russia,7000000
45,,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,Debi Derryberry,192,blindness|cave|spirit|wolf|wolf cub,USA,7000000
115,41400000,Western,Clint Eastwood,39451,gold|miner|preacher|prospector|sheriff,USA,6900000
97,,Action|Adventure|Drama|Fantasy|Sci-Fi,Ben Browder,15862,2000s|evil god|space opera|stargate|wormhole,USA,
102,7993039,Comedy,Milla Jovovich,120036,football|hazing|high school|last day of school|pledge,USA,6900000
111,,Comedy|Drama|Family|Music|Musical|Romance,Lucas Grabeel,39786,2000s|basketball|country club|lifeguard|talent show,USA,7000000
96,,Drama|Romance,Gordon Pinsent,33,,Canada,8700000
94,,Crime|Drama|Thriller,Rex Baker,5255,african american gangster|falling to death|in over one's head|murder|surveillance,USA,7000000
125,927107,Biography|Drama|Romance|War,Heike Makatsch,5153,lesbian mother|lesbian parent|lesbian relationship|lesbian romance|lesbianism,Germany,15000000
108,49526,Comedy|Drama,Rory Culkin,16299,chumscrubber|death|friend|pills|school,USA,6800000
101,10696,Crime|Thriller,Glenn Plummer,10771,bar|strip club|stripper|texas hold 'em|thong,USA,6800000
101,31607598,Drama|Horror|Thriller,Jennifer Lawrence,58366,brother sister relationship|death of sister|female protagonist|mother daughter relationship|murder,Canada,6900000
139,6857096,Drama|Mystery|War,Lubna Azabal,80429,brother sister relationship|family relationships|middle east|mother son relationship|twin brother and sister,Canada,6800000
125,223878,Comedy|Drama|Romance,Laura Morante,3548,box office hit|dancer|sex scene|television|underage sex,Italy,5000000
88,828,Action|Comedy|Crime|Drama|Romance|Thriller,Jim Broadbent,5133,burglary|estranged father|money|neighbor|thug,Ireland,
115,8060,Action|Crime|Drama|Thriller,Wagner Moura,81644,brazil|military police|police|rio de janeiro brazil|slum,Brazil,4000000
99,84263837,Horror|Mystery,Alfre Woodard,81699,horror movie prequel|murder|paranormal activity|self sacrifice|suicide,USA,6500000
88,110029,Comedy|Drama|Musical,Deborah Mailman,1388,australia|journey|love|priest|traveling,Australia,6500000
112,57504069,Crime|Drama,John Cothran,94139,drugs|escape|football|friend|violence,USA,6000000
108,54215416,Biography|Drama|Music,Esai Morales,21409,crash|hispanic|interracial relationship|interracial romance|racism,USA,6500000
107,,Comedy|Drama,Rita Moreno,3157,directed by star|friendship|reference to isaac newton|skinny dipping|written and directed by cast member,USA,
104,31899000,Mystery|Romance|Thriller,Angie Dickinson,23986,apartment|elevator|murder|psychiatrist|sunglasses,USA,6500000
108,24103594,Adventure|Comedy|Drama|Family,Curtis Armstrong,6384,boy|lesson|mississippi river|river|slave,USA,6500000
102,16842303,Comedy|Crime,Sarah Polley,59474,drug deal|drugs|sex|sex on stairs|strip club,USA,6500000
88,13367101,Comedy|Drama|Romance,Greg Germann,19715,friend|friendship|marital problem|money problems|nervous breakdown,USA,6500000
115,,Sci-Fi|Thriller,David Wayne,25857,alien|baby|new mexico|satellite|scientist,USA,6500000
91,10149779,Horror|Sci-Fi|Thriller,Leon,8294,animal attack|bat|creature feature|experiment|mad scientist,USA,6500000
141,6173485,Biography|Drama,Merab Ninidze,10672,breasts|farm|jew|kenya|tween girl,Germany,7000000
101,4000304,Drama,Michael Fassbender,145395,female frontal nudity|female nudity|male nudity|sex addict|sex addiction,UK,6500000
105,2338695,Crime|Drama|Thriller,Tom Hardy,134070,cake|cocaine|drugs|pills|serbian,UK,4000000
100,2024854,Drama|Western,Emily Podleski,564,estrangement|missouri|mormon|mormon church|mormon temple,USA,6500000
116,2268296,Drama|Thriller,Alexander Skarsgård,41856,anarchist|corporation|greedy institution|vomiting|watching television,UK,6500000
97,1029017,Drama|Romance,Robin Wright,12049,hand job|hugging|long hair|new york city|two men one woman,USA,6500000
106,64148,Drama,Charlotte Rampling,2601,death|ferry|lawyer|norway|vomiting,UK,6500000
105,66637,Drama|Romance|War,Steve Buscemi,29608,captain|casualty notification|casualty notification team|sergeant|staff sergeant,USA,6500000
102,,Action|Adventure|Drama|Western,Ray Winstone,2892,one word title,New Zealand,6500000
122,871577,Biography|Drama|Music,Sam Riley,51353,band|employment agency|singer|stage fright|suicide,UK,4500000
107,38400000,Action|Sci-Fi,Michael Biehn,600266,cyborg|future war|robot|shootout in a police station|urban setting,UK,6500000
121,4063859,Drama|Romance,Florian Lukas,114407,coma|east germany|german democratic republic|germany|heart attack,Germany,4800000
98,449558,Biography|Drama|Sport,Stephen Graham,32307,cup|derby county|flashback|football|leeds united,UK,10000000
108,,Comedy|Horror|Sci-Fi,Linnea Quigley,39856,crematorium|female frontal nudity|naked dead woman|paramedic|poison gas,USA,4000000
55,,Crime|Drama|Thriller,Maria Pia Calzone,9638,,Italy,
123,2122561,Comedy|Romance,Ethan Suplee,99033,comic|ex girlfriend|jay and silent bob|mall|teenager,USA,6000000
110,181360000,Musical|Romance,Olivia Newton-John,170027,automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959,USA,6000000
120,137963328,Drama|War,Johnny Depp,291603,1960s|famous score|hero|vietnam|vietnam war,UK,6000000
122,119078393,Documentary|Drama|War,Osama bin Laden,113152,anti war|interview|iraq|paranoia|war on terrorism,USA,6000000
110,102308900,Biography|Crime|Drama|Western,Katharine Ross,152089,bolivia|gang|outlaw|posse|train,USA,6000000
139,102300000,Comedy|Family|Fantasy|Musical,Ed Wynn,107408,banker|female protagonist|live action and animation|magic|nanny,USA,6000000
124,54800000,Drama,Adam Baldwin,35130,choir|death|friend|suicide|therapy,USA,6000000
120,24004159,Action|Adventure|Comedy,Jim Broadbent,68722,19th century|around the world|inventor|martial arts|train,USA,110000000
152,43650000,Crime|Drama|Musical|Romance|Thriller,Rita Moreno,71919,dance|gang|new york city|puerto rican|tragedy,USA,6000000
98,39800000,Comedy|Sport,Bill Murray,81599,caddy|country club|golf course|gopher|nudity,USA,6000000
