num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,content_rating,actor_2_facebook_likes,movie_facebook_likes
114,100,220,Dave Chappelle,989,Comedy|Documentary|Music,Common,2165,Lauryn Hill,0,block party|marching band|neighborhood|new york city|tyrannosaurus rex,http://www.imdb.com/title/tt0425598/?ref_=fn_tt_tt_1,English,R,744,635
246,84,748,Kodi Smit-McPhee,13000,Western,Michael Fassbender,14696,Ben Mendelsohn,2,american west|bounty hunter|frontier|horse riding|outlaw,http://www.imdb.com/title/tt3205376/?ref_=fn_tt_tt_1,English,R,884,0
7,97,77,LisaGay Hamilton,685,Comedy|Drama|Music,Blair Underwood,1163,Bobby Brown,0,actress shares first name with character|bar|car wash|city|d.j.,http://www.imdb.com/title/tt0089444/?ref_=fn_tt_tt_1,English,R,178,889
49,84,706,Donald Faison,1000,Action|Comedy|Crime,Omari Hardwick,4815,Mike Epps,3,cocaine|package|slow motion scene|topless female nudity|wrong address,http://www.imdb.com/title/tt1097013/?ref_=fn_tt_tt_1,English,R,927,545
42,146,125,Jean Simmons,556,Drama,Shirley Jones,1444,Edward Andrews,1,1920s|evangelist|preacher|revival|traveling salesman,http://www.imdb.com/title/tt0053793/?ref_=fn_tt_tt_1,English,Approved,422,808
73,186,760,Montgomery Clift,877,Drama|War,Maximilian Schell,3847,Spencer Tracy,0,judge|law|nazi|nuremberg|war crime,http://www.imdb.com/title/tt0055031/?ref_=fn_tt_tt_1,English,Not Rated,862,0
16,94,200,Deon Richmond,927,Comedy,Donald Faison,1936,Countess Vaughn,3,apostrophe in title|bare breasts|female nudity|nude black woman|prom,http://www.imdb.com/title/tt0160298/?ref_=fn_tt_tt_1,English,R,209,143
38,11,0,Seth Green,11,Animation|Comedy,Matthew Senreich,11,Breckin Meyer,0,celebrity|robot|satire|sketch comedy|stop motion animation,http://www.imdb.com/title/tt0437745/?ref_=fn_tt_tt_1,English,TV-MA,0,1000
91,126,281,Walter Brennan,862,Action|Adventure|Romance|Western,Montgomery Clift,2269,Harry Carey Jr.,0,cattle|cattle drive|cowboy|kansas|texas,http://www.imdb.com/title/tt0040724/?ref_=fn_tt_tt_1,English,Approved,376,0
37,99,233,Jimmy Jean-Louis,939,Comedy,Mo'Nique,2321,Joyful Drake,0,female protagonist|size positive|thin|title directed by female|wet dream,http://www.imdb.com/title/tt0490196/?ref_=fn_tt_tt_1,English,PG-13,407,837
405,109,48,Ariane Labed,140,Drama|Romance,Seamus Davey-Fitzpatrick,328,Athina Rachel Tsangari,1,friend|greece|greek|hotel room|twin,http://www.imdb.com/title/tt2209418/?ref_=fn_tt_tt_1,English,R,63,62000
29,95,152,Robert Neary,641,Comedy|Fantasy,John Astin,1389,Kim Darby,1,falling in love|glowing eyes|insult|teenager|three word title,http://www.imdb.com/title/tt0094118/?ref_=fn_tt_tt_1,English,PG,168,491
81,97,135,A. Michael Baldwin,674,Action|Fantasy|Horror|Sci-Fi|Thriller,Angus Scrimm,1395,James Le Gros,1,cemetery|female nudity|mortuary|sphere|tall man,http://www.imdb.com/title/tt0095863/?ref_=fn_tt_tt_1,English,R,174,812
17,94,469,Kimberly Elise,912,Drama,Loretta Devine,3049,Clifton Powell,0,abuse|bishop|death|flashback|poverty,http://www.imdb.com/title/tt0399901/?ref_=fn_tt_tt_1,English,R,637,187
75,90,453,Lupe Ontiveros,953,Comedy|Drama,America Ferrera,2510,George Lopez,1,education|factory|high school|mexican american|religious icon,http://www.imdb.com/title/tt0296166/?ref_=fn_tt_tt_1,English,PG-13,625,595
,197,110,Jessica De Gouw,578,Drama|War,Rachel Griffiths,1400,Luke Ford,0,gallipoli|tv mini series|world war one,http://www.imdb.com/title/tt3458030/?ref_=fn_tt_tt_1,English,,476,367
91,117,31,Lisa Ray,1000,Drama|Romance,John Abraham,1394,Seema Biswas,0,ashram|india|love|tradition|widow,http://www.imdb.com/title/tt0240200/?ref_=fn_tt_tt_1,Hindi,PG-13,329,0
82,96,163,Jimi Mistry,883,Comedy|Drama,Archie Panjabi,1616,Om Puri,0,england|marriage|muslim|pakistani|salford,http://www.imdb.com/title/tt0166175/?ref_=fn_tt_tt_1,English,R,183,1000
48,82,51,Brian Van Holt,472,Comedy|Romance,Callie Thorne,858,David Heyman,1,dating|diner|masturbation|urination|washington square manhattan new york city,http://www.imdb.com/title/tt0174336/?ref_=fn_tt_tt_1,English,R,324,131
33,109,200,Sarita Choudhury,729,Crime|Drama|History|Romance,Indira Varma,1292,Rekha,0,courtesan|friend|kama sutra|seduction|wedding,http://www.imdb.com/title/tt0116743/?ref_=fn_tt_tt_1,English,R,257,0
133,90,547,Thomas Ian Nicholas,1000,Comedy|Drama,Oliver Platt,3692,Ann Morgan Guilbert,0,apartment|first date|neighbor|new york|new york city,http://www.imdb.com/title/tt0878835/?ref_=fn_tt_tt_1,English,R,864,0
104,89,124,Jack Albertson,240,Family|Fantasy|Musical,Peter Ostrum,1011,Julie Dawn Cole,1,candy|chocolate|factory|miniaturization|sudden change in size,http://www.imdb.com/title/tt0067992/?ref_=fn_tt_tt_1,English,G,177,0
22,98,222,Zach Galligan,687,Fantasy|Horror,Julian Sands,1806,Paula Marshall,0,druid|eclipse|rune|scalping|warlock,http://www.imdb.com/title/tt0108517/?ref_=fn_tt_tt_1,English,R,233,217
30,95,267,George Hamilton,578,Comedy|Crime,Kristy Swanson,1363,Dyan Cannon,0,camera shot of feet|female stockinged feet|female stockinged soles|nude pantyhose|pantyhose,http://www.imdb.com/title/tt0118541/?ref_=fn_tt_tt_1,English,R,341,417
112,94,180,Stuart Margolin,820,Drama|Romance,Sam Shepard,1618,Richard Libertini,0,farm|farm worker|grasshopper|harvest|wealth,http://www.imdb.com/title/tt0077405/?ref_=fn_tt_tt_1,English,PG,350,0
79,104,194,Rob McElhenney,11000,Drama,Matthew McConaughey,12250,Amy Irving,2,attorney|happiness|house cleaner|physics|professor,http://www.imdb.com/title/tt0268690/?ref_=fn_tt_tt_1,English,R,813,430
49,87,844,Judy Greer,3000,Comedy|Crime|Thriller,Julie Benz,9555,Jeff Conaway,3,best friend|bitch|friend|popular girl|prom,http://www.imdb.com/title/tt0155776/?ref_=fn_tt_tt_1,English,R,2000,0
42,108,353,Michael Wincott,10000,Biography|Drama,Gary Oldman,11459,Courtney Love,4,andy warhol|art|artist|friendship|street artist,http://www.imdb.com/title/tt0115632/?ref_=fn_tt_tt_1,English,R,721,0
345,86,270,Grace Gummer,962,Comedy|Drama|Romance,Greta Gerwig,2260,Vanessa Ray,0,best friend|black and white|father daughter relationship|female protagonist|mother daughter relationship,http://www.imdb.com/title/tt2347569/?ref_=fn_tt_tt_1,English,R,481,11000
152,94,29,Nambitha Mpumlwana,113,Crime|Drama,Terry Pheto,278,Rapulana Seiphemo,1,baby|bathing a baby|criminal|slum|vomiting,http://www.imdb.com/title/tt0468565/?ref_=fn_tt_tt_1,Zulu,R,64,0
148,134,812,Jon Lovitz,22000,Comedy|Drama,Philip Seymour Hoffman,36859,Dylan Baker,9,ensemble cast|episodic structure|satire|social satire|suburb,http://www.imdb.com/title/tt0147612/?ref_=fn_tt_tt_1,English,,11000,0
23,89,24,Joe Howard,489,Comedy|Documentary,Eddie Griffin,539,Robert Noble,1,african american|family relationships|stand up comedian|stand up comedy,http://www.imdb.com/title/tt0337996/?ref_=fn_tt_tt_1,English,R,26,26
254,102,387,Haley Joel Osment,40000,Comedy|Drama|Horror,Johnny Depp,43810,Michael Parks,0,canada|human becoming an animal|mad scientist|part of trilogy|walrus,http://www.imdb.com/title/tt3099498/?ref_=fn_tt_tt_1,English,R,3000,20000
305,120,38,Ji-tae Yu,717,Drama|Mystery|Thriller,Min-sik Choi,852,Hye-jeong Kang,0,brother sister relationship|hypnosis|imprisonment|love|revenge,http://www.imdb.com/title/tt0364569/?ref_=fn_tt_tt_1,Korean,R,78,43000
19,110,221,Michael Bolten,439,Drama|Family,Robyn Lively,1567,Christopher Schmidt,0,cancer|faith|hope|letter|prayer,http://www.imdb.com/title/tt1462054/?ref_=fn_tt_tt_1,English,PG,399,0
272,86,104,Robb Wells,694,Action|Comedy|Thriller,Gregory Smith,1249,Molly Dunsworth,4,hobo|pedophile|rampage|shotgun|vigilante,http://www.imdb.com/title/tt1640459/?ref_=fn_tt_tt_1,English,Not Rated,324,37000
5,101,165,Héctor Jiménez,574,Action|Comedy,Kevin Pollak,1335,Erick Elias,2,,http://www.imdb.com/title/tt3367294/?ref_=fn_tt_tt_1,English,R,327,174
65,102,221,Dan Hedaya,904,Comedy|Crime|Drama|Thriller,Bokeem Woodbine,1663,Robert Peters,1,freeway|nightmare|police|school|trailer park,http://www.imdb.com/title/tt0116361/?ref_=fn_tt_tt_1,English,R,281,0
5,87,331,Kevin Gage,702,Drama|Family|Western,William Morgan Sheppard,2715,Brianna Brown,0,19th century|faith|mayor|ranch|sheriff,http://www.imdb.com/title/tt0785025/?ref_=fn_tt_tt_1,,PG,366,76
248,123,168,Harry Treadaway,13000,Drama,Michael Fassbender,13636,Jason Maza,0,15 year old|dancing|essex|little sister|suburb,http://www.imdb.com/title/tt1232776/?ref_=fn_tt_tt_1,English,Not Rated,260,0
152,99,322,Megalyn Echikunwoke,962,Comedy|Drama|Romance,Greta Gerwig,2452,Zach Woods,5,college|college campus|dance craze|depression|fraternity,http://www.imdb.com/title/tt1667307/?ref_=fn_tt_tt_1,English,PG-13,476,0
10,173,476,Colm Feore,723,Horror|Sci-Fi|Thriller,Craig T. Nelson,3149,Megalyn Echikunwoke,3,author cameo|family relationships|island|monster|two part tv movie,http://www.imdb.com/title/tt0156205/?ref_=fn_tt_tt_1,English,,539,518
156,87,416,Adam Scott,4000,Comedy|Romance,Kirsten Dunst,8353,Andrew Rannells,3,bachelorette party|drug use|high school|overdose|wedding dress,http://www.imdb.com/title/tt1920849/?ref_=fn_tt_tt_1,English,R,3000,0
7,44,246,Megan Hilty,786,Comedy|Drama|Horror|Sci-Fi|Thriller,Danny Pino,1551,Zach Grenier,0,brains|exploding head|politician|swarm behavior|washington d.c.,http://www.imdb.com/title/tt4877736/?ref_=fn_tt_tt_1,English,,341,3000
1,120,249,Aaron Ashmore,912,Drama|Family|Music,Virginia Madsen,2330,Lindsey Haun,2,based on a book|based on a novel|made for tv movie|music school|support,http://www.imdb.com/title/tt0403118/?ref_=fn_tt_tt_1,English,PG-13,750,47
82,93,197,William Atherton,536,Comedy,Michael Gross,1467,Bob Ross,3,film in film|man with glasses|reference to steven spielberg|self referential|shopping mall,http://www.imdb.com/title/tt1855401/?ref_=fn_tt_tt_1,English,R,317,0
175,111,81,Cjon Saulsberry,3000,Crime|Drama|Thriller,George Kennedy,3784,Griffin Cleveland,1,dog|gambler|gambling|gangster|professor,http://www.imdb.com/title/tt2039393/?ref_=fn_tt_tt_1,English,R,571,0
4,60,23,Amanda Mealing,40,Drama,Susan Hampshire,158,Tim Healy,0,concierge|front desk|hotel|maid|prostitute,http://www.imdb.com/title/tt0118327/?ref_=fn_tt_tt_1,English,,37,450
40,98,17,Kostja Ullmann,289,Comedy|Drama|Romance|Sport,Alicja Bachleda,362,Robert Stadlober,0,friend|friendship|rowing|storm|summer camp,http://www.imdb.com/title/tt0420206/?ref_=fn_tt_tt_1,German,R,38,442
8,100,847,Eric Stoltz,1000,Drama|History|War,Johnny Pacar,4374,Brendan Fehr,1,,http://www.imdb.com/title/tt1282046/?ref_=fn_tt_tt_1,English,R,902,348
63,88,236,Betsy Russell,487,Horror|Thriller,Matt Cohen,1495,Noah Segan,0,blood splatter|chain|murder|mysterious killer|warning,http://www.imdb.com/title/tt1148200/?ref_=fn_tt_tt_1,English,R,298,0
20,97,56,Patti LuPone,599,Comedy|Drama,Gretchen Mol,1030,Peter Onorati,1,1955 chevrolet|nurse|peeping tom|reference to brooklyn dodgers|spying,http://www.imdb.com/title/tt0162236/?ref_=fn_tt_tt_1,English,R,325,117
174,122,605,Lauren German,2000,Drama|Sci-Fi|Thriller,Michael Biehn,4920,Rosanna Arquette,4,doggystyle sex|rough sex|sodomy|torture|violent sex,http://www.imdb.com/title/tt1535616/?ref_=fn_tt_tt_1,English,R,683,0
90,86,77,Iben Hjejle,767,Drama|Horror|Romance,Aidan Quinn,975,Jim Norton,0,ghost|irish|kissing|novelist|widower,http://www.imdb.com/title/tt1346961/?ref_=fn_tt_tt_1,English,R,122,580
58,83,617,Scott Mechlowicz,798,Horror|Thriller,Frank Grillo,4756,Aaron Yoo,1,death|detective|house|missing|supernatural,http://www.imdb.com/title/tt1841642/?ref_=fn_tt_tt_1,English,R,634,0
14,80,19,Darren Keefe Reiher,231,Comedy,Neil Hopkins,313,David Douglas,1,independent film|spoof,http://www.imdb.com/title/tt0385890/?ref_=fn_tt_tt_1,English,R,27,48
451,108,11000,Alan Rickman,40000,Adventure|Family|Fantasy,Johnny Depp,79957,Anne Hathaway,0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,English,PG,25000,24000
,90,452,Michael Rapaport,1000,Comedy,Taylor Negron,3882,Talia Shire,1,actor|italian american|mexico|orphan|usa,http://www.imdb.com/title/tt1390404/?ref_=fn_tt_tt_1,English,PG-13,975,54
21,96,357,Amy Sedaris,433,Drama,Tom Everett Scott,1929,Chris Kattan,2,boarding school|coming of age|female friendship|lesbian|new england,http://www.imdb.com/title/tt1151410/?ref_=fn_tt_tt_1,English,R,396,448
9,85,47,Kristi Clainos,652,Action|Drama|Thriller,John Savage,844,Emily Nelson,3,dealer|drugs|killer|police,http://www.imdb.com/title/tt1922679/?ref_=fn_tt_tt_1,English,,124,433
98,83,975,Amy Poehler,3000,Comedy,Christopher Meloni,7191,Jack McBrayer,2,halloween party|new york city|racism|romcom|spoof,http://www.imdb.com/title/tt2398249/?ref_=fn_tt_tt_1,English,R,1000,0
29,80,73,Ashley Martin,319,Comedy,French Stewart,845,Olivia Alexander,0,exorcism|female nudity|haunted house|lesbian kiss|masturbation,http://www.imdb.com/title/tt2417650/?ref_=fn_tt_tt_1,English,R,302,2000
23,90,454,Alex Meraz,2000,Action|Drama|Sport,Michael Jai White,3666,Jillian Murray,3,bad cop|college|second part|sequel|wrestler,http://www.imdb.com/title/tt1754264/?ref_=fn_tt_tt_1,English,R,606,6000
87,92,480,Angie Dickinson,756,Crime|Thriller,Lee Marvin,2715,Carroll O'Connor,0,criminal|gangster|money|revenge|violence,http://www.imdb.com/title/tt0062138/?ref_=fn_tt_tt_1,English,Approved,754,3000
2,100,382,Sarah Rafferty,1000,Comedy,Stephanie Szostak,2890,Salvatore Santone,0,number in title|single father,http://www.imdb.com/title/tt1252289/?ref_=fn_tt_tt_1,Italian,,810,32
17,88,471,David Bianchi,2000,Thriller,Noel Gugliemi,4469,Jason Priestley,0,dubstep|tied feet,http://www.imdb.com/title/tt2229377/?ref_=fn_tt_tt_1,English,,715,406
7,95,375,Shantel VanSanten,1000,Drama|Horror|Mystery|Thriller,Julian Morris,3024,John Robinson,2,eugene oregon|independent film|obsession,http://www.imdb.com/title/tt1327601/?ref_=fn_tt_tt_1,English,R,747,395
6,82,648,Brooke Newton,904,Thriller,Bokeem Woodbine,4092,Brett Wagner,4,police officer|police officer taken hostage,http://www.imdb.com/title/tt2048865/?ref_=fn_tt_tt_1,English,R,779,398
9,97,37,Jack Taylor,201,Adventure|Crime|Drama,Everett McGill,277,Fabio Testi,1,19th century|based on novel|disfigurement|harpooner|independent film,http://www.imdb.com/title/tt0095354/?ref_=fn_tt_tt_1,English,,39,37
343,105,502,Derek Jacobi,2000,Drama|Family|Fantasy|Romance,Hayley Atwell,4671,Lily James,1,dress|duke|fairy godmother|fairy tale|pumpkin,http://www.imdb.com/title/tt1661199/?ref_=fn_tt_tt_1,English,PG,520,56000
11,94,356,Stacy Keach,854,Action|Adventure|Crime|Drama,Mike Starr,1989,Frank Vincent,3,detective|killer|police|shootout|thong,http://www.imdb.com/title/tt1085382/?ref_=fn_tt_tt_1,English,R,602,229
34,95,463,Cybill Shepherd,2000,Comedy|Drama|Romance,Judy Greer,3648,Shea Whigham,2,doctor|letter|paternity|sex|testicles,http://www.imdb.com/title/tt0482461/?ref_=fn_tt_tt_1,English,R,536,480
71,113,11,Matheus Nachtergaele,119,Drama,Fernanda Montenegro,167,Othon Bastos,0,brazil|letter|rio de janeiro brazil|sertao|teacher,http://www.imdb.com/title/tt0140888/?ref_=fn_tt_tt_1,Portuguese,R,14,0
21,136,248,Glenn Ford,931,Comedy|Drama,Ann-Margret,2167,Thomas Mitchell,2,1930s|apple|dude|luck|new york city,http://www.imdb.com/title/tt0055312/?ref_=fn_tt_tt_1,English,Approved,416,612
28,80,214,Nick Chinlund,640,Action|Crime,Anthony L. Fernandez,1517,Scott Evans,1,corrupt sheriff|drug cartel|flash drive|niece|sheriff,http://www.imdb.com/title/tt3511596/?ref_=fn_tt_tt_1,English,,277,968
35,105,183,Michael Nouri,267,Comedy|Romance,Dyan Cannon,1231,Brenda Vaccaro,8,title spoken by character,http://www.imdb.com/title/tt0439478/?ref_=fn_tt_tt_1,English,R,225,88
30,90,21,Patrick Bauchau,216,Drama|Horror|Mystery|Thriller,Olivia Rose Keegan,423,Mia Barron,0,child in peril|electroshock therapy|memory|memory loss|teenage girl,http://www.imdb.com/title/tt2837336/?ref_=fn_tt_tt_1,English,,158,421
73,93,394,James Ransone,875,Documentary,Greg Crowe,2305,Tempestt Bledsoe,0,cheating|economics|experiment|human nature|sumo wrestling,http://www.imdb.com/title/tt1152822/?ref_=fn_tt_tt_1,English,PG-13,412,0
154,107,108,Patrick Troughton,264,Fantasy|Horror|Mystery,Lee Remick,673,Billie Whitelaw,2,ambassador|death|hospital|priest|stillborn child,http://www.imdb.com/title/tt0075005/?ref_=fn_tt_tt_1,English,R,139,7000
251,89,142,Maïwenn,447,Horror,Cécile De France,923,Oana Pellea,1,car chase|plot twist|police van|rear ending a car|slasher,http://www.imdb.com/title/tt0338095/?ref_=fn_tt_tt_1,French,Unrated,236,0
57,90,39,Patrick Brammall,130,Comedy|Drama|Romance|Sci-Fi,Maeve Dermody,362,Kelly Paterniti,1,alter ego|awkwardness|office|scientist|superhero,http://www.imdb.com/title/tt1509803/?ref_=fn_tt_tt_1,English,PG-13,96,0
14,89,29,Gregory Cruz,679,Action|Horror|Thriller,Q'orianka Kilcher,964,Allegra Carpenter,0,alaska|climate change|global|polar bear|scientific,http://www.imdb.com/title/tt3551400/?ref_=fn_tt_tt_1,English,R,234,369
159,116,165,Paula Jai Parker,275,Crime|Drama|Music,Isaac Hayes,727,Elise Neal,1,baby|friend|hip hop|pimp|stripper,http://www.imdb.com/title/tt0410097/?ref_=fn_tt_tt_1,English,R,247,0
181,120,102,Joe E. Brown,105,Comedy|Music|Romance,Nehemiah Persoff,527,George Raft,2,all girl band|band|cross dressing|musician|yacht,http://www.imdb.com/title/tt0053291/?ref_=fn_tt_tt_1,English,Not Rated,103,10000
110,88,181,Terry Kiser,935,Horror,Kane Hodder,1855,William Butler,0,death|jason voorhees|massacre|slaughter|telekinesis,http://www.imdb.com/title/tt0095179/?ref_=fn_tt_tt_1,English,R,448,0
213,102,357,Terry,695,Adventure|Family|Fantasy|Musical,Margaret Hamilton,2509,Billie Burke,3,evil witch|tornado|witch|wizard|wizard of oz,http://www.imdb.com/title/tt0032138/?ref_=fn_tt_tt_1,English,Passed,421,14000
129,106,481,Peter Boyle,1000,Comedy,Madeline Kahn,2703,Teri Garr,0,assistant|castle|experiment|frankenstein's monster|scientist,http://www.imdb.com/title/tt0072431/?ref_=fn_tt_tt_1,English,PG,595,14000
280,95,192,Shawn Roberts,569,Horror,Megan Park,1797,Joe Dinicol,0,barn|film student|hospital|mummy|video camera,http://www.imdb.com/title/tt0848557/?ref_=fn_tt_tt_1,English,R,529,0
