director_facebook_likes,actor_2_name,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,aspect_ratio
28,Shin'ya Tsukamoto,,Action|Adventure|Drama|Horror|Sci-Fi,Godzilla Resurgence ,374,699,Atsuko Maeda,blood|godzilla|monster|sequel,13,,2016,106,2.35
563,Orlando Bloom,305388685,Action|Adventure|Fantasy,Pirates of the Caribbean: The Curse of the Black Pearl ,809474,48184,Jack Davenport,caribbean|curse|governor|pirate|undead,2113,140000000,2003,5000,2.35
0,Toby Jones,,Fantasy,Harry Potter and the Deathly Hallows: Part I ,252,14719,Alfred Enoch,,2,,2010,2000,
508,Philip Seymour Hoffman,337103873,Adventure|Sci-Fi|Thriller,The Hunger Games: Mockingjay - Part 1 ,305008,81385,Josh Hutcherson,based on young adult novel|manipulation|rebellion|symbol|uprising,591,125000000,2014,22000,2.35
2000,Seth Gabel,217536138,Mystery|Thriller,The Da Vinci Code ,314253,16008,Jürgen Prochnow,based on supposedly true story|holy grail|mary magdalene|opus dei|secret,1966,125000000,2006,574,2.35
107,Rachel Crow,131536019,Adventure|Animation|Comedy|Family|Musical,Rio 2 ,58498,1031,Jeffrey Garcia,amazon|bird|father in law|jungle|no opening credits,99,103000000,2014,237,2.35
0,Bruce Davison,214948780,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men 2 ,405973,20952,Aaron Stanford,mutant|prison|professor|school|x men,1055,110000000,2003,505,2.35
681,Vin Diesel,209805005,Action|Crime|Thriller,Fast Five ,284792,55345,Dwayne Johnson,drug lord|drugs|federal agent|heist|police,366,125000000,2011,14000,2.35
0,Eddie Marsan,186830669,Action|Adventure|Crime|Mystery|Thriller,Sherlock Holmes: A Game of Shadows ,338635,22403,Paul Anderson,factory|gypsy|investigation|sherlock holmes|train,412,125000000,2011,979,2.35
255,Jason Flemyng,163192114,Action|Adventure|Fantasy,Clash of the Titans ,229679,18003,Alexa Davalos,famous line|hand to hand combat|kraken|rape|zeus,637,125000000,2010,1000,2.35
719,Rachel Ticotin,119412921,Action|Sci-Fi,Total Recall ,240241,1441,Marshall Bell,ambiguous ending|false memory|implanted memory|memory|space colony,391,65000000,1990,308,1.85
323,Vladimir Kulich,32694788,Action|Adventure|History,The 13th Warrior ,101411,1815,Clive Russell,arab|battle|combat|viking|warrior,546,85000000,1999,372,2.35
209,Scott Glenn,113165635,Action|Adventure|Thriller,The Bourne Legacy ,229823,12175,Stacy Keach,assassin|cia|drone|pill|wolf,504,125000000,2012,826,2.35
541,Vivica A. Fox,107285004,Action,Batman & Robin ,189855,2699,John Glover,butler|critically bashed|cure|freeze|gotham,1018,125000000,1997,890,1.85
2000,T.J. Thyne,260031035,Comedy|Family|Fantasy,How the Grinch Stole Christmas ,141414,4146,Molly Shannon,box office hit|christmas|materialism|public humiliation|snowflake,482,123000000,2000,722,1.85
776,Dennis Quaid,186739919,Action|Adventure|Sci-Fi|Thriller,The Day After Tomorrow ,333248,20553,Sela Ward,climate|end of the world|global warming|natural disaster|weather,1159,125000000,2004,2000,2.35
610,Dougray Scott,215397307,Action|Adventure|Thriller,Mission: Impossible II ,242188,11930,Richard Roxburgh,cure|mission|terrorist|thief|virus,1426,125000000,2000,794,2.35
249,Mary Elizabeth Mastrantonio,182618434,Action|Adventure|Drama|Thriller,The Perfect Storm ,133076,2684,Bob Gunton,death|fish|fishing|sea|storm,779,140000000,2000,638,2.35
167,Ioan Gruffudd,131920333,Action|Adventure|Sci-Fi|Thriller,Fantastic 4: Rise of the Silver Surfer ,213275,15302,Andre Braugher,fantastic four|space|strong female character|strong female lead|superheroine,436,130000000,2007,2000,2.35
0,Rafe Spall,124976634,Adventure|Drama|Fantasy,Life of Pi ,440084,2121,Tabu,animal|faith|india|journey|tiger,755,120000000,2012,358,1.85
160,Matt Long,115802596,Action|Fantasy|Thriller,Ghost Rider ,182661,14017,Peter Fonda,blackheart|devil|father|ghost|mephistopheles,681,110000000,2007,701,2.35
521,Riz Ahmed,108521835,Action|Thriller,Jason Bourne ,40123,13752,Ato Essandoh,black ops|chase|cia|cia agent|repeated scene,297,120000000,2016,365,2.35
368,Bernie Mac,100685880,Action|Adventure|Comedy|Crime,Charlie's Angels: Full Throttle ,100821,4046,Justin Theroux,fbi|murder|ring|witness protection|witness protection program,554,120000000,2003,1000,2.35
0,Charlize Theron,126464904,Adventure|Mystery|Sci-Fi,Prometheus ,456260,24098,Sean Harris,cave painting|medical scanner|planet|pregnant with an alien fetus|suspended animation,2326,130000000,2012,9000,2.35
50,Brad Garrett,64736114,Adventure|Animation|Comedy|Family|Fantasy,Stuart Little 2 ,36471,2682,Melanie Griffith,anthropomorphic mouse|falcon|marshmallow|second part|soccer,69,120000000,2002,799,1.85
662,Sharlto Copley,93050117,Action|Drama|Sci-Fi|Thriller,Elysium ,338087,17689,Alice Braga,christ figure|class differences|messiah|saviour|social commentary,814,115000000,2013,2000,2.35
123,Alexa Davalos,57637485,Action|Adventure|Sci-Fi|Thriller,The Chronicles of Riddick ,183909,17159,Christina Cox,bounty hunter|escape|necromonger|planet|warrior,666,105000000,2004,850,2.35
294,Abbie Cornish,58607007,Action|Crime|Sci-Fi|Thriller,RoboCop ,182899,14161,Jennifer Ehle,law enforcement|police|robocop|robot|technology,630,100000000,2014,2000,2.35
0,Kick Gurry,43929341,Action|Family|Sport,Speed Racer ,57873,902,Nicholas Elia,based on anime|based on cartoon|gadget car|racer|speed,414,120000000,2008,107,2.35
274,Domenick Lombardozzi,30212620,Comedy|Drama|Romance,How Do You Know ,35066,993,Teyonah Parris,embarrassment|falling in love|love|love triangle|revelation,196,120000000,2010,216,1.85
446,Marc Blucas,76418654,Action|Comedy|Romance,Knight and Day ,148280,12731,Jordi Mollà,chase|fbi|garage|spy|surveillance,348,117000000,2010,973,2.35
364,Tom Cruise,89021735,Action|Adventure|Mystery|Sci-Fi,Oblivion ,387436,22004,Zoë Bell,cabin in the woods|drone|flying through a thunderstorm|post apocalypse|sex in a pool,892,120000000,2013,10000,2.35
0,Christopher Lee,380262555,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode III - Revenge of the Sith ,520104,44042,Hayden Christensen,elongated cry of no|friends become enemies|kicked in the butt|robotic midwife|vision,3286,113000000,2005,16000,2.35
0,Christopher Lee,310675583,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode II - Attack of the Clones ,464310,42990,Hayden Christensen,martial arts|murdered before giving protagonist information|part computer animation|prequel|prequel to cult film,3516,115000000,2002,16000,1.78
0,John Ratzenberger,289907418,Adventure|Animation|Comedy|Family|Fantasy,"Monsters, Inc. ",585659,15013,James Coburn,friend|little girl|monster|rival|scream,593,115000000,2001,1000,1.85
446,Tao Okamoto,132550960,Action|Adventure|Sci-Fi|Thriller,The Wolverine ,328067,23755,Rila Fukushima,healing power|marvel comics|mecha|regeneration|self healing,533,120000000,2013,992,2.35
0,Liam Neeson,474544677,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode I - The Phantom Menace ,534658,37723,Ian McDiarmid,alien|character says i have a bad feeling about this|hand to hand combat|seven word title|wilhelm scream,3597,115000000,1999,14000,2.35
16,Emma Stone,187165546,Adventure|Animation|Comedy|Family|Fantasy,The Croods ,150618,43286,Nicolas Cage,cave|caveman|journey|strict father|survival,195,135000000,2013,15000,2.35
0,Santiago Segura,,Adventure|Comedy|Family|Fantasy,Asterix at the Olympic Games ,20567,1609,Vanessa Hessler,1st century b.c.|lightsaber|local blockbuster|magical potion|potion,36,78000000,2008,276,2.35
610,Roger Willie,40911830,Action|Drama|War,Windtalkers ,55994,15046,Noah Emmerich,code|duty|steel helmet|u.s. marine|u.s. soldier,454,115000000,2002,836,2.35
19,Sam Claflin,47952020,Action|Adventure|Drama|Fantasy,The Huntsman: Winter's War ,37750,46719,Charlize Theron,based on fairy tale|dark fantasy|fairy tale|second part|sequel,134,115000000,2016,11000,2.35
473,Danny Woodburn,190871240,Action|Adventure|Comedy|Sci-Fi,Teenage Mutant Ninja Turtles ,167085,2690,Jeremy Howard,18 wheeler|mutant|ninja|sewer|turtle,491,125000000,2014,809,2.35
0,Basher Savage,274084951,Adventure|Drama|Sci-Fi|Thriller,Gravity ,582917,87,Amy Warren,box office hit|long take|sole survivor|space|space station,1885,100000000,2013,23,2.35
79,Grant Heslov,67155742,Action|Adventure|Thriller,Dante's Peak ,62271,1569,Tzi Ma,ash|escape|lava|mayor|volcano,277,116000000,1997,293,2.35
13,Noel Fisher,81638674,Action|Adventure|Comedy|Sci-Fi,Teenage Mutant Ninja Turtles: Out of the Shadows ,17533,8306,Brad Garrett,based on comic book|brother brother relationship|rat|sequel|turtle,115,135000000,2016,833,2.35
128,Reg E. Cathey,56114221,Action|Adventure|Sci-Fi,Fantastic Four ,110486,1261,Tim Heidecker,box office flop|critically bashed|portal|teleportation|troubled production,695,120000000,2015,360,2.35
189,Rami Malek,250863268,Action|Adventure|Comedy|Family|Fantasy,Night at the Museum ,234480,55486,Steve Coogan,chaos|museum|museum of natural history|night watchman|watchman,444,110000000,2006,3000,1.85
62,Ioan Gruffudd,155181732,Action|Adventure|Drama|Thriller,San Andreas ,147497,16718,Archie Panjabi,disaster movie|earthquake|journey|natural disaster|san andreas fault,499,110000000,2015,2000,2.35
55,Colin Salmon,125332007,Action|Adventure|Thriller,Tomorrow Never Dies ,149680,2958,Joe Don Baker,ex boyfriend ex girlfriend relationship|media tycoon|megalomaniac|official james bond series|world war three,328,110000000,1997,766,2.35
776,Adam Baldwin,113330342,Action|Drama|History|War,The Patriot ,207613,19454,Tom Wilkinson,american revolution|british|french|hero|standoff,1144,110000000,2000,2000,2.35
0,Julia Roberts,125531634,Crime|Thriller,Ocean's Twelve ,284852,19359,Mini Anden,father daughter relationship|heist|pretending to be pregnant|sequel|thief,627,110000000,2004,8000,2.35
218,Angelina Jolie Pitt,186336103,Action|Comedy|Crime|Romance|Thriller,Mr. & Mrs. Smith ,348861,22722,Stephanie March,assassin|marriage|secret agent|suburb|target,798,120000000,2005,11000,2.35
124,Theo James,129995817,Adventure|Sci-Fi|Thriller,Insurgent ,154621,22622,Mekhi Phifer,action heroine|falling from height|mind control|trainhopping|truth serum,258,110000000,2015,5000,2.35
17000,Adam Scott,102608827,Biography|Drama,The Aviator ,264318,34582,Frances Conroy,1920s|aviation|fight|spruce goose|test flight,799,110000000,2004,3000,2.35
11,Catherine Tate,42776259,Adventure|Comedy|Family|Fantasy,Gulliver's Travels ,53160,1173,Olly Alexander,bermuda triangle|box office hit|shipwrecked|travel|travel writer,121,112000000,2010,392,2.35
1000,Tom Wilkinson,98780042,Action|Comedy|Crime|Sci-Fi|Thriller,The Green Hornet ,136019,13391,Chad L. Coleman,heir|kung fu|party|playboy|superhero,443,120000000,2011,1000,2.35
,Dirk Benedict,,Action|Adventure|Crime,The A-Team             ,25402,1655,Dwight Schultz,1980s|cult tv|famous opening theme|good versus evil|hero for hire,97,,,554,4.0
263,Sullivan Stapleton,106369117,Action|Drama|Fantasy|War,300: Rise of an Empire ,225273,10583,Peter Mensah,army|commander|female rear nudity|greek|navy,523,110000000,2014,1000,2.35
67,Tim Gunn,142614158,Adventure|Animation|Comedy|Family|Fantasy,The Smurfs ,66593,692,Madison McKinley,blue|new york|new york city|no opening credits|smurf,153,110000000,2011,113,1.78
6,Roseanne Barr,50026353,Animation|Comedy|Family|Music|Western,Home on the Range ,13581,13607,G.W. Bailey,cattle|cow|dairy farm|farm|rustler,88,110000000,2004,513,1.78
124,Theo James,66002193,Action|Adventure|Mystery|Sci-Fi|Thriller,Allegiant ,44296,12452,Zoë Kravitz,based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead,144,110000000,2016,5000,2.35
189,Torey Michael Adkins,85463309,Action|Drama|Sci-Fi|Sport,Real Steel ,254841,22254,Olga Fonda,arena|boxing|boxing movie|robot|robot battle,426,110000000,2011,929,2.35
67,Nancy O'Dell,71017784,Adventure|Animation|Comedy|Family|Fantasy,The Smurfs 2 ,27257,914,Vanessa Matsui,based on cartoon|box office hit|no opening credits|sequel|smurf,59,105000000,2013,71,1.85
101,Temuera Morrison,48068396,Action|Crime|Romance|Thriller,Speed 2: Cruise Control ,60573,2027,Lois Chiles,collision course|computer|cruise|diamonds|ship run aground,248,160000000,1997,368,2.35
151,Moises Arias,61656849,Action|Sci-Fi,Ender's Game ,184561,12908,Aramis Knight,alien|future|manipulation|simulation|training,554,110000000,2013,635,2.35
235,Jonathan Sadowski,134520804,Action|Adventure|Thriller,Live Free or Die Hard ,336235,13961,Cyril Raffaelli,fbi|hacker|independence day|police|terrorist,782,110000000,2007,300,2.35
0,Orlando Bloom,313837577,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Fellowship of the Ring ,1238746,22342,Billy Boyd,elf|hobbit|middle earth|quest|ring,5060,93000000,2001,5000,2.35
153,Steve Coogan,24004159,Action|Adventure|Comedy,Around the World in 80 Days ,68720,3175,Cécile De France,19th century|around the world|inventor|martial arts|train,191,110000000,2004,1000,2.35
0,Jada Pinkett Smith,58183966,Biography|Drama|Sport,Ali ,79186,14196,Joe Morton,african american protagonist|african americans|boxing gym|gym|rumble in the jungle,386,107000000,2001,851,2.35
34,Kelly Preston,100446895,Adventure|Comedy|Family|Fantasy,The Cat in the Hat ,36033,2762,Spencer Breslin,based on cult comic book|cat|home alone|imagination|talking cat,456,109000000,2003,743,1.85
295,Bruce Greenwood,144795350,Action|Mystery|Sci-Fi|Thriller,"I, Robot ",387632,12068,Chi McBride,humanoid robot|man versus machine|prosthetic limb|robot as pathos|robot vs. robot,789,120000000,2004,981,2.35
0,Orlando Bloom,47396698,Action|Adventure|Drama|History|War,Kingdom of Heaven ,217373,19600,Philip Glenister,12th century|crusader|jerusalem|knight|medieval times,942,130000000,2005,5000,2.35
50,Nathan Lane,140015224,Adventure|Comedy|Family|Fantasy,Stuart Little ,94172,3382,Jeffrey Jones,box office hit|cat|first part|mouse|orphanage,179,133000000,1999,886,1.85
63,Jenifer Lewis,104374107,Animation|Family|Fantasy|Musical|Romance,The Princess and the Frog ,89351,2480,Anika Noni Rose,amphibian|dream|frog|frog prince|waitress,214,105000000,2009,578,1.85
0,Donald Glover,228430993,Adventure|Drama|Sci-Fi,The Martian ,472488,14831,Benedict Wong,astronaut|international cooperation|left for dead|nasa|space habitat,1023,108000000,2015,801,2.35
0,,,Comedy,"10,000 B.C.             ",6,5,,,,,,,
0,Steve Buscemi,35799026,Action|Adventure|Romance|Sci-Fi|Thriller,The Island ,263329,34839,Djimon Hounsou,clone|environment|escape|island|lottery,899,126000000,2005,12000,2.35
23,Warren Beatty,6712451,Comedy|Romance,Town & Country ,4102,3133,Garry Shandling,anniversary|architect|cellist|friend|hardware store,89,90000000,2001,631,1.85
57,Angelina Jolie Pitt,101643008,Action|Crime|Thriller,Gone in Sixty Seconds ,218341,29069,Robert Duvall,auto theft|brother|car|theft|thief,498,90000000,2000,11000,2.35
0,Connie Nielsen,187670866,Action|Drama|Romance,Gladiator ,982637,6521,Oliver Reed,battlefield|blood|combat|gladiator|roman empire,2368,103000000,2000,933,2.35
14000,Frank Grillo,132014112,Action|Mystery|Sci-Fi|Thriller,Minority Report ,399651,12546,Jessica Capshaw,future|murder|neo noir|washington d.c.|year 2054,1331,102000000,2002,798,2.35
0,Rupert Grint,261970615,Adventure|Family|Fantasy|Mystery,Harry Potter and the Chamber of Secrets ,387616,35672,Emma Watson,bildungsroman|flying broom|invisibility cloak|monster|wizardry,858,100000000,2002,10000,2.35
258,Tobias Menzies,167007184,Action|Adventure|Thriller,Casino Royale ,470483,9125,Ivana Milicevic,casino|espionage|free running|james bond|terrorist,2301,150000000,2006,1000,2.35
13000,Estella Warren,180011740,Action|Adventure|Sci-Fi|Thriller,Planet of the Apes ,177725,2776,Erick Avari,astronaut|cage|planet|wilhelm scream|year 2029,1368,100000000,2001,658,2.35
0,Jenette Goldstein,204843350,Action|Sci-Fi,Terminator 2: Judgment Day ,744891,2829,S. Epatha Merkerson,future|liquid metal|multiple cameos|sexy woman|time travel,983,102000000,1991,604,2.35
