director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,title_year,imdb_score
Roland Joffé,10,596,282,,Tamsin Egerton,The Lovers ,2138,1980,Bipasha Basu,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,15,English,R,,2015,4.5
Joachim Rønning,58,18,324,,Salma Hayek,Bandidas ,28848,5377,Dwight Yoakam,http://www.imdb.com/title/tt0416496/?ref_=fn_tt_tt_1,76,English,PG-13,32000000,2006,5.7
Tony Kaye,,194,816,,Bill Cobbs,Black Water Transit ,219,3874,Beverly D'Angelo,http://www.imdb.com/title/tt0490087/?ref_=fn_tt_tt_1,,English,,23000000,2009,7.2
Wes Ball,297,47,129,102413606,Ki Hong Lee,The Maze Runner ,310903,1783,Jacob Latimore,http://www.imdb.com/title/tt1790864/?ref_=fn_tt_tt_1,524,English,PG-13,34000000,2014,6.8
Ken Scott,90,31,141,10214013,Tom Wilkinson,Unfinished Business ,23072,1564,Melissa McMeekin,http://www.imdb.com/title/tt2358925/?ref_=fn_tt_tt_1,89,English,R,35000000,2015,5.4
Martin Scorsese,56,17000,94,32000000,Richard E. Grant,The Age of Innocence ,36267,1068,Stuart Wilson,http://www.imdb.com/title/tt0106226/?ref_=fn_tt_tt_1,150,English,PG,30000000,1993,7.2
Darren Aronofsky,274,0,1000,10139254,Hugh Jackman,The Fountain ,190990,24640,Mark Margolis,http://www.imdb.com/title/tt0414993/?ref_=fn_tt_tt_1,915,English,PG-13,35000000,2006,7.3
Hugh Johnson,68,3,239,11227940,David Paymer,Chill Factor ,8367,1274,Hudson Leick,http://www.imdb.com/title/tt0163579/?ref_=fn_tt_tt_1,94,English,R,34000000,1999,5.2
Simon West,98,165,566,183125,Nicolas Cage,Stolen ,36914,14978,Sami Gayle,http://www.imdb.com/title/tt1656186/?ref_=fn_tt_tt_1,86,English,R,35000000,2012,5.5
Hayao Miyazaki,256,6000,2,15081783,Rumi Hiiragi,Ponyo ,85589,13,Yuria Nara,http://www.imdb.com/title/tt0876563/?ref_=fn_tt_tt_1,144,Japanese,G,34000000,2008,7.7
George Tillman Jr.,117,88,954,37432299,Tiago Riani,The Longest Ride ,50041,3386,Hayley Lovitt,http://www.imdb.com/title/tt2726560/?ref_=fn_tt_tt_1,116,English,PG-13,34000000,2015,7.1
Rand Ravich,107,7,1000,10654581,Johnny Depp,The Astronaut's Wife ,45497,52621,Clea DuVall,http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,260,English,R,34000000,1999,5.3
Hugh Hudson,52,46,292,6543194,Liam Aiken,I Dreamed of Africa ,3740,1778,Vincent Perez,http://www.imdb.com/title/tt0167203/?ref_=fn_tt_tt_1,61,English,PG-13,34000000,2000,5.6
Gabriele Muccino,135,125,2000,13101142,Gerard Butler,Playing for Keeps ,23916,23122,Judy Greer,http://www.imdb.com/title/tt1540128/?ref_=fn_tt_tt_1,50,English,PG-13,35000000,2012,5.7
Justin Chadwick,211,56,38,8324748,Terry Pheto,Mandela: Long Walk to Freedom ,21223,301,Tony Kgoroge,http://www.imdb.com/title/tt2304771/?ref_=fn_tt_tt_1,108,English,PG-13,35000000,2013,7.1
Warren Beatty,57,631,521,,Paul Sorvino,Reds ,16255,2291,M. Emmet Walsh,http://www.imdb.com/title/tt0082979/?ref_=fn_tt_tt_1,127,English,PG,35000000,1981,7.5
Rob Reiner,81,0,574,141340178,Tom Cruise,A Few Good Men ,181879,14619,Kevin Pollak,http://www.imdb.com/title/tt0104257/?ref_=fn_tt_tt_1,319,English,R,40000000,1992,7.6
Andrzej Bartkowiak,107,43,655,51758599,Michael Jai White,Exit Wounds ,27580,5942,Bruce McGill,http://www.imdb.com/title/tt0242445/?ref_=fn_tt_tt_1,232,English,R,33000000,2001,5.5
Raja Gosnell,100,67,330,117559438,Nia Long,Big Momma's House ,66941,1790,Tichina Arnold,http://www.imdb.com/title/tt0208003/?ref_=fn_tt_tt_1,148,English,PG-13,30000000,2000,5.1
Jeremy Degruson,60,0,11,4091,Kyle Hebert,Thunder and the House of Magic ,4265,369,Joe Ochman,http://www.imdb.com/title/tt3148834/?ref_=fn_tt_tt_1,16,English,,34000000,2013,6.3
Chris Gorak,195,21,48,21426805,Max Minghella,The Darkest Hour ,49312,843,Dato Bakhtadze,http://www.imdb.com/title/tt1093357/?ref_=fn_tt_tt_1,211,English,PG-13,30000000,2011,4.9
Scott Speer,121,35,433,35057332,Ryan Guzman,Step Up Revolution ,45394,4863,Misha Gabriel Hamilton,http://www.imdb.com/title/tt1800741/?ref_=fn_tt_tt_1,72,English,PG-13,33000000,2012,6.5
David R. Ellis,285,160,491,34014398,Lin Shaye,Snakes on a Plane ,115649,2604,Rachel Blanchard,http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1,1033,English,R,33000000,2006,5.6
Joe Charbanic,103,10,178,28927720,Keanu Reeves,The Watcher ,22220,18688,Chris Ellis,http://www.imdb.com/title/tt0204626/?ref_=fn_tt_tt_1,181,English,R,33000000,2000,5.3
Jonathan Hensleigh,192,36,336,33682273,Laura Harring,The Punisher ,124242,2114,Eddie Jemison,http://www.imdb.com/title/tt0330793/?ref_=fn_tt_tt_1,622,English,R,33000000,2004,6.5
Danny Cannon,90,41,577,4280577,Sean Pertwee,Goal! The Dream Begins ,50919,2859,Stephen Dillane,http://www.imdb.com/title/tt0380389/?ref_=fn_tt_tt_1,114,English,PG-13,10000000,2005,6.8
Boaz Yakin,258,132,317,17120019,Jason Statham,Safe ,83097,27759,Robert John Burke,http://www.imdb.com/title/tt1656190/?ref_=fn_tt_tt_1,134,English,R,30000000,2012,6.5
Mike Newell,56,179,551,8406264,Angelina Jolie Pitt,Pushing Tin ,24826,13093,Jake Weber,http://www.imdb.com/title/tt0120797/?ref_=fn_tt_tt_1,175,English,R,38000000,1999,6.0
Richard Marquand,197,37,504,309125409,Harrison Ford,Star Wars: Episode VI - Return of the Jedi ,681857,13649,Kenny Baker,http://www.imdb.com/title/tt0086190/?ref_=fn_tt_tt_1,647,English,PG,32500000,1983,8.4
Neil Marshall,254,197,43,10955425,Ryan Kruger,Doomsday ,62770,391,Jeremy Crutchley,http://www.imdb.com/title/tt0483607/?ref_=fn_tt_tt_1,396,English,R,30000000,2008,6.0
Stephen Daldry,299,335,50,34180954,Kate Winslet,The Reader ,189812,14504,Susanne Lothar,http://www.imdb.com/title/tt0976051/?ref_=fn_tt_tt_1,370,English,R,32000000,2008,7.6
David Wain,163,136,833,17225675,Justin Theroux,Wanderlust ,62198,4151,Joe Lo Truglio,http://www.imdb.com/title/tt1655460/?ref_=fn_tt_tt_1,139,English,R,,2012,5.6
Jon Favreau,152,4000,8000,173381405,Peter Dinklage,Elf ,147597,43354,Will Ferrell,http://www.imdb.com/title/tt0319343/?ref_=fn_tt_tt_1,395,English,PG,33000000,2003,6.9
Jon Turteltaub,53,226,796,104632573,Robert Duvall,Phenomenon ,63839,5975,David Gallagher,http://www.imdb.com/title/tt0117333/?ref_=fn_tt_tt_1,118,English,PG,32000000,1996,6.4
Brian Levant,67,32,521,81150692,James Coburn,Snow Dogs ,20219,2916,M. Emmet Walsh,http://www.imdb.com/title/tt0281373/?ref_=fn_tt_tt_1,100,English,PG,35000000,2002,5.1
Richard Donner,88,503,1000,60328558,Bill Murray,Scrooged ,61396,18734,Robert Mitchum,http://www.imdb.com/title/tt0096061/?ref_=fn_tt_tt_1,159,English,PG-13,32000000,1988,7.0
Jared Hess,163,100,327,80197993,Ana de la Reguera,Nacho Libre ,65551,1729,Héctor Jiménez,http://www.imdb.com/title/tt0457510/?ref_=fn_tt_tt_1,441,English,PG,32000000,2006,5.7
Paul Feig,371,176,460,169076745,Matt Lucas,Bridesmaids ,218711,3229,Steve Bannos,http://www.imdb.com/title/tt1478338/?ref_=fn_tt_tt_1,485,English,R,32500000,2011,6.8
Evan Goldberg,418,133,9000,101470202,Channing Tatum,This Is the End ,310540,38751,Emma Watson,http://www.imdb.com/title/tt1245492/?ref_=fn_tt_tt_1,669,English,R,32000000,2013,6.7
Rupert Wainwright,131,9,573,50041732,Nia Long,Stigmata ,54390,3004,Portia de Rossi,http://www.imdb.com/title/tt0145531/?ref_=fn_tt_tt_1,398,English,R,29000000,1999,6.2
George Tillman Jr.,98,88,975,48814909,Robert De Niro,Men of Honor ,89424,36069,Michael Rapaport,http://www.imdb.com/title/tt0203019/?ref_=fn_tt_tt_1,224,English,R,32000000,2000,7.2
John Luessenhop,119,34,1000,57744720,Paul Walker,Takers ,46961,31529,Jay Hernandez,http://www.imdb.com/title/tt1135084/?ref_=fn_tt_tt_1,132,English,PG-13,20000000,2010,6.2
Justin Zackham,133,16,2000,21784432,Robin Williams,The Big Wedding ,37493,74181,Topher Grace,http://www.imdb.com/title/tt1931435/?ref_=fn_tt_tt_1,108,English,R,35000000,2013,5.6
John Whitesell,88,14,534,37911876,Brandon T. Jackson,"Big Mommas: Like Father, Like Son ",19671,3500,Portia Doubleday,http://www.imdb.com/title/tt1464174/?ref_=fn_tt_tt_1,47,English,PG-13,32000000,2011,4.4
Duncan Jones,522,0,355,54696902,Jake Gyllenhaal,Source Code ,379462,16034,Russell Peters,http://www.imdb.com/title/tt0945513/?ref_=fn_tt_tt_1,571,English,PG-13,32000000,2011,7.5
Frank Marshall,43,155,240,36733909,Illeana Douglas,Alive ,38949,2054,Michael DeLorenzo,http://www.imdb.com/title/tt0106246/?ref_=fn_tt_tt_1,112,English,R,32000000,1993,7.1
Joel Schumacher,224,541,897,35063732,Logan Lerman,The Number 23 ,164608,10938,Ed Lauter,http://www.imdb.com/title/tt0481369/?ref_=fn_tt_tt_1,383,English,R,32000000,2007,6.4
Jean-Pierre Jeunet,122,0,223,99462,Callum Rennie,The Young and Prodigious T.S. Spivet ,11347,1843,Judy Davis,http://www.imdb.com/title/tt1981107/?ref_=fn_tt_tt_1,28,English,PG,33000000,2013,7.1
Steven Spielberg,56,14000,642,,Christopher Lee,1941 ,25193,20201,Treat Williams,http://www.imdb.com/title/tt0078723/?ref_=fn_tt_tt_1,217,English,PG,35000000,1979,5.9
John Gatins,75,61,83,32701088,Ken Howard,Dreamer: Inspired by a True Story ,10018,1400,Holmes Osborne,http://www.imdb.com/title/tt0418647/?ref_=fn_tt_tt_1,108,English,PG,32000000,2005,6.9
David Cronenberg,441,0,882,31493782,Viggo Mortensen,A History of Violence ,186606,12754,William Hurt,http://www.imdb.com/title/tt0399146/?ref_=fn_tt_tt_1,1125,English,R,32000000,2005,7.5
Louis Leterrier,163,255,810,43095600,Jason Statham,Transporter 2 ,156267,29050,Matthew Modine,http://www.imdb.com/title/tt0388482/?ref_=fn_tt_tt_1,340,English,PG-13,32000000,2005,6.3
Sam Raimi,63,0,159,18636537,Leonardo DiCaprio,The Quick and the Dead ,69197,29743,Roberts Blossom,http://www.imdb.com/title/tt0114214/?ref_=fn_tt_tt_1,216,English,R,32000000,1995,6.4
Peter Howitt,90,29,142,17848322,Frances Fisher,Laws of Attraction ,18771,961,Nora Dunn,http://www.imdb.com/title/tt0323033/?ref_=fn_tt_tt_1,102,English,PG-13,28000000,2004,5.9
Martin Scorsese,163,17000,245,16640210,Nicolas Cage,Bringing Out the Dead ,53028,13040,Sonja Sohn,http://www.imdb.com/title/tt0163988/?ref_=fn_tt_tt_1,382,English,R,55000000,1999,6.8
Miguel Sapochnik,197,238,447,13763130,Alice Braga,Repo Men ,87768,2925,Yvette Nicole Brown,http://www.imdb.com/title/tt1053424/?ref_=fn_tt_tt_1,187,English,R,32000000,2010,6.3
Hyung-rae Shim,93,26,535,10956379,Robert Forster,Dragon Wars: D-War ,21506,3274,Chris Mulkey,http://www.imdb.com/title/tt0372873/?ref_=fn_tt_tt_1,364,English,PG-13,35000000,2007,3.6
Norman Jewison,15,278,179,4357000,Haley Joel Osment,Bogus ,5176,3864,Andrea Martin,http://www.imdb.com/title/tt0115725/?ref_=fn_tt_tt_1,30,English,PG,30000000,1996,5.3
Don Scardino,260,35,7000,22525921,Steve Buscemi,The Incredible Burt Wonderstone ,60596,32094,Steve Carell,http://www.imdb.com/title/tt0790628/?ref_=fn_tt_tt_1,158,English,PG-13,30000000,2013,5.9
Mark Dindal,18,10,826,3562749,George Kennedy,Cats Don't Dance ,5600,7394,Hal Holbrook,http://www.imdb.com/title/tt0118829/?ref_=fn_tt_tt_1,49,English,G,32000000,1997,6.9
Tim Robbins,70,0,876,2899970,Bill Murray,Cradle Will Rock ,8039,16878,Emily Watson,http://www.imdb.com/title/tt0150216/?ref_=fn_tt_tt_1,161,English,R,32000000,1999,6.9
Steven Soderbergh,183,0,308,1304837,Tony Curran,The Good German ,21481,2355,Leland Orser,http://www.imdb.com/title/tt0452624/?ref_=fn_tt_tt_1,175,English,R,32000000,2006,6.1
Tom Reeve,12,0,239,,Joan Plowright,George and the Dragon ,3088,1073,Simon Callow,http://www.imdb.com/title/tt0306892/?ref_=fn_tt_tt_1,31,English,PG,32000000,2004,5.7
Francis Ford Coppola,261,0,3000,78800000,Harrison Ford,Apocalypse Now ,450676,25313,Robert Duvall,http://www.imdb.com/title/tt0078788/?ref_=fn_tt_tt_1,983,English,R,31500000,1979,8.5
Nanette Burstein,167,8,472,17797316,Rob Riggle,Going the Distance ,50523,2961,Jim Gaffigan,http://www.imdb.com/title/tt1322312/?ref_=fn_tt_tt_1,113,English,R,32000000,2010,6.3
Stephen Herek,42,65,320,82528097,Alicia Witt,Mr. Holland's Opus ,30230,2223,Jean Louisa Kelly,http://www.imdb.com/title/tt0113862/?ref_=fn_tt_tt_1,154,English,PG,6500000,1995,7.3
Ariel Vromen,130,34,24,14268533,Gary Oldman,Criminal ,17319,10910,Doug Cockle,http://www.imdb.com/title/tt3014866/?ref_=fn_tt_tt_1,100,English,R,31500000,2016,6.3
Sydney Pollack,66,521,184,87100000,Meryl Streep,Out of Africa ,52339,12518,Michael Kitchen,http://www.imdb.com/title/tt0089755/?ref_=fn_tt_tt_1,200,English,PG,31000000,1985,7.2
Robert Zemeckis,449,0,874,93749203,Denzel Washington,Flight ,264047,20952,Nadine Velazquez,http://www.imdb.com/title/tt1907668/?ref_=fn_tt_tt_1,491,English,R,31000000,2012,7.3
Lewis Gilbert,121,43,177,62700000,Desmond Llewelyn,Moonraker ,69534,1008,Lois Maxwell,http://www.imdb.com/title/tt0079574/?ref_=fn_tt_tt_1,294,English,PG,34000000,1979,6.3
Wes Anderson,536,0,670,59073773,Bill Murray,The Grand Budapest Hotel ,475518,15082,F. Murray Abraham,http://www.imdb.com/title/tt2278388/?ref_=fn_tt_tt_1,644,English,R,25000000,2014,8.1
Scott Hicks,135,96,442,24185781,Anthony Hopkins,Hearts in Atlantis ,30339,13811,Hope Davis,http://www.imdb.com/title/tt0252501/?ref_=fn_tt_tt_1,268,English,PG-13,31000000,2001,6.9
Frank Marshall,74,155,125,53133888,Julian Sands,Arachnophobia ,50389,1440,Brian McNamara,http://www.imdb.com/title/tt0099052/?ref_=fn_tt_tt_1,136,English,PG-13,31000000,1990,6.3
Gregory Hoblit,168,40,617,44983704,Dennis Quaid,Frequency ,81866,4045,Noah Emmerich,http://www.imdb.com/title/tt0186151/?ref_=fn_tt_tt_1,510,English,PG-13,31000000,2000,7.3
Paul Feig,464,176,322,118099659,Ed Begley Jr.,Ghostbusters ,69790,2097,Zach Woods,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,1211,English,PG-13,144000000,2016,5.5
John Francis Daley,204,0,816,58879132,Chris Hemsworth,Vacation ,66123,40312,Beverly D'Angelo,http://www.imdb.com/title/tt1524930/?ref_=fn_tt_tt_1,219,English,R,31000000,2015,6.1
Barry Sonnenfeld,96,188,482,72077000,Delroy Lindo,Get Shorty ,62986,3439,Jon Gries,http://www.imdb.com/title/tt0113161/?ref_=fn_tt_tt_1,150,English,R,30250000,1995,6.9
Rob Marshall,223,252,90,170684505,Colm Feore,Chicago ,172080,813,Jayne Eastwood,http://www.imdb.com/title/tt0299658/?ref_=fn_tt_tt_1,1017,English,PG-13,45000000,2002,7.2
Dennis Dugan,112,221,781,163479795,Steve Buscemi,Big Daddy ,161858,26760,Joey Lauren Adams,http://www.imdb.com/title/tt0142342/?ref_=fn_tt_tt_1,289,English,PG-13,34200000,1999,6.4
J.B. Rogers,142,6,1000,145096820,Alyson Hannigan,American Pie 2 ,200260,7872,Natasha Lyonne,http://www.imdb.com/title/tt0252866/?ref_=fn_tt_tt_1,431,English,R,30000000,2001,6.4
John Lasseter,166,487,802,191796233,Tom Hanks,Toy Story ,623757,19046,Jim Varney,http://www.imdb.com/title/tt0114709/?ref_=fn_tt_tt_1,391,English,G,30000000,1995,8.3
