num_critic_for_reviews,actor_3_facebook_likes,actor_1_facebook_likes,num_voted_users,actor_3_name,facenumber_in_poster,num_user_for_reviews,country,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
371,460,722,218711,Steve Bannos,6,485,USA,32500000,2011,655,2.35,27000
418,9000,17000,310540,Emma Watson,6,669,USA,32000000,2013,11000,2.35,97000
131,573,826,54390,Portia de Rossi,0,398,USA,29000000,1999,724,2.35,0
98,975,22000,89424,Michael Rapaport,0,224,USA,32000000,2000,9000,2.35,0
119,1000,23000,46961,Jay Hernandez,5,132,USA,20000000,2010,4000,2.35,0
133,2000,49000,37493,Topher Grace,8,108,USA,35000000,2013,22000,2.35,0
88,534,918,19671,Portia Doubleday,2,47,USA,32000000,2011,845,2.35,0
522,355,15000,379462,Russell Peters,3,571,USA,32000000,2011,491,1.85,56000
43,240,344,38949,Michael DeLorenzo,3,112,USA,32000000,1993,242,1.85,0
224,897,8000,164608,Ed Lauter,1,383,USA,32000000,2007,912,2.35,10000
122,223,716,11347,Judy Davis,1,28,France,33000000,2013,648,2.35,5000
56,642,16000,25193,Treat Williams,5,217,USA,35000000,1979,1000,2.35,2000
75,83,649,10018,Holmes Osborne,1,108,USA,32000000,2005,579,2.35,0
441,882,10000,186606,William Hurt,1,1125,USA,32000000,2005,917,1.85,0
163,810,26000,156267,Matthew Modine,1,340,France,32000000,2005,1000,2.35,0
63,159,29000,69197,Roberts Blossom,0,216,Japan,32000000,1995,165,1.85,0
90,142,638,18771,Nora Dunn,1,102,Ireland,28000000,2004,160,2.35,702
163,245,12000,53028,Sonja Sohn,0,382,USA,55000000,1999,368,2.35,0
197,447,1000,87768,Yvette Nicole Brown,0,187,USA,32000000,2010,561,2.35,12000
93,535,889,21506,Chris Mulkey,0,364,South Korea,35000000,2007,618,2.35,0
15,179,3000,5176,Andrea Martin,3,30,USA,30000000,1996,359,1.85,350
260,7000,12000,60596,Steve Carell,4,158,USA,30000000,2013,10000,2.35,13000
18,826,3000,5600,Hal Holbrook,0,49,USA,32000000,1997,2000,1.33,643
70,876,13000,8039,Emily Watson,2,161,USA,32000000,1999,898,2.35,625
183,308,845,21481,Leland Orser,2,175,USA,32000000,2006,552,1.66,559
12,239,330,3088,Simon Callow,4,31,USA,32000000,2004,239,2.35,290
261,3000,11000,450676,Robert Duvall,1,983,USA,31500000,1979,10000,2.35,19000
167,472,839,50523,Jim Gaffigan,0,113,USA,32000000,2010,730,2.35,0
42,320,975,30230,Jean Louisa Kelly,1,154,USA,6500000,1995,345,2.35,0
130,24,10000,17319,Doug Cockle,2,100,UK,31500000,2016,877,2.35,0
66,184,11000,52339,Michael Kitchen,0,200,USA,31000000,1985,920,1.85,0
449,874,18000,264047,Nadine Velazquez,0,491,USA,31000000,2012,984,2.35,64000
121,177,244,69534,Lois Maxwell,2,294,UK,34000000,1979,202,2.35,0
536,670,13000,475518,F. Murray Abraham,0,644,USA,25000000,2014,1000,1.37,149000
135,442,12000,30339,Hope Davis,1,268,USA,31000000,2001,495,2.35,0
74,125,687,50389,Brian McNamara,0,136,USA,31000000,1990,151,1.85,0
168,617,2000,81866,Noah Emmerich,0,510,USA,31000000,2000,702,2.35,0
464,322,783,69790,Zach Woods,4,1211,USA,144000000,2016,370,2.35,62000
204,816,26000,66123,Beverly D'Angelo,4,219,USA,31000000,2015,12000,2.35,28000
96,482,848,62986,Jon Gries,4,150,USA,30250000,1995,808,1.85,0
223,90,539,172080,Jayne Eastwood,0,1017,USA,45000000,2002,151,1.85,0
112,781,12000,161858,Joey Lauren Adams,0,289,USA,34200000,1999,11000,1.85,0
142,1000,3000,200260,Natasha Lyonne,0,431,USA,30000000,2001,1000,1.85,0
166,802,15000,623757,Jim Varney,1,391,USA,30000000,1995,1000,1.85,0
114,780,18000,260981,Joe Morton,0,373,USA,25000000,1994,946,2.35,0
214,281,17000,145852,Dillon Casey,0,164,USA,30000000,2012,359,2.35,32000
126,946,11000,14281,Alan Ruck,2,64,USA,31000000,2010,3000,1.85,0
157,1000,33000,160776,Ethan Suplee,1,402,USA,30000000,2000,18000,2.35,0
104,495,826,143696,Courtney B. Vance,1,241,USA,30000000,1990,692,2.35,0
304,898,15000,87665,Vanessa Redgrave,0,323,USA,30000000,2013,1000,1.85,41000
191,936,989,185338,Joel David Moore,0,392,USA,20000000,2004,939,2.35,0
55,436,1000,96607,Carel Struycken,0,125,USA,38000000,1991,1000,1.85,5000
59,460,531,160321,Sophie Okonedo,0,178,USA,30000000,1995,461,2.35,0
108,529,11000,94049,Heather Matarazzo,2,301,USA,37000000,2001,995,1.85,0
50,452,944,31817,Stephen Collins,3,117,USA,26000000,1996,893,1.85,0
216,360,11000,1023511,Reg E. Cathey,0,1080,USA,33000000,1995,11000,2.35,39000
472,107,2000,531737,Jason Cope,0,1262,South Africa,30000000,2009,433,1.85,22000
89,217,19000,58906,Rodger Bumpass,0,186,USA,30000000,2004,542,1.85,0
229,262,616,338415,Tom Guiry,0,935,USA,25000000,2003,541,2.35,12000
268,567,16000,482064,Mike Colter,1,1106,USA,30000000,2004,11000,2.35,14000
145,636,22000,123940,Molly Shannon,2,337,USA,30000000,1999,979,1.85,0
177,545,33000,396396,Gena Rowlands,0,1111,USA,29000000,2004,638,2.35,57000
175,71,2000,124501,Yetta Gottesman,1,154,USA,30000000,2008,805,2.35,0
131,635,1000,31760,Moises Arias,2,140,USA,30000000,2009,1000,1.85,0
41,786,971,8146,Debbie Reynolds,0,49,Germany,30000000,2000,844,1.85,181
30,252,769,12549,Melinda Dillon,1,109,USA,30000000,1991,713,1.85,883
57,918,12000,112175,Julia Ormond,2,329,USA,30000000,1994,11000,1.85,11000
391,940,24000,270238,Chris Lowell,0,452,USA,25000000,2009,10000,1.85,19000
217,322,442,107557,Howard Hesseman,1,612,USA,30000000,2002,344,1.85,0
452,7,303,184641,Daniel Rindress-Kay,0,326,USA,35000000,2013,18,2.35,81000
589,502,23000,428916,Tracie Thoms,0,667,USA,30000000,2012,13000,2.35,75000
61,560,979,19079,Wanda Sykes,1,122,USA,30000000,2001,891,1.85,602
79,204,405,94435,Roscoe Lee Browne,0,182,Australia,30000000,1995,368,1.85,5000
234,329,11000,34258,Jean Smart,2,178,USA,30000000,2012,7000,2.35,0
253,344,15000,217507,Maria Thayer,1,325,USA,30000000,2008,975,1.85,0
51,690,971,42746,Scott Porter,1,257,USA,,,741,1.78,0
123,482,1000,109894,Fionnula Flanagan,3,340,USA,45000000,2005,654,2.35,0
145,966,2000,34079,Romany Malco,2,97,USA,30000000,2008,1000,1.85,0
65,545,970,18973,Gena Rowlands,1,162,USA,30000000,1998,631,1.85,0
152,545,11000,79094,Candice Bergen,2,129,USA,30000000,2009,826,1.85,0
94,246,506,37479,Bonnie Somerville,3,152,USA,19000000,2004,316,2.35,0
119,533,3000,122187,Christa B. Allen,1,339,USA,37000000,2004,2000,1.85,0
487,183,617,301149,Nina Arianda,1,509,Spain,17000000,2011,204,1.85,78000
121,691,14000,19547,Sarah Gadon,0,64,Canada,42000000,2014,3000,1.85,0
147,877,40000,198066,Jordi Mollà,1,426,USA,30000000,2001,1000,2.35,13000
85,362,18000,28942,Raphael Sbarge,0,223,USA,55000000,1999,652,2.35,0
98,643,12000,43743,Walter Koenig,1,293,USA,27800000,1989,664,2.35,0
39,837,1000,15074,Anne Meara,7,72,USA,30000000,2002,889,1.85,1000
43,348,3000,76850,Priscilla Presley,5,85,USA,30000000,1994,459,1.85,1000
108,433,1000,68565,Tanya Roberts,2,300,UK,30000000,1985,439,2.35,0
209,100,567,98160,Peter Sallis,0,307,UK,30000000,2005,269,1.85,0
131,37,18000,167967,Nellie McKay,1,243,USA,30000000,2007,631,1.85,20000
73,521,984,12570,M. Emmet Walsh,0,86,USA,,2005,934,1.85,771
316,286,19000,192930,Brenda Blethyn,1,581,UK,30000000,2007,1000,1.85,12000
159,22,898,74630,Luisa Ranieri,1,156,USA,30000000,2010,60,2.35,13000
63,237,939,39306,Kate Capshaw,2,119,USA,30000000,1989,255,2.35,0
162,760,971,25484,Sean Hayes,0,189,USA,,2012,860,1.85,13000
267,973,40000,188785,Joanna Lumley,1,467,USA,40000000,2005,16000,1.85,0
95,543,696,34910,Derek Luke,1,145,USA,,2006,663,2.35,0
478,219,455,196217,Daniel Kaluuya,2,461,USA,30000000,2015,221,2.39,59000
305,424,15000,147128,Oona Laurence,0,277,USA,30000000,2015,1000,2.35,44000
397,828,2000,158354,Reggie Lee,0,691,USA,30000000,2009,1000,2.35,11000
214,1000,11000,93767,Ellen Burstyn,1,209,USA,25000000,2015,2000,2.35,34000
82,1000,3000,43378,Emmanuelle Vaugier,1,292,USA,30000000,2003,3000,1.85,0
138,357,2000,47297,Facundo Lombard,0,86,USA,30000000,2010,594,1.85,16000
69,64,585,26066,Sanoe Lake,3,216,USA,30000000,2002,495,1.85,0
253,77,8000,186977,Danny Rhodes,1,529,USA,38000000,2006,189,1.85,13000
304,63,430,138435,Megan Franich,0,527,USA,32000000,2007,72,2.35,0
634,751,26000,277172,Kristen Connolly,0,986,USA,30000000,2012,821,2.35,66000
111,362,869,88518,Method Man,0,409,USA,30000000,2008,759,1.85,0
77,497,22000,54042,Philip Baker Hall,1,215,USA,30000000,1988,581,1.85,0
120,384,581,112669,Richard Dawson,1,226,USA,27000000,1987,571,1.37,0
63,413,13000,49349,Tisha Campbell-Martin,2,165,USA,25000000,1986,854,1.85,0
417,21,157,159198,John Macmillan,0,438,USA,30000000,2011,33,2.35,38000
9,468,971,3322,Liam James,4,30,USA,,,805,16.0,0
59,342,663,36363,Robin Shou,0,256,USA,30000000,1997,349,1.85,1000
218,392,15000,49205,Randall Park,0,184,USA,30000000,2011,839,2.35,0
359,534,17000,108242,Portia Doubleday,1,371,USA,30000000,2013,2000,2.35,39000
101,439,1000,21767,Jasika Nicole,0,127,USA,30000000,2006,712,1.85,0
52,576,680,135643,Kevin Dillon,2,145,USA,,,638,1.78,0
85,581,12000,33067,Kevin Dunn,1,134,USA,30000000,2006,2000,2.35,0
64,506,1000,12466,Richard Schiff,0,84,USA,45000000,2001,611,1.85,304
263,265,940,111117,Tom Kane,0,245,USA,30000000,2009,271,1.85,13000
450,273,17000,148327,Katie Lowes,0,274,USA,30000000,2013,681,1.85,29000
85,438,1000,31984,Luke Mably,1,154,USA,,2004,530,1.85,0
162,69,759,15600,Huell Howser,0,55,USA,30000000,2011,73,1.85,0
85,244,577,30651,Cheri Oteri,0,267,USA,19000000,2003,291,1.37,1000
110,95,631,21998,Graham Beckel,1,227,USA,30000000,1998,199,1.85,0
165,400,521,15843,Aunjanue Ellis,0,104,USA,30000000,2014,491,1.85,11000
64,433,11000,9283,Tom Everett Scott,3,112,USA,30000000,1998,882,1.85,592
44,650,18000,23579,Traci Lords,1,88,USA,30000000,1995,723,2.35,0
147,560,973,53884,Wanda Sykes,1,203,USA,30000000,2006,776,2.35,1000
242,897,2000,54447,Edgar Ramírez,0,201,USA,30000000,2014,1000,2.35,18000
244,653,2000,47003,Richard Roxburgh,0,215,USA,30000000,2011,942,1.85,11000
73,642,1000,15052,Dave Annable,1,116,USA,35000000,2004,681,2.35,484
232,372,2000,78974,David Paymer,2,141,USA,30000000,2012,401,1.85,11000
63,635,1000,12164,Paul Sorvino,1,63,USA,30000000,2004,962,1.85,491
239,343,10000,146364,Aisha Hinds,0,237,USA,35000000,2010,796,2.35,27000
158,277,14000,70341,Nick Chinlund,1,830,USA,30000000,2006,829,1.85,0
152,431,954,65979,Hugh Dillon,1,220,USA,20000000,2005,739,2.35,999
105,488,978,23345,Patrick Kilpatrick,2,167,USA,30000000,1998,968,2.35,629
36,537,4000,7073,Will Patton,1,29,USA,25000000,1996,561,1.85,204
181,762,19000,43764,Riley Smith,1,291,USA,30000000,2002,953,2.35,0
219,2000,15000,143368,Judy Greer,0,215,USA,30000000,2010,11000,1.85,24000
158,494,14000,65628,Deborah Kara Unger,1,262,USA,30000000,2007,975,2.35,0
155,874,10000,32815,Sissy Spacek,4,214,USA,35000000,2005,9000,2.35,0
74,900,13000,45775,Natasha Henstridge,5,112,USA,40000000,2004,2000,1.85,462
368,559,900,79517,Delphine Chanéac,0,354,Canada,26000000,2009,686,1.85,12000
81,322,1000,33669,Jordan Prentice,1,269,USA,35000000,1986,692,1.85,0
154,798,1000,53053,Frank Grillo,0,132,USA,30000000,2008,807,1.85,0
140,258,849,28606,Marcel Iures,0,262,USA,30000000,2005,787,2.35,0
73,130,372,11520,Robert Costanzo,2,105,USA,30000000,2003,206,1.85,625
98,40,489,44979,Mark Camacho,0,298,USA,30000000,2004,93,2.35,0
358,133,596,85024,Sandra Vergara,1,242,USA,30000000,2011,343,1.85,23000
222,855,23000,70771,Wes Studi,0,671,USA,30000000,2005,909,2.35,0
85,362,811,14747,Jürgen Prochnow,3,338,USA,30000000,1999,586,2.35,858
62,210,21000,11003,Paul Guilfoyle,0,148,USA,30000000,1999,767,1.85,654
130,99,473,56451,Randall Duk Kim,0,524,USA,45000000,2009,315,2.35,0
376,165,971,114241,Christiana Leucas,2,258,USA,45000000,2013,236,2.35,24000
130,353,22000,22449,Munro Chambers,1,191,USA,25000000,2004,829,2.35,387
65,120,448,30092,Terence Maynard,0,129,USA,23000000,2004,143,2.35,0
77,843,1000,9682,Cheech Marin,0,38,USA,30000000,2011,857,1.85,0
107,83,11000,24033,Lynda Boyd,3,152,USA,30000000,2005,329,2.35,0
292,645,10000,126307,Verne Troyer,1,210,UK,40000000,2009,785,1.85,19000
193,329,891,21086,Paul Gross,2,87,Canada,,2010,460,2.35,0
16,51,147,2308,Björn Hlynur Haraldsson,0,19,Iceland,,,63,16.0,0
184,681,3000,52069,David Costabile,3,95,USA,30000000,2013,697,2.35,0
123,91,779,25558,Ned Bellamy,2,221,USA,30000000,2001,240,2.35,0
60,2000,18000,101888,Matthew Broderick,3,365,USA,18000000,1989,11000,1.85,0
111,642,22000,221000,Treat Williams,8,495,Italy,30000000,1984,683,1.85,12000
217,174,3000,54147,James Biberi,2,127,USA,30000000,2013,678,2.35,0
117,548,14000,29715,Kris Marshall,3,161,USA,18000000,2004,871,2.35,0
105,345,2000,9004,Tchéky Karyo,0,103,France,25000000,2002,378,1.85,287
41,826,17000,3926,Steve Howey,1,38,USA,,2005,2000,1.85,353
124,135,876,23864,Lucy Boynton,1,142,UK,30000000,2006,142,2.35,0
90,107,489,8215,Nicholas Tse,0,132,China,60000000,2005,181,2.35,445
110,748,826,38503,Sarah Carter,4,180,USA,21000000,2006,816,2.35,0
273,820,11000,136104,Sam Shepard,0,415,USA,30000000,2007,10000,2.35,0
63,187,974,4670,Jaycee Chan,0,27,China,18000000,2011,643,2.35,0
56,55,295,9214,Kad Merad,7,17,France,,2009,71,1.85,0
130,700,26000,36487,Jason Alexander,0,114,USA,30000000,2015,947,2.35,0
134,313,18000,52972,Kathy Baker,1,124,USA,30000000,2011,1000,2.35,21000
36,480,1000,4599,James Corden,0,44,Germany,,2010,898,2.39,885
46,11,113,10175,Tyrone Keogh,1,23,Germany,30000000,2007,11,2.35,0
7,432,922,3279,Jemima West,4,22,France,24000000,2014,919,2.35,0
132,520,963,12410,Derek Jacobi,3,62,Switzerland,30000000,2014,903,2.35,6000
5,21,114,393,Sergey Garmash,1,7,Russia,30000000,2015,35,,161
56,24,1000,14618,Chiara Caselli,0,108,Italy,30000000,2002,794,1.85,447
65,365,11000,3302,Anders Holm,0,14,USA,19000000,2016,4000,1.85,13000
221,751,10000,97697,Hana Mae Lee,8,185,USA,29000000,2015,1000,1.85,40000
291,154,523,188637,Tyler Hilton,0,815,USA,28000000,2005,405,2.39,11000
13,442,757,20839,Tom Noonan,0,56,USA,,,641,16.0,12000
148,754,955,44816,Anne Bancroft,3,259,USA,30000000,2000,869,1.85,0
42,373,1000,16222,Mark Williams,0,39,UK,29000000,1997,409,1.85,0
302,1000,2000,88682,Oliver Platt,1,241,USA,35000000,2008,1000,2.35,0
181,89,504,71596,Jennifer Hall,0,276,USA,29000000,2002,147,2.35,3000
64,584,2000,14315,Vincent Pastore,2,101,Germany,29000000,2002,719,1.85,201
154,265,22000,16984,Ben Falcone,1,96,USA,29000000,2016,779,1.85,0
17,400,18000,9913,Penelope Wilton,0,51,UK,29000000,1987,427,2.35,0
65,933,11000,8134,Mary McDonnell,4,123,USA,28000000,1999,1000,2.35,209
148,363,1000,28632,Hannah Spearritt,0,214,Romania,12000000,2004,857,1.85,0
161,566,1000,92850,Angel Coulby,0,263,USA,29000000,2005,948,2.35,0
124,631,49000,260939,Scott Weinger,0,244,USA,28000000,1992,2000,1.33,0
349,303,559,119928,R. Marcos Taylor,0,331,USA,28000000,2015,427,2.35,76000
148,237,11000,329969,Kate Capshaw,2,524,USA,28000000,1984,429,2.35,0
45,368,971,14005,Christine Cavanaugh,0,67,USA,24000000,1998,503,1.85,418
133,878,11000,59232,Monica Potter,0,317,USA,60000000,2001,2000,2.35,0
87,83,11000,2167,John Sessions,3,32,UK,29000000,2016,183,2.35,0
178,876,40000,130094,Enrique Iglesias,1,471,USA,29000000,2003,4000,1.78,0
233,541,25000,592582,Reginald VelJohnson,0,722,USA,28000000,1988,13000,2.35,25000
173,526,833,195255,Bobb'e J. Thompson,1,170,Germany,28000000,2008,543,1.85,0
426,767,33000,182983,Charlie Talbert,4,374,USA,28000000,2015,23000,2.35,99000
210,210,579,24663,Demetri Martin,12,71,USA,30000000,2009,489,1.85,0
129,250,639,36636,Kenneth Mitchell,0,289,USA,28000000,2004,617,2.4,0
287,1000,3000,194422,Mekhi Phifer,0,1057,USA,26000000,2004,2000,2.35,7000
108,968,11000,61317,Alex Rocco,2,229,Germany,35000000,2001,2000,2.35,0
62,47,173,8227,Haruma Miura,0,28,Japan,30000000,2013,59,2.35,0
220,327,13000,209133,Seymour Cassel,1,962,USA,21000000,2001,1000,2.35,0
136,660,1000,177828,Jake Busey,0,714,USA,30000000,2003,872,2.35,11000
222,966,22000,106755,Romany Malco,2,173,USA,28000000,2013,11000,2.35,27000
112,244,844,72085,Desmond Llewelyn,1,263,UK,28000000,1981,402,2.35,2000
122,6,11,85423,Ann Talman,0,374,USA,28000000,2001,9,1.85,12000
62,186,664,44394,Gloria Reuben,1,115,Canada,27000000,1994,655,2.35,0
135,8000,14000,201084,Will Ferrell,0,523,Germany,28000000,2001,10000,2.35,0
184,325,576,78008,Mimi Kirkland,0,160,USA,28000000,2013,447,2.35,23000
36,115,580,60494,Larry Bagby,0,132,USA,28000000,1993,336,1.85,16000
171,559,943,59068,Bob Balaban,2,128,USA,28000000,2007,763,2.35,0
