director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,plot_keywords,language,budget,title_year,imdb_score,aspect_ratio
Michael Ritchie,23,57,Vic Morrow,Comedy|Drama|Family|Sport,Tatum O'Neal,677,Joyce Van Patten,baseball|california|coach|little league|swimming pool,English,,1976,7.3,1.85
Steven E. de Souza,133,690,Raul Julia,Action|Adventure|Comedy|Thriller,Ming-Na Wen,5443,Kylie Minogue,guile|hostage|ransom|soldier|united nations,English,35000000,1994,3.8,2.35
Roman Polanski,2000,95,Frank Finlay,Biography|Drama|War,Emilia Fox,1075,Ed Stoppard,ghetto|holocaust|jewish|piano|warsaw ghetto,English,35000000,2002,8.5,1.85
Albert Hughes,117,140,Jason Flemyng,Horror|Mystery|Thriller,Johnny Depp,41636,Ian Richardson,freemason|jack the ripper|opium|prostitute|victorian era,English,35000000,2001,6.8,2.35
Catherine Hardwicke,308,206,Hiam Abbass,Drama|Family|Fantasy,Keisha Castle-Hughes,966,Shaun Toub,angel|bethlehem|journey|nazareth|virgin,English,30000000,2006,6.8,2.35
Jaume Collet-Serra,174,324,Paris Hilton,Horror,Robert Ri'chard,2178,Brian Van Holt,brother sister relationship|group of friends|male nudity|twin|wax,English,30000000,2005,5.3,1.85
Mike Nichols,0,23,Julia Roberts,Drama|Romance,Natalie Portman,28027,Colin Stinton,cheating wife|film camera|hasselblad camera|leica camera|medium format camera,English,27000000,2004,7.3,1.85
Clint Eastwood,16000,363,Naomi Watts,Biography|Crime|Drama,Leonardo DiCaprio,36258,Kaitlyn Dever,agent|fbi|federal bureau of investigation|gay relationship|secret,English,35000000,2011,6.6,2.35
Alexandre Aja,192,844,Cameron Boyce,Horror|Mystery,Jason Flemyng,3185,Julian Glover,estranged wife|evil|fire|medication|mirror,English,35000000,2008,6.2,2.35
Michael Rymer,48,531,Lena Olin,Drama|Fantasy|Horror,Aaliyah,3001,Bruce Spence,fatal attraction|interspecies romance|queen|supernatural power|vampire,English,35000000,2002,5.2,2.35
Stephen Hopkins,81,636,Robert Davi,Action|Horror|Sci-Fi,Adam Baldwin,4722,Kevin Peter Hall,alien|drug lord|gang|hunter|predator,English,35000000,1990,6.2,1.37
Gregory Hoblit,40,398,Jesse Tyler Ferguson,Crime|Drama|Thriller,Billy Burke,3612,Joseph Cross,cat|fbi agent|murder|serial killer|website,English,35000000,2008,6.2,2.35
Hugh Wilson,37,480,Sissy Spacek,Comedy|Drama|Romance|Sci-Fi,Brendan Fraser,5709,Douglas Smith,1960s|bomb shelter|cuban missile crisis|food|naive man,English,35000000,1999,6.6,2.35
Mike Hodges,24,455,William Hootkins,Action|Adventure|Sci-Fi,Brian Blessed,2603,Sam J. Jones,american football|cult film|emperor|flash gordon|mind reading,English,20000000,1980,6.4,2.35
Kevin Smith,0,769,Mike Starr,Comedy|Drama|Romance,Stephen Root,3592,George Carlin,baby|childbirth|death|karma|publicist,English,35000000,2004,6.2,2.35
Rob Cohen,357,374,Chad Lindberg,Action|Crime|Mystery|Thriller,Cicely Tyson,2471,Carmen Ejogo,assassin|detective|partner|police|serial killer,English,35000000,2012,5.1,2.35
Clint Eastwood,16000,229,Bob Gunton,Crime|Drama|Mystery|Thriller,Kevin Spacey,19689,Leon Rippy,graveyard|murder|murder trial|reporter|trial,English,30000000,1997,6.6,1.85
Scott Mann,8,558,Joshua Mikel,Action|Crime|Thriller,Robert De Niro,24154,D.B. Sweeney,bus|die hard scenario,English,19000000,2015,6.1,2.35
Susanna White,24,167,Bill Bailey,Comedy|Family|Fantasy,Daniel Mays,855,Eros Vlahos,farm|magic|mother daughter relationship|overalls|title directed by female,English,35000000,2010,6.1,2.35
Danny DeVito,0,210,J.T. Walsh,Biography|Crime|Drama,Frank Whaley,1394,Paul Guilfoyle,labor|labor union|leader|mafia|union,English,35000000,1992,6.6,2.35
Chris Carter,251,296,Callum Rennie,Drama|Mystery|Sci-Fi|Thriller,Mitch Pileggi,2351,Nicki Aycox,fbi|priest|psychic|psychic vision|staff physician,English,30000000,2008,5.9,2.35
Tommy O'Haver,13,973,Steve Coogan,Comedy|Family|Fantasy|Romance,Anne Hathaway,17292,Joanna Lumley,curse|fairy|obedience|prince|strong female character,English,35000000,2004,6.3,1.85
Peter Landesman,15,745,Eddie Marsan,Biography|Drama|Sport,Will Smith,13371,Albert Brooks,chronic traumatic encephalopathy|concussion|football|football player|pathologist,English,35000000,2015,7.1,2.35
John Singleton,309,63,Benjamin J. Cain Jr.,Action|Mystery|Thriller,Ken Arnold,561,Richard Cetrone,assassin|high school|on the run|teenager|website,English,35000000,2011,5.0,2.35
Gary Chapman,2,72,Olivia Williams,Adventure|Animation|Comedy|Family|War,Jim Broadbent,1908,Pip Torrens,dove|falcon|nursing|pigeon|psychological torture,English,35000000,2005,5.6,1.85
Curtis Hanson,161,549,Rip Torn,Comedy|Drama,Robert Downey Jr.,22974,Richard Thomas,based on novel|college girl|midlife crisis|pittsburgh pennsylvania|professor,English,55000000,2000,7.4,2.35
Craig Mazin,82,418,Tracy Morgan,Action|Comedy|Sci-Fi|Thriller,Drake Bell,3266,Marion Ross,dragonfly|hero|high school|soaking wet|supervillian origin,English,35000000,2008,4.5,1.85
Allen Hughes,90,344,James Ransone,Crime|Drama|Thriller,Alona Tal,2073,Michael Beach,election|father son relationship|fellatio|gay slur|title spoken by character,English,35000000,2013,6.2,2.35
Wes Craven,0,520,Portia de Rossi,Comedy|Horror,Shannon Elizabeth,2535,Derek Mears,creature|death|party|rescue|werewolf,English,35000000,2005,5.0,2.35
David Koepp,192,346,Dania Ramirez,Action|Crime|Thriller,Joseph Gordon-Levitt,24669,Aasif Mandvi,chase|courier|delivery|envelope|police,English,35000000,2012,6.5,2.35
Anne Fletcher,98,253,Richard T. Jones,Action|Comedy|Crime,Jim Gaffigan,1679,Michael Mosley,danger|drug cartel|female cop|female police officer|fugitive,English,35000000,2015,5.1,2.35
Shekhar Kapur,159,39,Lucy Gordon,Adventure|Drama|Romance|War,Djimon Hounsou,3142,Alex Jennings,male nudity|naked dead man|nudity|sex|whipping,English,35000000,2002,6.5,2.35
Taylor Hackford,138,458,Clifton Collins Jr.,Action|Crime|Romance|Thriller,Jason Statham,28479,Wendell Pierce,action hero|disguise|hospital|real estate agent|thief,English,35000000,2013,6.2,2.35
Richard Loncraine,12,663,Jon Favreau,Comedy|Romance|Sport,Kirsten Dunst,9330,Austin Nichols,career|player|tennis|tennis player|wimbledon,English,31000000,2004,6.3,2.35
Roger Kumble,16,734,Brooke Shields,Comedy|Family,Brendan Fraser,6327,Matt Prokop,animal|bear|land developer|real estate|real estate developer,English,35000000,2010,3.8,1.85
Kimble Rendall,0,174,Cariba Heine,Action|Horror|Sci-Fi,Alex Russell,1361,Richard Brancatisano,great white shark|shark|supermarket|swimming|tsunami,English,30000000,2012,5.2,1.85
Peter Yates,170,136,Alun Armstrong,Action|Adventure|Fantasy,Liam Neeson,14744,Lysette Anthony,cyclops|fortress|monster|planet|rescue,English,27000000,1983,6.0,2.35
Robert Redford,0,10000,Tom Cruise,Drama|Thriller|War,Meryl Streep,32875,Andrew Garfield,afghanistan|professor|reporter|student|university,English,35000000,2007,6.2,2.35
John Milius,468,150,Dann Florek,Action|Drama|Thriller|War,Rosanna Arquette,1290,Christopher Rich,bombardier|pilot|u.s. navy|vietnam|vietnam war,English,35000000,1991,5.7,2.35
Jake Kasdan,52,134,Nat Faxon,Comedy|Music,Tim Meadows,1082,Matt Price,drugs|elvis|musician|singer|the beatles,English,35000000,2007,6.7,2.35
Lasse Hallström,529,505,Scott Glenn,Drama,Kevin Spacey,19805,Jason Behr,employee employer relationship|husband wife relationship|newspaper|ship|wake,English,35000000,2001,6.8,2.35
Les Mayfield,10,141,Ronny Cox,Action|Western,Gregory Smith,1668,Harris Yulin,legend|old west|outlaw|railroad|stealing from the rich,English,35000000,2001,6.0,1.85
Jean-Marc Vallée,212,919,Jim Broadbent,Biography|Drama|History|Romance,Michiel Huisman,5890,Thomas Kretschmann,19th century|courtship|female protagonist|princess|queen of england,English,35000000,2009,7.3,2.35
Dominic Sena,57,230,Bashar Rahal,Action|Crime|Mystery|Thriller,Tom Skerritt,1947,Shawn Doyle,antarctica|geologist|investigation|u.s. marshal|winter,English,35000000,2009,5.5,2.35
Terrence Malick,0,687,Tye Sheridan,Drama|Fantasy,Brad Pitt,13021,Fiona Shaw,1950s|children|ice cube|texas|waco texas,English,32000000,2011,6.7,1.85
Hark Tsui,85,105,Lela Rochon,Action|Comedy|Thriller,Paul Sorvino,1352,Ray Nicholas,cia|hong kong|market|undercover|van,English,35000000,1998,4.8,2.35
David Ayer,453,120,Martin Donovan,Action|Crime|Drama|Thriller,Mireille Enos,1458,Maurice Compte,dea|drug cartel|kicked in the crotch|strip club|tough girl,English,35000000,2014,5.7,1.85
Brian Helgeland,241,127,Mark Addy,Action|Mystery|Thriller,Heath Ledger,14165,Benno Fürmann,death|exorcism|heaven|priest|sin eater,English,38000000,2003,5.1,1.85
Lexi Alexander,189,766,Wayne Knight,Action|Crime|Drama|Thriller,Julie Benz,6563,Colin Salmon,gun fu|plastic surgery|psychopath|undercover|vigilante,English,35000000,2008,6.0,2.35
Peter Hewitt,12,690,Rip Torn,Action|Adventure|Family|Sci-Fi,Kevin Zegers,5022,Thomas F. Wilson,bruise|female hero|super strength|superhero|teenage superhero,English,35000000,2006,4.2,1.85
Robert Zemeckis,0,6,Soleyman Pierini,Adventure|Biography|Drama|Thriller,Joseph Gordon-Levitt,23031,Jade Kindar-Martin,1970s|based on true story|new york city|skyscraper|tightrope walker,English,35000000,2015,7.4,2.35
Ronny Yu,31,448,Lee Arenberg,Action|Adventure|Fantasy,Marley Shelton,1993,Angus Macfadyen,anthropomorphic animal|football|kangaroo|sword and sorcery|water boy,English,35000000,1997,4.6,2.35
Ridley Scott,0,567,Albert Finney,Comedy|Drama|Romance,Archie Panjabi,3611,Richard Coyle,based on novel|inheritance|provence|uncle|wine,English,35000000,2006,6.9,2.35
,,256,Indira Varma,Crime|Drama|Mystery|Thriller,Ruth Wilson,3823,Warren Brown,murder|police|psychopath,English,,,8.6,16.0
Richard Donner,503,697,Thomas Ian Nicholas,Drama,Adam Baldwin,4334,John Heard,father son relationship|physical abuse|radio flyer|stepfather|stepfather stepson relationship,English,35000000,1992,6.9,2.35
Taylor Hackford,138,672,Jesse Borrego,Crime|Drama,Delroy Lindo,3227,Raymond Cruz,1970s|1980s|barrio|gang war|mexican,English,35000000,1993,8.0,1.66
Bille August,55,918,Tom Wilkinson,Action|Drama|Sci-Fi|Thriller,Jim Broadbent,3125,Julia Ormond,boy|greenland|neighbor|roof|snow,English,35000000,1997,6.4,2.35
Brian De Palma,0,115,Gregg Henry,Crime|Drama|Mystery|Thriller,Peter Coyote,1005,Rie Rasmussen,ambassador|cannes|identity|suicide|thief,English,35000000,2002,6.3,1.85
Moustapha Akkad,278,249,Rod Steiger,Biography|Drama|History|War,Oliver Reed,1573,John Gielgud,arab|general|libya|muslim|mussolini,English,35000000,1980,8.4,2.35
Jean-Paul Rappeneau,22,45,François Cluzet,Adventure|Drama|Romance|War,Olivier Martinez,1508,Isabelle Carré,austrian|breasts|cholera|police|provence,French,,1995,7.1,2.35
Ang Lee,0,0,Jeffrey Dover,Drama|Romance|War|Western,Jeremy W. Auman,5,Tobey Maguire,bushwhacker|friend|honor|kansas|raid,English,35000000,1999,6.8,2.35
Alejandro G. Iñárritu,0,7,Hanaa Bouchaib,Drama,Maricel Álvarez,50,Eduard Fernández,children|chinese|illegal immigrant|immigrant|male ponytail,Spanish,,2010,7.5,2.35
Roland Joffé,596,282,Alice Englert,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,1980,Bipasha Basu,1770s|british india|great barrier reef|india|ring,English,,2015,4.5,
Joachim Rønning,18,324,Sam Shepard,Action|Comedy|Crime|Western,Salma Hayek,5377,Dwight Yoakam,bank|cleavage|farmer|female gunfighter|mexico,English,32000000,2006,5.7,2.35
Tony Kaye,194,816,Aisha Tyler,Crime|Drama,Bill Cobbs,3874,Beverly D'Angelo,based on novel,English,23000000,2009,7.2,
Wes Ball,47,129,Aml Ameen,Action|Mystery|Sci-Fi|Thriller,Ki Hong Lee,1783,Jacob Latimore,based on novel|concrete wall|maze|open ended|teenage boy,English,34000000,2014,6.8,2.35
Ken Scott,31,141,June Diane Raphael,Comedy,Tom Wilkinson,1564,Melissa McMeekin,business trip|company|glory hole|male frontal nudity|male nudity,English,35000000,2015,5.4,2.35
Martin Scorsese,17000,94,Geraldine Chaplin,Drama|Romance,Richard E. Grant,1068,Stuart Wilson,19th century|countess|lawyer|love|new york,English,30000000,1993,7.2,2.35
Darren Aronofsky,0,1000,Ellen Burstyn,Drama|Sci-Fi,Hugh Jackman,24640,Mark Margolis,eternity|love|mayan|tree|tree of life,English,35000000,2006,7.3,1.85
Hugh Johnson,3,239,Kevin J. O'Connor,Action|Adventure|Comedy|Drama|Thriller,David Paymer,1274,Hudson Leick,colonel|ice|ice cream truck|military|u.s. army,English,34000000,1999,5.2,2.35
Simon West,165,566,Mark Valley,Action|Crime|Drama|Thriller,Nicolas Cage,14978,Sami Gayle,bank|money|presumed dead|rescue|thief,English,35000000,2012,5.5,2.35
Hayao Miyazaki,6000,2,Yûki Amami,Adventure|Animation|Family|Fantasy,Rumi Hiiragi,13,Yuria Nara,children adventure|magical realism|sea goddess|small town|tsunami,Japanese,34000000,2008,7.7,1.85
George Tillman Jr.,88,954,Melissa Benoist,Drama|Romance,Tiago Riani,3386,Hayley Lovitt,1940s|art collector|bull riding|north carolina|student,English,34000000,2015,7.1,2.35
Rand Ravich,7,1000,Charlize Theron,Drama|Sci-Fi|Thriller,Johnny Depp,52621,Clea DuVall,astronaut|electrocuted in bathtub|mission|pilot|sister,English,34000000,1999,5.3,1.85
Hugh Hudson,46,292,Eva Marie Saint,Adventure|Drama|Romance,Liam Aiken,1778,Vincent Perez,dream|italian|kenya|ranch|snake,English,34000000,2000,5.6,2.35
Gabriele Muccino,125,2000,Dennis Quaid,Comedy|Romance|Sport,Gerard Butler,23122,Judy Greer,coach|soccer|soccer coach|soccer mom|soccer team,English,35000000,2012,5.7,2.35
Justin Chadwick,56,38,Fana Mokoena,Biography|Drama|History,Terry Pheto,301,Tony Kgoroge,africa|apartheid|nelson mandela|president|resistance,English,35000000,2013,7.1,2.35
Warren Beatty,631,521,Warren Beatty,Biography|Drama|History|Romance,Paul Sorvino,2291,M. Emmet Walsh,cold war|cold war era|interview|russia|written and directed by cast member,English,35000000,1981,7.5,1.85
Rob Reiner,0,574,Demi Moore,Drama|Thriller,Tom Cruise,14619,Kevin Pollak,cuba|guantanamo|lance corporal|lawyer|murder,English,40000000,1992,7.6,2.35
Andrzej Bartkowiak,43,655,Bill Duke,Action|Comedy|Crime|Drama|Thriller,Michael Jai White,5942,Bruce McGill,corrupt cop|drug dealer|drugs|heroin|vice president,English,33000000,2001,5.5,2.35
Raja Gosnell,67,330,Cedric the Entertainer,Action|Comedy|Crime,Nia Long,1790,Tichina Arnold,disguise|fbi|female impersonation|gender disguise|obesity,English,30000000,2000,5.1,1.85
Jeremy Degruson,0,11,Brianne Brozey,Adventure|Animation|Comedy|Family|Fantasy,Kyle Hebert,369,Joe Ochman,,English,34000000,2013,6.3,2.35
Chris Gorak,21,48,Veronika Vernadskaya,Action|Adventure|Horror|Sci-Fi|Thriller,Max Minghella,843,Dato Bakhtadze,alien|aurora borealis|critically bashed|killing an animal|nightclub,English,30000000,2011,4.9,2.35
Scott Speer,35,433,Stephen Boss,Drama|Music|Romance,Ryan Guzman,4863,Misha Gabriel Hamilton,3 dimensional|dance|dancer|dancing|flash mob,English,33000000,2012,6.5,2.35
David R. Ellis,160,491,Kenan Thompson,Action|Adventure|Crime|Drama|Thriller,Lin Shaye,2604,Rachel Blanchard,baby rattle|famous line|murder|passenger|snake,English,33000000,2006,5.6,2.35
Joe Charbanic,10,178,Joseph Sikora,Crime|Horror|Mystery|Thriller,Keanu Reeves,18688,Chris Ellis,fbi|murder|scene of the crime|serial killer|therapy,English,33000000,2000,5.3,1.85
Jonathan Hensleigh,36,336,Marco St. John,Action|Crime|Drama|Thriller,Laura Harring,2114,Eddie Jemison,death|family reunion|fbi|fbi agent|vigilante,English,33000000,2004,6.5,2.35
Danny Cannon,41,577,Kuno Becker,Drama|Romance|Sport,Sean Pertwee,2859,Stephen Dillane,barrio|border|newcastle united|party|soccer,English,10000000,2005,6.8,2.35
Boaz Yakin,132,317,Reggie Lee,Action|Crime|Thriller,Jason Statham,27759,Robert John Burke,bodyguard|gang war|russian|russian mafia|triad,English,30000000,2012,6.5,2.35
Mike Newell,179,551,Kurt Fuller,Comedy|Drama|Romance,Angelina Jolie Pitt,13093,Jake Weber,air traffic control|air traffic controller|female bodybuilder|job|marriage,English,38000000,1999,6.0,2.35
Richard Marquand,37,504,Ian McDiarmid,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,13649,Kenny Baker,death star|emperor|empire|princess|rebel,English,32500000,1983,8.4,2.35
Neil Marshall,197,43,Jason Cope,Action|Sci-Fi|Thriller,Ryan Kruger,391,Jeremy Crutchley,cure|quarantine|scotland|virus|wall,English,30000000,2008,6.0,2.35
Stephen Daldry,335,50,David Kross,Drama|Romance,Kate Winslet,14504,Susanne Lothar,love|reading|teaching oneself to read|trial|war crime,English,32000000,2008,7.6,1.85
David Wain,136,833,Lauren Ambrose,Comedy,Justin Theroux,4151,Joe Lo Truglio,childbirth|female frontal nudity|nude protest|nudist|skinny dipping,English,,2012,5.6,1.85
Jon Favreau,4000,8000,Zooey Deschanel,Comedy|Family|Fantasy|Romance,Peter Dinklage,43354,Will Ferrell,baby|christmas spirit|elf|new york city|north pole,English,33000000,2003,6.9,1.85
Jon Turteltaub,226,796,Kyra Sedgwick,Drama|Fantasy|Romance|Sci-Fi,Robert Duvall,5975,David Gallagher,brain tumor|genius|psionic power|telekinesis|terminal illness,English,32000000,1996,6.4,2.35
Brian Levant,32,521,Nichelle Nichols,Adventure|Comedy|Family|Sport,James Coburn,2916,M. Emmet Walsh,dentist|dog|inheritance|race|sled dog,English,35000000,2002,5.1,1.85
Richard Donner,503,1000,Alfre Woodard,Comedy|Drama|Fantasy,Bill Murray,18734,Robert Mitchum,christmas|compassion|executive|ghost|redemption,English,32000000,1988,7.0,1.85
Jared Hess,100,327,Moises Arias,Comedy|Family|Sport,Ana de la Reguera,1729,Héctor Jiménez,lucha libre|monastery|nun|orphan|wrestling,English,32000000,2006,5.7,1.85
Paul Feig,176,460,Wendi McLendon-Covey,Comedy|Romance,Matt Lucas,3229,Steve Bannos,best friend|failure|food|job|partial female nudity,English,32500000,2011,6.8,2.35
Evan Goldberg,133,9000,James Franco,Comedy|Fantasy,Channing Tatum,38751,Emma Watson,apocalypse|celebrity|ensemble cast|party|rapture,English,32000000,2013,6.7,2.35
Rupert Wainwright,9,573,Enrico Colantoni,Horror,Nia Long,3004,Portia de Rossi,catholic|priest|stigmata|vatican|wound,English,29000000,1999,6.2,2.35
