actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_user_for_reviews,actor_2_facebook_likes,movie_facebook_likes
400,Tim DeKay,634,Scott Mechlowicz,175,436,0
269,Kevin Nealon,982,Don Johnson,64,503,0
851,Michael Rapaport,1000,Gillian White,186,975,1000
4,Stephanie Vogt,533,Eoin Macken,127,35,10000
249,William Hootkins,902,Frank Langella,21,488,106
64,Maria Dizzia,6000,Naomi Watts,96,139,0
221,Eddie 'Piolin' Sotelo,749,Demián Bichir,81,252,0
258,John Neville,530,Miranda Richardson,213,387,0
826,Oliver Platt,14000,Liam Neeson,91,1000,242
1000,Anne Hathaway,16000,Charlie Hunnam,103,11000,0
683,James Franco,11000,Chris Evans,144,11000,20000
2,Olaf Lubaszenko,20,Krystyna Janda,37,3,0
45,Rekha,307,Naseeruddin Shah,110,200,533
503,Melanie Griffith,975,Alicia Witt,150,537,795
251,Scott A. Martin,11000,Matthew McConaughey,216,414,12000
688,Gary Cole,2000,Demi Moore,88,989,0
232,Minnie Driver,22000,Philip Seymour Hoffman,83,893,0
622,Lee Majors,966,Jenna Fischer,46,799,319
20,Norah Jones,20000,Natalie Portman,117,329,0
54,Ben Gazzara,816,Beverly D'Angelo,40,623,74
119,Jeanne Tripplehorn,990,Bruce Greenwood,215,711,725
91,Sergej Trifunovic,603,Bashar Rahal,112,175,883
51,Karen Mok,478,Wei Zhao,243,83,0
0,Cheryl Tiegs,787,Vincent Gallo,226,96,952
28,François Cluzet,678,Isabelle Huppert,21,541,33
241,Claire Foy,374,Numan Acar,37,362,5000
34,Aitana Sánchez-Gijón,837,Olivier Martinez,14,130,85
131,Ashraf Barhom,18000,Gerard Butler,118,451,12000
83,Ryan Donowho,374,Kip Pardue,56,181,345
428,Danny Dyer,893,Minnie Driver,44,798,117
334,Daryl Sabara,49000,Robin Williams,129,640,0
345,Toby Stephens,798,Danny Dyer,194,769,0
885,Dulé Hill,1000,Joe Mantegna,119,922,661
146,Ally Sheedy,17000,Kristen Stewart,56,793,0
421,Michael Winslow,16000,Christopher Lee,103,542,321
553,Nate Parker,665,Ricky Schroder,3,664,503
36,Andrés Montiel,78,Jorge Luis Moreno,3,61,874
499,Jared Gilman,962,Chris Noth,18,545,0
385,Harvey Weinstein,795,Eric Idle,85,474,89
875,Justin Timberlake,12000,Jeff Bridges,11,3000,370
617,Scott Porter,806,Adrian Martinez,20,690,1000
495,Minnie Driver,1000,Stephanie Szostak,23,893,546
422,Corbin Bleu,835,Madison Pettis,4,632,58
51,Reef Ireland,147,Nicholas Hamilton,57,52,0
240,Tamala Jones,706,Mike Epps,10,405,402
611,Drew Waters,906,Drew Fuller,34,848,160
102,Leonor Watling,439,Jim Carter,94,161,0
72,Gyton Grantley,122,Damian Walshe-Howling,89,109,0
742,Rip Torn,11000,Zooey Deschanel,68,826,376
126,Craig Fairbrass,298,Teryl Rothery,82,258,509
111,Mishael Morgan,485,Shane Pollard,11,152,0
415,Kevin Zegers,5000,Jim Sturgess,38,2000,0
196,Tom Arnold,1000,Drake Bell,2,618,186
520,Ayelet Zurer,30000,Veronica Ferres,31,744,589
5,Charlotte Bøving,63,Ingvar Eggert Sigurðsson,7,10,1000
95,Mark Addy,1000,Sendhil Ramamurthy,16,891,695
711,Henry Rollins,1000,Ray Winstone,60,898,486
46,Jesse Moss,183,Jimi Mistry,27,136,746
482,Luke Perry,670,Elaine Hendrix,3,608,119
7,Woo-sung Jung,398,Kang-ho Song,74,149,0
899,Katrina Bowden,1000,Boris Kodjoe,75,948,0
499,Callum Rennie,764,Tyler Mane,27,716,850
452,Martin Starr,17000,Kristen Stewart,220,985,0
195,Victor Rivers,786,Danny Pino,165,228,957
525,Mike Epps,723,John Witherspoon,84,706,0
262,Jordana Brewster,4000,Hayden Christensen,42,4000,0
244,Burt Kwouk,742,Donald Pleasence,267,462,0
1000,Alfie Allen,31000,Mem Ferda,12,1000,1000
319,Emmanuelle Riva,678,Isabelle Huppert,190,432,33000
770,Heather O'Rourke,1000,Tom Skerritt,114,887,616
200,Roger Cross,557,Daniella Alonso,26,290,898
760,Sid Caesar,924,Jonathan Winters,344,898,0
82,Lola Dueñas,148,Carmen Maura,228,114,0
123,Joe Flaherty,187,John Vernon,147,176,0
327,Michael Angarano,33000,Jizelle Jade,54,947,0
1000,Jim Broadbent,21000,Robert Downey Jr.,88,1000,0
129,Michaela McManus,826,Scott Glenn,38,476,0
303,Steven Michael Quezada,594,Bárbara Mori,106,412,0
844,Kirsten Dunst,10000,Alexander Skarsgård,551,4000,50000
110,Keisha Castle-Hughes,509,Noah Taylor,80,446,10000
1000,Katrina Kaif,8000,Shah Rukh Khan,286,3000,12000
513,Yaphet Kotto,1000,Tom Skerritt,1110,581,23000
177,Edwin Neal,383,Gunnar Hansen,826,371,0
741,Scout Taylor-Compton,17000,Kristen Stewart,129,908,0
51,Paul Michael Glaser,402,Topol,150,343,0
177,Earl Cameron,244,Desmond Llewelyn,275,189,0
123,Shanley Caswell,14000,Josh Hutcherson,76,383,0
16,Alessandro Preziosi,580,Riccardo Scamarcio,29,26,0
685,Jada Pinkett Smith,890,Vivica A. Fox,70,851,0
862,Sanaa Lathan,1000,Harold Perrineau,79,886,0
118,Alex Vincent,311,Catherine Hicks,281,189,0
184,Tucker Albrizzi,909,Michael Moore,429,203,0
908,Zach Gilford,2000,Noel Gugliemi,244,971,15000
407,Lauren German,3000,Rosario Dawson,173,683,580
587,Fred Willard,982,Ethan Embry,316,729,0
883,Gary Oldman,12000,Jeff Bridges,370,10000,1000
701,Nia Long,14000,Vin Diesel,246,826,0
199,Denholm Elliott,392,Don Ameche,159,249,0
179,Crystal Lowe,607,Oliver Hudson,278,318,0
127,Tate Taylor,911,Jennifer Esposito,26,150,266
130,Derek Jacobi,591,Brian Blessed,108,520,0
338,David Zayas,22000,Philip Seymour Hoffman,127,929,0
571,Freddy Rodríguez,591,Carlos Ponce,41,579,419
35,Nicky Katt,187,Kristin Lehman,327,127,1000
471,Rory Culkin,1000,Kieran Culkin,238,710,838
219,Matt Ross,4000,Jon Favreau,52,248,0
633,Drew Fuller,970,Bill Cobbs,81,906,0
140,Katherine Kelly Lang,177,Ronn Moss,54,170,748
297,John Carradine,1000,Anjelica Huston,56,300,0
261,John Doman,702,Emma Bell,27,616,313
316,Garry Shandling,745,Billy Crudup,63,591,215
611,Amy Poehler,1000,Steve Coogan,76,1000,1000
277,Eddie Izzard,23000,Christian Bale,314,776,0
0,Jun Kunimura,45,Jung-min Hwang,24,5,0
748,Heather Morris,2000,Lea Michele,21,892,0
6,Chatchai Plengpanich,7,Sarunyu Wongkrachang,47,6,124
433,Adrienne Barbeau,982,John Amos,45,602,375
5,Julie Engelbrecht,186,Lambert Wilson,1,41,348
25,Ruth Sheen,149,Lesley Manville,94,44,484
204,Will Patton,679,Q'orianka Kilcher,14,537,0
18,Vince Colosimo,185,Jacqueline McKenzie,6,62,135
558,Joshua Mikel,22000,Robert De Niro,57,1000,0
104,Thure Lindhardt,573,Lars Mikkelsen,44,197,0
230,Kip Pardue,922,Fisher Stevens,45,374,128
35,Warren Clarke,10000,Andrew Garfield,44,281,0
98,Ronit Elkabetz,963,Catherine Deneuve,14,168,120
664,Erika Christensen,4000,Sarah Michelle Gellar,42,931,3000
93,Linda Kozlowski,442,Paul Hogan,93,162,0
151,Steven Waddington,722,Sean Pertwee,64,212,0
327,Sarah Polley,1000,Stephen Graham,57,900,458
59,Gyton Grantley,174,Harrison Gilbertson,39,109,0
68,Maïwenn,580,Riccardo Scamarcio,33,236,0
896,Fisher Stevens,4000,Hayden Christensen,196,922,0
265,James Arnold Taylor,668,Dee Bradley Baker,73,296,2000
305,Mike Dopud,2000,Michael Jai White,38,368,0
673,Jami Gertz,967,Dianne Wiest,339,847,19000
175,Beth Grant,12000,Jeff Bridges,226,628,0
122,Frederic Forrest,563,David Keith,52,236,1000
1000,Christina Milian,3000,Djimon Hounsou,41,1000,0
170,David Hemmings,949,Jane Fonda,186,178,0
3,Louisa Milwood-Haigh,35,Bjørn Sundquist,14,6,278
133,Chris Klein,2000,Matthew Broderick,441,841,0
341,Brooke Smith,579,Jacinda Barrett,117,405,0
429,Romany Malco,35000,Bella Thorne,116,966,8000
202,Max Beesley,736,Mariah Carey,308,218,0
559,Cicely Tyson,1000,Abigail Spencer,57,907,0
13,Sung-kee Ahn,28,Yu-mi Jeong,17,15,387
179,Paul Schneider,2000,Abbie Cornish,110,552,0
81,Jimmy Shergill,8000,Shah Rukh Khan,235,327,27000
304,Chris Penn,967,Dianne Wiest,113,455,0
,,0,Robert Redford,312,,18000
39,Casey Siemaszko,638,Mary Elizabeth Mastrantonio,140,107,196
119,Clive Standen,3000,Katrina Kaif,47,687,341
6,Orla Fitzgerald,97,Padraic Delaney,222,8,0
417,Madhuri Dixit,964,Ranbir Kapoor,102,551,0
225,William Zabka,668,Martin Kove,235,641,0
346,Deborah Kerr,440,Peter Ustinov,90,426,1000
636,Paris Hilton,2000,Alexa PenaVega,259,716,8000
173,Bergüzar Korel,205,Necati Sasmaz,159,197,467
857,Eric Stoltz,13000,Bruce Willis,2195,902,45000
842,Jim Henson,1000,Madeline Kahn,92,985,0
85,Michael Papajohn,15000,Jake Gyllenhaal,552,241,65000
422,Lindsay Price,861,Brittany Daniel,201,499,713
195,Angela Cartwright,354,Eleanor Parker,406,209,15000
51,Howard Morris,15000,Tom Hanks,99,161,0
27,Steven Christopher Parker,7000,Steve Carell,889,150,15000
107,Frances Lee McCain,217,Marshall Bell,584,107,24000
27,Megan Burns,133,Noah Huntley,1441,32,11000
360,Marques Houston,389,Jennifer Freeman,247,363,0
459,Patrick McGoohan,16000,Clint Eastwood,142,466,0
458,Sanaa Lathan,1000,Boris Kodjoe,60,886,0
388,Lynn Whitfield,585,Faizon Love,14,434,559
3000,Anna Kendrick,23000,Joseph Gordon-Levitt,378,10000,40000
297,David Denman,449,James Kyson,148,332,0
602,Hal Holbrook,875,Ted Danson,211,826,0
117,Lola Glaudini,363,Mackenzie Davis,100,342,0
213,Dabney Coleman,484,Brian Doyle-Murray,48,345,495
102,Natalie Stephany Aguilar,861,Tina Gilton,6,163,240
591,Denzel Washington,18000,Keanu Reeves,165,18000,0
244,George Lazenby,803,Telly Savalas,452,314,0
460,Philip Winchester,666,Nick Wechsler,25,579,0
112,Heather Langenkamp,969,Miko Hughes,271,449,0
292,Mark Webber,452,Stephen Collins,147,442,0
268,Sean Michael Afable,876,Curtis Armstrong,172,801,0
475,Harland Williams,744,Dave Chappelle,164,503,0
631,Frances Conroy,24000,J.K. Simmons,78,827,0
414,Amr Waked,13000,Matt Damon,625,903,0
517,Justin Theroux,23000,Christian Bale,1061,1000,18000
596,Zooey Deschanel,15000,Jake Gyllenhaal,298,11000,938
50,Richard Howland,539,Colm Feore,90,290,758
968,Julie Benz,12000,Norman Reedus,188,3000,0
86,Omar Metwally,471,Alexandra Maria Lara,25,277,638
216,Ben Falcone,434,Christopher Nicholas Smith,142,265,12000
424,Dan Byrd,15000,Emma Stone,264,1000,19000
582,Joe Morton,851,Jada Pinkett Smith,11,780,160
306,Udo Kier,776,Eddie Izzard,339,595,0
741,Thomas McDonell,1000,Cameron Monaghan,32,962,0
636,Michael Rapaport,1000,Mark Margolis,55,975,125
660,Nia Long,883,Barry Corbin,34,826,77
417,John de Lancie,1000,Harold Perrineau,86,905,859
136,Vanessa Redgrave,12000,Anthony Hopkins,86,898,788
648,Joseph Gilgun,3000,Dominic Cooper,85,788,18000
0,Tom Noonan,1000,Jennifer Jason Leigh,140,442,0
386,Imelda Staunton,1000,Jim Broadbent,141,579,0
569,Isabelle Huppert,963,Catherine Deneuve,162,678,0
112,Tia Carrere,1000,Cary-Hiroyuki Tagawa,102,1000,0
168,Vince Vieluf,1000,Janeane Garofalo,109,261,515
472,Jeremy Davies,943,Zoë Kravitz,150,769,20000
594,Robbie Kay,5000,Bob Hoskins,73,629,0
291,Jim Broadbent,14000,Colin Firth,34,1000,429
200,Laurel Holloman,1000,Kurtwood Smith,37,273,0
249,Marina Sirtis,977,Faye Dunaway,15,649,79
4,Mick Lally,61,Sean Lennon,71,5,11000
7,Karen Pittman,480,James Corden,182,12,43000
710,Bruce Dern,2000,Hunter Parrish,110,844,412
209,Tony Devon,480,Jerry Ferrara,48,257,226
844,Hayley Atwell,3000,Rufus Sewell,12,2000,434
1000,Robin Wright,21000,Robert Downey Jr.,79,18000,494
227,Catherine McCormack,735,Anna Friel,27,306,75
33,Henry Czerny,553,Alexia Fast,98,177,0
399,Eddie Griffin,8000,Will Ferrell,27,489,143
405,Rupert Everett,10000,Rupert Grint,86,692,0
448,Larry Drake,905,John de Lancie,107,513,3000
427,Jack O'Connell,27000,Tom Hardy,33,698,0
463,Brad Renfro,954,Brian Dennehy,34,551,294
488,Chris Owen,947,Michael Angarano,58,526,532
47,Zen McGrath,144,Ian Tracey,11,63,675
4,Takeshi Kusao,6,Mitsuo Iwata,430,5,0
1000,Olivia Wilde,23000,Paul Walker,31,10000,0
23,Roy Dupuis,413,Stephen McHattie,31,265,520
600,Josh Henderson,31000,Rachel Ann Mullins,24,920,438
11,Ruby Lin,163,Leehom Wang,2,20,81
112,Ben Miles,186,Celia Imrie,149,119,0
189,Lucy Fry,502,Mckenna Grace,5,206,205
15,Ludivine Sagnier,844,Charlotte Rampling,288,521,0
376,Mark Wingett,1000,Spencer Wilding,13,524,0
26,Joan Chen,848,Delroy Lindo,43,643,999
391,Helena Mattsson,981,Scott Takeda,14,505,689
325,Jessica Tandy,11000,Morgan Freeman,134,509,3000
890,Mekhi Phifer,1000,Vanessa Williams,30,1000,508
36,Anita Mui,186,Françoise Yip,81,147,0
40,Reda Kateb,10000,Viggo Mortensen,19,154,2000
88,Cameron Bright,24000,J.K. Simmons,323,829,0
658,Lauren German,1000,Jay Hernandez,384,683,0
221,Olivia Williams,3000,Dominic Cooper,237,766,12000
161,Bridgette Wilson-Sampras,827,Frances Conroy,268,545,1000
518,Beau Bridges,584,Joely Richardson,61,552,345
147,Chi McBride,673,Jason Patric,214,466,1000
280,Paul Gross,611,Molly Parker,83,329,0
742,Jenny McCarthy,834,Ivana Milicevic,20,749,140
249,Brenda Strong,373,Eric Johnson,33,266,31
968,Mila Kunis,24000,J.K. Simmons,106,15000,0
844,Cheech Marin,12000,Jeff Bridges,95,844,655
59,Edouard Baer,71,Sandrine Kiberlain,26,59,26
158,Om Puri,631,Samantha Morton,150,163,0
447,Jenny Agutter,5000,Bob Hoskins,3,659,223
911,Loretta Devine,3000,Don Cheadle,1624,912,18000
373,Michael McElhatton,3000,Mia Wasikowska,98,415,0
36,Nathin Butler,262,Akon,4,65,389
60,Mary Goggin,532,Saif Ali Khan,37,249,108
106,Gena Rowlands,963,Catherine Deneuve,158,545,14000
664,Teri Polo,844,Bruce Dern,69,708,0
93,Elyas M'Barek,287,Max Riemelt,96,150,25000
500,Bella Heathcote,18000,Keanu Reeves,73,860,0
641,Jack O'Connell,788,Joseph Gilgun,224,698,0
4000,James Franco,24000,J.K. Simmons,1902,11000,0
440,William Hootkins,488,George Coe,206,488,129
973,Jennifer Garner,24000,J.K. Simmons,881,3000,10000
96,Aki Aleong,294,Darren Shahlavi,29,284,0
175,Lois Maxwell,244,Desmond Llewelyn,276,177,0
3000,Marlon Brando,14000,Al Pacino,2238,10000,43000
92,Cynthia Rhodes,225,Michael Nouri,128,174,0
11000,Chloë Grace Moretz,23000,Joseph Gordon-Levitt,494,17000,40000
11,Ian Mune,1000,Holly Hunter,241,18,0
11000,Alex Pettyfer,17000,Channing Tatum,281,15000,54000
82,Emma Caulfield,1000,Sullivan Stapleton,369,970,2000
189,Geoffrey Holder,581,Yaphet Kotto,251,547,0
430,Frankie Muniz,1000,Clint Howard,149,934,0
61,Sakina Jaffrey,16000,Ryan Reynolds,168,109,0
826,Loretta Devine,1000,Gary Dourdan,59,912,0
76,Elizabeth Debicki,29000,Leonardo DiCaprio,753,509,115000
566,Tate Donovan,21000,Robert Downey Jr.,526,650,0
27,Michael J. Burg,22000,Philip Seymour Hoffman,416,68,0
4000,Steve Buscemi,16000,Quentin Tarantino,202,12000,0
887,Sarah Polley,14000,Milla Jovovich,92,900,141
1000,Adam Goldberg,4000,Kirsten Dunst,173,1000,61000
440,Jenny Agutter,1000,Farrah Fawcett,242,659,0
244,Hervé Villechaize,16000,Christopher Lee,258,387,2000
794,Vanity,1000,Bill Duke,65,841,978
159,Shauna Macdonald,513,MyAnna Buring,1100,239,10000
69,Michael Jordan,13000,Bill Murray,13,366,407
270,Allison Miller,971,Zach Gilford,120,479,0
380,Mary Tyler Moore,718,Lily Tomlin,105,524,824
597,Ken Foree,1000,Sid Haig,687,649,0
970,Alyson Hannigan,4000,Sarah Michelle Gellar,665,3000,6000
190,Rick Fox,637,Kimberly Elise,89,256,23000
826,Omar Epps,1000,LL Cool J,29,865,375
393,Helen McCrory,883,Albert Finney,1498,563,80000
303,Matthew McGrory,1000,Sid Haig,922,340,0
23,Elizabeth MacRae,246,Bernard Fox,21,29,44
98,Fred Melamed,816,Michael Stuhlbarg,324,105,10000
970,Robert Duvall,13000,Bill Murray,97,3000,0
304,Richard E. Grant,687,Julian Sands,79,554,0
658,Nate Parker,893,Minnie Driver,37,664,0
292,Teddy Sears,14000,Colin Firth,247,343,16000
159,Barbara Hershey,883,Irvin Kershner,308,618,0
407,George Wendt,761,Jonathan Brandis,100,412,0
397,Martin Henderson,729,Indira Varma,276,579,0
46,David Gulpilil,116,Roy Billing,249,93,0
442,Faizon Love,692,Jeffrey Jones,46,585,446
38,Alun Armstrong,206,Michael J. Pollard,75,192,0
346,Xander Berkeley,787,Melinda Clarke,83,485,0
35,Nathaniel Lees,11000,Anne Hathaway,85,43,650
652,Ashley Scott,10000,Jensen Ackles,160,794,0
397,Preity Zinta,8000,Shah Rukh Khan,119,860,2000
501,Randy Couture,1000,Alice Braga,119,518,0
224,Tim Guinee,490,Matt Walsh,126,259,0
359,Cheryl Ladd,655,Bruce McGill,20,476,157
617,Michael McKean,783,Ed Begley Jr.,147,658,357
628,Jimmy Fallon,4000,Hayden Christensen,106,787,3000
77,Siobhan Fallon Hogan,3000,Ezra Miller,301,294,38000
149,Hans Matheson,2000,Samantha Barks,34,627,962
455,Marley Shelton,1000,Ellen Burstyn,12,690,797
172,Shelley Long,10000,Tom Cruise,16,422,168
798,Jimmy Smits,6000,Naomi Watts,65,941,0
375,Terence Hill,963,Catherine Deneuve,26,750,122
39,Isabelle Nanty,106,Christian Clavier,78,54,0
106,Chris Pontius,227,Nathalie Fay,198,218,0
184,Susie Abromeit,756,Geoff Stults,72,216,0
611,Raquel Welch,1000,Taylor Negron,62,788,724
973,Natalie Portman,23000,Joseph Gordon-Levitt,99,20000,19000
13,Mark Wingett,554,Richard E. Grant,66,524,0
,Casey Affleck,13000,Matt Damon,290,0,0
52,Luke Newberry,766,Olivia Williams,25,358,97
935,Josh Charles,7000,Steve Carell,25,1000,0
281,Marian Seldes,474,Lynn Cohen,29,403,916
0,Yuriy Tsurilo,4,Leonid Yarmolnik,28,4,1000
410,Mike Starr,26000,Chris Hemsworth,38,854,694
530,Julie Walters,876,Emily Watson,50,838,311
184,David Della Rocco,12000,Norman Reedus,876,333,16000
4,Louis Koo,91,Michael Wong,1,82,55
507,Bruce Dern,1000,Alden Ehrenreich,70,844,0
26,Wendee Lee,99,Erin Fitzgerald,9,62,453
29,Kate Higgins,122,Debi Derryberry,6,35,41
240,Chris Penn,16000,Clint Eastwood,138,455,0
687,Christopher Judge,878,Ben Browder,42,847,389
787,Adam Goldberg,14000,Milla Jovovich,408,1000,10000
578,Corbin Bleu,755,Lucas Grabeel,162,632,586
63,Justin Edward Seale,149,Gordon Pinsent,6,147,187
493,Edi Gathegi,15000,Rex Baker,38,725,0
36,Johanna Wokalek,177,Heike Makatsch,51,66,687
436,John Heard,710,Rory Culkin,129,697,1000
83,Jason Cerbone,240,Glenn Plummer,65,83,413
261,Nolan Gerard Funk,34000,Jennifer Lawrence,160,924,10000
58,Mélissa Désormeaux-Poulin,131,Lubna Azabal,156,66,37000
11,Silvio Muccino,60,Laura Morante,21,29,282
415,Brendan Coyle,1000,Jim Broadbent,31,418,663
15,Fernanda Machado,585,Wagner Moura,107,39,11000
300,Annabelle Wallis,1000,Alfre Woodard,291,421,45000
38,Magda Szubanski,46,Deborah Mailman,31,46,479
15,Lloyd Avery II,27,John Cothran,183,26,0
51,Rosanna DeSoto,699,Esai Morales,63,63,0
146,Len Cariou,804,Rita Moreno,33,167,337
517,David Margulies,754,Angie Dickinson,201,567,0
689,Frances Conroy,876,Curtis Armstrong,54,827,391
376,Jay Mohr,900,Sarah Polley,418,563,0
180,Marin Hinkle,435,Greg Germann,166,230,515
45,Paula Kelly,116,David Wayne,171,112,0
91,Bob Gunton,730,Leon,160,461,342
8,Juliane Köhler,56,Merab Ninidze,84,36,802
726,Nicole Beharie,13000,Michael Fassbender,375,898,23000
466,Sally Hawkins,27000,Tom Hardy,263,594,0
266,Eric Johnson,1000,Emily Podleski,21,373,19
782,Julia Ormond,10000,Alexander Skarsgård,119,918,12000
874,Matt Frewer,18000,Robin Wright,135,986,1000
0,Sara-Marie Maltha,844,Charlotte Rampling,35,2,260
706,Yaya DaCosta,12000,Steve Buscemi,92,712,0
368,Jed Brophy,1000,Ray Winstone,18,433,830
471,Samantha Morton,845,Sam Riley,143,631,13000
255,Brian Thompson,2000,Michael Biehn,692,663,13000
43,Chulpan Khamatova,65,Florian Lukas,225,51,11000
27,Mark Bazeley,1000,Stephen Graham,75,54,0
358,Clu Gulager,431,Linnea Quigley,300,426,0
5,Fortunato Cerlino,18,Maria Pia Calzone,25,9,0
781,Jason Mewes,1000,Ethan Suplee,434,898,0
898,Stockard Channing,1000,Olivia Newton-John,350,944,13000
576,Tom Berenger,40000,Johnny Depp,505,854,9000
282,Stevie Wonder,503,Osama bin Laden,1416,328,0
399,Ted Cassidy,640,Katharine Ross,309,566,0
266,Glynis Johns,382,Ed Wynn,259,279,0
535,Elizabeth McGovern,2000,Adam Baldwin,283,553,0
447,Steve Coogan,1000,Jim Broadbent,191,1000,0
249,George Chakiris,804,Rita Moreno,316,271,0
484,Rodney Dangerfield,13000,Bill Murray,250,573,0
578,Tatyana Ali,3000,Julie Benz,43,685,478
328,Tamala Jones,865,Omar Epps,50,405,990
574,Chazz Palminteri,18000,Kevin Spacey,1182,979,28000
92,Kelly Jo Minter,321,Lisa Wilcox,227,101,1000
583,Curtis Armstrong,16000,Ryan Reynolds,258,876,0
120,John D'Leo,1000,Mark Margolis,547,245,10000
332,Lillian Gish,469,Joseph Cotten,87,436,403
658,Catherine O'Hara,957,John Michael Higgins,340,925,0
381,Adrienne Barbeau,742,Donald Pleasence,284,602,0
182,Ossie Davis,413,Tisha Campbell-Martin,38,282,624
405,Brian Doyle-Murray,555,Lochlyn Munro,32,484,256
64,Richard Norton,472,Sammo Kam-Bo Hung,70,155,355
345,Christopher Guest,658,Michael McKean,272,378,0
658,Lili Taylor,8000,Julia Roberts,73,960,0
502,Tuppence Middleton,1000,Jim Broadbent,44,888,11000
161,Kevin McNally,711,Jeanne Tripplehorn,278,427,0
360,Clarence Williams III,1000,Corbin Bernsen,52,475,985
25,Simon McBurney,1000,David Oyelowo,351,149,0
120,Tamara Glynn,742,Donald Pleasence,287,256,926
84,Brandon Smith,11000,Matthew McConaughey,136,106,15000
,Daryl Hannah,844,Charlotte Rampling,5,0,28
221,Bud Cort,697,John Heard,148,394,0
612,Dave Chappelle,1000,Janeane Garofalo,182,744,0
10000,Bradley Cooper,24000,J.K. Simmons,130,14000,21000
546,Adrian Martinez,8000,Will Ferrell,70,806,9000
130,Curtiss Cook,3000,Ezra Miller,101,591,0
28,Fionnula Flanagan,3000,Don Cheadle,131,482,17000
664,Alona Tal,1000,Drake Bell,78,1000,422
826,Kathleen Turner,4000,Kirsten Dunst,520,899,0
286,Annette Badland,1000,Jim Broadbent,160,497,915
263,Windell Middlebrooks,373,Hugh M. Hefner,73,308,985
379,Josh Gad,17000,Jim Parsons,93,1000,0
353,Dylan Baker,4000,Sarah Michelle Gellar,190,812,901
724,Jason Dohring,937,Francis Capra,315,828,0
179,Miriam Shor,263,John Cameron Mitchell,231,261,0
82,Ryan Bollman,97,Antoni Corone,50,91,0
34,Monda Scott,397,Rachel Alig,5,77,84
