director_name,director_facebook_likes,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,country,content_rating
Peter Stebbings,89,2658,Charlotte Sullivan,0,http://www.imdb.com/title/tt1303828/?ref_=fn_tt_tt_1,Canada,R
Vincente Minnelli,136,282,Ellen Ross,0,http://www.imdb.com/title/tt0040694/?ref_=fn_tt_tt_1,USA,Approved
Dagur Kári,29,298,Stephen Henderson,2,http://www.imdb.com/title/tt0808285/?ref_=fn_tt_tt_1,Iceland,R
Nicholas Hytner,13,5977,James Corden,0,http://www.imdb.com/title/tt0464049/?ref_=fn_tt_tt_1,UK,R
Jaume Collet-Serra,174,17151,Aidan Quinn,3,http://www.imdb.com/title/tt1401152/?ref_=fn_tt_tt_1,UK,PG-13
,,2195,Mike Farrell,5,http://www.imdb.com/title/tt0068098/?ref_=fn_tt_tt_1,USA,TV-PG
John Schlesinger,154,465,John McGiver,2,http://www.imdb.com/title/tt0064665/?ref_=fn_tt_tt_1,USA,X
Peter Cattaneo,11,2323,Lesley Sharp,3,http://www.imdb.com/title/tt0119164/?ref_=fn_tt_tt_1,UK,R
Jim Abrahams,104,2726,Barbara Billingsley,0,http://www.imdb.com/title/tt0080339/?ref_=fn_tt_tt_1,USA,PG
Kevin Carraway,2,2886,Jon Osbeck,3,http://www.imdb.com/title/tt4340720/?ref_=fn_tt_tt_1,USA,R
F. Gary Gray,473,3455,Tony Cox,1,http://www.imdb.com/title/tt0113118/?ref_=fn_tt_tt_1,USA,R
Albert Hughes,117,3036,Khandi Alexander,2,http://www.imdb.com/title/tt0107554/?ref_=fn_tt_tt_1,USA,R
,,4337,Malik Yoba,2,http://www.imdb.com/title/tt3228904/?ref_=fn_tt_tt_1,USA,TV-14
Michael Gornick,10,3617,Dorothy Lamour,0,http://www.imdb.com/title/tt0092796/?ref_=fn_tt_tt_1,USA,R
Sam Peckinpah,541,1970,L.Q. Jones,2,http://www.imdb.com/title/tt0065446/?ref_=fn_tt_tt_1,USA,R
Richard Brooks,174,970,Will Geer,1,http://www.imdb.com/title/tt0061809/?ref_=fn_tt_tt_1,USA,Approved
Fred Zinnemann,160,646,Beatrice Straight,0,http://www.imdb.com/title/tt0053131/?ref_=fn_tt_tt_1,USA,Not Rated
Jack Smight,22,2402,Shelley Winters,1,http://www.imdb.com/title/tt0060490/?ref_=fn_tt_tt_1,USA,Not Rated
Alfred Hitchcock,13000,771,Clive Swift,0,http://www.imdb.com/title/tt0068611/?ref_=fn_tt_tt_1,UK,R
Robert Eggers,22,1122,Ralph Ineson,0,http://www.imdb.com/title/tt4263482/?ref_=fn_tt_tt_1,USA,R
Michael Martin,0,987,Anthony Johnson,2,http://www.imdb.com/title/tt0131436/?ref_=fn_tt_tt_1,USA,R
Edward Burns,0,995,Michael McGlone,2,http://www.imdb.com/title/tt0117628/?ref_=fn_tt_tt_1,USA,R
Bill Condon,386,4238,Kevin J. O'Connor,2,http://www.imdb.com/title/tt0120684/?ref_=fn_tt_tt_1,USA,R
Juan José Campanella,195,1044,Guillermo Francella,0,http://www.imdb.com/title/tt1305806/?ref_=fn_tt_tt_1,Argentina,R
George A. Romero,0,1592,Joseph Pilato,1,http://www.imdb.com/title/tt0088993/?ref_=fn_tt_tt_1,USA,Unrated
Gideon Raff,47,836,Derek Magyar,1,http://www.imdb.com/title/tt1015474/?ref_=fn_tt_tt_1,USA,R
Sam Raimi,0,1347,Kassie Wesley DePaiva,0,http://www.imdb.com/title/tt0092991/?ref_=fn_tt_tt_1,USA,X
Louis C.K.,0,2238,Robert Vaughn,0,http://www.imdb.com/title/tt0258038/?ref_=fn_tt_tt_1,USA,PG-13
Anthony C. Ferrante,48,3075,Cassandra Scerbo,0,http://www.imdb.com/title/tt2724064/?ref_=fn_tt_tt_1,USA,TV-14
Salvador Carrasco,22,222,Damián Delgado,0,http://www.imdb.com/title/tt0175996/?ref_=fn_tt_tt_1,Mexico,R
André Øvredal,12,44,Glenn Erland Tosterud,0,http://www.imdb.com/title/tt1740707/?ref_=fn_tt_tt_1,Norway,PG-13
Robert Cary,0,3574,Kevin Sussman,3,http://www.imdb.com/title/tt0480251/?ref_=fn_tt_tt_1,USA,R
Akiva Schaffer,82,2486,Rosemarie DeWitt,4,http://www.imdb.com/title/tt1298649/?ref_=fn_tt_tt_1,USA,R
Adam Rapp,9,20009,Dallas Roberts,4,http://www.imdb.com/title/tt0380817/?ref_=fn_tt_tt_1,USA,R
Angela Robinson,23,6380,Scoot McNairy,3,http://www.imdb.com/title/tt0367631/?ref_=fn_tt_tt_1,USA,PG-13
Warren P. Sonoda,28,1043,Lara Jean Chorostecki,0,http://www.imdb.com/title/tt3103166/?ref_=fn_tt_tt_1,Canada,PG-13
Amanda Gusack,0,668,Blaine Anderson,0,http://www.imdb.com/title/tt1074191/?ref_=fn_tt_tt_1,USA,
Avi Nesher,6,2406,Robert Townsend,6,http://www.imdb.com/title/tt0138862/?ref_=fn_tt_tt_1,USA,R
,,1393,Genevieve O'Reilly,3,http://www.imdb.com/title/tt5116280/?ref_=fn_tt_tt_1,UK,
Charles Adelman,0,2307,Jere Burns,0,http://www.imdb.com/title/tt1002561/?ref_=fn_tt_tt_1,USA,
Jay Oliva,41,5526,Grey Griffin,0,http://www.imdb.com/title/tt2166834/?ref_=fn_tt_tt_1,USA,PG-13
Charles Ferguson,117,24,Peter Agnefjall,0,http://www.imdb.com/title/tt5001130/?ref_=fn_tt_tt_1,USA,
Uwe Boll,892,854,Ralitsa Paskaleva,1,http://www.imdb.com/title/tt2379386/?ref_=fn_tt_tt_1,Canada,R
Mark Young,14,3854,Lew Temple,2,http://www.imdb.com/title/tt2761578/?ref_=fn_tt_tt_1,USA,Not Rated
Daniel Petrie Jr.,19,2497,Rita Wilson,0,http://www.imdb.com/title/tt2073661/?ref_=fn_tt_tt_1,,
Antonio Simoncini,0,1183,Glen Murphy,1,http://www.imdb.com/title/tt1800337/?ref_=fn_tt_tt_1,UK,R
Mel Brooks,0,2861,Dick Van Patten,0,http://www.imdb.com/title/tt0076141/?ref_=fn_tt_tt_1,USA,PG
Luc Jacquet,10,11218,Romane Bohringer,0,http://www.imdb.com/title/tt0428803/?ref_=fn_tt_tt_1,France,G
J.C. Chandor,78,22834,Ashley Williams,8,http://www.imdb.com/title/tt1615147/?ref_=fn_tt_tt_1,USA,R
Eldar Rapaport,0,320,Edward Conna,1,http://www.imdb.com/title/tt1753460/?ref_=fn_tt_tt_1,USA,Not Rated
Clark Gregg,0,3608,Jonah Bobo,0,http://www.imdb.com/title/tt1024715/?ref_=fn_tt_tt_1,USA,R
Damien Chazelle,141,26495,Chris Mulkey,0,http://www.imdb.com/title/tt2582802/?ref_=fn_tt_tt_1,USA,R
Fernando Meirelles,353,1211,Alexandre Rodrigues,0,http://www.imdb.com/title/tt0317248/?ref_=fn_tt_tt_1,Brazil,R
Justin Kerrigan,8,1430,Shaun Parkes,2,http://www.imdb.com/title/tt0188674/?ref_=fn_tt_tt_1,UK,R
Nathan Frankowski,19,1011,Luis Antonio,7,http://www.imdb.com/title/tt1850418/?ref_=fn_tt_tt_1,USA,PG-13
Karen Moncrieff,22,11860,Piper Laurie,0,http://www.imdb.com/title/tt0783238/?ref_=fn_tt_tt_1,USA,R
Thomas Vinterberg,346,216,Hana Shuan,1,http://www.imdb.com/title/tt2106476/?ref_=fn_tt_tt_1,Denmark,R
Bob Clark,84,2076,Scott Schwartz,0,http://www.imdb.com/title/tt0085334/?ref_=fn_tt_tt_1,USA,PG
Alejandro Monteverde,38,2747,Eduardo Verástegui,0,http://www.imdb.com/title/tt0482463/?ref_=fn_tt_tt_1,USA,PG-13
Mark L. Lester,73,1105,Timothy Van Patten,4,http://www.imdb.com/title/tt0083739/?ref_=fn_tt_tt_1,Canada,R
Jennifer Finnigan,246,3717,Josh Hopkins,5,http://www.imdb.com/title/tt2796678/?ref_=fn_tt_tt_1,USA,
Eric Styles,4,2020,Miriam Margolyes,0,http://www.imdb.com/title/tt0144178/?ref_=fn_tt_tt_1,USA,R
Laurent Cantet,39,17,Angélica Sancio,7,http://www.imdb.com/title/tt1068646/?ref_=fn_tt_tt_1,France,PG-13
Roman Polanski,2000,2997,Charles Grodin,0,http://www.imdb.com/title/tt0063522/?ref_=fn_tt_tt_1,USA,R
John Ford,673,2693,Vera Miles,1,http://www.imdb.com/title/tt0056217/?ref_=fn_tt_tt_1,USA,Approved
Max Mayer,6,1936,Amy Irving,0,http://www.imdb.com/title/tt1185836/?ref_=fn_tt_tt_1,USA,PG-13
Joshua Marston,13,308,Yenny Paola Vega,0,http://www.imdb.com/title/tt0390221/?ref_=fn_tt_tt_1,Colombia,R
Mike Mills,101,2016,Mary Page Keller,4,http://www.imdb.com/title/tt1532503/?ref_=fn_tt_tt_1,USA,R
John Gulager,38,170118,Henry Rollins,0,http://www.imdb.com/title/tt0426459/?ref_=fn_tt_tt_1,USA,R
John Landis,644,3468,Tim Matheson,6,http://www.imdb.com/title/tt0077975/?ref_=fn_tt_tt_1,USA,R
Guy Hamilton,82,1198,Lois Maxwell,2,http://www.imdb.com/title/tt0058150/?ref_=fn_tt_tt_1,UK,Approved
Brandon Cronenberg,43,1962,Caleb Landry Jones,0,http://www.imdb.com/title/tt2099556/?ref_=fn_tt_tt_1,Canada,Not Rated
Frank Capra,964,1844,Thomas Mitchell,0,http://www.imdb.com/title/tt0038650/?ref_=fn_tt_tt_1,USA,PG
Danny Boyle,0,3559,Ewen Bremner,4,http://www.imdb.com/title/tt0117951/?ref_=fn_tt_tt_1,UK,R
Spike Lee,0,1964,Steve Harvey,0,http://www.imdb.com/title/tt0236388/?ref_=fn_tt_tt_1,USA,R
Tod Williams,21,1081,Micah Sloat,0,http://www.imdb.com/title/tt1536044/?ref_=fn_tt_tt_1,USA,R
Kirk Jones,52,1965,Fionnula Flanagan,0,http://www.imdb.com/title/tt0166396/?ref_=fn_tt_tt_1,UK,PG
Michael Moore,909,1779,Bill Clinton,2,http://www.imdb.com/title/tt0310793/?ref_=fn_tt_tt_1,Germany,R
Yimou Zhang,611,900,Ni Yan,1,http://www.imdb.com/title/tt3125472/?ref_=fn_tt_tt_1,China,PG-13
Jack Sholder,28,1472,Marshall Bell,0,http://www.imdb.com/title/tt0089686/?ref_=fn_tt_tt_1,USA,R
James Ivory,133,1665,Denholm Elliott,0,http://www.imdb.com/title/tt0091867/?ref_=fn_tt_tt_1,UK,Unrated
James DeMonaco,65,3708,Chris Mulkey,0,http://www.imdb.com/title/tt2184339/?ref_=fn_tt_tt_1,USA,R
Scott Derrickson,301,2239,James Ransone,0,http://www.imdb.com/title/tt1922777/?ref_=fn_tt_tt_1,USA,R
David Raynr,9,159,Dayna Devon,1,http://www.imdb.com/title/tt0327036/?ref_=fn_tt_tt_1,USA,R
Richard Brooks,174,649,Jack Carson,0,http://www.imdb.com/title/tt0051459/?ref_=fn_tt_tt_1,USA,Approved
Ted Post,57,1186,Victor Buono,0,http://www.imdb.com/title/tt0065462/?ref_=fn_tt_tt_1,USA,G
Charles Martin Smith,188,4277,Michael Jeter,0,http://www.imdb.com/title/tt0118570/?ref_=fn_tt_tt_1,USA,PG
Kunihiko Yuyama,8,373,Lisa Ortiz,0,http://www.imdb.com/title/tt0235679/?ref_=fn_tt_tt_1,Japan,G
Tom McLoughlin,41,1862,Vincent Guastaferro,0,http://www.imdb.com/title/tt0091080/?ref_=fn_tt_tt_1,USA,R
David Lean,767,1035,Jack Hawkins,2,http://www.imdb.com/title/tt0050212/?ref_=fn_tt_tt_1,UK,PG
Patrick Read Johnson,32,1441,Tonya Lee Williams,1,http://www.imdb.com/title/tt0100666/?ref_=fn_tt_tt_1,USA,PG
Alfred Hitchcock,13000,2811,William Devane,1,http://www.imdb.com/title/tt0074512/?ref_=fn_tt_tt_1,USA,PG
Billy Wilder,0,1328,David White,2,http://www.imdb.com/title/tt0053604/?ref_=fn_tt_tt_1,USA,Approved
Adam Marcus,18,2899,Erin Gray,0,http://www.imdb.com/title/tt0107254/?ref_=fn_tt_tt_1,USA,R
Alfred Hitchcock,13000,70,David Opatoshu,1,http://www.imdb.com/title/tt0061107/?ref_=fn_tt_tt_1,USA,Approved
Michel Gondry,1000,2165,Lauryn Hill,0,http://www.imdb.com/title/tt0425598/?ref_=fn_tt_tt_1,USA,R
John Maclean,85,14696,Ben Mendelsohn,2,http://www.imdb.com/title/tt3205376/?ref_=fn_tt_tt_1,UK,R
Michael Schultz,78,1163,Bobby Brown,0,http://www.imdb.com/title/tt0089444/?ref_=fn_tt_tt_1,USA,R
Benny Boom,23,4815,Mike Epps,3,http://www.imdb.com/title/tt1097013/?ref_=fn_tt_tt_1,USA,R
Richard Brooks,174,1444,Edward Andrews,1,http://www.imdb.com/title/tt0053793/?ref_=fn_tt_tt_1,USA,Approved
Stanley Kramer,176,3847,Spencer Tracy,0,http://www.imdb.com/title/tt0055031/?ref_=fn_tt_tt_1,USA,Not Rated
David Raynr,9,1936,Countess Vaughn,3,http://www.imdb.com/title/tt0160298/?ref_=fn_tt_tt_1,USA,R
,,11,Breckin Meyer,0,http://www.imdb.com/title/tt0437745/?ref_=fn_tt_tt_1,USA,TV-MA
Howard Hawks,393,2269,Harry Carey Jr.,0,http://www.imdb.com/title/tt0040724/?ref_=fn_tt_tt_1,USA,Approved
Nnegest Likké,18,2321,Joyful Drake,0,http://www.imdb.com/title/tt0490196/?ref_=fn_tt_tt_1,USA,PG-13
Richard Linklater,0,328,Athina Rachel Tsangari,1,http://www.imdb.com/title/tt2209418/?ref_=fn_tt_tt_1,USA,R
Christopher Leitch,4,1389,Kim Darby,1,http://www.imdb.com/title/tt0094118/?ref_=fn_tt_tt_1,USA,PG
Don Coscarelli,152,1395,James Le Gros,1,http://www.imdb.com/title/tt0095863/?ref_=fn_tt_tt_1,USA,R
Michael Schultz,78,3049,Clifton Powell,0,http://www.imdb.com/title/tt0399901/?ref_=fn_tt_tt_1,USA,R
Patricia Cardoso,15,2510,George Lopez,1,http://www.imdb.com/title/tt0296166/?ref_=fn_tt_tt_1,USA,PG-13
,,1400,Luke Ford,0,http://www.imdb.com/title/tt3458030/?ref_=fn_tt_tt_1,Australia,
Deepa Mehta,375,1394,Seema Biswas,0,http://www.imdb.com/title/tt0240200/?ref_=fn_tt_tt_1,Canada,PG-13
Damien O'Donnell,70,1616,Om Puri,0,http://www.imdb.com/title/tt0166175/?ref_=fn_tt_tt_1,UK,R
Peter M. Cohen,0,858,David Heyman,1,http://www.imdb.com/title/tt0174336/?ref_=fn_tt_tt_1,USA,R
Mira Nair,300,1292,Rekha,0,http://www.imdb.com/title/tt0116743/?ref_=fn_tt_tt_1,USA,R
Nicole Holofcener,132,3692,Ann Morgan Guilbert,0,http://www.imdb.com/title/tt0878835/?ref_=fn_tt_tt_1,USA,R
Mel Stuart,21,1011,Julie Dawn Cole,1,http://www.imdb.com/title/tt0067992/?ref_=fn_tt_tt_1,USA,G
Anthony Hickox,16,1806,Paula Marshall,0,http://www.imdb.com/title/tt0108517/?ref_=fn_tt_tt_1,USA,R
Tom Schulman,45,1363,Dyan Cannon,0,http://www.imdb.com/title/tt0118541/?ref_=fn_tt_tt_1,USA,R
Terrence Malick,0,1618,Richard Libertini,0,http://www.imdb.com/title/tt0077405/?ref_=fn_tt_tt_1,USA,PG
Jill Sprecher,11,12250,Amy Irving,2,http://www.imdb.com/title/tt0268690/?ref_=fn_tt_tt_1,USA,R
Darren Stein,18,9555,Jeff Conaway,3,http://www.imdb.com/title/tt0155776/?ref_=fn_tt_tt_1,USA,R
Julian Schnabel,232,11459,Courtney Love,4,http://www.imdb.com/title/tt0115632/?ref_=fn_tt_tt_1,USA,R
Noah Baumbach,387,2260,Vanessa Ray,0,http://www.imdb.com/title/tt2347569/?ref_=fn_tt_tt_1,USA,R
Gavin Hood,151,278,Rapulana Seiphemo,1,http://www.imdb.com/title/tt0468565/?ref_=fn_tt_tt_1,UK,R
Todd Solondz,377,36859,Dylan Baker,9,http://www.imdb.com/title/tt0147612/?ref_=fn_tt_tt_1,USA,
George Gallo,269,539,Robert Noble,1,http://www.imdb.com/title/tt0337996/?ref_=fn_tt_tt_1,USA,R
Kevin Smith,0,43810,Michael Parks,0,http://www.imdb.com/title/tt3099498/?ref_=fn_tt_tt_1,USA,R
Chan-wook Park,0,852,Hye-jeong Kang,0,http://www.imdb.com/title/tt0364569/?ref_=fn_tt_tt_1,South Korea,R
David Nixon,13,1567,Christopher Schmidt,0,http://www.imdb.com/title/tt1462054/?ref_=fn_tt_tt_1,USA,PG
Jason Eisener,59,1249,Molly Dunsworth,4,http://www.imdb.com/title/tt1640459/?ref_=fn_tt_tt_1,Canada,Not Rated
Enrique Begne,0,1335,Erick Elias,2,http://www.imdb.com/title/tt3367294/?ref_=fn_tt_tt_1,Mexico,R
Matthew Bright,9,1663,Robert Peters,1,http://www.imdb.com/title/tt0116361/?ref_=fn_tt_tt_1,USA,R
Michael Landon Jr.,84,2715,Brianna Brown,0,http://www.imdb.com/title/tt0785025/?ref_=fn_tt_tt_1,USA,PG
Andrea Arnold,121,13636,Jason Maza,0,http://www.imdb.com/title/tt1232776/?ref_=fn_tt_tt_1,UK,Not Rated
Whit Stillman,89,2452,Zach Woods,5,http://www.imdb.com/title/tt1667307/?ref_=fn_tt_tt_1,USA,PG-13
,,3149,Megalyn Echikunwoke,3,http://www.imdb.com/title/tt0156205/?ref_=fn_tt_tt_1,USA,
Leslye Headland,21,8353,Andrew Rannells,3,http://www.imdb.com/title/tt1920849/?ref_=fn_tt_tt_1,USA,R
,,1551,Zach Grenier,0,http://www.imdb.com/title/tt4877736/?ref_=fn_tt_tt_1,USA,
Bobby Roth,40,2330,Lindsey Haun,2,http://www.imdb.com/title/tt0403118/?ref_=fn_tt_tt_1,USA,PG-13
Tim Heidecker,78,1467,Bob Ross,3,http://www.imdb.com/title/tt1855401/?ref_=fn_tt_tt_1,USA,R
Rupert Wyatt,81,3784,Griffin Cleveland,1,http://www.imdb.com/title/tt2039393/?ref_=fn_tt_tt_1,USA,R
,,158,Tim Healy,0,http://www.imdb.com/title/tt0118327/?ref_=fn_tt_tt_1,UK,
Marco Kreuzpaintner,7,362,Robert Stadlober,0,http://www.imdb.com/title/tt0420206/?ref_=fn_tt_tt_1,Germany,R
Kate Connor,27,4374,Brendan Fehr,1,http://www.imdb.com/title/tt1282046/?ref_=fn_tt_tt_1,USA,R
Deon Taylor,26,1495,Noah Segan,0,http://www.imdb.com/title/tt1148200/?ref_=fn_tt_tt_1,USA,R
Jason Alexander,700,1030,Peter Onorati,1,http://www.imdb.com/title/tt0162236/?ref_=fn_tt_tt_1,USA,R
Xavier Gens,87,4920,Rosanna Arquette,4,http://www.imdb.com/title/tt1535616/?ref_=fn_tt_tt_1,Germany,R
Conor McPherson,0,975,Jim Norton,0,http://www.imdb.com/title/tt1346961/?ref_=fn_tt_tt_1,Ireland,R
Will Canon,8,4756,Aaron Yoo,1,http://www.imdb.com/title/tt1841642/?ref_=fn_tt_tt_1,USA,R
Philip Zlotorynski,0,313,David Douglas,1,http://www.imdb.com/title/tt0385890/?ref_=fn_tt_tt_1,USA,R
Tim Burton,13000,79957,Anne Hathaway,0,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,USA,PG
Lance Kawas,66,3882,Talia Shire,1,http://www.imdb.com/title/tt1390404/?ref_=fn_tt_tt_1,USA,PG-13
Francesca Gregorini,15,1929,Chris Kattan,2,http://www.imdb.com/title/tt1151410/?ref_=fn_tt_tt_1,USA,R
Marcio Garcia,74,844,Emily Nelson,3,http://www.imdb.com/title/tt1922679/?ref_=fn_tt_tt_1,Brazil,
David Wain,136,7191,Jack McBrayer,2,http://www.imdb.com/title/tt2398249/?ref_=fn_tt_tt_1,USA,R
Craig Moss,19,845,Olivia Alexander,0,http://www.imdb.com/title/tt2417650/?ref_=fn_tt_tt_1,USA,R
Michael Jai White,2000,3666,Jillian Murray,3,http://www.imdb.com/title/tt1754264/?ref_=fn_tt_tt_1,USA,R
John Boorman,128,2715,Carroll O'Connor,0,http://www.imdb.com/title/tt0062138/?ref_=fn_tt_tt_1,USA,Approved
Paolo Monico,3,2890,Salvatore Santone,0,http://www.imdb.com/title/tt1252289/?ref_=fn_tt_tt_1,Italy,
Youssef Delara,8,4469,Jason Priestley,0,http://www.imdb.com/title/tt2229377/?ref_=fn_tt_tt_1,USA,
Darin Scott,39,3024,John Robinson,2,http://www.imdb.com/title/tt1327601/?ref_=fn_tt_tt_1,USA,R
Christian Sesma,9,4092,Brett Wagner,4,http://www.imdb.com/title/tt2048865/?ref_=fn_tt_tt_1,USA,R
Monte Hellman,96,277,Fabio Testi,1,http://www.imdb.com/title/tt0095354/?ref_=fn_tt_tt_1,Italy,
Kenneth Branagh,0,4671,Lily James,1,http://www.imdb.com/title/tt1661199/?ref_=fn_tt_tt_1,USA,PG
Brian Caunter,0,1989,Frank Vincent,3,http://www.imdb.com/title/tt1085382/?ref_=fn_tt_tt_1,USA,R
Chris D'Arienzo,7,3648,Shea Whigham,2,http://www.imdb.com/title/tt0482461/?ref_=fn_tt_tt_1,USA,R
Walter Salles,179,167,Othon Bastos,0,http://www.imdb.com/title/tt0140888/?ref_=fn_tt_tt_1,Brazil,R
Frank Capra,964,2167,Thomas Mitchell,2,http://www.imdb.com/title/tt0055312/?ref_=fn_tt_tt_1,USA,Approved
Isaac Florentine,81,1517,Scott Evans,1,http://www.imdb.com/title/tt3511596/?ref_=fn_tt_tt_1,USA,
Susan Seidelman,39,1231,Brenda Vaccaro,8,http://www.imdb.com/title/tt0439478/?ref_=fn_tt_tt_1,USA,R
Michael Polish,35,423,Mia Barron,0,http://www.imdb.com/title/tt2837336/?ref_=fn_tt_tt_1,USA,
Heidi Ewing,4,2305,Tempestt Bledsoe,0,http://www.imdb.com/title/tt1152822/?ref_=fn_tt_tt_1,USA,PG-13
Richard Donner,503,673,Billie Whitelaw,2,http://www.imdb.com/title/tt0075005/?ref_=fn_tt_tt_1,UK,R
Alexandre Aja,192,923,Oana Pellea,1,http://www.imdb.com/title/tt0338095/?ref_=fn_tt_tt_1,France,Unrated
Leon Ford,18,362,Kelly Paterniti,1,http://www.imdb.com/title/tt1509803/?ref_=fn_tt_tt_1,Australia,PG-13
Hank Braxtan,6,964,Allegra Carpenter,0,http://www.imdb.com/title/tt3551400/?ref_=fn_tt_tt_1,USA,R
Craig Brewer,153,727,Elise Neal,1,http://www.imdb.com/title/tt0410097/?ref_=fn_tt_tt_1,USA,R
