director_name,duration,director_facebook_likes,actor_3_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,country,content_rating,budget,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
Adam Shankman,105,163,338,Comedy,Angus T. Jones,2505,Steve Harris,2,http://www.imdb.com/title/tt0305669/?ref_=fn_tt_tt_1,236,USA,PG-13,33000000,409,2.35,800
Jonathan Demme,138,438,173,Crime|Drama|Horror|Thriller,Anthony Hopkins,13184,Anthony Heald,0,http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1,916,USA,R,19000000,826,1.85,40000
Penelope Spheeris,94,122,617,Comedy|Music,Tia Carrere,4263,Kurt Fuller,2,http://www.imdb.com/title/tt0105793/?ref_=fn_tt_tt_1,176,USA,PG-13,20000000,619,1.85,0
Jeff Tremaine,101,79,218,Action|Comedy|Documentary,Bam Margera,1787,Chris Pontius,1,http://www.imdb.com/title/tt1116184/?ref_=fn_tt_tt_1,81,USA,R,20000000,362,1.78,0
Jeannot Szwarc,131,82,85,Adventure|Horror|Thriller,Roy Scheider,1520,Joseph Mascolo,0,http://www.imdb.com/title/tt0077766/?ref_=fn_tt_tt_1,265,USA,PG,20000000,366,2.35,0
Raja Gosnell,91,67,597,Adventure|Comedy|Drama|Family|Romance,Jamie Lee Curtis,4729,Ali Hillis,1,http://www.imdb.com/title/tt1014775/?ref_=fn_tt_tt_1,99,USA,PG,20000000,641,2.35,0
James Wan,112,0,697,Horror|Mystery|Thriller,Mackenzie Foy,9049,Hayley McFarland,0,http://www.imdb.com/title/tt1457767/?ref_=fn_tt_tt_1,807,USA,R,20000000,960,2.35,131000
Brian Levant,95,32,563,Adventure|Comedy|Family|Romance,Nia Long,3558,Jay Mohr,2,http://www.imdb.com/title/tt0368578/?ref_=fn_tt_tt_1,149,USA,PG,32000000,642,1.85,773
Ben Falcone,100,265,265,Comedy,Gary Cole,2654,Ben Falcone,0,http://www.imdb.com/title/tt2103254/?ref_=fn_tt_tt_1,144,USA,R,20000000,830,1.85,11000
D.J. Caruso,105,154,501,Drama|Mystery|Thriller,Sarah Roemer,2287,Jose Pablo Cantillo,0,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,491,USA,PG-13,20000000,617,1.85,0
Richard Linklater,108,0,487,Comedy|Music,Miranda Cosgrove,4403,Mike White,1,http://www.imdb.com/title/tt0332379/?ref_=fn_tt_tt_1,479,USA,PG-13,35000000,931,1.85,0
Paul W.S. Anderson,101,545,545,Action|Adventure|Fantasy|Sci-Fi|Thriller,Christopher Lambert,3816,Bridgette Wilson-Sampras,0,http://www.imdb.com/title/tt0113855/?ref_=fn_tt_tt_1,283,USA,PG-13,18000000,1000,1.85,0
Paul McGuigan,114,118,40,Drama|Mystery|Romance|Thriller,Jessica Paré,679,Mark Camacho,0,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,298,USA,PG-13,30000000,93,2.35,0
Keenen Ivory Wayans,109,322,861,Comedy|Crime,Busy Philipps,6313,Brittany Daniel,4,http://www.imdb.com/title/tt0381707/?ref_=fn_tt_tt_1,251,USA,PG-13,37000000,960,1.85,0
Alexander Payne,115,729,552,Comedy|Drama,Shailene Woodley,9578,Beau Bridges,0,http://www.imdb.com/title/tt1033575/?ref_=fn_tt_tt_1,439,USA,R,20000000,727,2.35,22000
Andrew Davis,117,99,165,Adventure|Comedy|Drama|Family|Mystery,Tim Blake Nelson,1293,Ski Carr,0,http://www.imdb.com/title/tt0311289/?ref_=fn_tt_tt_1,331,USA,PG,20000000,265,1.85,0
Julie Anne Robinson,107,30,318,Drama|Family|Music|Romance,Kelly Preston,2341,Melissa Ordway,1,http://www.imdb.com/title/tt1294226/?ref_=fn_tt_tt_1,185,USA,PG,20000000,360,2.35,10000
Steve McQueen,134,0,500,Biography|Drama|History,Quvenzhané Wallis,4251,Taran Killam,0,http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1,695,USA,R,20000000,660,2.35,83000
Charles Stone III,118,30,284,Comedy|Drama|Music|Romance,Leonard Roberts,2390,Jason Weaver,0,http://www.imdb.com/title/tt0303933/?ref_=fn_tt_tt_1,185,USA,PG-13,20000000,593,2.35,2000
Tyler Perry,121,0,721,Comedy|Drama|Romance,Michael Jai White,6657,Tasha Smith,8,http://www.imdb.com/title/tt1391137/?ref_=fn_tt_tt_1,68,USA,PG-13,20000000,907,1.85,0
Tim Burton,105,13000,658,Fantasy|Romance,Johnny Depp,42330,Conchata Ferrell,0,http://www.imdb.com/title/tt0099487/?ref_=fn_tt_tt_1,588,USA,PG-13,20000000,967,1.85,16000
Thea Sharrock,110,17,418,Drama|Romance,Sam Claflin,21852,Brendan Coyle,0,http://www.imdb.com/title/tt2674426/?ref_=fn_tt_tt_1,130,UK,PG-13,20000000,10000,2.35,51000
Tyler Perry,114,0,582,Comedy|Crime|Drama,John Amos,2753,Romeo Miller,5,http://www.imdb.com/title/tt2215285/?ref_=fn_tt_tt_1,50,USA,PG-13,20000000,618,1.85,0
William Friedkin,104,607,109,Action|Crime|Drama|Thriller,Roy Scheider,1196,Tony Lo Bianco,0,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,280,USA,R,1800000,165,1.85,0
Jon Lucas,100,24,851,Comedy,Mila Kunis,18786,Jada Pinkett Smith,9,http://www.imdb.com/title/tt4651520/?ref_=fn_tt_tt_1,46,USA,R,20000000,1000,,18000
Aaron Seltzer,85,64,729,Comedy|Romance,Alyson Hannigan,6539,Fred Willard,0,http://www.imdb.com/title/tt0466342/?ref_=fn_tt_tt_1,613,USA,PG-13,20000000,869,1.85,806
Robin Budd,72,2,434,Adventure|Animation|Family|Fantasy,Roger Rees,3402,Spencer Breslin,1,http://www.imdb.com/title/tt0280030/?ref_=fn_tt_tt_1,79,USA,G,20000000,677,1.66,302
Ava DuVernay,128,151,852,Biography|Drama|History,David Oyelowo,3869,Oprah Winfrey,0,http://www.imdb.com/title/tt1020072/?ref_=fn_tt_tt_1,212,UK,PG-13,20000000,1000,2.35,22000
Steve Trenbirth,72,0,384,Adventure|Animation|Family|Musical,Haley Joel Osment,4480,Tony Jay,0,http://www.imdb.com/title/tt0283426/?ref_=fn_tt_tt_1,58,USA,G,20000000,455,1.85,227
Stephen Kay,89,19,349,Drama|Horror|Mystery|Thriller,Barry Watson,1383,Charles Mesure,0,http://www.imdb.com/title/tt0357507/?ref_=fn_tt_tt_1,389,USA,PG-13,20000000,392,1.85,1000
Mennan Yapo,96,9,107,Drama|Mystery|Thriller,Nia Long,1825,Marc Macaulay,0,http://www.imdb.com/title/tt0477071/?ref_=fn_tt_tt_1,337,USA,PG-13,20000000,626,2.35,0
Jun Falkenstein,77,25,16,Animation|Comedy|Drama|Family|Musical,Kath Soucie,575,Ken Sansom,0,http://www.imdb.com/title/tt0220099/?ref_=fn_tt_tt_1,53,USA,G,30000000,253,1.78,347
Jaume Collet-Serra,123,174,602,Horror|Mystery|Thriller,Jimmy Bennett,88953,Aryana Engineer,1,http://www.imdb.com/title/tt1148204/?ref_=fn_tt_tt_1,383,USA,R,,1000,1.85,20000
Boaz Yakin,111,132,455,Adventure|Family,Jay Hernandez,2851,Edgar Arreola,0,http://www.imdb.com/title/tt3369806/?ref_=fn_tt_tt_1,87,USA,PG,20000000,465,2.35,33000
,30,,295,Comedy,Lamman Rucker,1530,Denise Boutte,2,http://www.imdb.com/title/tt1319598/?ref_=fn_tt_tt_1,20,USA,,,378,1.85,211
Jason Friedberg,93,82,729,Adventure|Comedy,David Carradine,4293,Fred Willard,11,http://www.imdb.com/title/tt0799949/?ref_=fn_tt_tt_1,666,USA,PG-13,20000000,869,1.85,0
John Milius,129,468,183,Adventure|Fantasy,William Smith,2024,Sandahl Bergman,0,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,337,USA,R,20000000,691,2.35,0
Tom McCarthy,128,310,77,Biography|Crime|Drama|History,Billy Crudup,1058,Brian d'Arcy James,2,http://www.imdb.com/title/tt1895587/?ref_=fn_tt_tt_1,409,USA,R,20000000,168,1.85,80000
Neil LaBute,110,119,332,Crime|Drama|Thriller,Jay Hernandez,2382,Robert Pine,1,http://www.imdb.com/title/tt0947802/?ref_=fn_tt_tt_1,135,USA,PG-13,22000000,931,2.35,0
Takashi Shimizu,137,70,464,Horror|Thriller,Sarah Michelle Gellar,5746,Matthew Knight,0,http://www.imdb.com/title/tt0433386/?ref_=fn_tt_tt_1,284,USA,PG-13,20000000,884,1.85,930
Kevin Rodney Sullivan,124,8,232,Comedy|Drama|Romance,Richard Lawson,1660,Barry Shabaka Henley,1,http://www.imdb.com/title/tt0120703/?ref_=fn_tt_tt_1,51,USA,R,20000000,270,1.85,0
Peter Hewitt,93,12,636,Adventure|Comedy|Fantasy|Music|Sci-Fi,Keanu Reeves,20188,Alex Winter,2,http://www.imdb.com/title/tt0101452/?ref_=fn_tt_tt_1,117,USA,PG,20000000,769,1.85,0
Barry Levinson,115,272,1000,Comedy|Drama|Romance|Thriller,Robin Williams,52571,Amy Poehler,1,http://www.imdb.com/title/tt0483726/?ref_=fn_tt_tt_1,236,USA,PG-13,20000000,2000,2.35,0
Gary Nelson,98,20,160,Action|Sci-Fi,Robert Forster,2110,Yvette Mimieux,0,http://www.imdb.com/title/tt0078869/?ref_=fn_tt_tt_1,230,USA,PG,20000000,877,2.35,4000
Anton Corbijn,105,210,101,Crime|Drama|Thriller,Violante Placido,1454,Filippo Timi,1,http://www.imdb.com/title/tt1440728/?ref_=fn_tt_tt_1,463,USA,R,20000000,191,2.35,10000
Gregory Nava,127,16,399,Biography|Drama|Music,Jon Seda,1735,Jacob Vargas,1,http://www.imdb.com/title/tt0120094/?ref_=fn_tt_tt_1,155,USA,PG,20000000,441,2.35,0
Jason Friedberg,82,82,354,Comedy,Diedrich Bader,2898,Anneliese van der Pol,7,http://www.imdb.com/title/tt1666186/?ref_=fn_tt_tt_1,187,USA,PG-13,20000000,401,1.85,16000
Alejandro G. Iñárritu,143,0,51,Drama,Brad Pitt,11248,Dermot Crowley,3,http://www.imdb.com/title/tt0449467/?ref_=fn_tt_tt_1,908,France,R,25000000,119,1.85,0
Shawn Levy,103,189,949,Comedy|Drama,Tina Fey,4662,Jane Fonda,8,http://www.imdb.com/title/tt1371150/?ref_=fn_tt_tt_1,145,USA,R,19800000,1000,2.35,14000
John Patrick Shanley,104,53,652,Drama|Mystery,Philip Seymour Hoffman,33903,Carrie Preston,0,http://www.imdb.com/title/tt0918927/?ref_=fn_tt_tt_1,321,USA,PG-13,20000000,11000,1.85,0
Trey Parker,98,406,406,Action|Comedy,Jeremy Shada,2609,Trey Parker,5,http://www.imdb.com/title/tt0372588/?ref_=fn_tt_tt_1,700,USA,R,30000000,523,2.35,0
John Luessenhop,92,34,322,Horror|Thriller,Gunnar Hansen,1945,Shaun Sipos,0,http://www.imdb.com/title/tt1572315/?ref_=fn_tt_tt_1,255,USA,R,11000000,333,2.35,16000
Jon Amiel,123,36,631,Crime|Drama|Mystery|Thriller,William McNamara,12338,Harry Connick Jr.,0,http://www.imdb.com/title/tt0112722/?ref_=fn_tt_tt_1,140,USA,R,20000000,1000,2.35,0
Malcolm D. Lee,88,92,636,Comedy,Marisa Saks,34319,Molly Shannon,8,http://www.imdb.com/title/tt0795461/?ref_=fn_tt_tt_1,177,USA,PG-13,20000000,881,1.85,13000
Joshua Logan,158,32,417,Comedy|Drama|Musical|Romance|Western,Clint Eastwood,17775,Ray Walston,3,http://www.imdb.com/title/tt0064782/?ref_=fn_tt_tt_1,106,USA,PG-13,20000000,756,2.35,0
Gus Van Sant,128,835,755,Biography|Drama|History,James Franco,13189,Lucas Grabeel,1,http://www.imdb.com/title/tt1013753/?ref_=fn_tt_tt_1,281,USA,R,20000000,896,1.85,10000
Kevin Reynolds,107,58,47,Action|Adventure|Drama|Mystery,Peter Firth,389,María Botto,2,http://www.imdb.com/title/tt3231054/?ref_=fn_tt_tt_1,117,USA,PG-13,20000000,76,2.35,21000
Steve Beck,91,17,78,Horror,Isaiah Washington,1083,Francesca Rettondini,0,http://www.imdb.com/title/tt0288477/?ref_=fn_tt_tt_1,474,USA,R,35000000,385,1.85,0
Todd Strauss-Schulson,90,12,587,Adventure|Comedy,Patton Oswalt,2462,Paula Garcés,4,http://www.imdb.com/title/tt1268799/?ref_=fn_tt_tt_1,93,USA,R,19000000,651,2.35,21000
John McNaughton,115,39,254,Crime|Drama|Mystery|Thriller,Bill Murray,14275,Jeff Perry,3,http://www.imdb.com/title/tt0120890/?ref_=fn_tt_tt_1,389,USA,R,20000000,481,2.35,0
Nelson McCormick,101,29,429,Crime|Thriller,Sela Ward,3292,Skyler Samuels,0,http://www.imdb.com/title/tt0814335/?ref_=fn_tt_tt_1,119,USA,PG-13,,533,2.35,0
John Madden,113,108,22,Drama|Thriller,Tom Wilkinson,1136,Romi Aboulafia,3,http://www.imdb.com/title/tt1226753/?ref_=fn_tt_tt_1,165,USA,R,20000000,100,2.35,0
Stephen Frears,113,350,619,Comedy|Drama|Music|Romance,Drake Bell,3141,Lisa Bonet,0,http://www.imdb.com/title/tt0146882/?ref_=fn_tt_tt_1,602,UK,R,20000000,960,1.85,10000
Eric Valette,87,2,270,Horror|Mystery,Johnny Lewis,1834,Margaret Cho,1,http://www.imdb.com/title/tt0479968/?ref_=fn_tt_tt_1,189,Japan,PG-13,27000000,297,1.85,0
John Schlesinger,101,154,497,Crime|Drama|Thriller,Joe Mantegna,3174,Philip Baker Hall,1,http://www.imdb.com/title/tt0116260/?ref_=fn_tt_tt_1,77,USA,R,20000000,816,1.85,613
Roger Donaldson,111,79,287,Crime|Drama|Romance|Thriller,Jason Statham,27755,Daniel Mays,0,http://www.imdb.com/title/tt0200465/?ref_=fn_tt_tt_1,189,UK,R,20000000,811,2.35,0
Michel Gondry,108,1000,1000,Drama|Fantasy|Romance|Sci-Fi,Kate Winslet,19364,Tom Wilkinson,1,http://www.imdb.com/title/tt0338013/?ref_=fn_tt_tt_1,1514,USA,R,20000000,4000,1.85,52000
Andy Fickman,105,99,518,Comedy|Family|Romance,Jamie Lee Curtis,4813,Christine Lakin,6,http://www.imdb.com/title/tt1414382/?ref_=fn_tt_tt_1,136,USA,PG,20000000,938,2.35,0
David Ayer,109,453,2000,Action|Crime|Drama|Thriller,Keanu Reeves,33878,Noel Gugliemi,4,http://www.imdb.com/title/tt0421073/?ref_=fn_tt_tt_1,189,USA,R,20000000,11000,2.35,0
Edgar Wright,109,1000,24,Action|Comedy|Sci-Fi,Michael Smiley,278,Jasper Levine,6,http://www.imdb.com/title/tt1213663/?ref_=fn_tt_tt_1,401,UK,R,20000000,55,2.35,49000
Andrew Fleming,99,26,650,Comedy|Crime|Family|Mystery|Romance|Thriller,Kay Panabaker,3327,Tate Donovan,5,http://www.imdb.com/title/tt0479500/?ref_=fn_tt_tt_1,102,USA,PG,20000000,669,2.35,590
Michael Spierig,98,35,16,Action|Horror|Sci-Fi|Thriller,Jay Laga'aia,189,Tiffany Lamb,0,http://www.imdb.com/title/tt0433362/?ref_=fn_tt_tt_1,281,Australia,R,20000000,37,2.35,0
Jim Field Smith,104,14,756,Comedy|Romance,Mike Vogel,5707,Geoff Stults,1,http://www.imdb.com/title/tt0815236/?ref_=fn_tt_tt_1,131,USA,R,20000000,934,2.35,0
Thomas Bezucha,109,15,350,Adventure|Comedy|Family|Romance,Leighton Meester,4257,Brett Cullen,3,http://www.imdb.com/title/tt1067774/?ref_=fn_tt_tt_1,44,Hungary,PG,20000000,775,1.85,6000
William Brent Bell,75,19,806,Horror|Thriller,Adam Goldberg,3590,Samaire Armstrong,0,http://www.imdb.com/title/tt0441796/?ref_=fn_tt_tt_1,281,USA,PG-13,9000000,934,2.35,0
Simon Wincer,119,23,748,Action|Adventure|Drama|Romance|Western,Alan Rickman,45841,Ben Mendelsohn,1,http://www.imdb.com/title/tt0102744/?ref_=fn_tt_tt_1,97,Australia,PG-13,20000000,19000,2.35,0
Anthony Bell,90,0,518,Adventure|Animation|Comedy|Family|Romance,Kevin Sussman,2486,Christine Lakin,0,http://www.imdb.com/title/tt1213012/?ref_=fn_tt_tt_1,84,USA,PG,20000000,611,1.85,0
Renny Harlin,97,212,637,Action|Fantasy|Horror|Thriller,Laura Ramsey,3261,Toby Hemingway,0,http://www.imdb.com/title/tt0475944/?ref_=fn_tt_tt_1,334,USA,PG-13,20000000,917,2.35,3000
Jessica Bendinger,103,31,733,Comedy|Drama|Sport,Jeff Bridges,14903,John Patrick Amedori,3,http://www.imdb.com/title/tt0430634/?ref_=fn_tt_tt_1,124,Germany,PG-13,,804,1.85,0
Robert Rodriguez,89,0,470,Comedy|Family|Fantasy,Jimmy Bennett,88422,Jake Short,4,http://www.imdb.com/title/tt1100119/?ref_=fn_tt_tt_1,37,USA,PG,40000000,570,1.85,431
Gus Van Sant,106,835,458,Comedy|Crime|Drama,Kurtwood Smith,3598,Holland Taylor,0,http://www.imdb.com/title/tt0114681/?ref_=fn_tt_tt_1,162,USA,R,20000000,967,1.85,1000
Henry Joost,96,24,374,Adventure|Crime|Mystery|Sci-Fi|Thriller,Samira Wiley,1780,Emily Meade,0,http://www.imdb.com/title/tt3531824/?ref_=fn_tt_tt_1,35,USA,PG-13,20000000,441,,0
Ed Harris,115,0,107,Crime|Drama|Western,Viggo Mortensen,10507,Tom Bower,0,http://www.imdb.com/title/tt0800308/?ref_=fn_tt_tt_1,202,USA,R,,311,2.35,0
John Carpenter,104,0,877,Action|Horror|Thriller,Sheryl Lee,5123,Maximilian Schell,0,http://www.imdb.com/title/tt0120877/?ref_=fn_tt_tt_1,403,USA,R,20000000,1000,2.35,0
,24,,,Action|Adventure|Animation|Family|Fantasy,Pablo Sevilla,0,,0,http://www.imdb.com/title/tt0249327/?ref_=fn_tt_tt_1,51,Japan,,,,,124
Alfred Hitchcock,108,13000,285,Horror|Mystery|Thriller,Janet Leigh,1885,John Gavin,2,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,1040,USA,R,806947,332,1.85,18000
Howard Deutch,112,41,490,Comedy|Romance,Dane Cook,3301,Riki Lindhome,3,http://www.imdb.com/title/tt1046163/?ref_=fn_tt_tt_1,100,USA,R,40000000,500,1.85,0
Shana Feste,104,19,942,Drama|Romance,Alex Pettyfer,18760,Rhys Wakefield,0,http://www.imdb.com/title/tt2318092/?ref_=fn_tt_tt_1,76,USA,PG-13,20000000,989,2.35,0
Garry Marshall,113,0,949,Comedy|Drama,Hector Elizondo,4039,Jane Fonda,3,http://www.imdb.com/title/tt0791304/?ref_=fn_tt_tt_1,125,USA,R,20000000,975,2.35,681
Steve Rash,98,15,281,Comedy,Mako,1761,Billy Barty,0,http://www.imdb.com/title/tt0083254/?ref_=fn_tt_tt_1,34,USA,PG,20000000,374,1.78,501
Richard Donner,121,503,83,Adventure|Comedy|Drama|Fantasy,Matthew Broderick,2251,Leo McKern,2,http://www.imdb.com/title/tt0089457/?ref_=fn_tt_tt_1,185,USA,PG-13,20000000,92,2.35,0
Mark Steven Johnson,114,160,271,Comedy|Drama|Family,Oliver Platt,1816,Dana Ivey,2,http://www.imdb.com/title/tt0124879/?ref_=fn_tt_tt_1,219,USA,PG,30000000,367,1.85,0
Mike Binder,124,57,905,Drama,Adam Sandler,17050,John de Lancie,2,http://www.imdb.com/title/tt0490204/?ref_=fn_tt_tt_1,231,USA,R,20000000,3000,2.35,0
Sean Penn,148,0,826,Adventure|Biography|Drama,Kristen Stewart,18752,Hal Holbrook,0,http://www.imdb.com/title/tt0758758/?ref_=fn_tt_tt_1,760,USA,R,15000000,882,2.35,76000
Todd Phillips,108,480,579,Comedy,Jon Heder,4374,Jacinda Barrett,1,http://www.imdb.com/title/tt0462519/?ref_=fn_tt_tt_1,97,USA,PG-13,20000000,931,2.35,484
Michael J. Bassett,95,83,206,Adventure|Drama|Horror|Mystery|Thriller,Radha Mitchell,2173,Martin Donovan,0,http://www.imdb.com/title/tt0938330/?ref_=fn_tt_tt_1,220,France,R,20000000,494,2.35,25000
Robert Rodriguez,108,0,844,Crime|Fantasy|Horror,Quentin Tarantino,23296,Cheech Marin,2,http://www.imdb.com/title/tt0116367/?ref_=fn_tt_tt_1,592,USA,R,19000000,4000,1.85,12000
Frank Nissen,68,0,253,Animation|Family|Fantasy|Mystery,Kath Soucie,861,John Fiedler,0,http://www.imdb.com/title/tt0407121/?ref_=fn_tt_tt_1,32,USA,G,20000000,286,1.85,264
Jodie Foster,103,0,801,Comedy|Drama|Romance,Robert Downey Jr.,25263,Steve Guttenberg,1,http://www.imdb.com/title/tt0113321/?ref_=fn_tt_tt_1,76,USA,PG-13,20000000,1000,1.85,0
Stephen Chow,99,0,59,Action|Comedy|Crime|Fantasy,Shengyi Huang,537,Qiu Yuen,1,http://www.imdb.com/title/tt0373074/?ref_=fn_tt_tt_1,354,Hong Kong,R,20000000,62,2.35,0
,30,,215,Comedy,Leah Remini,1557,Sharon Lawrence,2,http://www.imdb.com/title/tt0118315/?ref_=fn_tt_tt_1,6,USA,,,417,1.33,4
Peter Hastings,88,0,939,Comedy|Family|Music|Musical,Haley Joel Osment,8189,Stephen Root,1,http://www.imdb.com/title/tt0276033/?ref_=fn_tt_tt_1,75,USA,G,35000000,968,1.85,422
Marc Forster,128,395,161,Drama,Mustafa Haidari,904,Khalid Abdalla,0,http://www.imdb.com/title/tt0419887/?ref_=fn_tt_tt_1,230,USA,PG-13,20000000,206,2.35,0
Alejandro G. Iñárritu,124,0,430,Drama,Naomi Watts,7567,Danny Huston,0,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1,559,USA,R,20000000,979,1.85,0
Paul Abascal,84,2,472,Action|Crime|Drama|Thriller,Cole Hauser,2915,Kelly Carlson,0,http://www.imdb.com/title/tt0338325/?ref_=fn_tt_tt_1,138,USA,PG-13,20000000,555,2.35,269
Catherine Hardwicke,122,308,10000,Drama|Fantasy|Romance,Kristen Stewart,44061,Anna Kendrick,1,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,1535,USA,PG-13,37000000,12000,2.35,19000
Chris Koch,101,13,499,Comedy|Romance,Thomas Lennon,2698,James Brolin,3,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1,92,USA,PG-13,20000000,555,1.85,401
Amy Heckerling,98,143,153,Comedy|Romance,Andy Dick,1189,Zak Orth,2,http://www.imdb.com/title/tt0217630/?ref_=fn_tt_tt_1,158,USA,PG-13,20000000,216,1.85,1000
Michael Moore,105,909,173,Crime|Documentary|News,Ronald Reagan,2327,Bernie Sanders,0,http://www.imdb.com/title/tt1232207/?ref_=fn_tt_tt_1,188,USA,R,,909,1.85,10000
George Stevens,225,126,202,Biography|Drama|History,Martin Landau,1934,José Ferrer,6,http://www.imdb.com/title/tt0059245/?ref_=fn_tt_tt_1,100,USA,G,20000000,208,2.76,1000
Billy Ray,111,53,233,Crime|Drama|Mystery|Thriller,Julia Roberts,9941,Joe Cole,0,http://www.imdb.com/title/tt1741273/?ref_=fn_tt_tt_1,81,USA,PG-13,19500000,963,2.35,0
Jason Friedberg,88,82,329,Comedy,Carmen Electra,2857,Ike Barinholtz,0,http://www.imdb.com/title/tt1213644/?ref_=fn_tt_tt_1,359,USA,PG-13,25000000,624,1.85,0
Nimród Antal,88,190,163,Action|Crime|Thriller,Andrew Fiscella,137712,Lorna Raver,6,http://www.imdb.com/title/tt0913354/?ref_=fn_tt_tt_1,110,USA,PG-13,27000000,459,2.35,0
Jon Amiel,94,36,507,Action|Comedy|Crime|Thriller,Bill Murray,15183,Joanne Whalley,1,http://www.imdb.com/title/tt0120483/?ref_=fn_tt_tt_1,100,USA,PG,20000000,828,1.85,0
Mark Mylod,117,20,783,Comedy|Romance,Chris Evans,15713,Ed Begley Jr.,1,http://www.imdb.com/title/tt0770703/?ref_=fn_tt_tt_1,91,USA,R,20000000,904,1.85,0
James Mather,95,4,80,Action|Adventure|Sci-Fi|Thriller,Joseph Gilgun,1414,Jacky Ido,2,http://www.imdb.com/title/tt1592525/?ref_=fn_tt_tt_1,236,France,PG-13,20000000,447,2.35,10000
Barry Levinson,99,272,62,Comedy,Amy Poehler,1189,Sam Lerner,1,http://www.imdb.com/title/tt0326856/?ref_=fn_tt_tt_1,176,USA,PG-13,40000000,87,1.85,713
Mark Neveldine,96,83,926,Action|Crime|Sci-Fi|Thriller,Jason Statham,30541,David Carradine,0,http://www.imdb.com/title/tt1121931/?ref_=fn_tt_tt_1,223,USA,R,20000000,968,1.85,0
Woody Allen,98,11000,967,Comedy|Crime,Jim Broadbent,4302,Dianne Wiest,4,http://www.imdb.com/title/tt0109348/?ref_=fn_tt_tt_1,86,USA,R,20000000,979,1.85,979
Michael O. Sajbel,123,6,85,Biography|Drama|History,James Callis,908,Nimrat Kaur,0,http://www.imdb.com/title/tt0430431/?ref_=fn_tt_tt_1,177,USA,PG,20000000,249,2.35,0
Phillip Noyce,101,176,83,Drama|Mystery|Romance|Thriller|War,Brendan Fraser,3431,Holmes Osborne,2,http://www.imdb.com/title/tt0258068/?ref_=fn_tt_tt_1,199,UK,R,30000000,268,2.35,983
Gore Verbinski,102,563,385,Comedy|Drama,Nicolas Cage,13156,Michael Rispoli,1,http://www.imdb.com/title/tt0384680/?ref_=fn_tt_tt_1,316,USA,R,22000000,442,1.85,0
