num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,num_voted_users,facenumber_in_poster,movie_imdb_link,country,content_rating,budget,aspect_ratio,movie_facebook_likes
21,97,217,Ryan Cartwright,6691,2,http://www.imdb.com/title/tt0437954/?ref_=fn_tt_tt_1,Italy,R,38000000,1.85,366
86,130,534,Nicole Beharie,16673,0,http://www.imdb.com/title/tt0469903/?ref_=fn_tt_tt_1,USA,PG,40000000,2.35,0
194,112,724,Maggie Siff,55617,0,http://www.imdb.com/title/tt2304933/?ref_=fn_tt_tt_1,USA,PG-13,38000000,2.35,14000
437,133,531,Phylicia Rashad,146708,1,http://www.imdb.com/title/tt3076658/?ref_=fn_tt_tt_1,USA,PG-13,35000000,2.35,70000
378,150,206,Jon Hamm,280228,7,http://www.imdb.com/title/tt0840361/?ref_=fn_tt_tt_1,USA,R,37000000,2.35,29000
170,110,651,Dennis Quaid,57266,12,http://www.imdb.com/title/tt1586265/?ref_=fn_tt_tt_1,USA,PG-13,40000000,2.35,14000
341,96,681,Brad Pitt,248468,0,http://www.imdb.com/title/tt0887883/?ref_=fn_tt_tt_1,USA,R,37000000,1.85,0
139,96,35,Anthony Simcoe,28109,3,http://www.imdb.com/title/tt0410377/?ref_=fn_tt_tt_1,USA,PG,37000000,2.35,0
393,123,471,Olivia Wilde,312629,0,http://www.imdb.com/title/tt1979320/?ref_=fn_tt_tt_1,UK,R,38000000,2.35,83000
224,188,272,Neil Flynn,241030,1,http://www.imdb.com/title/tt0175880/?ref_=fn_tt_tt_1,USA,R,37000000,2.35,13000
203,107,574,Tracy Morgan,75347,2,http://www.imdb.com/title/tt1385867/?ref_=fn_tt_tt_1,USA,R,37000000,2.35,0
148,110,591,Damon Wayans Jr.,39440,4,http://www.imdb.com/title/tt1292566/?ref_=fn_tt_tt_1,USA,R,38000000,2.35,15000
131,113,631,Michael Roark,17948,5,http://www.imdb.com/title/tt1564349/?ref_=fn_tt_tt_1,USA,PG,37000000,1.85,0
350,122,10000,Taylor Lautner,348007,1,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,USA,PG-13,37000000,2.35,19000
129,116,644,Laura Harring,98899,1,http://www.imdb.com/title/tt0251160/?ref_=fn_tt_tt_1,USA,PG-13,36000000,1.85,0
40,93,405,Dave Chappelle,60572,1,http://www.imdb.com/title/tt0181316/?ref_=fn_tt_tt_1,USA,PG-13,65000000,1.85,0
289,118,651,Molly C. Quinn,316671,4,http://www.imdb.com/title/tt1723121/?ref_=fn_tt_tt_1,USA,R,37000000,2.35,35000
14,115,30,Fedor Bondarchuk,4387,0,http://www.imdb.com/title/tt0972558/?ref_=fn_tt_tt_1,Russia,,29500000,,240
72,93,263,M.C. Gainey,38399,0,http://www.imdb.com/title/tt0118771/?ref_=fn_tt_tt_1,USA,R,36000000,2.35,0
89,121,133,Klaus Maria Brandauer,48636,3,http://www.imdb.com/title/tt0086006/?ref_=fn_tt_tt_1,UK,PG,36000000,2.35,0
265,101,318,Collette Wolfe,139184,8,http://www.imdb.com/title/tt1231587/?ref_=fn_tt_tt_1,USA,R,36000000,1.85,12000
54,107,631,Taylor Blackwell,6069,0,http://www.imdb.com/title/tt2978462/?ref_=fn_tt_tt_1,USA,PG,36000000,1.85,0
126,124,475,James Frain,31113,0,http://www.imdb.com/title/tt0184858/?ref_=fn_tt_tt_1,USA,R,34000000,2.35,852
110,109,582,Jeff Kober,38348,0,http://www.imdb.com/title/tt0266465/?ref_=fn_tt_tt_1,USA,R,36000000,2.35,0
138,105,13000,Bradley Cooper,39778,1,http://www.imdb.com/title/tt1243974/?ref_=fn_tt_tt_1,USA,PG-13,37000000,1.85,11000
31,130,723,Virginia Madsen,8531,0,http://www.imdb.com/title/tt0116410/?ref_=fn_tt_tt_1,USA,PG-13,36000000,1.85,591
95,127,577,Reeve Carney,12375,1,http://www.imdb.com/title/tt0120834/?ref_=fn_tt_tt_1,USA,PG-13,36000000,2.35,846
267,114,2000,Colin O'Donoghue,75864,1,http://www.imdb.com/title/tt1161864/?ref_=fn_tt_tt_1,USA,PG-13,37000000,2.35,23000
175,106,263,Xander Berkeley,220591,2,http://www.imdb.com/title/tt0119177/?ref_=fn_tt_tt_1,USA,PG-13,36000000,2.35,17000
63,95,450,Nathan Lane,1977,0,http://www.imdb.com/title/tt0141399/?ref_=fn_tt_tt_1,USA,R,36000000,1.85,133
85,81,387,Kenan Thompson,8860,0,http://www.imdb.com/title/tt0482603/?ref_=fn_tt_tt_1,USA,G,37000000,2.35,279
44,95,642,Dylan Baker,15046,1,http://www.imdb.com/title/tt0325537/?ref_=fn_tt_tt_1,USA,PG-13,35200000,1.85,638
334,108,706,Rob Riggle,583341,3,http://www.imdb.com/title/tt1119646/?ref_=fn_tt_tt_1,USA,R,35000000,2.35,24000
78,105,51,Lynn Hung,21912,0,http://www.imdb.com/title/tt2888046/?ref_=fn_tt_tt_1,Hong Kong,PG-13,36000000,2.35,12000
199,95,481,Verne Troyer,181225,1,http://www.imdb.com/title/tt0145660/?ref_=fn_tt_tt_1,USA,PG-13,33000000,2.35,0
186,126,488,Jack Palance,269033,0,http://www.imdb.com/title/tt0096895/?ref_=fn_tt_tt_1,USA,PG-13,35000000,1.85,12000
77,102,785,Dougray Scott,3865,0,http://www.imdb.com/title/tt1316616/?ref_=fn_tt_tt_1,Spain,PG-13,36000000,2.35,2000
68,121,94,Nick Chinlund,128010,2,http://www.imdb.com/title/tt0104714/?ref_=fn_tt_tt_1,USA,R,35000000,2.35,0
261,129,624,Quinton Aaron,223127,0,http://www.imdb.com/title/tt0878804/?ref_=fn_tt_tt_1,USA,PG-13,29000000,1.85,38000
5,43,452,Aimee Garcia,2185,2,http://www.imdb.com/title/tt4085584/?ref_=fn_tt_tt_1,USA,TV-14,,16.0,0
122,88,640,Cheech Marin,84325,0,http://www.imdb.com/title/tt0227538/?ref_=fn_tt_tt_1,USA,PG,35000000,1.85,0
340,106,64,Lindsay Sloane,353442,5,http://www.imdb.com/title/tt1499658/?ref_=fn_tt_tt_1,USA,R,35000000,2.35,31000
493,110,538,Jeff Bridges,240962,0,http://www.imdb.com/title/tt1403865/?ref_=fn_tt_tt_1,USA,PG-13,38000000,2.35,36000
208,109,505,Anne Hathaway,286178,0,http://www.imdb.com/title/tt0458352/?ref_=fn_tt_tt_1,USA,PG-13,35000000,2.35,0
134,143,643,Nichelle Nichols,63330,2,http://www.imdb.com/title/tt0079945/?ref_=fn_tt_tt_1,USA,PG,35000000,2.35,0
275,120,680,Eric Stonestreet,97664,2,http://www.imdb.com/title/tt2024432/?ref_=fn_tt_tt_1,USA,R,35000000,2.35,17000
120,128,387,Robert Mitchum,127503,0,http://www.imdb.com/title/tt0101540/?ref_=fn_tt_tt_1,USA,R,35000000,2.35,0
144,123,1000,Jim Sturgess,191470,2,http://www.imdb.com/title/tt0478087/?ref_=fn_tt_tt_1,USA,PG-13,35000000,2.35,0
332,129,213,Randall Park,94241,1,http://www.imdb.com/title/tt3152624/?ref_=fn_tt_tt_1,Japan,R,35000000,2.35,25000
104,105,278,Nicole Sullivan,33887,2,http://www.imdb.com/title/tt0372237/?ref_=fn_tt_tt_1,USA,PG-13,35000000,1.85,919
116,162,362,Kristin Scott Thomas,142067,0,http://www.imdb.com/title/tt0116209/?ref_=fn_tt_tt_1,USA,R,27000000,1.85,0
177,138,210,Matt McCoy,414219,2,http://www.imdb.com/title/tt0119488/?ref_=fn_tt_tt_1,USA,R,35000000,2.35,11000
127,100,591,Kelly Preston,61321,3,http://www.imdb.com/title/tt0405325/?ref_=fn_tt_tt_1,USA,PG,35000000,2.35,0
83,90,945,Wilford Brimley,32416,0,http://www.imdb.com/title/tt0119360/?ref_=fn_tt_tt_1,USA,PG-13,35000000,1.85,0
97,108,25,Marg Helgenberger,61018,0,http://www.imdb.com/title/tt0114508/?ref_=fn_tt_tt_1,USA,R,35000000,2.35,0
256,101,574,Lin Shaye,149285,1,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,USA,X,1800000,1.85,10000
225,109,311,Jake Weber,79877,1,http://www.imdb.com/title/tt0209958/?ref_=fn_tt_tt_1,USA,R,33000000,2.35,0
83,132,80,Anne Parillaud,125219,1,http://www.imdb.com/title/tt0120744/?ref_=fn_tt_tt_1,USA,PG-13,35000000,1.85,0
160,123,426,Kevin Connolly,20827,0,http://www.imdb.com/title/tt1028576/?ref_=fn_tt_tt_1,USA,PG,35000000,2.35,0
191,87,691,Sarah Michelle Gellar,53786,0,http://www.imdb.com/title/tt0453556/?ref_=fn_tt_tt_1,Hong Kong,PG,34000000,2.35,0
74,109,568,Riley Smith,32370,1,http://www.imdb.com/title/tt0316465/?ref_=fn_tt_tt_1,USA,PG,35000000,1.85,0
238,109,923,Justin Timberlake,270228,2,http://www.imdb.com/title/tt1632708/?ref_=fn_tt_tt_1,USA,R,35000000,2.35,41000
177,92,190,Ike Barinholtz,28041,0,http://www.imdb.com/title/tt4438848/?ref_=fn_tt_tt_1,USA,R,35000000,2.35,0
405,125,825,Ruth Wilson,117719,2,http://www.imdb.com/title/tt2140373/?ref_=fn_tt_tt_1,USA,PG-13,35000000,2.35,39000
61,202,318,Delroy Lindo,63923,0,http://www.imdb.com/title/tt0104797/?ref_=fn_tt_tt_1,USA,PG-13,33000000,1.85,0
285,134,120,Maude Apatow,104005,2,http://www.imdb.com/title/tt1758830/?ref_=fn_tt_tt_1,USA,R,35000000,2.35,18000
124,88,931,Bernie Mac,31191,2,http://www.imdb.com/title/tt0976238/?ref_=fn_tt_tt_1,USA,PG,35000000,1.85,0
164,92,227,Kevin Grevioux,119974,1,http://www.imdb.com/title/tt0834001/?ref_=fn_tt_tt_1,USA,R,35000000,2.35,0
120,91,766,Christine Taylor,32157,3,http://www.imdb.com/title/tt0762114/?ref_=fn_tt_tt_1,USA,PG-13,35000000,2.35,913
90,75,553,Jon Heder,40651,2,http://www.imdb.com/title/tt0437863/?ref_=fn_tt_tt_1,USA,PG-13,33000000,1.85,0
120,98,664,Victor Webster,25883,2,http://www.imdb.com/title/tt0417001/?ref_=fn_tt_tt_1,USA,PG-13,30000000,2.35,0
117,147,646,Al Pacino,225122,2,http://www.imdb.com/title/tt0119008/?ref_=fn_tt_tt_1,USA,R,35000000,2.35,0
226,100,766,Jaymes Butler,198701,0,http://www.imdb.com/title/tt0120804/?ref_=fn_tt_tt_1,UK,R,33000000,1.85,0
223,120,723,Zelda Rubinstein,105446,0,http://www.imdb.com/title/tt0084516/?ref_=fn_tt_tt_1,USA,PG,10700000,2.35,11000
193,104,939,Tom Hanks,84131,1,http://www.imdb.com/title/tt0335245/?ref_=fn_tt_tt_1,USA,R,35000000,1.85,0
228,103,248,Beau Bridges,107772,1,http://www.imdb.com/title/tt0467197/?ref_=fn_tt_tt_1,Canada,PG-13,35000000,2.35,0
360,109,3000,Olivia Wilde,304318,2,http://www.imdb.com/title/tt1637688/?ref_=fn_tt_tt_1,USA,PG-13,40000000,2.35,52000
148,104,584,Noureen DeWulf,40654,0,http://www.imdb.com/title/tt1212436/?ref_=fn_tt_tt_1,USA,PG-13,35000000,2.35,0
128,112,196,Steve Howey,48019,4,http://www.imdb.com/title/tt0491152/?ref_=fn_tt_tt_1,USA,PG-13,35000000,1.85,13000
3,60,628,Kimberly Elise,1641,4,http://www.imdb.com/title/tt2368645/?ref_=fn_tt_tt_1,USA,,,,265
46,95,447,Marsha Thomason,30771,1,http://www.imdb.com/title/tt0265087/?ref_=fn_tt_tt_1,USA,PG-13,50000000,2.35,0
40,102,57,Vic Morrow,16323,1,http://www.imdb.com/title/tt0074174/?ref_=fn_tt_tt_1,USA,PG,,1.85,0
63,102,690,Raul Julia,53115,1,http://www.imdb.com/title/tt0111301/?ref_=fn_tt_tt_1,Japan,PG-13,35000000,2.35,0
193,150,95,Frank Finlay,497946,0,http://www.imdb.com/title/tt0253474/?ref_=fn_tt_tt_1,France,R,35000000,1.85,21000
208,122,140,Jason Flemyng,124765,1,http://www.imdb.com/title/tt0120681/?ref_=fn_tt_tt_1,USA,R,35000000,2.35,0
122,101,206,Hiam Abbass,8143,0,http://www.imdb.com/title/tt0762121/?ref_=fn_tt_tt_1,USA,PG,30000000,2.35,0
228,108,324,Paris Hilton,94456,0,http://www.imdb.com/title/tt0397065/?ref_=fn_tt_tt_1,Australia,R,30000000,1.85,0
212,98,23,Julia Roberts,168314,2,http://www.imdb.com/title/tt0376541/?ref_=fn_tt_tt_1,USA,R,27000000,1.85,12000
392,137,363,Naomi Watts,102728,0,http://www.imdb.com/title/tt1616195/?ref_=fn_tt_tt_1,USA,R,35000000,2.35,16000
208,112,844,Cameron Boyce,86205,0,http://www.imdb.com/title/tt0790686/?ref_=fn_tt_tt_1,USA,R,35000000,2.35,5000
137,101,531,Lena Olin,43991,2,http://www.imdb.com/title/tt0238546/?ref_=fn_tt_tt_1,USA,R,35000000,2.35,0
