actor_1_facebook_likes,plot_keywords,country
4000,1959 cadillac|diamonds|female villain|force field|voyeurism,USA
426,,Canada
368,blood splatter|ski mask|stolen money|vomiting|warehouse,USA
922,bar|box office flop|dance|one word title|voice over narration,USA
773,adultery|baptist church|dentist|double murder|tv mini series,UK
708,death|forensic|murder|profiler|serial killer,USA
2000,batman|joker|mutant|tattoo on breast|the joker,USA
21,,USA
603,castle|dragon|kidnapping|satire|sword and sorcery,Canada
2000,chess|drugs|love|meth|pawn,USA
795,desert|held at gunpoint|marine|revenge|sex on table,
1000,gang leader|italian woman|period piece|purgatory|suicide,UK
1000,belldon's hysteria|high anxiety|hitchcockian|murder|parody,USA
11000,chick|emperor penguin|journey|ocean|penguin,France
18000,capital management|financial crisis|financial disaster|investment fraud|management,USA
141,apartment|gay parent|job interview|male pubic hair|pubic hair,USA
1000,choking|friend|hospital|restaurant|scam,USA
24000,conservatory|drummer|emotional abuse|music school|obsession,USA
1000,coming of age|male frontal nudity|male nudity|photographer|slum,Brazil
798,friday|friend|hip hop|techno rave|weekend,UK
632,character name in title|depression|drugs|one word title,USA
11000,dead girl|girl|granddaughter|morgue|storage unit,USA
74,deer|gun|gunshot|hunt|kindergarten teacher,Denmark
662,bb gun|boy|bully|christmas|tongue stuck on a pole,USA
625,inter cultural|latino|restaurant|soccer|train,USA
595,back to school|city|high school|sadism|teacher,Canada
756,bare breasts,USA
631,love crime|love triangle|lust|sister sister relationship|unrequited love,USA
15,high school|inner city|school|student|teacher,France
917,devil worship|incubus|paranoia|raped by a demon|satanism,USA
756,friend|funeral|outlaw|pistol|stagecoach,USA
828,apartment|asperger's syndrome|children|teacher|writer,USA
280,colombia|colombian|drug mule|money|stomach,Colombia
1000,actress|cancer|death|french|gay relationship,USA
164000,bar|bloody body of child|dead boy|monster|vomiting,USA
1000,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,USA
387,bikini|covered in melted gold|fort knox|gold|pilot,UK
691,celebrity|injection|near future|scalpel|stabbed in the mouth,Canada
488,angel|bank|guardian angel|second chance|small town life,USA
2000,drug culture|drugs|filthy toilet|heroin addict|heroin withdrawal,UK
1000,backstage|comedian|concert film|emcee|stand up comedian,USA
438,california|carlsbad california|house|nanny|security camera,USA
773,dead body|death|lottery|small town|village,UK
909,bank|columbine|columbine high school killings|firearm|school shooting,Germany
878,amnesia|cultural revolution|husband wife relationship|memory|political prisoner,China
426,freddy krueger|gay|gay subtext|homoeroticism|jock strap,USA
687,male nudity|male pubic hair|nude bathing|piano|pubic hair,UK
942,class differences|killing spree|one night|suburb|violence,USA
1000,book|found footage|research|snuff film|writer,USA
71,actor name in title|colon in title|four word title|live performance|satire,USA
253,cancer|football|homosexuality|marriage|mississippi,USA
220,ape|astronaut|mission|planet|rescue,USA
2000,basketball|boy|dog|dog movie|golden retriever,USA
88,ash|father|mother|pokemon|professor,Japan
956,actual animal killed|death|jason voorhees|slasher flick|teen horror,USA
682,allies|bridge|construction|jungle|sabotage,UK
610,alien|halloween|killer robot|outer space|wrestler costume,USA
897,actor|diamond|heir|kidnapping|ransom,USA
516,apartment|elevator|elevator girl|love|mistress,USA
935,brutality|evil|jason voorhees|paranormal phenomena|terror,USA
18,defection|east germany|germany|iron curtain|scientist,USA
989,block party|marching band|neighborhood|new york city|tyrannosaurus rex,USA
13000,american west|bounty hunter|frontier|horse riding|outlaw,UK
685,actress shares first name with character|bar|car wash|city|d.j.,USA
1000,cocaine|package|slow motion scene|topless female nudity|wrong address,USA
556,1920s|evangelist|preacher|revival|traveling salesman,USA
877,judge|law|nazi|nuremberg|war crime,USA
927,apostrophe in title|bare breasts|female nudity|nude black woman|prom,USA
11,celebrity|robot|satire|sketch comedy|stop motion animation,USA
862,cattle|cattle drive|cowboy|kansas|texas,USA
939,female protagonist|size positive|thin|title directed by female|wet dream,USA
140,friend|greece|greek|hotel room|twin,USA
641,falling in love|glowing eyes|insult|teenager|three word title,USA
674,cemetery|female nudity|mortuary|sphere|tall man,USA
912,abuse|bishop|death|flashback|poverty,USA
953,education|factory|high school|mexican american|religious icon,USA
578,gallipoli|tv mini series|world war one,Australia
1000,ashram|india|love|tradition|widow,Canada
883,england|marriage|muslim|pakistani|salford,UK
472,dating|diner|masturbation|urination|washington square manhattan new york city,USA
729,courtesan|friend|kama sutra|seduction|wedding,USA
1000,apartment|first date|neighbor|new york|new york city,USA
240,candy|chocolate|factory|miniaturization|sudden change in size,USA
687,druid|eclipse|rune|scalping|warlock,USA
578,camera shot of feet|female stockinged feet|female stockinged soles|nude pantyhose|pantyhose,USA
820,farm|farm worker|grasshopper|harvest|wealth,USA
11000,attorney|happiness|house cleaner|physics|professor,USA
3000,best friend|bitch|friend|popular girl|prom,USA
10000,andy warhol|art|artist|friendship|street artist,USA
962,best friend|black and white|father daughter relationship|female protagonist|mother daughter relationship,USA
113,baby|bathing a baby|criminal|slum|vomiting,UK
22000,ensemble cast|episodic structure|satire|social satire|suburb,USA
489,african american|family relationships|stand up comedian|stand up comedy,USA
40000,canada|human becoming an animal|mad scientist|part of trilogy|walrus,USA
717,brother sister relationship|hypnosis|imprisonment|love|revenge,South Korea
439,cancer|faith|hope|letter|prayer,USA
694,hobo|pedophile|rampage|shotgun|vigilante,Canada
574,,Mexico
904,freeway|nightmare|police|school|trailer park,USA
702,19th century|faith|mayor|ranch|sheriff,USA
13000,15 year old|dancing|essex|little sister|suburb,UK
962,college|college campus|dance craze|depression|fraternity,USA
723,author cameo|family relationships|island|monster|two part tv movie,USA
4000,bachelorette party|drug use|high school|overdose|wedding dress,USA
786,brains|exploding head|politician|swarm behavior|washington d.c.,USA
912,based on a book|based on a novel|made for tv movie|music school|support,USA
536,film in film|man with glasses|reference to steven spielberg|self referential|shopping mall,USA
3000,dog|gambler|gambling|gangster|professor,USA
40,concierge|front desk|hotel|maid|prostitute,UK
289,friend|friendship|rowing|storm|summer camp,Germany
1000,,USA
487,blood splatter|chain|murder|mysterious killer|warning,USA
599,1955 chevrolet|nurse|peeping tom|reference to brooklyn dodgers|spying,USA
