actor_1_name,movie_title,actor_3_name,budget,imdb_score
Tony Chiu Wai Leung,The Grandmaster ,Elvis Tsui,38600000,6.5
Robert Pattinson,Water for Elephants ,James Frain,38000000,6.9
Joseph Gordon-Levitt,3rd Rock from the Sun             ,Kristen Johnston,,7.8
Blythe Auffarth,Dragon Nest: Warriors' Dawn ,Jiao Xu,40000000,6.4
Denzel Washington,The Hurricane ,Deborah Kara Unger,38000000,7.6
Bill Cobbs,Enough ,Billy Campbell,38000000,5.6
Sarah Silverman,Heartbreakers ,Jeffrey Jones,35000000,6.2
D.B. Woodside,Paul Blart: Mall Cop 2 ,Eduardo Verástegui,30000000,4.4
Sonia Braga,Angel Eyes ,Kari Matchett,38000000,5.6
Jim Belushi,Joe Somebody ,Kelly Lynch,38000000,5.5
Johnny Depp,The Ninth Gate ,Lena Olin,38000000,6.7
J.K. Simmons,Extreme Measures ,Bill Nunn,38000000,6.1
Beth Grant,Rock Star ,Matthew Glave,57000000,6.2
Mo'Nique,Precious ,Mariah Carey,10000000,7.3
Jeff Bridges,White Squall ,Ethan Embry,38000000,6.6
Wilford Brimley,The Thing ,David Clennon,15000000,8.2
Vin Diesel,Riddick ,Bokeem Woodbine,38000000,6.4
Gregory Scott Cummins,Switchback ,Ted Markland,37000000,6.4
Tom Skerritt,Texas Rangers ,Leonor Varela,38000000,5.2
Bill Murray,City of Ember ,Harry Treadaway,55000000,6.5
Mike Howard,The Master ,Bruce Goodchild,32000000,7.1
Hayden Christensen,Virgin Territory ,David Walliams,38000000,4.8
Dennis Quaid,The Express ,Charles S. Dutton,40000000,7.3
