num_critic_for_reviews,actor_3_facebook_likes,movie_title,plot_keywords,content_rating,title_year
3,304,Mutual Friends ,bromance|manhattan new york city|new york city|photograph|surprise,,2013
65,45,42nd Street ,chorus girl|chorus line|director|gala premiere|song,Unrated,1933
,0,Rise of the Entrepreneur: The Search for a Better Way ,business|entrepreneur|network marketing,G,2014
71,3,Metropolitan ,apartment|dancing|debutante|new york|upper class,PG-13,1990
34,19,As It Is in Heaven ,amazing grace the hymn|choir|heart attack|hometown|skidding truck,,2004
15,93,Roadside ,dog|gun|hostage|husband wife relationship|jealousy,,2013
220,482,Napoleon Dynamite ,class president|family relationships|friend|high school|jock,PG,2004
279,92,Blue Ruin ,blood splatter|car|neo noir|vengeance|vomiting,R,2013
409,21,Paranormal Activity ,dark force|entity|evil force|found footage|paranormal phenomenon,R,2007
86,5,Dogtown and Z-Boys ,california|drought|playground|skateboarding|surfer,PG-13,2001
131,332,Monty Python and the Holy Grail ,camelot|holy grail|king arthur|knight|lancelot,PG,1975
69,138,Quinceañera ,15th birthday|birthday|gay|party|security guard,R,2006
8,6,Gory Gory Hallelujah ,conspiracy|feminist|hippie|motorcycle|slapstick comedy,,2003
75,833,Heroes             ,father daughter relationship|serial killer|superhero|supernatural power|vision of the future,TV-14,
72,0,Tarnation ,answering machine|home movie|lithium|schizophrenic|video diary,Unrated,2003
4,12,I Want Your Money ,,PG,2010
9,271,Love in the Time of Monsters ,bigfoot|love|monster|sasquatch|tourist,,2014
203,22,The Beyond ,doctor|hell|hotel|painter|plumber,X,1981
11,6,Home Movies             ,coach|friend|school|series|tv series,TV-PG,
148,149,What Happens in Vegas ,casino|father son relationship|jackpot|judge|wedding,PG-13,2008
80,39,The Dark Hours ,brain tumor|champagne|game|psychiatrist|weekend,R,2005
46,33,My Beautiful Laundrette ,england|mistress|pakistani|politics|thatcher,R,1985
8,36,Fabled ,,R,2002
10,83,Show Me ,bathtub|implied incest|lesbian|squeegee|tied to a chair,R,2004
76,92,Cries & Whispers ,dying|love|mansion|selfishness|turn of the century,R,1972
69,9,Intolerance: Love's Struggle Throughout the Ages ,huguenot|intolerance|medicis|protestant|wedding,Not Rated,1916
43,513,Trekkies ,autograph|dentist|outer space|star trek|telephone call,PG,1997
36,4,The Broadway Melody ,sibling rivalry|singer|sister act|whistling|wisecrack humor,Passed,1929
304,58,The Evil Dead ,cult director|cult film|evil dead|necronomicon|psychotronic film,NC-17,1981
279,118,Maniac ,exhibition|mannequin|obsession|oral sex|photographer,Not Rated,2012
23,,Censored Voices ,,,2015
110,0,Murderball ,paralympics|quad rugby|rugby|team|wheelchair,R,2005
40,93,American Ninja 2: The Confrontation ,blood splatter|island|motorboat|ninja|sequel to cult film,R,1987
45,0,51 Birch Street ,address as title|number in title|parents,Unrated,2005
23,576,Revolution             ,2020s|near future|one word series title|post apocalypse|year 2027,TV-14,
4,0,Rotor DR1 ,drone|playing with gun|post apocalypse|road trip|working class family,,2015
318,598,Halloween ,halloween|masked killer|michael myers|slasher|trick or treat,R,1978
177,253,12 Angry Men ,courtroom|dialogue driven|dialogue driven storyline|jury|murder,Not Rated,1957
51,258,My Dog Tulip ,autobiography|dog movie|german shepherd|memoir|old man,,2009
124,21,It Happened One Night ,bus|detective|love|money|reporter,Unrated,1934
211,14,Dogtooth ,fellatio|isolated house|overprotective father|social isolation|unsimulated sex,Unrated,2009
26,321,Tupac: Resurrection ,hip hop|name in title|rap star|rapper|reference to tupac shakur,R,2003
64,276,Tumbleweeds ,boss|fight|reference to william shakespeare|white trash|written and directed by cast member,PG-13,1999
56,912,The Prophecy ,angel|corpse|girl|heaven|soul,R,1995
29,8,When the Cat's Away ,cat|homosexual sex|male homosexuality|neighborhood|noisy neighbor,R,1996
131,543,Pieces of April ,apartment|oven|stove|thanksgiving|thanksgiving dinner,PG-13,2003
4,2,The Big Swap ,breasts|female frontal nudity|jealousy|male full frontal nudity|male nudity,,1998
88,26,Old Joy ,cell phone|male frontal nudity|oregon|sexual ambiguity|title directed by female,Unrated,2006
189,26,Wendy and Lucy ,car|dog|flip phone|rape threat|vulnerable,R,2008
20,301,3 Backyards ,number in title,R,2010
96,0,Pierrot le Fou ,beach|money|on the run|party|smuggling,Not Rated,1965
27,,Sisters in Law ,,Not Rated,2005
15,,Ayurveda: Art of Being ,eastern philosophy|healing|india|life,,2001
24,87,Nothing But a Man ,1960s|father|railroad|town|worker,Not Rated,1964
16,104,"First Love, Last Rites ",listening to music|misfit|panties|red panties|sex,R,1997
13,25,Fighting Tommy Riley ,older man younger man relationship|punching bag|school teacher|undressing|unrequited love,R,2004
8,32,Royal Kill ,assassin|female assassin|kingdom|martial arts|mission,PG-13,2009
156,107,Across the Universe ,anti war|liverpool|love|protest|song,PG-13,2007
4,221,The Looking Glass ,,,2015
164,668,Death Race 2000 ,cult director|cult film|drive in classic|psychotronic|race,R,1975
10,309,Locker 13 ,digit in title|latino|life or death|philosophy|supernatural,R,2014
1,87,Midnight Cabaret ,cigarette smoking|death|devil|nightmare|satanic cult,R,1990
8,248,Anderson's Cross ,divorce|marriage|mother daughter relationship|sex|teenage boy,R,2010
9,0,Bizarre ,full frontal nudity|group shower|male full frontal nudity|male nudity|shower,Unrated,2015
78,180,Graduation Day ,coach|mask|school principal|team|track,R,1981
131,313,Some Guy Who Kills People ,,R,2011
286,235,Compliance ,authority|boss subordinate relationship|fast food restaurant|gullibility|telephone call,R,2012
147,781,Chasing Amy ,comic book|friendship|gay|lesbian|secret,R,1997
71,225,Lovely & Amazing ,african american|dog|homecoming queen|insecurity|surgery,R,2001
,99,Death Calls ,murder|oppression|rebirth|reincarnation|revenge,R,2010
51,13,Better Luck Tomorrow ,asian american|high school|overachiever|pubic hair|vomiting,R,2002
23,10,The Incredibly True Adventure of Two Girls in Love ,caught having sex|class|friend|lesbian|lesbian sex,R,1995
59,129,Chuck & Buck ,best friend|bisexuality|friend|gay kiss|sexuality,R,2000
9,51,American Desi ,college|desi|heritage|india|indian american,Unrated,2001
,185,Amidst the Devil's Wings ,,,2014
99,319,Cube ,escape|labyrinth|maze|red light|trap,R,1997
21,62,Love and Other Catastrophes ,film school|love|medical student|student|university,R,1996
19,0,I Married a Strange Person! ,claim in title|exclamation point in title|punctuation in title|reference to babe ruth|sex,R,1997
43,142,November ,female protagonist|murder|photographer|robbery|shot to death,R,2004
206,224,Like Crazy ,girlfriend|immigration|long distance relationship|parents|student visa,PG-13,2011
,270,Teeth and Blood ,blood|teeth,,2015
29,181,Sugar Town ,drugs|music producer|rock music|title directed by female|vegetarian,R,1999
27,7,The Motel ,absent father|asian american|friendship between men|motel|mother son relationship,,2005
162,461,The Canyons ,cocaine|homosexual|penis|psychopath|pubic hair,R,2013
11,250,Happy Valley             ,caravan|police|police sergeant|tied to a chair|yorkshire,TV-MA,
26,41,On the Outs ,dominican|drug dealer|prison|single mother|teenage pregnancy,R,2004
85,22,Shotgun Stories ,bare chested male|half brother|indifference|shotgun|violence,PG-13,2007
77,289,Exam ,band aid|hairpin|one day|single set production|unsubtitled foreign language,Not Rated,2009
8,5,The Sticky Fingers of Time ,future|nonlinear timeline|time travel|title directed by female|writer,,1997
5,73,Sunday School Musical ,church|competition|high school|new school|pastor,G,2008
3,3,Rust ,,PG,2010
66,76,Ink ,dream|self destructiveness|storyteller|time paradox|workaholic,,2009
4,104,The Christmas Bunny ,animal in title|christmas|farm|michigan|rabbit,PG,2010
,152,Jesus People ,mockumentary|single camera|subtle comedy,,2007
15,180,Butterfly ,breasts|female frontal nudity|female rear nudity|incest|voyeur,R,1982
1,0,UnDivided ,,PG,2013
12,89,The Frozen ,two word title,PG-13,2012
,224,The Love Letter ,antique|desk|letter|love|time travel,Unrated,1998
1,3,Horse Camp ,,PG,2014
6,670,Give Me Shelter ,independent film,,2014
48,6,The Big Parade ,chewing gum|climbing a tree|france|translation problems|world war one,Not Rated,1925
2,29,Little Big Top ,amateur|circus|clown|unconsciousness|urination,,2006
17,142,Along the Roadside ,,,2013
225,146,Bronson ,male full frontal nudity|prison|prisoner|solitary confinement|violence,R,2008
5,494,Western Religion ,arizona|gambling|gunfighter|poker game|year 1879,,2015
22,0,Burn ,abandoned building|detroit michigan|firefighter|michigan|urban setting,Not Rated,2012
38,131,Urbania ,hot dog bun|needle|new york|rat|tourist,R,2000
21,0,The Stewardesses ,female frontal nudity|female nudity|lesbian sex|lesbianism|sex,X,1969
67,21,"The Beast from 20,000 Fathoms ",arctic|beast|dinosaur|monster|rhedosaurus,Approved,1953
69,51,"20,000 Leagues Under the Sea ",captain|expedition|sea|submarine|whale,Approved,1954
208,28,Mad Max ,biker|motorcycle|motorcycle gang|post apocalypse|woman wearing only a man's shirt,R,1979
77,31,Swingers ,actor|black panties|cult film|friend|upskirt,R,1996
122,93,A Fistful of Dollars ,balladeer|bar|drifter|mexican|revenge,R,1964
35,28,She Done Him Wrong ,captain|marriage proposal|saloon|saloon singer|singer,Approved,1933
15,0,Short Cut to Nirvana: Kumbh Mela ,,Unrated,2004
25,16,The Grace Card ,christian film|forgiveness|hospital|pastor|police,PG-13,2010
37,305,Middle of Nowhere ,,R,2012
76,9,3 ,female nudity|full frontal female nudity|male frontal nudity|menage a trois|pubic hair,Unrated,2010
12,61,The Business of Fancydancing ,funeral|gay|native american protagonist|poet|reservation,,2002
7,15,Call + Response ,fair trade|human trafficking|non profit|rockumentary|slavery,PG-13,2008
450,273,Side Effects ,clinical trial|female protagonist|neuropharmacology|psychiatrist|side effect,R,2013
60,10,Malevolence ,abandoned house|bank|robber|swing|witness,R,2003
4,45,Shooting the Warwicks ,family relationships|husband wife relationship|nudity|reality|reality spoof,,2015
42,156,Super Hybrid ,based on comic book|blue bra and panties|female protagonist|girl in bra and panties|killer car,PG-13,2010
93,98,Baghead ,actor|cabin|california|paper bag|vomiting,R,2008
1,15,Solitude ,,,2014
16,0,The Case of the Grinning Cat ,,,2004
