num_critic_for_reviews,director_facebook_likes,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,num_user_for_reviews,actor_2_facebook_likes,imdb_score,aspect_ratio
328,0,Billy Boyd,Action|Adventure|Drama|Fantasy,Orlando Bloom,The Lord of the Rings: The Return of the King ,Bernard Hill,3189,857,8.9,2.35
294,0,Orlando Bloom,Action|Adventure|Drama|Fantasy,Christopher Lee,The Lord of the Rings: The Two Towers ,Billy Boyd,2417,5000,8.7,2.35
175,44,Djimon Hounsou,Action|Adventure|Fantasy,Jeff Bridges,Seventh Son ,Olivia Williams,154,3000,5.5,2.35
199,165,Noah Taylor,Action|Adventure|Fantasy|Thriller,Angelina Jolie Pitt,Lara Croft: Tomb Raider ,Chris Barrie,824,509,5.7,2.35
355,0,Morgan Freeman,Drama|Mystery|Romance|Sci-Fi|Thriller,Johnny Depp,Transcendence ,Clifton Collins Jr.,462,11000,6.3,2.35
198,394,Trevor Morgan,Action|Adventure|Sci-Fi|Thriller,Michael Jeter,Jurassic Park III ,Alessandro Nivola,1236,595,5.9,1.85
529,81,David Oyelowo,Action|Drama|Sci-Fi|Thriller,James Franco,Rise of the Planet of the Apes ,Tyler Labine,646,1000,7.6,2.35
198,70,Tod Fennell,Adventure|Family|Fantasy,Martin Short,The Spiderwick Chronicles ,Joan Plowright,125,419,6.6,2.35
412,212,Cole Hauser,Action|Thriller,Bruce Willis,A Good Day to Die Hard ,Megalyn Echikunwoke,503,787,5.3,1.85
106,102,Marc Blucas,Drama|History|War|Western,Dennis Quaid,The Alamo ,Jordi Mollà,267,973,6.0,2.35
283,663,Craig T. Nelson,Action|Adventure|Animation|Family,Holly Hunter,The Incredibles ,Lou Romano,815,723,8.0,2.35
61,212,Frank Langella,Action|Adventure|Comedy,Christopher Masterson,Cutthroat Island ,Matthew Modine,169,903,5.6,2.35
217,0,Rosario Dawson,Adventure|Family|Fantasy,Logan Lerman,Percy Jackson & the Olympians: The Lightning Thief ,Steve Coogan,419,3000,5.9,2.35
175,188,Rip Torn,Adventure|Comedy|Family|Mystery|Sci-Fi,Will Smith,Men in Black ,Linda Fiorentino,289,826,7.3,1.85
191,487,John Ratzenberger,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,Toy Story 2 ,Wayne Knight,515,1000,7.9,1.85
316,12000,Rosario Dawson,Action|Thriller,Denzel Washington,Unstoppable ,Ethan Suplee,326,3000,6.8,2.35
127,420,John Lone,Action|Comedy|Crime|Thriller,Mei Melançon,Rush Hour 2 ,Harris Yulin,394,165,6.6,2.35
185,0,Amber Valletta,Drama|Fantasy|Horror|Mystery|Thriller,Harrison Ford,What Lies Beneath ,Miranda Otto,683,627,6.6,2.35
191,97,Bobb'e J. Thompson,Animation|Comedy|Family|Sci-Fi,Will Forte,Cloudy with a Chance of Meatballs ,Al Roker,156,526,7.0,2.35
188,107,Maile Flanagan,Action|Adventure|Animation|Comedy|Family,Denis Leary,Ice Age: Dawn of the Dinosaurs ,Kelly Keaton,132,256,7.0,1.85
362,0,Adrian Martinez,Adventure|Comedy|Drama|Fantasy|Romance,Adam Scott,The Secret Life of Walter Mitty ,Joey Slotnick,515,806,7.3,2.35
181,368,LL Cool J,Action|Adventure|Comedy|Crime|Thriller,Bill Murray,Charlie's Angels ,Kelly Lynch,643,1000,5.5,2.35
352,17000,Matt Damon,Crime|Drama|Thriller,Leonardo DiCaprio,The Departed ,Ray Winstone,2054,13000,8.5,2.35
143,7,Harvey Fierstein,Adventure|Animation|Family|Fantasy|Musical|War,Ming-Na Wen,Mulan ,June Foray,222,500,7.5,1.66
308,0,Steve Coogan,Action|Comedy,Robert Downey Jr.,Tropic Thunder ,Brandon T. Jackson,577,1000,7.0,2.35
517,21000,Goran Visnjic,Crime|Drama|Mystery|Thriller,Robin Wright,The Girl with the Dragon Tattoo ,Joely Richardson,632,1000,7.8,2.35
148,323,Aldis Hodge,Action|Adventure|Thriller,Bruce Willis,Die Hard with a Vengeance ,Kevin Chamberlin,346,559,7.6,2.35
415,0,Eddie Marsan,Action|Adventure|Crime|Mystery|Thriller,Robert Downey Jr.,Sherlock Holmes ,Robert Maillet,621,979,7.6,1.85
1,335,Ayelet Zurer,Adventure|Drama|History,Morgan Freeman,Ben-Hur ,Moises Arias,1,745,6.1,2.35
146,21,Jim Varney,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,Leonard Nimoy,Atlantis: The Lost Empire ,Cree Summer,289,802,6.8,2.35
70,12,Joshua Mikel,Adventure|Animation|Comedy|Family|Fantasy|Music,Bella Thorne,Alvin and the Chipmunks: The Road Chip ,Jesse McCartney,53,1000,5.0,1.85
269,0,Tom Wilkinson,Drama|History|Thriller|War,Tom Cruise,Valkyrie ,Thomas Kretschmann,440,1000,7.1,1.85
198,221,Sayed Badreya,Action|Comedy,Adam Sandler,You Don't Mess with the Zohan ,Kevin Nealon,380,600,5.5,1.85
253,0,Adam Sandler,Action|Animation|Comedy|Sci-Fi,Peter Dinklage,Pixels ,Josh Gad,342,11000,5.6,2.35
281,14000,William Hurt,Adventure|Drama|Sci-Fi,Haley Joel Osment,A.I. Artificial Intelligence ,Kevin Sussman,2153,882,7.1,1.85
