actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,content_rating,actor_2_facebook_likes,aspect_ratio
Jake Gyllenhaal,Accidental Love ,5006,Beverly D'Angelo,5,PG-13,980,1.85
Paul Hogan,Flipper ,8008,Jessica Wesson,1,PG,95,2.35
Ryan Reynolds,Self/less ,57674,Sandra Ellis Lafferty,0,PG-13,543,2.35
Archie Panjabi,The Constant Gardener ,111351,Donald Sumpter,0,R,430,1.85
Christo Jivkov,The Passion of the Christ ,179235,Hristo Shopov,0,R,252,2.35
Robin Williams,Mrs. Doubtfire ,181380,Matthew Lawrence,5,PG-13,1000,2.35
Tom Cruise,Rain Man ,383784,Beth Grant,3,R,898,1.85
Clint Eastwood,Gran Torino ,561773,Ahney Her,0,R,601,2.35
Toby Jones,W. ,40941,Bruce McGill,1,PG-13,826,2.35
Liam Neeson,Taken ,483756,Xander Berkeley,0,PG-13,816,2.35
Luke Bracey,The Best of Me ,43084,Clarke Peters,0,PG-13,523,2.35
Bill Cobbs,The Bodyguard ,89972,DeVaughn Nixon,0,R,854,1.85
Liam Neeson,Schindler's List ,865020,Caroline Goodall,0,R,795,1.85
Emma Stone,The Help ,318955,Mike Vogel,2,PG-13,3000,1.85
Benedict Cumberbatch,The Fifth Estate ,29282,Jamie Blackley,1,R,17000,2.35
Sarah Michelle Gellar,Scooby-Doo 2: Monsters Unleashed ,33180,Tim Blake Nelson,0,PG,2000,1.85
Jason Flemyng,Viy ,3170,Agnia Ditkovskite,1,,65,1.85
Katharine Isabelle,Freddy vs. Jason ,89101,Zack Ward,0,R,782,2.35
Cara Delevingne,The Face of an Angel ,2863,Sara Stewart,2,Not Rated,213,2.35
Martin Short,Jimmy Neutron: Boy Genius ,23943,Andrea Martin,0,G,677,1.85
Mike Vogel,Cloverfield ,296787,Liza Lapira,0,PG-13,1000,1.85
Kevin Nash,Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,42765,Ernie Reyes Jr.,0,PG,533,1.85
Robert De Niro,The Untouchables ,219008,Charles Martin Smith,1,R,371,2.35
Kelly Macdonald,No Country for Old Men ,612060,Barry Corbin,0,R,939,2.35
Bruce McGill,Ride Along ,75903,Bryan Callen,1,PG-13,521,2.35
Colin Firth,Bridget Jones's Diary ,171568,Shirley Henderson,3,R,1000,2.35
Lena Olin,Chocolat ,150308,Hugh O'Conor,1,PG-13,399,1.85
Mary Lynn Rajskub,"Legally Blonde 2: Red, White & Blonde ",46417,Bob Newhart,2,PG-13,655,1.85
Bailee Madison,Parental Guidance ,21176,Tom Everett Scott,5,PG,448,1.85
Natalie Portman,No Strings Attached ,168717,Mindy Kaling,1,R,962,2.35
Michael Biehn,Tombstone ,95241,Powers Boothe,0,R,722,2.35
Jet Li,Romeo Must Die ,57040,Aaliyah,1,R,848,2.35
Lee Remick,The Omen ,80958,Billie Whitelaw,2,R,139,2.35
Chelan Simmons,Final Destination 3 ,102861,Crystal Lowe,0,R,346,2.35
Blythe Danner,The Lucky One ,76882,Jay R. Ferguson,0,PG-13,220,2.35
Josh Hutcherson,Bridge to Terabithia ,110390,Bailee Madison,3,PG,11000,1.85
Johnny Depp,Finding Neverland ,174591,Kelly Macdonald,1,PG,14000,2.35
Alicia Witt,A Madea Christmas ,4265,Larry the Cable Guy,0,PG-13,521,1.85
Liam Neeson,The Grey ,203111,James Badge Dale,1,R,798,2.35
Robert De Niro,Hide and Seek ,70205,Robert John Burke,0,R,812,2.35
Darcy Donavan,Anchorman: The Legend of Ron Burgundy ,267921,Steve Carell,5,PG-13,8000,1.85
Robert De Niro,Goodfellas ,728685,Paul Sorvino,3,R,854,1.85
Daniel Roebuck,Agent Cody Banks ,26755,Chris Gauthier,3,PG,934,2.35
Colin Firth,Nanny McPhee ,49676,Imelda Staunton,0,PG,2000,2.35
Al Pacino,Scarface ,537442,Mary Elizabeth Mastrantonio,0,R,670,2.35
Kelly Preston,Nothing to Lose ,36253,Rebecca Gayheart,2,R,658,1.85
Cary-Hiroyuki Tagawa,The Last Emperor ,70274,Victor Wong,0,PG-13,643,2.35
J.K. Simmons,Contraband ,101977,Lukas Haas,3,R,736,2.35
Heather Locklear,Money Talks ,22748,Faizon Love,2,R,635,2.35
Jim Meskimen,There Will Be Blood ,372990,Kevin Breznahan,0,R,111,2.35
Alfre Woodard,The Wild Thornberrys Movie ,12218,Cree Summer,0,PG,535,2.35
Elizabeth Daily,Rugrats Go Wild ,5674,Nancy Cartwright,0,PG,503,2.35
Dave Chappelle,Undercover Brother ,29661,Chi McBride,3,PG-13,489,1.85
Mike Vogel,The Sisterhood of the Traveling Pants ,44838,Kyle Schmid,0,PG,953,2.35
Jet Li,Kiss of the Dragon ,53126,Max Ryan,1,R,888,2.35
Emma Stone,The House Bunny ,63969,Beverly D'Angelo,1,PG-13,852,2.35
Alfre Woodard,Beauty Shop ,13194,LisaRaye McCoy,1,PG-13,619,2.35
Jon Hamm,Million Dollar Arm ,35833,Gregory Alan Williams,0,PG,774,2.39
Jeff Bridges,The Giver ,86251,Alexander Skarsgård,3,PG-13,11000,2.35
Colin Firth,What a Girl Wants ,48095,Kelly Preston,1,PG,1000,2.35
Nicki Aycox,Jeepers Creepers II ,45102,Billy Aaron Brown,0,R,270,2.35
Dane Cook,Good Luck Chuck ,74622,Chelan Simmons,1,R,562,1.85
Jet Li,Cradle 2 the Grave ,34942,DMX,2,R,618,2.35
Meryl Streep,The Hours ,102123,Miranda Richardson,3,PG-13,577,1.85
Channing Tatum,She's the Man ,116762,Laura Ramsey,0,PG-13,1000,1.85
Lily Atkinson,Mr. Bean's Holiday ,88714,Steve Pemberton,0,PG,132,1.85
Nicholas Gonzalez,Anacondas: The Hunt for the Blood Orchid ,22243,Johnny Messner,0,PG-13,543,2.35
Mila Kunis,Blood Ties ,14612,Billy Crudup,6,R,960,2.35
Robin Williams,August Rush ,87331,Marian Seldes,0,PG,702,2.35
Fanny Ardant,Elizabeth ,75973,Eric Cantona,1,R,249,1.85
Alexis Arquette,Bride of Chucky ,39768,Vince Corazza,0,R,81,1.85
Joseph Cotten,Tora! Tora! Tora! ,25019,James Whitmore,0,G,377,2.35
Jason Flemyng,Spice World ,28377,Victoria Beckham,1,PG,401,1.85
Ari Graynor,The Sitter ,60202,Kylie Bunbury,3,R,555,1.85
Damon Wayans Jr.,Dance Flick ,10161,Chris Elliott,0,PG-13,713,1.85
Morgan Freeman,The Shawshank Redemption ,1689764,Bob Gunton,0,R,745,1.85
Jere Burns,Crocodile Dundee in Los Angeles ,19699,Linda Kozlowski,0,PG,442,1.85
Bill Murray,Kingpin ,63459,Richard Tyson,2,PG-13,852,2.35
George Kennedy,The Gambler ,48559,Griffin Cleveland,1,R,571,2.35
Benedict Cumberbatch,August: Osage County ,67797,Julia Roberts,3,R,11000,2.35
Connie Ray,Ice Princess ,19737,Amy Stewart,2,G,89,1.85
Aimee Garcia,A Lot Like Love ,58297,James Read,3,PG-13,172,1.85
Hugh Jackman,Eddie the Eagle ,32507,Tim McInnerny,3,PG-13,732,2.35
Denzel Washington,He Got Game ,36108,Rosario Dawson,0,R,14000,1.85
Johnny Depp,Don Juan DeMarco ,41310,Faye Dunaway,3,PG-13,10000,1.85
Justin Fletcher,Shaun the Sheep             ,7968,Kate Harbour,0,TV-G,7,
Channing Tatum,Dear John ,104356,Scott Porter,,PG-13,861,2.35
Chris Evans,The Losers ,74691,Óscar Jaenada,1,PG-13,673,2.35
Bailee Madison,Don't Be Afraid of the Dark ,40776,Jack Thompson,1,R,441,1.85
Jason Statham,War ,72673,Nadine Velazquez,0,R,5000,2.35
Adam Sandler,Punch-Drunk Love ,109855,Don McManus,0,R,876,2.35
Matt Damon,EuroTrip ,162067,Jacob Pitts,5,R,634,1.85
Claudia Christian,Half Past Dead ,12263,Tony Plana,0,PG-13,444,1.85
Tyler James Williams,Unaccompanied Minors ,8398,B.J. Novak,1,PG,839,2.35
Dianne Wiest,"Bright Lights, Big City ",5817,Swoosie Kurtz,0,R,767,1.85
