director_name,actor_2_name,actor_1_facebook_likes,gross,genres,cast_total_facebook_likes,actor_3_name,plot_keywords,num_user_for_reviews,country,budget,actor_2_facebook_likes,imdb_score
Harold Ramis,Frances O'Connor,3000,37879996,Comedy|Fantasy|Romance,5390,Brian Doyle-Murray,contract|devil|dream|soul|wish,254,USA,48000000,575,6.0
Francis Ford Coppola,Bob Hoskins,12000,25900000,Crime|Drama|Music,18793,Fred Gwynne,brothers hugging|jazz|jealousy|nudity|parole violation,84,USA,58000000,5000,6.5
James Mangold,Logan Lerman,23000,53574088,Adventure|Crime|Drama|Western,33548,Gretchen Mol,outlaw|rancher|small western town|stagecoach|train,560,USA,55000000,8000,7.8
Olivier Megaton,Dougray Scott,14000,89253340,Action|Thriller,16967,Jon Gries,betrayal|death|final showdown|murder|on the run,323,France,48000000,794,6.0
Steven Soderbergh,Albert Brooks,3000,37339525,Crime|Drama|Romance|Thriller,3768,Keith Hudson,heist|neo noir|one last job|opposites attract|u.s. marshal,307,USA,48000000,745,7.0
Ben Stiller,Janeane Garofalo,2000,60154431,Comedy|Drama|Thriller,3718,Andy Dick,cable guy|foreplay|friend|kissing|television,345,USA,47000000,1000,6.0
Deepa Mehta,Gulshan Grover,113,528972,Drama|Romance|War,371,Eric Peterson,friend|hindu|india|muslim|sikh,55,India,,102,7.8
Warren Beatty,Warren Beatty,678,103738726,Action|Comedy|Crime|Music|Romance|Thriller,2096,Seymour Cassel,crime boss|detective|dick tracy|gangster|orphan,164,USA,100000000,631,6.1
John McTiernan,Faye Dunaway,1000,69304264,Crime|Romance|Thriller,4660,Denis Leary,art|insurance investigator|martinique|painting|trust,419,USA,48000000,977,6.8
Penny Marshall,Adam Garcia,919,29781453,Biography|Comedy|Drama,4796,Alissa Dean,boy|college|heroin|working class|writer,210,USA,48000000,811,6.4
Ted Kotcheff,Brian Dennehy,13000,,Action|Adventure|Drama,15192,Chris Mulkey,1980s|colonel|deputy|rambo|sheriff,376,USA,14000000,954,7.7
Andrei Tarkovsky,Anatoliy Solonitsyn,29,,Drama|Mystery|Sci-Fi,95,Natalya Bondarchuk,hallucination|ocean|psychologist|scientist|space station,236,Soviet Union,1000000,29,8.1
Paul Bolger,George Carlin,4000,15519841,Adventure|Animation|Comedy|Family|Fantasy,6863,Rob Paulsen,apostrophe in title|cinderella|first of series|punctuation in title|three word title,71,USA,47000000,769,4.5
Stephen Frears,Bronagh Gallagher,8000,5600000,Drama|Horror|Romance|Thriller,8349,George Cole,19th century|butler|housemaid|laboratory|servant,97,USA,47000000,115,5.8
P.J. Hogan,Christopher Masterson,8000,126805112,Comedy|Romance,12344,Rupert Everett,best friend|chick flick|male female friendship|promise|wedding,169,USA,46000000,1000,6.3
Joe Roth,Rainn Wilson,8000,93607673,Comedy|Romance,9176,Larry King,actor|love|movie star|press|publicist,343,USA,48000000,973,5.7
Christopher Nolan,Maura Tierney,14000,67263182,Drama|Mystery|Thriller,15658,Crystal Lowe,detective|insomnia|murder|partner|police,651,USA,46000000,509,7.2
Jonathan Frakes,Alfre Woodard,1000,92001027,Action|Adventure|Drama|Sci-Fi|Thriller,6315,Jonathan Frakes,21st century|borg|borg sphere|captain|sphere,286,USA,45000000,1000,7.6
Jimmy Hayward,Billy Blair,13000,10539414,Action|Drama|Fantasy|Thriller|Western,14619,Julia Jones,confederate|death|independence day|military|terrorist,176,USA,47000000,541,4.7
Edward Zwick,Matt Damon,18000,58918501,Action|Drama|Mystery|Thriller|War,33233,Scott Glenn,bravery|honor|medal of honor|military life|unreliable flashback,107,USA,46000000,13000,6.6
Tom Shadyac,Swoosie Kurtz,509,181395380,Comedy|Fantasy|Romance,2070,Randall 'Tex' Cobb,birthday|birthday wish|father disappoints child|lie|workaholic,243,USA,45000000,418,6.8
Brad Furman,Amy Ryan,788,14946229,Biography|Crime|Drama|Thriller,2104,Olympia Dukakis,,29,UK,25000000,423,7.3
Terence Young,Ben Gazzara,1000,,Drama|History|War,2704,Jacqueline Bisset,1950s|douglas macarthur|general|inchon|invasion,16,South Korea,48000000,623,2.7
Brian Levant,Elizabeth Perkins,924,130512915,Comedy|Family|Fantasy,3244,Harvey Korman,1000000 b.c.|box office hit|lawn mowing|product placement|stone age,85,USA,45000000,664,4.8
Olivier Megaton,Luke Grimes,14000,139852971,Action|Crime|Thriller,16410,D.B. Sweeney,albanian|revenge|revenge motive|teenage daughter|vacation,461,France,45000000,935,6.3
David Zucker,Pamela Anderson,807,110000082,Comedy,3629,Jenny McCarthy,crop circle|farm|orchestral music score|reference to michael jackson|videotape,347,USA,48000000,780,5.5
Donald Petrie,Wendy Raquel Robinson,545,106807667,Action|Comedy|Crime|Romance,1574,Heather Burns,beauty pageant|fbi|female agent|pageant|undercover,370,USA,45000000,337,6.2
Eric Brevig,Brendan Fraser,14000,101702060,Action|Adventure|Family|Fantasy|Sci-Fi,17925,Anita Briem,cave|lost world|missing brother|mountain|venus flytrap,212,USA,45000000,3000,5.8
Garry Marshall,Raven-Symoné,11000,95149435,Comedy|Family|Romance,15362,Hector Elizondo,coronation|horse|princess|queen|side saddle,152,USA,40000000,1000,5.7
Alan J. Pakula,Julia Roberts,18000,100768056,Crime|Drama|Mystery|Thriller,30063,Tony Goldwyn,college professor|fbi|president|professor|supreme court,89,USA,45000000,8000,6.5
Joel Schumacher,Anthony LaPaglia,821,92115211,Crime|Drama|Mystery|Thriller,4043,Brad Renfro,boy|brother|lawyer|mafia|senator,94,USA,45000000,577,6.7
Rob Reiner,Noel Gugliemi,11000,93452056,Adventure|Comedy|Drama,14868,Sean Hayes,billionaire|friend|hospital|list|mechanic,310,USA,45000000,2000,7.4
Phillip Noyce,Polly Walker,11000,83287363,Action|Thriller,12757,Patrick Bergin,analyst|cia|ira|terrorist|terrorist attack,137,USA,45000000,530,6.9
Robert Luketic,Jane Fonda,3000,82931301,Comedy|Romance,6292,Elaine Stritch,breakdown|fight|mother in law|scheme|wedding,228,Germany,60000000,949,5.5
Denis Villeneuve,Jake Gyllenhaal,20000,60962878,Crime|Drama|Mystery|Thriller,37321,Dylan Minnette,child abduction|detective|investigation|police|sex offender,620,USA,46000000,15000,8.1
Antoine Fuqua,Snoop Dogg,18000,76261036,Crime|Drama|Thriller,22370,Tom Berenger,lapd|narc|narcotics|title spoken by character|training,633,USA,45000000,881,7.7
Dean Parisot,Enrico Colantoni,25000,71423726,Adventure|Comedy|Sci-Fi,26998,Robin Sachs,alien|alien race|convention|fan|general,609,USA,45000000,724,7.3
Keenen Ivory Wayans,Veronica Cartwright,1000,71277420,Comedy,1645,Andy Richter,blow job|demon|exorcism|priest|professor,548,USA,45000000,422,5.2
James Bobin,Eric Jacobson,970,88625922,Adventure|Comedy|Family|Musical,1336,Steve Whitmire,bel air california|book|friends who live together|the muppets|tribute band,252,USA,45000000,91,7.1
Stephen Norrington,Traci Lords,886,70001065,Action|Horror,3174,Udo Kier,1990s|blade|blood|vampire|vampire hunter,582,USA,45000000,650,7.1
Thomas Carter,Rick Gonzalez,17000,67253092,Drama|Sport,20299,Robert Ri'chard,basketball|basketball coach|coach|contract|high school,209,USA,30000000,807,7.2
Roger Michell,Matt Malloy,521,66790248,Drama|Thriller,758,Bruce Altman,car accident|feud|lawyer|revenge|road rage,350,USA,45000000,108,6.5
Luis Llosa,Eric Stoltz,2000,65557989,Action|Adventure|Horror|Thriller,3717,Kari Wuhrer,amazon|anaconda|boat|jungle|snake,271,USA,45000000,902,4.6
David McNally,Tyra Banks,811,60786269,Comedy|Drama|Music|Romance,3106,Izabella Miko,girl in panties|lift skirt|sexual attraction|short shorts|songwriter,379,USA,45000000,625,5.6
Richard Curtis,Liam Neeson,14000,59365105,Comedy|Drama|Romance,28886,Kris Marshall,aging rocker|christmas|love at first sight|minister|prime minister,1004,UK,45000000,14000,7.7
John Lasseter,Madeline Kahn,18000,162792677,Adventure|Animation|Comedy|Family|Fantasy,24205,John Ratzenberger,ant|circus|grasshopper|misunderstanding|overhearing,317,USA,120000000,1000,7.2
Albert Hughes,Jason Flemyng,40000,31598308,Horror|Mystery|Thriller,41636,Ian Richardson,freemason|jack the ripper|opium|prostitute|victorian era,541,USA,35000000,1000,6.8
Luis Llosa,Rod Steiger,13000,57362581,Action|Crime|Drama|Romance|Thriller,13331,Emilio Estefan Jr.,bomb|cia|explosive|explosives expert|miami florida,116,Peru,45000000,279,5.4
Ron Shelton,Cheech Marin,982,53854588,Comedy|Drama|Romance|Sport,3648,Rene Russo,driving range|golf|golfer|tournament|winnebago,73,USA,45000000,843,6.3
Melville Shavelson,Tom Bosley,6000,,Comedy|Family,7493,Tim Matheson,nurse|parent|sibling|widow|widower,61,USA,2500000,584,7.2
Jesse Dylan,Will Ferrell,14000,52580895,Comedy|Family|Romance|Sport,27351,Robert Duvall,book|child|slapstick comedy|soccer|suburb,118,USA,45000000,8000,5.6
Garth Jennings,Kelly Macdonald,11000,51019112,Adventure|Comedy|Sci-Fi,14073,Thomas Lennon,alien|friend|galaxy|hyperspace|spaceship,1053,USA,50000000,2000,6.8
Joel Zwick,Nick Zano,1000,48114556,Comedy|Family|Fantasy|Romance,4604,Alice Greczyn,animated sequence|junkyard|love|party|television,91,USA,26000000,641,4.3
Russell Mulcahy,Mike Epps,14000,50648679,Action|Horror|Sci-Fi|Thriller,16225,James Tumminia,clone|convoy|crow|desert|satellite,348,France,45000000,706,6.3
Frank Coraci,Adam Sandler,35000,46280507,Comedy|Romance,49743,Joel McHale,blind date|children|date|daughter|son,184,USA,40000000,11000,6.5
Wayne Wang,Alicia Witt,1000,38360195,Adventure|Comedy|Drama,3757,Timothy Hutton,chef|congressman|cook|hotel|senator,116,USA,45000000,976,6.4
Curtis Hanson,Glenn Morshower,11000,46815748,Action|Adventure|Crime|Thriller,12161,William Lucking,criminal|rafting|river|robber|white water rafting,69,USA,45000000,894,6.3
Frank Oz,Vincent Kartheiser,1000,35617599,Drama|Family|Fantasy,2965,David Keith,best friend|birthday|boy|friend|magic,47,USA,45000000,845,5.9
Oliver Stone,Shea Whigham,749,47307550,Crime|Drama|Thriller,1948,Gary Stretch,arms tied overhead|damsel in distress|dea|marijuana|southern california,269,USA,45000000,463,6.5
David R. Ellis,Valerie Cruz,550,32003620,Action|Crime|Thriller,1102,Will Beinbrink,cell phone|distress signal|family in danger|police|stealing a car,355,USA,25000000,216,6.5
Peter Howitt,Natalie Imbruglia,427,27972410,Action|Adventure|Comedy,1461,Ben Miller,british|crown jewels|explosion|funeral|spy,285,UK,35000000,304,6.1
John A. Davis,Meryl Streep,12000,28133159,Adventure|Animation|Comedy|Family|Fantasy,33822,Julia Roberts,ant|miniaturization|punishment|shrinking|sudden change in size,70,USA,50000000,11000,5.9
David Lynch,Jürgen Prochnow,913,27400000,Action|Adventure|Sci-Fi,2449,José Ferrer,desert planet|dune|giant worm|space travel|spice,569,USA,40000000,362,6.6
Julie Taymor,T.V. Carpio,5000,24343673,Drama|Fantasy|Musical|Romance,5405,Robert Clohessy,anti war|liverpool|love|protest|song,524,USA,45000000,117,7.4
Sam Mendes,Kate Winslet,29000,22877808,Drama|Romance,53895,Joe Komara,based on novel|children|connecticut|suburb|work,414,USA,35000000,14000,7.3
Richard Donner,David Zayas,13000,36883539,Action|Crime|Drama|Thriller,15053,Sasha Roiz,alcoholic|courthouse|detective|jail|witness,305,Germany,52000000,929,6.6
Mathieu Kassovitz,Charlotte Rampling,14000,22531698,Action|Adventure|Sci-Fi|Thriller,15990,David Belle,box office flop|convent|mercenary|new york|pregnant,214,France,70000000,844,5.6
John Gray,Bob Gunton,2000,20400913,Action|Comedy|Crime|Drama|Thriller,3855,Keenen Ivory Wayans,detective|heavy rain|murder|partner|serial killer,80,USA,45000000,461,5.3
Harold Ramis,Brian Doyle-Murray,905,20101861,Comedy|Romance|Sci-Fi,2348,Obba Babatundé,clone|cloning|construction|same actor playing two characters simultaneously on screen|year 1996,81,USA,45000000,484,6.0
John Schultz,Carter Jenkins,1000,25200412,Adventure|Comedy|Family|Fantasy|Sci-Fi,3423,Tim Meadows,alien|attic|boyfriend|mind control|nintendo ds,55,USA,45000000,701,5.4
Sean Penn,Adrien Dorval,723,19719930,Crime|Drama|Mystery|Thriller,793,Nels Lennarson,nevada|pledge|police|porcupine|search,531,USA,45000000,44,6.8
Susan Stroman,Will Ferrell,11000,19377727,Comedy|Musical,24351,Matthew Broderick,accountant|money|opening night|scheme|swedish,409,USA,45000000,8000,6.4
Pete Travis,Jason Cope,409,13401683,Action|Sci-Fi,578,Rakie Ayola,brutality|dark humor|female antagonist|female warrior|post apocalypse,588,UK,35000000,107,7.1
Simon Wincer,Treat Williams,1000,17300889,Action|Adventure|Comedy|Fantasy,3855,Kristy Swanson,ghost|new york city|phantom|skull|superhero,148,Australia,45000000,642,4.9
Billy Bob Thornton,Henry Thomas,13000,15527125,Drama|Romance|Western,15006,Sam Shepard,1940s|cowboy|mexico|railway station|texas,183,USA,57000000,861,5.8
Oliver Stone,Bob Hoskins,12000,13560960,Biography|Drama|History,21130,Joan Allen,courtship|election|paranoia|president|quaker,161,USA,50000000,5000,7.1
Roman Polanski,Olivia Williams,854,15523168,Mystery|Thriller,2507,Timothy Hutton,british prime minister|death|island|memoir|writer,349,France,45000000,766,7.2
Stephen Sommers,Jason Flemyng,3000,11146409,Action|Adventure|Horror|Sci-Fi,6558,Wes Studi,creature feature|hijacker|ocean|ship|shot in the leg,273,USA,45000000,1000,6.0
Spike Lee,Omari Hardwick,23000,7916887,Action|Crime|Drama|Thriller|War,26982,Laz Alonso,boy|german soldier|partisan|trapped|village,182,USA,45000000,1000,6.0
Yimou Zhang,Ye Liu,879,6565495,Drama|Romance,949,Man Li,china|chrysanthemum|emperor|empress|prince,229,China,45000000,52,7.0
Danny Pang,Charlie Yeung,12000,15279680,Action|Crime|Thriller,12166,James With,deaf|hitman|nightclub|pickpocket|rules of profession,154,USA,40000000,68,5.4
Barry Sonnenfeld,Janeane Garofalo,11000,7262288,Comedy|Crime|Thriller,13917,Omar Epps,airport|fbi agent|person in a car trunk|suitcase|suitcase bomb,186,USA,40000000,1000,6.5
Mike Newell,Giovanna Mezzogiorno,267,4584886,Drama|Romance,538,Unax Ugalde,19th century|colombia|love|marriage|widow,115,USA,45000000,202,6.4
,Clotilde Hesme,164,,Drama|Fantasy|Horror|Mystery,654,Céline Sallette,france|living dead|serial killer|small town|supernatural,47,France,,116,8.3
George P. Cosmatos,Ben Gazzara,849,2154540,Action|Thriller,2457,Nicholas Turturro,american president|assassin|conspiracy|president|white house,41,USA,45000000,623,4.9
Oliver Parker,Tim McInnerny,219,8129455,Action|Adventure|Comedy|Crime,661,Togo Igawa,assassin|chinese|conspiracy|gadget|premier,142,USA,45000000,141,6.3
Lawrence Kasanoff,Larry Miller,719,,Action|Animation|Comedy|Family|Fantasy,3090,Harvey Fierstein,femme fatale|food|pun|supermarket|troubled production,66,USA,65000000,611,1.7
Ben Affleck,Scoot McNairy,1000,136019448,Biography|Drama|History|Thriller,3133,Tate Donovan,1970s|cia|f word|u.s. embassy|year 1979,695,USA,44500000,660,7.7
Andrew Davis,Daniel Roebuck,11000,183875760,Action|Adventure|Crime|Drama|Mystery|Thriller,13357,Sela Ward,hospital|on the run|one armed man|surgeon|u.s. marshal,270,USA,44000000,1000,7.8
Andy Tennant,Dorian Missick,18000,67061228,Action|Comedy|Romance,21554,Peter Greene,bounty hunter|death|murder|police officer|reporter,135,USA,40000000,1000,5.5
Barry Levinson,Brad Pitt,22000,53300852,Crime|Drama|Thriller,37076,Minnie Driver,boy|guard|kicked in the crotch|prank|sexual abuse,259,USA,44000000,11000,7.5
George P. Cosmatos,Julia Nickson,13000,150415432,Action|Adventure|Thriller|War,15662,Martin Kove,1980s|mission|prison|rambo|vietnam,217,USA,44000000,738,6.4
Brian Gibson,Demi Moore,23000,44834712,Drama|Thriller,26907,Anne Heche,breasts|mafia|sex scene|temple|woods,62,USA,44000000,2000,5.6
Norman Ferguson,Dickie Jones,1000,84300000,Animation|Family|Fantasy|Musical,1178,Cliff Edwards,boy|conscience|fairy|jiminy cricket|pinocchio,147,USA,2600000,48,7.5
Michael Cimino,Sam Waterston,12000,1500000,Adventure|Drama|Western,14255,Isabelle Huppert,1890s|hired gun|immigrant|johnson county war|sheriff,189,USA,44000000,849,6.8
Len Wiseman,Tony Curran,956,62318875,Action|Adventure|Fantasy|Sci-Fi|Thriller,2998,Derek Jacobi,death|feud|forbidden love|vampire|werewolf,502,USA,50000000,845,6.8
Paul McGuigan,Spencer Wilding,11000,5773519,Drama|Horror|Sci-Fi|Thriller,12876,Daniel Mays,assistant|experiment|frankenstein|medical student|scientist,91,USA,40000000,1000,6.0
Gus Van Sant,Rob Brown,670,51768623,Drama,1801,Michael Nouri,basketball|mentor|new york|school|writing,297,USA,43000000,370,7.3
Betty Thomas,Viggo Mortensen,12000,37035515,Comedy|Drama,23864,Elizabeth Perkins,12 step program|box office hit|car accident|vomiting|wedding,194,USA,43000000,10000,6.0
Louis Leterrier,Jet Li,11000,24520892,Action|Crime|Drama|Thriller,22383,Bob Hoskins,collar|dog|fight|fighting|piano,303,France,45000000,5000,7.0
Roger Kumble,Lillian Adams,44,24430272,Comedy|Romance,132,Chelsea Bond,female removes her clothes|roommate|voyeur|voyeurism|wedding,403,USA,43000000,28,5.1
Sydney Pollack,Holly Hunter,10000,158348400,Drama|Mystery|Thriller,14244,Wilford Brimley,bar|fbi|law|law firm|lawyer,142,USA,42000000,1000,6.8
Burr Steers,Charlie Tahan,405,31136950,Drama|Fantasy|Romance,1066,Valerie Tian,brother brother relationship|death of brother|ghost|seeing dead people|talking with the dead,75,USA,44000000,268,6.5
Simon West,Tony Goldwyn,26000,29113588,Action|Crime|Thriller,27834,Mini Anden,apprentice|disobeying orders|gas station|hitman|nightclub,181,USA,40000000,956,6.6
Phil Lord,Dax Flame,17000,138447667,Action|Comedy|Crime,19968,Rob Riggle,narcotics|parody|police|remake|undercover cop,345,USA,42000000,971,7.2
Roger Michell,Clarke Peters,8000,116006080,Comedy|Drama|Romance,9255,Dylan Moran,actress|bookstore|friend|kiss|love,602,UK,42000000,437,7.0
Peter Lord,Miranda Richardson,579,106793915,Adventure|Animation|Comedy|Drama|Family,1817,Julia Sawalha,chicken|escape|farm|freedom|rooster,358,UK,45000000,530,7.0
John Hamburg,Masi Oka,22000,87856565,Comedy|Romance,24534,Debra Messing,bride|friend|honeymoon|insurance|insurance company,268,USA,42000000,923,5.9
Reginald Hudlin,Eartha Kitt,723,70100000,Comedy|Drama|Romance,3841,Geoffrey Holder,advertising|battle of the sexes|dating|one word title|womanizer,41,USA,40000000,558,5.4
Paul Feig,William Xifaras,975,159578352,Action|Comedy|Crime,4825,Demián Bichir,drug lord|fbi|fbi agent|hospital|shot in the crotch,380,USA,43000000,815,6.6
Joseph L. Mankiewicz,Richard Burton,940,57750000,Biography|Drama|History|Romance,2957,Roddy McDowall,cleopatra|egypt|epic|queen|roman empire,192,UK,31115000,726,7.0
Frank Coraci,Reggie Lee,4000,45290318,Action|Comedy|Sport,6727,Charice,claim in title|high school|mixed martial arts|ultimate fighting championship|underdog,112,USA,42000000,828,6.5
Carl Franklin,Adam Scott,11000,41543207,Crime|Drama|Mystery|Thriller,15571,Bruce Davison,defense lawyer|lawyer|marine|murder|villager,175,USA,42000000,3000,6.3
Barbra Streisand,Austin Pendleton,12000,41252428,Comedy|Drama|Romance,13716,Mimi Rogers,columbia university|lecture|marriage|professor|sex,71,USA,42000000,592,6.5
Mark Pellington,Will Patton,650,35228696,Drama|Horror|Mystery|Thriller,1651,David Eigenberg,car accident|death of wife|mothman|point pleasant west virginia|urban legend,460,USA,32000000,537,6.5
Larry Charles,Elton John,468,59992760,Comedy,2134,Slash,austrian|fame|fashion|gay lead character|mockumentary,396,USA,42000000,442,5.8
John Glen,Talisa Soto,683,34667015,Action|Adventure|Thriller,2371,Anthony Zerbe,drug cartel|drug lord|james bond 007|personal vendetta|vengeance,317,UK,32000000,349,6.6
Catherine Hardwicke,Billy Burke,10000,37652565,Fantasy|Horror|Mystery|Thriller,15369,Virginia Madsen,death|forest|love|werewolf|werewolf bite,283,USA,42000000,2000,5.4
John Herzfeld,Charlize Theron,22000,24375436,Action|Crime|Drama|Thriller,33585,Kelsey Grammer,criminal|detective|fire|homicide|media,265,USA,42000000,9000,6.1
Annabel Jankel,Fisher Stevens,5000,20915465,Adventure|Comedy|Family|Fantasy|Sci-Fi,7723,Fiona Shaw,based on video game|dinosaur|king|mario|plumber,290,UK,42000000,922,4.0
Andrew Niccol,Jeremy Crutchley,12000,24127895,Crime|Drama|Thriller,12076,Jared Burke,1980s|arms dealer|immorality|ukrainian|warlord,437,USA,50000000,43,7.6
Yimou Zhang,Tony Chiu Wai Leung,5000,84961,Action|Adventure|History,6229,Maggie Cheung,china|flying|king|palace|sword,841,China,31000000,643,7.9
Julie Anne Robinson,Debbie Reynolds,922,26404753,Action|Comedy|Crime|Romance|Thriller,3301,Patrick Fischler,bail bond|bounty hunter|jeans|shot in the butt|title directed by female,169,USA,40000000,786,5.3
Evan Goldberg,Randall Park,11000,6105175,Comedy,12239,Anders Holm,assassination attempt|communist dictatorship|dictator|exploding helicopter|finger bitten off,835,USA,44000000,392,6.6
Sngmoo Lee,Dong-gun Jang,624,5664251,Action|Fantasy|Western,2056,Jed Brophy,bullet time|explosion|knife throwing|throwing a knife|violence,102,New Zealand,45000000,489,6.3
,Gavin MacLeod,870,,Comedy|War,1610,Bob Hastings,american soldier|naval uniform|navy|patrol boat|uniform,18,USA,,284,7.5
