num_critic_for_reviews,duration,actor_2_name,gross,actor_1_name,movie_title,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
34,104,Lili Taylor,12793213,Julia Roberts,Mystic Pizza ,4,commitment|marriage|pizza|title appears in writing|woman wearing only a man's shirt,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,English,USA,R,6000000,1988,960,6.2,0
10,,Tuppence Middleton,,Jim Broadbent,War & Peace             ,1,male frontal nudity|male nudity|tv mini series,http://www.imdb.com/title/tt3910804/?ref_=fn_tt_tt_1,English,UK,TV-14,,,888,8.2,11000
88,99,Kevin McNally,11883495,Jeanne Tripplehorn,Sliding Doors ,1,alternative reality|multiple outcomes|parallel time|serendipity|twist of fate,http://www.imdb.com/title/tt0120148/?ref_=fn_tt_tt_1,English,UK,R,9000000,1998,427,6.8,0
25,98,Clarence Williams III,11797927,Corbin Bernsen,Tales from the Hood ,0,child abuse|death|drugs|ku klux klan|police brutality,http://www.imdb.com/title/tt0114609/?ref_=fn_tt_tt_1,English,USA,R,6000000,1995,475,6.1,985
252,121,Simon McBurney,17605861,David Oyelowo,The Last King of Scotland ,1,1970s|assassination|doctor|scottish|ugandan,http://www.imdb.com/title/tt0455590/?ref_=fn_tt_tt_1,English,UK,R,6000000,2006,149,7.7,0
137,96,Tamara Glynn,11642254,Donald Pleasence,Halloween 5 ,1,cat|halloween|kitten|michael myers|psychotronic,http://www.imdb.com/title/tt0097474/?ref_=fn_tt_tt_1,English,USA,X,3000000,1989,256,5.2,926
231,99,Brandon Smith,9203192,Matthew McConaughey,Bernie ,1,funeral|stockbroker|texas|vacation|widow,http://www.imdb.com/title/tt1704573/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,2011,106,6.8,15000
9,42,Daryl Hannah,7518876,Charlotte Rampling,Dolphins and Whales 3D: Tribes of the Ocean ,0,3d in title|animal in title|digit in title|dolphin|manatee,http://www.imdb.com/title/tt0996382/?ref_=fn_tt_tt_1,English,UK,,6000000,2008,0,6.5,28
115,122,Bud Cort,8596914,John Heard,Pollock ,0,1940s|artist|drinking|life magazine|painter,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1,English,USA,R,6000000,2000,394,7.0,0
67,101,Dave Chappelle,6851636,Janeane Garofalo,200 Cigarettes ,5,bartender|friend|new year's eve|party|punk,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,English,USA,R,6000000,1999,744,5.9,0
216,102,Bradley Cooper,11434867,J.K. Simmons,The Words ,1,american in paris|book|love|novel|writer,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1,English,USA,PG-13,6000000,2012,14000,7.1,21000
133,84,Adrian Martinez,5895238,Will Ferrell,Casa de mi Padre ,1,absurd humor|drug lord|mexico|ranch|spaghetti western,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1,Spanish,USA,R,6000000,2012,806,5.5,9000
149,104,Curtiss Cook,6670712,Ezra Miller,City Island ,6,anger|family reunion|father son reunion|hugging|movie making,http://www.imdb.com/title/tt1174730/?ref_=fn_tt_tt_1,English,USA,PG-13,6000000,2009,591,7.4,0
261,96,Fionnula Flanagan,5359774,Don Cheadle,The Guard ,0,boat on fire|drug smuggling|fbi|fbi agent|small town,http://www.imdb.com/title/tt1540133/?ref_=fn_tt_tt_1,English,Ireland,R,6000000,2011,482,7.3,17000
42,94,Alona Tal,4693919,Drake Bell,College ,0,college|face slap|high school|loss of virginity|pierced nipple,http://www.imdb.com/title/tt0844671/?ref_=fn_tt_tt_1,English,USA,R,6500000,2008,1000,4.6,422
152,90,Kathleen Turner,4859475,Kirsten Dunst,The Virgin Suicides ,0,catholic|five sisters|isolation|school|suicide,http://www.imdb.com/title/tt0159097/?ref_=fn_tt_tt_1,English,USA,R,6000000,1999,899,7.2,0
64,97,Annette Badland,4595000,Jim Broadbent,Little Voice ,4,mother|recluse|shy|singer|talent,http://www.imdb.com/title/tt0147004/?ref_=fn_tt_tt_1,English,UK,R,,1998,497,7.0,915
76,90,Windell Middlebrooks,4542775,Hugh M. Hefner,Miss March ,2,fellatio|hugh hefner|oral sex|playboy centerfold|topless female nudity,http://www.imdb.com/title/tt1151922/?ref_=fn_tt_tt_1,English,USA,R,6000000,2009,308,5.1,985
149,106,Josh Gad,3588432,Jim Parsons,Wish I Was Here ,4,actor|dream sequence|genius recluse|jew|religion,http://www.imdb.com/title/tt2870708/?ref_=fn_tt_tt_1,English,USA,R,6000000,2014,1000,6.7,0
35,96,Dylan Baker,4394936,Sarah Michelle Gellar,Simply Irresistible ,1,chef|female chef|love|magic|restaurant,http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1,English,Germany,PG-13,6000000,1999,812,5.3,901
47,44,Jason Dohring,,Francis Capra,Veronica Mars             ,1,best friend|high school|private detective|sheriff|student,http://www.imdb.com/title/tt0412253/?ref_=fn_tt_tt_1,English,USA,TV-14,,,828,8.4,0
108,95,Miriam Shor,3029081,John Cameron Mitchell,Hedwig and the Angry Inch ,0,band|rock band|sex change|song|transsexual,http://www.imdb.com/title/tt0248845/?ref_=fn_tt_tt_1,English,USA,R,6000000,2001,261,7.8,0
17,99,Ryan Bollman,3273588,Antoni Corone,Only the Strong ,1,capoeira|fight|fighting|martial arts|violence,http://www.imdb.com/title/tt0107750/?ref_=fn_tt_tt_1,English,USA,PG-13,6000000,1993,91,6.7,0
12,93,Monda Scott,,Rachel Alig,Goddess of Love ,0,female nudity|hallucination|sex scene|strip club|stripper,http://www.imdb.com/title/tt3432552/?ref_=fn_tt_tt_1,English,USA,,,2015,77,5.4,84
129,99,Rosario Dawson,2207975,Hayden Christensen,Shattered Glass ,0,fabricated facts|journalist|stephen glass|the new republic|writer,http://www.imdb.com/title/tt0323944/?ref_=fn_tt_tt_1,English,USA,PG-13,6000000,2003,3000,7.2,0
84,95,Lynne Thigpen,2025238,Chelcie Ross,Novocaine ,3,dentist|drugs|murder|sex|sunflower,http://www.imdb.com/title/tt0234354/?ref_=fn_tt_tt_1,English,USA,R,6000000,2001,230,5.8,289
61,84,Tony Devon,1028337,Stockard Channing,The Business of Strangers ,2,airport|businesswoman|hotel|revenge|vegetarian,http://www.imdb.com/title/tt0270259/?ref_=fn_tt_tt_1,English,USA,R,,2001,257,6.4,29
147,144,Warren Oates,,William Holden,The Wild Bunch ,1,friendship|honor|righteous rage|soldier|texas,http://www.imdb.com/title/tt0065214/?ref_=fn_tt_tt_1,English,USA,R,6244087,1969,288,8.0,0
147,99,Aaron Yoo,2077046,Mary-Kate Olsen,The Wackness ,2,ice cream|marijuana|new york city|summer|therapy,http://www.imdb.com/title/tt1082886/?ref_=fn_tt_tt_1,English,USA,R,6000000,2008,617,7.0,0
23,110,Michael Elphick,,Lesley-Anne Down,The Great Train Robbery ,2,bank|gold|key|safe|train,http://www.imdb.com/title/tt0079240/?ref_=fn_tt_tt_1,English,UK,PG,6000000,1979,34,7.0,643
75,97,Bryan Dick,267194,Samantha Morton,Morvern Callar ,0,breasts|cleavage|female rear nudity|girl in panties|public nudity,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1,English,UK,R,,2002,104,6.7,605
17,107,Kari Wuhrer,869325,Michael Berryman,Beastmaster 2: Through the Portal of Time ,2,beast|beastmaster|psychotronic|sword and sorcery|warrior,http://www.imdb.com/title/tt0101412/?ref_=fn_tt_tt_1,English,USA,PG-13,6000000,1991,514,3.8,125
16,90,Kendrick Cross,399611,Aidan Quinn,The 5th Quarter ,2,athletic training|football practice|funeral|gymnasium|man crying,http://www.imdb.com/title/tt1130964/?ref_=fn_tt_tt_1,English,USA,PG,6000000,2010,529,5.7,0
60,104,Nathalie Baye,181798,Benoît Magimel,The Flower of Evil ,5,bordeaux|election|mayor|pamphlet|political thriller,http://www.imdb.com/title/tt0322289/?ref_=fn_tt_tt_1,French,France,R,,2003,67,6.6,52
63,96,Zoë Kravitz,115862,Jennifer Ehle,The Greatest ,2,car crash|loss|self help group|teenage mother|title directed by female,http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1,English,USA,R,6000000,2009,943,6.7,0
56,104,Russell Wong,1346503,Bingbing Li,Snow Flower and the Secret Fan ,0,car hitting pedestrian|china|fan|nineteenth century|reversal of fortune,http://www.imdb.com/title/tt1541995/?ref_=fn_tt_tt_1,English,China,PG-13,6000000,2011,595,6.1,0
36,97,Diane Ladd,117560,Tim Blake Nelson,Come Early Morning ,0,church|drink|knocking on a door|love|three word title,http://www.imdb.com/title/tt0457308/?ref_=fn_tt_tt_1,English,USA,R,6000000,2006,206,6.2,224
47,107,Olivia Williams,54606,James Nesbitt,Lucky Break ,0,escape|prison|prison escape|sadism|solitary confinement,http://www.imdb.com/title/tt0246134/?ref_=fn_tt_tt_1,English,UK,PG-13,6000000,2001,766,6.2,30
38,117,Jane Fonda,,Meryl Streep,Julia ,2,1930s|female protagonist|nazi|romantic friendship|writer,http://www.imdb.com/title/tt0076245/?ref_=fn_tt_tt_1,English,USA,PG,7840000,1977,949,7.4,733
26,85,Scott Glenn,36497,Matthew McConaughey,"Surfer, Dude ",0,barefoot|endorsement|surfboard|virtual reality|waves,http://www.imdb.com/title/tt0976247/?ref_=fn_tt_tt_1,English,USA,R,6000000,2008,826,4.7,850
47,152,Pat Buchanan,23807,Noam Chomsky,Lake of Fire ,0,abortion|southern accent|title based on the bible|trial|usa,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1,English,USA,Unrated,,2006,2,8.3,570
68,85,Barbara Hershey,,Henry Thomas,11:14 ,1,convenience store|multiple perspectives|murder|paramedic|van,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,English,USA,R,6000000,2003,618,7.2,0
19,76,Kevin Tighe,,Catherine Bell,Men of War ,1,cockney accent|fight|island|machismo|mercenary,http://www.imdb.com/title/tt0110490/?ref_=fn_tt_tt_1,English,USA,R,8600000,1994,472,5.8,176
39,87,M. Emmet Walsh,,Pruitt Taylor Vince,Don McKay ,1,dead body|dead body in a freezer|dead body wrapped in carpet|person in a car trunk|school janitor,http://www.imdb.com/title/tt1281374/?ref_=fn_tt_tt_1,English,USA,R,,2009,521,5.9,275
162,95,Olivia Wilde,65804,Charlie Hunnam,Deadfall ,1,police officer|police officer killed|police officer shot|sex scene,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,English,USA,R,12000000,2012,10000,6.3,0
37,101,Aidan Quinn,,Connie Nielsen,A Shine of Rainbows ,2,island|love|new home|orphan|rainbow,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,English,Canada,PG,6000000,2009,767,7.2,1000
26,90,Sean Cook,,Drew Waters,The Hit List ,1,die hard scenario|engineer|held at gunpoint|race against time|shot to death,http://www.imdb.com/title/tt1575694/?ref_=fn_tt_tt_1,English,USA,R,6000000,2011,816,5.4,0
10,240,Blake Ritson,,Romola Garai,Emma             ,1,friendship|love triangle|matchmaker|naivety|opposites attract,http://www.imdb.com/title/tt1366312/?ref_=fn_tt_tt_1,English,UK,,,,432,8.2,0
179,89,Leslie Carlson,,Debbie Harry,Videodrome ,0,cyberpunk|hallucination|illegality|snuff film|surrealism,http://www.imdb.com/title/tt0086541/?ref_=fn_tt_tt_1,English,Canada,R,5952000,1983,20,7.3,0
88,111,Cécile De France,3895664,Romain Duris,L'auberge espagnole ,0,apartment|erasmus|language|student|trip,http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1,French,France,R,5300000,2002,447,7.3,0
43,86,Shawn Parsons,20200,Anne Hathaway,Song One ,1,musician|number in title|recording|sibling,http://www.imdb.com/title/tt2182972/?ref_=fn_tt_tt_1,English,USA,PG-13,6000000,2014,485,5.8,0
136,115,Chris Penn,31874869,Ryan Gosling,Murder by Numbers ,0,disposing of a dead body|high school student|murder|sociopath|teenage boy,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,English,USA,R,50000000,2002,455,6.1,0
111,103,Tygo Gernandt,542860,Yorick van Wageningen,Winter in Wartime ,1,horse|nazi|occupation|resistance movement|uncle nephew relationship,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,Dutch,Netherlands,R,4000000,2008,20,7.1,0
13,90,Michael Jai White,,Billy Burke,Freaky Deaky ,0,black panties|bomb squad|car bomb|dynamite|girl in panties,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1,English,USA,R,6000000,2012,2000,6.5,0
64,133,Paul Scofield,,Jeanne Moreau,The Train ,0,art|french|german|painting|train,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1,English,France,Unrated,6700000,1964,94,7.9,0
6,88,John Billingsley,15059,Mira Sorvino,Trade of Innocents ,2,angkor wat|human trafficking|sex slavery|sex tourism,http://www.imdb.com/title/tt1772408/?ref_=fn_tt_tt_1,English,USA,PG-13,,2012,323,5.4,543
112,111,Nathan Jones,11905519,Jon Foo,The Protector ,0,die hard scenario|elephant|long take|police|sydney australia,http://www.imdb.com/title/tt0427954/?ref_=fn_tt_tt_1,Thai,Thailand,R,200000000,2005,635,7.1,0
12,94,Frank Finlay,69582,Sean Pertwee,Stiff Upper Lips ,2,class conflict|edwardian era|england|sexual awakening|spoof,http://www.imdb.com/title/tt0120210/?ref_=fn_tt_tt_1,English,UK,R,,1998,338,6.4,109
15,25,Belinda Stewart-Wilson,,Simon Bird,The Inbetweeners             ,0,black comedy|bully|friend|house|practical joke,http://www.imdb.com/title/tt1220617/?ref_=fn_tt_tt_1,English,UK,TV-14,,,223,8.4,0
161,112,Parminder Nagra,32541719,Archie Panjabi,Bend It Like Beckham ,0,hinduism|marriage engagement|soccer|team|tradition,http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1,English,UK,PG-13,3500159,2002,528,6.7,0
68,141,Edie Falco,3064356,Miguel Ferrer,Sunshine State ,6,african american|business|coastline|florida|real estate,http://www.imdb.com/title/tt0286179/?ref_=fn_tt_tt_1,English,USA,PG-13,5600000,2002,659,6.9,160
25,95,Wayne Brady,7009668,Wesley Jonathan,Crossover ,6,african american|basketball|basketball movie|critically bashed|tv commercial,http://www.imdb.com/title/tt0473024/?ref_=fn_tt_tt_1,English,USA,PG-13,5600000,2006,378,2.1,244
23,141,Mithun Chakraborty,352684,Asin,Khiladi 786 ,1,car crash|impersonating a police officer|long lost brother|marriage bureau|suitor,http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1,Hindi,India,Not Rated,,2012,284,4.3,365
222,85,Pablo Rosso,27024,Jonathan D. Mellor,[Rec] 2 ,0,apartment|apartment building|blood sample|crucifix|zombie,http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1,Spanish,Spain,R,5600000,2009,9,6.6,4000
9,105,Alexis Biesiada,531806,Kayla Jackson,Standing Ovation ,9,dance|dream|frog|philadelphia pennsylvania|snake,http://www.imdb.com/title/tt1303803/?ref_=fn_tt_tt_1,English,USA,PG,,2010,11,3.4,277
119,129,Robert Shaw,159600000,Eileen Brennan,The Sting ,0,con|con man|courier|long con|murder,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,English,USA,PG,5500000,1973,559,8.3,0
90,125,Ben Cross,58800000,Alice Krige,Chariots of Fire ,0,athlete|jew|missionary|olympic games|race,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,English,UK,PG,5500000,1981,303,7.2,0
62,116,Kimberly Elise,50382128,Cicely Tyson,Diary of a Mad Black Woman ,0,comic relief|diary|kiss|madea series|state flag,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,English,USA,PG-13,5500000,2005,637,5.6,0
71,105,Armin Mueller-Stahl,35811509,Noah Taylor,Shine ,0,abuse|australia|concert|pianist|piano,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,English,Australia,PG-13,5500000,1996,294,7.7,0
364,90,Scarlett Johansson,24475193,Joseph Gordon-Levitt,Don Jon ,1,camera focus on female butt|cunnilingus|new jersey|oral sex|reference to facebook,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1,English,USA,R,3000000,2013,19000,6.6,33000
72,105,Richard Bull,,Clint Eastwood,High Plains Drifter ,0,gravestone|gunfighter|outlaw|revenge|small town,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,English,USA,R,5500000,1973,742,7.6,0
122,111,Steve Buscemi,6200756,Scarlett Johansson,Ghost World ,0,art class|diner|friend|graduation|high school,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,English,USA,R,7000000,2001,12000,7.4,5000
100,91,Jim Broadbent,1292119,Kate Winslet,Iris ,1,alzheimer's disease|book|love|novelist|writer,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1,English,UK,R,5500000,2001,1000,7.1,0
24,95,Avery Schreiber,,Stephen Macht,Galaxina ,0,alien|android|fem bot|female android|stars,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,English,USA,R,,1980,110,3.4,438
112,97,François Berléand,3629758,Jean-Baptiste Maunier,The Chorus ,0,boarding school|boy|choir|school|teacher,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,French,France,PG-13,5500000,2004,86,7.9,0
67,92,Luke Kirby,6239558,Paul Sorvino,Mambo Italiano ,0,gay|immigrant|italian|police|police officer,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,English,Canada,R,5000000,2003,210,6.7,352
91,104,Louis Lombardi,1056102,Alexis Dziena,Wonderland ,0,murder|police|police investigation|porn star|robbery,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,English,USA,R,5000000,2003,436,6.6,1000
103,120,John Savage,27545445,Ruby Dee,Do the Right Thing ,2,black militant|frustration|pizza|pizza parlor|pizzeria,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,English,USA,R,6500000,1989,652,7.9,0
27,99,Eric Stoltz,56007,Sarah Michelle Gellar,Harvard Man ,3,basketball|cheerleader|college|harvard|philosophy,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,English,USA,R,5500000,2001,902,4.9,113
205,93,Kati Outinen,611709,Jean-Pierre Léaud,Le Havre ,1,bar|container|illegal immigrant|neighbor|shoe shiner,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,French,Finland,Not Rated,3850000,2011,67,7.2,0
192,99,Albert Dupontel,753501,Philippe Nahon,Irreversible ,0,long take|male frontal nudity|revenge|reverse chronology|vengeance,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1,French,France,Not Rated,,2002,46,7.4,13000
72,99,Hitoshi Matsumoto,22770,Lindsay Kay Hayward,R100 ,0,coma|one word title|spitting|sushi|swimming pool,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,Japanese,Japan,Unrated,5500000,2013,17,6.1,543
33,157,Steven Mackintosh,2197331,Anupam Kher,Rang De Basanti ,0,freedom|friend|india|student|urination,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,Hindi,India,Not Rated,,2006,227,8.4,0
22,90,John Heard,,Kim Shaw,Animals ,0,drug addict|drug addiction|drug use|drugs|junkie,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1,English,USA,,,2014,697,6.2,679
48,96,Cree Kelly,27445,Jim Gaffigan,Salvation Boulevard ,5,cross|doused with gasoline|pastor|security guard|shower,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1,English,USA,R,9000000,2011,39,5.3,1000
65,96,Ken Marino,766487,Jon Hamm,The Ten ,4,death|mexico|sabbath|surgeon|ten stories,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,English,USA,R,5250000,2007,543,5.0,915
29,90,Paddy Considine,18434,Bob Hoskins,A Room for Romeo Brass ,2,betrayal|family relationships|friendship|psychosis|stranger,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,English,UK,R,,1999,680,7.7,484
284,100,Synnøve Macody Lund,1196752,Aksel Hennie,Headhunters ,3,art thief|male frontal nudity|male nudity|male star appears nude|painting,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,Norwegian,Norway,R,30300000,2011,52,7.6,23000
187,94,Richard Coyle,,Russell Tovey,Grabbers ,0,bathtub|eaten alive|ferry boat|lobster trap|sprinkler system,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,English,UK,Not Rated,4000000,2012,567,6.3,11000
47,98,Adam Butcher,795126,Campbell Scott,Saint Ralph ,1,boston marathon|coma|marathon|miracles|running,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,English,Canada,PG-13,6000000,2004,259,7.6,989
88,129,Jessica Chastain,,Samantha Morton,Miss Julie ,2,kissing someone's boot|midsummer|telling someone to shut up|two word title|valet,http://www.imdb.com/title/tt2667960/?ref_=fn_tt_tt_1,English,Norway,PG-13,5500000,2014,0,5.6,0
41,103,Bill Erwin,,Teresa Wright,Somewhere in Time ,2,hotel|love|love across time|time travel|time travel romance,http://www.imdb.com/title/tt0081534/?ref_=fn_tt_tt_1,English,USA,PG,5100000,1980,191,7.3,0
24,128,Bipasha Basu,563699,Abhishek Bachchan,Dum Maaro Dum ,0,airport|drugs|loss of loved one|police|title based on song,http://www.imdb.com/title/tt1618430/?ref_=fn_tt_tt_1,Hindi,India,R,,2011,282,6.2,421
318,106,Barbara Hershey,83574831,Lin Shaye,Insidious: Chapter 2 ,0,barricading a door|injection in leg|police detective|supernatural|taser,http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,2013,618,6.6,35000
250,95,Tony Nappo,87025093,Emmanuelle Vaugier,Saw II ,0,death|detective|nerve gas|serial killer|trap,http://www.imdb.com/title/tt0432348/?ref_=fn_tt_tt_1,English,USA,R,4000000,2005,654,6.6,0
411,104,John Gallagher Jr.,71897215,Bradley Cooper,10 Cloverfield Lane ,0,alien|bunker|car crash|kidnapping|minimal cast,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,English,USA,PG-13,15000000,2016,338,7.3,33000
106,87,Steve-O,64267897,Bam Margera,Jackass: The Movie ,0,alligator|golf|japan|panda|stunt,http://www.imdb.com/title/tt0322802/?ref_=fn_tt_tt_1,English,USA,R,5000000,2002,362,6.6,0
159,81,Amiah Miller,56536016,Billy Burke,Lights Out ,0,based on short film|reference to avenged sevenfold|reference to slayer|switching lights on and off|two word title,http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1,English,USA,PG-13,4900000,2016,509,6.9,0
251,94,Sprague Grayden,104007828,Johanna Braddy,Paranormal Activity 3 ,0,animate object|imaginary friend|reference to macgyver|whispering|woman wearing only a man's shirt,http://www.imdb.com/title/tt1778304/?ref_=fn_tt_tt_1,English,USA,R,5000000,2011,438,5.8,24000
183,89,Shelley Hennig,50820940,Lin Shaye,Ouija ,0,death of girlfriend|funeral|ghost|ouija|spirit,http://www.imdb.com/title/tt1204977/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,2014,707,4.4,18000
131,88,Heather Langenkamp,44793200,John Saxon,A Nightmare on Elm Street 3: Dream Warriors ,0,dream|freddy krueger|killer|nightmare|springwood ohio,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,English,USA,X,4500000,1987,449,6.6,0
