director_name,duration,director_facebook_likes,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,language,country,content_rating,budget,title_year,actor_2_facebook_likes
Martin Campbell,144,258,6000,167007184,Eva Green,Casino Royale ,470483,Ivana Milicevic,1,English,UK,PG-13,150000000,2006,1000
Tim Burton,119,13000,1000,180011740,Cary-Hiroyuki Tagawa,Planet of the Apes ,177725,Erick Avari,0,English,USA,PG-13,100000000,2001,658
James Cameron,153,0,780,204843350,Joe Morton,Terminator 2: Judgment Day ,744891,S. Epatha Merkerson,0,English,USA,R,102000000,1991,604
Michael Mann,140,0,40000,97030725,Johnny Depp,Public Enemies ,230931,Stephen Graham,1,English,USA,R,100000000,2009,23000
Ridley Scott,176,0,18000,130127620,Denzel Washington,American Gangster ,324671,RZA,0,English,USA,R,100000000,2007,782
James Cameron,141,0,2000,146282411,Jamie Lee Curtis,True Lies ,190439,Tom Arnold,0,English,USA,R,115000000,1994,1000
Tony Scott,106,12000,18000,65452312,Denzel Washington,The Taking of Pelham 1 2 3 ,149998,Michael Rispoli,1,English,USA,R,100000000,2009,464
Paul Weitz,98,80,22000,148383780,Robert De Niro,Little Fockers ,85531,Teri Polo,10,English,USA,PG-13,100000000,2010,713
Adam McKay,116,285,12000,119219978,Dwayne Johnson,The Other Guys ,189806,Derek Jeter,2,English,USA,PG-13,100000000,2010,8000
Chuck Russell,115,55,1000,101228120,Vanessa Williams,Eraser ,84424,Roma Maffia,1,English,USA,R,100000000,1996,773
Quentin Tarantino,165,16000,29000,162804648,Leonardo DiCaprio,Django Unchained ,955174,Ato Essandoh,1,English,USA,R,100000000,2012,11000
Gary Trousdale,91,21,2000,100117603,Demi Moore,The Hunchback of Notre Dame ,102933,Bill Fagerbakke,0,English,USA,G,100000000,1996,700
Mark Dindal,78,10,558,89296573,Eartha Kitt,The Emperor's New Groove ,128285,John Fiedler,1,English,USA,G,100000000,2000,452
Simon West,103,165,26000,85017401,Jason Statham,The Expendables 2 ,246803,Bruce Willis,3,English,USA,R,92000000,2012,13000
Jon Turteltaub,131,226,12000,173005002,Nicolas Cage,National Treasure ,255447,Annie Parisse,0,English,USA,PG,100000000,2004,625
Stefen Fangmeier,104,14,3000,75030163,Djimon Hounsou,Eragon ,108076,Gary Lewis,0,English,USA,PG,100000000,2006,762
Spike Jonze,101,0,925,77222184,Catherine O'Hara,Where the Wild Things Are ,87677,Max Records,0,English,Germany,PG,100000000,2009,468
Joe Wright,111,456,20000,34964818,Hugh Jackman,Pan ,39956,Nonso Anozie,4,English,USA,PG,150000000,2015,548
Chris Wedge,102,77,14000,107515297,Josh Hutcherson,Epic ,85833,Troy Evans,2,English,USA,PG,100000000,2013,151
Florian Henckel von Donnersmarck,103,207,40000,67631157,Johnny Depp,The Tourist ,176598,Rufus Sewell,0,English,USA,PG-13,100000000,2010,11000
Peter Hyams,121,0,1000,66862068,CCH Pounder,End of Days ,89509,Udo Kier,0,English,USA,R,83000000,1999,1000
Edward Zwick,143,380,29000,57366262,Leonardo DiCaprio,Blood Diamond ,400292,Stephen Collins,0,English,Germany,R,100000000,2006,3000
Martin Scorsese,240,17000,29000,116866727,Leonardo DiCaprio,The Wolf of Wall Street ,780588,Jon Favreau,3,English,USA,R,100000000,2013,11000
Joel Schumacher,121,541,920,184031112,Michael Gough,Batman Forever ,190786,Debi Mazar,4,English,USA,PG-13,100000000,1995,710
Paul Verhoeven,129,719,660,54700065,Jake Busey,Starship Troopers ,221521,Seth Gilliam,0,English,USA,R,105000000,1997,475
Tom Tykwer,172,670,15000,27098580,Tom Hanks,Cloud Atlas ,284825,Jim Broadbent,5,English,Germany,R,102000000,2012,5000
Zack Snyder,101,0,2000,55673333,Abbie Cornish,Legend of the Guardians: The Owls of Ga'Hoole ,65785,Anthony LaPaglia,1,English,USA,PG,80000000,2010,653
Pitof,87,26,827,40198710,Frances Conroy,Catwoman ,87451,Alex Borstein,0,English,USA,PG-13,100000000,2004,825
Brett Ratner,101,420,12000,72660029,Dwayne Johnson,Hercules ,115687,Ingrid Bolsø Berdal,0,English,USA,PG-13,100000000,2014,3000
Ron Clements,95,63,23000,38120554,Joseph Gordon-Levitt,Treasure Planet ,71527,Michael Wincott,0,English,USA,PG,140000000,2002,770
Brad Silberling,102,52,8000,49392095,Will Ferrell,Land of the Lost ,52029,Bobb'e J. Thompson,1,English,USA,PG-13,100000000,2009,735
Patrick Hughes,131,385,26000,39292022,Jason Statham,The Expendables 3 ,127258,Harrison Ford,15,English,USA,PG-13,90000000,2014,13000
Ericson Core,114,19,1000,28772222,Ray Winstone,Point Break ,33953,Delroy Lindo,1,English,USA,PG-13,105000000,2015,897
Lawrence Guterman,94,6,490,17010646,Jamie Kennedy,Son of the Mask ,40751,Ben Stein,0,English,USA,PG,84000000,2005,294
Ron Howard,122,2000,26000,24985612,Chris Hemsworth,In the Heart of the Sea ,71782,Frank Dillane,0,English,USA,PG-13,100000000,2015,911
Ron Underwood,95,31,3000,4411102,Rosario Dawson,The Adventures of Pluto Nash ,20295,Burt Young,1,English,USA,PG-13,100000000,2002,695
Paul Greengrass,115,521,13000,35024475,Matt Damon,Green Zone ,110364,Igal Naor,1,English,France,R,100000000,2010,537
Steve Martino,88,20,144,130174897,Francesca Capaldi,The Peanuts Movie ,27918,Bill Melendez,0,English,USA,G,99000000,2015,42
David Mamet,110,342,623,10200000,Ben Gazzara,The Spanish Prisoner ,18697,Campbell Scott,0,English,USA,PG,10000000,1997,508
Stephen Sommers,130,208,12000,202007640,Dwayne Johnson,The Mummy Returns ,248045,Patricia Velasquez,5,English,USA,PG-13,98000000,2001,3000
Martin Scorsese,216,17000,29000,77679638,Leonardo DiCaprio,Gangs of New York ,314033,Jim Broadbent,3,English,USA,R,100000000,2002,14000
Yimou Zhang,146,611,23000,9213,Christian Bale,The Flowers of War ,38690,Shigeo Kobayashi,2,Mandarin,China,R,94000000,2011,196
Ash Brannon,85,9,12000,58867694,Jeff Bridges,Surf's Up ,54077,Jon Heder,0,English,USA,PG,100000000,2007,11000
Frank Oz,93,0,11000,59475623,Jon Lovitz,The Stepford Wives ,49739,Roger Bart,1,English,USA,PG-13,90000000,2004,2000
Ridley Scott,152,0,2000,108638745,Ioan Gruffudd,Black Hawk Down ,292022,Ewen Bremner,0,English,USA,R,92000000,2001,820
Jay Roach,85,116,8000,86897182,Will Ferrell,The Campaign ,106790,Katherine LaNasa,0,English,USA,R,95000000,2012,331
Luc Besson,126,0,14000,63540020,Milla Jovovich,The Fifth Element ,343274,Gary Oldman,2,English,France,PG-13,93000000,1997,13000
Michael Patrick King,146,127,962,95328937,Chris Noth,Sex and the City 2 ,59581,Kristin Davis,4,English,USA,R,100000000,2010,740
Bibo Bergeron,89,10,2000,50802661,Frank Welker,The Road to El Dorado ,58300,Elton John,1,English,USA,PG,95000000,2000,919
Steve Martino,88,20,22000,161317423,Peter Dinklage,Ice Age: Continental Drift ,145321,Drake,0,English,USA,PG,95000000,2012,1000
Kenneth Branagh,105,0,2000,201148159,Hayley Atwell,Cinderella ,103737,Lily James,1,English,USA,PG,95000000,2015,520
Peter Jackson,135,0,873,43982842,Michael Imperioli,The Lovely Bones ,125109,Tom McCarthy,1,English,USA,PG-13,65000000,2009,560
Andrew Stanton,100,475,1000,380838870,Alexander Gould,Finding Nemo ,692482,Brad Garrett,0,English,USA,G,94000000,2003,939
Peter Jackson,192,0,5000,377019252,Orlando Bloom,The Lord of the Rings: The Return of the King ,1215718,Bernard Hill,2,English,USA,PG-13,94000000,2003,857
Peter Jackson,172,0,16000,340478898,Christopher Lee,The Lord of the Rings: The Two Towers ,1100446,Billy Boyd,1,English,USA,PG-13,94000000,2002,5000
Sergey Bodrov,102,44,12000,17176900,Jeff Bridges,Seventh Son ,54501,Olivia Williams,4,English,USA,PG-13,95000000,2014,3000
Simon West,100,165,11000,131144183,Angelina Jolie Pitt,Lara Croft: Tomb Raider ,157016,Chris Barrie,1,English,USA,PG-13,115000000,2001,509
Wally Pfister,119,0,40000,23014504,Johnny Depp,Transcendence ,172707,Clifton Collins Jr.,1,English,UK,PG-13,100000000,2014,11000
Joe Johnston,92,394,693,181166115,Michael Jeter,Jurassic Park III ,219501,Alessandro Nivola,0,English,USA,PG-13,93000000,2001,595
Rupert Wyatt,105,81,11000,176740650,James Franco,Rise of the Planet of the Apes ,403836,Tyler Labine,0,English,USA,PG-13,93000000,2011,1000
Mark Waters,107,70,770,71148699,Martin Short,The Spiderwick Chronicles ,68935,Joan Plowright,0,English,USA,PG,90000000,2008,419
John Moore,101,212,13000,67344392,Bruce Willis,A Good Day to Die Hard ,165618,Megalyn Echikunwoke,2,English,USA,R,92000000,2013,787
John Lee Hancock,137,102,2000,22406362,Dennis Quaid,The Alamo ,16832,Jordi Mollà,0,English,USA,PG-13,107000000,2004,973
Brad Bird,115,663,1000,261437578,Holly Hunter,The Incredibles ,479166,Lou Romano,0,English,USA,PG,92000000,2004,723
Renny Harlin,124,212,1000,11000000,Christopher Masterson,Cutthroat Island ,21102,Matthew Modine,3,English,USA,PG-13,98000000,1995,903
Chris Columbus,118,0,8000,88761720,Logan Lerman,Percy Jackson & the Olympians: The Lightning Thief ,141179,Steve Coogan,0,English,UK,PG,95000000,2010,3000
Barry Sonnenfeld,98,188,10000,250147615,Will Smith,Men in Black ,403014,Linda Fiorentino,0,English,USA,PG-13,90000000,1997,826
John Lasseter,82,487,15000,245823397,Tom Hanks,Toy Story 2 ,385871,Wayne Knight,2,English,USA,G,90000000,1999,1000
Tony Scott,98,12000,18000,81557479,Denzel Washington,Unstoppable ,149947,Ethan Suplee,1,English,USA,PG-13,100000000,2010,3000
Brett Ratner,90,420,191,226138454,Mei Melançon,Rush Hour 2 ,160440,Harris Yulin,2,English,USA,PG-13,90000000,2001,165
Robert Zemeckis,130,0,11000,155370362,Harrison Ford,What Lies Beneath ,98403,Miranda Otto,0,English,USA,PG-13,100000000,2000,627
Phil Lord,90,97,622,124870275,Will Forte,Cloudy with a Chance of Meatballs ,152601,Al Roker,1,English,USA,PG,100000000,2009,526
Carlos Saldanha,94,107,835,196573705,Denis Leary,Ice Age: Dawn of the Dinosaurs ,166791,Kelly Keaton,0,English,USA,PG,90000000,2009,256
Ben Stiller,114,0,3000,58229120,Adam Scott,The Secret Life of Walter Mitty ,236421,Joey Slotnick,1,English,USA,PG,90000000,2013,806
McG,94,368,13000,125305545,Bill Murray,Charlie's Angels ,145350,Kelly Lynch,0,English,USA,PG-13,92000000,2000,1000
Martin Scorsese,151,17000,29000,132373442,Leonardo DiCaprio,The Departed ,873649,Ray Winstone,0,English,USA,R,90000000,2006,13000
Tony Bancroft,88,7,2000,120618403,Ming-Na Wen,Mulan ,171792,June Foray,0,English,USA,G,90000000,1998,500
Ben Stiller,121,0,21000,110416702,Robert Downey Jr.,Tropic Thunder ,307539,Brandon T. Jackson,3,English,USA,R,92000000,2008,1000
David Fincher,158,21000,18000,102515793,Robin Wright,The Girl with the Dragon Tattoo ,330152,Joely Richardson,1,English,USA,R,90000000,2011,1000
John McTiernan,128,323,13000,100012500,Bruce Willis,Die Hard with a Vengeance ,299258,Kevin Chamberlin,1,English,USA,R,90000000,1995,559
Guy Ritchie,128,0,21000,209019489,Robert Downey Jr.,Sherlock Holmes ,477300,Robert Maillet,3,English,USA,PG-13,90000000,2009,979
Timur Bekmambetov,141,335,11000,,Morgan Freeman,Ben-Hur ,57,Moises Arias,2,English,USA,PG-13,,2016,745
Gary Trousdale,95,21,12000,84037039,Leonard Nimoy,Atlantis: The Lost Empire ,72591,Cree Summer,0,English,USA,PG,120000000,2001,802
Walt Becker,92,12,35000,85884815,Bella Thorne,Alvin and the Chipmunks: The Road Chip ,9418,Jesse McCartney,0,English,USA,PG,90000000,2015,1000
Bryan Singer,121,0,10000,83077470,Tom Cruise,Valkyrie ,183247,Thomas Kretschmann,0,English,USA,PG-13,75000000,2008,1000
Dennis Dugan,113,221,11000,100018837,Adam Sandler,You Don't Mess with the Zohan ,156348,Kevin Nealon,0,English,USA,PG-13,90000000,2008,600
Chris Columbus,106,0,22000,78747585,Peter Dinklage,Pixels ,89770,Josh Gad,0,English,USA,PG-13,88000000,2015,11000
Steven Spielberg,146,14000,3000,78616689,Haley Joel Osment,A.I. Artificial Intelligence ,238747,Kevin Sussman,0,English,USA,PG-13,100000000,2001,882
Rob Minkoff,88,50,691,75817994,Marsha Thomason,The Haunted Mansion ,32049,Marc John Jefferies,0,English,USA,PG,90000000,2003,569
Robert Zemeckis,150,0,11000,100853835,Matthew McConaughey,Contact ,200556,Larry King,2,English,USA,PG,90000000,1997,1000
Paul Verhoeven,119,719,833,73209340,Greg Grunberg,Hollow Man ,101834,Joey Slotnick,0,English,USA,R,95000000,2000,624
Sydney Pollack,128,521,591,72515360,Curtiss Cook,The Interpreter ,86152,Michael Wright,1,Aboriginal,UK,PG-13,80000000,2005,249
Thor Freudenthal,106,87,8000,68558662,Logan Lerman,Percy Jackson: Sea of Monsters ,86627,Brandon T. Jackson,0,English,USA,PG,90000000,2013,956
Jan de Bont,117,101,18000,65653758,Gerard Butler,Lara Croft Tomb Raider: The Cradle of Life ,102747,Djimon Hounsou,1,English,USA,PG-13,95000000,2003,11000
Jon M. Chu,129,209,11000,64685359,Daniel Radcliffe,Now You See Me 2 ,40862,Sanaa Lathan,6,English,USA,PG-13,90000000,2016,11000
Phillip Noyce,116,176,192,61355436,Alun Armstrong,The Saint ,52136,Velibor Topic,0,English,USA,PG-13,68000000,1997,117
Tony Scott,114,12000,11000,26871,Brad Pitt,Spy Game ,121259,Catherine McCormack,2,English,Germany,R,92000000,2001,577
Brian De Palma,114,0,3000,60874615,Don Cheadle,Mission to Mars ,60467,Kim Delaney,0,English,USA,PG,90000000,2000,933
Carlos Saldanha,96,107,11000,143618384,Anne Hathaway,Rio ,165333,Will.i.am,0,English,USA,G,90000000,2011,560
Chris Columbus,132,0,49000,58220776,Robin Williams,Bicentennial Man ,87785,John Michael Higgins,0,English,USA,PG,100000000,1999,1000
Mick Jackson,104,81,3000,47474112,Don Cheadle,Volcano ,58227,Gaby Hoffmann,0,English,USA,PG-13,90000000,1997,643
Alan J. Pakula,111,79,11000,42877165,Harrison Ford,The Devil's Own ,45602,Natascha McElhone,0,English,USA,R,86000000,1997,11000
Kathryn Bigelow,138,0,14000,35168677,Liam Neeson,K-19: The Widowmaker ,49311,Lex Shrapnel,1,English,UK,PG-13,100000000,2002,602
Josh Trank,100,128,596,56114221,Tim Blake Nelson,Fantastic Four ,110486,Tim Heidecker,3,English,USA,PG-13,120000000,2015,360
John Milius,129,468,919,37567440,William Smith,Conan the Barbarian ,113065,Sandahl Bergman,0,English,USA,R,20000000,1982,691
Ron Howard,144,2000,680,61644321,Paddy Considine,Cinderella Man ,148238,Rosemarie DeWitt,0,English,USA,PG-13,88000000,2005,655
Andrey Konchalovskiy,110,96,887,190562,Shirley Henderson,The Nutcracker in 3D ,2508,Richard E. Grant,0,English,UK,PG,90000000,2010,886
Gary Ross,140,378,12000,120147445,Jeff Bridges,Seabiscuit ,57661,Michael O'Neill,0,English,USA,PG-13,87000000,2003,947
Jan de Bont,113,101,22000,241688385,Philip Seymour Hoffman,Twister ,144053,Jami Gertz,0,English,USA,PG-13,92000000,1996,946
Rob Cohen,106,357,23000,144512310,Paul Walker,The Fast and the Furious ,272223,Jordana Brewster,2,English,USA,PG-13,38000000,2001,14000
Robert Zemeckis,143,0,15000,233630478,Tom Hanks,Cast Away ,394317,Nick Searcy,1,English,USA,PG-13,90000000,2000,410
George Miller,108,750,49000,197992827,Robin Williams,Happy Feet ,132501,Elizabeth Daily,0,English,USA,PG,100000000,2006,20000
Paul Greengrass,108,521,13000,176049130,Matt Damon,The Bourne Supremacy ,348232,Oksana Akinshina,1,English,USA,PG-13,75000000,2004,805
Wolfgang Petersen,124,249,11000,172620724,Harrison Ford,Air Force One ,146134,Dean Stockwell,1,English,USA,R,85000000,1997,10000
Steven Soderbergh,116,0,11000,183405771,Brad Pitt,Ocean's Eleven ,402645,Elliott Gould,4,English,USA,PG-13,85000000,2001,1000
Paul W.S. Anderson,110,545,14000,20315324,Milla Jovovich,The Three Musketeers ,88542,Orlando Bloom,8,English,Germany,PG-13,75000000,2011,8000
Genndy Tartakovsky,91,266,12000,148313048,Steve Buscemi,Hotel Transylvania ,164148,Jon Lovitz,2,English,USA,PG,85000000,2012,11000
Kevin Lima,107,36,283,127706877,Jeff Bennett,Enchanted ,142496,Fred Tatasciore,2,English,USA,PG,85000000,2007,142
,44,,544,,Caroline Dhavernas,Hannibal             ,159910,Hettienne Park,1,English,USA,TV-14,,,183
Daniel Espinosa,115,79,18000,126149655,Denzel Washington,Safe House ,166693,Sam Shepard,1,English,USA,R,85000000,2012,16000
Kevin Lima,100,36,2000,66941559,Ioan Gruffudd,102 Dalmatians ,26413,Jim Carter,1,English,USA,G,85000000,2000,795
Brett Ratner,104,420,2000,78009155,Matthew Broderick,Tower Heist ,110073,Judd Hirsch,5,English,USA,PG-13,75000000,2011,906
Nancy Meyers,138,278,14000,63224849,Kate Winslet,The Holiday ,182757,Sarah Parish,3,English,USA,PG-13,85000000,2006,3000
Tony Scott,140,12000,10000,111544445,Will Smith,Enemy of the State ,188116,Lisa Bonet,4,English,USA,R,90000000,1998,660
Nancy Meyers,120,278,11000,112703470,Meryl Streep,It's Complicated ,69860,Zoe Kazan,2,English,USA,R,85000000,2009,2000
Steven Soderbergh,122,0,14000,117144465,Al Pacino,Ocean's Thirteen ,256928,Brad Pitt,3,English,USA,PG-13,85000000,2007,13000
Roger Allers,83,28,4000,84303558,Jon Favreau,Open Season ,65270,Jane Krakowski,1,English,USA,PG,85000000,2006,650
Neil Burger,139,168,14000,150832203,Kate Winslet,Divergent ,341058,Mekhi Phifer,2,English,USA,PG-13,85000000,2014,5000
Jean-Jacques Annaud,131,218,5000,51396781,Bob Hoskins,Enemy at the Gates ,188887,Clemens Schick,1,English,USA,R,68000000,2001,35
Peter Berg,104,532,12000,47592825,Dwayne Johnson,The Rundown ,82731,Ewen Bremner,1,English,USA,PG-13,85000000,2003,3000
John McTiernan,130,323,670,50016394,F. Murray Abraham,Last Action Hero ,106528,Joan Plowright,1,English,USA,PG-13,70000000,1993,442
Rob Marshall,145,252,879,57010853,Li Gong,Memoirs of a Geisha ,119286,Karl Yune,1,English,USA,PG-13,85000000,2005,691
Justin Lin,104,681,584,62494975,Amber Stevens West,The Fast and the Furious: Tokyo Drift ,179500,Nikki Griffin,5,English,USA,PG-13,85000000,2006,227
Sarah Smith,97,6,1000,46440491,Jim Broadbent,Arthur Christmas ,35446,Michael Palin,1,English,UK,PG,100000000,2011,579
Martin Brest,178,102,12000,44606335,Anthony Hopkins,Meet Joe Black ,169023,Jake Weber,0,English,USA,PG-13,90000000,1998,11000
Andrew Davis,108,99,672,40048332,Raymond Cruz,Collateral Damage ,61417,Jsu Garcia,1,English,USA,R,85000000,2002,174
Bob Fosse,123,189,813,,Roy Scheider,All That Jazz ,19228,Max Wright,0,English,USA,R,,1979,388
Tarsem Singh,106,763,8000,64933670,Julia Roberts,Mirror Mirror ,70838,Danny Woodburn,1,English,USA,PG,85000000,2012,886
Edgar Wright,112,1000,10000,31494270,Anna Kendrick,Scott Pilgrim vs. the World ,273921,Ellen Wong,0,English,USA,PG-13,60000000,2010,1000
Jon Amiel,135,36,894,31111260,Glenn Morshower,The Core ,77029,Rekha Sharma,0,English,USA,PG-13,60000000,2003,345
Peter Segal,109,88,611,123307945,Larry Miller,Nutty Professor II: The Klumps ,39391,Chris Elliott,1,English,USA,PG-13,65000000,2000,592
Raja Gosnell,86,67,4000,153288182,Sarah Michelle Gellar,Scooby-Doo ,71424,Miguel A. Núñez Jr.,3,English,USA,PG,84000000,2002,2000
Pete Travis,95,38,409,13401683,Wood Harris,Dredd ,203458,Rakie Ayola,0,English,UK,R,35000000,2012,107
Frank Coraci,107,153,11000,137340146,Adam Sandler,Click ,246492,Julie Kavner,1,English,USA,PG-13,70000000,2006,1000
George A. Romero,130,0,875,,Ted Danson,Creepshow ,29932,Adrienne Barbeau,0,English,USA,R,8000000,1982,826
Brad Peyton,82,62,975,43575716,Jack McBrayer,Cats & Dogs: The Revenge of Kitty Galore ,10233,Katt Williams,0,English,USA,PG,85000000,2010,760
Doug Liman,88,218,17000,80170146,Kristen Stewart,Jumper ,243053,Tom Hulce,0,English,USA,PG-13,85000000,2008,4000
Guillermo del Toro,120,0,3000,75754670,Seth MacFarlane,Hellboy II: The Golden Army ,208422,Brian Steele,0,English,USA,PG-13,85000000,2008,169
David Fincher,162,21000,21000,33048353,Robert Downey Jr.,Zodiac ,301279,Anthony Edwards,0,English,USA,R,65000000,2007,15000
Roger Spottiswoode,123,55,3000,34543701,Robert Duvall,The 6th Day ,100001,Tony Goldwyn,1,English,USA,PG-13,82000000,2000,975
Tom Shadyac,101,293,11000,242589580,Morgan Freeman,Bruce Almighty ,296904,Lisa Ann Walter,1,English,USA,PG-13,81000000,2003,7000
Sylvester Stallone,113,13000,26000,102981571,Jason Statham,The Expendables ,270226,Jet Li,9,English,USA,R,80000000,2010,13000
Brian De Palma,110,0,10000,180965237,Tom Cruise,Mission: Impossible ,300542,Vanessa Redgrave,0,English,USA,PG-13,80000000,1996,1000
Gary Ross,142,378,34000,407999255,Jennifer Lawrence,The Hunger Games ,701607,Anthony Reynolds,0,English,USA,PG-13,78000000,2012,14000
Todd Phillips,102,480,14000,254455986,Bradley Cooper,The Hangover Part II ,375879,Mike Tyson,0,English,USA,R,80000000,2011,670
Tim Burton,126,13000,920,162831698,Michael Gough,Batman Returns ,215255,Andrew Bryniarski,0,English,USA,PG-13,80000000,1992,811
Tim Johnson,83,12,13000,155019340,Bruce Willis,Over the Hedge ,127345,Catherine O'Hara,1,English,USA,PG,80000000,2006,7000
Dean DeBlois,85,255,1000,145771527,Tia Carrere,Lilo & Stitch ,117212,David Ogden Stiers,0,English,USA,PG,80000000,2002,533
Gary Winick,97,56,12000,82506325,Steve Buscemi,Charlotte's Web ,27838,Oprah Winfrey,0,English,USA,G,,2006,8000
Mimi Leder,120,75,11000,140459099,Morgan Freeman,Deep Impact ,135601,Robert Duvall,0,English,USA,PG-13,75000000,1998,4000
Dean Parisot,116,23,13000,53215979,Bruce Willis,RED 2 ,125036,Garrick Hagon,7,English,USA,PG-13,84000000,2013,12000
Peter Segal,113,88,11000,158115031,Adam Sandler,The Longest Yard ,130070,Dalip Singh,11,English,USA,PG-13,82000000,2005,437
Mike Mitchell,87,31,1000,133103929,Amy Poehler,Alvin and the Chipmunks: Chipwrecked ,22838,Lauren Gottlieb,0,English,USA,G,75000000,2011,1000
Dennis Dugan,101,221,12000,133668525,Steve Buscemi,Grown Ups 2 ,107817,Jon Lovitz,4,English,USA,PG-13,80000000,2013,11000
Peter Segal,110,88,13000,130313314,Bill Murray,Get Smart ,168172,Anne Hathaway,1,English,USA,PG-13,80000000,2008,12000
Nancy Meyers,128,278,18000,124590960,Keanu Reeves,Something's Gotta Give ,91092,Paul Michael Glaser,1,English,USA,PG-13,80000000,2003,4000
Martin Scorsese,138,17000,29000,127968405,Leonardo DiCaprio,Shutter Island ,786092,Nellie Sciutto,0,English,USA,R,80000000,2010,223
Seth Gordon,88,91,4000,120136047,Jon Favreau,Four Christmases ,48500,Katy Mixon,2,English,Germany,PG-13,80000000,2008,3000
Chris Wedge,91,77,1000,128200012,Jim Broadbent,Robots ,103022,Paula Abdul,1,English,USA,PG,75000000,2005,311
John Woo,138,610,12000,112225777,Nicolas Cage,Face/Off ,283967,Joan Allen,0,English,USA,R,80000000,1997,1000
