num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,movie_title,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,content_rating,budget,actor_2_facebook_likes
36,104,249,Aki Aleong,294,Action|Thriller,Pound of Flesh ,Brahim Achabbakhe,0,fighting|hand to hand combat|jujitsu|kickboxing|organ,29,English,R,7500000,284
120,120,82,Lois Maxwell,244,Action|Adventure|Thriller,Diamonds Are Forever ,Jill St. John,2,cat|diamond|ford mustang|james bond 007|yanked off bikini top,276,English,GP,7200000,177
208,175,0,Marlon Brando,14000,Crime|Drama,The Godfather ,Robert Duvall,1,crime family|mafia|organized crime|patriarch|rise to power,2238,English,R,6000000,10000
51,95,213,Cynthia Rhodes,225,Drama|Music|Romance,Flashdance ,Lee Ving,0,ballet school|dance|dancer|overalls|steel worker,128,English,R,4000000,174
331,95,464,Chloë Grace Moretz,23000,Comedy|Drama|Romance,500 Days of Summer ,Zooey Deschanel,43,friend|greeting card|office|summer|true love,494,English,PG-13,7500000,17000
83,121,319,Ian Mune,1000,Drama|Music|Romance,The Piano ,Geneviève Lemon,1,adultery|daughter|male rear nudity|new zealand|piano,241,English,R,7000000,18
324,110,0,Alex Pettyfer,17000,Comedy|Drama,Magic Mike ,Matthew McConaughey,1,bank|male nudity|male objectification|male stripper|stripper,281,English,R,7000000,15000
140,96,474,Emma Caulfield,1000,Horror|Mystery|Thriller,Darkness Falls ,Angus Sampson,0,boy|darkness|light|tooth|tooth fairy,369,English,PG-13,11000000,970
136,121,82,Geoffrey Holder,581,Action|Adventure|Thriller,Live and Let Die ,Clifton James,3,british|cards|heroin|murder|tarot card,251,English,PG,7000000,547
79,95,13,Frankie Muniz,1000,Drama|Family|Sport,My Dog Skip ,Cody Linley,0,1940s|dog|mississippi|puppy|veteran,149,English,PG,5000000,934
160,112,20,Sakina Jaffrey,16000,Comedy|Drama|Romance,Definitely, Maybe ,Paulina Gerzon,5,college|daughter|girl|sex|wisconsin,168,English,PG-13,,109
52,112,70,Loretta Devine,1000,Comedy|Drama,Jumping the Broom ,Laz Alonso,8,martha's vineyard|mother|older woman younger man relationship|wedding|weekend,59,English,PG-13,6600000,912
490,143,1000,Elizabeth Debicki,29000,Drama|Romance,The Great Gatsby ,Steve Bisley,4,ingratitude|mansion|party|title appears in writing|tragedy,753,English,PG-13,105000000,509
351,93,0,Tate Donovan,21000,Biography|Drama|History,Good Night, and Good Luck. ,Alex Borstein,0,cbs|expose|fear|paranoia|reporter,526,English,PG,7500000,650
271,110,152,Michael J. Burg,22000,Biography|Crime|Drama,Capote ,Kwesi Ameyaw,1,book|holcomb kansas|kansas|killer|truman capote,416,English,R,7000000,68
93,104,0,Steve Buscemi,16000,Action|Crime|Thriller,Desperado ,Salma Hayek,0,crushed by a car|female frontal nudity|female nudity|female rear nudity|one against many,202,English,R,7000000,12000
71,115,187,Sarah Polley,14000,Drama|Romance|Western,The Claim ,Shirley Henderson,4,gold|gold mine|miner|railroad|surveyor,92,English,R,20000000,900
54,53,,Adam Goldberg,4000,Crime|Drama|Thriller,Fargo             ,Oliver Platt,0,anthology|death|insurance salesman|minnesota|police officer,173,English,TV-MA,,1000
112,119,23,Jenny Agutter,1000,Action|Adventure|Sci-Fi,Logan's Run ,Peter Ustinov,1,cat|computer|cult film|runner|sanctuary,242,English,PG,9000000,659
118,125,82,Hervé Villechaize,16000,Action|Adventure|Thriller,The Man with the Golden Gun ,Desmond Llewelyn,3,assassin|bikini|girl in a bikini|mission|secret agent,258,English,PG,13000000,387
35,96,22,Vanity,1000,Action|Comedy|Crime|Thriller,Action Jackson ,Carl Weathers,2,murder|power|psychotronic|tough cop|union,65,English,R,7000000,841
342,100,197,Shauna Macdonald,513,Adventure|Horror|Thriller,The Descent ,Craig Conway,0,cave|expedition|friendship between women|group of friends|survival horror,1100,English,R,3500000,239
14,46,0,Michael Jordan,13000,Documentary|Sport,Michael Jordan to the Max ,Bob Costas,0,basketball|basketball player|character name in title|chicago bulls|imax,13,English,,,366
137,89,14,Allison Miller,971,Horror|Mystery,Devil's Due ,Vanessa Ray,0,eiffel tower at night|honeymoon|implied insemination|party|taxi driver,120,English,R,7000000,479
50,92,737,Mary Tyler Moore,718,Comedy,Flirting with Disaster ,David Patrick Kelly,3,adoption|armpit fetish|mistaken identity|new mexico|overalls,105,English,R,7000000,524
261,109,0,Ken Foree,1000,Crime|Horror,The Devil's Rejects ,Lew Temple,0,escape|police|road trip|sheriff|texas,687,English,R,7000000,649
96,44,,Alyson Hannigan,4000,Action|Drama|Fantasy|Romance,Buffy the Vampire Slayer             ,Emma Caulfield,0,action heroine|coming of age|destiny|double life|vampire,665,English,TV-14,2300000,3000
180,103,44,Rick Fox,637,Comedy|Crime|Drama,Dope ,Kiersey Clemons,3,african american|geek|hip hop|party|tomboy,89,English,R,7000000,256
28,95,48,Omar Epps,1000,Crime|Drama|Thriller,In Too Deep ,Nia Long,1,cunnilingus|oral sex|police|sex scene|undercover,29,English,R,7000000,865
750,143,0,Helen McCrory,883,Action|Adventure|Thriller,Skyfall ,Rory Kinnear,0,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,1498,English,PG-13,200000000,563
202,105,0,Matthew McGrory,1000,Horror,House of 1000 Corpses ,Erin Daniels,0,actor playing multiple roles|axe|dark comedy|masked man|sadism,922,English,R,7000000,340
8,79,0,Elizabeth MacRae,246,Horror,Alien Zone ,Charles Aidman,0,affair|child murderer|mortician|strangulation|supernatural power,21,English,PG,350000,29
341,106,1000,Fred Melamed,816,Comedy|Drama,A Serious Man ,Peter Breitmayer,1,bar mitzvah|jewish|marital breakup|nose job|rabbi,324,English,R,7000000,105
160,100,11,Robert Duvall,13000,Drama|Mystery,Get Low ,Bill Cobbs,1,funeral|funeral home|hermit|party|secret,97,English,PG-13,7500000,3000
31,103,49,Richard E. Grant,687,Action|Fantasy|Horror|Thriller,Warlock ,Lori Singer,0,17th century|book|death|warlock|witch hunter,79,English,R,7000000,554
71,116,107,Nate Parker,893,Drama|Music,Beyond the Lights ,Darryl Stephens,1,domestic abuse|public humiliation|sex symbol|singer|suicide attempt,37,English,PG-13,7000000,664
281,99,192,Teddy Sears,14000,Drama|Romance,A Single Man ,Keri Lynn Pratt,2,car accident|male full back nudity|practicing a suicide|public nudity|suicide contemplation,247,English,R,7000000,343
114,164,17000,Barbara Hershey,883,Drama,The Last Temptation of Christ ,Roberts Blossom,0,carpenter|exorcism|faith|reference to jesus christ|temptation,308,English,R,7000000,618
72,96,30,George Wendt,761,Comedy|Drama|Romance,Outside Providence ,Shawn Hatosy,3,class|cornwall connecticut|dog|friend|pawtucket rhode island,100,English,R,7000000,412
119,122,98,Martin Henderson,729,Comedy|Drama|Musical|Romance,Bride & Prejudice ,Anupam Kher,1,bollywood|india|jane austen|london england|travel,276,English,PG-13,7000000,579
74,94,176,David Gulpilil,116,Adventure|Biography|Drama|History,Rabbit-Proof Fence ,Deborah Mailman,1,aborigine|based on true story|colonialism|fence|half caste,249,Aboriginal,PG,6000000,93
25,93,70,Faizon Love,692,Comedy|Sport,Who's Your Caddy? ,Lil' Wayne,0,2000s|golf caddy|golf course|golfer|question mark in title,46,English,PG-13,7000000,585
39,96,6,Alun Armstrong,206,Action|Crime|Horror|Sci-Fi|Thriller,Split Second ,Alastair Duncan,0,appearing from water|breasts|creature|partner|water,75,English,R,7000000,192
27,60,,Xander Berkeley,787,Action|Crime|Drama|Thriller,Nikita             ,Aaron Stanford,1,assassin|death|female protagonist|rogue|training,83,English,,,485
27,113,7,Nathaniel Lees,11000,Adventure|Biography|Drama,The Other Side of Heaven ,Miriama Smith,2,1950s|idaho|love|missionary|mormon,85,English,PG,7000000,43
11,60,,Ashley Scott,10000,Action|Drama|Mystery|Sci-Fi,Dark Angel             ,John Savage,1,cat burglar|female lead|future|mixed martial arts|post apocalypse,160,English,TV-14,,794
29,192,147,Preity Zinta,8000,Drama|Musical|Romance,Veer-Zaara ,Anupam Kher,0,fair|pakistan|prison|rescue|stranded,119,Hindi,,7000000,860
158,99,342,Randy Couture,1000,Drama|Sport,Redbelt ,Jose Pablo Cantillo,0,bar|debt|fight|instructor|jujitsu,119,English,R,7000000,518
223,91,157,Tim Guinee,490,Comedy|Drama|Romance,Cyrus ,Katie Aselton,2,21 year old|forename as title|musician|party|rearview mirror,126,English,R,7000000,259
25,100,0,Cheryl Ladd,655,Drama|Family,A Dog of Flanders ,Jack Warden,0,artist|box office flop|dog|drawing|flanders,20,English,PG,7000000,476
97,105,261,Michael McKean,783,Biography|Crime|Drama,Auto Focus ,Kurt Fuller,3,friendship|photography|radio|sex addict|video,147,English,R,7000000,658
117,99,60,Jimmy Fallon,4000,Biography|Drama,Factory Girl ,Beth Grant,0,andy warhol|female nudity|public nudity|singer|socialite,106,English,R,7000000,787
389,112,159,Siobhan Fallon Hogan,3000,Drama|Thriller,We Need to Talk About Kevin ,Ashley Gerasimovich,0,archery|defiance|mental illness|psychopath|toilet training,301,English,R,7000000,294
9,100,0,Hans Matheson,2000,Drama|Family,The Christmas Candle ,Lesley Manville,0,angel|candle|christmas|miracle|village,34,English,PG,,627
34,99,2,Marley Shelton,1000,Drama|Sport,The Mighty Macs ,Jennifer Butler,2,basketball|catholic|coach|college|nun,12,English,G,7000000,690
7,100,161,Shelley Long,10000,Comedy|Drama|Family,Losin' It ,Rick Rossovich,0,apostrophe in title|bare breasts|friendship between men|teen sex comedy|two word title,16,English,R,7000000,422
161,125,127,Jimmy Smits,6000,Drama|Romance,Mother and Child ,Carla Gallo,6,adoption|baby|girl|lawyer|sex,65,English,R,4825000,941
6,107,6,Terence Hill,963,Adventure|Drama|Romance|War,March or Die ,Jack O'Halloran,1,arab|bare chested male|foreign legion|french foreign legion|morocco,26,English,PG,9000000,750
16,107,8,Isabelle Nanty,106,Comedy|Fantasy|Sci-Fi,Les visiteurs ,Valérie Lemercier,1,distant past|future time travel|nobleman|squire|trapped in the past,78,French,R,50000000,54
301,97,0,Chris Pontius,227,Comedy|Drama,Somewhere ,Erin Wasson,0,actor|boredom|luxury hotel|party|trip,198,English,R,7000000,218
52,105,10,Susie Abromeit,756,Comedy,I Hope They Serve Beer in Hell ,Derek Wayne Johnson,1,bachelor party|bare butt|loud sex|sex standing up|topless female nudity,72,English,R,,216
12,95,43,Raquel Welch,1000,Comedy,Chairman of the Board ,Larry Miller,1,box office flop|company|invention|roommate|surfer,62,English,PG-13,10000000,788
134,106,58,Natalie Portman,23000,Drama,Hesher ,Rainn Wilson,0,bully|car|car accident|fire|vomiting,99,English,R,7000000,20000
151,93,47,Mark Wingett,554,Comedy|Crime|Drama,Dom Hemingway ,Richard Graham,2,male frontal nudity|male nudity|male rear nudity|nudity|sex scene,66,English,R,,524
103,103,835,Casey Affleck,13000,Adventure|Drama|Mystery,Gerry ,,0,desert|friend|friendship|minimal dialogue|water,290,English,R,3500000,0
39,96,5,Luke Newberry,766,Drama|Romance,The Heart of Me ,Eleanor Bron,3,1930s|car accident|hospital|marital rape|painter,25,English,R,7000000,358
133,103,6,Josh Charles,7000,Biography|Drama|Romance,Freeheld ,Luke Grimes,0,cancer|gay bar|lesbian kiss|partner|public hearing,25,English,PG-13,7000000,1000
104,108,30,Marian Seldes,474,Comedy,The Extra Man ,Dan Hedaya,4,co worker|escort|magazine|teacher|writer,29,English,R,7000000,403
121,177,23,Yuriy Tsurilo,4,Drama|Sci-Fi,Hard to Be a God ,Valentin Golubenko,0,fictional war|hanging|male full frontal nudity|medieval times|nudity,28,Russian,Not Rated,7000000,4
27,118,0,Mike Starr,26000,Comedy|Crime|Thriller,Ca$h ,Paul Sanchez,2,cash|financial problem|heist|land rover|mortgage,38,English,R,7000000,854
49,97,554,Julie Walters,876,Drama,Wah-Wah ,Miranda Richardson,3,alcoholic|alcoholic father|stepmother|swaziland|unfaithful wife,50,English,R,7000000,838
100,102,78,David Della Rocco,12000,Action|Crime|Thriller,The Boondock Saints ,Bob Marley,2,fbi|fbi agent|friend|irish|mafia,876,English,R,7000000,333
12,92,4,Louis Koo,91,Action|Crime,Z Storm ,Stephen Au,1,,1,Cantonese,,7000000,82
112,88,0,Bruce Dern,1000,Comedy|Fantasy|Horror|Mystery,Twixt ,Joanne Whalley,0,ghost|hotel|murder|stake|what happened to epilogue,70,English,R,7000000,844
10,80,0,Wendee Lee,99,Adventure|Animation|Family,Snow Queen ,Ivan Okhlobystin,1,3d,9,Russian,PG,7000000,62
2,45,24,Kate Higgins,122,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,Alpha and Omega 4: The Legend of the Saw Toothed Cave ,Cindy Robinson,0,blindness|cave|spirit|wolf|wolf cub,6,,,7000000,35
38,115,16000,Chris Penn,16000,Western,Pale Rider ,Sydney Penny,0,gold|miner|preacher|prospector|sheriff,138,English,R,6900000,455
18,97,49,Christopher Judge,878,Action|Adventure|Drama|Fantasy|Sci-Fi,Stargate: The Ark of Truth ,Julian Sands,5,2000s|evil god|space opera|stargate|wormhole,42,English,,,847
152,102,0,Adam Goldberg,14000,Comedy,Dazed and Confused ,Cole Hauser,1,football|hazing|high school|last day of school|pledge,408,English,R,6900000,1000
44,111,197,Corbin Bleu,755,Comedy|Drama|Family|Music|Musical|Romance,High School Musical 2 ,Olesya Rulin,5,2000s|basketball|country club|lifeguard|talent show,162,English,TV-G,7000000,632
6,96,16,Justin Edward Seale,149,Drama|Romance,Two Lovers and a Bear ,John Ralston,0,,6,English,,8700000,147
46,94,0,Edi Gathegi,15000,Crime|Drama|Thriller,Criminal Activities ,Travis Aaron Wade,3,african american gangster|falling to death|in over one's head|murder|surveillance,38,English,,7000000,725
63,125,4,Johanna Wokalek,177,Biography|Drama|Romance|War,Aimee & Jaguar ,Maria Schrader,1,lesbian mother|lesbian parent|lesbian relationship|lesbian romance|lesbianism,51,German,,15000000,66
74,108,3,John Heard,710,Comedy|Drama,The Chumscrubber ,Tim DeKay,1,chumscrubber|death|friend|pills|school,129,English,R,6800000,697
25,101,0,Jason Cerbone,240,Crime|Thriller,Shade ,Mark De Alessandro,8,bar|strip club|stripper|texas hold 'em|thong,65,English,R,6800000,83
224,101,13,Nolan Gerard Funk,34000,Drama|Horror|Thriller,House at the End of the Street ,Gil Bellows,1,brother sister relationship|death of sister|female protagonist|mother daughter relationship|murder,160,English,PG-13,6900000,924
226,139,777,Mélissa Désormeaux-Poulin,131,Drama|Mystery|War,Incendies ,Ahmad Massad,0,brother sister relationship|family relationships|middle east|mother son relationship|twin brother and sister,156,French,R,6800000,66
36,125,125,Silvio Muccino,60,Comedy|Drama|Romance,Remember Me, My Love ,Giulia Michelini,1,box office hit|dancer|sex scene|television|underage sex,21,Italian,R,5000000,29
54,88,11,Brendan Coyle,1000,Action|Comedy|Crime|Drama|Romance|Thriller,Perrier's Bounty ,Michael McElhatton,8,burglary|estranged father|money|neighbor|thug,31,English,R,,418
142,115,294,Fernanda Machado,585,Action|Crime|Drama|Thriller,Elite Squad ,André Ramiro,1,brazil|military police|police|rio de janeiro brazil|slum,107,Portuguese,R,4000000,39
271,99,40,Annabelle Wallis,1000,Horror|Mystery,Annabelle ,Gabriel Bateman,0,horror movie prequel|murder|paranormal activity|self sacrifice|suicide,291,English,R,6500000,421
33,88,3,Magda Szubanski,46,Comedy|Drama|Musical,Bran Nue Dae ,Jessica Mauboy,7,australia|journey|love|priest|traveling,31,English,PG-13,6500000,46
64,112,309,Lloyd Avery II,27,Crime|Drama,Boyz n the Hood ,Na'Blonka Durden,2,drugs|escape|football|friend|violence,183,English,R,6000000,26
18,108,7,Rosanna DeSoto,699,Biography|Drama|Music,La Bamba ,Danielle von Zerneck,1,crash|hispanic|interracial relationship|interracial romance|racism,63,English,PG-13,6500000,63
6,107,0,Len Cariou,804,Comedy|Drama,The Four Seasons ,Sandy Dennis,2,directed by star|friendship|reference to isaac newton|skinny dipping|written and directed by cast member,33,English,PG,,167
121,104,0,David Margulies,754,Mystery|Romance|Thriller,Dressed to Kill ,Nancy Allen,0,apartment|elevator|murder|psychiatrist|sunglasses,201,English,X,6500000,567
14,108,208,Frances Conroy,876,Adventure|Comedy|Drama|Family,The Adventures of Huck Finn ,Anne Heche,0,boy|lesson|mississippi river|river|slave,54,English,PG,6500000,827
137,102,218,Jay Mohr,900,Comedy|Crime,Go ,Scott Wolf,3,drug deal|drugs|sex|sex on stairs|strip club,418,English,R,6500000,563
111,88,132,Marin Hinkle,435,Comedy|Drama|Romance,Friends with Money ,Jake Cherry,2,friend|friendship|marital problem|money problems|nervous breakdown,166,English,R,6500000,230
57,115,338,Paula Kelly,116,Sci-Fi|Thriller,The Andromeda Strain ,Eric Christmas,0,alien|baby|new mexico|satellite|scientist,171,English,G,6500000,112
97,91,38,Bob Gunton,730,Horror|Sci-Fi|Thriller,Bats ,Ned Bellamy,0,animal attack|bat|creature feature|experiment|mad scientist,160,English,PG-13,6500000,461
