duration,actor_1_name
103,Omar Epps
107,Ted Danson
106,Alexa PenaVega
101,Natascha McElhone
109,Josh Hutcherson
110,Daniel Radcliffe
89,Justin Theroux
100,Bernie Mac
119,M. Emmet Walsh
83,Michael Jai White
108,Norman Reedus
102,Gary Dourdan
93,Rufus Sewell
84,Bridgette Wilson-Sampras
107,Chris Evans
91,John Gatins
94,Eric Idle
115,Ray Winstone
93,Alex Pettyfer
105,Sarah Roemer
107,Angelina Jolie Pitt
101,James Brolin
111,Jennifer Jason Leigh
113,Jet Li
112,Jay Hernandez
126,Chris Evans
90,Adam Goldberg
93,Matthew Broderick
98,Michael Wincott
159,Tamannaah Bhatia
107,Arliss Howard
102,Colin Ferguson
106,Paul Walker
87,Martin Landau
119,Adam Baldwin
110,Omar Epps
125,Margot Kidder
113,Robert De Niro
150,Takeshi Kaneshiro
108,Ethan Embry
96,Gerard Butler
93,Austin Pendleton
100,Steve Buscemi
118,LeVar Burton
122,Tony Chiu Wai Leung
120,Robert Pattinson
60,Joseph Gordon-Levitt
88,Blythe Auffarth
146,Denzel Washington
115,Bill Cobbs
123,Sarah Silverman
94,D.B. Woodside
102,Sonia Braga
98,Jim Belushi
133,Johnny Depp
118,J.K. Simmons
105,Beth Grant
109,Mo'Nique
129,Jeff Bridges
109,Wilford Brimley
127,Vin Diesel
118,Gregory Scott Cummins
110,Tom Skerritt
90,Bill Murray
144,Mike Howard
97,Hayden Christensen
130,Dennis Quaid
112,Chloë Grace Moretz
133,Sylvester Stallone
150,Jeremy Renner
110,Anna Kendrick
96,J.K. Simmons
96,Gerard Butler
123,Chris Hemsworth
188,Patton Oswalt
107,Bruce Willis
110,Alison Brie
113,Morgan Freeman
122,Kristen Stewart
116,Denzel Washington
93,Peter Greene
118,Laura-Leigh
115,Yuliya Snigir
93,Kathleen Quinlan
121,Bernie Casey
101,Charlie McDermott
107,Morgan Freeman
124,Charlize Theron
109,Vin Diesel
105,Emma Stone
130,Alexa PenaVega
127,Rick Yune
114,Anthony Hopkins
106,Blair Underwood
95,Stockard Channing
81,Cheryl Hines
95,Bernie Mac
108,Bradley Cooper
105,Mike Tyson
95,Muse Watson
126,Michael Gough
102,Jordi Mollà
121,Rene Russo
129,Catherine Dyer
43,Jon Foo
88,Alexa PenaVega
106,Kevin Spacey
110,Matt Damon
109,Meryl Streep
143,Leonard Nimoy
120,Jon Favreau
128,Robert De Niro
123,Kevin Spacey
129,Amy Schumer
105,Bernie Mac
162,Colin Firth
138,Kevin Spacey
100,Michael Angarano
90,Tom Selleck
108,Natasha Henstridge
101,Johnny Depp
109,Dylan Baker
132,Leonardo DiCaprio
123,Scott Glenn
87,Chris Evans
109,Alfre Woodard
109,Mila Kunis
92,Chloë Grace Moretz
125,Tom Hanks
202,Denzel Washington
134,Charlyne Yi
88,Robin Williams
92,Craig Parker
91,Robin Williams
75,Jon Lovitz
98,Stockard Channing
147,Johnny Depp
100,Milla Jovovich
120,Heather O'Rourke
104,J.K. Simmons
103,Mila Kunis
109,Matt Bomer
104,Danneel Ackles
112,Ashley Williams
60,Jodi Lyn O'Keefe
95,Tom Wilkinson
102,Tatum O'Neal
102,Ming-Na Wen
150,Emilia Fox
122,Johnny Depp
101,Keisha Castle-Hughes
108,Robert Ri'chard
98,Natalie Portman
137,Leonardo DiCaprio
112,Jason Flemyng
101,Aaliyah
103,Adam Baldwin
101,Billy Burke
112,Brendan Fraser
111,Brian Blessed
102,Stephen Root
101,Cicely Tyson
155,Kevin Spacey
93,Robert De Niro
109,Daniel Mays
140,Frank Whaley
108,Mitch Pileggi
96,Anne Hathaway
123,Will Smith
106,Ken Arnold
76,Jim Broadbent
107,Robert Downey Jr.
82,Drake Bell
109,Alona Tal
99,Shannon Elizabeth
91,Joseph Gordon-Levitt
87,Jim Gaffigan
125,Djimon Hounsou
118,Jason Statham
98,Kirsten Dunst
92,Brendan Fraser
93,Alex Russell
116,Liam Neeson
92,Meryl Streep
115,Rosanna Arquette
120,Tim Meadows
111,Kevin Spacey
94,Gregory Smith
100,Michiel Huisman
101,Tom Skerritt
139,Brad Pitt
91,Paul Sorvino
109,Mireille Enos
102,Heath Ledger
103,Julie Benz
83,Kevin Zegers
123,Joseph Gordon-Levitt
101,Marley Shelton
117,Archie Panjabi
60,Ruth Wilson
114,Adam Baldwin
330,Delroy Lindo
121,Jim Broadbent
114,Peter Coyote
156,Oliver Reed
135,Olivier Martinez
148,Jeremy W. Auman
148,Maricel Álvarez
109,Tamsin Egerton
93,Salma Hayek
,Bill Cobbs
113,Ki Hong Lee
91,Tom Wilkinson
139,Richard E. Grant
96,Hugh Jackman
102,David Paymer
96,Nicolas Cage
101,Rumi Hiiragi
128,Tiago Riani
109,Johnny Depp
114,Liam Aiken
105,Gerard Butler
141,Terry Pheto
195,Paul Sorvino
138,Tom Cruise
101,Michael Jai White
99,Nia Long
85,Kyle Hebert
89,Max Minghella
99,Ryan Guzman
105,Lin Shaye
97,Keanu Reeves
140,Laura Harring
118,Sean Pertwee
94,Jason Statham
124,Angelina Jolie Pitt
134,Harrison Ford
113,Ryan Kruger
124,Kate Winslet
98,Justin Theroux
97,Peter Dinklage
123,Robert Duvall
99,James Coburn
101,Bill Murray
92,Ana de la Reguera
131,Matt Lucas
107,Channing Tatum
103,Nia Long
129,Robert De Niro
107,Paul Walker
89,Robin Williams
113,Brandon T. Jackson
93,Jake Gyllenhaal
120,Illeana Douglas
98,Logan Lerman
105,Callum Rennie
142,Christopher Lee
98,Ken Howard
96,Viggo Mortensen
87,Jason Statham
107,Leonardo DiCaprio
90,Frances Fisher
121,Nicolas Cage
119,Alice Braga
107,Robert Forster
110,Haley Joel Osment
100,Steve Buscemi
75,George Kennedy
132,Bill Murray
105,Tony Curran
93,Joan Plowright
289,Harrison Ford
102,Rob Riggle
143,Alicia Witt
113,Gary Oldman
161,Meryl Streep
138,Denzel Washington
126,Desmond Llewelyn
99,Bill Murray
101,Anthony Hopkins
103,Julian Sands
118,Dennis Quaid
116,Ed Begley Jr.
99,Chris Hemsworth
105,Delroy Lindo
113,Colm Feore
93,Steve Buscemi
108,Alyson Hannigan
74,Tom Hanks
116,Keanu Reeves
104,Channing Tatum
106,Harrison Ford
120,Ryan Gosling
135,Scott Glenn
132,Alex Pettyfer
92,Gary Cole
99,Anjelica Huston
90,Bruce Spence
111,Anne Hathaway
103,Stockard Channing
127,Morgan Freeman
112,Sharlto Copley
87,Scarlett Johansson
138,John Doman
132,Clint Eastwood
103,Robert De Niro
123,Ryan Gosling
111,Judy Greer
102,Emily Osment
78,Elizabeth Daily
132,George Carlin
133,Anthony Hopkins
108,J.K. Simmons
125,Hope Davis
98,Cory Hardrict
119,Joseph Gordon-Levitt
87,Chazz Palminteri
91,Miriam Margolyes
100,Meryl Streep
118,Mila Kunis
44,Zach Gilford
109,Josh Charles
99,Tina Fey
114,Bill Cobbs
89,Anne Hathaway
95,Antony Starr
98,Jennifer Garner
94,Kurt Fuller
85,Liam Neeson
124,Johnny Depp
131,Robin Wright
107,Leonard Nimoy
99,Brenda Song
83,George Kennedy
131,Patrick Macnee
85,Mark Gatiss
126,Gerard Butler
102,Bruce Greenwood
123,Benedict Cumberbatch
105,Vanessa Redgrave
125,Stephen Root
92,Kate Upton
77,Johnny Depp
118,Mehcad Brooks
121,Edgar Arreola
124,Jake Gyllenhaal
99,Bojana Novakovic
112,Harrison Ford
111,Haley Joel Osment
107,Alyson Stoner
104,Faizon Love
113,Will Ferrell
113,Danny Huston
95,Chris Hemsworth
86,Carmen Electra
126,Robert De Niro
101,Yaphet Kotto
102,Bill Murray
111,Jessica Barden
60,Zach Gilford
95,Brian Thompson
98,Tom Hanks
100,Chloë Grace Moretz
118,Alfre Woodard
28,Debi Mazar
125,Dwayne Johnson
94,Bernie Mac
79,Martin Landau
106,Channing Tatum
111,Devin Ratray
63,Craig Ferguson
85,Elden Henson
108,Warren Beatty
139,Tika Sumpter
127,Meryl Streep
106,Denzel Washington
95,Rainn Wilson
118,Olivia Munn
108,Ioan Gruffudd
105,Holly Hunter
131,Alison Brie
104,Bernie Mac
133,Olivia Wilde
94,Milla Jovovich
109,Brian Dennehy
96,Mira Sorvino
105,Salma Hayek
99,Scarlett Johansson
112,Jake Gyllenhaal
108,Al Pacino
126,Jeremy Renner
98,Bruce Willis
104,Sarah Polley
110,Lea Thompson
130,Jennifer Ehle
93,Eddie Cibrian
96,David Paymer
114,Jessica Paré
106,Grace Phipps
150,Christian Bale
100,Saffron Burrows
100,Robert Downey Jr.
100,Ian Whyte
107,Zach Gilford
102,Robert De Niro
101,Annabella Sciorra
86,Amy Poehler
108,Morgan Freeman
123,Andrew Garfield
134,Mark Addy
511,Ólafur Darri Ólafsson
88,Justin Timberlake
109,Tyler Labine
122,Denzel Washington
251,Robert De Niro
118,Dominic Cooper
131,Al Pacino
109,Emir Kusturica
80,Channing Tatum
88,Emily Watson
103,Dong-gun Jang
87,Steve Howey
160,Brad Pitt
121,Bingbing Li
91,Louise Bourgoin
92,Jason Statham
129,Gerard Butler
93,Jim Broadbent
118,Terry Pheto
110,Fisher Stevens
103,Paz Vega
85,Konstantin Khabenskiy
110,Ray Winstone
89,James Franco
115,Anna Kendrick
153,Sandra Ellis Lafferty
42,Amanda Schull
128,Lisa Edelstein
89,Jim Broadbent
122,Toby Jones
113,Dick Clark
99,Matthew Perry
99,Peter Dinklage
147,Denzel Washington
112,Zooey Deschanel
88,Jason Flemyng
94,Jennifer Jason Leigh
90,Robin Williams
167,Aldis Hodge
118,Harrison Ford
83,Elizabeth Daily
104,Morgan Freeman
110,Meryl Streep
102,Johnny Depp
131,Alan Rickman
