actor_2_name,actor_3_name,title_year,imdb_score
Keith Allen,Sandra Nelson,2004,6.6
Larry David,Mia Farrow,1989,6.4
Kyla Pratt,Shirley Douglas,1998,2.8
RZA,Daniel Wu,2012,5.4
Jake Busey,Shelley Duvall,1998,5.0
Chris Klein,Elaine Hendrix,2000,5.1
Bob Hoskins,Jim Broadbent,1985,8.0
Rebecca De Mornay,Jason Ritter,2004,5.9
Nicole de Boer,Chris Bruno,,7.5
Jeff Bridges,Steve Buscemi,1998,8.2
Michael Raymond-James,S. Epatha Merkerson,2006,7.0
Dash Mihok,Michael Michele,2002,6.6
Archie Panjabi,Dan Futterman,2007,6.7
Jodi Lyn O'Keefe,Marla Sokoloff,2000,5.5
Lin Shaye,Bob Gunton,2002,4.9
Tom Wilkinson,Rupert Everett,2002,6.9
Campbell Scott,Estelle Parsons,1998,7.4
Neil Flynn,Tim Blake Nelson,2006,5.6
Anna Madeley,Eric Godon,2008,8.0
S. Epatha Merkerson,Diahann Carroll,2013,5.3
Bradley Cooper,Josh Gad,2008,6.2
Zach Gilford,Bobby Coleman,2009,5.3
Hal Holbrook,Terry Kinney,2012,6.6
Michael McKean,Conleth Hill,2009,7.2
Susan Ward,A.J. Buckley,2000,4.6
Dwight Yoakam,Guillermo Arriaga,2005,7.5
Mark Margolis,Michael Jeter,1999,6.5
Corbin Bernsen,Larry Miller,2005,7.6
Fred Willard,Elden Henson,1999,6.2
Robert Forster,Laura Harring,2001,8.0
Agnes Bruckner,Chris Geere,2007,5.5
Naomi Watts,Ewen Bremner,2010,6.3
Charlie Rowe,Charlotte Rampling,2010,7.2
Tom Hollander,Alessandro Nivola,,7.9
Eduardo Noriega,Mac McDonald,2008,6.7
Pamela Reed,Mike Muscat,1986,5.3
Elizabeth Perkins,Noah Emmerich,1999,6.3
Siobhan Fallon Hogan,Brady Corbet,2007,6.5
Kalim Chandler,Amber Marie Bollinger,2014,5.6
Elaine Cassidy,Gerard McSorley,1999,7.0
Gustav Fröhlich,Rudolf Klein-Rogge,1927,8.3
Cyril Raffaelli,Dany Verissimo-Petit,2004,7.2
Bill Cobbs,Treat Williams,1995,6.8
Chen Chang,Satoshi Tsumabuki,2015,6.4
Scott Glenn,Leon,2001,6.9
Vladimir Garin,Nataliya Vdovina,2003,8.0
Petchtai Wongkamlao,Sarunyu Wongkrachang,2008,6.2
JJ Feild,Dave Legeno,2010,6.4
Gina Bellman,Conrad Dunn,1996,5.6
Brooke Shields,Leslie Bibb,2008,6.1
Wendy Crewson,Aubrey Poo,2011,6.0
Al Pacino,Tracy Morgan,2011,5.1
Udo Kier,Edward Fox,2001,4.5
Gael Le Cornec,Keith Allen,2007,5.9
Hans Matheson,Franco Nero,2008,6.0
Steve Buscemi,Loretta Devine,2013,5.8
Robert Forster,Melanie Griffith,2014,6.1
Lucy Gaskell,Steven Elder,2005,4.9
Rodrigo De la Serna,Ferdinando Vetere,2015,5.7
Daniel Wu,Yasuaki Kurata,2009,7.1
Dexter Fletcher,Linus Roache,2000,6.6
Chris Elliott,Willie Garson,1993,8.1
Channing Tatum,Kevin Nash,2015,5.7
Harold Perrineau,Brian Dennehy,1996,6.8
Aidan Quinn,Arben Bajraktaraj,2010,7.5
David Rasche,Bart Shatto,2014,6.2
Morgan Freeman,Frances Fisher,1992,8.3
Jeremy Davies,Jean-Marc Barr,2005,7.4
Saurabh Shukla,Ayush Mahesh Khedekar,2008,8.0
Lois Smith,Anne Archer,1987,6.9
Hector Elizondo,Jason Alexander,1990,6.9
Andrea Martin,Joe Flaherty,,9.5
Linda Kozlowski,John Meillon,1988,5.5
Chris Marquette,Chad Bishop,2015,5.7
Tom Berenger,Stephen Baldwin,1989,7.2
Leon,Malik Yoba,1993,6.9
Jaime King,Edi Gathegi,2009,5.5
Madison Davenport,Natasha Calis,2012,5.9
Brian Dennehy,Chris Mulkey,1982,7.7
Laz Alonso,Harry Lennix,2007,5.2
Desmond Llewelyn,Barbara Bach,1977,7.1
Steve Gonsalves,Jason Hawes,,6.6
Loretta Devine,Julian Richings,1998,5.5
Peter Capaldi,Swoosie Kurtz,1988,7.7
Phylicia Rashad,Jamie Kennedy,2012,5.4
Klaus Maria Brandauer,Susan Hogan,1991,6.7
Elaine Hendrix,Molly Shannon,1999,5.0
Jim Broadbent,Olivia Colman,2011,6.4
Mike Nawrocki,Shelby Vischer,2002,6.6
Khandi Alexander,Maya Angelou,1993,5.9
Roger Guenveur Smith,Gino Salvano,2002,5.7
W. Earl Brown,Allen Payne,1995,4.5
Richard Burton,Ned Beatty,1977,3.7
James D'Arcy,Vernon Dobtcheff,2005,5.0
Tyler Labine,Molly Shannon,2003,4.6
Milla Jovovich,Marley Shelton,2009,6.5
Lance Gross,Lupe Ontiveros,2010,4.9
Linda Cardellini,Poppy Montgomery,1998,6.0
Joan Plowright,Paolo Seganti,1999,6.9
Bethany Joy Lenz,Kari Wuhrer,1996,5.7
Liza Minnelli,Mary Kay Place,1977,6.7
Delroy Lindo,Isaiah Washington,1994,6.9
Eliza Coupe,Wendell Pierce,2007,5.5
Kane Hodder,Lexa Doig,2001,4.4
Donald Faison,Lee Majors,2002,5.4
Nick Cannon,Brian Geraghty,2006,7.0
Ivana Milicevic,China Chow,2001,5.4
Jackson Nicoll,Osric Chau,2012,5.4
Mathieu Amalric,Isaach De Bankolé,2007,8.0
Noah Emmerich,Jane Adams,2006,7.6
Sharon Lawrence,Noam Jenkins,2000,5.9
Julie Kavner,Tovah Feldshuh,1999,6.6
Terry Pheto,Bonnie Henna,2006,6.7
Angela Featherstone,Candace Kroslak,2001,3.9
Todd Boyce,Nigel Whitmey,1995,5.7
Kristin Scott Thomas,Kris Marshall,2008,6.7
Joseph Cotten,Behrouz Vossoughi,1978,6.5
Ruth Sheen,Karl Johnson,2014,6.8
Sara Forestier,Edouard Baer,2009,6.3
Mathieu Kassovitz,Ulrich Mühe,2002,7.3
Shawn Yue,Kelly Lin,2010,6.9
Katherine LaNasa,Mark L. Young,2008,7.0
Kieran Culkin,John Gallagher Jr.,2011,6.5
Kenan Thompson,Diora Baird,2009,3.6
Rebecca De Mornay,Aidan Quinn,2010,7.7
Heath Ledger,Anne Hathaway,2005,7.7
Danny Woodburn,Jeremy Howard,2014,5.9
Dan Hedaya,Elisa Donovan,1995,6.8
Celia Weston,Michael Gaston,2002,7.4
Gillian Jacobs,Collette Wolfe,2015,5.1
Olaf Lubaszenko,Olgierd Lukaszewicz,,9.1
Stephen Marcus,Amelia Warner,2000,7.4
Gabourey Sidibe,Michael Stuhlbarg,2012,7.2
Tamara Tunie,Aunjanue Ellis,2001,6.0
Marian Dziedziel,Jaroslaw Boberek,,7.4
Bruno Ganz,Alexandra Maria Lara,2004,8.3
Lola Dueñas,Tamar Novas,2004,8.1
Paul Brannigan,Alison Chand,2013,6.3
J.T. Walsh,Bruno Kirby,1987,7.3
Stephanie Danielson,Michael Rispoli,2010,3.6
Sean Kingston,Boys II Men,2011,1.6
Mila Kunis,Mark Margolis,2010,8.0
Abbie Cornish,Jennifer Ehle,2014,6.2
Al Pacino,Robert Duvall,1974,9.0
Terry Kinney,Fredro Starr,2001,6.1
Rodney Eastman,Brooke Bundy,1988,5.7
Brighton Sharbino,Martin Henderson,2016,6.8
Mary Lynn Rajskub,Marla Sokoloff,2000,5.5
Patrick Wayne,Brian Keith,1988,6.8
Naomi Watts,Reg E. Cathey,2014,7.3
Regina Hall,Bryan Callen,2014,6.1
Heath Ledger,Andrew Keegan,1999,7.2
Eddie Griffin,Gene Simmons,2002,5.9
Lin Shaye,Bill Nunn,1993,6.1
Brett Cullen,Sedona Legge,2016,6.8
Eric Stoltz,Cameron Bright,2004,7.7
Mark Webber,Jean Smart,2000,4.9
Chris Brown,Loretta Devine,2007,6.1
Dom DeLuise,Ruby Dee,1999,2.5
Elliott Gould,Antonio Sabato Jr.,1998,6.1
Eartha Kitt,Charlotte Sullivan,1996,5.9
Beth Grant,Greg Germann,1990,5.7
Kate del Castillo,Henry Simmons,2014,5.6
Alexa Davalos,Jeffrey DeMunn,2007,7.2
Sonoya Mizuno,Corey Johnson,2015,7.7
Orson Bean,Mary Kay Place,1999,7.8
Vivica A. Fox,Tamala Jones,2001,6.1
Ella Wahlestedt,Jason Gray-Stanford,2014,5.8
Jay Hernandez,Rolando Molina,2001,6.5
Kazunari Ninomiya,Shidô Nakamura,2006,7.9
Virginia Madsen,Bruce Dern,2006,6.3
Jada Pinkett Smith,Dave Chappelle,1998,3.8
Jacob Tremblay,Cas Anvar,2015,8.3
Jack Warden,Traylor Howard,1998,6.4
Sam Waterston,Traci Lords,1994,6.7
Will Ferrell,Kirsten Dunst,1999,6.1
David Dencik,Lena Endre,,8.1
Vanessa Williams,Robert Ri'chard,1999,6.0
Ellen Albertini Dow,Sela Ward,1998,5.8
Geoffrey Arend,Marley Shelton,2001,5.6
Mathieu Kassovitz,Ben Chaplin,2001,6.1
Josie Loren,Sarah Wright,2013,5.9
Miranda Richardson,Catalina Sandino Moreno,2006,7.3
Kathryn Morris,Peter Coyote,2007,6.8
Sarita Choudhury,Christopher Evan Welch,2013,5.7
Daniel Auteuil,Yves Jacques,2000,7.3
Meghan Heffern,Natalie Lisinska,2009,6.3
Ryan O'Neal,Paul Mazursky,1996,5.9
Jake Gyllenhaal,Ethan Suplee,2009,7.1
Vin Diesel,Alex Rocco,2006,7.1
Ezra Miller,Kate Walsh,2012,8.0
Ian Gomez,Thomas Ian Griffith,1993,5.1
Isabella Rossellini,Hope Davis,2006,7.1
Sarah Polley,Shirley Henderson,2000,6.5
Alison Lohman,Dougray Scott,2015,4.5
Luke Treadaway,Jodie Whittaker,2011,6.6
Nikola Djuricko,Branko Djuric,2011,4.3
Tara Platt,Roma Maffia,2013,6.7
Dean Dawson,Jung-jae Lee,2016,6.8
Aden Young,Steve Bastoni,2002,5.4
Louis Herthum,Annie Golden,2009,6.6
Everett McGill,Gary Schwartz,1981,7.4
Kevin Connolly,Derek Luke,2002,7.3
Embeth Davidtz,Rob Morrow,2002,6.9
Gary Oldman,Michael Rapaport,1993,8.0
Matt Smith,Hannah Murray,2010,6.4
Al Pacino,Jude Ciccolella,1992,7.8
Ned Beatty,Jay R. Ferguson,2010,6.1
Ruby Dee,John Heard,1982,6.1
Margo Harshman,Rumer Willis,2009,5.1
Mary Astor,Ronald Colman,1937,7.8
Kelli Garner,Paul Schneider,2007,7.4
Sheila Hancock,Cara Horgan,2008,7.8
Udo Kier,Björk,2000,8.0
Richard Roxburgh,Clive Russell,1997,6.7
Vincent Gallo,Gretchen Mol,1996,6.6
David Costabile,Richard Schiff,2009,6.4
Don Johnson,Cheech Marin,2010,6.7
Eric Schweig,Christian Campbell,2010,6.2
Gabriel Damon,Bill Erwin,1988,7.3
Bin Won,Dong-gun Jang,2004,8.1
Cheech Marin,Bruce McGill,2009,7.0
Linda Blair,Lee J. Cobb,1973,8.0
Robert Shaw,Murray Hamilton,1975,8.0
Shannon Elizabeth,Natasha Lyonne,1999,7.0
Megan Mullally,Lambert Wilson,2012,7.9
Randall 'Tex' Cobb,Charlotte Lewis,1986,5.9
Romany Malco,Regina Hall,2012,6.6
Jason George,Cedric the Entertainer,2002,6.3
Kirstie Alley,Nichelle Nichols,1982,7.7
