num_critic_for_reviews,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,content_rating,budget,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
63,236,487,143000,Horror|Thriller,Matt Cohen,4122,1495,Noah Segan,http://www.imdb.com/title/tt1148200/?ref_=fn_tt_tt_1,48,R,5000000,298,2.35,0
20,56,599,39852,Comedy|Drama,Gretchen Mol,1238,1030,Peter Onorati,http://www.imdb.com/title/tt0162236/?ref_=fn_tt_tt_1,25,R,3000000,325,1.85,117
174,605,2000,22000,Drama|Sci-Fi|Thriller,Michael Biehn,30511,4920,Rosanna Arquette,http://www.imdb.com/title/tt1535616/?ref_=fn_tt_tt_1,226,R,3000000,683,2.35,0
90,77,767,128937,Drama|Horror|Romance,Aidan Quinn,2437,975,Jim Norton,http://www.imdb.com/title/tt1346961/?ref_=fn_tt_tt_1,31,R,,122,1.85,580
58,617,798,,Horror|Thriller,Frank Grillo,7358,4756,Aaron Yoo,http://www.imdb.com/title/tt1841642/?ref_=fn_tt_tt_1,39,R,3000000,634,,0
14,19,231,,Comedy,Neil Hopkins,1257,313,David Douglas,http://www.imdb.com/title/tt0385890/?ref_=fn_tt_tt_1,24,R,3000000,27,1.78,48
451,11000,40000,334185206,Adventure|Family|Fantasy,Johnny Depp,306336,79957,Anne Hathaway,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,PG,200000000,25000,1.85,24000
,452,1000,,Comedy,Taylor Negron,62,3882,Talia Shire,http://www.imdb.com/title/tt1390404/?ref_=fn_tt_tt_1,1,PG-13,3000000,975,1.85,54
21,357,433,5005,Drama,Tom Everett Scott,2280,1929,Chris Kattan,http://www.imdb.com/title/tt1151410/?ref_=fn_tt_tt_1,14,R,3000000,396,,448
9,47,652,,Action|Drama|Thriller,John Savage,1370,844,Emily Nelson,http://www.imdb.com/title/tt1922679/?ref_=fn_tt_tt_1,9,,3000000,124,2.35,433
98,975,3000,,Comedy,Christopher Meloni,16987,7191,Jack McBrayer,http://www.imdb.com/title/tt2398249/?ref_=fn_tt_tt_1,85,R,,1000,1.85,0
29,73,319,,Comedy,French Stewart,2978,845,Olivia Alexander,http://www.imdb.com/title/tt2417650/?ref_=fn_tt_tt_1,13,R,3000000,302,1.85,2000
23,454,2000,,Action|Drama|Sport,Michael Jai White,13599,3666,Jillian Murray,http://www.imdb.com/title/tt1754264/?ref_=fn_tt_tt_1,30,R,3000000,606,1.85,6000
87,480,756,,Crime|Thriller,Lee Marvin,13640,2715,Carroll O'Connor,http://www.imdb.com/title/tt0062138/?ref_=fn_tt_tt_1,128,Approved,3000000,754,2.35,3000
2,382,1000,,Comedy,Stephanie Szostak,118,2890,Salvatore Santone,http://www.imdb.com/title/tt1252289/?ref_=fn_tt_tt_1,1,,3000000,810,,32
17,471,2000,,Thriller,Noel Gugliemi,704,4469,Jason Priestley,http://www.imdb.com/title/tt2229377/?ref_=fn_tt_tt_1,9,,800000,715,2.35,406
7,375,1000,,Drama|Horror|Mystery|Thriller,Julian Morris,976,3024,John Robinson,http://www.imdb.com/title/tt1327601/?ref_=fn_tt_tt_1,15,R,3000000,747,,395
6,648,904,,Thriller,Bokeem Woodbine,520,4092,Brett Wagner,http://www.imdb.com/title/tt2048865/?ref_=fn_tt_tt_1,8,R,3000000,779,,398
9,37,201,,Adventure|Crime|Drama,Everett McGill,240,277,Fabio Testi,http://www.imdb.com/title/tt0095354/?ref_=fn_tt_tt_1,9,,3000000,39,1.85,37
343,502,2000,201148159,Drama|Family|Fantasy|Romance,Hayley Atwell,103749,4671,Lily James,http://www.imdb.com/title/tt1661199/?ref_=fn_tt_tt_1,323,PG,95000000,520,2.35,56000
11,356,854,,Action|Adventure|Crime|Drama,Mike Starr,706,1989,Frank Vincent,http://www.imdb.com/title/tt1085382/?ref_=fn_tt_tt_1,14,R,3000000,602,1.78,229
34,463,2000,,Comedy|Drama|Romance,Judy Greer,3443,3648,Shea Whigham,http://www.imdb.com/title/tt0482461/?ref_=fn_tt_tt_1,20,R,,536,1.85,480
71,11,119,5595428,Drama,Fernanda Montenegro,28951,167,Othon Bastos,http://www.imdb.com/title/tt0140888/?ref_=fn_tt_tt_1,257,R,2900000,14,2.35,0
21,248,931,,Comedy|Drama,Ann-Margret,4313,2167,Thomas Mitchell,http://www.imdb.com/title/tt0055312/?ref_=fn_tt_tt_1,40,Approved,2900000,416,2.35,612
28,214,640,,Action|Crime,Anthony L. Fernandez,2425,1517,Scott Evans,http://www.imdb.com/title/tt3511596/?ref_=fn_tt_tt_1,31,,3000000,277,,968
35,183,267,3123749,Comedy|Romance,Dyan Cannon,746,1231,Brenda Vaccaro,http://www.imdb.com/title/tt0439478/?ref_=fn_tt_tt_1,27,R,1500000,225,1.85,88
30,21,216,,Drama|Horror|Mystery|Thriller,Olivia Rose Keegan,2157,423,Mia Barron,http://www.imdb.com/title/tt2837336/?ref_=fn_tt_tt_1,15,,3000000,158,,421
73,394,875,100675,Documentary,Greg Crowe,5695,2305,Tempestt Bledsoe,http://www.imdb.com/title/tt1152822/?ref_=fn_tt_tt_1,23,PG-13,3000000,412,,0
154,108,264,,Fantasy|Horror|Mystery,Lee Remick,80961,673,Billie Whitelaw,http://www.imdb.com/title/tt0075005/?ref_=fn_tt_tt_1,310,R,2800000,139,2.35,7000
251,142,447,3645438,Horror,Cécile De France,55040,923,Oana Pellea,http://www.imdb.com/title/tt0338095/?ref_=fn_tt_tt_1,539,Unrated,2200000,236,2.35,0
57,39,130,,Comedy|Drama|Romance|Sci-Fi,Maeve Dermody,4173,362,Kelly Paterniti,http://www.imdb.com/title/tt1509803/?ref_=fn_tt_tt_1,32,PG-13,,96,1.85,0
14,29,679,,Action|Horror|Thriller,Q'orianka Kilcher,859,964,Allegra Carpenter,http://www.imdb.com/title/tt3551400/?ref_=fn_tt_tt_1,17,R,3000000,234,2.35,369
159,165,275,22201636,Crime|Drama|Music,Isaac Hayes,33567,727,Elise Neal,http://www.imdb.com/title/tt0410097/?ref_=fn_tt_tt_1,206,R,8000000,247,1.85,0
181,102,105,25000000,Comedy|Music|Romance,Nehemiah Persoff,175196,527,George Raft,http://www.imdb.com/title/tt0053291/?ref_=fn_tt_tt_1,350,Not Rated,2883848,103,1.66,10000
110,181,935,19170001,Horror,Kane Hodder,21359,1855,William Butler,http://www.imdb.com/title/tt0095179/?ref_=fn_tt_tt_1,270,R,2800000,448,1.85,0
213,357,695,22202612,Adventure|Family|Fantasy|Musical,Margaret Hamilton,291875,2509,Billie Burke,http://www.imdb.com/title/tt0032138/?ref_=fn_tt_tt_1,533,Passed,2800000,421,1.37,14000
129,481,1000,86300000,Comedy,Madeline Kahn,112671,2703,Teri Garr,http://www.imdb.com/title/tt0072431/?ref_=fn_tt_tt_1,315,PG,2800000,595,1.85,14000
280,192,569,952620,Horror,Megan Park,40800,1797,Joe Dinicol,http://www.imdb.com/title/tt0848557/?ref_=fn_tt_tt_1,332,R,2000000,529,1.85,0
15,327,464,,Comedy|Drama|Romance,Vidya Balan,27569,1761,Jimmy Shergill,http://www.imdb.com/title/tt0456144/?ref_=fn_tt_tt_1,106,PG-13,120000000,426,2.35,349
61,42,402,9054736,Drama,Peter Fonda,5744,787,Vanessa Zima,http://www.imdb.com/title/tt0120402/?ref_=fn_tt_tt_1,57,R,2700000,222,1.66,381
33,48,481,,Adventure|Family|Sport,Teri Garr,8856,681,Hoyt Axton,http://www.imdb.com/title/tt0078872/?ref_=fn_tt_tt_1,90,G,2700000,81,1.85,0
1,32,258,,Romance,Bhavkhandan Singh Rakhra,745,434,Diljit Dosanjh,http://www.imdb.com/title/tt4080386/?ref_=fn_tt_tt_1,8,,3000000,85,,50
2,13,122,,Action|Adventure|Animation|Comedy|Sci-Fi,Iben Hjejle,1828,197,Casper Christensen,http://www.imdb.com/title/tt1095423/?ref_=fn_tt_tt_1,6,Not Rated,,33,1.85,77
27,359,756,,Adventure|Comedy|Romance,Lee Marvin,5786,1949,Jack Warden,http://www.imdb.com/title/tt0057007/?ref_=fn_tt_tt_1,65,Not Rated,2686585,370,1.85,573
19,2,20,,Comedy|Drama,Rijk de Gooyer,1470,25,Henri Garcin,http://www.imdb.com/title/tt0116729/?ref_=fn_tt_tt_1,5,,2650000,3,1.85,121
9,315,760,,Drama|Fantasy|Romance|War,Spencer Tracy,1553,2555,Irene Dunne,http://www.imdb.com/title/tt0035959/?ref_=fn_tt_tt_1,27,Passed,2627000,675,1.37,116
121,628,1000,119500000,Comedy|Western,Madeline Kahn,95294,4701,Harvey Korman,http://www.imdb.com/title/tt0071230/?ref_=fn_tt_tt_1,363,R,2600000,1000,2.35,12000
166,74,158,32600000,Horror|Thriller,Judie Aronson,29488,467,Kimberly Beck,http://www.imdb.com/title/tt0087298/?ref_=fn_tt_tt_1,326,R,1800000,84,1.85,0
269,46,88,3826455,Drama,Joanna Kulig,34643,205,Agata Kulesza,http://www.imdb.com/title/tt2718492/?ref_=fn_tt_tt_1,123,PG-13,,64,1.33,17000
29,239,443,3130592,Drama|Romance,Rupert Graves,10755,1269,Simon Callow,http://www.imdb.com/title/tt0093512/?ref_=fn_tt_tt_1,69,R,2600000,249,1.66,963
20,327,833,475000,Comedy|Sport,Joe Lo Truglio,6930,2753,Seymour Cassel,http://www.imdb.com/title/tt0453453/?ref_=fn_tt_tt_1,53,R,2800000,549,,323
107,1000,40000,10654581,Drama|Sci-Fi|Thriller,Johnny Depp,45500,52621,Clea DuVall,http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,260,R,34000000,9000,1.85,1000
74,28,52,2276368,Documentary|History|Sport,Gerry Lopez,3849,179,Laird John Hamilton,http://www.imdb.com/title/tt0389326/?ref_=fn_tt_tt_1,37,PG-13,,52,,0
173,36,123,38108,Horror|Mystery|Sci-Fi|Thriller,Karra Elejalde,40878,239,Bárbara Goenaga,http://www.imdb.com/title/tt0480669/?ref_=fn_tt_tt_1,124,R,2600000,76,1.85,0
5,4,11,,Action|Adventure|Comedy,Jack Kao,1418,19,Zheng Xu,http://www.imdb.com/title/tt0851515/?ref_=fn_tt_tt_1,4,,15000000,4,2.35,30
66,209,331,,Horror|Thriller,Brianna Brown,5012,1082,Beth Broderick,http://www.imdb.com/title/tt0857295/?ref_=fn_tt_tt_1,47,R,2600000,272,1.85,254
169,390,804,,Comedy|Musical|Romance,Rita Moreno,150020,2510,Cyd Charisse,http://www.imdb.com/title/tt0045152/?ref_=fn_tt_tt_1,568,Approved,2540800,786,1.37,0
13,0,65,,Documentary,Joe Cross,6429,67,Amy Badberg,http://www.imdb.com/title/tt1227378/?ref_=fn_tt_tt_1,25,,2500000,2,,10000
129,555,713,40041683,Comedy|Fantasy,Essence Atkins,34620,3421,J.B. Smoove,http://www.imdb.com/title/tt2243537/?ref_=fn_tt_tt_1,107,R,2500000,584,1.85,0
30,67,871,33349949,Documentary,Barack Obama,9010,1111,Dinesh D'Souza,http://www.imdb.com/title/tt2247692/?ref_=fn_tt_tt_1,199,PG,2500000,118,1.85,0
220,593,908,33386128,Horror,Scout Taylor-Compton,36372,3226,Margot Kidder,http://www.imdb.com/title/tt1311067/?ref_=fn_tt_tt_1,491,R,15000000,764,1.85,3000
75,982,15000,25809813,Comedy|Drama|Music,Tom Hanks,50311,28713,Ethan Embry,http://www.imdb.com/title/tt0117887/?ref_=fn_tt_tt_1,212,PG,26000000,9000,1.37,0
162,67,381,14400000,Horror|Mystery|Sci-Fi,Tom Atkins,28589,684,Nancy Kyes,http://www.imdb.com/title/tt0085636/?ref_=fn_tt_tt_1,532,R,2500000,128,2.35,0
74,450,595,,Action|Sci-Fi,Roddy McDowall,23546,2373,Sal Mineo,http://www.imdb.com/title/tt0067065/?ref_=fn_tt_tt_1,92,G,2500000,521,2.35,819
65,124,617,,Drama,Patricia Neal,15277,1141,Whit Bissell,http://www.imdb.com/title/tt0057163/?ref_=fn_tt_tt_1,120,Approved,2500000,189,2.35,1000
26,36,1000,32230907,Comedy|Documentary,David Jason Perez,6062,1385,Dana Hanna,http://www.imdb.com/title/tt2609912/?ref_=fn_tt_tt_1,30,R,2500000,309,1.85,0
63,535,18000,6401336,Drama,Keanu Reeves,36996,19923,Flea,http://www.imdb.com/title/tt0102494/?ref_=fn_tt_tt_1,153,R,2500000,595,1.78,0
205,294,625,26781723,Comedy|Drama|Romance,Armando Riesco,187595,1655,Jill Flint,http://www.imdb.com/title/tt0333766/?ref_=fn_tt_tt_1,978,R,2500000,379,2.35,0
121,4,15,5400000,Drama|Romance,Hanno Pöschl,183288,36,Dominik Castell,http://www.imdb.com/title/tt0112471/?ref_=fn_tt_tt_1,395,R,2500000,12,1.85,22000
9,6,50,,Action|Drama|Horror|Thriller,Patrick Huard,1003,79,Jean Pierre Bergeron,http://www.imdb.com/title/tt0380732/?ref_=fn_tt_tt_1,5,,3200000,16,1.85,39
74,442,745,1282084,Drama,Billy Crudup,6221,2125,Mark Webber,http://www.imdb.com/title/tt0186253/?ref_=fn_tt_tt_1,87,R,2500000,631,2.35,500
54,209,643,1186323,Comedy|Drama|Romance,Joan Chen,7776,1396,Jessica Hecht,http://www.imdb.com/title/tt0384504/?ref_=fn_tt_tt_1,84,R,,265,1.85,774
80,40,56,1094998,Drama,Satish Kaushik,2560,150,Tannishtha Chatterjee,http://www.imdb.com/title/tt0940585/?ref_=fn_tt_tt_1,29,PG-13,,41,2.35,430
252,215,902,3325638,Comedy|Crime|Drama|Sci-Fi,Frank Langella,52509,1980,Ana Gasteyer,http://www.imdb.com/title/tt1990314/?ref_=fn_tt_tt_1,84,PG-13,2500000,291,2.35,13000
72,471,900,395592,Drama|Romance,Sarah Polley,21202,2972,Amanda Plummer,http://www.imdb.com/title/tt0314412/?ref_=fn_tt_tt_1,134,R,2000000,648,1.85,0
220,478,8000,6851969,Comedy|Drama|Romance,Shailene Woodley,105591,10040,Dayo Okeniyi,http://www.imdb.com/title/tt1714206/?ref_=fn_tt_tt_1,178,R,2500000,1000,2.35,10000
1,362,882,333658,Comedy|Family|Musical|Romance|Short,William Hurt,97,1967,Michael Bower,http://www.imdb.com/title/tt0283465/?ref_=fn_tt_tt_1,2,,34000,577,,16
197,0,334,12995673,Comedy|Documentary|War,Bill Maher,52286,338,Steve Burg,http://www.imdb.com/title/tt0815241/?ref_=fn_tt_tt_1,345,R,2500000,4,1.78,24000
14,125,860,173783,Documentary,Larry David,578,1252,George W. Bush,http://www.imdb.com/title/tt1294164/?ref_=fn_tt_tt_1,34,Not Rated,2500000,130,1.85,588
3,107,655,118666,Drama,Bruce McGill,91,1064,Tom Bower,http://www.imdb.com/title/tt0472200/?ref_=fn_tt_tt_1,3,,2500000,157,1.85,144
191,936,989,114324072,Comedy|Sport,Gary Cole,185345,4730,Joel David Moore,http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1,392,PG-13,20000000,939,2.35,0
18,249,640,71904,Comedy|Drama|Family,Katharine Ross,806,1491,George Harris,http://www.imdb.com/title/tt0465407/?ref_=fn_tt_tt_1,18,PG-13,2500000,261,1.85,140
28,5,191,99851,Documentary,Dustin Lance Black,1138,210,Gavin Newsom,http://www.imdb.com/title/tt1484522/?ref_=fn_tt_tt_1,30,R,2500000,12,1.78,0
22,315,611,115504,Comedy|Drama|Romance,Larry Miller,4820,1739,Shriya Saran,http://www.imdb.com/title/tt1049405/?ref_=fn_tt_tt_1,26,PG-13,14000000,397,2.35,0
62,10,127,5725,Horror|Thriller,Benno Fürmann,10220,163,Sebastian Blomberg,http://www.imdb.com/title/tt0187696/?ref_=fn_tt_tt_1,110,R,8400000,10,2.35,560
47,35,426,75727,Drama|Romance|Sci-Fi|Thriller,Leonor Varela,5699,862,Tenoch Huerta,http://www.imdb.com/title/tt0804529/?ref_=fn_tt_tt_1,40,PG-13,2500000,399,1.85,0
238,370,2000,322157,Comedy|Crime|Drama,Linda Cardellini,61787,4590,Paul T. Taylor,http://www.imdb.com/title/tt1512235/?ref_=fn_tt_tt_1,203,R,2500000,973,1.85,19000
2,555,794,,Comedy|Drama|Family|Romance,Ashley Scott,858,2579,Lochlyn Munro,http://www.imdb.com/title/tt1663628/?ref_=fn_tt_tt_1,7,TV-PG,2500000,607,,190
95,577,968,,Comedy|Horror,Clifton Collins Jr.,3119,3157,David Masterson,http://www.imdb.com/title/tt3300572/?ref_=fn_tt_tt_1,23,Not Rated,2500000,625,2.35,0
10,442,1000,,Horror,Natasha Lyonne,63,2406,Mark Webber,http://www.imdb.com/title/tt3333870/?ref_=fn_tt_tt_1,2,,3500000,677,,89
28,702,1000,5731103,Drama|History,Bernie Mac,4100,5963,Andre Braugher,http://www.imdb.com/title/tt0116404/?ref_=fn_tt_tt_1,35,R,2400000,748,1.85,352
25,201,973,978908,Drama|Horror|Mystery|Thriller,Marc Blucas,4057,2306,Justine Waddell,http://www.imdb.com/title/tt0486028/?ref_=fn_tt_tt_1,90,PG-13,2400000,872,2.35,250
121,233,586,438653,Adventure|Comedy|Sci-Fi,Anthony 'Citric' Campos,108052,1490,David Herman,http://www.imdb.com/title/tt0387808/?ref_=fn_tt_tt_1,434,R,,497,1.85,79000
10,109,490,,Crime|Drama,Simon Merrells,1510,881,Kris Sommerville,http://www.imdb.com/title/tt2945796/?ref_=fn_tt_tt_1,26,R,2500000,159,,0
